eng_Latn,tam_Taml
"""""""While walking in the woods of New Jersey, American mathematician Edward Kasner asked his young nephew Milton Sirotta to help him choose a name for a mind-boggling number: a 1 followed by 100 zeros.""
","""""""நியூ ஜெர்சியின் கூகுல் காடுகளில் நடந்து செல்லும்போது, அமெரிக்க கணிதவியலாளர் Edward Kasner எட்வர்ட் காஸ்னர் தனது இளம் மருமகன் Milton Sirotta மில்டன் சிரோட்டாவிடம் 1 ஐத் தொடர்ந்து வரும் 100 பூஜ்ஜியங்கள்"""" எனும் எண்ணுக்கு ஒரு பெயரைத் தேர்வு செய்ய உதவுமாறு கேட்டார்.""
"
"""""""You're simply my nephew.""""""
","""""""அப்போ நீங்க என் அண்ணியோட அண்ணன் மட்டும் தான்.""
"
"""For days the site led with a story that the nephew of a senior Communist Party leader called on his family and the government to """"lay down your weapons"""" and """"listen to the people.""""""
","""ஒரு மூத்த கம்யூனிஸ்ட் கட்சித் தலைவரின் மருமகன் தனது குடும்பத்தினரையும் அரசாங்கத்தையும் """"உங்கள் ஆயுதங்களை கீழே போட"""" மற்றும் """"மக்களுக்குச் செவிசாய்க்க"""" அழைப்பு விடுத்த கதையுடன் இந்த தளம் பல நாட்கள் வழிநடத்தியது.""
"
"""For days, the site led with a story that the nephew of a senior Communist Party leader called on his family and the government to """"lay down your weapons"""" and """"listen to the people.""""""
","""ஒரு மூத்த கம்யூனிஸ்ட் கட்சித் தலைவரின் மருமகன் தனது குடும்பத்தினரையும் அரசாங்கத்தையும் """"உங்கள் ஆயுதங்களை கீழே போட"""" மற்றும் """"மக்களுக்குச் செவிசாய்க்க"""" அழைப்பு விடுத்த கதையுடன் இந்த தளம் பல நாட்கள் வழிநடத்தியது.""
"
"""The Chief Minister's nephew Abhishek Banerjee, in whose constituency the attack took place, said, """"""""If the people don't like the BJP, what can we do?""""""
","""முதலமைச்சரின் மருமகன் அபிஷேக் பானர்ஜி, அதன் தொகுதியில் தாக்குதல் நடந்தது, """""""" பாஜகவை மக்கள் விரும்பவில்லை என்றால், நாங்கள் என்ன செய்ய முடியும்?""
"
"""The Chief Minister's nephew Abhishek Banerjee, in whose constituency the attack took place, said, """"If the people don't like the BJP, what can we do?""""""
","""முதலமைச்சரின் மருமகன் அபிஷேக் பானர்ஜி, அதன் தொகுதியில் தாக்குதல் நடந்தது, """""""" பாஜகவை மக்கள் விரும்பவில்லை என்றால், நாங்கள் என்ன செய்ய முடியும்?""
"
"""The doctors went to my aunt's house to corroborate and inform them of the mistake,"""" said another nephew, Juan Carlos Ramirez.""
","""""""டாக்டர்கள் என் அத்தை வீட்டிற்குச் சென்று பிழையை உறுதிப்படுத்தவும் தெரிவிக்கவும் சென்றனர்"""" என்று மற்றொரு மருமகன் ஜுவான் கார்லோஸ் ராமிரெஸ் கூறினார்.""
"
"""[Gordon partnered with August """"Joe"""" Briggs, and Briggs's nephew, Jesse Inman, in the Napa Valley.]""
","""[கோர்டன் ஆகஸ்ட் """"ஜோ"""" பிரிக்ஸ் மற்றும் நாபா பள்ளத்தாக்கில் பிரிக்ஸின் மருமகன் ஜெஸ்ஸி இன்மனுடன் கூட்டுசேர்ந்தார்.""
"
"'These twins are my mother's nephew's.
","இந்த இரட்டையர் எனது அம்மாவின் மருமகன்கள்.
"
"(Old Testament) nephew of Abraham; God destroyed Sodom and Gomorrah but chose to spare Lot and his family who were told to flee without looking back at the destruction.
","ஆபிரகாமின் மருமகன்; கடவுள் சோதோம் மற்றும் கொமோராவை அழித்தார், ஆனால் லோத்தையும் அவரது குடும்பத்தினரையும் அழிக்கத் திரும்பிப் பார்க்காமல் தப்பி ஓடச் சொன்னார்.
"
"14:12 Lot, Abram's nephew, was living in Sodom, so they took him and all his possessions.
","14:12 ஆபிராமின் சகோதரனுடைய குமாரனாகிய லோத்து சோதோமிலே குடியிருந்தபடியால், அவனையும் அவன் பொருள்களையும் கொண்டுபோய்விட்டார்கள்.
"
"1975 - King Faisal of Saudi Arabia is assassinated by his nephew.
","1975 - சவுதி மன்னர் ஃபைசால் தனது மருமகனால் சுட்டுக் கொல்லப்பட்டார்.
"
"1975 - King Faisal of Saudi Arabia was shot to death by a nephew.
","1975 - சவுதி மன்னர் ஃபைசால் தனது மருமகனால் சுட்டுக் கொல்லப்பட்டார்.
"
"1975 --- King Faisal of Saudi Arabia was shot to death by a nephew.
","1975 - சவுதி மன்னர் ஃபைசால் தனது மருமகனால் சுட்டுக் கொல்லப்பட்டார்.
"
"1975: King Fayṣal of Saudi Arabia was shot to death by his nephew.
","1975 - சவுதி மன்னர் ஃபைசால் தனது மருமகனால் சுட்டுக் கொல்லப்பட்டார்.
"
"1975; King Faisal of Saudi Arabia was shot and killed by his nephew.
","1975 - சவுதி மன்னர் ஃபைசால் தனது மருமகனால் சுட்டுக் கொல்லப்பட்டார்.
"
"3 days later on the body of 7-year-old Julian, Hudson's nephew, was found in a SUV left on the Western Side.
","மூன்று நாட்களுக்குப் பின்னர், 7 வயதான ஜூலியன், ஹட்சனின் மருமகனின் உடல், வெஸ்ட் சைட்டில் நிறுத்தப்பட்டுள்ள ஒரு SUV யின் பின்புறத்தில் காணப்பட்டது.
"
"A South African king who is a nephew of the late Nelson Mandela has begun a 12-year prison sentence for kidnapping, assault and arson.
","தென் ஆபிரிக்க மறைந்த தலைவர் நெல்சன் மண்டேலாவின் மருமகன் முறையான அந்நாட்டு மன்னர் ஒருவர் கடத்தல், தாக்குதல் மற்றும் தீவைப்பு குற்றச்சாட்டுகளின் கீழ் 12 வருட கால சிறைத் தண்டனை விதிக்கப்பட்ட நிலையில் சிறையில் அடைக்கப்பட்டுள்ளார்.
"
"A South African king who is a nephew of the late president Nelson Mandela has begun a 12-year prison sentence for kidnapping, assault and arson.
","தென் ஆபிரிக்க மறைந்த தலைவர் நெல்சன் மண்டேலாவின் மருமகன் முறையான அந்நாட்டு மன்னர் ஒருவர் கடத்தல், தாக்குதல் மற்றும் தீவைப்பு குற்றச்சாட்டுகளின் கீழ் 12 வருட கால சிறைத் தண்டனை விதிக்கப்பட்ட நிலையில் சிறையில் அடைக்கப்பட்டுள்ளார்.
"
"A nephew to Sigmund Freud, he used late 19th century psychology in application of his techniques.
","சிக்மண்ட் பிராய்டின் ஒரு மருமகனான அவர் தனது நுட்பங்களுக்கு 19 ஆம் நூற்றாண்டின் பிற்கால உளவியலைப் பயன்படுத்தினார்.
"
"A revolt against the corrupt Etruscans was spearheaded by Tarquin the Proud's nephew Lucius Junius Brutus and Lucretia's husband Tarquinius Collatinus.
","ஊழல் நிறைந்த எட்ருஸ்கன்ஸுக்கு எதிரான கிளர்ச்சி Tarquin ன் பிரபுவின் மருமகன் Lucius Junius Brutus மற்றும் Lucretia's கணவர் Tarquinius Collatinus ஆகியோரால் முன்னெடுக்கப்பட்டது.
"
"Abanindranath Tagore, the nephew of poet Rabindranath Tagore, believed Indian art had lost its connection with traditional Indian painting techniques.
","பாரம்பரிய இந்திய ஓவிய நுட்பங்களுடனான தொடர்பை இந்திய கலை இழந்துவிட்டதாக கவிஞர் ரவீந்திரநாத் தாகூரின் மருமகன் அபானிந்திரநாத் தாகூர் நம்பினார்.
"
"About Domenico Berardi's relatives: Away from Berardi's immediate family, not much is known about his maternal and paternal grandparents while his uncles, aunts, cousins, nephews and nieces are yet to be identified.
","டொமினிகோ பெரார்டியின் உறவினர்களைப் பற்றிஃ பெரார்டியின் உடனடி குடும்பத்திலிருந்து விலகி, அவரது மாமனார், அத்தை, உறவினர்கள், மருமகள் மற்றும் மருமகள் இன்னும் அடையாளம் காணப்படாத நிலையில், அவரது தாய் மற்றும் தந்தைவழி தாத்தா பாட்டி பற்றி அதிகம் தெரியவில்லை.
"
"About Donyell Malen's relatives: Away from Malen's immediate family life, he has a grandfather and grandmother identified as Joop and Marian respectively while there are no existing records of his uncles, aunts, cousins, nieces and nephews at the time of writing.
","டோனியல் மாலனின் உறவினர்களைப் பற்றிஃ மாலனின் உடனடி குடும்ப வாழ்க்கையிலிருந்து விலகி, அவருக்கு முறையே ஒரு தாத்தா மற்றும் பாட்டி ஜூப் மற்றும் மரியன் என அடையாளம் காணப்பட்டிருக்கிறார்கள், அதே நேரத்தில் எழுதும் நேரத்தில் அவரது மாமாக்கள், அத்தைகள், உறவினர்கள், மருமகள் மற்றும் மருமகன்கள் பற்றிய பதிவுகள் எதுவும் இல்லை.
"
"About Mario Balotelli Relatives: There is no denying the fact that Balotelli has uncles, aunts, cousins, nephews and nieces regardless of the fact that he doesn't identify with them.
","மரியோ Balotelli பற்றி உறவினர்கள்ஃ Balotelli மாமாக்கள், அத்தை, உறவினர்கள், மருமகன்கள் மற்றும் உறவினர்கள் ஆகியோருடன் அவர் அடையாளம் காணாத உண்மையைப் பொருட்படுத்துவதில்லை என்ற உண்மையை மறுக்க முடியாது.
"
"About Neres' Relatives: Away from Neres' immediate family life not much is known about his grandparents uncles and aunts including his cousins' nephews and nieces.
","Neres உறவினர்கள் பற்றிஃ Neres 'உடனடி குடும்ப வாழ்க்கையில் இருந்து அவரின் உறவினர்களிடமிருந்தும் உறவினர்களிடமிருந்தும் அவரது தாத்தா பாட்டி மாமாக்கள் மற்றும் அத்தை பற்றி அதிகம் அறியப்படவில்லை.
"
"About Ángel Correa relatives: Away from Angel Correa's family life, there is not much known about his ancestry and family roots, particularly as it relates to his paternal and maternal grandparents while his uncles, aunts, cousins, nieces and nephews are yet to be identified at the time of writing this bio.
","ஏஞ்சல் கொரியா உறவினர்கள் பற்றிஃ ஏஞ்சல் கொரியாவின் குடும்ப வாழ்க்கையிலிருந்து விலகி, அவரது வம்சாவளி மற்றும் குடும்ப வேர்களைப் பற்றி அதிகம் அறியப்படவில்லை, குறிப்பாக இது அவரது தந்தை மற்றும் தாய்வழி தாத்தா பாட்டிகளுடன் தொடர்புடையது, அதே நேரத்தில் அவரது மாமாக்கள், அத்தைகள், உறவினர்கள், மருமகள் மற்றும் மருமகன்கள் இன்னும் எழுதப்படவில்லை.
"
"Actor Imran Khan is his nephew.
","இம்ரான் கான் இவரது மருமகனாவார்.
"
"Actor Michael K. Williams was found dead in his Brooklyn apartment by his nephew Monday afternoon.
","அமெரிக்க நேரப்படி திங்கட் கிழமை மதியம் 2 மணியளவில் ப்ரூக்ளினில் உள்ள அவரது இல்லத்தில் நடிகர் மைக்கேல் கே வில்லியம் இறந்து கிடந்ததாக நியுயார்க் போலீசார் தகவல் தெரிவித்துள்ளனர்.
"
"Actor Ryan Reynolds opens up about how he once saved his nephew's life
","படிக்கஃ ரியான் ரெனால்ட்ஸ் ஒரு முறை மருமகனின் உயிரை எவ்வாறு காப்பாற்றினார் என்று ரசிகர்களிடம் கூறுகிறார்
"
"After a week, he filed a missing complaint with police saying his nephew didn't return after he went out with some friends.
","ஒரு வாரம் கழித்து நண்பர்களுடன் வெளியே சென்றவர் வீடு திரும்பவில்லை என போலிசாரிடம் புகார் கொடுத்துள்ளார்.
"
"After his death his son-in law and nephew (sister's son) S. Sambhu Prasad (Sivalenka SambhuPrasad) took over the reins of Andhra Patrika group of publications and Amrutanjan company.[6] [7]
","இவரது மரணத்திற்குப் பிறகு இவரது மருமகன் மற்றும் மருமகன் (சகோதரியின் மகன்) எஸ். சம்பு பிரசாத் (சிவலெங்கா சம்புபிரசாத்) ஆந்திர பத்ரிகா குழு வெளியீடுகள் மற்றும் அம்ருதாஞ்சன் நிறுவனத்தின் நிர்வாகப் பொறுப்பிற்கு தலைமையிடத்திற்கு வந்தார்.
"
"Again, neither have his uncles, aunts, cousins, nieces and nephews been identified.
","மீண்டும், அவரது மாமாக்கள், அத்தைகள், உறவினர்கள், மருமகள் மற்றும் மருமகன்கள் ஆகியோரும் அடையாளம் காணப்படவில்லை.
"
"Ajay's uncle Kamlesh Barot explained that his nephew is a big fan of music and dancing brings a smile to his face.
","அஜயின் மாமா கமலேஷ் பரோட் தனது மருமகன் இசையின் பெரிய ரசிகர் என்றும் நடனம் அவரது முகத்தில் ஒரு புன்னகையைத் தருகிறது என்றும் விளக்கினார்.
"
"Ajay's uncle Kamlesh Barot said his nephew is very fond of music, and dancing brings a smile on his face.
","அஜயின் மாமா கமலேஷ் பரோட் தனது மருமகன் இசையின் பெரிய ரசிகர் என்றும் நடனம் அவரது முகத்தில் ஒரு புன்னகையைத் தருகிறது என்றும் விளக்கினார்.
"
"All family members; his mum, dad, brother, sister, cousin, uncle, nephew niece, etc) pictured below are willing to do anything to protect their loved ones.
","அனைத்து குடும்ப உறுப்பினர்களும்; அவரது அம்மா, அப்பா, சகோதரர், சகோதரி, உறவினர், மாமா, மருமகன் மருமகள் போன்றவை) கீழே உள்ள படத்தில் தங்கள் அன்புக்குரியவர்களைப் பாதுகாக்க எதையும் செய்ய தயாராக உள்ளனர்.
"
"Allen, her nephew and Allen's roommate, James Martin, buried Wright's body in a shallow grave off the highway.
","ஆலன், அவரது மருமகன், மற்றும் ஆலனின் அறைவீரன் ஜேம்ஸ் மார்ட்டின் ஆகியோர் ரைட்டின் உடலை நெடுஞ்சாலையில் இருந்து ஒரு ஆழமான கல்லில் புதைத்தனர்.
"
"Also Sasikala and her nephew have been removed from the party.
","சசிகலா மற்றும் அவர் குடும்பத்தினரை கட்சியில் இருந்து நீக்கியுள்ளார்.
"
"As a parent, you most likely want to help children that you know, such as foster children, grandchildren, nieces, nephews, as well as your own children love nature.
","ஒரு பெற்றோராக, வளர்ப்பு குழந்தைகள், பேரக்குழந்தைகள், மருமகள், மருமகன்கள் மற்றும் உங்கள் சொந்த குழந்தைகள் இயற்கையை நேசிப்பது போன்ற உங்களுக்குத் தெரிந்த குழந்தைகளுக்கு நீங்கள் உதவ விரும்புகிறீர்கள். இரு. . .
"
"At the time, William and Kate were staying at a chateau owned by Queen Elizabeth's nephew, Lord Linley.
","அந்த நேரத்தில், வில்லியம் மற்றும் கேட் எலிசபெத் மகாராணியின் மருமகன் லார்ட் லின்லிக்கு சொந்தமான ஒரு அரண்மனையில் தங்கியிருந்தனர்.
"
"BG 1.26: There, Arjun could see stationed in both armies, his fathers, grandfathers, teachers, maternal uncles, brothers, cousins, sons, nephews, grand-nephews, friends, fathers-in-law, and well-wishers.
","1.26: அர்ஜுனன் அங்கே இரண்டு அணிகளிலும் இருக்கின்ற தந்தையர், பாட்டன்மார், ஆச்சாரியார்கள், மாமன்மார், சகோதரர்கள், பிள்ளைகள், பேரங்கள், தோழர்கள் , மாமனார்கள், மற்றும் நண்பர்களை பார்த்தான்.
"
"Bahujan Samaj Party's President, Mayawati has also appointed his brother and nephew at high posts in her own party.
","பகுஜன் சமாஜ் கட்சி தலைவி மாயாவதி தனது மருமகனுக்கும் சகோதரனுக்கும் முக்கிய கட்சி பதவிகளை அளித்துள்ளார்.
"
"Ban's younger brother and his nephew stand accused of offering money to a Middle Eastern official, through an American middleman.
","அமெரிக்க இடைத்தரகர் ஒருவர் ஊடாக மத்திய கிழக்கு அதிகாரி ஒருவருக்கு பணம் கொடுத்ததாக பான் கீ-மூனின் இளைய சகோதரர் மற்றும் மருமகன் மீது குற்றம் சுமத்தப்பட்டுள்ளது.
"
"Bilkis Bano was in a group of 17 people that included her three-year-old daughter, her mother, a pregnant cousin, her younger siblings, nieces and nephews, and two adult men.
","தன்னுடைய மூன்று வயது மகள், தாய், கர்ப்பிணி உறவினர், அவருடைய இளையோர், உடன் பிறந்தவர் மகன்கள் மற்றும் மகள்கள், வயது வந்த ஆண்கள் இருவர் என மொத்தம் 17 பேர் குழுவில் பில்கிஸ் பானு இருந்தார்.
"
"Bollywood actor Salman Khan's nephew Abdullah Khan has unfortunately passed away on Monday, 30 March 2020 at the age of 38.
","பாலிவுட் நடிகர் சல்மான் கானின் மருமகன் அப்துல்லா கான் துரதிர்ஷ்டவசமாக 30 மார்ச் 2020 திங்கள் அன்று தனது 38 வயதில் காலமானார்.
"
"Bollywood veteran actor Govinda And the rift between his nephew Krishna Abhishek has now become a topic of discussion on social media.
","கோவிந்தாவிற்கும் அவரது மருமகன் கிருஷ்ணா அபிஷேக்கிற்கும் இடையிலான பிளவு இப்போது சமூக ஊடகங்களில் விவாதப் பொருளாகிவிட்டது.
"
"Bradford businessman Mohammad Saad travelled to Pakistan on 23 March to attend his nephew's funeral and had been due to fly home on 10 April - the day after Pakistan was added to the red list.
","தொழிலதிபர் முகமது சாத் ஒரு இறுதி சடங்கில் கலந்து கொள்வதற்காக மார்ச் 23, 2021 அன்று பாகிஸ்தானுக்கு பறந்தார், மறுநாள் ஏப்ரல் 10 ஆம் தேதி வீட்டிற்கு பறக்கவிருந்தார் பாக்கிஸ்தான் 'சிவப்பு பட்டியலில்' சேர்க்கப்பட்டது.
"
"But you helped raise some of your siblings and some of your nieces and nephews.
","ஆனால் நீங்கள் உங்கள் உடன்பிறப்புகளில் சிலரையும் உங்கள் மருமகள் மற்றும் மருமகன்களையும் வளர்க்க உதவினீர்கள்.
"
"Chiranjivi Sarja is the brother of actor Dhruva Sarja and nephew of actor Arjun Sarja.
","சிரஞ்சீவி சர்ஜா நடிகர் துருவ சர்ஜாவின் சகோதரரும், நடிகர் அர்ஜுன் சர்ஜாவின் மருமகனும் ஆவார்.
"
"Choksi and his nephew Nirav Modi are accused of allegedly cheating Punjab National Bank (PNB) with some bank officials to the tune of Rs 13,500 crore.
","சோக்ஸி மற்றும் அவரது மருமகன் நீரவ் மோடி, சில வங்கி அதிகாரிகளுடன், பஞ்சாப் நேஷனல் வங்கியை (பிஎன்பி) 13,500 கோடி ரூபாய் மோசடி செய்ததாக குற்றம் சாட்டப்பட்டுள்ளது.
"
"Choksi and his nephew Nirav Modi, as well as some bank officials, were accused of allegedly cheating the Punjab National Bank (PNB) to the tune of Rs 13,500 crore.
","சோக்ஸி மற்றும் அவரது மருமகன் நீரவ் மோடி, சில வங்கி அதிகாரிகளுடன், பஞ்சாப் நேஷனல் வங்கியை (பிஎன்பி) 13,500 கோடி ரூபாய் மோசடி செய்ததாக குற்றம் சாட்டப்பட்டுள்ளது.
"
"Did I tell you that my nephew's name is also Alex?
","உங்க மகன் பெயர் கூட அலெக்ஸ்ன்னு சொன்னீங்களே?
"
"Do you know the current status of the person who s Mamta's nephew?
","மம்தா மருமகனை அறைந்தவரின் தற்போதைய நிலை என்ன தெரியுமா?
"
"Finally, to all the people, the whole Party, the entire army, to my nephews and nieces, young people and children I leave my boundless love.
","இறுதியாக, அனைத்து மக்களுக்கும், கட்சி முழுமைக்கும், ராணுவம் முழுமைக்கும், எனது மருமகன்கள், மருமகள்கள், இளைஞர்கள், குழந்தைகள் அனைவருக்கும் எல்லையற்ற, அளவில்லா என் அன்பை விட்டுச் செல்கிறேன்.
"
"Finally, to the whole people, the whole Party, the whole army, to my nephew and nieces, the youth and children, I leave my boundless love.
","இறுதியாக, அனைத்து மக்களுக்கும், கட்சி முழுமைக்கும், ராணுவம் முழுமைக்கும், எனது மருமகன்கள், மருமகள்கள், இளைஞர்கள், குழந்தைகள் அனைவருக்கும் எல்லையற்ற, அளவில்லா என் அன்பை விட்டுச் செல்கிறேன்.
"
"Finally, to the whole people, the whole Party, the whole army, to my nephews and nieces, the youth and children I leave my boundless love.
","இறுதியாக, அனைத்து மக்களுக்கும், கட்சி முழுமைக்கும், ராணுவம் முழுமைக்கும், எனது மருமகன்கள், மருமகள்கள், இளைஞர்கள், குழந்தைகள் அனைவருக்கும் எல்லையற்ற, அளவில்லா என் அன்பை விட்டுச் செல்கிறேன்.
"
"Finally, to the whole people, the whole Party, the whole army, to my nephews and nieces, the youth and children, I leave my boundless love.
","இறுதியாக, அனைத்து மக்களுக்கும், கட்சி முழுமைக்கும், ராணுவம் முழுமைக்கும், எனது மருமகன்கள், மருமகள்கள், இளைஞர்கள், குழந்தைகள் அனைவருக்கும் எல்லையற்ற, அளவில்லா என் அன்பை விட்டுச் செல்கிறேன்.
"
"Following the murder, Jagroop's nephew Narpinder Singh complained to the police.
","கொலையைத் தொடர்ந்து, ஜாக்ரூப்பின் மருமகன் நர்பிந்தர் சிங் போலீசில் புகார் செய்தார்.
"
"Genesis 14:12 (GNT) Lot, Abram's nephew, was living in Sodom, so they took him and all his possessions.
","Genesis 14:12 in Tamil ஆதியாகமம்-14:12-ஆபிராமின் சகோதரனுடைய குமாரனாகிய லோத்து சோதோமிலே குடியிருந்தபடியால், அவனையும் அவன் பொருள்களையும் கொண்டுபோய்விட்டார்கள்.
"
"Genesis 14:12 (GNTA) Lot, Abram's nephew, was living in Sodom, so they took him and all his possessions.
","Genesis 14:12 in Tamil ஆதியாகமம்-14:12-ஆபிராமின் சகோதரனுடைய குமாரனாகிய லோத்து சோதோமிலே குடியிருந்தபடியால், அவனையும் அவன் பொருள்களையும் கொண்டுபோய்விட்டார்கள்.
"
"He also has two siblings (older sisters) and he is the nephew of former rugby union player and coach Michael Jones.
","அவருக்கு இரண்டு மூத்த சகோதரிகள் உள்ளனர் மற்றும் முன்னாள் ரக்பி யூனியன் வீரர் மற்றும் பயிற்சியாளர் மைக்கேல் ஜோன்ஸின் மருமகன் ஆவார்.
"
"He also has two siblings older sisters and he is the nephew of former rugby union player and coach Michael Jones.
","அவருக்கு இரண்டு மூத்த சகோதரிகள் உள்ளனர் மற்றும் முன்னாள் ரக்பி யூனியன் வீரர் மற்றும் பயிற்சியாளர் மைக்கேல் ஜோன்ஸின் மருமகன் ஆவார்.
"
"He hadn't expected his nephew to be so stupid.
","மகன் இத்தனையாக முட்டாள்தனம் செய்வானென்று அவர் நினைத்து இருக்கவில்லை.
"
"He has seen his nephew, who has treated as a son, mature into a real man.
","ஒரு மகனாகக் கருதப்பட்ட தனது மருமகனை ஒரு உண்மையான மனிதனாக முதிர்ச்சியடைந்ததை அவர் கண்டிருக்கிறார்.
"
"He has two older sisters and is the nephew of former rugby union player and coach Michael Jones.
","அவருக்கு இரண்டு மூத்த சகோதரிகள் உள்ளனர் மற்றும் முன்னாள் ரக்பி யூனியன் வீரர் மற்றும் பயிற்சியாளர் மைக்கேல் ஜோன்ஸின் மருமகன் ஆவார்.
"
"He has two older sisters, and is the nephew of former rugby union player and coach Michael Jones.
","அவருக்கு இரண்டு மூத்த சகோதரிகள் உள்ளனர் மற்றும் முன்னாள் ரக்பி யூனியன் வீரர் மற்றும் பயிற்சியாளர் மைக்கேல் ஜோன்ஸின் மருமகன் ஆவார்.
"
"He is also a nephew of Sir C. V. Raman.
","இவர் சர் சி. வி. இராமனின் தங்கையின் மகனும் ஆவார்.
"
"He is also the nephew of Ustad Ghulam Mustafa Khan.
","இவர் உஸ்தாத் குலாம் முஸ்தபா கானின் மருமகனும் ஆவார்.
"
"He is also the nephew of Ustad Ghulam Mustafa khan
","இவர் உஸ்தாத் குலாம் முஸ்தபா கானின் மருமகனும் ஆவார்.
"
"He is also the nephew of music maestro A. R.Rahman.
","இவர் புகழ் பெற்ற இசையமைப்பாளர் ஏ. ஆர். ரஹ்மானின் அக்கா மகனும் ஆவார்.
"
"He is famous for being the nephew of the famous Indian music director Anu Malik.
","அவர் புகழ்பெற்ற பாலிவுட் பின்னணி பாடகர் அனு மாலிக் என்பவரின் சகோதரர் என்பதால் அவரது பெயர் தெரிந்திருக்கும்.
"
"He is known for being the cousin of film star Vijay and nephew of S. A. Chandrasekhar.
","அவர் பிரபல தமிழ் நடிகர் விஜயின் உறவினர் மற்றும் ஷோபா மற்றும் எஸ். ஏ. சந்திரசேகரின் மருமகன் ஆவார்.
"
"He is my husband's nephew.
","இவர் என் கணவரின் அத்தை பையன்.
"
"He is the cousin of popular Tamil actor Vijay and nephew of Shoba and S. A. Chandrasekhar.
","அவர் பிரபல தமிழ் நடிகர் விஜயின் உறவினர் மற்றும் ஷோபா மற்றும் எஸ். ஏ. சந்திரசேகரின் மருமகன் ஆவார்.
"
"He is the nephew of Inzamam-ul-Haq, a former Pakistan senior cricket team captain.
","இவர் பாகிஸ்தானின் முன்னாள் துடுப்பாட்ட நட்சத்திரமான இன்சாம்-உல்-ஹக்கின் மருமகன் ஆவார்.
"
"He is the nephew of Justice Ranganath Misra, who was the 21st Chief Justice from 1990 to 1991.
","அவர் 1990-91 ஆண்டுகளில் 21 வது நீதிபதியாக பணியாற்றிய ரங்கநாத் மிஸ்ராவின் மருமகன் ஆவார்.
"
"He is the nephew of famous film director Mahesh Bhatt.
","இவர் பிரபல பாலிவுட் இயக்குனர் மகேஷ் பட்டின் உறவினர் ஆவார்.
"
"He is the nephew of music director Deva.
","இவர் இசையமைப்பாளர் தேவாவின் மகன் ஆவார்.
"
