eng_Latn,tam_Taml
"""""""You think I'm your grandfather?""
","""""""என்னை நீங்க உங்க பையனாத்தானே நினைக்கிறீங்க?""
"
"""""""Your grandfather's been biggin' it up to you.""
","""""""அண்ணன்தான் ரொம்ப பொறுப்பா உன்னை வளர்த்தினான்.""
"
"""""""Your grandfather's family had money?""""""
","""""""உங்க மாமனார் கிட்டே பணம் இருக்கில்ல?""
"
"""""""Your grandfather... where is he now?""""""
","""""""அண்ணா நான் தாண்ணா. . அவர் இப்போ எங்கயிருக்காருன்னா?""
"
"""""""do you know my grandfather?""""""
","""""""உங்களுக்கு என் பெரியம்மாவைத் தெரியுமா?""
"
"""2 Samuel 9:7 """"David said to him, """"Do not fear, for I will surely show kindness to you for the sake of your father Jonathan, and will restore to you all the land of your grandfather Saul; and you shall eat at my table regularly.""""""
","9:7 தாவீது அவனைப் பார்த்துஃ நீ பயப்படாதே; உன் தகப்பனாகிய யோனத்தான்நிமித்தம் நான் நிச்சயமாய் உனக்குத் தயைசெய்து, உன் தகப்பனாகிய சவுலின் நிலங்களையெல்லாம் உனக்குத் திரும்பக்கொடுப்பேன்; நீ என் பந்தியில் நித்தம் அப்பம் புசிப்பாய் என்றான்.
"
"""2SA 9:7, David said to him, """"Do not fear, for I will surely show grace to you for the sake of your father Jonathan, and will restore to you all the land of your grandfather Saul; and you shall eat at my table regularly.""
","9:7 தாவீது அவனைப் பார்த்துஃ நீ பயப்படாதே; உன் தகப்பனாகிய யோனத்தான்நிமித்தம் நான் நிச்சயமாய் உனக்குத் தயைசெய்து, உன் தகப்பனாகிய சவுலின் நிலங்களையெல்லாம் உனக்குத் திரும்பக்கொடுப்பேன்; நீ என் பந்தியில் நித்தம் அப்பம் புசிப்பாய் என்றான்.
"
"""A father before he died said to his son: """"this is a watch your grandfather gave and this is more than 200 years old, but before I give it to you go to the Watch shop on the first street, tell them I want to sell it, and see how much it is worth.""""""
","""ஒரு தந்தை தனது இறுதி காலத்தில் மகனை அழைத்து சொன்னார், """"மகனே, இது உனது பூட்டனின் கைக்கடிகாரம், 200 வருடங்கள் பழைமை வாய்ந்தது, நான் இதனை உனக்கு தருவதற்கு முன்னால் நீ கடைவீதிக்கு சென்று கைக்கடிகார கடையில் நான் இதனை விற்கப் போகிறேன் எவ்வளவு விலை மதிப்பீர்கள் என்று கேட்டுப் பார் என்றார்.""
"
"""A father before he died said to his son: """"this is a watch your grandfather gave and this is more than 200 years old, but before I give it to you go to the watc... h shop on the first street, and tell him I want to sell it, and see how much it is.""""""
","""ஒரு தந்தை தனது இறுதி காலத்தில் மகனை அழைத்துச் சொன்னார், """"மகனே, இது உனது பூட்டனின் கைக்கடிகாரம், 200 வருடங்கள் பழைமை வாய்ந்தது, நான் இதனை உனக்குத் தருவதற்கு முன்னால் நீ கடைவீதிக்குச் சென்று கைக்கடிகாரக் கடையில் நான் இதனை விற்கப் போகிறேன் எவ்வளவு விலை மதிப்பீர்கள் என்று கேட்டுப் பார்?""
"
"""A father before he died said to his son: """"this is a watch your grandfather gave and this is more than 200 years old, but before I give it to you go to the watch shop on the first street, and tell him I want to sell it, and see how much it is.""""""
","""ஒரு தந்தை தனது இறுதி காலத்தில் மகனை அழைத்துச் சொன்னார், """"மகனே, இது உனது பூட்டனின் கைக்கடிகாரம், 200 வருடங்கள் பழைமை வாய்ந்தது, நான் இதனை உனக்குத் தருவதற்கு முன்னால் நீ கடைவீதிக்குச் சென்று கைக்கடிகாரக் கடையில் நான் இதனை விற்கப் போகிறேன் எவ்வளவு விலை மதிப்பீர்கள் என்று கேட்டுப் பார்?""
"
"""A father before he died said to his son: """"this is a watch your grandfather gave and this is more than 200 years old, but before I give it to you go to the watch shop on the first...""
","""ஒரு தந்தை தனது இறுதி காலத்தில் மகனை அழைத்துச் சொன்னார், """"மகனே, இது உனது பூட்டனின் கைக்கடிகாரம், 200 வருடங்கள் பழைமை வாய்ந்தது, நான் இதனை உனக்குத் தருவதற்கு முன்னால் நீ கடைவீதிக்குச் சென்று கைக்கடிகாரக் கடையில் நான் இதனை விற்கப் போகிறேன் எவ்வளவு விலை மதிப்பீர்கள் என்று கேட்டுப் பார்?""
"
"""A father before he died said to his son: """"this is a watch your grandfather gave to me, and it's more than 200 years old, but before I give it to you go to the watch shop on the first street, and tell him I want to sell it to see how... moreKnow your worth!""
","""ஒரு தந்தை தனது இறுதி காலத்தில் மகனை அழைத்துச் சொன்னார், """"மகனே, இது உனது பூட்டனின் கைக்கடிகாரம், 200 வருடங்கள் பழைமை வாய்ந்தது, நான் இதனை உனக்குத் தருவதற்கு முன்னால் நீ கடைவீதிக்குச் சென்று கைக்கடிகாரக் கடையில் நான் இதனை விற்கப் போகிறேன் எவ்வளவு விலை மதிப்பீர்கள் என்று கேட்டுப் பார்?""
"
"""At the next morning my grandfather asked me """"How did you sleep?""""""
","""காலையில் விடிந்ததும் அண்ணி என்னிடம் , """" உனக்கு என்ன அப்படி தூக்கம்?""
"
"""Exodus 10:6 Then your houses shall be filled and the houses of all your servants and the houses of all the Egyptians, something which neither your fathers nor your grandfathers have seen, from the day that they came upon the earth until this day.'""""""
","10:6 அவர்கள் உங்கள் வீடுகளில் நிரப்ப வேண்டும், உன் ஊழியக்காரர் அந்த எகிப்தியரின்ஃ உங்கள் தந்தைமார்களும் முன்னோர்கள் போல் பல பார்த்ததில்லை, அவர்கள் பூமியின் மீது எழுந்து அந்த நேரத்தில் இருந்து, கூட இந்த இன்று வரை.
"
"""Exodus 10:6, ESV: """"and they shall fill your houses and the houses of all your servants and of all the Egyptians, as neither your fathers nor your grandfathers have seen, from the day they came on earth to this day.'""""""
","10:6 அவர்கள் உங்கள் வீடுகளில் நிரப்ப வேண்டும், உன் ஊழியக்காரர் அந்த எகிப்தியரின்ஃ உங்கள் தந்தைமார்களும் முன்னோர்கள் போல் பல பார்த்ததில்லை, அவர்கள் பூமியின் மீது எழுந்து அந்த நேரத்தில் இருந்து, கூட இந்த இன்று வரை.
"
"""He told my grandfather, """"Why are you worried?""
","""நான் என் அப்பாவிடம் சொன்னேன்,"""" ஏன் கவலைப்படுகிறீர்கள்.""
"
"""Her grandfather was located in a hospital"""" in Chennai.""
","""அவரோட அண்ணன் தான் சென்னையில ஒரு ஆஸ்பத்திரியிலே சேத்துட்டாராம்""""""
"
"""My grandfather sold...""""""
","""மாமனார் வாங்கித் தந்தது. . . """"""
"
"""My grandfather was 92 when he died... Read more """"""
","""அவர் உயிரிழக்கும் போது அவருக்கு வயது 92.. . Read more """"""
"
"""My grandfather wrote it.""""""
","""எல்லாம் என் மாமனார் தான் எழுதிக் கொடுத்தார்""""""
"
"""You are my father, my grandfather, my great grandfather.""""""
","""நீங்க என் அப்பா, பெத்த மககிட்டயே. . . """"""
"
"""Ziba said to him, """"He [Mephibosheth] is staying in Jerusalem, because he thinks, 'Today the Israelites will restore to me my grandfather's kingdom.'""""""
","""சீபா அரசனிடம், """"மேவிபோசேத் எருசலேமில் இருக்கிறான் ஏனென்றால் அவன் 'இன்று என் பாட்டனாரின் அரசை இஸ்ரவலர்கள் எனக்குத் திருப்பிக் கொடுப்பார்கள் என நினைக்கிறான்'"""" என்று கூறினான்.""
"
"""to me like your father and grandfather.""""""
","""உங்க அப்பா மாதிரி எனக்கும் ஊர்தான்மா பிடிக்கும்.""""""
"
"'People might think I have no direct connection with farming...that I am studying in the US, I will also work and get married there, but my father and grandfather are farmers.
","""""""எனக்கு விவசாயத்துடன் நேரடி தொடர்பு இல்லை என்று மக்கள் நினைக்கலாம், நான் அமெரிக்காவில் படித்து வருகிறேன், நானும் அங்கே வேலை செய்து திருமணம் செய்துகொள்வேன்.""
"
"(My grandfather's youngest brother).
","(உம்மாவின் மூத்த சகோதரர்.
"
"(The house is my grandfather's father's house.
","(இந்த வீடு என் மாமாவுக்கு சொந்தமானது.
"
"(a) His father. (b) His grandfather. (c) His uncle. (d) His brother.
","A) மாமா (அ) சித்தப்பா B) தந்தை C) மாமா (அ) பெரியப்பா D) அவரே
"
"(a) His older brother (b) His father (c) His grandfather (d) His uncle
","A) மாமா (அ) சித்தப்பா B) தந்தை C) மாமா (அ) பெரியப்பா D) அவரே
"
"(a) His son. (b) His uncle. (c) His father. (d) His grandfather.
","A) மாமா (அ) சித்தப்பா B) தந்தை C) மாமா (அ) பெரியப்பா D) அவரே
"
"(a) his father and paternal grandfather were born in Sri Lanka, or
","(ஈ) அவரின் தந்தை வழிப்பேரனும், பாட்டனும், இலங்கையில் பிறந்திருத்தல் வேண்டும்.
"
"(b) his paternal grandfather and paternal great grandfather were born in Sri Lanka.
","(ஈ) அவரின் தந்தை வழிப்பேரனும், பாட்டனும், இலங்கையில் பிறந்திருத்தல் வேண்டும்.
"
"578 AD: Death of his grandfather 'Abdul Muttalib.
","கி. பி. 578: அப்துல் முத்தலிப் அவர்களின் மரணம் (முஹம்மதுவின் தாத்த)
"
"578: Death of Abdul Muttalib, the grandfather of Muhammad (approximate date)
","கி. பி. 578: அப்துல் முத்தலிப் அவர்களின் மரணம் (முஹம்மதுவின் தாத்த)
"
"A 10-year-old Indian girl was beheaded by her grandfather
","10 வயது இந்திய சிறுவன் தந்தையால் அடித்துக் கொலை
"
"A father, grandfather and a friend.
","ஒரு மாமா, ஒரு பெரியண்ணா, ஒரு நண்பர்.
"
"A grandfather, a servant working under him.
","ஒரு தாதா, அவருக்குக் கீழ் வேலை செய்யும் ஒரு அடியாள்.
"
"A patronym , or patronymic , is a component of a personal name based on the name of one's father, grandfather or an even earlier male ancestor.
","தந்தைவழிப் பெயர் என்பது ஒருவர் தனது தந்தை, பாட்டன் அல்லது ஆண் மூதாதை ஒருவரின் பெயரை அடிப்படையாகக் கொண்ட பெயர் ஆகும்.
"
"A patronym is a component of a personal name based on the name of one's father, grandfather or an earlier male ancestor.
","தந்தைவழிப் பெயர் என்பது ஒருவர் தனது தந்தை, பாட்டன் அல்லது ஆண் மூதாதை ஒருவரின் பெயரை அடிப்படையாகக் கொண்ட பெயர் ஆகும்.
"
"A patronym, or patronymic, is a component of a personal name based on the name of one's father, grandfather or an even earlier male ancestor.
","தந்தைவழிப் பெயர் என்பது ஒருவர் தனது தந்தை, பாட்டன் அல்லது ஆண் மூதாதை ஒருவரின் பெயரை அடிப்படையாகக் கொண்ட பெயர் ஆகும்.
"
"A patronymic is a component of a personal name based on the given name of one's father, grandfather, or an earlier male ancestor.
","தந்தைவழிப் பெயர் என்பது ஒருவர் தனது தந்தை, பாட்டன் அல்லது ஆண் மூதாதை ஒருவரின் பெயரை அடிப்படையாகக் கொண்ட பெயர் ஆகும்.
"
"A patronymic name is a component of a surname based on the given name of one's father, grandfather or an even earlier male ancestor.
","தந்தைவழிப் பெயர் என்பது ஒருவர் தனது தந்தை, பாட்டன் அல்லது ஆண் மூதாதை ஒருவரின் பெயரை அடிப்படையாகக் கொண்ட பெயர் ஆகும்.
"
"A three-year-old boy survived as his grandfather was killed in a terror attack on the Central Reserve Police Force (CRPF) in Jammu and Kashmir's Sopore town this morning.
","இன்று காலை ஜம்மு-காஷ்மீரின் சோப்பூர் நகரில் மத்திய ரிசர்வ் போலீஸ் படை (சிஆர்பிஎஃப்) மீது தீவிரவாதிகள் நடத்திய தாக்குதலில், அப்பாவி முதியவர் ஒருவர் கொல்லப்பட்டார்.
"
"Abdul's grandfather said.
","அண்ணன் அப்துல்லா சொல்லிட்டாரு.
"
"Above all else, he was a devoted husband, father, grandfather and good friend.
","ஆனால் எல்லாவற்றிற்கும் மேலாக, அவர் ஒரு அன்பான கணவர், தந்தை மற்றும் ஒரு நல்ல நண்பர்.
"
"Additionally, my mom's grandfather was from India.
","அது தவிர இந்தியாவில் இருந்து அவரது மாமனார் மாமியார் வந்து இருந்தனர்.
"
"Also, my husband's grandfather died.
","அதேபோல, என் தங்கையின் கணவரும் இறந்துவிட்டார்.
"
"Ambedka's father and grandfather were British army soldiers.
","அம்பேதகாரின் தந்தையும், பாட்டானாரும் பிரிட்டிஷ் ராணுவத்தில் பணிபுரிந்திருக்கிறார்கள்.
"
"Amenhotep III, King Tut's father or grandfather, ruled for almost 40 years.
","மூன்றாம் அமென்ஹோடெப் (Amenhotep III) மன்னர் கிட்டத்தட்ட நாற்பது ஆண்டுகள் ஆட்சி செய்தார்
"
"BG 1.26: There, Arjun could see stationed in both armies, his fathers, grandfathers, teachers, maternal uncles, brothers, cousins, sons, nephews, grand-nephews, friends, fathers-in-law, and well-wishers.
","1.26: அர்ஜுனன் அங்கே இரண்டு அணிகளிலும் இருக்கின்ற தந்தையர், பாட்டன்மார், ஆச்சாரியார்கள், மாமன்மார், சகோதரர்கள், பிள்ளைகள், பேரங்கள், தோழர்கள் , மாமனார்கள், மற்றும் நண்பர்களை பார்த்தான்.
"
"BORIS JOHNSON AND Carrie Symonds have named their son Wilfred Lawrie Nicholas Johnson, in a tribute to their grandfathers and the doctors who helped save the UK Prime Minister's life.
","போரிஸ் ஜான்சன் மற்றும் அவரது வருங்கால மனைவி கேரி சைமண்ட்ஸ் ஆகியோர் தங்களது பிறந்த மகனுக்கு வில்பிரட் லாரி நிக்கோலஸ் என்று பெயரிட்டுள்ளனர், இங்கிலாந்து பிரதமரின் உயிரைக் காப்பாற்றிய இரண்டு தீவிர சிகிச்சை மருத்துவர்களை நினைவுகூரும் வகையில் இந்த முடிவை எடுத்து உள்ளனர்.
"
"Because my grandfather is such a person.
","ஏனெனில் அண்ணன் அப்படிப்பட்ட மனிதர்.
"
"Both her father and grandfather are professors.
","அவருடைய தாய்,தந்தை இருவரும் பள்ளி ஆசிரியர்கள்.
"
"Both her grandfather and her father were officers in the Indian Army.
","இவரது தந்தை வழி மற்றும் தாய் வழி தாதகளும் இந்திய ராணுவத்தில் பணியாற்றியவர்கள்.
"
"Both his father and grandfather were school teachers.
","அவருடைய தாய்,தந்தை இருவரும் பள்ளி ஆசிரியர்கள்.
"
"Both his grandfathers were music hall performers.
","இவர் பெற்றோர் இருவரும் மியூசிக் ஹால் கலைஞர்கள்.
"
"Both his paternal as well as maternal grandfathers were in Indian army.
","இவரது தந்தை வழி மற்றும் தாய் வழி தாதகளும் இந்திய ராணுவத்தில் பணியாற்றியவர்கள்.
"
"But his grandfather doesn't agree.
","ஆனால் அண்ணா அதற்கு உடன்படுவதாய் இல்லை.
"
"Children have lost their grandfather.
","தந்தையை இழந்து பிள்ளைகள் அநாதை ஆனது.
"
"Conjecture has grown since Kim's conspicuous no-show at April 15 celebrations for the birthday of his grandfather Kim Il Sung, the North's founder - the most important day in the country's political calendar.
","ஏப்ரல் 15 கொண்டாட்டங்களில் கிம் மோசமான தோற்றத்திலிருந்து, வடக்கின் நிறுவனர் கிம் இல் சுங்கின் பிறந்த நாளில், நாட்டின் அரசியல் நாட்காட்டியில் மிக முக்கியமான நாள்.
"
"Do you know I killed my grandfather?
","நான் உன் பாட்டி தாடகையை கொன்றவன் என தெரியுமா?
"
"Do you know who killed my grandfather?
","மாமாவைக் கொன்றவர்கள் யார் என்று உனக்குத் தெரியுமா?
"
"Do you remember my grandfather?
","என் மாமனாரை உங்களுக்கு நினைவில் உள்ளதா?
"
"Early this year, I lost my grandfather.
","இந்த ஆண்டு ஆரம்பத்தில் என் பெரிய தந்தையை இழந்துவிட்டேன்.
"
"Especially my grandfather's.
","குறிப்பாக அப்பாத்தா.
"
"Going on his first time travel at the age of 6 with his grandfather.
","தனது ஆறாவது வயதில் தந்தையுடன் முதல் வான் வெளி பயணத்தை மேற்கொண்டார்.
"
"HE is just as gorgous as his father and grandfather.
","இவர் தமது தந்தையையும் பாட்டனையும் போலவே சிவபக்தி மிகுந்தவர்.
"
"He also showed my grandfather's picture, which he kept with him!
","அவர் தன்னோடு கொண்டு வந்திருந்த அவருடைய மச்சினன் படத்தையும் நீட்டினார்!
"
"He also worked in the grocery store of his grandfather.
","மாமாவின் மளிகை கடையில் வேலையையும் பார்த்து வந்தார்.
"
"He became a grandfather.
","மாமனார் ஆகிவிட்டார்.
"
"He did want to see his grandfather.
","அண்ணாவைப் பார்க்க வேண்டும் என்று அவர் மிகவும் ஆசைப்பட்டார்.
"
"He didn't want to leave his grandfather.
","அவன் கிட்ட அண்ணாவை விட்டு கொடுக்க இஷ்டம் இல்லை.
"
"He got money from his grandfather.
","மாமாவிடம் இருந்தே பணம் பெற்றார்.
"
"He hadn't heard his grandfather's voice in a long time.
","அப்பாவின் குரல் ரொம்ப நேரமாகக் கேட்கவே இல்லை.
"
"He is the grandson of my great grandfather's oldest brother.
","அவர் என் பெரிய அக்காவின் மூத்த பிள்ளைக்கு மாமனார் ஆவார்.
"
"He is trying to find out the cause of death of his grandfather.
",". தன் தந்தையின் கொலைக்கான காரணத்தை அறிய முற்படுகிறார்.
"
"He knew my grandfather.
","அவர் என் அண்ணாவுக்குத் தெரிந்தவர்.
"
"He learned it all from his grandfather.
","எல்லாம் அவனின் மாமாவைப் பார்த்து கற்றுக் கொண்டவை.
"
"He lost his father at the age of four and brought up by his maternal grandfather.
","தனது நான்காவது வயதிலேயே தாயை இழந்து, தந்தையின் அரவணைப்பில் வளர்ந்தார்.
"
"He never lost the love and memory of his grandfather.
","அவருடைய பாட்டனின் நினைவுகளையும் அவரின் அன்பையும் எனது தந்தை இழந்துவிடவில்லை.
"
"He studied with his grandfather for six years.
","ஆறு ஆண்டுகள் அம்முவுடன் ஒன்றாக படித்தவர்.
"
"He was talking about his father and grandfather.
","அவர் அண்ணன், தம்பி பற்றிப் பேசிக் கொண்டிருந்தார்.
"
"He with the help of his grandfather developed his business.
","தனது மாமாவின் உதவியோடு தன் ஒவியக்கலையை வளர்த்துக்கொண்டார்.
"
"He's become a grandfather.
","மாமனார் ஆகிவிட்டார்.
"
"He's much closer to his grandfather than the rest of his siblings.
","மற்ற மாமன்களை விட அவன் குருவிற்கு ரொம்பவும் நெருக்கம்.
"
"Her father and grandfather also served in the Indian Army.
","இவரது தந்தை வழி மற்றும் தாய் வழி தாதகளும் இந்திய ராணுவத்தில் பணியாற்றியவர்கள்.
"
"Her grandfather came from China.
","இவரது பாட்டி சீனாவைச் சேர்ந்தவர்.
"
"Her grandfather died when she was in third grade.
","இவர் மூன்றாம் வகுப்பு படிக்கும் போது இவரது தந்தை இறந்தார்.
"
"Her grandfather grew up in the home.
","அண்ணா வளர்ந்தது அவரது வீட்டில்தான்.
"
"Her grandfather had the disease.
","இவரது தந்தைக்கு இந்த நோய் வந்திருந்தது.
"
"Her grandfather has Parkinson's disease.
","அப்பாக்கு Parkinson's என்ற நோய் உள்ளது.
"
"Her grandfather was a film producer as well.
","இவருடைய தந்தையும் ஒரு படத் தயாரிப்பாளராக இருந்தவர்தான்.
"
"Her grandfather watched her for a while.
",". அண்ணன் சற்று நேரம் அவளையே பார்த்துக் கொண்டு நின்றான்.
"
"Her grandfather's house.
","அவளின் அண்ணாவின் வீடுதான்.
"
"Her grandfather, King George V, gave her the nickname since she couldn't pronounce her given name, Elizabeth, as a youngster.
","ஜார்ஜ் XNUMX ஆம் மன்னர் அவளுக்கு எலிசபெத் என்ற பெயரை ஒரு குழந்தையாக உச்சரிக்க முடியாததால் அவளுக்கு புனைப்பெயர் கொடுத்தார்.
"
"Her only daughter now lives with her grandfather.
","இந்நிலையில் மூத்த மகள் மட்டும் அவரது தந்தையுடன் வசித்து வந்துள்ளார்.
"
"Her parental grandfathers were from Gujarat, India.
","எனது மூதாதையர்கள் இந்தியாவில் குஜராத் மாநிலத்தை சேர்ந்தவர்கள்.
"
"Here I am with my grandfather.
","நான் இங்கு என் மாமியாருடன் இருக்கிறேன்.
"
"His father (my grandfather) died when he was 13.
","இவரின் இளமைப் பருவத்தில் (13 வயது) இவரது தந்தை காலமானார்.
"
"His father Nichomachus was a famous doctor who served as a personal physician to king Amyntas III, the grandfather of Alexander the Great.
","அவரது தந்தை நிகோமசுஸ், மாசிடோனியா மாகானத்தின் ராஜாவான Amyntas III மருத்துவராக பணியாற்றினார்.
"
"His father and grandfather had also served in the Indian Army.
","இவரது தந்தை வழி மற்றும் தாய் வழி தாதகளும் இந்திய ராணுவத்தில் பணியாற்றியவர்கள்.
"
"His father and grandfather were in Congress too.
","அவரின் அக்கா மற்றும் அப்பா, காங்கிரசில் சேர்ந்து உள்ளனர்.
"
"His father and grandfather were very well known artists.
","இவரின் தந்தையும் தாயும் பிரபல ஓவியர்கள்.
"
"His father was a political prisoner, as my grandfather was, too.
","அவளுடைய அப்பாவும் எனது அப்பாவைப் போன்ற அரசியல் கைதிதான்.
"
"His father was an attorney in the High court of Calcutta and his grandfather a Sanskrit scholar.
","இவர் இவருடைய தந்தை கல்கத்தா உயர்நீதிமன்ற வழக்கறிஞராகவும், கல்கத்தா பல்கலைக் கழகத்தின் துணை வேந்தராகவும் ருந்தார்.
"
"His grandfather Arjan Singh, father Kishan Singh and uncle Ajit Singh, were all participated in the Indian freedom struggle.
","பகத்சிங்கின் தந்தை கிஷன்சிங், அவருடைய சகோதரா் அஜுத்சிங், பாட்டனார் அா்ஜீன் சிங், அனைவருமே நாட்டு விடுதலைக்கு போராடியவா்கள்.
"
"His grandfather Siddalingaiah is a famous Kannada film director.
","இவரது தந்தை சித்தலிங்கையா பிரபலமான கன்னடத் திரைப்படத் தயாரிப்பாளர் ஆவார்.
"
"His grandfather also died trying to save him.
","அவனை காப்பாற்ற முயன்ற மாமாவும் உயிரிழந்தார்.
"
"His grandfather and father also suffered from the condition.
","அவரது தந்தை மற்றும் மருமகன் ஆகியோரும் இதன் போது படுகாயம் அடைந்தனர்.
"
"His grandfather and father served on the NYPD.
","தனது தந்தையும் அண்ணாவும் எல். ரி. ரி. ஈ. யின் பொலிஸ் பிரிவில் கடமையாற்றினர்.
"
"His grandfather and uncle Abu Talib raised him.
","இவரது மாமாவும் சித்தப்பாவும் இவரை வளர்த்தனர்.
"
"His grandfather and uncle raised him up.
","இவரது மாமாவும் சித்தப்பாவும் இவரை வளர்த்தனர்.
"
"His grandfather bought it in 1947.
","அப்பா 1947ல் வாங்கினார்.
"
"His grandfather came here when he was young.
","எங்க அப்பா சின்ன வயசுலயே இங்க வந்துட்டார்.
"
"His grandfather explained it.
","அப்பா அதை விவரித்தார்.
"
"His grandfather had 8 children.
","அவரது தந்தைக்கு 8 குழந்தைகள் பிறந்தனர்.
"
"His grandfather had done something like that?
","தன் அண்ணனா இப்படி ஒரு காரியத்தை செய்து கொண்டு வந்தது?
"
"His grandfather had four wives.
","இவரின் தந்தைக்கு நான்கு மனைவிகள்.
"
"His grandfather is from Kerala.
","அவரது வாப்பா கேரளத்திலிருந்து வந்தவர்.
"
"His grandfather is no ordinary man.
","உங்கள் தந்தை ஒரு சாதாரண மனிதர் அல்ல.
"
