eng_Latn,tam_Taml
"My aunt is 46 years old and has not been married yet.
","எனது சகோதரியின் மகனுக்கு வயது 46. திருமணம் இன்னும் கைகூடவில்லை.
"
"My aunt is currently doing 14 days in solitary confinement.
","""""""தற்போது தங்குவிடுதியில் 14 நாட்கள் தன்னைத் தனிமைப்படுத்திக் கொண்டுள்ளார் என் தம்பி.""
"
"My aunt liked it very much.
","என் மாமனார் மிகவும் ரசித்தார்.
"
"My aunt lived there, too.
","அங்கேதான் மாமாவும் வாழ்ந்தார்.
"
"My aunt said as she looked at me.
","நான் சொன்னதும் அண்ணி என்னை முறைத்து பார்த்தாள்.
"
"My aunt said to me.
","என் மாமா பெண் சொன்னாள்.
"
"My aunt said to.
","என் மாமா பெண் சொன்னாள்.
"
"My aunt stayed outside.
","என் அண்ணா வெளியே நின்றுவிட்டார்.
"
"My aunt told me.
","என் மாமா பெண் சொன்னாள்.
"
"My aunt was discharged from the hospital.
","ஆஸ்பத்திரியிலிருந்து அண்ணியை டிஸ்சார்ஜ் செய்தார்கள்.
"
"My aunt was one.
","என் மாமா ஒருத்தர் இருந்தார்.
"
"My aunt was sleeping in the bedroom.
","அண்ணி ஹாலில் படுத்து தூங்கிக்கொண்டிருந்தாள்.
"
"My aunt went to town.
","என் மாமா ஊருக்குப் போயிருந்தேன்.
"
"My aunt's birthday is coming.
","மாமனார் பிறந்த நாள் விழா வரப்போகிறது.
"
"My aunt's daughter was married the same day.
","அதே நாளில் என் மனைவியின் மாமா மகளின் திருமணம்.
"
"My aunt's family still live there now.
","இன்றும் என் அம்மாவின் மாமாக்கள் குடும்பத்தார் அங்கு உள்ளனர்.
"
"My aunt's house is not far.
","எங்கள் மாமாவின் வீடு அதிக தூரமில்லை.
"
"My aunts played.
","என் அக்காமார்கள் விளையாடியது.
"
"My mom and aunts helped me.
","பாட்டியும் அம்மாவும் எனக்கு வல்லாரைச்சாறு தந்தார்கள்.
"
"My mother is on the right and my aunt is to the left.
","அவருக்கு வலது புறம் அம்மா, இடதுபுறம் மாமா.
"
"No one is in house except me and my aunt.
","என்னையும், என் மகளையும் தவிர வீட்டில் யாருமே இல்லை.
"
"No, no, he is my uncle, you are my aunt!
","இல்லை தாத்தான்னா நீ எனக்கு மாமனாரின் அப்பா, மாமான்னா நீ எனக்கு பங்காளி!
"
"No, not my aunt.
","கூடாது, அண்ணா கூடாது.
"
"On February 23 afternoon, five days after their marriage, Soumya Sekhar Sahu, a 26-year-old software engineer, and his 85-year-old grand aunt Jemamani Sahu were killed and his 22-year-old wife Reema injured when he was opening a parcel that arrived at their home in Patnagarh town of Bolangir.
","திருமணமான ஐந்து நாட்களுக்கு பிறகு, அதாவது கடந்த பிப்ரவரி மாதம் 23 ஆம் தேதி, 26 வயதான மென்பொறியாளரான சௌம்யா சேகர் சாஹு மற்றும் அவரது மனைவியான 22 வயதாகும் ரீமா ஆகியோர் பட்னாகர் என்னும் இடத்திலுள்ள தங்களது புதிய வீட்டின் சமயலறையில் சமைத்து கொண்டிருந்தபோது யாரோ அவர்களின் வீடு கதவை தட்டும் சத்தம் கேட்டது.
"
"On February 23, five days after their marriage, Soumya Sekhar Sahu, a 26-year-old software engineer, and his 85-year-old grand aunt Jemamani Sahu were killed and his 22-year-old wife Reema injured when he was opening a parcel that arrived at their home in Patnagarh.
","திருமணமான ஐந்து நாட்களுக்கு பிறகு, அதாவது கடந்த பிப்ரவரி மாதம் 23 ஆம் தேதி, 26 வயதான மென்பொறியாளரான சௌம்யா சேகர் சாஹு மற்றும் அவரது மனைவியான 22 வயதாகும் ரீமா ஆகியோர் பட்னாகர் என்னும் இடத்திலுள்ள தங்களது புதிய வீட்டின் சமயலறையில் சமைத்து கொண்டிருந்தபோது யாரோ அவர்களின் வீடு கதவை தட்டும் சத்தம் கேட்டது.
"
"Our prayers for your aunt.
","மாமாவுக்கு எங்கள் பிரார்த்தனைகள்.
"
"Police said the victims were her mother and aunt.
","உ செய்யப்பட்டவர்கள் தாயும் மகளும் என்று பொலிஸார் தெரிவித்தனர்.
"
"Raina's aunt Asha Rani, in critical condition, was admitted to a hospital.
","ரெய்னா தந்தை சகோதரியான ஆஷா தேவி ஆபத்தான நிலையில் மருத்துவமனையில் அனுமதிக்கப்பட்டுள்ளார்.
"
"She had love with the boyfriend of her aunt.
","இவரது தனது தங்கையின் தோழியைக் காதலித்து வந்துள்ளார்.
"
"She is my husband's aunt's boyfriend's daughter.
","மணமகனுக்கு சொந்த மாமாவின் மகள் தான் அவர்.
"
"She is only talking to mother and aunt.
","தங்கையோடும் தம்பியோடும் மட்டுமே பேசுவாள்.
"
"She started to look for her brothers and aunt.
",". அவள் அண்ணாவையும் கம்பையும் தேட ஆரம்பித்தாள்.
"
"She was on holiday to visit her aunt.
","விடுமுறையில் அண்ணியை பார்க்க வந்து இருந்தாள்.
"
"She's his aunt!
","அவனது மாமா பெண் தான் அவள் !
"
"She's not our aunt...
","அது நாங்கள் இல்லை அண்ணா . . .
"
"Some of my aunts did not understand.
","சில மேதாவிகளுக்கு புரியாது .
"
"Thank you so much for sharing your aunt's experience.
","உங்கள் மாமவின் அனுபவத்தை பகிர்ந்து கொண்டமைக்கு மிக்க நன்றி .
"
"Thank you to your aunt for her service.
","நன்றி அண்ணா தங்களின் சேவைக்கு.
"
"That is how my mother and aunts cooked it when I was a child.
","என் தாத்தனும் பாட்டியும் தங்களது குழந்தைப் பருவத்தில் இப்படித்தான் உணவெடுத்தார்கள்.
"
"That is not needed, aunt.
","இது தேவையே இல்ல மாமு.
"
"That's the aunt I know.
","நானறிந்த மாமாவா இது.
"
"That's what your aunt said.
",". அதைத்தான் உங்க மாமா சொல்றார்.
"
"The aunt didn't come.
",". தாத்தா வரவே இல்லை.
"
"The aunt has no children.
","மாமாவுக்கு பிள்ளைகள் கிடையாது.
"
"The aunt said.
","மருதையன் சொன்னான்.
"
"The older of my aunts boys are is about eight years younger than me.
","என் சின்னண்ணார் மதுசூதனர் என்னை விட எட்டு வயது மூத்தவர்.
"
"There aren't many aunts like you.
","உன் போல மண்டுகள் அதிகம் கிடையாதுடா.
"
"These aunts are my mom's sisters.
","இந்த இரட்டையர் எனது அம்மாவின் மருமகன்கள்.
"
"They aren't your aunt's kids!
","இவர்கள் அண்ணாவின் தம்பிகள் அல்ல!
"
"This reminds me of a story my aunt told me when I was little.
","இந்த கதை என்னுடைய சிறு வயதில் என் அக்கா என்னை ஓத்ததை பற்றி சொல்கிறேன்.
"
"This story is about me and my aunt.
","இந்த கதை எனக்கும் என் அக்காவுக்கும் நடந்த ஓழ் பற்றியது.
"
"This time I looked at my aunt.
","இம்முறை அண்ணியைப் பார்த்துக்கொண்டே குத்தினேன்.
"
"Today is my aunt's 102nd birthday.
","அறிஞர் அண்ணாவின் 102 ஆம் ஆண்டு பிறந்த நாள் இன்று.
"
"Two of my aunts have passed away.
","எனக்கு புறந்த இரண்டு பசங்க இறந்துபோயிட்டாங்க.
"
"Two of those people were cousins of mine, and one was my aunt.
","உடன் வந்தவர்கள் என் தாய்மாமன்கள் இருவர், என் சித்தப்பா ஒருவர்.
"
"What's your aunt's real name?
","உங்கள் உண்மையான பெயர் என்ன அண்ணாச்சி?
"
"Who's aunt is that?
","யாரு அண்ணா அது ?
"
"Why hadn't his aunt told him about this?
","அதை ஏன் மாமா உங்களிடமே சொல்லவில்லை?
"
"You're like my aunt!
","நீங்கள் எனக்கு மாமா மாதிரி!
"
"You're my aunt?
","அப்போ நீங்கதான் என் அண்ணாவா?
"
