eng_Latn,tam_Taml
"He confirmed that Turkey had also captured Baghdadi's sister and brother-in-law.
","பாக்தாதியின் சகோதரியையும் அவர் கணவரையும்கூட துருக்கி கைது செய்துள்ளதை உறுதிப் படுத்தினார்.
"
"He further added that his sister and her husband later moved to India but he realised that Kavita was still talking to his brother-in-law.
","தனது சகோதரியும் அவரது கணவரும் பின்னர் இந்தியாவுக்குச் சென்றதாகவும், ஆனால் கவிதா இன்னும் தனது மைத்துனருடன் பேசுவதை உணர்ந்ததாகவும் அவர் கூறினார்.
"
"He had also alleged that his wife was living an adulterous life with her brother-in-law (her sister's husband).
","அவர் தனது மனைவி தனது மைத்துனருடன் (அவரது சகோதரியின் கணவர்) விபச்சார வாழ்க்கை வாழ்வதாகவும் அவர் குற்றம் சாட்டியிருந்தார்.
"
"He had to act fast as he knew his sister and brother-in-law would return soon.
","அவர் தனது சகோதரி மற்றும் அண்ணி விரைவில் திரும்புவார் என்று தெரிந்ததால் அவர் வேகமாக செயல்பட வேண்டியிருந்தது.
"
"He said that his sister and her husband later moved to India but later realised that Kavita was still speaking to his brother-in-law.
","தனது சகோதரியும் அவரது கணவரும் பின்னர் இந்தியாவுக்குச் சென்றதாகவும், ஆனால் கவிதா இன்னும் தனது மைத்துனருடன் பேசுவதை உணர்ந்ததாகவும் அவர் கூறினார்.
"
"Her brother-in-law is also an IAS officer.
","இவரது தம்பியும் ஐஏஎஸ் அதிகாரி ஆவார்.
"
"Her brother-in-law was killed a month ago for the same reason.
","அதற்கு ஒரு மாதத்திற்கு முன்னர் இதே காரணத்துக்காக அவரது கணவரும் தன்னுயிரை மாய்த்துக் கொண்டுள்ளார்.
"
"His brother-in-law ran the London Marathon and raised over £10,000 in his name.
","அவரது சகோதரர் அண்ணி லண்டன் மராத்தான் ஓடி, அவருடைய பெயரில் 10,000 பவுண்டுகள் மேல் உயர்த்தினார்.
"
"Is my brother-in-law different?
","எனது சித்தி பெண்ணுக்கு மாறுகண் உள்ளது?
"
"Jack gave him a surreptitious glance and saw that rather than glowing red with exertion, his brother-in-law's face had paled.
","ஜாக் அவருக்கு ஒரு மறைமுகமான பார்வையைத் தந்தார், உழைப்புடன் சிவப்பு நிறத்தை ஒளிரச் செய்வதைக் காட்டிலும், அவரது மைத்துனரின் முகம் பளபளப்பாக இருப்பதைக் கண்டார்.
"
"Janarthanan Vijayaratnam, a 40-year-old Sri Lankan national and UK resident was fatally shot by police in an apparent car chase and shootout in the early hours of 14 September, alongside his Malaysian brother-in-law and a second Malaysian man.
","பிரித்தானிய பிரஜையான 40 வயதுடைய ஜனார்த்தனம் விஜயரட்ணம் என்பவர் கடந்த செப்டம்பர் மாதம் 14 ஆம் திகதி அதிகாலையில், அவரது மலேசிய அண்ணி மற்றும் ஒரு மலேசிய நபருடன், சுட்டுக்கொல்லப்பட்டார்.
"
"Jayalalithaa's brother-in-law Deepak has warned that if any film or series is taken without his permission, He will take severe action against them.
","தீபக், எங்கள் குடும்பத்தினரின் அனுமதி இன்றி எந்த ஒரு படமோ அல்லது தொடரோ ஜெயலலிதா அவர்களை மையமாக வைத்து எடுக்கப்பட்டால் அவர்கள் மீது கடுமையான நடவடிக்கை எடுக்கப்படும் என்று எச்சரிக்கை விடுத்துள்ளார்.
"
"Jyothika and brother-in-law Karthi are set to act as siblings in an upcoming movie to be directed by Jeethu Joseph.
","ஜீத்து ஜோசப் இயக்கத்தில் உருவாகி வரும் புதிய திரைப்படத்தில் ஜோதிகாவும், கார்த்தியும் அக்கா-தம்பியாக நடிக்கின்றனர்.
"
"Malayalam Superstar Mohanlal is his brother-in-law.
","மலையாள சூப்பர் ஸ்டார் மோகன்லால் இவரது மருமகன்.
"
"My brother-in-law called 911 and she was taken to the hospital via ambulance.
","விரைந்து வந்த தாய் 911க்கு போன் செய்து ஆம்புலன்ஸ் மூலம் மருத்துவமனைக்கு அழைத்து சென்றுள்ளார்.
"
"My brother-in-law laughs at us too!
","அண்ணாவும் எங்களோடு சேர்ந்து உரக்கச் சிரிக்கிறார்!
"
"My dad, brother-in-law and I all finished strong.
","முடிந்தது. நான்,தம்பிகள், அப்பா எல்லோரும் அப்போது பலமாக இணைந்திருந்தோம்.
"
"My father, my mother, my brother-in-law, and my daughter died one after another.
","எனது பாட்டி, தந்தை,மனைவி, சகோதரன் ஆகியோர் ஒருவர் பின் ஒருவராக இறந்தனர்.
"
"N-Number of Siblings: 2 sisters and 2 brothers and one brother-in-law
","N - Numberof siblings - 2 அன்பான அக்காக்களும் 2 அன்பான அண்ணன்களும்
"
"Nirav Modi's brother-in-law will assist the ED in its investigation of the PNB fraud case
","நீரவ் மோடியின் சகோதரர் பி. என். பி மோசடி வழக்கில் ED க்கு உதவ முன்வருகிறார் - இந்திய செய்தி
"
"On Sunday, the woman's brother-in-law and one more person attacked her father and killed him, he said.
","ஞாயிற்றுக்கிழமை, அந்த பெண்ணின் மைத்துனரும் மேலும் ஒருவரும் தனது தந்தையைத் தாக்கி கொலை செய்ததாக அவர் கூறினார்.
"
"On his wife's insistence, he adopted Asifa, the daughter of his brother-in-law.
","இதையடுத்து அவரது மனைவி வலியுறுத்தியதால் அவர் தமது மைத்துனரின் மகளான ஆசிஃபாவை தத்து எடுத்து வளர்த்து வந்தார்.
"
"Police will now be attempting to track down the Indian Air Force sergeant's brother-in-law.
","பொலிஸ் இப்போது இந்திய விமானப்படை சார்ஜெண்டின் மைத்துனரைக் கண்டுபிடிக்க முயற்சிக்கும்.
"
"Prison officials explained that Sarabjit had visited the jail to see her brother-in-law, however, they did not know that she was carrying drugs.
","சிறைச்சாலை அதிகாரிகள் சரப்ஜித் தனது மைத்துனரைப் பார்க்க சிறைக்குச் சென்றிருந்தனர், இருப்பினும், அவர் போதைப்பொருள் எடுத்துச் செல்வது அவர்களுக்குத் தெரியாது.
"
"Punam Sharma, helpline in-charge said that the victim alleged that she was 'married' to the brother-in-law of her sister on 16th February this year after he raped her.
","பிப்ரவரி 16'ஆம் தேதி பாலியல் பலாத்காரத்திற்குப் பிறகு பாதிக்கப்பட்ட சிறுமி, தனது சகோதரியின் மைத்துனருடன் திருமணம் செய்ததாக புனம் சர்மா என்ற ஹெல்ப்லைன் இன்சார்ஜ் தெரிவித்துள்ளார்.
"
"Sarabjit tried to smuggle the drugs into prison in order to give to her brother-in-law.
","சரப்ஜித் தனது மைத்துனருக்குக் கொடுப்பதற்காக போதைப்பொருட்களை சிறைக்குள் கடத்த முயன்றார்.
"
"She allegedly took her brother-in-law's four-year-old daughter for tuition classes to the accused's place.
","அவர் தனது மைத்துனரின் நான்கு வயது மகளை கல்வி வகுப்புகளுக்காக குற்றம் சாட்டப்பட்டவரின் இடத்திற்கு அழைத்துச் சென்றதாக கூறப்படுகிறது.
"
"She grew very close to my ex brother-in-law spending more and more time with him especially when I was out on business trips.
","""""""என் முன்னாள் அண்ணி அவருடன் அதிக நேரம் செலவழிக்க மிகவும் நெருக்கமாக வளர்ந்தாள், குறிப்பாக நான் வணிக பயணங்களுக்கு வெளியே இருந்தபோது.""
"
"She has moved to her brother-in-law's house at Kalwa, Maharashtra two months prior to the incident.
","இந்த சம்பவத்திற்கு இரண்டு மாதங்களுக்கு முன்னர் மகாராஷ்டிராவின் கல்வாவில் உள்ள தனது மைத்துனரின் வீட்டிற்கு சென்றுள்ளார்.
"
"She wanted to follow in the footsteps of her father and brother-in-law.
","அவள் தன் சகோதரன் மற்றும் தந்தையின் கால்தடங்களை பின்பற்ற விரும்புகிறாள்.
"
"Sridevi had no history of a heart attack, reveals brother-in-law Sanjay Kapoor
","ஸ்ரீதேவிக்கு இதய நோய்க்கான அறிகுறிகள் இருந்ததில்லை - சஞ்சய் கபூர்
"
"Sridevi had no history of heart disease, reveals brother-in-law Sanjay Kapoor
","ஸ்ரீதேவிக்கு இதய நோய்க்கான அறிகுறிகள் இருந்ததில்லை - சஞ்சய் கபூர்
"
"Story: A psychological thriller surrounding the real murders of Manfred and Marísia von Richthofen orchestrated by their own daughter, Suzane, along with her boyfriend and brother-in-law, the Cravinhos brothers.
","கதை சுருக்கம்ஃ மன்ஃப்ரெட் மற்றும் மரிசியா வான் ரிச்ச்தோஃபெனின் உண்மையான கொலைகளைச் சுற்றியுள்ள ஒரு உளவியல் த்ரில்லர் அவர்களின் சொந்த மகள் சுசேன் மற்றும் அவரது காதலன் மற்றும் மைத்துனரான கிராவின்ஹோஸ் சகோதரர்களுடன் இணைந்து நடத்தப்பட்டது.
"
"Synopsis: A psychological thriller surrounding the real murders of Manfred and Marisia von Richthofen orchestrated by their own daughter, Suzane, along with her boyfriend and brother-in-law, the Cravinhos brothers.
","கதை சுருக்கம்ஃ மன்ஃப்ரெட் மற்றும் மரிசியா வான் ரிச்ச்தோஃபெனின் உண்மையான கொலைகளைச் சுற்றியுள்ள ஒரு உளவியல் த்ரில்லர் அவர்களின் சொந்த மகள் சுசேன் மற்றும் அவரது காதலன் மற்றும் மைத்துனரான கிராவின்ஹோஸ் சகோதரர்களுடன் இணைந்து நடத்தப்பட்டது.
"
"The brother-in-law of China's president Xi Jinping and family members of other senior officials in the country are included in the documents as having set up offshore companies.
","சீன ஜனாதிபதி ஸி ஜின்பிங்கின் குடும்ப உறுப்பினர்களும் அந்நாட்டின் அதிகாரத்துவம் பொருந்திய சபையின் ஏனைய உறுப்பினர்கள் இருவரும் வெளிநாடுகளில் செயற்பட்டு வந்த நிறுவனங்களுடன் தொடர்பைக் கொண்டுள்ள தாக அந்த ஆவணங்களில் பெயர் குறிப்பிடப்பட்டுள்ளனர்.
"
"The victim, Vijay Singh, 51, left a suicide note accusing brother-in-law and retired IAS officer Vinod Kumar Pawar of putting pressure on him to get the demonetised notes exchanged, he said.
","51 வயதான விஜய் சிங் எழுதிவைத்த தற்கொலை குறிப்பில் அவரது மைத்துனனும் ஓய்வுபெற்ற ஐ. ஏ. எஸ். அதிகாரி வினோத் குமார் பவார் மதிப்பு நீக்கப்பட்ட தாள்களை பரிமாற்றக் கூறி தன்னை நிர்பந்தித்ததாக எழுதியுள்ளதாக ஷலோக் குமார் தெரிவித்தார்.
"
"There were five of us (my husband and I, our two sons and my brother-in-law...
","நாங்கள் 5 பேரும் (நான், அயித்தான், பிள்ளைகள் மற்றும் என்
"
"Vijay TV's Pandian Stores serial brother-in-law is not only united, but also married to his daughter-in-law.
","சென்னைஃ விஜய் டிவியின் பாண்டியன் ஸ்டோர்ஸ் சீரியல் அண்ணன் தம்பிகள் ஒற்றுமை மட்டும் இல்லை, இவர்களை திருமணம் செய்துகொண்ட மருமகள்கள் ஒற்றுமையையும் காண்பிக்கிறது.
"
"Were you calling me brother-in-law?
","நீ எதெச்சையா என்னை அண்ணன்னு கூப்பிட்டியா ?
"
"When Edward died on January 5, 1066, the throne was taken by Harold Godwinson, the late king's brother-in-law and his closest adviser.
","எட்வர்ட் ஜனவரி 5, 1066 அன்று இறந்த போது, அரியணை தொடர்பான முடிவு , காலமான அரசரின் மைத்துனனும் மற்றும் அவரது நெருங்கிய ஆலோசகருமான ஹரோல்ட் கோட்வின்சன் என்பவரால் எடுக்கப்பட்டது.
"
"Within a month of her husband's death, Gertrude has married her brother-in-law.
","கணவரின் மரணத்திற்கு ஒரு மாதத்திற்குள், கெர்ர்ருட் தனது மாமனாரை மணந்தார்.
"
"Your brother-in-law is a very cruel man!
","உன் ஆர்யபுத்திரர் ஒரு மோசமான குரூரமான மனிதன்!
"
"the three founders were soon joined by George Hawtin's brother and brother-in-law, Ernest Hawtin and Milford Kilpatric.
","இந்த மூன்று நிறுவனர்களும் விரைவில் ஜார்ஜ் ஹாவ்ட்டின் சகோதரரும் மைத்துனருமான எர்னஸ்ட் ஹாவ்டின் மற்றும் மில்ஃபோர்ட் கில்பாட்ரிக் ஆகியோரால் இணைந்தனர்.
"
"He lives in a rented house with his mother, wife, two children and a brother-in-law.
","காயத்ரி வீட்டில் அவரது கணவர், தாயார், இரு குழந்தைகள், வாடகைக்கு குடியிருக்கும் இருவர் உள்ளிட்டோர் இருந்துள்ளனர்.
"
"Imran Zafar Malik, Shoaib's brother-in-law, however, dismissed the marriage certificate as a fake and said when no Nikah ceremony ever took place the document had no value at all.
","ஆனால் ஷோயப் மாலிக்கின் உறவினர் இம்ரான் சஃபர் மாலிக், இந்தத் திருமணச்சான்றிதழ் போலியானது என்றும், திருமண சடங்கே நடைபெறாத போது இந்தச் சான்றிதழுக்கு என்ன மதிப்பு இருக்க முடியும் என்று கேள்வி எழுப்பியுள்ளார்.
"
"I am very sorry for loss of your brother-in-law.
","உன் புருசன் உயிரைக் கொண்டு போறதுக்கு நான் மிகவும் வருந்துறேன்.
"
"Here, unlike most other hospitals, we are allowed to see our patient on a daily basis, and this is a relief for the family,” says Bala K, whose 32-year-old brother-in-law is undergoing treatment inside.
","இங்கே, மற்ற மருத்துவமனைகளைப் போலல்லாமல், எங்கள் நோயாளியை தினசரி பார்க்க அனுமதிக்கப் படுகிறோம், இது குடும்பத்திற்கு ஒரு நிவாரணம் ”என்று பாலா கே கூறுகிறார், 32 வயதான அண்ணி உள்ளே சிகிச்சை பெற்று வருகிறார்.
"
"Congress Vice President Rahul Gandhi along with his sister Priyanka Gandhi Vadra and brother-in-law Robert Vadra laid flowers and wreaths at […]
","மேலும் காங்கிரஸ் துணை தலைவர் ராகுல் காந்தி, அவரது சகோதரி பிரியங்கா வாத்ரா ஆகியோர் தங்கள் தந்தை ராஜீவின் சமாதியில் மலர் தூவி அஞ்சலி செலுத்தினர்.
"
"Harikrishna’s brother-in-law and Andhra Pradesh chief minister N Chandrababu Naidu, expressed shock over the incident.
","ஹரிகிருஷ்ணாவின் மைத்துனரும், ஆந்திர மாநில முதல்-மந்திரியுமான சந்திரபாபு நாயுடு தகவல் கேட்டு அதிர்ச்சி அடைந்தார்.
"
"Hafiz Saeed’s brother-in-law arrested in Pakistan
","ஹஃபீஸ் சயீத் பாகிஸ்தானில் கைது
"
"“My brother-in-law is.
","“என் பேரு வீணா.
"
"“My brother-in-law is.
","``என் பேரு அலமேலு.
"
"“My brother-in-law is.
","''என் பேரு சிவஞானம்.
"
"“We""re all here, my parents, my sister, brother-in-law and my two extremely naughty nephews and my younger brother.
","``அம்மா, இரண்டு அண்ணன்கள், இரண்டு அண்ணிகள், மூத்த அண்ணனின் இரண்டு குழந்தைகள், அப்புறம் நான் என மிகவும் கலகலப்பான கூட்டுக் குடும்பம் எங்களுடையது.
"
"He was the father of famous Telugu actor NTR Jr and the brother-in-law of CM Chandrababu Naidu.
","இவர் பிரபல தெலுங்கு நடிகர் ஜூனியர் என்டிஆரின் தந்தை ஆவார்.
"
"""A case has been registered against her father, mother, sister and brother-in-law,"""" police said.""
","பெண்ணின் தந்தை, அண்ணன்கள், அண்ணி ஆகியோர் மீது போலீசார் கொலை வழக்கு பதிவு செய்துள்ளனர்.
"
"Ali, Prophet Muhamad's brother-in-law, was the fourth caliph and first imam.
","அலீ முகம்மது நபியின் பெரிய தந்தையின் மகனும், முகம்மது நபியின் மருமகனுமான அலீ அவர்கள் நான்காவது கலீபாவாகப் பதவி வகித்தார்.
"
"“My brother-in-law is.
","‘‘என் பேரு பாலுச்சாமிங்க.
"
"A dearly beloved father, father-in-law, grandfather, brother, brother-in-law, uncle and friend to many.
","அன்பின் அப்பா, அம்மா, அண்ணா,அக்கா, மற்றும் உற்றார், உறவினர்கள், நண்பர்கள்.
"
"As Rahul Gandhi geared up to file his nominations for a tough contest in Amethi, he was accompanied by his mother Sonia Gandhi, sister Priyanka Gandhi Vadra and brother-in-law Robert Vadra.
","வேட்பு மனு தாக்கலின் போது, ராகுல் காந்தியின் தாயார் சோனியா காந்தி, சகோதரி பிரியங்கா, அவரது கணவர் ராபர்ட் வதேரா ஆகியோர் உடனிருந்தனர்.
"
"A fight ensued between the brother and brother-in-law.
","இதில் அண்ணன் & தம்பி இடையே வாக்குவாதம் ஏற்பட்டது.
"
"“My brother-in-law is.
","""""என் பேரு மாரிமுத்து தம்பி.
"
"“My brother-in-law is.
","''என் பேரு ஸ்ருதி.
"
"Apart from this, the entire Kapoor family including Boney Kapoor, children Janhvi and Khushi and brother-in-law Anil Kapoor, also held a puja in her remembrance in Chennai .
","இந்த சிறப்பு பூஜையில், போனி கபூர், மகள்கள் ஜான்வி கபூர் , குஷி கபூர், போனி கபூரின் சகோதரர் அனில் கபூர் மற்றும் உறவினர்கள் பலர் கலந்துகொள்கின்றனர் என்பது குறிப்பிடத்தக்கது.
"
"He was also the brother-in-law of Andhra Pradesh Chief Minister N. Chandrababu Naidu and a member of the State’s ruling Telugu Desam Party.
","தற்போதைய ஆந்திர முதல்வர் சந்திரபாபு நாயுடுவின் உறவினரான இவர், தெலுங்கு தேசம் கட்சியிலும் முக்கியப்பொறுப்பு வகித்து வந்தார்.
"
"“My brother-in-law is.
","“என் பேரு சடகோபன்.
"
"“My brother-in-law is.
","""""என் பேரு வேலுச்சாமி.
"
"Born into a judges’ family, he is the son of former Calcutta HC Judge Salil Kumar Datta and brother-in-law of Justice Amitava Roy, former SC judge.
","அமிதவா ராயின் மாமனார் சலில் குமார் தத்தா, கல்கத்தா உயர் நீதிமன்ற நீதிபதியாக இருந்தவர்.
"
"Two weeks after the suicide, one of her brothers-in-law lodged a police complaint accusing Aparna's father Arun and brother Amol of pushing Sanjay towards death.
","சஞ்சய் தற்கொலை செய்த இரண்டு வாரங்களுக்குப் பிறகு, அபர்ணாவின் தந்தை அருண் மற்றும் சகோதரர் ஆமோல் ஆகியோர் மீது சஞ்சயை தற்கொலைக்கு தூண்டியதாக அவரது சகோதரர் ஒருவர் போலீசில் புகார் செய்தார்.
"
"Your husband and brothers-in-law have also been suspended from their jobs.
","உங்களுடைய கணவரும், அவருடைய சகோதரரும் கூட வேலையில் இருந்து நீக்கப்பட்டிருக்கிறார்கள்.
"
