eng_Latn,tam_Taml
"""""""I know the death penalty will not bring Anthony back, but this is one of the worst kind of crimes you could commit so it deserves the worst kind of punishment,"""" the Anthony Avalos' uncle said.""
","'மரண தண்டனை அந்தோனியை மீண்டும் கொண்டுவராது என்று எனக்குத் தெரியும், ஆனால் இது நீங்கள் செய்யக்கூடிய மிக மோசமான குற்றங்களில் ஒன்றாகும், எனவே இது மிக மோசமான தண்டனைக்கு தகுதியானது' என்று அவர் கூறினார் லாஸ் ஏஞ்சல்ஸ் டைம்ஸ் .
"
"""""""I love my uncle.""
","""""""எனக்கு அண்ணியை பிடிச்சிருக்கு.""
"
"""""""I wouldn't believe what your uncle told you.""
","""""""உன்ன பத்தி உன் தம்பி சொன்னப்போ கூட நான் முழுசா நம்பல.""
"
"""""""I'm here to see my uncle.""
","""""""அண்ணியைப் பார்க்க வந்தேன்.""
"
"""""""I'm not lying, uncle!""
","""""""நான் பொய் சொல்லவில்லை சுவாமி!""
"
"""""""Is that a pigeon, uncle?""""""
","""""""அது பூச்சாண்டியா டாடி?""
"
"""""""It is my uncle's house.""
","""""""இது என் மாமன் வீடு.""
"
"""""""My uncle called me.""
",""""""" அண்ணன் என்னை அழைத்தான்.""
"
"""""""My uncle helped him get the job.""""""
","""""""என் அண்ணா அந்த வேலையைப் பெற உதவி செய்தார்.""
"
"""""""My uncle is a good man.""
",""""""" என் மாமனார் அப்படி ஒரு நல்ல மனுஷன்.""
"
"""""""My uncle is avenged.""""""
","""""""எம் மாமனார் குடுத்தாரு.""
"
"""""""My uncle loves you.""
","""'அண்ணன் ாள் """"நான் உங்களக் காதலிக்கிறேன்.""
"
"""""""My uncle said to.""""""
","""""""என் மாமனார் தான் சொன்னார்-டா.""
"
"""""""My uncle said.""
","""""""என் மாமனார் தான் சொன்னார்-டா.""
"
"""""""My uncle used to live on that street.""
","""""""எங்க தாத்தா இந்த ரோட்டோரத்துலதான் வாழ்ந்தாங்க.""
"
"""""""My uncle's a good man.""
",""""""" என் மாமனார் அப்படி ஒரு நல்ல மனுஷன்.""
"
"""""""Sweetie, have you seen your uncle?""""""
","""""""ரத்தினு, பார்த்தாயா அண்ணியை?""
"
"""""""Then where is your uncle now?""""""
",""""""" இப்போ உன் மாமனார் எங்கே இருக்கார்.""
"
"""""""This dock belongs to my uncle.""
","""""""இந்த வர்த்தகம் என் மாமனாருக்கு சொந்தமானது.""
"
"""""""This is my uncle's home.""
","""""""இது என் மாமன் வீடு.""
"
"""""""This is my uncle's house.""
","""""""இது என் மாமன் வீடு.""
"
"""""""This is my uncle's house.""""""
","""""""இது என் மாமன் வீடு.""
"
"""""""This... this is my uncle's house.""""""
","""""""இல்லை"""" இது எங்க வீட்டுக்காரர் வீடு, இது என் மாமனார் வீடு"""" என்பார்கள்.""
"
"""""""Today my three maternal uncles attacked my mother when I and my brother were not home.""
","""""""நானும் என் சகோதரனும் வீட்டில் இல்லாதபோது இன்று என் இரு மாமியார் என் அம்மாவைத் தாக்கினர்.""
"
"""""""Two uncles.""
","""""""இரு தம்பி.""
"
"""""""What are you doing to my uncle?""
","""""""அண்ணாக்குட ்டி. . என்ன செய்றாய்.""
"
"""""""What did your uncle say about me?""""""
","""""""""""எங்க சார் என்னைப் பற்றி என்னப்பா சொன்னாங்க?""
"
"""""""What did your uncle say?""""""
","'உங்க மாமனார் என்ன சொன்னார் ?
"
"""""""What has your uncle said about me?""""""
","""""""""""எங்க சார் என்னைப் பற்றி என்னப்பா சொன்னாங்க?""
"
"""""""Where is your uncle now?""
",""""""" இப்போ உன் மாமனார் எங்கே இருக்கார்.""
"
"""""""Where is your uncle now?""""""
",""""""" இப்போ உன் மாமனார் எங்கே இருக்கார்.""
"
"""""""Where my uncle lived.""
","""""""உங்கப்பா வாழ்ந்த இடம்.""
"
"""""""Where's your uncle now?""""""
",""""""" இப்போ உன் மாமனார் எங்கே இருக்கார்.""
"
"""""""Why not? why should I not see my uncle?""""""
","""""""ஏன் அண்ணா? . . நான் பார்க்கக் கூடாதா?""
"
"""""""You know...my uncle knows your Father.""""""
",""" . . உன் அப்பக்கு உன் பாட்டிக்கு விஷயம் தெரியும்னு பையமா இருக்கு """"""
"
"""""""You never told me I had an uncle?""""""
","""""""உனக்கு ஒரு அண்ணா இருக்கிறார் என்று இதுவரை நீ என்னிடம் கூறவே இல்லையே சேரா?""
"
"""""""Your father didn't have no uncle that had money?""""""
","""""""உங்க மாமனார் கிட்டே பணம் இருக்கில்ல?""
"
"""""""Your uncle is lucky.""
","""""""உங்கள் மருமகன் அதிர்ஷ்டக்காரர்.""
"
"""""""Your uncle was very specific.""
","""""""உங்க மாமனார் ரொம்ப விவரமானவருடி.""
"
"""""""Your uncle's""
",""" ."""" . அவளின் மாமனார்""
"
"""""""what are you my uncle""""""
","""""""நீங்க என்ன. . எனக்கு மாமனா.""
"
"""... 15 Saul's uncle said, """"Please tell me what Samuel said to you.""""""
","""15சவுலின் சிற்றப்பன், """"சாமுவேல் உனக்குக் கூறியதை தயைகூர்ந்து எனக்குச் சொல்"""" என்றார்.""
"
"""10:4 Moses called also to Mishael and Elzaphan, the sons of Aaron's uncle Uzziel, and said to them, """"Come forward, carry your relatives away from the front of the sanctuary to the outside of the camp.""""""
","""10:4 பிறகு மூஸா மீசவேல் எல்சாபான் என்று, ஊசியேலின் குமாரர், ஆரோன் ஆகியோரின் தந்தையின் சகோதரராவார், அவர் அவர்களை நோக்கிஃ, """"போய் சரணாலயம் பார்வையிலிருந்து உங்கள் சகோதரர்கள் எடுத்து, முகாம் அப்பால் அவர்களை எடுத்துச் செல்லலாம்.""
"
"""14 Then Saul's (A) uncle said to him and his servant, """"Where did you go?""""""
","""14 அப்போது சவுலின் சிறிய தகப்பன் சவுலிடமும் அவனது வேலைக்காரனிடமும், """"நீங்கள் எங்கே போயிருந்தீர்கள்?""
"
"""15 Saul's uncle said, """"Please tell me what Samuel said to you.""""""
","""15சவுலின் சிற்றப்பன், """"சாமுவேல் உனக்குக் கூறியதை தயைகூர்ந்து எனக்குச் சொல்"""" என்றார்.""
"
"""15 Saul's uncle said, """"Please tell me what Samuel told you.""""""
","""15சவுலின் சிற்றப்பன், """"சாமுவேல் உனக்குக் கூறியதை தயைகூர்ந்து எனக்குச் சொல்"""" என்றார்.""
"
"""15 Saul's uncle said, """"Tell me what Samuel said to you.""""""
","""15சவுலின் சிற்றப்பன், """"சாமுவேல் உனக்குக் கூறியதை தயைகூர்ந்து எனக்குச் சொல்"""" என்றார்.""
"
"""4 Then Moses called on Mishael and Elzaphan, the sons of Uzziel, Aaron's uncle, and said, """"Come here and carry your brothers away from the sanctuary, outside the camp.""""""
","""4. மோசே, ஆரோனின் சிற்றப்பனாகிய உசியேலின் புதல்வராகிய மிசாவேலையும், எல்சாபானையும் அழைத்து, """"""""நீங்கள் இங்கே வந்து உங்கள் சகோதரரின் சடலங்களைத் தூயகத்தின் முன்னின்று எடுத்துப் பாளையத்திற்கு வெளியே கொண்டு போங்கள்"""""""" என்றார்.""
"
"""<14> Saul's uncle asked Saul and his servant, """"Where have you been?""""""
","""14 அப்போது சவுலின் சிறிய தகப்பன் சவுலிடமும் அவனது வேலைக்காரனிடமும், """"நீங்கள் எங்கே போயிருந்தீர்கள்?""
"
"""An uncle of Brenton Tarrant said: """"We are so sorry for the families over there, for the dead and injured.""""""
","""பிரன்டன் டர்ரன்ட் உறுவினர் ஒருவர் கூறும்போது, """"அங்கு கொல்லப்பட்ட, காயமடைந்தவர்களின் குடும்பங்களுக்கு எமது வருத்தத்தை தெரிவித்துக் கொள்கிறோம்"""" என்றார்.""
"
"""Discussions on """"married my uncle"""" in """"Married Life"""" forum.""
","""Discussions on """"மனைவியிடம் கணவன் எதிர்பார்த்து நிற்பது &"""" in """"Married Life"""" forum.""
"
"""I'm your uncle and friend.""""""
","""நான் உமது அடிமையும் நண்பனுமே"""" என்றேன்.""
"
"""If my uncle knew...""""""
","""""""அண்ணாவுக்கு தெரியவந்தால். . ?""
"
"""Is there another way, uncle?""""""
","""""""வேற என்ன வழி மாம்?""
"
"""It's my uncle. """"""
","""இது என் மாமனார் """"""
"
"""Le 10:4 Moses then called to Mishael and Elzaphan, the sons of Uzziel, Aaron's uncle, and said to them, """"Come near, carry your brothers away from the front of the sanctuary to a place outside the camp.""""""
","""10:4 பிறகு மூஸா மீசவேல் எல்சாபான் என்று, ஊசியேலின் குமாரர், ஆரோன் ஆகியோரின் தந்தையின் சகோதரராவார், அவர் அவர்களை நோக்கிஃ, """"போய் சரணாலயம் பார்வையிலிருந்து உங்கள் சகோதரர்கள் எடுத்து, முகாம் அப்பால் அவர்களை எடுத்துச் செல்லலாம்.""
"
"""Leviticus 10:4 Moses called Mishael and Elzaphan, the sons of Uzziel the uncle of Aaron, and said to them, """"Draw near, carry your brothers from before the sanctuary out of the camp.""""""
","""10:4 பிறகு மூஸா மீசவேல் எல்சாபான் என்று, ஊசியேலின் குமாரர், ஆரோன் ஆகியோரின் தந்தையின் சகோதரராவார், அவர் அவர்களை நோக்கிஃ, """"போய் சரணாலயம் பார்வையிலிருந்து உங்கள் சகோதரர்கள் எடுத்து, முகாம் அப்பால் அவர்களை எடுத்துச் செல்லலாம்.""
"
"""Leviticus 10:4 _ And Moses called Mishael and Elzaphan, the sons of Uzziel the uncle of Aaron, and said to them, """"Come near; carry your brothers away from the front of the sanctuary and out of the camp.""""""
","""10:4 பிறகு மூஸா மீசவேல் எல்சாபான் என்று, ஊசியேலின் குமாரர், ஆரோன் ஆகியோரின் தந்தையின் சகோதரராவார், அவர் அவர்களை நோக்கிஃ, """"போய் சரணாலயம் பார்வையிலிருந்து உங்கள் சகோதரர்கள் எடுத்து, முகாம் அப்பால் அவர்களை எடுத்துச் செல்லலாம்.""
"
"""Moses called also to 7Mishael and Elzaphan, the sons of Aaron's uncle Uzziel, and said to them, """"Come forward, carry your relatives away from the front of the sanctuary to the outside * of the camp.""""""
","""4மோசே, ஆரோனின் சிற்றப்பனாகிய உசியேலின் புதல்வராகிய மிசாவேலையும், எல்சாபானையும் அழைத்து, """"நீங்கள் இங்கே வந்து உங்கள் சகோதரரின் சடலங்களைத் தூயகத்தின் முன்னின்று எடுத்துப் பாளையத்திற்கு வெளியே கொண்டு போங்கள்"""" என்றார்.""
"
"""My uncle wrote it.""""""
","""எல்லாம் என் மாமனார் தான் எழுதிக் கொடுத்தார்""""""
"
"""NIV 15 Saul's uncle said, """"Tell me what Samuel said to you.""""""
","""15சவுலின் சிற்றப்பன், """"சாமுவேல் உனக்குக் கூறியதை தயைகூர்ந்து எனக்குச் சொல்"""" என்றார்.""
"
"""Putana, the """"killer of infants,"""" was sent by Krishna's evil uncle to kill Krishna.""
","""""""குழந்தைகளின் கொலையாளியான"""" பூதனை (பூதனா எனவும் அழைக்கப்படுகிறார்), குழந்தைக் கிருஷ்ணனைக் கொல்ல, கிருஷ்ணரின் தீய தாய் மாமனான கம்சன் என்பவனால் அனுப்பப்படுகிறார்.""
"
"""She is like her uncle.""""""
","""அவர் தான் அண்ணன் மாதிரி"""" என்றார்.""
"
"""Similarly, Jacob is called the """"brother"""" of his uncle Laban (Gen. 29:15).""
","""லாபான் தன் மருமகன் யாக்கோபை """"என் சகோதரன்"""" என்கிறார் (தொநூ-29:15).""
"
"""The woman may be another man's mistress, perhaps his uncle's.""""""
","""ஒருவேளை அவள் மற்றொருவனின் காதலியாகவோ , மாற்றானின் மனைவியாகவோ இருக்கலாம்.""""""
"
"""This is my uncle.""""""
","""இது என் மாமனார் """"""
"
"""Verse 14-- """"Then Saul's uncle said to him and his servant, where did you go?""
","""14 அப்போது சவுலின் சிறிய தகப்பன் சவுலிடமும் அவனது வேலைக்காரனிடமும், """"நீங்கள் எங்கே போயிருந்தீர்கள்?""
"
"""v.4 Moses summoned Mishael and Elzaphan, sons of Aaron's uncle Uzziel, and said to them, """"Come here; carry your cousins outside the camp, away from the front of the sanctuary.""""""
","""4. மோசே, ஆரோனின் சிற்றப்பனாகிய உசியேலின் புதல்வராகிய மிசாவேலையும், எல்சாபானையும் அழைத்து, """"""""நீங்கள் இங்கே வந்து உங்கள் சகோதரரின் சடலங்களைத் தூயகத்தின் முன்னின்று எடுத்துப் பாளையத்திற்கு வெளியே கொண்டு போங்கள்"""""""" என்றார்.""
"
"' uncles, and cousins.
","'அண்ணன், தம்பிகள்.
"
"'He killed his uncle and he put the body right in the steps,' Trump said, in an apparent reference to a building used by senior officials.
","""""""கிம் அவரது மாமனாரைக் கொன்று அவரது சடலத்தை உயர் அதிகாரிகள் உபயோகிக்கும் கட்டிடத்தின் படிக்கட்டில் வைத்துவிட்டார்"""" என ட்ரம்ப் சொன்னதாக அதில் கூறப்பட்டுள்ளது.""
"
"'My uncle doesn't like me coming here.'
","""""""நான் இங்கே வருவது உங்க அண்ணாவுக்குப் பிடிக்கவில்லை.""
"
"(That's her uncle.
","(இது மாமனாருடன்.
"
"*111:1 Abee Lahab was Muhammad's uncle and the leader of the opposition.
","*111:1 அபீலஹப் முஹம்மதின் பெரிய தந்தையாகவும் மேலும் எதிரணியினரின் தலைவனாகவும் இருந்தான்.
"
"-I don't have an uncle.
","எனக்கு மாமனார் கிடையாது.
"
"1 After Abimelech, a leader rose up in Israel, Tola, the son of Puah, the paternal uncle of Abimelech, a man of Issachar, who lived in Shamir on mount Ephraim.
","10:1 அபிமெலேக்கு பிறகு, ஒரு தலைவர் இஸ்ரேலில் வரை உயர்ந்தது, தோலா, Puah மகன், அபிமெலேக்கு ஆகியோரின் தந்தையின் சகோதரராவார், இசக்கார் ஒரு மனிதன், எப்பிராயீமின் மலைகளிலும் மீது ஷமீர் வாழ்ந்த.
"
"10-year-old girl raped by uncles in west bengal
","மேற்கு வங்கத்தில் திருமணத்திற்கு சென்ற 10 வயது சிறுமி பலரால் கற்பழிப்பு
"
"10:1 After Abimelech, a leader rose up in Israel, Tola, the son of Puah, the paternal uncle of Abimelech, a man of Issachar, who lived in Shamir on mount Ephraim.
","10:1 அபிமெலேக்கு பிறகு, ஒரு தலைவர் இஸ்ரேலில் வரை உயர்ந்தது, தோலா, Puah மகன், அபிமெலேக்கு ஆகியோரின் தந்தையின் சகோதரராவார், இசக்கார் ஒரு மனிதன், எப்பிராயீமின் மலைகளிலும் மீது ஷமீர் வாழ்ந்த.
"
"10:4 Moses summoned Mishael and Elzaphan, sons of Aaron's uncle Uzziel, and said to them, 'Come and take your brothers far away from the sanctuary, out of the camp'.
","""10:4 பிறகு மூஸா மீசவேல் எல்சாபான் என்று, ஊசியேலின் குமாரர், ஆரோன் ஆகியோரின் தந்தையின் சகோதரராவார், அவர் அவர்களை நோக்கிஃ, """"போய் சரணாலயம் பார்வையிலிருந்து உங்கள் சகோதரர்கள் எடுத்து, முகாம் அப்பால் அவர்களை எடுத்துச் செல்லலாம்.""
"
"16Saul said to his uncle, He told us that the donkeys had been found. But about the matter of the kingship, of which Samuel had spoken, he did not tell him anything.
","16: சவுல் தன் சிறிய தகப்பனைப் பார்த்துஃ கழுதைகள் அகப்பட்டது என்று எங்களுக்குத் தீர்மானமாய் சொன்னார் என்றான்; ஆனாலும் ராஜ்யபாரத்தைப்பற்றிச் சாமுவேல் சொன்னதை அவனுக்கு அறிவிக்கவில்லை.
"
"25:49 His paternal uncle, his uncle's son, or a member of his own family may redeem him; if he has the means, he may redeem himself.
","25:49 அவனுடைய பிதாவின் சகோதரனாவது, அந்தச் சகோதரனுடைய புத்திரனாவது, அவன் குடும்பத்திலுள்ள அவனைச் சேர்ந்த இனத்தாரில் எவனாவது அவனை மீட்கலாம்; தன்னால் கூடுமானால், தன்னைத்தானே மீட்டுக்கொள்ளலாம்.
"
"32:8 And in accord with the word of the Lord, Hanamel, the son of my uncle, came to me, to the entrance of the prison, and he said to me: 'Take possession of my field, which is in Anathoth in the land of Benjamin.
","32:8 அப்பொழுது கர்த்தருடைய வார்த்தை இசைய, Hanamel, என் மாமன் மகன், எனக்கு உண்டாகி, சிறையில் நுழைவாயிலுக்கு, அவர் என்னை நோக்கிஃ: 'என் துறையில் கையகப்படுத்தி, இது பென்யமீன் தேசத்திலுள்ள ஆனதோத்திலிருக்கிற.
"
"32:9 And I bought the field of Hanameel my uncle's son, that was in Anathoth,
","32:9 நான் துறையில் வாங்கி, இது ஆனதோத்திலிருக்கிற, Hanamel இருந்து, என் மாமன் மகன்.
"
"32:9 And I bought the field, which is in Anathoth, from Hanamel, the son of my uncle.
","32:9 நான் துறையில் வாங்கி, இது ஆனதோத்திலிருக்கிற, Hanamel இருந்து, என் மாமன் மகன்.
"
"35-year-old uncle.
","35 வயதுடைய மாமனிதனை!
"
"4 Moses summoned Mishael and Elzaphan, sons of Uzziel the uncle of Aaron, and said to them, 'Come forward, and carry your kinsmen away from the front of the sanctuary to a place outside the camp.'
","""4. மோசே, ஆரோனின் சிற்றப்பனாகிய உசியேலின் புதல்வராகிய மிசாவேலையும், எல்சாபானையும் அழைத்து, """"""""நீங்கள் இங்கே வந்து உங்கள் சகோதரரின் சடலங்களைத் தூயகத்தின் முன்னின்று எடுத்துப் பாளையத்திற்கு வெளியே கொண்டு போங்கள்"""""""" என்றார்.""
"
"49 His paternal uncle, his uncle's son, or a member of his own family may redeem him; if he has the means, he may redeem himself.
","49: அவனுடைய பிதாவின் சகோதரனாவது, அந்தச் சகோதரனுடைய புத்திரனாவது, அவன் குடும்பத்திலுள்ள அவனைச் சேர்ந்த இனத்தாரில் எவனாவது அவனை மீட்கலாம்; தன்னால் கூடுமானால், தன்னைத்தானே மீட்டுக்கொள்ளலாம்.
"
"8 Then Hanamel my uncle's son came to me in the court of the guard in accordance with the word of the Lord, and he said to me, 'Please buy my field that is at Anathoth, which is in the land of Benjamin, for you have the right of inheritance and the redemption is yours; buy it for yourself.'
","""8. ஆண்டவர் உரைத்திருந்தவாறே என் உறவினரின் மகன் அனமேல் காவல் கூடத்தில் இருந்த என்னிடம் வந்து, """"தயவு செய்து பென்யமின் நாட்டில் அனத்தோத்தில் உள்ள என் நிலத்தை நீர் விலைக்கு வாங்கிக்கொள்ளும்ஃ ஏனெனில் அதை மீட்டு உடைமையாக்கிக்கொள்வது உமது உரிமைஃ நீரே அதை வாங்கிக்கொள்ளும்"""" என்று வேண்டினார்.""
"
"A 12-year-old girl in Madhya Pradesh raped and beheaded by three of her brothers and uncle!
","மத்திய பிரதேசத்தில் 12 வயது சிறுமி ஒருவர் தனது சொந்த சகோதரர்களால் பலாத்காரம் செய்யப்பட்டு தலை துண்டிக்கப்பட்டுள்ளார்.
"
"A couple of years ago, Suljic's family received a phone call informing them that the bodies of his uncles had been found in different mass graves.
","சுல்ஜிச்சின் தந்தையின் சகோதரங்களின் உடல்கள் வெவ்வேறு மனிதப் புதைகுழிகளில் கண்டெடுக்கப் பட்டிருப்பதாக இரண்டு வருடங்களுக்கு முன்னர் சுல்ஜிச்சின் குடும்பத்துக்கு ஒரு தொலைபேசி அழைப்பு வந்தது.
"
"A few years ago, Suljic's family received a call informing them that his uncle's body was found in different mass graves.
","சுல்ஜிச்சின் தந்தையின் சகோதரங்களின் உடல்கள் வெவ்வேறு மனிதப் புதைகுழிகளில் கண்டெடுக்கப் பட்டிருப்பதாக இரண்டு வருடங்களுக்கு முன்னர் சுல்ஜிச்சின் குடும்பத்துக்கு ஒரு தொலைபேசி அழைப்பு வந்தது.
"
"A is the son of B; C, B's sister has a son D and a daughter E; F is the maternal uncle of D. How is F related to E?
","Aயின் தந்தை F; Aயின் மகள் C, Fன் தங்கை K; Cன் அன்ணன் G; எனில் Gன் மாமன் யார்?
"
"Abe's great uncle, Eisuke Sato, was prime minister from 1964 to 1972.
","இவரது உறவினர் இசாகு சாட்டோ 1964 முதல் 1972 வரை அந்த நாட்டின் பிரதமராக இருந்து வந்தார்.
"
"About Domenico Berardi's relatives: Away from Berardi's immediate family, not much is known about his maternal and paternal grandparents while his uncles, aunts, cousins, nephews and nieces are yet to be identified.
","டொமினிகோ பெரார்டியின் உறவினர்களைப் பற்றிஃ பெரார்டியின் உடனடி குடும்பத்திலிருந்து விலகி, அவரது மாமனார், அத்தை, உறவினர்கள், மருமகள் மற்றும் மருமகள் இன்னும் அடையாளம் காணப்படாத நிலையில், அவரது தாய் மற்றும் தந்தைவழி தாத்தா பாட்டி பற்றி அதிகம் தெரியவில்லை.
"
"According to one of the Indian media, in the Dhar district of Madhya Pradesh, two sisters from a tribal community were beaten brutally by their family members for talking to their maternal uncle's sons on the phone.
","மத்திய பிரதேசத்தின் தார் மாவட்டத்தில், பழங்குடி சமூகத்தைச் சேர்ந்த இரண்டு சகோதரிகள், தங்கள் தாய்மாமனின் மகன்களுடன் தொலைபேசியில் பேசியதற்காக அவர்களது குடும்ப உறுப்பினர்களால் கொடூரமாக தாக்கப்பட்டனர்.
"
"After a number of years, uncle
","சில வருடங்களுக்குப் பின் மாமனார்,
"
"All my uncles.
",". எல்லாம் uncle கள்.
"
"All of my uncles.
",". எல்லாம் uncle கள்.
"
"All the uncles.
",". எல்லாம் uncle கள்.
"
"And I would be your uncle.
","நான்தான் உன்னுடைய மாமனார் என்றிருப்பாராம்.
"
"And my uncle isn't really a good man.
","உண்மையிலேயே என் அண்ணன் நல்லவன் கிடையாது.
"
"And there is no uncle.
","அங்கே மாமனார் இல்லை.
"
"And you're uncle too.
","அப்புறம் நீங்களும் மாமனிதர்தான்.
"
"BG 1.26: There, Arjun could see stationed in both armies, his fathers, grandfathers, teachers, maternal uncles, brothers, cousins, sons, nephews, grand-nephews, friends, fathers-in-law, and well-wishers.
","1.26: அர்ஜுனன் அங்கே இரண்டு அணிகளிலும் இருக்கின்ற தந்தையர், பாட்டன்மார், ஆச்சாரியார்கள், மாமன்மார், சகோதரர்கள், பிள்ளைகள், பேரங்கள், தோழர்கள் , மாமனார்கள், மற்றும் நண்பர்களை பார்த்தான்.
"
"Both grow up to be uncles and aunts.
","இருவரும் மாமன், மச்சானாக வளர்கின்றனர்.
"
"But I haven't an uncle.
","எனக்கு மாமனார் கிடையாது.
"
"But my uncle would have none of that.
","ஆனா என் மாமன் இதுக்கெல்லாம் அசந்துருக்க மாட்டாரே.
"
"But you're only her uncle.
","ஆனால், நீங்கள் உங்கள் மருமகனுக்கு அத்தையாக மட்டுமே இருக்கிறீர்கள்.
"
"Can he marry the daughter of his mother's paternal uncle?
","தனது உம்மாவின் தங்கட்சியான சாட்சியின் மகனின் மகளை திருமணம் செய்ய முடியுமா?
"
"Chief Minister Akhilesh Yadav sacked four ministers, including his uncle Shivpal Yadav from the state cabinet.
","உத்தரப் பிரதேச அமைச்சரவையில் ஷிவ்பால் யாதவ் உட்பட 4 அமைச்சர்களை முதல்வர் அகிலேஷ் யாதவ் நீக்கினார்.
"
"Dennis was raised by his uncle.
","இவரின் மாமன் டெனிஸ் என்பவர் இவரை வளர்த்து வந்தார்.
"
"Do you remember my uncle?
","என் மாமனாரை உங்களுக்கு நினைவில் உள்ளதா?
"
"Does my father's uncle have a share in my father's property?
","அப்பன் தாத்தன் சொத்துல உன் தம்பிக்கும் பங்கு இருக்கா இல்லையா?
"
"Don't forget to give my best wishes to your uncle.
","உங்கள் தங்கைக்கு எனது வாழ்த்துக்களை மறக்காமல் கூறிவிடுங்கள்.
"
"Don't take pictures with unknown uncles!
","இனி முன்பின் தெரியாதவங்களோட நின்னு போட்டோ எடுத்துக்காதே!
"
"Genie's uncle did not come.
","ஜெனியின் அண்ணன் வரவே இல்லை.
"
"Grandparents, uncles, aunts and their children live together in the same house.
","தாத்தா, பாட்டி, பிள்ளைகள், மருமக்கள், பேரன், பேத்திகள் என அனைவரும் ஒன்றாக ஒரே வீட்டில் அமர்ந்திருப்பார்கள்.
"
"He also is their uncle.
","அவர்களின் மாமனாரும் ஆவார்.
"
"He became an uncle.
","மாமனார் ஆகிவிட்டார்.
"
"He couldn't believe his uncle.
","இதை அவரது மாமியரால் நம்பவே முடியவில்லை.
"
"He did have an uncle.
","அவரோட மாமனார் இருந்தார்.
"
"He didn't even have a uncle: (
","இதுல அண்ணன், தம்பி கூட இல்லை:- (
"
"He had an uncle.
","அவரோட மாமனார் இருந்தார்.
"
"He had his uncle.
","அவரோட மாமனார் இருந்தார்.
"
"He has been like an uncle to me over the last 20 years.
","கடந்த 20 ஆண்டுகளாக அது என்னுடன் உடன் பிறந்த சகோதரனை போன்று இருந்து வந்திருக்கிறது.
"
"He is a friend of my uncle.
","என் மாமனாரின் நண்பர் இவர்.
"
"He is also her uncle.
","அவர்களின் மாமனாரும் ஆவார்.
"
"He is my husband, my uncle, my friend.
","அவன் என் பேரன், என் தோழன், என் ஆசான்.
"
"He is not my uncle right now.
","""""""அவர் இப்போ என் மாமனார் இல்ல.""
"
"He looked at his uncle.
","அவர் மாமனார் கவனித்தார்.
"
"He looked over at his uncle.
","அவர் மாமனார் கவனித்தார்.
"
"He looked to his uncle.
","அவர் மாமனார் கவனித்தார்.
"
"He regarded his uncle.
","அவர் மாமனார் கவனித்தார்.
"
"He said his uncle is alive.
","உயிரோடுதான் இருக்கிறார் என்று மாமனார் கூறியுளளார்.
"
