eng_Latn,pan_Guru
"[16] King Asa also deposed his grandmother Maacah from her position as queen mother, because she had made a repulsive Asherah pole.
","ਆਸਾ ਪਾਤਸ਼ਾਹ ਨੇ ਆਪਣੀ ਮਾਂ ਮਅਕਾਹ ਨੂੰ ਰਾਣੀਆਂ ਦੀ ਪਦਵੀ ਤੋਂ ਵੀ ਹਟਾਅ ਦਿੱਤਾ ਕਿਉਂ ਜੋ ਉਸਨੇ ਅਸ਼ੇਰਾਹ ਦੇਵੀ ਦੀ ਇੱਕ ਘਿਨਾਉਣੀ ਮੂਰਤ ਬਣਾਈ ਸੀ।
"
"great grandmother's daughter
","ਮਹਾਨ ਮਾਤਾਵਾਂ ਦੀ ਬੇਟੀ
"
"Boy beats grandmother to death
","ਪੋਤੇ ਨੇ ਦਾਦੇ ਦੀ ਕੀਤੀ ਗਲਾ ਘੁੱਟ ਕੇ ਹੱਤਿਆ
"
"Congress leader Rahul Gandhi also paid homage to his grandmother.
","ਕਾਂਗਰਸ ਨੇਤਾ ਰਾਹੁਲ ਗਾਂਧੀ ਨੇ ਵੀ ਇਸ ਮੌਕੇ ਸ਼ਰਧਾਂਜਲੀ ਭੇਟ ਕੀਤੀ ਹੈ।
"
"But I’m not THAT grandmother.
","ਪਰ ਮੈਂ ਇੰਨਾ ਕਮਲਾ ਨਹੀਂ।
"
"He lived with his mother and grandmother.
","ਉਹ ਆਪਣੀ ਮਾਸੀ ਤੇ ਮਾਸੜ ਕੋਲ ਰਹਿ ਰਿਹਾ ਸੀ।
"
"The girl was then residing with her grandmother.
","ਇਸ ਤੋਂ ਬਾਅਦ ਇਹ ਬੱਚੀ ਆਪਣੇ ਦਾਦਾ ਜੀ ਦੇ ਨਾਲ ਰਹਿ ਰਹੀ ਹੈ।
"
"A loving wife, caring mother, doting grandmother and trusting friend.
","ਉਹ ਇੱਕ ਭਾਵੁਕ ਸਾਥੀ, ਇੱਕ ਭਰੋਸੇਯੋਗ ਦਾ ਪਤੀ, ਇੱਕ ਦੀ ਦੇਖਭਾਲ ਮਾਤਾ ਅਤੇ ਸਰਫ਼ਾ ਘਰੇਲੂ ਔਰਤ ਹੈ.
"
"After his mother's death, he lived with his grandmother.
","ਪਿਤਾ ਦੀ ਮੌਤ ਤੋਂ ਬਾਅਦ ਆਪ ਆਪਣੇ ਮਾਮੇ ਕੋਲ ਹੀ ਰਹੇ।
"
"Based on the mothers suspicions, the police have detained the babys father and paternal grandmother.
","ਪੁਲਸ ਵੱਲੋਂ ਸ਼ੱਕ ਦੇ ਆਧਾਰ ‘ਤੇ ਬੱਚੀ ਦੇ ਮਾਤਾ-ਪਿਤਾ ਨੂੰ ਕਾਬੂ ਕਰਕੇ ਉਨ੍ਹਾਂ ਕੋਲੋਂ ਪੁੱਛਗਿੱਛ ਕੀਤੀ ਤਾਂ ਮਾਂ-ਪਿਓ ਹੀ ਬੱਚੀ ਦੇ ਕਾਤਲ ਨਿਕਲੇ।
"
"After his parents divorced, he was left with his grandmother.
","ਉਸਦੇ ਮਾਤਾ-ਪਿਤਾ ਦਾ ਤਲਾਕ ਹੋ ਜਾਣ ਤੋਂ ਬਾਅਦ ਉਹ ਆਪਣੇ ਭਰਾ ਨਾਲ ਰਹੀ।
"
"“It was only when I got back home did I leant that my grandmother had died,” she said.
","ਉਨ੍ਹਾਂ ਨੇ ਦੱਸਿਆ, “ਜਦੋਂ ਮੈਂ ਘਰ ਆ ਕੇ ਦੇਖਿਆ ਤਾਂ ਮੇਰੀ ਮਾਤਾ ਦੀ ਮੌਤ ਹੋਈ ਸੀ।
"
"As his father died when he was very young, his mother and grandmother took care of him.
","ਇਸਦੇ ਛੋਟੇ ਹੁੰਦੇ ਹੀ ਇਸਦੀ ਮਾਂ ਦੀ ਮੌਤ ਹੋ ਗਈ ਸੀ ਅਤੇ ਇਸਦਾ ਪਾਲਣ ਪੋਸ਼ਣ ਇਸਦੇ ਪਿਤਾ ਅਤੇ ਇਸਦੀ ਆਂਟੀ ਨੇ ਕੀਤਾ।
"
"""My mother, father and grandmother are doctors.
","""ਤੇਰੀ ਮਾਂ ਤੇ ਮਾਸੀ ਵੀ ਡਾਕਟਰਨੀਆਂ ਬਣੀਆਂ ਫਿਰਦੀਆਂ ਨੇ।
"
"The victim’s grandmother and sisters were also injured in the attack.
","ਹਮਲੇ ਵਿਚ ਕਿਰਾਏਦਾਰ ਦਾ ਵੱਡਾ ਭਰਾ ਤੇ ਭਤੀਜਾ ਜ਼ਖ਼ਮੀ ਹੋ ਗਏ।
"
"Both my grandmothers and my mother are great cooks.
","ਮੇਰੇ ਪਾਪਾ ਅਤੇ ਮੰਮੀ ਦੋਨੋਂ ਸਿਖ਼ਰ ਦੀ ਕਮਾਲ ਦੇ ਵਿਅਕਤੀ ਹਨ।
"
"Boney Kapoor, Sanjay Kapoor, Arjun Kapoor, Anil Kapoor, Shanaya Kapoor, Anshula Kapoor, Maheep Kapoor, Jahan Kapoor, Janhvi Kapoor, her grandmother and Sunita Kapoor posed for the adorable family photo.
","ਤਸਵੀਰ ਵਿੱਚ ਜਾਨਵੀ ਦੇ ਇਲਾਵਾ ਅਰਜੁਨ ਕਪੂਰ, ਅਨਿਲ ਕਪੂਰ , ਸੰਜੇ ਕਪੂਰ , ਸ਼ਨਾਇਆ ਕਪੂਰ, ਅੰਸ਼ੁਲਾ ਕਪੂਰ, ਬੋਨੀ ਕਪੂਰ ਸਮੇਤ ਪੂਰੀ ਕਪੂਰ ਫੈਮਿਲੀ ਨਜ਼ਰ ਆ ਰਹੀ ਹੈ।
"
"But grandmothers are different.
","ਪਰ ਪਤੀਰੇ ਵੱਖ-ਵੱਖ ਹੁੰਦੇ ਹਨ.
"
"After his mother’s death, his grandmother became his guardian.
","ਮਾਂ ਦੀ ਮੌਤ ਤੋਂ ਬਾਅਦ ਚਾਚੀ ਨੇ ਹੀ ਉਨ੍ਹਾਂ ਦੀ ਪਰਵਰਿਸ਼ ਕੀਤੀ ਸੀ।
"
"An amazing grandmother she was.
","ਉਹ ਇਕ ਮਹਾਨ ਮਾਂ ਸੀ ।
"
"And my grandmother as well.
","ਤੇ ਮੇਰੀ ਭੋਲੀ ਮਾਂ ਵੀ।
"
"Her grandfather, says she, was a Muslim and grandmother a Hindu.
","ਸਿੱਧੂ ਨੇ ਕਿਹਾ ਕਿ ਉਨ੍ਹਾਂ ਦੀ ਮਾਂ ਹਿੰਦੂ, ਪਿਤਾ ਗੁਰਸਿੱਖ।
"
"Among these people were my mother and two grandmothers.
","ਇਨ੍ਹਾਂ ਵਿਚ ਉਸ ਦੇ ਦੋ ਮਾਮੇ, ਇੱਕ ਚਾਚਾ ਸ਼ਾਮਲ ਸੀ।
"
"His grandmother, Vijayaraje Scindia had contested 1957 elections on a Congress ticket.
","ਰਾਜਮਾਤਾ ਵਿਜਾਰਾਜੇ ਸਿੰਧੀਆ ਨੇ 1957 'ਚ ਕਾਂਗਰਸ ਦੀ ਟਿਕਟ 'ਤੇ ਹੋਈ ਪਹਿਲੀ ਚੋਣ 'ਚ ਗੁਨਾ ਲੋਕ ਸਭਾ ਸੀਟ 'ਤੇ ਜਿੱਤ ਪ੍ਰਾਪਤ ਕੀਤੀ ਸੀ।
"
"About the fact that it is not good to fight, we remember everything well from childhood through the instructions of our mothers and grandmothers, but the situations in life are different.
","ਜੋ ਕਿ ਲੜਾਈ ਚੰਗਾ ਨਹੀ ਹੈ, ਸਾਨੂੰ ਸਭ ਨੂੰ ਆਪਣੇ ਮਾਤਾ ਅਤੇ grandmothers ਦੇ ਬਚਪਨ ਦੇ ਸਿੱਖਿਆ ਤੱਕ ਯਾਦ ਹੈ, ਪਰ ਜੀਵਨ ਵਿਚ ਹਾਲਾਤ ਵੱਖਰੇ ਹੁੰਦੇ ਹਨ.
"
"My mother, father and my grandmother were with me.
","ਪਿਤਾ, ਮਾਤਾ ਤੇ ਮੈਂ ਤਿੰਨੇ ਉਥੇ ਪੁੱਜੇ।
"
"At that time, her grandmother passed away.
","ਇਸੇ ਵਕਤ ਵਿਚ ਉਸਦੀ ਸੱਸ ਦਾ ਸੁਰਗਵਾਸ ਹੋ ਗਿਆ।
"
"After the death of his parents he was taken care of by his grandmother.
","ਮਾਂ ਦਾ ਸਾਇਆ ਜਾਣ ਤੋਂ ਬਾਅਦ ਉਨ੍ਹਾਂ ਦੇ ਪਿਤਾ ਨੇ ਹੀ ਉਨ੍ਹਾਂ ਦਾ ਪਾਲਣ - ਪੋਸ਼ਣ ਕੀਤਾ।
"
"His grandmother wasn’t scared, either.
","ਉਸ ਨੂੰ ਤਾਂ ਸਹੁਰੇ ਦਾ ਵੀ ਕੋਈ ਡਰ ਨਹੀਂ ਸੀ।
"
"Both their mother and grandmother live with them.
","ਉਸ ਦੇ ਮਾਸੜ ਅਤੇ ਮਾਸੀ ਵੀ ਨਾਲ ਹੀ ਰਹਿੰਦੇ ਹਨ।
"
"And my grandmother also.
","ਤੇ ਮੇਰੀ ਭੋਲੀ ਮਾਂ ਵੀ।
"
"“I am very close to my grandmother.
",""""" ਮਂੈ ਆਪਣੀ ਗਰਾਂਡ ਮਾਂ ਦੇ ਬਹੁਤ ਹੀ ਕਲੋਜ਼ ਹਾਂ।
"
"The dream in which the conversation with the grandmother was taking place is a harbinger of problems and it will not be easy to overcome them.
","ਨਾਨਾ ਦੇ ਨਾਲ ਹੋਈ ਗੱਲਬਾਤ ਦਾ ਸੁਪਨਾ ਸਮੱਸਿਆਵਾਂ ਦਾ ਮੋਹਰੀ ਅਹਿਸਾਸ ਹੈ ਅਤੇ ਇਸ ਨੂੰ ਹਰਾਉਣਾ ਆਸਾਨ ਨਹੀਂ ਹੋਵੇਗਾ.
"
"Both my mother and grandmother are great cooks.
","ਮੇਰੇ ਪਾਪਾ ਅਤੇ ਮੰਮੀ ਦੋਨੋਂ ਸਿਖ਼ਰ ਦੀ ਕਮਾਲ ਦੇ ਵਿਅਕਤੀ ਹਨ।
"
"And also my paternal grandmother.
","ਤੇ ਮੇਰੀ ਭੋਲੀ ਮਾਂ ਵੀ।
"
"“It was only when I got back home did I leant that my grandmother had died,” she said.
","ਉਨ੍ਹਾਂ ਨੇ ਦੱਸਿਆ, ""ਜਦੋਂ ਮੈਂ ਘਰ ਆ ਕੇ ਦੇਖਿਆ ਤਾਂ ਮੇਰੀ ਮਾਤਾ ਦੀ ਮੌਤ ਹੋਈ ਸੀ।
"
"Members of the Ambani family-Akash, his grandmother Kokilaben and aunt Tina Ambani were also seen in the pictures.
","ਇਸ ਪਾਰਚੀ 'ਚ ਪਰਿਵਾਰ ਦੇ ਲੋਕ ਹੀ ਨਜ਼ਰ ਆਏ ਜਿਸ 'ਚ ਮੁਕੇਸ਼ ਅੰਬਾਨੀ, ਉਨ੍ਹਾਂ ਦੀ ਮਾਂ ਕੋਕਿਲਾਬੇਨ ਅੰਬਾਨੀ, ਟੀਨਾ ਅੰਬਾਨੀ, ਅਕਾਸ਼ ਅੰਬਾਨੀ ਸਨ।
"
"And my grandmother, too.
","ਤੇ ਮੇਰੀ ਭੋਲੀ ਮਾਂ ਵੀ।
"
"Her mother and grandmother were inside the house.
","ਘਰ 'ਚ ਉਨ੍ਹਾਂ ਦੀ ਮਾਤਾ ਤੇ ਭਾਬੀ ਮੌਜੂਦ ਸਨ।
"
"Therefore, if you are planning to paint, children should be sent to visit grandmothers.
","ਇਸ ਲਈ, ਜੇ ਤੁਸੀਂ ਪੇਂਟ ਕਰਨ ਦੀ ਯੋਜਨਾ ਬਣਾ ਰਹੇ ਹੋ ਤਾਂ ਨਿਆਣਿਆਂ ਨੂੰ ਮਿਲਣ ਲਈ ਬੱਚਿਆਂ ਨੂੰ ਭੇਜਿਆ ਜਾਣਾ ਚਾਹੀਦਾ ਹੈ.
"
"Abhishek was accompanied by his wife Aishwarya Ray Bachchan and maternal grandmother Indira Bhaduri.
","ਅਭਿਸ਼ੇਕ ਬੱਚਨ ਪਤਨੀ ਐਸ਼ਵਰਿਆ ਰਾਏ ਬੱਚਨ ਤੇ ਬੇਟੀ ਅਰਾਧਿਆ ਤੇ ਮਾਂ ਜੈਯਾ ਬੱਚਨ ਨਾਲ ਪੁੱਜੇ ਹਨ।
"
"All had had children and two were grandmothers.
","ਦੋਹਾਂ ਦੀ ਲਵ ਮੈਰੇਜ ਹੋਈ ਸੀ ਅਤੇ ਦੋ ਬੱਚੇ ਹਨ।
"
"86-year-old grandmother raped in Delhi
","ਦਿੱਲੀ ‘ਚ 86 ਸਾਲਾਂ ਮਹਿਲਾ ਨਾਲ ਬਲਾਤਕਾਰ
"
"A few days later, my grandmother died.
","ਕੁਝ ਦਿਨਾਂ ਬਾਅਦ ਮੇਰੇ ਮਿ¤ਤਰ ਦੀ ਮੌਤ ਹੋ ਗਈ।
"
"But is it grandmother?
","ਪਰ ਬੱਕਰੇ ਦੀ ਮਾਂ?
"
"You are my mother, my father, my grandmother, my entire life.
","ਤੂੰ ਹੀ ਮੇਰੀ ਮਾਂ ਹੈਂ, ਤੂੰ ਹੀ ਮੇਰਾ ਪਿਉ ਹੈਂ, ਤੂੰ ਹੀ ਮੇਰਾ ਸਾਕ-ਸੈਣ ਹੈਂ, ਤੂੰ ਸਾਰੇ ਹੀ ਜੀਵਾਂ ਵਿਚ ਵੱਸਦਾ ਹੈਂ।
"
"The child lived with his grandmother in the village.
","ਲੜਕੀ ਪਿੰਡ ਬੁੱਟਰ ਵਿਚ ਆਪਣੀ ਬੂਆ ਦੇ ਘਰ ਰਹਿੰਦੀ ਸੀ।
"
"Police have detained the grandmother, grandfather and father of the child for questioning in connection with the matter.
","ਸੂਚਨਾ 'ਤੇ ਪੁੱਜੀ ਥਾਣਾ ਪੁਲਿਸ ਨੇ ਲੜਕੀ, ਉਸ ਦੀ ਮਾਂ ਤੇ ਪਿਤਾ ਨੂੰ ਹਿਰਾਸਤ 'ਚ ਲੈ ਕੇ ਮਾਮਲੇ ਦੀ ਜਾਂਚ-ਪੜਤਾਲ ਸ਼ੁਰੂ ਕਰ ਦਿੱਤੀ ਹੈ।
"
"Last week, her grandmother died.
","ਪਿਛਲੇ ਮਹੀਨੇ ਉਸ ਦੇ ਦਾਦੇ ਦਾ ਦੇਹਾਂਤ ਹੋ ਗਿਆ ਸੀ।
"
"The girl's mother had died and she lived with her grandmother, police said.
","ਪੁਲਸ ਨੂੰ ਦਰਜ ਕਰਵਾਏ ਬਿਆਨਾਂ 'ਚ ਪੀੜਤ ਕੁੜੀ ਨੇ ਦੱਸਿਆ ਕਿ ਉਸ ਦੇ ਮਾਤਾ-ਪਿਤਾ ਦੀ ਮੌਤ ਹੋ ਚੁੱਕੀ ਹੈ ਅਤੇ ਉਹ ਆਪਣੇ ਦਾਦੇ ਨਾਲ ਰਹਿੰਦੀ ਹੈ।
"
"A very happy birthday to your grandmother!
","ਤੈਨੂੰ ਜਨਮ ਦਿਨ ਦੀ ਬਹੁਤ ਬਹੁਤ ਮੁਬਾਰਕਬਾਦ !
"
"“Being a grandmother is so much easier than being a mother.
","""""""ਇੱਕ ਪਿਤਾ ਬਣਨ ਦੀ ਬਜਾਏ ਇਹ ਬਹੁਤ ਸੌਖਾ ਹੈ.""
"
"Then his grandmother died.
","ਇਸ ਤੋਂ ਬਾਅਦ ਸਹੁਰੇ ਦੀ ਮੌਤ ਹੋ ਗਈ।
"
"Are you living in your mother's or grandmother's home WITH grandma?
","ਕੀ ਆਪਣੀ ਮਾਂ ਜਾਂ ਪਿਤਾ ਨਾਲ ਚਾਰਲੀ ਜੀਉਂਦੀ ਰਹਿੰਦੀ ਹੈ?
"
"Among them, two sisters of my grandmother.
","ਇਨ੍ਹਾਂ ਵਿੱਚ ਮੇਰੀਆਂ ਦੋ ਸਕੀਆਂ ਭੈਣਾਂ ਵੀ ਸ਼ਾਮਲ ਸਨ।
"
"Among the protesters were mothers, grandmothers, teachers and students.
","ਭਾਗ ਲੈਣ ਵਾਲੇ ਪ੍ਰਤੀਭਾਗੀਆਂ ’ਚ ਬੱਚੇ, ਮਾਪੇ, ਅਧਿਆਪਕ ਅਤੇ ਐਗਜ਼ੀਬਿਟਰਜ਼ ਸ਼ਾਮਲ ਸਨ।
"
"She has three children and is the grandmother of two.
","ਤਿੰਨਾਂ ਵਿਚ ਇਕ ਮਾਂ ਤੇ ਦੋ ਉਸ ਦੇ ਪੁੱਤਰ-ਪੁੱਤਰੀ ਹਨ।
"
"And she is my grandmother.
","ਤੇ ਉਹ ਮੇਰੀ ਮਰਜਾਣੀ ਹੈ,
"
"And my grandmother and she were sisters.
","ਮੇਰੇ ਮਾਮੇ ਦੇ ਅਤੇ ਉਸ ਦੇ ਦਾਦੇ ਹੋਰੀਂ ਸਕੇ ਭਰਾ ਸਨ।
"
"Beautiful gift for your grandmother!
","ਆਪਣੇ ਪਿਆਰੇ ਮਾਤਾ ਜੀ ਲਈ ਤੋਹਫ਼ਾ!
"
"The victim’s maternal grandmother filed a case with Jhenigathi Police Station in this connection.
","ਇਸ ਮਾਮਲੇ ਵਿੱਚ ਪੀੜਤ ਦੀ ਮਾਂ ਨੇ ਜਨਕਪੁਰੀ ਥਾਣੇ ਵਿੱਚ ਸ਼ਿਕਾਇਤ ਦਰਜ ਕਰਵਾਈ ਹੈ।
"
"Both her mother and grandmother are killed.
","ਪਿਤਾ ਜੀ ਤੇ ਦੋਵਾਂ ਮਾਤਾਵਾਂ ਦੀ ਮੌਤ ਹੋ ਚੁੱਕੀ ਹੈ।
"
"Bollywood actress Sara Ali Khan shared an adorable throwback photograph and thanked her grandmother for creating her mother Amrita Singh.
","ਸਾਰਾ ਅਲੀ ਖਾਨ ਨੇ ਆਪਣੀ ਮਾਂ ਅੰਮ੍ਰਿਤਾ ਸਿੰਘ ਦੇ ਜਨਮਦਿਨ ‘ਤੇ ਆਪਣੇ ਭਰਾ ਅਤੇ ਮਾਂ ਨਾਲ ਇੱਕ ਫੋਟੋ ਸਾਂਝੀ ਕੀਤੀ।
"
"Being a grandmother is very important to me.
","ਮੇਰੇ ਲਈ ਮਾਂ ਹੋਣਾ ਸਭ ਤੋਂ ਅਹਿਮ ਰਿਹਾ ਹੈ।
"
"Both his mother and his grandmother were having serious health problems.
","ਉਸ ਦੀ ਮਾਂ ਤੇ ਭੈਣ ਦਾ ਰੋ-ਰੋ ਕੇ ਬੁਰਾ ਹਾਲ ਸੀ।
"
"After her mother passed away, she was raised by her grandmother.
","ਮਾਂ ਦੀ ਮੌਤ ਤੋਂ ਬਾਅਦ ਚਾਚੀ ਨੇ ਹੀ ਉਨ੍ਹਾਂ ਦੀ ਪਰਵਰਿਸ਼ ਕੀਤੀ ਸੀ।
"
"He was staying with his grandmother in his native village.
","ਉਹ ੳਦੋਂ ਦੀ ਆਪਣੇ ਪੇਕੇ ਪਿੰਡ ਹੀ ਰਹਿੰਦੀ ਆ।
"
"Subsequently, the grandmother of the girl lodged a complaint with the police.
","ਇਸ ਤੋਂ ਬਾਅਦ ਭੈਣ ਨੇ ਪੁਲਿਸ ਕਮਿਸ਼ਨਰ ਨੂੰ ਸ਼ਿਕਾਇਤ ਕਰ ਦਿੱਤੀ।
"
"Both my mother and my grandmother have died.
","ਪਿਤਾ ਜੀ ਤੇ ਦੋਵਾਂ ਮਾਤਾਵਾਂ ਦੀ ਮੌਤ ਹੋ ਚੁੱਕੀ ਹੈ।
"
"Along with Rahul Gandhi, his mother and Congress president Sonia Gandhi also skipped Congress's foundation day event to visit Rahul's grandmother in Italy.
","ਇਸ ਤੋਂ ਬਿਨਾਂ ਕਾਂਗਰਸ ਪਾਰਟੀ ਦੇ ਪ੍ਰਧਾਨ ਰਾਹੁਲ ਗਾਂਧੀ ਅਤੇ ਉਹਨਾਂ ਦੀ ਮਾਤਾ ਸੋਨੀਆ ਗਾਂਧੀ ਵੀ ਇਸ ਸਹੁੰ ਚੁੱਕ ਸਮਾਗਮ ‘ਚ ਸ਼ਾਮਿਲ ਸਨ।
"
"A Great Gift for a hardworking mother, grandmother or friend!
","ਇੱਕ ਭਾਣਜੀ, ਭਤੀਜੇ ਜਾਂ ਦਾਦਾ ਲਈ ਇੱਕ ਮਹਾਨ ਤੋਹਫ਼ੇ ਦਾ ਵਿਚਾਰ!
"
"Also my grandmother was with me.
","ਮੇਰੀ ਸੱਸ ਵੀ ਨਾਲ ਹੀ ਸੀ।
"
"My grandmother was a native of Boston.
","ਮੇਰੀ ਮਾਂ ਬੋਸਟਨ ਤੋਂ ਸੀ।
"
