eng_Latn,pan_Guru
"His grandfather was a famous singer.
","ਉਸਦਾ ਪਿਤਾ ਇੱਕ ਪ੍ਰਸਿੱਧ ਲੋਕ ਗਾਇਕ ਸੀ।
"
"His grandfather was a well-known Urdu poet.
","ਉਨ੍ਹਾਂ ਦੇ ਪਿਤਾ ਜੀ ਖ਼ੁਦ ਉਰਦੂ ਦੇ ਇਕ ਉੱਘੇ ਕਵੀ ਸਨ ।
"
"His grandfather's name is Jacob.
","ਉਹਨਾਂ ਦੇ ਪਿਤਾ ਦਾ ਨਾਮ ਜੇਕਬ ਐਬਟ।
"
"His grandfather, Manasseh, had rebuilt the shrines that his father, Hezekiah, had torn down.
","ਮਨਸ਼੍ਸ਼ਹ ਨੇ ਉਨ੍ਹਾਂ ਉਚਿਆਂ ਬ੍ਥਾਵਾਂ ਨੂੰ ਮੁੜ ਤੋਂ ਬਣਵਾਇਆ, ਜਿਨ੍ਹਾਂ ਨੂੰ ਉਸਦੇ ਪਿਤਾ ਹਿਜ਼ਕੀਯਾਹ ਨੇੇ ਢਹਾਇਆ ਸੀ।
"
"His grandmother was my grandfather's sister.
","ਉਨ੍ਹਾਂ ਦੀ ਪਤਨੀ ਮੇਰੇ ਦਾਦੇ ਦੀ ਭੈਣ ਸੀ।
"
"His maternal grandfather was Canadian.
","ਇਸਦੇ ਪਿਤਾ ਦਾ ਪਰਿਵਾਰ, ਕੈਨੇਡੀਅਨ ਸੀ।
"
"I was only 13 years old when my grandfather passed away.
","ਮੈਂ ਸਿਰਫ਼ 13 ਕੁ ਸਾਲਾਂ ਦਾ ਸੀ ਜਦੋਂ ਮੇਰੇ ਦਾਦੀ ਜੀ ਸਵਰਗਵਾਸ ਹੋ ਗਏ।
"
"Jha's grandfather had three brothers.
","ਪਾਪਾ ਜੀ ਉਨੀਂ ਤਿੰਨ ਭਰਾ ਸਨ।
"
"Kırkpınarlılar ropeway planned to be built by the grandfather of the village in 1945 year to be used as a village pasture to the village legal entity conditional donation of any commercial activity in this area can not be done, he says.
","ਕ੍ਰਿਕਪਨਾਰਲੈਲਰ ਰੋਪਵੇਅ ਨੂੰ 1945 ਸਾਲ ਵਿੱਚ ਇੱਕ ਪਿੰਡ ਦੇ ਚਰਾਗਾ ਦੇ ਰੂਪ ਵਿੱਚ ਇਸਤੇਮਾਲ ਕਰਨ ਲਈ ਪਿੰਡ ਦੇ ਕਾਨੂੰਨੀ ਹਸਤੀ ਨੂੰ ਸ਼ਰਤਪੂਰਵਕ ਦਾਨ ਵਜੋਂ ਬਣਾਉਣ ਦੀ ਯੋਜਨਾ ਬਣਾਈ ਗਈ ਹੈ, ਕਹਿੰਦਾ ਹੈ ਕਿ ਦਾਨ ਦੇ ਸਮਝੌਤੇ ਵਿੱਚ ਇਸ ਖੇਤਰ ਵਿੱਚ ਕੋਈ ਵਪਾਰਕ ਗਤੀਵਿਧੀ ਨਹੀਂ ਹੋ ਸਕਦੀ।
"
"Loving father and grandfather.
","ਦਾਦੇ ਤੇ ਦਾਦੀ ਦਾ ਪਿਆਰ ।
"
"My grandfather and grandmother had her mother living with them.
","ਮੇਰੀ ਮਾਂ ਤੇ ਦਾਦੀ ਉਹਦੇ ਕੋਲ ਬੈਠੀਆਂ ਸਨ।
"
"My grandfather did it.
","ਮੇਰੀ ਦਾਦੀ ਨੇ ਅਜਿਹਾ ਕੀਤਾ.
"
"My grandfather did so.
","ਮੇਰੀ ਦਾਦੀ ਨੇ ਅਜਿਹਾ ਕੀਤਾ.
"
"My grandfather died of cancer 8 years ago.
","ਕੈਂਸਰ ਨਾਲ ਉਸ ਦੇ ਪਿਤਾ ਦੀ ਮੌਤ ਲਗਭਗ 8 ਸਾਲ ਪਹਿਲਾਂ ਹੋ ਗਈ ਸੀ।
"
"My grandfather had wanted to become an artist.
","ਮੇਰੇ ਪਿਤਾ ਆਰਟਿਸਟ ਬਣਨਾ ਚਾਹੁੰਦੇ ਸਨ।
"
"My grandfather in 1950.
","ਸੰਨ 1950 ਵਿਚ ਪਿਤਾ ਜੀ
"
"My grandfather lives in the village.
","ਮੇਰੀ ਦਾਦੀ ਪਿੰਡ ਵਿਚ ਰਹਿੰਦੀ ਹੈ.
"
"My grandfather never learned English.
","ਮੇਰੀ ਦਾਦੀ ਨੇ ਕਦੇ ਸਪੈਨਿਸ਼ ਨਹੀਂ ਸਿੱਖੀ।
"
"My grandfather was a big believer in education.
","ਮੇਰੇ ਪਿਤਾ ਜੀ ਧਰਮ ਚਿੰਤਨ ਦੇ ਮਹਾਨ ਗਿਆਤਾ ਸਨ।
"
"My grandfather was a father to me.
","ਮੇਰੇ ਚਾਚੇ ਮੇਰੇ ਲਈ ਦੂਸਰੇ ਪਿਤਾ ਸਨ.
"
"My grandfather was a nanny.
","ਮੇਰੇ ਪਿਤਾ ਨਾਈ ਸੀ।
"
"My grandfather was like a second father to me.
","ਮੇਰੇ ਚਾਚੇ ਮੇਰੇ ਲਈ ਦੂਸਰੇ ਪਿਤਾ ਸਨ.
"
"My grandfather was the answer.
","ਦਾਦੀ ਦਾ ਜਵਾਬ ਸੀ।
"
"My grandfather's did it.
","ਮੇਰੀ ਦਾਦੀ ਨੇ ਅਜਿਹਾ ਕੀਤਾ.
"
"My great great grandfather also lived there.
","ਮੇਰੀ ਵੱਡੀ ਭੂਆ ਵੀ ਉੱਥੇ ਸੀ।
"
"One day, I went with my father to my grandfather's house.
","ਇਕ ਵਾਰ ਆਪਣੇ ਦਾਦੇ ਨਾਲ ਮੈਂ ਉਹਦੇ ਘਰ ਗਿਆ।
"
"The family lived in a house, Ivy Green, that was built decades ago by her grandfather.
","ਇਸਦਾ ਪਰਿਵਾਰ ਖੇਤਾਂ ਵਿੱਚ ਬਣਾਏ ਘਰ ਆਈਵੀ ਗਰੀਨ ਵਿੱਚ ਰਹਿੰਦਾ ਸੀ, ਜੋ ਇਸਦੇ ਦਾਦੇ ਨੇ ਕਈ ਦਹਾਕੇ ਪਹਿਲਾਂ ਬਣਾਇਆ ਸੀ।
"
"The grandfather is the head of the family.
","ਪਿਤਾ ਪਰਿਵਾਰ ਦਾ ਮੁੱਖੀ ਹੁੰਦਾ ਹੈ।
"
"The grandfather's reply was.
","ਦਾਦੀ ਦਾ ਜਵਾਬ ਸੀ।
"
"Their father was a friend of my great grandfather.
","ਇਨ੍ਹਾਂ ਦੇ ਪਿਤਾ ਜੀ ਮੇਰੇ ਪਿਤਾ ਜੀ ਦੇ ਬੜੇ ਦੋਸਤ ਨੇ।
"
"They each have one possession in which they take pride: Della's beautiful long, flowing hair and Jim's shiny gold watch, which had belonged to his father and grandfather.
","ਉਨ੍ਹਾਂ ਕੋਲ ਮਾਣ ਕਰਨ ਵਾਲੀਆਂ ਸਿਰਫ ਦੋ ਕੀਮਤੀ ਚੀਜ਼ਾਂ ਹਨਃ ਡੈਲਾ ਦੇ ਸੁੰਦਰ ਲੰਬੇ ਵਾਲ, ਜੋ ਲਗਪਗ ਉਸ ਦੇ ਗੋਡਿਆਂ ਨੂੰ ਛੂੰਹਦੇ ਹਨ, ਅਤੇ ਜਿਮ ਦੀ ਚਮਕਦਾਰ ਸੋਨੇ ਦੀ ਘੜੀ, ਜਿਹੜੀ ਉਸ ਦੇ ਪਿਤਾ ਅਤੇ ਅੱਗੋਂ ਦਾਦੇ ਦੀ ਸੀ।
"
"They each have only one possession in which they take pride: Della's beautiful long, flowing hair, almost to her knees and Jim's shiny gold watch, which had belonged to his father and grandfather.
","ਉਨ੍ਹਾਂ ਕੋਲ ਮਾਣ ਕਰਨ ਵਾਲੀਆਂ ਸਿਰਫ ਦੋ ਕੀਮਤੀ ਚੀਜ਼ਾਂ ਹਨਃ ਡੈਲਾ ਦੇ ਸੁੰਦਰ ਲੰਬੇ ਵਾਲ, ਜੋ ਲਗਪਗ ਉਸ ਦੇ ਗੋਡਿਆਂ ਨੂੰ ਛੂੰਹਦੇ ਹਨ, ਅਤੇ ਜਿਮ ਦੀ ਚਮਕਦਾਰ ਸੋਨੇ ਦੀ ਘੜੀ, ਜਿਹੜੀ ਉਸ ਦੇ ਪਿਤਾ ਅਤੇ ਅੱਗੋਂ ਦਾਦੇ ਦੀ ਸੀ।
"
"They have only two possessions between them in which they take pride: Della's beautiful long, flowing hair, almost to her knees, and Jim's shiny gold watch, which had belonged to his father and grandfather.
","ਉਨ੍ਹਾਂ ਕੋਲ ਮਾਣ ਕਰਨ ਵਾਲੀਆਂ ਸਿਰਫ ਦੋ ਕੀਮਤੀ ਚੀਜ਼ਾਂ ਹਨਃ ਡੈਲਾ ਦੇ ਸੁੰਦਰ ਲੰਬੇ ਵਾਲ, ਜੋ ਲਗਪਗ ਉਸ ਦੇ ਗੋਡਿਆਂ ਨੂੰ ਛੂੰਹਦੇ ਹਨ, ਅਤੇ ਜਿਮ ਦੀ ਚਮਕਦਾਰ ਸੋਨੇ ਦੀ ਘੜੀ, ਜਿਹੜੀ ਉਸ ਦੇ ਪਿਤਾ ਅਤੇ ਅੱਗੋਂ ਦਾਦੇ ਦੀ ਸੀ।
"
"They have only two possessions between them in which they take pride: Della's beautiful long, flowing hair, almost touching to her knees, and Jim's shiny gold watch, which had belonged to his father and grandfather.
","ਉਨ੍ਹਾਂ ਕੋਲ ਮਾਣ ਕਰਨ ਵਾਲੀਆਂ ਸਿਰਫ ਦੋ ਕੀਮਤੀ ਚੀਜ਼ਾਂ ਹਨਃ ਡੈਲਾ ਦੇ ਸੁੰਦਰ ਲੰਬੇ ਵਾਲ, ਜੋ ਲਗਪਗ ਉਸ ਦੇ ਗੋਡਿਆਂ ਨੂੰ ਛੂੰਹਦੇ ਹਨ, ਅਤੇ ਜਿਮ ਦੀ ਚਮਕਦਾਰ ਸੋਨੇ ਦੀ ਘੜੀ, ਜਿਹੜੀ ਉਸ ਦੇ ਪਿਤਾ ਅਤੇ ਅੱਗੋਂ ਦਾਦੇ ਦੀ ਸੀ।
"
"This is the land of our grandfathers.
","""""""ਇਹ ਸਾਡੇ ਵਡੇਰਿਆਂ ਦੀ ਧਰਤੀ ਹੈ।""
"
"Today is my paternal grandfather's birthday.
","ਅੱਜ ਉਨ੍ਹਾਂ ਦੇ ਮਰਹੂਮ ਪਿਤਾ ਦਾ ਜਨਮਦਿਨ ਹੈ ।
"
"grandfather had before he died.
","ਦਾਦੀ ਤੋਂ ਪਹਿਲਾਂ ਪਿਤਾ ਜੀ ਦੀ ਮੌਤ ਹੋਈ।
"
"love of grandfather and grandmother.
","ਦਾਦੇ ਤੇ ਦਾਦੀ ਦਾ ਪਿਆਰ ।
"
"my grandfather's radio
","ਮੇਰੇ ਬਾਬੇ ਦਾ ਰੇਡੀਓ
"
"said her grandfather.
","ਉਸਦੀ ਦਾਦੀ ਨੇ ਕਿਹਾ ਸੀ ।
"
"was grandfather's reply.
","ਦਾਦੀ ਦਾ ਜਵਾਬ ਸੀ।
"
"My paternal grandfather was Nihal Singh.
","ਆਪ ਜੀ ਦੇ ਪਿਤਾ ਸ. ਨਿਹਾਲ ਸਿਘ ਜੀ ਸਨ ।
"
"But I asked my grandfather anyway.
","ਪਰ ਚਲ ਅਪਣੇ ਬਾਬਾ ਜੀ ਨੂੰ ਹੀ ਪੁੱਛ ਲੈਂਦਾ ਹਾਂ।
"
"I'm not my father, I'm not my grandfather, my uncles or my brother even.
","ਨਾ ਮੇਰਾ ਕੋਈ ਚਾਚਾ, ਨਾ ਤਾਇਆ ਤੇ ਨਾ ਹੀ ਕੋਈ ਭੈਣ ਭਾਈ।
"
"His father’s name was Krishna Damédar, and his grandfather was Vishnudaés.
","ਭਗਵਾਨ ਸ਼੍ਰੀ ਕ੍ਰਿਸ਼ਨ ਦੇ ਪਿਤਾ ਦਾ ਨਾਂ ਵਾਸੂਦੇਵ ਤੇ ਮਾਤਾ ਜੀ ਦਾ ਨਾਂ ਦੇਵਕੀ ਸੀ।
"
"Bhagat Singh’s grandfather Arjun Singh, his father Kishan Singh and two uncles were all freedom fighters.
","ਅਜੀਤ ਸਿੰਘ ਦੇ ਪਿਤਾ ਅਰਜਨ ਸਿੰਘ ਅਤੇ ਉਨ੍ਹਾਂ ਤੋਂ ਵੱਡੇ ਭਰਾ ਕਿਸ਼ਨ ਸਿੰਘ ਅਤੇ ਸਵਰਨ ਸਿੰਘ ਪੱਕੇ ਕੌਮ ਪ੍ਰਸਤ ਸਨ।
"
"Dad was a loving and devoted husband, father, and grandfather.
","ਉਹ ਇਕ ਸ਼ਾਨਦਾਰ ਪਿਤਾ, ਦਿਆਲੂ ਤੇ ਪਿਆਰ ਕਰਨ ਵਾਲੇ ਇਨਸਾਨ ਸਨ।
"
"A father of three girls and grandfather of seven children.
","ਉਹ ਤਿੰਨ ਬੇਟੀਆਂ ਅਤੇ ਇੱਕ ਬੇਟੇ ਦਾ ਬਾਪ ਹੈ।
"
"He will be sharing the screen space with his father Sunny Deol, uncle Bobby Deol and grandfather Dharmendra in the movie.
","ਇਸ ਫਿਲਮ ਵਿੱਚ, ਸੰਨੀ ਆਪਣੇ ਪਿਤਾ ਧਰਮਿੰਦਰ, ਭਰਾ ਬੌਬੀ ਦਿਓਲ ਅਤੇ ਬੇਟੇ ਕਰਨ ਨਾਲ ਸਕ੍ਰੀਨ ਸਪੇਸ ਸ਼ੇਅਰ ਕਰੇਗੀ. ਸੰਨੀ ਫਿਲਹਾਲ ਸੰਸਦ ਮੈਂਬਰ ਵਜੋਂ ਜ਼ਿੰਮੇਵਾਰੀਆਂ ਵੀ ਨਿਭਾ ਰਹੇ ਹਨ।
"
"Both his father and grandfather killed themselves.
","ਪਿਤਾ ਤੇ ਭਰਾ ਨੇ ਵੀ ਕੀਤੀ ਸੀ ਆਤਮ ਹੱਤਿਆ
"
"My grandfather died a while back.
","ਵੱਡੇ ਭਰਾ ਦੀ ਮੌਤ ਕੁਝ ਸਮਾਂ ਪਹਿਲਾਂ ਹੀ ਹੋਈ ਸੀ।
"
"His father’s name is Sayyid Baha’ ad-Din, and his grandfather is Sayyid Qutb ad- Din.
","ਉਨ੍ਹਾਂ ਦੇ ਪਿਤਾ ਦਾ ਨਾਮ ਭਾਈ ਸਦਾਨੰਦ ਅਤੇ ਮਾਤਾ ਦਾ ਨਾਮ ਲਾਜਵੰਤੀ ਸੀ।
"
"To the animated series about the love of teenagers is this one, where the protagonist boy Arnold, living in a boarding house with his grandfather and grandmother, loves to help others.
",""" ਕਿਸ਼ੋਰਾਂ ਦੇ ਪਿਆਰ ਬਾਰੇ ਐਨੀਮੇਟਡ ਲੜੀ ਇਸ ਲਈ ਹੈ, ਜਿੱਥੇ ਮੁੱਖ ਨਾਇਕ ਆਰਨੋਲਡ, ਆਪਣੇ ਦਾਦੇ ਅਤੇ ਨਾਨੀ ਦੇ ਨਾਲ ਇੱਕ ਬੋਰਡਿੰਗ ਘਰ ਵਿੱਚ ਰਹਿੰਦੇ ਹਨ, ਦੂਜਿਆਂ ਦੀ ਮਦਦ ਕਰਨਾ ਪਸੰਦ ਕਰਦੇ ਹਨ.
"
"Muhammad’s father, Abdallah, died shortly before he was born and his paternal guardianship was taken over by his grandfather, Abd al-Muttalib.
","ਇਨ੍ਹਾਂ ਦੇ ਜਨਮ ਤੋਂ ਕੁਝ ਦਿਨ ਪਹਿਲਾਂ ਹੀ ਅਬਦੁੱਲਾ ਨੇ ਆਪਣਾ ਤਨ ਤਿਆਗ ਦਿੱਤਾ ਸੀ ਅਤੇ ਬੱਚੇ ਦੀ ਪਾਲਣਾ ਉਸਦੇ ਦਾਦੇ ਅਬਦੁੱਲ ਮੁੱਤਲਿਬ ਦੇ ਗੋਚਰੇ ਹੋਈ।
"
"Talking about this project, Producer Prabhleen Kaur expressed his excitement about the new acquisition and said, ""It’s the biggest pride for any Sikh to get an opportunity to even be a tiny part of a project on S. Hari Singh Nalwa ji & I feel it's a huge blessing of Guru Nanak Dev ji & my grandfather Sant Baba Jaswant Singh Ji that Vanit Nalwa ji gave me this fortunate opportunity to produce such a legendary chapter of Indian History.
","ਪ੍ਰੋਡਿਊਸਰ ਪ੍ਰਭਲੀਨ ਕੌਰ ਨਵੀਂ ਪ੍ਰਾਪਤੀ ਲਈ ਬਹੁਤ ਖੁਸ਼ ਹੈ ਅਤੇ ਉਸਦਾ ਦਾ ਕਹਿਣਾ ਹੈ, “ਸ: ਹਰੀ ਸਿੰਘ ਨਲੂਆ ਵਾਲੇ ਪ੍ਰੋਜੈਕਟ ਦਾ ਹਿੱਸਾ ਬਣਨ ਦਾ ਮੌਕਾ ਪ੍ਰਾਪਤ ਕਰਨਾ ਕਿਸੇ ਵੀ ਸਿੱਖ ਲਈ ਸਭ ਤੋਂ ਵੱਡਾ ਮਾਣ ਹੈ |
"
"Both his father and grandfather were tailors.
","ਉਸ ਦਾ ਪਿਤਾ ਅਤੇ ਚਾਚੇ-ਤਾਏ ਆੜ੍ਹਤੀਏ ਸਨ।
"
"Randhawa demanded that Majithia and Harsimrat must apologize from the Sikh Panth just as Simranjeet Singh Maan had apologized for the actions of his grandfather Aroor Singh.
","ਸ. ਰੰਧਾਵਾ ਨੇ ਕਿਹਾ ਕਿ ਬਿਕਰਮ ਤੇ ਹਰਸਿਮਰਤ ਨੂੰ ਨਸੀਹਤ ਦਿੰਦਿਆਂ ਕਿਹਾ ਕਿ ਉਨ•ਾਂ ਨੂੰ ਉਵੇਂ ਮੁਆਫੀ ਮੰਗਣੀ ਚਾਹੀਦੀ ਹੈ ਜਿਵੇਂ ਸਿਮਰਨਜੀਤ ਸਿੰਘ ਮਾਨ ਨੇ ਆਪਣੇ ਦਾਦੇ ਅਰੂੜ ਸਿੰਘ ਦੀ ਸਮੂਲੀਅਤ ਬਦਲੇ ਮੁਆਫੀ ਮੰਗੀ ਸੀ।
"
"Kumar’s grandfather had three brothers.
","ਰੰਘੜ ਦੇ ਬਾਪ ਹੁਰੀਂ ਤਿੰਨ ਭਰਾ ਸਨ।
"
"Her grandfather, says she, was a Muslim and grandmother a Hindu.
","ਸਿੱਧੂ ਨੇ ਕਿਹਾ ਕਿ ਉਨ੍ਹਾਂ ਦੀ ਮਾਂ ਹਿੰਦੂ, ਪਿਤਾ ਗੁਰਸਿੱਖ।
"
"After he died she married my grandfather.
","ਉਸਦੀ ਮੌਤ ਤੋਂ ਬਾਅਦ ਉਸ ਦਾ ਮੇਰੇ ਅਗਲੇ ਭਰਾ ਨਾਲ ਵਿਆਹ ਕਰਵਾ ਦਿੱਤਾ ਗਿਆ।
"
"Both her father and grandfather were also actors.
","ਉਸ ਦੇ ਪਿਤਾ ਅਤੇ ਵੱਡੇ ਭਰਾ ਨੇ ਵੀ ਅਦਾਕਾਰ ਹਨ.
"
"My grandfather had died.
","ਮੇਰਾ ਬਾਪੂ ਤਾਂ ਓਦਨ ਈ ਮਰ ਗਿਆ ਸੀ `
"
