eng_Latn,mar_Deva
"But my brother-in-law swore to me that they would knock my socks off and become a new obsession.
","परंतु माझ्या मेहुण्याने मला वचन दिले की ते माझे मोजे ठोकतील आणि एक नवीन वेडे बनतील.
"
"Delhi: Woman, brother-in-law killed
","दिल्लीः पत्नी, मुलगा हत्येप्रकरणी एका नातेवाईकाला अटक
"
"Finally, KC Bokadia's brother-in-law gave him a break in Bollywood.
","अशा परिस्थितीत अखेर त्याला केसी बोकाडियाच्या ब्रदर इन लॉने बॉलिवूडमध्ये ब्रेक दिला.
"
"Hafiz Saeed's brother-in-law arrested in Pakistan
","भारताचा शत्रू हाफिज सईदला पाकिस्तानात अटक
"
"Hafiz Saeed's brother-in-law arrested in Pakistan.
","आतंकवादी हाफीज सईद याला पाकिस्तानात अटक
"
"He always taught brother-love, love, he believed that life can be easily cut off by love, brother-in-law and harmony, and can be easily dealt with by every struggle of life.
","तो नेहमीच बंधुता, प्रेम याबद्दल शिकवत असे, त्यांचा असा विश्वास होता की प्रेम, बंधुता आणि सद्भावनेने जीवन सहजपणे कापले जाऊ शकते आणि जीवनातील प्रत्येक संघर्ष सहजपणे सामोरे जाऊ शकतो.
"
"He had told his sister Lakshmi and brother-in-law Srinivas Reddy that he will teach swimming to the children.
","मुलांना पोहणे शिकविणार असल्याचे त्याने बहिण लक्ष्मी आणि तिच्या नवऱयाला सांगितले हेते.
"
"He had told his sister Lakshmi and brother-in-law Srinivas Reddy that he will teach the children to swim.
","मुलांना पोहणे शिकविणार असल्याचे त्याने बहिण लक्ष्मी आणि तिच्या नवऱयाला सांगितले हेते.
"
"Her husband died in 1521, probably of battle wounds, and thereafter she was the victim of much persecution and intrigue at the hands of her brother-in-law when he ascended the throne, and by his successor, Vikram Singh.
","तिचे पती 1521 मध्ये मरण पावले, बहुधा युद्धाच्या जखमांमुळे, आणि त्यानंतर ती सिंहासनावर चढल्यावर तिच्या मेहुण्याच्या हातून आणि तिच्या उत्तराधिकारी विक्रम सिंह यांच्याकडून खूप छळ आणि कारस्थानांना बळी पडली.
"
"His brother-in-law ran the London Marathon and raised over £10,000 in his name.
","त्यांचा ससुराळ्याने लंडन मॅरेथॉन चालविला आणि त्याच्या नावावर £ 10,000 हून अधिक पैसे उभे केले.
"
"His sister and brother-in-law were very supportive of him from the very beginning.
","त्याच्या बहीण आणि वहिनी अगदी सुरुवातीपासून त्याला खूप साथ देत होते.
"
"However, the sister and brother-in-law knew what had happened and informed the Rajasthan State Commission for Protection of Child Rights (RSCPCR).
","तथापि, त्या बहिणीला व मेहुण्यांना काय झाले ते माहित होते आणि त्यांनी राजस्थान राज्य बाल संरक्षण आयोगाच्या (आरएससीपीसीआर) माहिती दिली.
"
"I have one smart brother-in-law!
","माझी एक मानलेली सख्खी बहीण आहे !
"
"I will always remember you as my very favorite brother-in-law.
","माझ्यासाठी मी तुला नेहमीच सर्वात प्रिय लहान बहीण म्हणून लक्षात ठेवीन.
"
"In 1570, Nobunaga attacked his brother-in-law's castle, Odani.
","1570 मध्ये, नबुनागोने आपल्या सासरेच्या काठावर, ओदानीवर हल्ला केला.
"
"In India a widow can marry her brother-in-law although a man
","भारतामध्ये एक विधवा आपल्या दिराशी लग्न करू शकते परंतु एक पुरुष आपल्या मृत पत्नीच्या बहिणीशी लग्न करू शकत नाही
"
"In India a widow can marry her brother-in-law although a man cannot marry the sister of his dead wife
","भारतामध्ये एक विधवा आपल्या दिराशी लग्न करू शकते परंतु एक पुरुष आपल्या मृत पत्नीच्या बहिणीशी लग्न करू शकत नाही
"
"In India a widow can marry her brother-in-law although a man cannot marry the sister of his dead wife -
","भारतामध्ये एक विधवा आपल्या दिराशी लग्न करू शकते परंतु एक पुरुष आपल्या मृत पत्नीच्या बहिणीशी लग्न करू शकत नाही
"
"In India a widow can marry her brother-in-law although a man cannot marry the sister of his dead wife:
","भारतामध्ये एक विधवा आपल्या दिराशी लग्न करू शकते परंतु एक पुरुष आपल्या मृत पत्नीच्या बहिणीशी लग्न करू शकत नाही
"
"In North India, a widow can marry her brother-in-law but a widower cannot marry his sister-in-law.
","भारतामध्ये एक विधवा आपल्या दिराशी लग्न करू शकते परंतु एक पुरुष आपल्या मृत पत्नीच्या बहिणीशी लग्न करू शकत नाही
"
"In a recent interview, Derek commented on his friendship with his new brother-in-law.
","नुकत्याच एका मुलाखतीत, डेरेकने त्याच्या नवीन मेहुण्याशी असलेल्या मैत्रीबद्दल टिप्पणी केली.
"
"Indian police also think that a fake company set up by Kundra and his brother-in-law was registered in the UK to avoid India's tough cyber-laws.
","भारतीय पोलिसांना असेही वाटते की कुंद्रा आणि त्याच्या मेहुण्याने स्थापन केलेली बनावट कंपनी भारताच्या कठोर सायबर कायद्यांपासून दूर राहण्यासाठी यूकेमध्ये नोंदणीकृत होती.
"
"Malik on Saturday alleged that the NCB had initially detained 11 people from the Goa-bound cruise ship, but released three of them hours later, including BJP leader Mohit Bhartiya's brother-in-law.
","एवढेच नाही तर मलिक यांनी आरोप केला आहे की, NCB ने सुरुवातीला जहाजातून 11 जणांना ताब्यात घेतले पण त्यापैकी तीन जणांना भाजप नेते मोहित भारती यांच्या जवळच्या नातेवाईकासह काही तासांच्या आत सोडून दिले.
"
"May's brother-in-law later teamed up with Gene Autry in 1949 to create the song, you've probably been singing this entire paragraph.
","मेच्या मेहुण्याने नंतर 1949 मध्ये जीन ऑटरीबरोबर एकत्रितपणे हे गाणे तयार केले, आपण कदाचित हा संपूर्ण परिच्छेद गात आहात.
"
"Meanwhile, a special PMLA court on Tuesday took cognisance of the ED chargesheet and issued non-bailable warrants against Modi, his brother, father, sister and brother-in-law, among others.
","दरम्यान, विशेष पीएमएलए कोर्टाने मंगळवारी ईडीच्या चार्जशीटची दखल घेऊन नीरव, त्याचा भाऊ, त्याचे वडील, बहीण आणि मेव्हुण्याच्याविरोधात वॉरंट जारी केलं आहे.
"
"Murder case: 2 years ago murder of brother-in-law daughter's lover
","Affair: 2 महिन्यांपूर्वी केली मुलीची हत्या, आता नाल्यात आढळला पोलिस पित्याचा मृतदेह
"
"My brother-in-law died too.
","माझ्या धाकट्या भावालाही जीव लावला.
"
"My brother-in-law got married a few weeks ago.
","माझा आतेभाऊ आठवडयापूर्वी कुठल्याशा लग्नात भेटला.
"
"My brother-in-law recently suffered a heart attack.
","अलीकडेच माझे आजोबा हृदयविकाराचा झटका येऊन गेले.
"
"My brother-in-law told me.
","माझ्या विनूदादानं सांगितलंय.
"
"My brother-in-law, you are a true surprise in my life.
","माझ्या मेहुणे, तू माझ्या आयुष्यातला एक खरा आश्चर्यचकित आहेस.
"
"My sisters husband is my wifes brother-in-law.
","बहीण-इन - या माझ्या पत्नीच्या बहीण आहे.
"
"Not only was she dismissed from service but her husband and a brother-in-law were suspended from the Delhi police according to her claim.
","केवळ मलाच नोकरीतून निलंबित करण्यात आले असे नाही तर माझे पती आणि दिरांनाही दिल्ली पोलिसांच्या सेवेतून काढून टाकण्यात आले.
"
"Now, her brother-in-law and co-star in many hit films Anil Kapoor has spoken about the later actor.
","आता, बर्याच हिट चित्रपटांमध्ये तिचा दामाद आणि सह-कलाकार अनिल कपूर यांनी नंतरच्या अभिनेत्याबद्दल बोललो आहे.
"
"On July 2, the High Court of Singapore had ordered the freezing of bank deposits worth Rs 44.41 crore kept in that country by Nirav Modi's sister and brother-in-law as part of a money laundering probe in India.
","त्यानंतर 2 जुलै रोजी सिंगापूर उच्च न्यायालयाने पीएनबी घोटाळा प्रकरणी नीरव मोदीची बहिण आणि बहिणीचा नवरा यांच्या बँकेत जमा असलेले 44.41 कोटी रुपये जप्त करण्याचे आदेश दिले होते.
"
"On Saturday, Malik alleged that the NCB had initially detained 11 persons from the Goa-bound cruise ship, but let off three of them, including the brother-in-law of BJP leader Mohit Bharatiya, a couple of hours later.
","एवढेच नाही तर मलिक यांनी आरोप केला आहे की, NCB ने सुरुवातीला जहाजातून 11 जणांना ताब्यात घेतले पण त्यापैकी तीन जणांना भाजप नेते मोहित भारती यांच्या जवळच्या नातेवाईकासह काही तासांच्या आत सोडून दिले.
"
"Police officers had received a missing person's complaint on March 23, 2011, after Mr Kumar's father explained that he did not return home after leaving with his wife to meet his brother-in-law.
","कुमारच्या वडिलांनी आपल्या मेहुण्याला भेटण्यासाठी पत्नी सोबत सोडल्यानंतर घरी परत न आल्याचे स्पष्ट केल्यावर पोलिस अधिका officers्यांना 23 मार्च 2011 रोजी हरवलेल्या व्यक्तीची तक्रार मिळाली होती.
"
"QUESTION: My brother-in-law just passed away.
","प्रश्नकर्ता: माझा सख्खा भाऊ आत्ताच मृत्यू पावला.
"
"She is the sister of my brother-in-law's wife.
","बहीण-इन - या माझ्या पत्नीच्या बहीण आहे.
"
"The woman is my sister's brother-in-law.
","बहीण-इन - या माझ्या पत्नीच्या बहीण आहे.
"
"Xianhai invited his brother-in-law, Wang Peng to Pakistan in August 2018.
","झियानहाई यांनी आपला मेहुणे वांग पेंग यांना ऑगस्ट 2018 मध्ये पाकिस्तानमध्ये आमंत्रित केले.
"
"Salman’s brother-in-law Aayush Sharma will play the role of a gangster in the film.
","त्याचबरोबर सलमानच्या बहिणीचा नवरा आयुष शर्मा हा गँगस्टरच्या भूमिकेत दिसणार आहे.
"
"The activist arrived at the NIA office at Cumbala Hill in south Mumbai along with his wife Rama Teltumbde and brother-in-law and Dalit leader Prakash Ambedkar.
","दक्षिण मुंबईत कंबाला हिल भागातील “एनआयए’च्या कार्यालयात तेलतुंबडे, त्यांच्या पत्नी रमा तेलतुंबडे आणि मेव्हणे-दलित नेते प्रकाश आंबेडकर हजर झाले.
"
"Antim first look: Salman Khan plays a Sikh man in first film with brother-in-law Aayush Sharma.
","या चित्रपटात आयुष शर्मा पहिल्यांदाच सलमान खानसोबत स्क्रीन शेअर करताना दिसणार आहे.
"
"Bollywood actor Vivek Oberoi's brother-in-law Aditya Alva is reportedly one of the accused in the Sandalwood drugs case.
","विवेक ओबेरॉयच्या बायकोचा भाऊ आदित्य अल्वा हा बंगळुरू ड्रग्ज प्रकरणात आरोपी आहे.
"
"New Delhi: Salman Khan's sister Arpita Khan Sharma and brother-in-law Aayush Sharma hosted Ganesh Chaturthi celebration at their home.
","यंदाच्या वर्षी सलमानच्या घरी साजरा होणाऱ्या गणेशोत्सवाची धूम पाहायला मिळाली त्याची बहीण अर्पिता खान शर्मा हिच्या घरी.
"
"Isabelle will star opposite LoveYatri actor and Salman Khan's brother-in-law Aayush Sharma.
","चित्रपटात सलमान खानसोबत त्याचा भावोजी अर्थातच बहीण अर्पिताचा नवरा आणि ‘लवयात्री’ फेम अभिनेता आयुष शर्मासुद्धा असणार आहे.
"
"Antim, directed by Mahesh Manjrekar, also features Salman Khan's brother-in-law Aayush Sharma (married to Arpita Khan).
","महेश मांजरेकर दिग्दर्शित या चित्रपटात सलमानसोबत त्याच्या बहिणीचा नवरा आयुष शर्मादेखील आहे.
"
"Bollywood bigwig Salman Khan's brother-in-law Aayush Sharma is all set to make his silver screen debut with Loveratri which also stars debutante Warina Hussain.
","सलमान खानच्या बहिणीचा नवरा आयुष शर्मा आणि अभिनेत्री वरिना हुसैन ‘लवरात्री’ या चित्रपटाद्वारे बॉलिवूडमध्ये पदार्पण करत आहे.
"
"Aayush Sharma is married to Arpita Khan Sharma and is the brother-in-law of Sohail Khan.
","आयुष शर्मा हा सलमान खानची बहीण अर्पिता खान हिचा पती आहे.
"
""" The photos also feature Rhea Kapoor's family - Sunita Kapoor, dad Anil Kapoor, sister Sonam Kapoor, brother-in-law Anand Ahuja and brother Harsh Varrdhan Kapoor - and Karan Boolani's parents and his sister Karishma Boolani.
","तर दुसऱ्या फोटोमध्ये अनिल कपूर, सुनीता कपूर, सोनम कपूर, हर्षवर्धन कपूर, आनंद अहूजा, रिया कपूर, करण बुलानी आणि त्याच कुटुंब दिसत आहेत.
"
"Aditya Alva is the son of former minister Jeevraj Alva and brother-in-law of Bollywood actor Vivek Oberoi.
","आदित्य अल्वा हे विवेक ओबेरॉय यांचे शालक आणि माजी मंत्री जीवराज अल्वा यांचे पुत्र आहेत.
"
"Rajasthan Deputy CM Sachin Pilot is Omar Abdullah's brother-in-law and is married to his sister Sara Abdullah Pilot.
","सारा अब्दुल्ला या उमर अब्दुल्ला यांच्या बहीण आणि राजस्थानचे उपमुख्यमंत्री सचिन पायलट यांच्या पत्नी आहेत.
"
"The film features his brother-in-law, Aayush Sharma and debutant Warina Hussain in the lead.
","या ट्रेलरमध्ये आयुष शर्मा आणि त्याची हिरोईन वरीना हुसैन यांची केमिस्ट्री बघण्यासारखी आहे.
"
"He was working during the day at his brother-in-law’s shop and completed Class X by attending evening classes at Karnataka Free Night School.
","स्वतःचे शिक्षणही पूर्ण करण्यासाठी, दिवसा काम करून कर्नाटक फ्री नाईट स्कूल या रात्रशाळेत त्यांनी अकरावीपर्यंत शिक्षण घेतले.
"
"Rauff is the brother-in-law of the younger brother of Jaish chief Maulana Masood Azhar.
","रउफ हा मौलाना जैशचा म्होरक्या मसूद अजहरचा तो भाऊ आहे.
"
"Case under Protection of Children from Sexual Offences Act has been registered in the town police station here against the victim's brother-in-law and father.
","याप्रकरणी त्याच्यासह पीडितेचे वडील व आजीविरोधात शहर पोलिसांनी बालविवाह प्रतिबंधक अधिनियमानुसार गुन्हा दाखल केला आहे.
"
"As Rahul Gandhi geared up to file his nominations for a tough contest in Amethi, he was accompanied by his mother Sonia Gandhi, sister Priyanka Gandhi Vadra and brother-in-law Robert Vadra.
","उमेदवारी अर्ज दाखल करताना राहुल यांच्यासोबत त्यांच्या आई आणि काँग्रेस अध्यक्ष सोनिया गांधी, बहिण प्रियंका गांधी आणि त्यांचे पती रॉबर्ट वडेरा उपस्थित होते.
"
"Vidya attended the party with her husband Siddharth Roy Kapur and brother-in-law Aditya.
","या व्हिडिओत विद्या आपला पती सिद्धार्थ राय कपूरसोबत एका पार्टीत दिसली.
"
"Actor Salman Khan will soon be seen working with his brother-in-law Aayush Sharma in not one but two films.
","आताच समोर आलेल्या माहितीनुसार सलमान खान या सिनेमात एक नाही तर दोन अभिनेत्रींसोबत रोमान्स करताना दिसेल.
"
"Nawab Malik claimed that Rishabh Sachdeva is the brother-in-law of Mohit Kamboj, who is the BJP leader.
",", रिषभ सचदेव हा भाजप युवा मोर्चाचे माजी अध्यक्ष मोहित कंबोज यांचे नातेवाईक आहेत, असा दावा नवाब मलिक यांनी केला आहे.
"
"Drugs case: Bengaluru police raids Vivek Oberoi’s residence in search of his brother-in-law
","क्राइम : बॉलिवूड अभिनेता विवेक ओबेरॉयच्या घरावर ड्रग्जप्रकरणी बेंगळुरू पोलिसांनी टाकला छापा
"
"Salman is launching his brother-in-law Aayush, who is married to Arpita Khan, in Hindi films with Loveyatri.
","सलमान खानची बहीण अर्पिताचा पती आयुष ‘लव्हरात्री’ चित्रपटातून बॉलिवूडमध्ये पदार्पण करत आहे.
"
"The deceased are the cousin sister and brother-in-law of former minister and BJP leader Sudhir Mungantiwar.
","बीड : चालकाचे नियंत्रण सुटल्याने भरधाव कार नाल्यात कोसळून झालेल्या अपघातात भाजपचे माजी मंत्री सुधीर मुनगंटीवार यांची चुलत बहिण व मेव्हण्यांचा मृत्यु झाला.
"
"The policeman’s wife had filed a rape complaint against her brother-in-law.
","एका पोलीस अधिकाऱ्याच्या पत्नीनेच या पोलिसावर बलात्काराचा गुन्हा दाखल केला होता.
"
"Instead, Salman sent his brother-in-law Aayush Sharma to launch the store.
","सलमानने त्याऐवजी आपल्या बहिणीचा पती आयुष शर्माला उद्घाटनासाठी पाठवले.
"
"Aayush Sharma will be teaming up with his brother-in-law Salman Khan for the first time on screen in Mahesh Manjrekar ’s ‘ Antim : The Final Truth’.
","सलमान खान आणि आयुष शर्मा पहिल्यांदाच ‘अंतिम: द फाइनल ट्रुथ’मध्ये मोठ्या पडद्यावर एकत्र दिसणार आहेत.
"
"The film will star Salman Khan and his brother-in-law Ayush Sharma in the lead roles.
","सलमान खानच्या बहिणीचा पती आणि अभिनेता आयुष शर्मा यात प्रमुख भूमिकेत आहे.
"
"Aayush, who is Salman Khan’s brother-in-law and Arpita Khan’s husband.Aayush Sharma and actress Warina Hussain are set to make their debut with ‘Loveratri’.
","सलमान खानच्या बहिणीचा नवरा आयुष शर्मा आणि अभिनेत्री वरिना हुसैन ‘लवरात्री’ या चित्रपटाद्वारे बॉलिवूडमध्ये पदार्पण करत आहे.
"
"Salman’s brother-in-law Aayush Sharma is also playing a key role in the movie.
","यामध्ये सलमानची बहीण अर्पिताचा पती अर्थातच अभिनेता आयुष् शर्मासुद्धा दमदार भूमिकेतआहे.
"
"Her entire family of parents, sister, brother-in-law and nephew and niece were with her.
","त्यांच्यासोबत त्यांची आई, बहीण, भाचा, भाची बहिणीची मैत्रीण आणि शेजारी गेले होते.
"
"The police arrested the youth along with his brother and brother-in-law.
","याप्रकरणी पोलिसांनी लहान भावासह त्याच्या चुलत भावाला अटक केली आहे.
"
"Balakrishna is Andhra Pradesh Chief Minister Chandrababu Naidu‘s brother-in-law and his son Nara Lokesh’s father in law.
","नंदमुरी बाळाकृष्ण हे टीडीपीचे सर्वेसर्वा आणि आंध्र प्रदेशचे मुख्यमंत्री चंद्रबाबू नायडू यांच्या बहिणीचे पती आणि त्यांचा मुलगा नारा लोकेशचे सासरे आहेत.
"
"Mr Goyal is the brother-in-law of BJP leader Sudhanshu Mittal.
","ललीत गोयल हे भाजप नेते सुधांशु मित्तल यांचे नातेवाईक आहेत.
"
"His mother, sister and brother-in-law were present at that time.
","यावेळी बरखाचे मामा, मामी, नानी उपस्थित होते.
"
"Man stabs brother-in-law to death for harassing his sister
","बहिणीबद्दल अपशब्द वापरल्याने मारहाण करणाऱ्या भावाचा भोसकून खून
"
"Salman's brother-in-law Aayush Sharma also stars in the movie.
","तर सलमानच्या बहिणीचा नवरा आयुष शर्मा हा देखील एका वेगळ्या भूमिकेत दिसणार आहे.
"
"Bharat is produced by Salman's brother-in-law Atul Agnihotri.
","या सिनेमाची सलमानचा भावोजी अतुल अग्निहोत्रीने निर्मिती केली होती.
"
"Priyanka Chopra Jonas has given a shout out to her husband Nick Jonas and her brother-in-laws Kevin and Joe Jonas.
","निक जोनासच्या या पोस्टवर त्याचे वडील केविन जोनास आणि पत्नी प्रियांका चोप्रा यांनी आपली प्रतिक्रिया दिली आहे.
"
"Ahil’s father and Salman’s brother-in-law Aayush Sharma recently made his Bollywood debut with Salman Khan Films’ Loveyatri.
","बॉलिवूडचा दबंग खान सलमान खानच्या बहिणीचा नवरा आयुष शर्मा लवकरच ‘लवरात्री’ या चित्रपटाद्वारे सिनेसृष्टीत पदार्पण करतोय.
"
"Salman Khan's brother-in-law Aayush Sharma made his Bollywood debut with Loveyatri.
","मुंबई - सलमानची बहिण अर्पिता खानचा पती आयुष शर्माने 'लव्हयात्री' चित्रपटातून बॉलिवूडमध्ये पदार्पण केले.
"
"Present with her were her parents, sister and brother-in-law.
","त्यांच्यासोबत त्यांची आई, चुलते, बहीण आणि भाऊ देखील आले.
"
"Husband and brother-in-law suspended
","पती आणि सासूला अटक
"
"Abdul Rauf is the brother-in-law of Maulana Masood Azhar,leader of terrorist group Jaish-e-Mohammed.
","जैश-ए- मोहम्मद या दहशतवादी संघटनेचा म्होरक्या मौलाना मसूद अझहर हा अब्दुल गाझीचा निकटवर्तीय म्हणून ओळखला जातो.
"
"Slain Al Qaeda chief Osama bin Laden reportedly told his children to live peacefully in the West where they would get a good education, his brother-in-law has revealed.
","अल-कैदा दहशतवादी संघटनेचा म्होरक्या ओसामा बिन लादेन आपल्या मुलांना पश्चिमे शांततेत जगण्याचा आणि चांगले शिक्षण घेण्याचा सल्ला देत असे, लादेनच्या मेव्हण्याने सांगितले.
"
"Salman is launching his brother-in-law Aayush, who is married to Arpita Khan, in Hindi films with Loveyatri.
","सलमान खानची बहीण अर्पिताचा पती आयुष 'लव्हरात्री' चित्रपटातून बॉलिवूडमध्ये पदार्पण करत आहे.
"
"Aayush Sharma, Salman Khan's brother-in-law, is all set to make his debut in Bollywood.
","सलमान त्याच्या बहिणीचा पती आयुष शर्मा याला बॉलिवूडमध्ये लॉन्च करण्याच्या तयारीत आहे.
"
"A similar notice was also issued to Nirav Modi's wife Ami, sister Purvi and brother-in-law Maiank Mehta.
","याप्रकरणी विशेष न्यायालयाने नीरव मोदीसह त्याची पत्नी एमी मोदी, बहिण पूर्वी आणि भावोजी मयंक मेहता यांनाही नोटीस जारी केली आहे.
"
"Police said the accused was the cousin of the woman’s brother-in-law.
","पोलिसांनी दिलेल्या माहितीनुसार, आरोपी हा फिर्यादी महिलेचा भाचा आहे.
"
"He lives in a rented house with his mother, wife, two children and a brother-in-law.
","सध्या ठाण्यातच भाड्याची खोली घेऊन आई, पत्नी व दोन मुलांसह राहतो.
"
"Kerala : Muslim woman stabbed by sister and brother-in-law after marrying a Hindu youth
","केरळमध्ये हिंदु तरुणाने ख्रिस्ती तरुणीशी विवाह केल्याने तिच्या भावाकडून हिंदु तरुणाला मारहाण
"
"Among the accused is Aditya Alva, son of the former Minister Jeevaraj Alva and brother-in-law of actor Vivek Oberoi.
","आदित्य अल्वा हे विवेक ओबेरॉय यांचे शालक आणि माजी मंत्री जीवराज अल्वा यांचे पुत्र आहेत.
"
"His sister, brother-in-law and mother were in the house at that time.
","त्यावेळी त्याचा भाऊ, बहिण आणि तो असे तिघे घरात होते.
"
"According to sources, the woman had an illicit affair with her distant brother-in-law.
","सूत्रांनी दिलेल्या माहितीनुसार, महिलेचे तिच्या शेजाऱ्यासोबत विवाहबाह्य संबंध ठेवले होते.
"
"Salman Khan is launching his brother-in-law Aayush Sharma in Loveyatri.
","लवयात्रीमधून सलमान खान आयुष शर्माला बॉलिवूडमध्ये लॉन्च करत आहे.
"
"Bollywood superstar Salman Khan’s brother-in-law Aayush Sharma had his debut in Bollywood with ‘Loveyatri’ that also starred Warina Hussain.
","सलमान खानच्या बहिणीचा नवरा आयुष शर्मा आणि अभिनेत्री वरिना हुसैन ‘लवरात्री’ या चित्रपटाद्वारे बॉलिवूडमध्ये पदार्पण करत आहे.
"
"Bollywood superstar Salman Khan is launching his brother-in-law Aayush Sharma in the Hindi film industry with the film Loveratri that also stars debutante Warina Hussain.
","सलमान खानच्या बहिणीचा नवरा आयुष शर्मा आणि अभिनेत्री वरिना हुसैन ‘लवरात्री’ या चित्रपटाद्वारे बॉलिवूडमध्ये पदार्पण करत आहे.
"
"Justice Datta is son of former Calcutta HC Judge Salil Kumar Datta and brother-in-law of former SC Judge Amitava Roy.
","दीपांकर दत्ता हे कोलकाता उच्च न्यायालयाचे दिवंगत माजी न्यायमूर्ती सलीलकुमार दत्ता यांचे चिरंजीव आहेत.
"
"Born into a judges’ family, he is the son of former Calcutta HC Judge Salil Kumar Datta and brother-in-law of Justice Amitava Roy, former SC judge.
","ते कोलकाता उच्च न्यायालयाचे माजी न्यायमूर्ती दिवंगत सलीलकुमार दत्ता यांचे चिरंजीव आहेत, तर सर्वोच्च न्यायालयाचे माजी न्यायमूर्ती अमिताव रॉय यांचे मेहुणे आहेत.
"
"He is Ajit Pawar’s brother-in-law.
","ते अजित पवार यांचे मावस भाऊ आहेत.
"
"A brother-in-law was seriously wounded.
","यामध्ये चुलत भाऊ गंभीर जखमी झाला.
"
"A similar notice was also issued to Nirav Modi's wife Ami, sister Purvi and brother-in-law Maiank Mehta.
","अशीच नोटीस नीरव मोदीची पत्नी अमी, बहीण पूर्वी आणि बहिणीचे पती मयांक मेहता यांना देखील बजावण्यात आली आहे.
"
"Rahul was accompanied by his sister Priyanka Gandhi and brother-in-law Robert Vadra.
","बहिन प्रियंका आणि रॉबर्ट वाड्रा यांच्यासोबत राहुल गांधी
"
"Priyanka Gandhi approached the pilot's father-in-law Farooq Abdullah and brother-in-law Omar Abdullah.
","प्रियंका गांधी यांनी त्यासाठी पायलट यांचे सासरे फारुख अब्दुल्ला आणि मेहुणे उमर अब्दुल्ला यांच्याशी संपर्क साधला.
"
"His mother, sister and brother-in-law were present at that time.
","त्यावेळी दुकानात तिची आई, छोटा भाऊ आणि बहीण होते.
"
"According to reports, Sushant Rajput’s brother-in-law and IPS officer Om Prakash Singh’s four relatives were killed in the accident.
","या अपघातात सुशांत राजपूतचा भावोजी आणि हरियाणा कॅडरचे आयपीएस अधिकारी ओम प्रकाश सिंग यांचे चार नातेवाईक ठार झाले आहेत.
"
"His mother, sister and brother-in-law were present at that time.
","त्यावेळी तिचे आई,आजोबा आणि आज्जीही होते.
"
"His brother-in-law died on the spot.
","त्यात चुलत्याचा जागीच मृत्यू झाला.
"
"The accused is the brother-in-law of the girl’s elder sister.
","आरोपी हा महिलेचा लहान भाऊ आहे.
"
