eng_Latn,mar_Deva
"""I'll ask my grandmother.""""""
","""मी दादाला विचारते. बघूया. """"""
"
"""My grandmother told...""""""
",""""""" आज्जी बोलली, मी म्हटलं. . . .""
"
"""The grandmother replies, """"This means the beginning and the end.""
","""दादी उत्तर देतेः """"याचा अर्थ आरंभ आणि शेवट आहे.""
"
"""Then she said, """"My grandmother.""
",""""""" तेव्हा ती म्हणाली, """" मामाची.""
"
"32-year-old Raghunandan Yandmuri has been found guilty of murdering an innocent woman and her Indian grandmother.
","32 वर्षीय रघुनंदन यंदमुरीला भारतीय महिला आणि तिच्या नातीची हत्या करण्याप्रकरणी दोषी ठरविण्यात . . . Full Article
"
"A few months ago my grandmother died.
","काही महिन्यांपूर्वी माझ्या आजोबांचे निधन झाले.
"
"A few months ago my grandmother passed away.
","काही महिन्यांपूर्वी माझ्या आजोबांचे निधन झाले.
"
"A grandmother can never take the place of a mother.
","दायी कधीही आईची जागा घेऊ शकत नाही.
"
"A young woman lived with her grandmother.
","तिथे एक वृद्ध महिला आपल्या तरुण नातीसह राहात होती.
"
"Also my grandfather and grandmother.
","अगदी माझी आई आणि आज्जी पण.
"
"And I'm not a grandmother.
",". आणि मी अमा नाही आहे.
"
"And one day my grandmother told me a story.
","आणि एक दिवस दादांनी मला लकीची कथा ऐकवली.
"
"And one day, my grandmother told me a story.
","आणि एक दिवस दादांनी मला लकीची कथा ऐकवली.
"
"And one such occasion is one's grandmother's 85th birthday.
","निमित्त ठरतंय ते म्हणजे तिच्या आजोबांचा 85 वा वाढदिवस.
"
"And then i went to see my grandmother.
","मग मी दादांना भेटायला गेलो.
"
"Ask the grandmother.
","मामीला विचारून पाहा.
"
"At home there was just my mother and grandmother.
","तेव्हा माझ्या घरी फक्त मी माझी आई आणि माझी दीदी राहत होते.
"
"Because although she is my wife, she's my grandmother too!
","कारण हे माझे मामा, त्याचे पण मामा आहेत!
"
"Being a grandmother is very important to me.
","माझ्यासाठी आई होणे हेच खूप महत्त्वाचे आहे.
"
"Both my grandmother and father did the same thing.
","आजोबा, वडील दोघंही हेच करायचे.
"
"Both of his parents and grandmother were professional dancers.
","तिचे वडील आणि आई व्यावसायिक नर्तक होते.
"
"Both of my grandmothers are good cooks.
","माझ्या दोघी बहिणीही सुरेख स्वयंपाक करतात.
"
"But my grandmother wasn't.
","पण मामूचे मात्र तसे नव्हते.
"
"By the way, even here the girl was not deprived of genes: Nastya spent a lot of time with her grandmother in Kislovodsk, who led the music school for more than 15 years.
","तसे, येथे मुलगी जीन्स वंचित नाहीः Nastia जास्त 15 वर्षे संगीत शाळा नेतृत्व आहे किस्लोवोडस्क माझ्या आईची किंवा वडिलांची आई, वेळ खूप खर्च.
"
"By the way, the girl was not deprived of genes here either: Nastya spent a lot of time with her grandmother in Kislovodsk, which for more than 15 years supervised the music school.
","तसे, येथे मुलगी जीन्स वंचित नाहीः Nastia जास्त 15 वर्षे संगीत शाळा नेतृत्व आहे किस्लोवोडस्क माझ्या आईची किंवा वडिलांची आई, वेळ खूप खर्च.
"
"By the way, the girl was not deprived of genes here either: Nastya spent a lot of time with her grandmother in Kislovodsk, which for more than 15 years was in charge of the music school.
","तसे, येथे मुलगी जीन्स वंचित नाहीः Nastia जास्त 15 वर्षे संगीत शाळा नेतृत्व आहे किस्लोवोडस्क माझ्या आईची किंवा वडिलांची आई, वेळ खूप खर्च.
"
"Congratulations of becoming a grandmother.
","आज्जी झाल्याबद्दल अभिनंदन.
"
"Do you know my grandmother?
","तुम्ही ओळखता ना माझ्या आजोबांना?
"
"Do you remember my grandmother?
","नानी याद दिला देते हो ?
"
"During that time, his mother, grandmother and several other family members died.
","यादरम्यान, माझे आई, वडील आणि अन्य नातेवाईकांचा मृत्यू झाला.
"
"Every time I watch it I remember my grandmother.
","प्रत्येक वेळी हा शेवगा पाहून मला आईची आठवण येते.
"
"Fashion is cyclical, and no one is surprised at the catwalks and magazine covers of the styles and models of dresses, skirts and trousers exactly like in my mother's youth or reminiscent of grandmothers.
","फॅशन - चक्रीय गोष्ट आणि कोणीही catwalks वर आश्चर्य नाही आणि माझ्या आईचे तरुणपणी होती तशीच शैली आणि कपडे मासिके, एक केसाची जाडी सह हातांना आणि अर्धी चड्डी मॉडेल कव्हर, किंवा त्याच्या आईची किंवा वडिलांची आई सदृश.
"
"Has my father got my grandmother's home?
","आजोबाला त्याचं घर सापडलं का?
"
"He attempted suicide following the death of his grandmother.
","तिने आपल्या आईच्या मृत्यूनंतर आत्महत्येचा प्रयत्न केला.
"
"He called to his grandmother and she saw him.
","त्याने आज्जीकडे बघत तिला बोलावले.
"
"He grandmother was very fond of her too.
","आईंनीही तिला अपार माया लावली.
"
"He lived with my grandmother.
","ती मामाकडे राहत होती.
"
"He lived with the grandmother.
","ती मामाकडे राहत होती.
"
"He looked at his grandmother.
","तिने दादाजिंकडे बघितल.
"
"He still remembers what was penniless at the time of his childhood: my grandmother had a small pension, which was barely enough for food.
","तो अजूनही तो त्याच्या बालपण दरम्यान पैसे अभाव होता ते लक्षात ठेवतोः माझी पणजी अन्न केवळ पुरेशी आहे, एक लहान पेन्शन होता.
"
"He was living with his grandmother.
","ती मामाकडे राहत होती.
"
"He was my grandmother's son.
","तो माझ्या मोठ्या आईचा मुलगा होता.
"
"He was my grandmother's youngest son.
","तो माझ्या मोठ्या आईचा मुलगा होता.
"
"He was my grandmother.
","ते माझे मोठे मामा होते.
"
"He was the son of a village teacher and spent some of his childhood on a farm with his grandmother.
","तो एका खेड्यात शिक्षक मुलगा होता, आणि त्याच्या आईची किंवा वडिलांची आई एक शेत बालपण भाग खर्च.
"
"He went to his grandmother.
","ती मामाकडे गेलीय.
"
"Her grandfather, William H. Gates Sr., was a prominent lawyer and her grandmother, Mary Maxwell Gates, a member of the board of directors of First Interstate BancSystem and the United Way.
","""त्यांचे वडील विलियम एच गेट्स हे सुप्रसिद्ध वकील होते व त्यांची आई मेरी मैक्सवेल या """"युनायटेड वे"""" आणि """"फर्स्ट इंटरस्टेट बँक सिस्टम"""" च्या बोर्ड्स ऑफ डायरेक्टरर्स मधील एक होत्या.""
"
"Her grandmother also had three boys.
","त्यात मामाचीही तीन मुले होती.
"
"Her grandmother and great uncle were also artists.
","त्यांचे आजोबा आणि काका हेही उत्तम शिल्पकार होते.
"
"Her grandmother didn't say anything.
","दादी काहीच बोलल्या नाहीत.
"
"Her grandmother died in 1950.
","आजोबा १९५० ला मयत झाले .
"
"Her grandmother died of the disease in 2008.
","2008 मध्ये त्यांच्या पत्नीचे आजाराने निधन झाले.
"
"Her grandmother doesn't say anything.
","दादी काहीच बोलल्या नाहीत.
"
"Her grandmother had taken care of her ever since then.
","तेव्हा पासून मामा-मामी तिचा सांभाळ करत होते.
"
"Her grandmother is 85 years old.
","तिच्या वडिलांचे वय ८५ वर्ष आहे.
"
"Her grandmother lives in a small town.
","तो एक लहान गावात त्याची आई राहते.
"
"Her grandmother owned a restaurant in New York.
","तिच्या वडिलांचं न्यू यॉर्कमधे रेस्टॉरंट आहे.
"
"Her grandmother was 20.
","त्यांच्या आईचं वय 20 वर्षांचं.
"
"Her grandmother was an immigrant from Ireland.
","त्यांचे आजोबा आयर्लंड एक परदेशातून होते.
"
"Her grandmother was silent for a minute.
","दादी क्षणभर निःशब्द झाल्या.
"
"Her grandmother was standing at the door waiting for her.
","त्याची बहिण गेटजवळ त्याची वाट बघत उभी हाेती.
"
"Her grandmother was waiting for them.
","मामा त्यांची वाटच पाहत होते.
"
"Her grandmother was with her.
","तिचे आजोबा तिच्यासोबत आले होते.
"
"Her grandmother wrote children's books.
","माझी आई लहान मुलांची पुस्तकं लिहिते.
"
"Her grandmother, mother and brother were killed.
","तिच्या आईला तिचे वडील, आज्जी आणि आजोबाने मिळून मारले होते.
"
"Her grandmother, mother and father all worked in education.
","त्याची आई, मी, आणि आजोबा, सगळे शिक्षकी पेशातले.
"
"Her grandmother, mother, and son came with.
","आमच्या सोबत सच्याचे मामा, मामी आणि त्यांचा मुलगा यायचं ठरलं.
"
"Her maternal grandfather, Jack Dellal, was a British businessman of Iraqi Jewish descent, and Kirke's maternal grandmother was Israeli.
","केवढे आजोबा माता बाजूला, जॅक Dellal इंग्रजी व्यापारी इराकी-यहुदी होते, आणि माझ्या आईची किंवा वडिलांची आई इस्राएली.
"
"Her maternal grandfather, Jack Dellal, was a British businessman of Iraqi-Jewish descent, and Kirke's maternal grandmother was Israeli.
","केवढे आजोबा माता बाजूला, जॅक Dellal इंग्रजी व्यापारी इराकी-यहुदी होते, आणि माझ्या आईची किंवा वडिलांची आई इस्राएली.
"
"Her mother and grandmother are classical singers.
","तिची आई गायिका आणि बहिणी संगीत विशारद आहेत.
"
"Her mother and grandmother were both talented artists.
","तिचे आई आणि वडील दोघेही सुप्रसिद्ध अभिनेते होते.
"
"Her mother and grandmother were inside the house.
","दादी आणि अम्मी घरात होत्या.
"
"Her mother, brother and grandmother were killed.
","तिच्या आईला तिचे वडील, आज्जी आणि आजोबाने मिळून मारले होते.
"
"Her mother... my grandmother!
","तिची आई. . तिचे नाना आजोबा!
"
"Her parents divorced when she was 10 and she went to live with her grandmother.
","१० वर्षांचा असताना त्याच्या वडिलांनी दुसरे लग्न केले आणि त्याला त्याच्या आईसोबत टाकून पळ काढला.
"
"His grandmother and his father brought him up.
","त्याचे आई-वडील त्याला घेऊन दादांकडे घेऊन आलेत.
"
"His grandmother asks him something.
","अंकल त्याला काहीतरी विचारतात.
"
"His grandmother brought him to school.
","आजोबांनी त्याला शाळेत घातला होता.
"
"His grandmother came over to him.
","दादा त्याच्याकडे आले.
"
"His grandmother cares for him.
","आजोबा त्याची मायेने काळजी घेतात.
"
"His grandmother didn't say anything.
","दादी काहीच बोलल्या नाहीत.
"
"His grandmother died in 2020.
","2020 मध्ये तिच्या वडिलांचे नि'धन झाले होते.
"
"His grandmother died in the house.
","घरात आजोबाचा मृत्यू झाला.
"
"His grandmother had never told him.
","त्याच्या आजोबांनी कधीच त्याला ह्या गोष्टी सांगितल्या नव्हत्या.
"
"His grandmother had taken care of him since then.
","तेव्हा पासून मामा-मामी तिचा सांभाळ करत होते.
"
"His grandmother has cared for him ever since.
","तेव्हा पासून मामा-मामी तिचा सांभाळ करत होते.
"
"His grandmother held the family together.
","या कुटुंबाला त्यांच्या दादीने मायेने एकत्र बांधून ठेवलंय.
"
"His grandmother is caring for him.
","आजोबा त्याची मायेने काळजी घेतात.
"
"His grandmother is in Mumbai.
","त्यांच्या आई मुंबईतील आहेत.
"
"His grandmother is one of them.
","दादाही त्यांपैकीच एक.
"
"His grandmother is poor.
","तिचे मामा गरीब आहेत.
"
"His grandmother is younger than his grandfather.
","नातू लहान आहे आजोबांपेक्षा.
"
"His grandmother lived alone.
","तिथं आज्जी एकटी राहायची.
"
"His grandmother lives in Canada.
","तिचे वडील कॅनडामध्ये राहतात.
"
"His grandmother raised him and his sisters.
","आईने त्याला आणि त्याच्या सावत्र बहिणींना वाढवले.
"
"His grandmother stood at the door, waiting for him.
","त्याची बहिण गेटजवळ त्याची वाट बघत उभी हाेती.
"
"His grandmother told him about his childhood.
","आजोबा त्यांच्या लहानपणीच्या गोष्टी सांगत होते.
"
"His grandmother was 18 years younger than his grandfather.
","पत्नी 18 वर्षे तिचा पती पेक्षा लहान होता.
"
"His grandmother was Russian.
","त्याचे वडील हे रशियन होते.
"
"His grandmother was wounded.
","तर, त्याचा मामा जखमी झाला.
"
"His grandmother went with him.
","त्याचे आजोबा त्याच्या सोबत आले होते.
"
"His grandmother worked in the factory.
","त्यांचे वडील कारखान्यात नोकरीला होते.
"
"His grandmother's
","त्यांची दादा ॥
"
"His mother and grandmother raised him and two sisters.
","त्यामुळे आईनेच आणि तिला आणि तिच्या दोन मोठय़ा बहिणींना वाढवलं.
"
"His mother, grandmother, and grandfather were all teachers.
","त्याची आई, मी, आणि आजोबा, सगळे शिक्षकी पेशातले.
"
"His paternal grandmother is a retired teacher.
","तिचे आजोबा सेवानिवृत्त मुख्याध्यापक आहे.
"
"His sister, grandfather and grandmother were killed.
","तिच्या आईला तिचे वडील, आज्जी आणि आजोबाने मिळून मारले होते.
"
"I am not talking about the grandmother.
","मी आजोबांबद्दल बोलत नाहीये.
"
"I asked my grandmother,
","मी आजोबांना विचारलं,
"
"I call them my grandmothers.
","मी त्यांना दादा म्हणते.
"
"I called my grandmother.
","मी नातीला बोलावले.
"
"I called the grandmother.
","मी नातीला बोलावले.
"
"I can never forget my paternal grandmother.
","मला माझ्या सख्ख्या आईची कधीही आठवण येऊ देत नाही.
"
"I do remember my great grandmother.
","मला मामा मामी यांची आठवण येत असते.
"
"I first saw it in my grandmother's house.
","पहिल्यांदा मी हे आमच्या मामाच्या बागेत पाहिले.
"
"I found my grandmother on there.
","तिथे मला मामा दिसले.
"
"I grew up seeing my grandmother.
","आजोबांकडे पहात मी वाढलो.
"
"I have a grandmother.
","माझी एक मामी आहे.
"
"I heard these stories from my grandmother.
","या कथा मी माझ्या आजोबांकडून ऐकल्या.
"
"I heard this story from my grandmother.
","या कथा मी माझ्या आजोबांकडून ऐकल्या.
"
"I learned from my mother and grandmother.
","त्यांच्या कडुनच आई आणि आई कडुन मी शिकले.
"
"I looked at my grandmother's face.
","मी मामीच्या चेहेरयाकडे पाहिलं .
"
"I ran immediately into my grandmother's bedroom.
","मी लगेच धावत आजोबांच्या खोलीकडे पळालो.
"
"I remember both my grandmothers.
","माझ्या दोन्ही आज्ज्यांची आठवण झाली.
"
"I remember both of my grandmothers.
","माझ्या दोन्ही आज्ज्यांची आठवण झाली.
"
"I remember my grandmother...
","मला माझी आज्जी आठवली. . .
"
"I spent 3 years living in my grandmother's house.
","मी मामाच्या घरी ३ वर्षे होतो.
"
"I spoke to my brother and grandmother.
","मी माझ्या मोठ्या भावाशी आणि आईशी बोलतो.
"
"I spoke to my grandmother about it.
","यासंबंधी मी माझ्या मामांशी बोललो.
"
"I talked to my grandmother a few days ago.
","काही दिवसापूर्वी आईशी बोलत होतो.
"
"I talked to my grandmother about it.
","यासंबंधी मी माझ्या मामांशी बोललो.
"
"I was visiting my grandmother the hospital.
","मी आजोबांकडे हॉस्पिटलमधे चाललो होतो.
"
"I went home to my grandmother's house.
","मी माझ्या मामाच्या घरी गेलो.
"
"I went to my grandmother's house during summer vacation.
","मी माझ्या उन्हाळ्याच्या सुट्टीत मामाच्या घरी गेलो होतो.
"
"I went to the home of my grandmother.
","मी माझ्या मामाच्या घरी गेलो.
"
"I will never forget my grandmother.
","मला माझ्या सख्ख्या आईची कधीही आठवण येऊ देत नाही.
"
"I'd say my grandmother.
","माझी आज्जी म्हणायची.
"
"I'll stay at my grandmother's.
","मी नानीकडे राहीन.
"
"I'll stay with my grandmother.
","मी नानीकडे राहीन.
"
"I'm not as brave as my grandmother.
","दादा वहिनी सारखंच मीही वर्जिन नाही.
"
"I'm remembering my mother's grandmother.
","मला मामा मामी यांची आठवण येत असते.
"
"I'm the grandmother!
","दादा मीच आहे!
"
"I've got a grandmother.
","माझी एक मामी आहे.
"
"I've heard this story from my grandmother.
","या कथा मी माझ्या आजोबांकडून ऐकल्या.
"
"I've never seen a grandmother so angry.
","मी दादांना यापूर्वी कधीही इतके संतापलेले पाहीले नव्हते.
"
"If my grandmother wasn't
","मामा जी अगर नही होते
"
"If my grandmother were alive today she would be 120 years old.
","आज माझे आजोबा जीवंत असते तर ते 125 वर्षाचे असते.
"
"In 1993 my grandmother died.
","1993 मध्ये, वृद्ध महिला मृत्यू झाला होता.
"
"In the last story, I told you how my friend's grandmother did a blow-job on me.
","तर मागच्या कहाणीत मी आपल्याला माझ्या मित्राच्या आईने मला कशाप्रकारे मूठ मारून दिले ते सांगितले.
"
"In the late sixties my grandmother told me Islam would take over the world before Christianity took it back.
","उशीरा साठचे दशक 'माझ्या आईची किंवा वडिलांची आई ख्रिस्ती तो परत केली आधी इस्लामला जगभरातील लागू होईल मला सांगितले.
"
"In the same manner in which my grandmother
","त्याच पद्धतीने माझ्या आजोबांनी
"
"It is my responsibility as a grandmother to torment you as much as possible, so this year I plan to smother you with hugs and kisses in front of all your mates.
","एक पालक म्हणून, शक्य तितक्या आपल्याला लाजविणे हे माझे कर्तव्य आहे, म्हणून यावर्षी मी आपल्या सर्व मित्रांसमोर मिठी आणि चुंबन घेऊन आपणास त्रास देण्याची योजना करीत आहे.
"
"It was my great grandmother.
","ते माझे मोठे मामा होते.
"
"It was there was a grandmother.
","तेथे होता दादाराय ।
"
"Julie's grandmother died of breast cancer.
","जूलियनच्या आईचा मृत्यू ब्रेस्ट कॅन्सरमुळेच झाला होता.
"
"Kirke's maternal grandfather, Jack Dellal, is a British businessman of Iraqi-Jewish descent, and her maternal grandmother was Israeli.
","केवढे आजोबा माता बाजूला, जॅक Dellal इंग्रजी व्यापारी इराकी-यहुदी होते, आणि माझ्या आईची किंवा वडिलांची आई इस्राएली.
"
"Last week, I visited grandmother's house.
","मागच्या आठवड्यात मी माझ्या मामाच्या गावाला गेलो होतो.
"
"Looking for great grandmother's
","दादीयांचा शोध
"
"Mom kisses her baby when she goes to work, her grandmother - her beloved grandson as a sign of great love, and the students - her teachers as a token of gratitude.
","आई माझी पणजी ती कामाला जातो, तेव्हा तिच्या बाळाला चुंबने - कृतज्ञता एक टोकन म्हणून त्यांचे शिक्षक - महान प्रेम लक्षण, आणि विद्यार्थी म्हणून प्रिय नातू.
"
"Mother, grandmother and teacher
","आई गृहिणी आणि वडील शिक्षक
"
"Mother, grandmother, all the mothers in the house
","मामा, मावशी, आई सगळे आचारी घरातीलच.
"
"My dad and grandmother were born there.
","माझं आणि दादाचं बालपण तिथंच गेलं.
"
"My friend's grandmother died yesterday.
","काल माझ्या एका मित्राच्या आजोबांचे निधन झाले.
"
"My grandmother (Dad's Mom) lives there.
","माझ्या आईचे मामा (श्री. देशपांडे) तिथे रहायचे.
"
"My grandmother 93 years old.
","माझी आई 93 वर्षांची आहे.
"
"My grandmother ain't forgotten.
","आजोबा विसरले नव्हते.
"
"My grandmother also passed a few months later.
","माझे आजोबा देखील पुढे लगेचच काही महिन्यातच गेले.
"
"My grandmother also taught.
","मामी मला पण शिकव गं.
"
"My grandmother and I did it all.
","बाबा आणि मी तिचे सगळं करायचो.
"
"My grandmother and I used to watch the movie almost every day.
","मी व माझी मावशी आम्ही दररोज हा चित्रपट पाहायला जायचो.
"
"My grandmother and aunt followed them.
","मामा आणि अंकल पुढे गेले त्यांच्या मागोमाग आम्ही.
"
"My grandmother and mother, raised me.
","आजोबांनी व आईने मला मोठे केले.
"
"My grandmother came back.
","आजोबा परत आले.
"
"My grandmother couldn't sleep.
","दादांना झोप येत नसे.
"
"My grandmother didn't say anything.
","दादी काहीच बोलल्या नाहीत.
"
"My grandmother didn't say.
","दादा नाही म्हणाले.
"
"My grandmother didn't stop.
","दादा थांबले नाहीत.
"
"My grandmother didn't talk to me for years.
","माझा भाऊ माझ्याशी कित्येक वर्ष बोलत नव्हता.
"
"My grandmother died at 92 years old.
","माझी आज्जी वयाच्या ९२व्या वर्षी गेली.
"
"My grandmother died of heart disease.
","मामाचे ह्यदयविकाराने निधन झाले.
"
"My grandmother died that year.
","त्या वर्षी आजोबा मेला.
"
"My grandmother entered.
","मामा आत गेले.
"
"My grandmother gave the order.
","दादाने ऑर्डर दिली.
"
"My grandmother grew up in the village.
","माझी आई ही खेडय़ागावात वाढली आहे.
"
"My grandmother had 11 kids.
","माझ्या वडिलांना ११ भावंडे होती.
"
"My grandmother had a flocked tree, too.
","माझ्या मामाकडे पण बकुळीचे झाड होते.
"
"My grandmother had flower gardens, too.
","माझ्या मामाकडे पण बकुळीचे झाड होते.
"
"My grandmother had four daughters.
","माझ्या वडिलांना चार मुली होत्या,
"
"My grandmother had three children, all girls.
","कुटुंब तीन मुले, सर्व मुली होते.
"
"My grandmother has been the biggest inspiration in my life.
","माझी आई माझ्या जीवनातील सर्वात मोठी प्रेरणा आहे.
"
"My grandmother has blue eyes and light brown hair.
","माझी आई फार सुंदर निळा डोळे आणि तपकिरी केस आहे.
"
"My grandmother has two children.
","कमबॅक मॉम मला दोन मुलं आहेत.
"
"My grandmother helped me too.
","मम्मीनेही यात मला मदत केली.
"
"My grandmother if she were alive would now be about 125years old.
","आज माझे आजोबा जीवंत असते तर ते 125 वर्षाचे असते.
"
"My grandmother is 105 years old.
","तिच्या आईचे वय 105 वर्षे आहे.
"
"My grandmother is 68 years old now.
","आजोबा सध्या 68 वर्षाचे आहेत.
"
"My grandmother is 93 years of age.
","माझी आई 93 वर्षांची आहे.
"
"My grandmother is 93 years old.
","माझी आई 93 वर्षांची आहे.
"
"My grandmother is 93 years young.
","माझी आई 93 वर्षांची आहे.
"
"My grandmother is 93-years-old.
","माझी आई 93 वर्षांची आहे.
"
"My grandmother is 93.
","माझी आई 93 वर्षांची आहे.
"
"My grandmother is a very important to me.
","माझी आई ही माझ्यासाठी खूप महत्त्वाची व्यक्ती आहे.
"
"My grandmother is my biggest inspiration in life.
","माझी आई माझ्या जीवनातील सर्वात मोठी प्रेरणा आहे.
"
"My grandmother is not gone.
","माझी आज्जी नाही गेली सोबत.
"
"My grandmother is now 68 years old.
","आजोबा सध्या 68 वर्षाचे आहेत.
"
"My grandmother is now 79 years old.
","माझी पत्नी आज ७९ वर्षांची आहे.
"
"My grandmother is old now.
","आता मामाचं वय झालंय.
"
"My grandmother is the greatest inspiration in my life.
","माझी आई माझ्या जीवनातील सर्वात मोठी प्रेरणा आहे.
"
"My grandmother is very kind and friendly.
","माझी आई खूप मैत्रीपूर्ण आणि दयाळू आहे.
"
"My grandmother lived in the city.
","माझे मामा शहर मध्ये राहतात.
"
"My grandmother lived on a farm and was a school teacher.
","माझे वडिल शेतकरी होते आणि शाळेत शिक्षकही होते.
"
"My grandmother lives in Canada.
","तिचे वडील कॅनडामध्ये राहतात.
"
"My grandmother lives in a city.
","माझे मामा शहर मध्ये राहतात.
"
"My grandmother looked at me.
","दादांनी माझ्याकडे बघितले.
"
"My grandmother looked over at me.
","दादांनी माझ्याकडे बघितले.
"
"My grandmother made it regularly.
","आई नियमितपणे केले.
"
"My grandmother passed away at home.
","घरात आजोबाचा मृत्यू झाला होता.
"
"My grandmother passed away many years ago, yet she remains such a huge influence in my life.
","ती मला सोडून गेली त्याला एवढी वर्षे झालीःपण आजही माझ्या जीवनावर माझ्या आईचा प्रचंड प्रभाव आहे.
"
"My grandmother picked up the phone.
","दादांनी फोन उचलला.
"
"My grandmother said one day.
","एक रोज मामा सांगत व्हता.
"
"My grandmother saw my face and smiled at me.
","माझ्या चेहऱ्याकडे पाहून आई खळखळून हसल्या.
"
"My grandmother smiled at me.
","आजोबा माझ्याकडे बघून हसले.
"
"My grandmother studied till the 10th standard.
","आई दहावीपर्यंत शिकलेली.
"
"My grandmother taught me as well.
","मामी मला पण शिकव गं.
"
"My grandmother told me about this story.
","माझ्या आजोबांनी मला या प्रथेमागची घटना सांगितली.
"
"My grandmother used to have a huge mango tree in front of her house.
","माहेरी तिच्या घरोसमोर एक मोठा बकुळ वृक्ष होता.
"
"My grandmother used to make bread and butter pickles.
","आईने तांदळाची भाकरी आणि मसाल्याची वांगी केली होती.
"
"My grandmother used to take me there all the time.
","आजोबा मला दरवेळी तिथं घेऊन जात.
"
"My grandmother used to work in the factory.
","आई कारखान्यात काम करणे भाग होते.
"
"My grandmother was 10 years older than my grandfather.
","नाना माझ्या पेक्षा वयाने 10 एक वर्ष मोठा .
"
"My grandmother was 13 years old.
","माझी मोठी बहीण 13 वर्षांची होती.
"
"My grandmother was 18 years younger than her husband.
","पत्नी 18 वर्षे तिचा पती पेक्षा लहान होता.
"
"My grandmother was 93 years old.
","माझी आई 93 वर्षांची आहे.
"
"My grandmother was a college professor.
","माझे आजोबा कॉलेजात प्रोफेसर होते.
"
"My grandmother was a goddamn saint.
","गड्यांनो, माझी आई म्हणजे शापभ्रष्ट देवताच होती.
"
"My grandmother was a little embarrassed.
","मामा थोडे वैतागले होते.
"
"My grandmother was a mathematician.
","आजोबा गणिती होते.
"
"My grandmother was a pupil at the school.
","नानी शाळेत शिक्षिका होत्या.
"
"My grandmother was always special to me.
","दादा माझ्यासाठी नेहमीच खास आहे.
"
"My grandmother was an English Professor.
","तिचे वडील (माझे आजोबा) इंग्रजीचे प्राध्यापक होते.
"
"My grandmother was an author.
","माझे आजोबा लेखक होते.
"
"My grandmother was born in Italy.
","माझ्या आईचा जन्म इटलीत झालाय हे खरे.
"
"My grandmother was both mother and father to me.
","'बाबाच माझ्यासाठी आई आणि वडील असे दोन्हीही होते.
"
"My grandmother was close.
","माझा मामा जवळ रहायचा.
"
"My grandmother was divorced twice and married three times.
","माझ्या आजोबांचे ४ लग्न झाले आहेत आणि तीन वेळा घटस्फोटो झाला आहे.
"
"My grandmother was hard working.
","आभ्याची आई प्रचंड मेहनत करायची.
"
"My grandmother was his second wife.
","माझी आई ही त्यांची दुसरी पत्नी.
"
"My grandmother was in front.
","दादा दे खील होता समोर.
"
"My grandmother was insane.
","माझा मामा वेडा होता.
"
"My grandmother was killed my dad.
","माझ्या लाडक्या आजोबांची हत्या झाली होती.
"
"My grandmother was looking at me.
","दादांनी माझ्याकडे बघितले.
"
"My grandmother was married a second time.
","माझ्या मामा ने दुसरे लग्न केले होते.
"
