eng_Latn,mar_Deva
"""""""Your uncle was happy.""
",""""""" अंकल खुश झाले.""
"
"""""""it is my job, uncle.""""""
","""""""गाणं हेच माझं काम आहे बुआ.""
"
"""""""what of uncle?""""""
","""""""काय चाचा?""
"
"""Hanamel, the son of Shallum, his uncle, came to him saying: """"Buy for yourself my field that is in Anathoth, for the right of redemption is yours to buy it.""""""
","पाहा, तुझा चुलता शल्लूम ह्याचा पुत्र हानामेल तुझ्याकडे येऊन म्हणेल, 'अनाथोथ येथले माझे शेत विकत घे; कारण ते सोडवून घेण्याचा हक्क तुझा आहे.
"
"""I am not uncle.""""""
","""""""मी आंटी वगैरे नाहीये.""
"
"""I asked him... """"What happened uncle?""
","""मी विचारलं, """"काय झालं आंटी?""
"
"""I'm worried about that uncle of hers.""""""
","""मला ही तिची काळजी वाटतेय अंकल""""""
"
"""My uncle's outside.""""""
","""बाहेर चाचा आलेत""""""
"
"""Your uncle has gone out.""""""
","""बाहेर चाचा आलेत""""""
"
"""my uncle returns.""""""
",""""""" अंकल फिरून येते """"""
"
"""to his uncle?""""""
","""""""तुम्हारे चाचा को?""
"
"""with his uncle?""""""
","""""""तुम्हारे चाचा को?""
"
"'Don't worry uncle.
","'काळजी नको करा चाची.
"
"'I'm not my uncle.
","""""""मी आंटी वगैरे नाहीये.""
"
"'What do you mean, uncle?
","'क्या मतलब अंकल ?
"
"(a) by his uncle
","(क) चाचा ने
"
"(d) Mother and uncle.
","(D) भतीजी तथा चाचा
"
"10 If he has no brothers, give his property to his uncles on his father's side of the family.
","10 जर त्याला भाऊही नसला तर त्याच्या वस्तू त्याच्या वडिलांच्या भावाला मिळाव्या.
"
"12-year-old girl raped by maternal uncle
","नराधम वडिलाने केला १३ वर्षीय मुलीवर बलात्कार
"
"A: My uncle.
","उत्तर: चाचा
"
"An uncle of mine was working in the Mumbai Port Trust.
","माझ्या आजोबांना मुंबई पोर्ट ट्रस्टमध्ये अशीच नोकरी लागली होती.
"
"And I said 'No uncle.
","मी म्हणालो- नाही अंकल.
"
"Bob's father, grandfather and uncles all played.
","पंजोबा, आजोबा, वडील हे सर्व कुस्ती खेळायचे.
"
"But his uncle refused to do so.
","मात्र आजोबांनी असं काही करण्यास नकार दिला.
"
"But my uncle was still alive.
","तथापि, माझे आजोबा अजूनही जिवंत होता.
"
"Dinesh's uncle.
","चाचा डेनिस।
"
"Don't know uncle.
","काही कळत नाही बुवा.
"
"Father and uncle were all smiles.
","दादा आणि सगळेच हासू लागले.
"
"Friends and mother's uncle searched everywhere but could not find them.
","आई आणि भावाने तिचा सर्वत्र शोध घेतला; परंतु ती कोठेच सापडली नाही.
"
"Gandhi gave the glasses to the vendor's uncle while he was working for British Petroleum in South Africa during the 1920s or the 1930s, said the auction house.
","ऑक्शन हाऊसनुसार गांधीजींनी 1920 किंवा 1930 च्या दशकात दक्षिण आफ्रिकेत ब्रिटीश पेट्रोलियममध्ये काम करणाऱ्या व्यक्तीला हा चष्मा दिला होता.
"
"Hanamel, the son of your uncle Shallum, is coming to you to say, 'Buy for yourself my field in Anathoth, for you have the right of redemption to buy it.'
","पाहा, तुझा चुलता शल्लूम ह्याचा पुत्र हानामेल तुझ्याकडे येऊन म्हणेल, 'अनाथोथ येथले माझे शेत विकत घे; कारण ते सोडवून घेण्याचा हक्क तुझा आहे.
"
"He also credits his uncle for his cricketing career.
","तसंच क्रिकेट कारकीर्दीचं श्रेयही त्याने वडिलांना दिलं.
"
"He could be an older brother or uncle.
","तो वडील किंवा वडीलपण घेतलेला भाऊ असू शकते.
"
"He had also lost his uncle.
","तो चाची भी हारी .
"
"He lives with his uncle, aunt and their 2 children.
","तो आपले आजोबा, एक काकू आणि दोन छोट्या भावांसोबत राहतो.
"
"He might have been an uncle of the children.
","त्या आजींचा तो मुलगा असावा कदाचित.
"
"He was a grandfather, uncle and great-uncle.
","चाचा - चाची, दादा - दादी आणि बुवापण होतीच.
"
"He was a great uncle!
","मस्त चाचा थे!
"
"He was an uncle of Grandpa's.
","तो पलंग आजोबांचा होता.
"
"He was an uncle.
","चाचा होता.
"
"He was the only son of his father and uncle.
","तो आपल्या आई, वडिलांचा एकुलता एक मुलगा होता.
"
"He was the uncle.
","चाचा होता.
"
"He was uncle.
","चाचा होता.
"
"Her father, uncle and grandfather, all went there.
","त्याची आज्जी, आजोबा, बाबा सगळेच तिथे येऊन थांबले होते.
"
"Her grandfather, father and uncle were all attorneys.
","म्हणजे ती, तिचे वडिल, आजोबा सगळेच वकिल.
"
"Her grandfather, uncle, father...they had all died there.
","त्याची आज्जी, आजोबा, बाबा सगळेच तिथे येऊन थांबले होते.
"
"Her uncle and brothers are also into the same profession.
","त्याचे वडील व भाऊही याच व्यवसायात आहेत.
"
"Her uncle explained.
","अंकल त्याला समजावत म्हणाला.
"
"Her uncle had three sons.
","चाचांची तीन मुले चालले होते.
"
"Her uncle hated her very much.
","आबाची तिला अतिशय घृणा वाटली.
"
"Her uncle stared at her.
","चाचाने तिच्याकदे पाहिले.
"
"Her uncle takes care of her.
","आजोबा तिची काळजी घेत असतात.
"
"Her uncle was an English teacher.
","तिचे वडील (माझे आजोबा) इंग्रजीचे प्राध्यापक होते.
"
"Her uncle was killed.
","चाचा यात मारला गेला.
"
"Her uncle was looking at her.
","चाचाने तिच्याकदे पाहिले.
"
"Her uncles and I are good friends.
","तिचे वडील व मी चांगले मित्र आहोत.
"
"Hey hey uncle!
","अरे मान गये चाचा!
"
"Hey uncle, when did you come?
","आंटी - अरे नमन तू कब आया .
"
"Hey, uncle, do you wanna play with me?
","अंकल, तुम्ही माझ्याबरोबर खेळायला येणार की नाही?
"
"His father, uncle, and brother had already been killed
","पिता, भाई, चाचा की हत्या होते देखा
"
"His maternal uncle took him to his village.
","खंड्या-बारक्याची आई त्यांना घेऊन गेली त्याच्या गावी.
"
"His paternal uncle died suddenly at age 12.
","१२वी मध्ये असताना अचानक वडिलांचे निधन झाले.
"
"His uncle Nasir Hussain was a producer and director.
","त्याच्या आईचे वडील नासिर हुसैनसुध्दा निर्माता-दिग्दर्शक होते.
"
"His uncle asked what happened.
","आंटी काय झालं म्हणून विचारणा करत होत्या.
"
"His uncle died at home.
","घरात आजोबाचा मृत्यू झाला होता.
"
"His uncle explained it.
","अंकल त्याला समजावत म्हणाला.
"
"His uncle is the Chief Minister of Andhra Pradesh.
","त्यांचे आजोबा अंध्रप्रदेशचे मुख्यमंत्री होते.
"
"His uncle just looked at him.
","आजोबा त्याच्याकडे फक्त पाहतच बसले.
"
"His uncle says it's true.
","आजोबा म्हणतात ते खरच आहे.
"
"His uncle sent him to school.
","आजोबांनी त्याला शाळेत घातला होता.
"
"His uncle was a musician.
","त्याचे वडील एक संगीतज्ञ होते.
"
"His uncle was a police officer in Mumbai.
","त्यांचे वडील मुंबई पोलिस दलात नोकरीस होते.
"
"His uncle was an aerospace engineer.
","त्यांचे वडील एरोनॉटिकल अभियंते होते.
"
"His uncle was killed.
","चाचा यात मारला गेला.
"
"His uncle was the Chief Secretary of Andhra Pradesh.
","त्यांचे आजोबा अंध्रप्रदेशचे मुख्यमंत्री होते.
"
"His uncle's a grandmaster, too.
","त्याचे आजोबा हे सुध्दा एक माथेफिरु आहेत.
"
"I am your father, and your uncle!
","मी तुमचा नातू आणि आमचे आजोबा!
"
"I arrived at my uncle's at 9 a.m.
","मी रात्री ९ वाजता चाची कडे पोचलो.
"
"I asked the uncle.
","मी अंकलजींना तसे विचारले.
"
"I call him my uncle.
","मी त्याला अंकल म्हणत असे.
"
"I called him as uncle.
","मी त्याला अंकल म्हणत असे.
"
"I called him my uncle.
","मी त्याला अंकल म्हणत असे.
"
"I don't know uncle.
","काही कळत नाही बुवा.
"
"I found my uncle's
","मेरी चाची मिल गईं
"
"I gave these books to my dad and uncle to read as well, and they loved them.
","मी माझ्या वडिलांनाही या दोन्ही कादंबऱ्या वाचायला दिल्या आणि त्यांनाही त्या फार आवडल्या.
"
"I go to my dad and uncle often.
","मी माझे वडील आणि माझा सावत्र भाऊ यांना अनेकदा भेटायला जाते.
"
"I have heard this story from my uncle.
","या कथा मी माझ्या आजोबांकडून ऐकल्या.
"
"I like my uncle...
","आवडती भारी मला माझे आजोबा. . .
"
"I looked at my uncle curiously.
","मी आश्चर्याने चाचांकडे पाहीले.
"
"I looked at my uncle in amazement.
","मी आश्चर्याने चाचांकडे पाहीले.
"
"I love my uncle:)
","मला आजोबा खूपच आवडलेः) शुभा
"
"I never met my uncles.
","माझ्या अशिलांना मी भेटू शकलो नाही.
"
"I remember My uncle.
","मला माझे आजोबा आठवतात.
"
"I remember my great uncle.
","मला माझे आजोबा आठवतात.
"
"I remember my old uncles.
","मला माझे आजोबा आठवतात.
"
"I remember my uncle.
","मला माझे आजोबा आठवतात.
"
"I remembered my uncle.
","मला माझे आजोबा आठवतात.
"
"I saw my uncle.
","मला माझेच आजोबा दिसत होते.
"
"I seemed like an uncle.
","चाची लगती थी।
"
"I think so, uncle.
","मला तरी वाटत बुआ.
"
"I think, uncle.
","मला तरी वाटत बुआ.
"
"I told them to call me uncle.
","मी त्यांना अनू अंकल म्हणायची.
"
"I used to call him uncle.
","मी त्याला अंकल म्हणत असे.
"
"I was sleeping with my uncle at night.
","रात्री मी आजोबांजवळ झोपायचो.
"
"I was there with my dad and uncle.
","तिथे मी आणि माझे आजोबा दोघच.
"
"I'm all right, uncle.
","मी - ठीक आहे आंटी.
"
"I'm remembering my uncle.
","मला माझे आजोबा आठवतात.
"
"I'm reminded of my uncle.
","मला माझे आजोबा आठवतात.
"
"It is the voice of his uncle.
","तो आवाज चाचांचा असतो.
"
"It my uncle's voice.
","तो आवाज चाचांचा असतो.
"
"It was an uncle.
","चाचा होता.
"
"It was the uncle.
","चाचा होता.
"
"It's hard, uncle.
",". कठीण आहे बुवा.
"
"It's my uncle's voice.
","तो आवाज चाचांचा असतो.
"
"Kids learn a lot from their uncles.
","मुलं आपल्या आजी आजोबांपासून खूप काही शिकत असतात.
"
"Maybe it's my uncle.
","कदाचित हे आपली नातवंडे माझ्या आजोबा आहे.
"
"Mother and uncle of the bride
","अंकल आणि आईची झवाझवी
"
"Mother, father and uncle were slain
","पिता, भाई, चाचा की हत्या होते देखा
"
"My brother is my uncle.
","भाऊ म्हणजे माझे आजोबा.
"
"My dad and uncle would take us.
","पप्पा किंवा आजोबा आम्हाला उचलून घ्यायचे.
"
"My dad and uncles loved it.
","आंटी आणि अंकल मला खूप पसंत करत होते.
"
"My dad, granddad, fatherly and maternal uncle have served in the Indian Army.
","तिचे वडिल, आजोबा आणि पणजोबांनी भारतीय लष्करात सेवा केली आहे.
"
"My dad, uncle and aunt all worked in agriculture.
","माझे आजोबा, वडील सर्वजण शेती करायचे.
"
"My father and uncles are all teachers.
","माझे आजोबा आई वडील सगळेच प्राथमिक शिक्षक.
"
"My father is my uncle.
","भाउ म्हणजे माझे आजोबा.
"
"My father, mother, grandfather, uncle
","मम्मी ,मामी, बुआ, चाची को_
"
"My grandpa, uncles, and older brothers all played football.
","आजोबा, वडील, भाऊ सर्व कुस्ती खेळायचे.
"
"My grandparents, my aunt and uncle and their kids and my family were there.
","ते दोघे अंकल, आंटी आणि माझे आई वडील आणि सर्व मुले त्यांच्या घरीच होते.
"
"My mother, grandmother and uncle were all teachers.
","त्याची आई, मी, आणि आजोबा, सगळे शिक्षकी पेशातले.
"
"My parents, my uncle, my sisters and I are all at home.
","आजोबा, पालक, मी, माझा लहान भाऊ आणि धाकटी बहीण आमच्या घरात राहतो.
"
"My uncle are farmers.
","माझे आजोबा शेतकरी आहेत.
"
"My uncle began to cry.
","चाची तो रोने लगीं।
"
"My uncle began to laugh.
","चाचा हंसने लगे।
"
"My uncle brought back from America.
","माझ्या मोठ्या भावाने अमेरिकेहून आणलेला.
"
"My uncle came over to watch the game.
","माझा मामेभाऊ आला होता नाटक पाहायला.
"
"My uncle came up.
","चाचा उठलाच.
"
"My uncle explained to him.
","अंकल त्याला समजावत म्हणाला.
"
"My uncle got up.
","चाचा उठलाच.
"
"My uncle had a daughter and a son.
","एक अंकल आंटी आणि एक मुलगा व मुलगी होते.
"
"My uncle had a son and a daughter.
","एक अंकल आंटी आणि एक मुलगा व मुलगी होते.
"
"My uncle had an 80 acre farm there.
","माझ्या आजोबाला एकूण 80 एकर शेतजमिन.
"
"My uncle had three sons.
","चाचांची तीन मुले चालले होते.
"
"My uncle hasn't talked to me in years.
","माझा भाऊ माझ्याशी कित्येक वर्ष बोलत नव्हता.
"
"My uncle introduced me to them.
","बाबांनी माझी त्यांच्याशी ओळख करून दिली.
"
"My uncle is a farmer.
","माझे आजोबा शेतकरी आहेत.
"
"My uncle is also a truck driver.
","मोठा भाऊसुद्धा ट्रकचालक आहे.
"
"My uncle is gone.
","चाचा गेले.
"
"My uncle is my dad.
","भाउ म्हणजे माझे आजोबा.
"
"My uncle isn't a politician.
","माझे आजोबा राजकारणी नव्हते.
"
"My uncle laughed.
","चाची हँस पड़ी।
"
"My uncle looked back.
","आज्जीनी मागे वळून पाहिलं.
"
"My uncle rises.
","चाचा उठलाच.
"
"My uncle said something...
","आजोबा काहीतरी बोलत होते. . .
"
"My uncle said.
",". चाचा म्हणाला.
"
"My uncle sat down to eat.
","आजोबा जेवायला बसले.
"
"My uncle smiled.
","चाची मुस्कुरा दीं.
"
"My uncle started crying.
","चाची तो रोने लगीं।
"
"My uncle used to be a railroad engineer.
","माझे आजोबा रेल्वे एक यंत्रकार म्हणून काम केले.
"
"My uncle used to take me there all the time.
","आजोबा मला दरवेळी तिथं घेऊन जात.
"
"My uncle was a former Congress MP.
","माझ्या क्लासमेटचे वडील काँग्रेसचे माजी आमदार होते.
"
"My uncle was a great person.
","माझे आजोबा म्हणजे एक ग्रेटच व्यक्ती होती.
"
"My uncle was a hard working man.
","माझे आजोबा एक मेहनती होते.
"
"My uncle was a music teacher.
","माझे आजोबा तिथं संगीत शिक्षक होते.
"
"My uncle was a religious man.
","माझे आजोबा धार्मिक होते.
"
"My uncle was a writer.
","माझे आजोबा लेखक होते.
"
"My uncle was gone.
","चाचा गेले.
"
"My uncle was in the Army too.
","माझे आजोबासुद्धा आर्मीत होते.
"
"My uncle was more of a dad to me.
","माझ्या बाबतीत आजोबा जास्त गोष्टीवेल्हाळ होते.
"
"My uncle was much the same.
","माझे स्वतःचे आजोबा बरेच असेच होते.
"
"My uncle was on that ship.
","माझे आजोबा ह्या बोटीवर होते.
"
"My uncle was on this ship.
","माझे आजोबा ह्या बोटीवर होते.
"
"My uncle was sitting on the porch.
","चाचा गल्ल्यावर बसला होता.
"
"My uncle was sitting on the.
","चाचा गल्ल्यावर बसला होता.
"
"My uncle was sitting.
","आजोबा बसले होते.
"
"My uncle was terrified.
","चाचा घाबरले.
"
"My uncle was very rich.
","माझे आजोबा खूप श्रीमंत होते.
"
"My uncle was.
","चाचा होता.
"
"My uncle wasn't political.
","माझे आजोबा राजकारणी नव्हते.
"
"My uncle went away.
","चाचा गेले.
"
"My uncle woke up.
","चाचा उठलाच.
"
"My uncle worked in the forest department.
","माझे वडील वन विभागात कारकून होते.
"
"My uncle's daughter
","चाची की बेटी
"
"My uncle's gone.
","चाचा गेले.
"
"My uncle's said.
",". चाचा म्हणाला.
"
"Nirav Modi and his uncle Mehul Choksi are under probe by both the Central Bureau of Investigation (CBI) and the Enforcement Directorate.
","नीरव मोदी आणि त्याचा चुलता मेहुल चोक्सी या दोघांवर तपास यंत्रणेने ठेवलेल्या आरोपांवर चौकशी करत आहे.
"
"Nirav Modi, along with his maternal uncle Mehul Choksi, has been accused of defrauding state-owned Punjab National Bank of Rs 13,700 crore.
","नीरव मोदी याने आपला नातेवाईक मेहुल चोक्सी याच्या सहकार्याने पंजाब नॅशनल बँकेला 13 हजार कोटी रुपयांचा गंडा घातला असा त्यांच्यावर आरोप आहे.
"
"Now, let me tell you a little about my uncle.
","आता मी थोडे तुम्हाला माझ्या आंटी विषयी सांगतो.
"
"Oh, my uncle!
","ओ मेरे चाचा !
"
"One night her uncle attacked her.
","तेव्हा एका रात्री आजोबाने तिच्यावर बलात्कार केला.
"
"One of my uncles had that.
","त्यातला एक माझ्या आजोबांकडे होता.
"
"One uncle was sitting next to me.
","माझ्या बाजूला एक आजोबा उभे होते.
"
"Peter grows up in his aunt (Sally Field) and uncle (Martin Sheen) 's house.
","पीटरचे पालनपोषण त्याचे अंकल (मार्टीन शीन) आणि आंटी (सैली फील्ड) यांनी केले आहे.
"
"Police are still looking for his uncle.
","पोलीस आजोबाचा शोध घेत आहेत.
"
"Police have arrested the girl's uncle and his friend involved in this conspiracy.
","पोलिसांनी या प्रकरणी महिलेचा बॉयफ्रेंड आणि त्याच्या मित्राला अटक केली आहे.
"
"Right in front of me was my uncle's house.
","माझ्या घराच्या समोर माझ्या अंकल चे घर होते.
"
"Said his uncle.
",". चाचा म्हणाला.
"
"Say hello to uncle.
","चाचा को प्रणाम बोलो।
"
"Say hello to your uncle.
","चाचा को प्रणाम बोलो।
"
"She didn't know the uncle.
","तिने चाचांना ओळखले नव्हते.
"
"She had been renting an apartment with a friend in the Defense area of Lahore where she was discovered dead by her uncle next to her phone, according to the Independent Urdu.
","ते होते अहवाल मायरा लाहोरमधील डिफेन्स भागात एका मित्रासह अपार्टमेंट भाड्याने घेत होती, जिथे तिला फोनच्या शेजारी मृत सापडले.
"
"She had been renting an apartment with a friend in the Defense area of Lahore where she was discovered dead by her uncle next to her phone.
","ते होते अहवाल मायरा लाहोरमधील डिफेन्स भागात एका मित्रासह अपार्टमेंट भाड्याने घेत होती, जिथे तिला फोनच्या शेजारी मृत सापडले.
"
"She lives with her aunt, uncle and 2 male cousins.
","तो आपले आजोबा, एक काकू आणि दोन छोट्या भावांसोबत राहतो.
"
"She lives with my uncle, aunt, and two cousins.
","तो आपले आजोबा, एक काकू आणि दोन छोट्या भावांसोबत राहतो.
"
"She looked at the uncles.
","ती आंटींकडे पाहू लागली.
"
"So her mother and uncle took her to Mumbai.
","त्यामुळे आई त्यांना घेऊन मुंबईत गेली.
"
"Some called him an uncle.
","काही लोक त्याला चाचा म्हणायचे.
"
"Tag: uncle's father-in-law
","Tag: चाची की गांड
"
"Take care of your uncle.
","चाची का ख्याल रखना।
"
"Thank you, uncle.
","धन्यवाद चाचा.
"
"That's great, uncle!
","कमाल आहे बुवा !
"
"The boy's father and uncle died in the accident.
","या दुर्घटनेत वडील आणि मुलाचा मृत्यू झाला आहे.
"
"The film was directed by his uncle, Nasir Hussain.
","तर या चित्रपटाची निर्मिती अमीरचे अंकल नासीर हुसैन करत होते.
"
"The girl's father, mother and maternal uncle have been arrested.
","जवानाची आई, वडील आणि भावाला अटक करण्यात आली आहे.
"
"The house of my uncle is very big.
","माझ्या आजोबांचे घर खूपच मोठे होते.
"
"The movie was a creation of his uncle Nasir Hussain.
","तर या चित्रपटाची निर्मिती अमीरचे अंकल नासीर हुसैन करत होते.
"
"The murder of my uncle
","चाचा की हत्या
"
"The next day my uncle came to my home.
","दुसर्या दिवशी अंकल घरी आले.
"
"The paternal uncles of the deceased informed the police about the incident.
","अपहृत मयूरच्या वडिलांनी घटनेची माहिती पोलिसांना दिली.
"
"The police have taken into custody her uncle Rajesh in connection with the crime.
","पोलिसांनी या गुन्ह्यात तिचा साथ देणारा तिचा पती राजेश यालाही अटक केली.
"
"The problem of uncles
","चाचा समस्या
"
"The uncle is killed.
","चाचा यात मारला गेला.
"
"The uncle laughed.
","चाची हँस पड़ी।
"
"The uncle laughs.
","चाची हँस पड़ी।
"
"The uncle looked at her.
","चाचाने तिच्याकदे पाहिले.
"
"The uncle shouted.
","चाची चीख उठी।
"
"The uncle was annoyed.
","अंकल हताश झाले.
"
"The uncle was murdered.
","चाचा यात मारला गेला.
"
"The uncle went down.
","चाचा खाली उतरले.
"
"The uncle's face fell.
","चाचांचा चेहरा पडला.
"
"Their uncle has taken possession of the whole of his property and has not left a single penny for them.
","यांच्या चुलत्यांनी पूर्ण संपत्तीवर कब्जा केला आहे आणि यांच्यासाठी एक दानासुद्धा सोडला नाही.
"
"Then my uncle and aunt.
","मग माझी आणि चाचाची जमली.
"
"There isn't a single uncle.
","एकच बुवा नाही.
"
"There was an uncle.
","चाचा होता.
"
"This film was directed by his uncle Nasir Hussain.
","तर या चित्रपटाची निर्मिती अमीरचे अंकल नासीर हुसैन करत होते.
"
"This is uncle's voice.
","तो आवाज चाचांचा असतो.
"
"Two uncles died of heart attacks.
","दोन भाविकांचा हृदयविकाराच्या झटक्याने मृत्यू झाला आहे.
"
"Viral Dance Video: A video of a foreign uncle is making a splash on social media.
","Viral Dance Video: सोशल मीडियावर सध्या एका आजीबाईचा डान्स व्हिडिओ तुफान व्हायरल होतं आहे.
"
"Was an uncle.
","चाचा होता.
"
"We stayed in my uncle's house.
","आम्ही आमच्या चाचा च्या घरी थांबलो होतो.
"
"We stayed in our uncle's house.
","आम्ही आमच्या चाचा च्या घरी थांबलो होतो.
"
"We stop at my uncle's house.
","आम्ही आमच्या चाचा च्या घरी थांबलो होतो.
"
"We were staying at your uncle's house.
","आम्ही आमच्या चाचा च्या घरी थांबलो होतो.
"
"What's your uncle got?
","क्या मिला चाची को ?
"
"When I went to stay at uncle's house, he had only two rooms there.
","त्याच्या घरी गेलो असता पहिले कि आ लंके हे फक्त दोन खोल्यामध्ये राहतात.
"
"Where's my uncle ?
","कुठला आहे हा चाचा?
"
"Where's my uncle?
","कुठला आहे हा चाचा?
"
"Where's the uncle?
","कुठला आहे हा चाचा?
"
"Where's uncle?
","कुठला आहे हा चाचा?
"
"Where's your uncle?
","कुठला आहे हा चाचा?
"
"You and your uncle both.
","तुम्ही आणि ते चाचा दोघे अवलिया.
"
"You are goody, uncle.
","आप चालाक, चाचा
"
"You're looking for uncle who?
","' कुणाला शोधताय आजोबा ?
"
"Young Parker is left in the care of his aunt (Sally Field) and uncle (Martin Sheen).
","पीटरचे पालनपोषण त्याचे अंकल (मार्टीन शीन) आणि आंटी (सैली फील्ड) यांनी केले आहे.
"
"a) Aunt and uncle.
","(A) भतीजी तथा चाचा
"
"c. his aunt and uncle
","ख. भतीजी तथा चाचा
"
"charged with the murder of their uncle
","चाचा-चाची पर हत्या का आरोप
"
"d. aunts and uncles
","ख. भतीजी तथा चाचा
"
"he was the uncle.
","चाचा होता.
"
"he's become an uncle.
","तो मामू बनला आहे.
"
"his uncle's daughter
","चाची की बेटी
"
"it was an uncle.
","चाचा होता.
"
"killed his uncle.
","चाची को मार डाला
"
"murder of his uncle.
","चाचा की हत्या
"
"my rich uncle.
","मेरी अमीर चाची
"
"my uncle George.
","जॉर्जियन चाचा.
"
"my uncle said.
",". चाचा म्हणाला.
"
"my uncle was standing.
","चाचा उभाच होता.
"
"my uncle was.
","चाचा होता.
"
