eng_Latn,tel_Telu
"""""""I do not understand, uncle""""""
","""""""అర్థం కాలేదు అంకుల్""""""
"
"""""""I'm the uncle.""
","""""""నేనే అంకుల్.""
"
"""""""It doesn't matter, uncle!""""""
","""""""పరవాలేదు, అంకుల్!""
"
"""""""It isn't that, uncle.""
","""""""అదికాదు అంకుల్.""
"
"""""""Mommy, uncle is calling you.""""""
","""""""ఆంటీ, అంకుల్, మీకు ఫోన్.""
"
"""""""My father knows your uncle.""
","""""""మీ ఆంటీ మా అన్నయ్యకి బాగా తెలుసు.""
"
"""""""My uncle and dad found my cousin's hair extensions, and sent the whole family glamour shots.""""""
","""""""నా తండ్రి నా బంధువు యొక్క జుట్టు పొడిగింపులు దొరకలేదు మరియు నా మొత్తం కుటుంబం గ్లామర్ షాట్స్ పంపారు.""
"
"""""""My uncle murdered my mother""""""
","'మా నాయన మా అమ్మని చంపేసాడు'
"
"""""""My uncle, too!""
","""""""అలాగే అంకుల్!""
"
"""""""No such thing, uncle!""
","""""""అలా వుండదు అంకుల్!""
"
"""""""Not me, but my uncle.""
","""""""నేను కాదు కానీ, మా ముత్తవ్వ చెరొకీ.""
"
"""""""Nothing at all, uncle.""
","""""""సెలవూ లేదూ, ఏమీ లేదు, అంకుల్.""
"
"""""""Please no uncle.""
","""""""నో అంకుల్.""
"
"""""""She does not know, uncle!""
","""""""తను చెయ్యదు ఆంటీ!""
"
"""""""Sit down, uncle.""
",""" """"రండి. . . కూర్చోండి అంకుల్.""
"
"""""""Thank you so much uncle!""
",""""""" చాలా థాంక్స్ అంకల్!""
"
"""""""Thank you uncle!""""""
","""""""థాంక్యూ అంకుల్!""
"
"""""""Thank you very much uncle!""""""
",""""""" చాలా థాంక్స్ అంకల్!""
"
"""""""That's your uncle?""
","""""""ఈయనేనా మీ అంకుల్?""
"
"""""""There are a plethora of characters and each of those characters has cousins, uncles, and dogs, and I think people enjoy exploring all of those depths and nooks and crannies.""""""
","'అక్షరాలు చాలా ఉన్నాయి మరియు ఆ పాత్రలలో ప్రతి ఒక్కరికి దాయాదులు, మేనమామలు మరియు కుక్కలు ఉన్నారు, మరియు ప్రజలు ఆ లోతులన్నింటినీ, ముక్కులను మరియు క్రేనీలను అన్వేషించడాన్ని ఆనందిస్తారని నేను భావిస్తున్నాను.
"
"""""""There's a plethora of characters and each of those characters has cousins, uncles, and dogs, and I think people enjoy exploring all of those depths and nooks and crannies.""""""
","'అక్షరాలు చాలా ఉన్నాయి మరియు ఆ పాత్రలలో ప్రతి ఒక్కరికి దాయాదులు, మేనమామలు మరియు కుక్కలు ఉన్నారు, మరియు ప్రజలు ఆ లోతులన్నింటినీ, ముక్కులను మరియు క్రేనీలను అన్వేషించడాన్ని ఆనందిస్తారని నేను భావిస్తున్నాను.
"
"""""""They've killed your uncle.""""""
","""""""వాళ్ళు మీ నాన్నను చంపేశారు.""
"
"""""""This is your uncle?""
","""""""ఈయనేనా మీ అంకుల్?""
"
"""""""This is your uncle?""""""
","""""""ఈయనేనా మీ అంకుల్?""
"
"""""""Uncle, uncle are you there?""""""
",""" """"అంకుల్,ఆంటీ. . మీరు ఇక్కడా?""
"
"""""""Uncle, uncle, are you here?""""""
",""" """"అంకుల్,ఆంటీ. . మీరు ఇక్కడా?""
"
"""""""What are you doing, uncle?"""" he asked.""
",""""""" మీరు ఏం చేసేవారు. . అంకుల్""""అడిగింది.""
"
"""""""Where is he now uncle?""
",""" """"అవునా. . . ఇప్పుడు ఎక్కడ ఉంటుంది అంకుల్ ?""
"
"""""""Why is that, uncle?""""""
","""""""అలా ఎందుకుంటుంది అంకుల్?""
"
"""""""Why, uncle""
","""""""మీకెందుకు అంకుల్.""
"
"""""""You're a very good uncle.""""""
","""మీరు చాలా గ్రేట్ అంకుల్ """"""
"
"""""""Your aunt and uncle?""
","""""""ఆంటీ లేదా అంకుల్?""
"
"""""""Your uncle.""
","""""""మీ అంకుల్.""
"
"""1 Samuel 10:14 Now Saul's uncle said to him and his servant, """"Where did you go?""""""
","""10:14 సౌలు మామ అతనితో అన్నాడు, మరియు అతని సేవకుడు, """"ఎక్కడికి వెళ్ళావు?""
"
"""1 Samuel 10:14 Saul's uncle said to him and to his servant, """"Where did you go?""""""
","""10:14 సౌలు మామ అతనితో అన్నాడు, మరియు అతని సేవకుడు, """"ఎక్కడికి వెళ్ళావు?""
"
"""1 Samuel 10:14 _ Saul's uncle said to him and to his servant, """"Where did you go?""""""
","""10:14 సౌలు మామ అతనితో అన్నాడు, మరియు అతని సేవకుడు, """"ఎక్కడికి వెళ్ళావు?""
"
"""100 years after his stay there, he was remembered by 113-year-old Jeanne Calment - who as a 13 year old was serving in her uncle's fabric shop where Van Gogh wanted to buy some canvas - as """"dirty, badly dressed and disagreeable"""" and """"very ugly, ungracious, impolite, sick.""""""
","""అతడు అక్కడ నివసించిన 100 సంవత్సరాలు తరువాత అతనిని113 సంవత్సరాల జేఅన్నే కాల్మేంట్ గుర్తుచేసుకుంది-- అప్పటిలో 13 సంవత్సరాలు ఉన్న ఆమె తమ బంధువుల బట్టల దుకాణంలో పని చేసేది వాన్ గోహ్ చిత్రాలు వేసే వస్త్రాన్ని కొనుగోలు చెయ్యటానికి వచ్చేవాడు--అతనిని """"మురికివాడు, బట్టలు సరిగ్గా వేసుకోనివాడు, మరియు విబెధించేవాడు మరియు అందవిహీనంగా, కృతజ్ఞతలేని, మర్యాద తెలియని, జబ్బువాడుగా అభివర్ణించింది.""
"
"""10:14 And the uncle of Saul said to him, and to his servant, """"Where did you go?""""ಅವರು ಪ್ರತಿಕ್ರಿಯಿಸಿದರು: """"To seek the donkeys.""
","""10:14 సౌలు మామ అతనితో అన్నాడు, మరియు అతని సేవకుడు, """"ఎక్కడికి వెళ్ళావు?""
"
"""10:15Saul's uncle said, """"Please tell me what Samuel said to you.""""""
","10:15 సౌలు పిన తండ్రిసమూయేలు నీతో చెప్పిన సంగతి నాతో చెప్పుమని అతనితో అనగా
"
"""15 Saul s uncle said: """"Please tell me what Samuel said to you.""""""
","""15 """"సమూయేలు నీకు ఏమి చెప్పాడో దయచేసి నాకు చెప్పు"""" అన్నాడు సౌలు పినతండ్రి.""
"
"""15 Saul's uncle said, """"Please tell me what Samuel said to you.""""""
","""15 """"సమూయేలు నీకు ఏమి చెప్పాడో దయచేసి నాకు చెప్పు"""" అన్నాడు సౌలు పినతండ్రి.""
"
"""15 Saul's uncle said, """"Please tell me what Samuel told you.""""""
","""15 """"సమూయేలు నీకు ఏమి చెప్పాడో దయచేసి నాకు చెప్పు"""" అన్నాడు సౌలు పినతండ్రి.""
"
"""15 Saul's uncle said, """"Tell me what Samuel said to you.""""""
","""15 """"సమూయేలు నీకు ఏమి చెప్పాడో దయచేసి నాకు చెప్పు"""" అన్నాడు సౌలు పినతండ్రి.""
"
"""1Sa 10:14 - Saul's uncle said to him and to his servant, """"Where did you go?""""""
","""10:14 సౌలు మామ అతనితో అన్నాడు, మరియు అతని సేవకుడు, """"ఎక్కడికి వెళ్ళావు?""
"
"""1Sa10:14 Then Saul's uncle said to him and his servant, """"Where did you go?""""""
","""10:14 సౌలు మామ అతనితో అన్నాడు, మరియు అతని సేవకుడు, """"ఎక్కడికి వెళ్ళావు?""
"
"""A hundred years later, Van Gogh was remembered by 113-year-old Jeanne Calment - who, as a 13 year-old, was serving in her uncle """" s fabric shop where Van Gogh wanted to buy some canvas - as """"dirty, badly dressed and disagreeable,"""" and """"very ugly, ungracious, impolite, sick.""""""
","""అతడు అక్కడ నివసించిన 100 సంవత్సరాలు తరువాత అతనిని113 సంవత్సరాల జేఅన్నే కాల్మేంట్ గుర్తుచేసుకుంది-- అప్పటిలో 13 సంవత్సరాలు ఉన్న ఆమె తమ బంధువుల బట్టల దుకాణంలో పని చేసేది వాన్ గోహ్ చిత్రాలు వేసే వస్త్రాన్ని కొనుగోలు చెయ్యటానికి వచ్చేవాడు--అతనిని """"మురికివాడు, బట్టలు సరిగ్గా వేసుకోనివాడు, మరియు విబెధించేవాడు మరియు అందవిహీనంగా, కృతజ్ఞతలేని, మర్యాద తెలియని, జబ్బువాడుగా అభివర్ణించింది.""
"
"""A hundred years later, Van Gogh was remembered by 113-year-old Jeanne Calment â """" who, as a 13-year-old, was serving in her uncle's fabric shop where Van Gogh wanted to buy some canvas â """" as """"dirty, badly dressed and disagreeable,"""" and """"very ugly, ungracious, impolite, sick.""""""
","""అతడు అక్కడ నివసించిన 100 సంవత్సరాలు తరువాత అతనిని113 సంవత్సరాల జేఅన్నే కాల్మేంట్ గుర్తుచేసుకుంది-- అప్పటిలో 13 సంవత్సరాలు ఉన్న ఆమె తమ బంధువుల బట్టల దుకాణంలో పని చేసేది వాన్ గోహ్ చిత్రాలు వేసే వస్త్రాన్ని కొనుగోలు చెయ్యటానికి వచ్చేవాడు--అతనిని """"మురికివాడు, బట్టలు సరిగ్గా వేసుకోనివాడు, మరియు విబెధించేవాడు మరియు అందవిహీనంగా, కృతజ్ఞతలేని, మర్యాద తెలియని, జబ్బువాడుగా అభివర్ణించింది.""
"
"""Ah! how do you do, uncle?""""""
",""" . """"ఎలా ఉంది అంకుల్?""
"
"""And if in Tikhon, after the death of Katerina, at least a timid rebellion is planned, but rebellion against her mother, Boris simply escapes responsibility, saying goodbye to Katerina, says to her: """"It's not my own will to go-my uncle sends me.""""""
","""మరియు Tikhon కాథరిన్ మరణం దుర్బల అయితే ప్రణాళిక ఉంటే తర్వాత, కానీ తల్లి వ్యతిరేకంగా తిరుగుబాటు, అప్పుడు బోరిస్ కేవలం బాధ్యత నుండి దూరం కాథరిన్ వీడ్కోలు నడుస్తుంది, ఆమె ఇలా చెప్పిందిః """"వారి సొంత ఆహారాన్ని న - అంకుల్ పంపుతుంది.""
"
"""Ayrton was the uncle of Formula One driver Bruno Senna (Viviane's son), of whom he said in 1993: """"If you think I'm fast, just wait until you see my nephew Bruno.""""""
","""అతను ఫార్ములా వన్ డ్రైవర్ బ్రూనో సెన్నాకు మేనమామ అని 1993లో గర్వంగా పేర్కొన్నాడుః """"నేను వేగంగా డ్రైవ్ చేస్తున్నాని భావిస్తే, మా మేనల్లుడు బ్రూనో వచ్చేంత వరకు వేచి ఉండండి.""
"
"""Ayrton was the uncle of Formula One driver Bruno Senna, of whom he said in 1993: """"If you think I'm fast, just wait until you see my nephew Bruno.""""""
","""అతను ఫార్ములా వన్ డ్రైవర్ బ్రూనో సెన్నాకు మేనమామ అని 1993లో గర్వంగా పేర్కొన్నాడుః """"నేను వేగంగా డ్రైవ్ చేస్తున్నాని భావిస్తే, మా మేనల్లుడు బ్రూనో వచ్చేంత వరకు వేచి ఉండండి.""
"
"""During the 1920-21 season, Bradman acted as """"scorer for the local Bowral team, captained by his uncle George Whatman.""
","1920-21లో, బ్రాడ్మాన్ అతని మేనమామ జార్జ్ వాట్మాన్ కెప్టెన్గా వ్యవహరిస్తున్న స్థానిక బౌరాల్ జట్టులో ఒక స్కోరెర్ వలె పేరు గాంచాడు.
"
"""He had several times a long relationship, which ended unsuccessfully: the first - with the neighbor on the block Alla Grishko (parted at the end of the old """"Univer"""" on the initiative of Allochka because of the expected departure of Michael to his homeland to work in the hotel manager's uncle), the latter - with the head of the department Ksyusha (parted after a year of serious relationship because of her betrayal with a colleague in America, where she left for work).""
","""శాఖ అధిపతి - బ్లాక్ అల్లా Grishko (ఎందుకంటే హోటల్ మేనేజర్ మామ పని మైఖేల్ ఇంటి అంచనా నిష్క్రమణ చొరవ Allochka పాత """"యూని"""" చివరిలో వేరు), రెండవ ఒక పొరుగు తో - మొదటిః నేను ఒక సార్లు తీవ్రంగా ముగిసింది సుదీర్ఘ సంబంధం జంట కలిగి Ksenya (ఎందుకంటే ఆమె పని చేసాడు ఉండని US లో ఒక సహోద్యోగి తో ఆమె అవిశ్వాసం ఒక సంవత్సరం తీవ్రమైన సంబంధాన్ని తర్వాత విడిపోయారు).""
"
"""He said to his uncles and all of his mother's family group, 2 """"Ask the leaders of Shechem this question: 'Is it better for you to be ruled by the 70 sons of Jerub-Baal or to be ruled by only 1 man?'""
","""అతడు తన మామలతోను, తన తల్లి వంశస్థులందరితోను ఇలా చెప్పాడుః 2 """"షెకెము పట్టణపు నాయకులను ఈ ప్రశ్న అడగండిః 'యెరుబ్బయలు యొక్క డెబ్భయి మంది కుమారులచేత పాలించబడటం మీకు మంచిదా లేక ఒకే మనిషిచేత పాలింపబడుట మంచిదా?""
"
"""He was the uncle of Formula One driver Bruno Senna, of whom he famously said in """"If you think I'm fast, just wait until you see my nephew Bruno.""""""
","""అతను ఫార్ములా వన్ డ్రైవర్ బ్రూనో సెన్నాకు మేనమామ అని 1993లో గర్వంగా పేర్కొన్నాడుః """"నేను వేగంగా డ్రైవ్ చేస్తున్నాని భావిస్తే, మా మేనల్లుడు బ్రూనో వచ్చేంత వరకు వేచి ఉండండి.""
"
"""He was the uncle of Formula One driver Bruno Senna, of whom he famously said in 1993: """"If you think I'm fast, just wait until you see my nephew Bruno.""""[83]""
","""అతను ఫార్ములా వన్ డ్రైవర్ బ్రూనో సెన్నాకు మేనమామ అని 1993లో గర్వంగా పేర్కొన్నాడుః """"నేను వేగంగా డ్రైవ్ చేస్తున్నాని భావిస్తే, మా మేనల్లుడు బ్రూనో వచ్చేంత వరకు వేచి ఉండండి.""
"
"""How is Meghan Markle's royal baby boy related to the Royal Family and how many cousins, uncles, aunts and grandparents does he have? """"""
","మేఘన్ మార్క్లే యొక్క అబ్బాయికి రాజ కుటుంబానికి ఎలా సంబంధం ఉంది మరియు అతనికి ఎంత మంది బంధువులు, మామలు, అత్తమామలు మరియు తాతలు ఉన్నారు?
"
"""However, my uncle, Cristobal Juncal convinced me to lie to them saying..: """"Just tell them you're 86 and that's it.""""""
","""అయితే, నా మామ, క్రిస్టోబల్ జునకల్ నాకు చెప్పినందుకు అబద్ధం చెప్పి నన్ను ఒప్పించారుః """"నేను మీరు 86 ను చెపుతున్నాను మరియు అది అంతే.""
"
"""I'll never forget it because Miguel was number 301 in the squad """" Miguel Almeron's uncle Diego said.""
","""నేను ఎప్పటికీ మర్చిపోలేను ఎందుకంటే మిగ్యుల్ జట్టులో 301 నంబర్""""మిగ్యుల్ అల్మెరాన్ మామ డియెగో అన్నారు.""
"
"""If you are a second-degree relative (aunt, uncle, niece, nephew, grandparent, grandchild or half-sibling), your risk is 1 in 39."""" (link).""
","మీరు రెండవ-స్థాయి బంధువు (అత్త, మామ, మేనకోడలు, మేనల్లుడు, తాత, మనుమరాలు లేదా సగం-తోబుట్టువులు) అయితే, మీ ప్రమాదం 39 లో 1.
"
"""If you want to use DNA to determine ancestry through any of your other six great-grandparents you will need to convince an aunt, uncle, or cousin who descends directly from that ancestor through an all-male or all-female line to provide a DNA sample.""""""
","మీ ఇతర ఆరుగురు ముత్తాతల నుండి పూర్వీకులని గుర్తించడానికి మీరు DNA ను ఉపయోగించాలనుకుంటే మీరు అత్త, మామ, లేదా బంధువును నేరుగా ఒక పూర్వీకుడు నుండి ఒక మగ లేదా అన్ని-పురుషుడు లైన్ ద్వారా ఒక DNA ను అందించడానికి నమూనా.
"
"""Montezuma had been selected to be Tlatoani (the word means """"speaker"""") in , the maximum leader of his people: his grandfather, father, and two uncles had also been tlatoque (plural of tlatoani).""
","""1502 లో, మోంటేజుమా Tlatoani (పదం """"స్పీకర్"""") గా ఎంపిక చేయబడ్డాడు, అతని ప్రజల గరిష్ట నాయకుడుః అతని తాత, తండ్రి మరియు ఇద్దరు పినతండ్రులు కూడా tlatoque (బహువచనం యొక్క బహువచనం).""
"
"""Montezuma had been selected to be Tlatoani (the word means """"speaker"""") in 1502, the maximum leader of his people: his grandfather, father and two uncles had also been tlatoque (plural of tlatoani).""
","""1502 లో, మోంటేజుమా Tlatoani (పదం """"స్పీకర్"""") గా ఎంపిక చేయబడ్డాడు, అతని ప్రజల గరిష్ట నాయకుడుః అతని తాత, తండ్రి మరియు ఇద్దరు పినతండ్రులు కూడా tlatoque (బహువచనం యొక్క బహువచనం).""
"
"""Montezuma had been selected to be Tlatoani (the word means """"speaker"""") in 1502, the maximum leader of his people: his grandfather, father, and two uncles had also been tlatoque (plural of tlatoani).""
","""1502 లో, మోంటేజుమా Tlatoani (పదం """"స్పీకర్"""") గా ఎంపిక చేయబడ్డాడు, అతని ప్రజల గరిష్ట నాయకుడుః అతని తాత, తండ్రి మరియు ఇద్దరు పినతండ్రులు కూడా tlatoque (బహువచనం యొక్క బహువచనం).""
"
"""Montezuma had been selected to be Tlatoani (the word means """"speaker"""") inthe maximum leader of his people: his grandfather, father and two uncles had also been tlatoque (plural of tlatoani).""
","""1502 లో, మోంటేజుమా Tlatoani (పదం """"స్పీకర్"""") గా ఎంపిక చేయబడ్డాడు, అతని ప్రజల గరిష్ట నాయకుడుః అతని తాత, తండ్రి మరియు ఇద్దరు పినతండ్రులు కూడా tlatoque (బహువచనం యొక్క బహువచనం).""
"
"""My uncle and father were both killed.""""""
","""నా తండ్రి, సోదరుడిని కూడా ట్రాప్ చేశారు"""" అని అన్నారు.""
"
"""Nadiadwala started as an AC Technician and then later worked as spot boy and graduated to become production assistant in his uncle s production house before establishing his own production company called """"Nadiadwala Grandson Entertainment.""""""
","""నడియాద్వాల ఒక AC టెక్నీషియన్ వలె జీవితాన్ని ప్రారంభించాడు తర్వాత ఒక స్పాట్ బాయ్గా పనిచేస్తూ, అతని మేనమామ నిర్మాణ సంస్థలో నిర్మాణ సహాయకుడిగా మారడానికి గ్రాడ్యుయేట్ అయ్యాడు, తర్వాత అతను తన స్వంత నిర్మాణ సంస్థ """"నడియాద్వాల గ్రాండ్సన్ ఎంటర్టైన్మెంట్"""" పేరుతో స్థాపించాడు.""
"
"""Nadiadwala started as an AC Technician and then later worked as spot boy and graduated to become production assistant in his uncle's production house before establishing his own production company called """"Nadiadwala Grandson Entertainment.""""""
","""నడియాద్వాల ఒక AC టెక్నీషియన్ వలె జీవితాన్ని ప్రారంభించాడు తర్వాత ఒక స్పాట్ బాయ్గా పనిచేస్తూ, అతని మేనమామ నిర్మాణ సంస్థలో నిర్మాణ సహాయకుడిగా మారడానికి గ్రాడ్యుయేట్ అయ్యాడు, తర్వాత అతను తన స్వంత నిర్మాణ సంస్థ """"నడియాద్వాల గ్రాండ్సన్ ఎంటర్టైన్మెంట్"""" పేరుతో స్థాపించాడు.""
"
"""Nelson also points out that: """"the subsequent children could be named after the parents, a favorite aunt or uncle, a saint or a deceased relative.""""""
","""నెల్సన్ కూడా ఇలా పేర్కొన్నాడుః """"తరువాతి పిల్లలకు తల్లిదండ్రులు, అభిమాన అత్త లేదా మామ, సెయింట్ లేదా మరణించిన బంధువు పేరు పెట్టారు.""
"
"""Nilesh Upadhyay, Avinash's uncle, said, """"There is a painful situation in the family because we do not have our son with us today.""
","""అవినాష్ మామ అయిన నీలేష్ అనే ఉపాధ్యాయుడు మాట్లాడుతూ, """"కుటుంబంలో బాధాకరమైన పరిస్థితి ఉంది, ఎందుకంటే ఈ రోజు మా కొడుకు మాతో లేడు.""
"
"""Or aunt and uncle?""""""
","""""""ఆంటీ లేదా అంకుల్?""
"
"""Please sit down, uncle!""""""
","""""""మీరూ కూర్చోండి, ఆంటీ!""
"
"""She submits, but in the morning calls her father, husband, and uncle to her, and she tells them how she has """"lost her honor"""" and demands that they avenge her rape.""
","""ఆమె సమర్పించినది, కానీ ఉదయం ఆమె తండ్రి, భర్త మరియు మామకు ఆమెను పిలుస్తుంది మరియు ఆమె """"ఆమె గౌరవాన్ని కోల్పోయింది"""" మరియు ఆమె అత్యాచారం ప్రతీకారం తీర్చాలని కోరింది.""
"
"""Sometimes it's also a kind of word play (anthimeria), as in Shakespeare's King Richard the Second when the Duke of York says, """"Grace me no grace, and uncle me no uncles.""""""
","""కొన్నిసార్లు ఇది కూడా ఒక రకమైన నాటకం నాటకం (యాంటీమీరియా), షేక్స్పియర్ రాజు రిచర్డ్ ది సెకండ్ లో, డ్యూక్ ఆఫ్ యార్క్ చెప్పినప్పుడు, """"గ్రేస్ నాకు దయ లేదు, మరియు మామ నన్ను ఏ పినతండ్రులు కాదు.""
"
"""Tell my uncle.""""""
","""పోయి మీ నాన్నకు చెప్పుకో"""" అంది.""
"
"""The movie was initially slated to hit the screens on April 8, but the makers of the movie have postponed it to April 22 to avoid a clash with his uncle Pawan Kalyan's film """"Sardaar Gabbar Singh.""""""
","మొదట ఈ సినిమాని ఉగాది కానుకగా ఏప్రిల్ 8 న విడుదల చేయాలని అనుకున్నారు కానీ అదేరోజు పవన్ కళ్యాణ్ 'సర్దార్ గబ్బర్ సింగ్' విడుదల అవుతుండటం తో రెండు వారాలు ఆలస్యంగా ఏప్రిల్ 22 విడుదల చేయాలని భావించారు.
"
"""The phrase """"If this isn't nice, I don't know what is"""" (#12) comes from Kurt Vonnegut quoting his uncle while they sat under the shade of a tree on a hot summer's day, drinking cold lemonade and talking.""
","""""""ఇది మంచిది కాకపోతే, ఏమిటో నాకు తెలియదు"""" (సంఖ్య 12) కుర్ట్ వోన్నెగట్ తన మామను ఉటంకిస్తూ, వేసవి రోజున చెట్టు నీడలో కూర్చుని, చల్లని నిమ్మరసం తాగుతూ, మాట్లాడుతున్నాడు.""
"
"""There's a plethora of characters, and each of those characters has cousins, uncles, and dogs, and I think people enjoy exploring all of those depths and nooks and crannies.""""""
","'అక్షరాలు చాలా ఉన్నాయి మరియు ఆ పాత్రలలో ప్రతి ఒక్కరికి దాయాదులు, మేనమామలు మరియు కుక్కలు ఉన్నారు, మరియు ప్రజలు ఆ లోతులన్నింటినీ, ముక్కులను మరియు క్రేనీలను అన్వేషించడాన్ని ఆనందిస్తారని నేను భావిస్తున్నాను.
"
"""This is your uncle?""""""
","""""""ఈయనేనా మీ అంకుల్?""
"
"""Varun's uncle, Anil Dhawan had said about the actor's wedding, """"We are very excited.""
","""తాజాగా ఈ పెళ్లి గురించి వరుణ్ అంకుల్, నటుడు అనిల్ ధావన్ మాట్లాడుతూ. . """"మేమంతా చాలా ఎగ్జైట్గా ఉన్నాం.""
"
"""While speaking to media, Sushant's maternal uncle said, """"We don't think he committed suicide, police must investigate the matter.""
","""మీడియాతో మాట్లాడుతున్నప్పుడు, సుశాంత్ మామగారు, """"అతను ఆత్మహత్య చేసుకున్నాడని మేము అనుకోము, పోలీసులు ఈ విషయంపై దర్యాప్తు చేయాలి.""
"
"""• (march 20) uncle tom's cabin by harriet beecher stowe published, in book form, in boston, selling more than 300,000 copies the first year the book's success in highlighting the evils of slavery prompted abraham lincoln later to say of stowe, """"so this is the little lady who made this great war.""""""
","""• (మార్చి 20) హ్యారీట్ బీచెర్ స్టౌవ్ రచించిన అంకుల్ టామ్'స్ క్యాబిన్ బోస్టన్లో పుస్తక రూపంలో, మొదటి సంవత్సరంలో 300,000 కాపీలు అమ్ముడైంది - బానిసత్వం యొక్క దుష్టత్వాన్ని ప్రముఖంగా చూపించిన పుస్తక విజయం అబ్రహామ్ లింకన్ తరువాత స్టౌ గురించి చెప్పడానికి ప్రేరేపించింది """" కాబట్టి ఈ గొప్ప యుద్ధం చేసిన చిన్న మహిళ.""
"
"'It is this, uncle.
","'అది. . అదీ అంకుల్.
"
"'Thank my uncle,' I said.
","""""""థాంక్ యు అంకుల్,"""" అన్నాను నేను.""
"
"'Thank you, uncle,' I said.
","""""""థాంక్ యు అంకుల్,"""" అన్నాను నేను.""
"
"---Zeus sent most of the Titans to Tartarus to punish them for fighting against him in the Titanomachy, but since second-generation Titan Prometheus had not sided with his aunts, uncles, and brother Atlas, Zeus spared him.
","టిటానామచీలో అతనితో పోరాడటానికి వారిని శిక్షించటానికి జ్యూస్ టైటారస్ కు ఎక్కువ మందిని టైటారస్ కు పంపించాడు, కాని రెండవ తరం టైటాన్ ప్రోమేతియస్ తన అత్తమామలు, పినతండ్రులు మరియు సోదరుడు అట్లాస్ లతో పాటు ఉండకపోవడంతో , జ్యూస్ అతన్ని తప్పించుకున్నాడు.
"
"1 Chronicles 11:26 (RHE) Moreover the most valiant men of the army, were Asahel brother of Joab, and Elchanan the son of his uncle of Bethlehem,
","11:26 అంతేకాక, సైన్యం యొక్క బలమైన పురుషులు అశాహేలు ఉన్నాయి, యోవాబు సహోదరుడైన; మరియు Elhanan, తన మామ కుమారుడు, బెత్లెహెం నుండి;
"
"1. n. uncle (brother of someone's father or mother, or an aunt's husband)
","cousin (n): a child of one's uncle or aunt (మన తల్లిదండ్రుల యొక్క అన్నదమ్ములు, అక్కచెల్లళ్ళ పిల్లలు - ఆడ అయినా మగ అయినా కూడా)
"
"10:1 After Abimelech, a leader rose up in Israel, Tola, the son of Puah, the paternal uncle of Abimelech, a man of Issachar, who lived in Shamir on mount Ephraim.
","10:1 అబీమెలెకు తరువాత, ఒక నాయకుడు ఇజ్రాయెల్ లేచి, తోలా, Puah కుమారుడు, అబీమెలెకు యొక్క మావయ్య, ఇశ్శాఖారు ఒక మనిషి, ఎవరు మౌంట్ ఎఫ్రాయిమ్ లో షామిర్సు నివసించారు.
"
