eng_Latn,tel_Telu
"""Blain matters among GFS people """"75-year-old grandmothers looking to bring business with other people, and 22-year-old people seeking to get look for per night of dance,"""" with latest moms.""
","""GFS సభ్యుల మధ్య నిశ్చితార్థం """"75 ఏళ్ల నానమ్మలు ఇతరులతో కార్డులను ఆడటం మరియు నృత్య రాత్రికి రావడానికి చూస్తున్న 22 ఏళ్ల విద్యార్ధులు,"""" కొత్త తల్లులతో పాటు.""
"
"""He is very sorry about this, my grandmother, in the meantime, comforts his grandson and says that as soon as he recovers, they will go to the city to the """"best"""" photographer Volkov himself, and he will take any pictures, at least for a portrait, even for a """"passport,"""" at least on the """"Eroplane,"""" even on a horse, though on anything.""
","""అతను దాని గురించి చాలా క్షమించాలి, గ్రాండ్, మరోవైపు అతని మనవడు రాగా, మరియు వెంటనే అతను కోలుకోవడంతో, అప్పుడు వారు నగరానికి """"samoluchshemu"""" ఫోటోగ్రాఫర్ Volkov కూడా చిత్రపటాన్ని, కనీసం """"pachport"""" అయితే వెళ్ళి ఆ, మరియు అది ఏ షాట్లు చేస్తుంది, చెప్పింది అయితే ఏమీ """"eroplane,"""" అయితే గుర్రంపై ఎక్కి, కు. మరియు ఇక్కడ అత్యంత ముఖ్యమైన పాయింట్ తగిన ప్లాట్లు ఉంది.""
"
"""His paternal grandparents were Leonard Klinghoffer and Elaine Wiener and his maternal grandmother was Rosanna """"Nancy"""" M. Brady.""
","""అతని తల్లితండ్రులు లియోనార్డ్ క్లింగ్హోఫర్ మరియు ఎలైన్ వీనర్ మరియు అతని తల్లితండ్రులు రోసన్నా """"నాన్సీ"""" ఎం. బ్రాడి.""
"
"""How's your grandmother?""""""
","""ఎలా ఉంది మీ నాన్నగారికి"""" అని అడిగింది.""
"
"""My grandmother runs faster than you!""""""
","""""""నా తల్లి మీ అమ్మ కంటే వేగంగా నడుస్తుంది!""
"
"""Not surprisingly, my grandmother would never say """"I love you"""" to my mom.""
","""""""నేను నిన్ను ప్రేమిస్తున్నాను"""" వంటి మాటలెప్పుడూ మా అమ్మ నాతో అనలేదు.""
"
"""Referring to assassinations of his grandmother and former Prime Minister Indira Gandhi, and father and former PM Rajiv Gandhi, the Congress president said that """"we have realised that there is nothing to gain from hate.""""""
","తన నానమ్మ, మాజీ ప్రధాని ఇందిరా గాంధీ, తన తండ్రి, మాజీ ప్రధాని రాజీవ్ గాంధీల హత్యలను ప్రస్తావిస్తూ ద్వేషం వల్ల ఏమీ సాధించలేమని మాకు అర్థమైంది అని రాహుల్ పేర్కొన్నారు.
"
"""Soon after getting the part, she took her grandmother's maiden name """"Portman"""" as her stage name, in the interest of privacy; [ 1 ] in the director's cut of the film on DVD, she is credited as Natalie Hershlag.""
","""ఇందులో నటించే అవకాశం దక్కిన వెంటనే, ఆమె తన అవ్వ మొదటి పేరు """"పోర్ట్మన్""""ను తన పేరులోకి స్వీకరించింది, గోప్యత కోసం ఆమె ఈ పేరును పెట్టుకుంది;[1] ఈ సినిమా యొక్క డైరెక్టర్స్ కట్ DVD (ప్రత్యేకంగా కూర్చిన చిత్రరూపం) లో మాత్రం ఆమె పేరు నటాలీ హెర్ష్లాగ్గానే కనబడుతుంది.""
"
"""Soon after getting the part, she took her grandmother's maiden name """"Portman"""" as her stage name, in the interest of privacy;[1] in the director's cut of the film on DVD, she is credited as Natalie Hershlag.""
","""ఇందులో నటించే అవకాశం దక్కిన వెంటనే, ఆమె తన అవ్వ మొదటి పేరు """"పోర్ట్మన్""""ను తన పేరులోకి స్వీకరించింది, గోప్యత కోసం ఆమె ఈ పేరును పెట్టుకుంది;[1] ఈ సినిమా యొక్క డైరెక్టర్స్ కట్ DVD (ప్రత్యేకంగా కూర్చిన చిత్రరూపం) లో మాత్రం ఆమె పేరు నటాలీ హెర్ష్లాగ్గానే కనబడుతుంది.""
"
"""We can't be sure of the names of William's grandmothers because the """"men of the house"""" would have taken control of legal affairs, and so only their names will have appeared on historical documents.""
","""విలియం యొక్క నానమ్మల పేర్ల గురించి మేము ఖచ్చితంగా చెప్పలేము ఎందుకంటే """"ఇల్లు యొక్క పురుషులు"""" చట్టపరమైన వ్యవహారాల నియంత్రణను కలిగి ఉంటారు, అందుచే వారి పేర్లు మాత్రమే చారిత్రక పత్రాల్లో కనిపిస్తాయి.""
"
"'You won't need a father or a grandmother.
","'రోజంతా మీ అమ్మ లేదా నాన్న మీకు అవసరం లేదు.
"
"(I did a little as a child with my grandmother...)
","(నేను మా అమ్మ దగ్గర పసి బాలుని వలె సేద తీరుతున్నా . . .)
"
"(My great grandmother).
","(మా పెద్దమ్మగారి అమ్మాయి).
"
"(it is not a grandmother)
","(ఇది ఒక పాత మహిళ కాదు)
"
"(my great grandmother).
","(మా పెద్దమ్మగారి అమ్మాయి).
"
"105-year-old great grandmother from Kerala marked as the oldest student in the country to clear the 4th standard equivalency examination.
","కేరళకు చెందిన 105 ఏళ్ల ముత్తమ్మ 4వ తరగతి పరీక్షను క్లియర్ చేసి దేశంలోని పురాతన విద్యార్థిగా గుర్తించబడింది.
"
"1994, after overcoming her drug addiction by spending several weeks with her father and grandmother, Jameson relocated to Los Angeles to live with Nikki Tyler.
","1994లో, కొన్ని వారాలపాటు తండ్రి మరియు నానమ్మ దగ్గర ఉండి మాదక ద్రవ్యాలు వాడటం నుంచి కోలుకున్న తరువాత, తిరిగి జేమ్సన్ లాస్ ఏంజెలెస్లో వున్న నిక్కి టైలర్ వద్దకు చేరారు.
"
"2 two children, and the old grandmother.
","ఇద్దరు పసిపిల్లలు, వృద్ధరాలైన తల్లి .
"
"2) the citizens of the former Soviet republics, that arrived for permanent residence in the Republic of Kazakhstan, and have one of his (her) close relatives - citizens of the Republic of Kazakhstan: the child (including adopted), the wife (husband), one of the parents (adoptive parents), sister, brother, grandfather or grandmother, regardless of their residence in the Republic of Kazakhstan.
","2) మాజీ యూనియన్ రిపబ్లిక్ల పౌరులు కజకిస్తాన్లో శాశ్వత నివాస ప్రయోజనంతో వచ్చారు, వారి దగ్గరి బంధువులలో ఒకరు కజకిస్తాన్ పౌరుడు (ఒక పిల్లవాడు, జీవిత భాగస్వామి, సోదరి, సోదరుడు, తల్లిదండ్రులలో ఒకరు, తాతామామలలో ఒకరు),
"
"5 I am reminded of your sincere faith, which first lived in your grandmother Lois and in your mother Eunice and, I am persuaded, now lives in you also.
","5 ఆ విశ్వాసము మొదట నీ అవ్వయైన లోయిలోను నీ తల్లియైన యునీకేలోను వసించెను, అది నీయందు సహవసించుచున్నదని నేను రూఢిగా నమ్ము చున్నాను.
"
"5 I am reminded of your sincere faith, which first lived in your grandmother Lois and in your mother Eunice and, I am persuaded, now lives in.
","5 ఆ విశ్వాసము మొదట నీ అవ్వయైన లోయిలోను నీ తల్లియైన యునీకేలోను వసించెను, అది నీయందు సహవసించుచున్నదని నేను రూఢిగా నమ్ము చున్నాను.
"
"5 I am reminded of your sincere faith, which lived first in your grandmother Lois and your mother Eunice, and I am convinced that this faith also lives in you.
","5 ఆ విశ్వాసము మొదట నీ అవ్వయైన లోయిలోను నీ తల్లియైన యునీకేలోను వసించెను, అది నీయందు సహవసించుచున్నదని నేను రూఢిగా నమ్ము చున్నాను.
"
"50-year-old grandmother gives birth to baby boy
","బిడ్డకు జన్మనిచ్చిన 50 ఏళ్ల మహిళ
"
"A grandmother is watching TV.
","ఆంటీ టీవీ చూస్తోంది.
"
"A grandmother raising us.
","మమ్మల్ని ఎత్తుకునాడించిన తాతగారు.
"
"A great-great grandmother in Russia, said to be the oldest woman in the world, has died aged 123.
","ప్రపంచంలోనే అత్యధిక వయసు కలిగిన వ్యక్తిగా భావిస్తున్న రష్యా మహిళ 123 సంవత్సరాల వయసులో కన్నుమూశారు.
"
"A man has been charged with murdering his wife, three young children and their grandmother at a...
","ఓ యువకుడు తన భార్య, ముగ్గురు పిల్లలు, అత్తను అతి కిరాతకంగా హత్య
"
"A novel about three women, their mothers and their grandmothers.
","ముగ్గురు అక్కలు, తల్లి, ప్రియురాలు లాంటి ఐదురుగు మహిళల కథ.
"
"According to the Family Code, spouses, parents, children, adopted children, adoptive parents, grandparents, grandmothers, both full-fledged and incomplete (having only a common father or mother), sisters and brothers are exempt from taxation.
","కుటుంబ కోడ్ ప్రకారం, భార్య, తల్లిదండ్రులు, పిల్లలు, దత్తతు పిల్లలు, పెంపుడు తల్లిదండ్రులు, మునుమనవళ్లను, తాతలు, రెండు పూర్తిస్థాయి, మరియు మార్గమధ్యంలో (మాత్రమే ఒక సాధారణ తండ్రి లేదా తల్లి) సోదరులు మరియు సోదరీమణులు పన్నుల నుండి మినహాయింపు ఉంటాయి.
"
"After her grandmother's assassination, Rahul and Priyanka were schooled at home, because of security reasons.
","అప్పటినుండి భద్రతా కారణాలవల్ల రాహుల్ కి, సోదరి ప్రియాంకకి ఇంటి విద్య ఏర్పాటు చేశారు.
"
"Akemi's grandmother (2)
","ఆంటీ కూతుర అమ్మో అప్సర ముస్తాబదిరింది (2)
"
"Although my grandmother is old, she is fit and healthy.
","అమ్మ వయసు పెద్దదే అయినా దేమునిదయవలన ఆరోగ్యంగా వుంది.
"
"An outing to grandmother's home may as of now be on the timetable for Christmas break, in which case you may not be up for more travel, but rather I'm discussing a get-away, not just a visit with relatives.
","బామ్మగారు ఇంటికి వెళ్ళే యాత్ర ఇప్పటికే క్రిస్మస్ విరామానికి షెడ్యూల్లో ఉండవచ్చు, ఈ సందర్భంలో మీరు మరింత ప్రయాణం కోసం ఉండకపోవచ్చు, కానీ నేను సెలవుల గురించి మాట్లాడుతున్నాను, బంధువులతో కేవలం సందర్శన కాదు.
"
"And don't forget mother and grandmother!
","మరియు అమ్మ మరియు నాన్న కోసం బహుమతులు మర్చిపోవద్దు!
"
"And don't forget your mother and grandmother!
","మరియు అమ్మ మరియు నాన్న కోసం బహుమతులు మర్చిపోవద్దు!
"
"And her mother and grandmother raised her.
","ఆమె తల్లి మరియు నర్స్ ఆమెను పెంచింది.
"
"And if he is also welcome and long-awaited, then the whole family suite in the person of mother, father, grandmother, aunts and other relatives want to show their joy in any way.
","మరియు అతను ఒక స్వాగత మరియు దీర్ఘ ఎదురుచూస్తున్న ఉంటే, అప్పుడు తల్లులు, తండ్రులు, తాతలు, అత్తమామలు మరియు ఇతర బంధువులు నేపథ్యంలో మొత్తం కుటుంబం సూట్లను వారి సంతోషం చూపించడానికి ఏ విధంగా అనుకుంటున్నారా.
"
"At age 8, he traveled to England to live with his grandmother and uncle.
","ఎనిమిదేళ్ల వయసులో ఐల్ ఆఫ్ వైట్లో తన అత్త, మామలతో కలిసి జీవించడానికి ఇంగ్లాండ్కు పంపించారు.
"
"Australia: A Melbourne couple was sentenced to jail for keeping an Indian grandmother as a slave in their house for eight years.
","మెల్బోర్న్ (ఆస్ట్రేలియా): ఓ భారతీయ మహిళను ఎనిమిదేళ్లపాటు తమ ఇంటిలో బానిసగా ఉంచినందుకు మెల్బోర్న్ దంపతులకు అక్కడి కోర్టు జైలు శిక్ష విధించింది.
"
"Banneker's grandmother, Molly Walsh was a bi-racial English immigrant and indentured servant who married an African slave named Banna Ka, who had been brought to the Colonies by a slave trader.
","బన్నెకెర్ యొక్క అవ్వ మోలీ వాల్ష్ ఒక ద్వి-జాతి ఆంగ్ల వలస మరియు ఒప్పంద సేవకుడు, బాన్న కా అనే ఒక ఆఫ్రికన్ బానిసను వివాహం చేసుకున్నాడు, అతను ఒక బానిస వ్యాపారవేత్త ద్వారా కాలనీలకు తీసుకువచ్చాడు.
"
"Both my grandmother and mother have told me these stories over and over again.
","మా అమ్మ, అక్కాచెల్లెళ్ళు నన్ను చాలాసార్లు ఈ కథ చెప్పి ఏడిపిస్తుంటారు.
"
"Both of my grandmothers have died.
","అమ్మానాన్న ఇద్దరూ మరణించారు.
"
"Brahmakumari's chief administrator grandmother died at the age of 93; what was her name?
","బ్రహ్మకుమారి చీఫ్ అడ్మినిస్ట్రేటర్ 93 సంవత్సరాల వయసులో మరణించింది, ఆమె పేరు ఏమిటి?
"
"But Jack did not grow up with them, he was brought up by his grandmother andGrandpa in a town called Louisville, Kentucky.
","కానీ జాక్ వారితో పెరగలేదు, లూయిస్విల్, అనే పట్టణంలో తన తాతలు పెంచింది Kentucky.
"
"But, they were founded totally untrue as Sharma's grandmother died in 2008.
","కానీ, 2008లో శర్మ నానమ్మ మరణించిది అని తెలియటంతో ఇది పూర్తిగా అబద్ధము అని వారు కనుగొన్నారు.
"
"By virtue of the Constitution of India or the Citizenship Act, 1955 (57 of 1955) who or either of whose father or mother or grandfather or grandmother was a citizen of India.
","భారత రాజ్యాంగ పౌరసత్వ చట్టం, 1955 (57వది) ప్రకారం అతను లేదా అతని తల్లిదండ్రులు లేదా తన గ్రాండ్ తల్లిదండ్రులు గాని భారతదేశ పౌరసత్వం కలిగి ఉండాలి
"
"Caroline enrolled at the Convent of the Sacred Heart School on 91st St., the same school that Rose Kennedy, her grandmother, had attended as a girl.
","కారోలిన్ 91 సెయింట్ సెయింట్ లో సేక్రేడ్ హార్ట్ స్కూల్ కాన్వెంట్ ఆఫ్ చేరాడు, రోజ్ కెన్నెడీ అదే పాఠశాల, ఒక అమ్మాయిగా హాజరైనారు.
"
"Charlotte lived most of the time with her grandmother, Maria Amalia of the Two Sicilies, Queen of France, married to Louis-Philippe of France.
","ఫ్రాన్స్కు చెందిన క్వీన్స్-ఫిలిప్పీతో వివాహం చేసుకున్న రెండు సిసిలీల సోదరి మారియా అమాలియాతో షార్లెట్ చాలాకాలం జీవించాడు.
"
"Children under 28, as well as more than 55 dependent parents and grandmothers.
","28 ఏళ్లలోపు పిల్లలు, అలాగే 55 మందికి పైగా తల్లిదండ్రులు మరియు నానమ్మలు.
"
"Congress leader Rahul Gandhi has admitted that the Emergency imposed on the country during his grandmother Indira Gandhi's government was a mistake.
","నాడు తన గ్రాండ్ మదర్ ఇందిరా గాంధీ దేశంలో అత్యవసర పరిస్థితి (ఎమర్జెన్సీ) విధిస్తూ తీసుకున్న నిర్ణయం పొరబాటేనని కాంగ్రెస్ నేత రాహుల్ గాంధీ అంగీకరించారు.
"
"Desi Jr. and Julia have managed to rebuild their father and daughter relationship, but unfortunately, Julia was never able to meet her grandmother in person.
","దేశీ జూనియర్ మరియు జూలియా తమ తండ్రి-కుమార్తె సంబంధాన్ని పునర్నిర్మించగలిగారు, కాని పాపం, జూలియా తన ప్రసిద్ధ బామ్మను వ్యక్తిగతంగా కలవలేదు.
"
"Did you know?... His paternal grandmother is from Klagenfurt, a city in Southern Austria.
","నీకు తెలుసా? . . . అతని తల్లితండ్రులు దక్షిణ ఆస్ట్రియాలోని క్లాగెన్ఫర్ట్ అనే నగరానికి చెందినవారు.
"
"Don't worry about your grandmother.
","మీ అమ్మ గారి విషయంలో ఆందోళన చెందకండి.
"
"During my childhood, I used to go visit my grandmother often in the village.
","నా చిన్నతనంలో మా అమ్మగారితో పాటు చాలా సార్లు ఆ ఊరికి వెళ్ళుతుండేవాడిని.
"
"Début vieElizabeth was born in Greenwich Palace to House of the Virgin, 7 September 1533 between three and four o'clock in the afternoon and named after her two grandmothers, Elizabeth of York and Elizabeth Howard.
","ఎలిజబెత్ 7 సెప్టెంబర్ 1533 న చాంబర్ ఆఫ్ విర్జిన్స్ లోని గ్రీన్విచ్ పాలస్ లో మధ్యాహ్నం మూడు నాలుగు గంటల మధ్య జన్మించింది మరియు ఆమె ఇద్దరు మామ్మలు, ఎలిజబెత్ ఆఫ్ యార్క్ మరియు ఎలిజబెత్ హోవార్డ్ ల పేరు ఈమెకు పెట్టబడింది.
"
"Especially my grandmother's recipe book came at an opportune moment.
","ముఖ్యంగా నా అవ్వ వంటకం పుస్తకం ఒక సమయోచితమైన సమయంలో వచ్చింది.
"
"Even today there are families in South India where there are over 400 people in one house - a large household with uncles, aunts, grandmothers, grandfathers, everyone.
","నేటికీ దక్షిణ భారతదేశంలో ఒక ఇంట్లో 400 మందికి పైగా ఉన్న కుటుంబాలు ఉన్నాయి - మావయ్యలు, అత్తలు, నానమ్మలు, తాతలు, అందరూ ఉన్న పెద్ద ఇల్లు.
"
"For example, a grandmother or grandfather can raise children while their parents are at work.
","ఉదాహరణకు, ఒక తాత వారి పిల్లలు, వారి తల్లిదండ్రులు పని వద్ద ఉన్నప్పుడు తేగలదు.
"
"For example, my grandmother was named for her father.
","ఉదాహరణకు, మా తమ్ముడికి మా నాన్నగారి తాతగారి పేరే పెట్టారు.
"
"For the grandmother.
","ఆంటీ కోసం.
"
"Former US president Barack Obama has lost his grandmother Sarah Obama (99) who died in Kenya.
","నైరోబిః అమెరికా మాజీ అధ్యక్షుడు బరాక్ ఒబామా నాయినమ్మ, అనాథల జీవితాల్లో అక్షర జ్యోతులు వెలిగించిన మామా సారా (99) కన్నుమూశారు.
"
"Franklin is released back into the community, but those who knew Tariq, including the 8-5 Kings gang members who had been recruiting him, as well as those who loved him, his mother and grandmother, provide the reader with the complicated details of his character and the circumstances that surrounded his death.
","ఫ్రాంక్లిన్ సమాజంలోకి తిరిగి విడుదల చేయబడ్డాడు, కానీ తారిక్ను గుర్తించిన వారు 8-5 కింగ్స్ ముఠా సభ్యులను అతనిని నియమించారు, అలాగే అతనిని ప్రేమించిన వారు, అతని తల్లి మరియు నానమ్మ పాత్ర మరియు అతని మరణం చుట్టూ ఉన్న పరిస్థితులు.
"
"From that point on, Charlotte lived most of the time with her grandmother, Maria Amalia of the Two Sicilies, Queen of France, married to Louis-Philippe of France.
","ఫ్రాన్స్కు చెందిన క్వీన్స్-ఫిలిప్పీతో వివాహం చేసుకున్న రెండు సిసిలీల సోదరి మారియా అమాలియాతో షార్లెట్ చాలాకాలం జీవించాడు.
"
"Get your grandmother's phone number.
","మీ మామయ్య ఫోన్ నెంబర్ ఇవ్వండి.
"
"He grew up with just his mother and grandmother.
","ఆమె తల్లి మరియు తాతతో ఆమె పెరిగినది మాత్రమే.
"
"He spoke to his mother and grandmother.
","అతడి అమ్మ నాన్న, సోదరితో మాట్లాడుతున్నాడు.
"
"Her grandmother had died and her family was heavily dependent on her.
","ఆమె మామ్మ చనిపోయింది మరియు ఆమె కుటుంబం ఆమెపై పూర్తిగా ఆధారపడి ఉంది.
"
"Her grandmother taught her to crochet when she was 10 years old.
","ఆమె తల్లి ఆమెకు 10 సంవత్సరాల వయసులోనే వంటచేయడం నేర్పింది.
"
"Her grandmother taught her to read at an early age.
","చిన్న వయస్సులో చదివేందుకు అతని తల్లి అతనిని నేర్పించింది.
"
"Her grandmother was 93 years old.
","ఆ ముసలి తల్లిది 93 ఏళ్ల వయసు.
"
"Her mother and grandmother raised her.
","ఆమె తల్లి మరియు నర్స్ ఆమెను పెంచింది.
"
"Her mother, grandmother and aunts raised her.
","తల్లి తండ్రులు, ఆస్తీ, పోయినా ఆమె దాదీ ఆమెని పెంచి పెద్ద చేసింది.
"
"Here, too, our mothers and grandmothers, faithfully believing that it was so, shaved us with you.
","ఇక్కడ కూడా, మా తల్లులు మరియు నానమ్మ, మేము విశ్వసనీయంగా నమ్ముతున్నాము, మీతో మమ్మల్ని మోసగించాయి.
"
"His grandmother died in 1989.
","1989లో వీరి పెద్ద కొడుకు మృతిచెందారు.
"
"His maternal grandmother, Molly Walsh, emigrated from England to the colonies as an indentured servant in bondage for seven years.
","అతని తల్లి అవ్వ మోలీ వాల్ష్ ఇంగ్లాండ్ నుండి ఏడు సంవత్సరాలపాటు బానిసత్వంలో ఒప్పంద సేవకుడుగా కాలనీలకు వలసవెళ్లాడు.
"
"His mother and grandmother also live together with him.
","వాళ్ల అమ్మ, నాన్న కూడా అతడితోటే ఉంటున్నార్లే!
"
"His mother and grandmother raised Timothy in the Old Testament Scriptures, training him to hope for the Messiah (II Tim 1:5).
","అతని తల్లి మరియు ముత్తాత అతన్ని లేఖనాల్లో పెంచారు, మెస్సీయ కోసం ఆశలు పెట్టుకోవడానికి అతనికి శిక్షణ ఇచ్చారు (II తిమో 1: 5; II తిమో 3:15).
"
"His parents never married, and his mother was underage when she gave birth, so Bieber's maternal grandmother and step-grandfather helped raise him.
","అతని తల్లిదండ్రులు వివాహం చేసుకోలేదు, మరియు ఆమె జన్మనిచ్చినప్పుడు అతని తల్లి వయస్సు తక్కువగా ఉంది, కాబట్టి బీబెర్ యొక్క తల్లితండ్రులు మరియు సవతి-తాత అతనిని పెంచడానికి సహాయపడ్డారు.
"
"His paternal grandmother hails from Sneem, a village in the Republic of Ireland.
","తన పితృ నానమ్మ రిపబ్లిక్ ఆఫ్ ఐర్లాండ్లోని స్నీమ్ అనే గ్రామానికి చెందినది.
"
"His paternal grandmother, Catherine of Austria, was regent for Sebastian from 1557 to 1562.
","అతని తల్లితండ్రుడు, కాథరీన్ ఆఫ్ ఆస్ట్రియా, 1557 నుండి 1562 వరకు సెబాస్టియన్ కు రీజెంట్ అయ్యాడు.
"
"How to be a good grandmother?
","ఒక మంచి తల్లిగా ఉండడం ఎలా?
"
"However, Wijnaldum decided to stay in Rotterdam and moved in with his grandmother, where he lived for the remainder of his childhood.
","ఏదేమైనా, విజ్నాల్డం రోటర్డ్యామ్లో ఉండటానికి నిశ్చయించుకున్నాడు మరియు తన బాల్యవాసులతో కలిసి వెళ్లాడు, అతను తన చిన్నతనంలో మిగిలిపోయాడు.
"
"However, in 1967 elections, Nehru's daughter and Rahul's grandmother Indira Gandhi was able to get 283 seats out of total 520 seats.
","1967 ఎన్నికల్లో నెహ్రూ కుమార్తె ఇందిరాగాంధీ 520కి గాను 283 స్థానాలు సాధించారు.
"
"However, in addition to her grandfather, she had lost her paternal grandmother and youngest brother Nicholas in the attack and now recoiled from the prospect of becoming a core member of the Royal Family.
","ఏమైనప్పటికీ, ఆమె తన తాతను కోల్పోవటమేకాక, ఒక దాడిలో తన నానమ్మను మరియు తమ్ముడు నికోలాస్ను కోల్పోయారు మరియు ఈ సమయంలో రాజవంశం యొక్క కీలక సభ్యురాలు కావటం అనే ఆపేక్ష నుండి ఆమె వెనక్కిమళ్ళారు.
"
"I am your grandmother's friend.
","నేను మీ నాన్నగారి మిత్రుడిని.
"
"I began crocheting at the age of 5 when I was taught by my grandmother.
","నాకు ఐదేళ్ల వయసులో మృదంగం నేర్చుకోవడం మొదలుపెట్టాను తాతగారి వద్ద.
"
"I can't describe how happy my grandmother was.
","అమ్మ ఎంత ఆనంద పడ్తుందో వర్ణించలేము .
"
"I did get to go to India and see my grandmother.
",". ఇండియాకి వెళ్లి ఒకసారి మమీ డాడీని చూసి రమ్మంటే చూడ్డానికి వచ్చాను.
"
"I discussed this with my grandmother.
","యథావిధిగా ఈ విషయం మా నాన్నగారితో చర్చించాను.
"
"I do not know my husband's grandmother's name either.
","మా ముత్తాత గారి పేరు కూడా తెలియదు నాకు.
"
"I don't even know my grandmother's name.
","మా ముత్తాత గారి పేరు కూడా తెలియదు నాకు.
"
"I don't remember much about my grandmother.
","మా అమ్మ గురించి నాకు పెద్దగా గుర్తు లేదు.
"
"I forgot to tell you about my grandmother.
","ఇంతకీ అమ్మ గురించి చెప్పడమే మర్చిపోయా.
"
"I found this great photo in my grandmother's collection of old family photographs.
","కుటుంబ ఆర్కైవ్లలో తాత యొక్క ఈ పాత ఫోటోను నేను కనుగొన్నాను.
"
"I had a very short time with my grandmother.
","మనవరాలిగా తాతగారితో నేను చాలా తక్కువ సమయం గడిపాను.
"
"I had to go to my grandmother.
","నాన్నగారి కోసం వెళ్లిపోవాల్సి వచ్చింది.
"
"I have been in a good relationship with my grandmother since my childhood.
","నా చిన్నతనం నుంచి మా తాత గారితో మంచి అనుబంధం ఉంది.
"
"I have told my mother and grandmother.
","నేను మా నాన్నగారికి, అమ్మగారికి తెలియజేశాను.
"
"I learned a lot from my grandmother.
","నాన్న గారి నుంచి ఎన్నో నేర్చుకున్నాను.
"
"I learned crocheting from my mother and my grandmother many years ago.
","నా అత్త మరియు మామయ్య డెఫ్ నుండి చాలా కాలం క్రితం నేను నేర్చుకున్నాను.
"
