eng_Latn,tel_Telu
"About Domenico Berardi's relatives: Away from Berardi's immediate family, not much is known about his maternal and paternal grandparents while his uncles, aunts, cousins, nephews and nieces are yet to be identified.
","డొమెనికో బెరార్డి బంధువుల గురించిః బెరార్డి యొక్క తక్షణ కుటుంబానికి దూరంగా, అతని మామ, తల్లితండ్రుల గురించి పెద్దగా తెలియదు, అయితే అతని మేనమామలు, అత్తమామలు, దాయాదులు, మేనల్లుళ్ళు మరియు మేనకోడళ్ళు ఇంకా గుర్తించబడలేదు.
"
"About Donyell Malen's relatives: Away from Malen's immediate family life, he has a grandfather and grandmother identified as Joop and Marian respectively while there are no existing records of his uncles, aunts, cousins, nieces and nephews at the time of writing.
","డోన్యెల్ మాలెన్ బంధువుల గురించిః మాలెన్ యొక్క తక్షణ కుటుంబ జీవితానికి దూరంగా, అతనికి ఒక తాత మరియు అమ్మమ్మలను వరుసగా జూప్ మరియు మరియన్లుగా గుర్తించారు, అయితే అతని మామలు, అత్తమామలు, దాయాదులు, మేనకోడళ్ళు మరియు మేనల్లుళ్ళు గురించి వ్రాసే సమయంలో రికార్డులు లేవు.
"
"About Emi Buendia's Relatives: Regarding Buendia's larger family tree, his paternal and maternal grandparents are one of football's unravelled mysteries while there are no available records of his uncles, aunts, nieces and nephews.
","ఎమి బ్యూండియా బంధువుల గురించిః బ్యూండియా యొక్క పెద్ద కుటుంబ వృక్షానికి సంబంధించి, అతని తల్లితండ్రులు మరియు తల్లితండ్రులు ఫుట్బాల్ యొక్క బయటపడని రహస్యాలలో ఒకటి, అయితే అతని మేనమామలు, అత్తమామలు, మేనకోడళ్ళు మరియు మేనల్లుళ్ల గురించి రికార్డులు అందుబాటులో లేవు.
"
"About Iker Casillas' Relatives: Away from Casillas' immediate family little is known about members of his extended family like his aunts, uncles and nieces.
","ఇకర్ క్యాసిలాస్ గురించి 'బంధువులుః క్యాసిల్లాస్ యొక్క తక్షణ కుటుంబాల నుండి అతని అత్తమామలు, మేనళ్ళు మరియు మేనళ్ళు వంటి తన కుటుంబం యొక్క సభ్యుల గురించి తెలుస్తుంది.
"
"About Mario Balotelli Relatives: There is no denying the fact that Balotelli has uncles, aunts, cousins, nephews and nieces regardless of the fact that he doesn't identify with them.
","మారియో balotelli గురించి బంధువులుః బాలోటెల్లికి వారితో గుర్తించలేదనే వాస్తవం లేకుండానే బాలోటెల్లీకు బంధువులే, అత్తమామలు, బంధువులు, మేనళ్ళు మరియు మేనళ్ళు ఉన్నారన్న వాస్తవాన్ని తిరస్కరించడం లేదు.
"
"About Ángel Correa relatives: Away from Angel Correa's family life, there is not much known about his ancestry and family roots, particularly as it relates to his paternal and maternal grandparents while his uncles, aunts, cousins, nieces and nephews are yet to be identified at the time of writing this bio.
","ఏంజెల్ కొరియా బంధువుల గురించిః ఏంజెల్ కొరియా కుటుంబ జీవితానికి దూరంగా, అతని పూర్వీకులు మరియు కుటుంబ మూలాల గురించి పెద్దగా తెలియదు, ప్రత్యేకించి ఇది అతని తల్లి మరియు తల్లితండ్రులకు సంబంధించినది, అయితే అతని మామలు, అత్తమామలు, దాయాదులు, మేనకోడళ్ళు మరియు మేనల్లుళ్ళు ఇంకా వ్రాయబడలేదు.
"
"Actor Emraan Hashmi and film director Mohit Suri are her cousins, and she is niece of film producer Mukesh Bhatt.
","నటుడు ఎమ్రాన్ హష్మీ మరియు దర్శకుడు మోహిత్ సూరి ఆమె తండ్రి కోడలు కాగా, నిర్మాత ముఖేష్ భట్ ఆమె మామ.
"
"After conning their way through Illinois, they headed to Gary, Indiana, where on June 17, 1984, they approached 9-year-old Annie Turks and her 7-year-old niece Tamika Turks.
","ఇల్లినాయిస్ గుండా వెళ్ళిన తరువాత, వారు గారి, ఇండియానాకు వెళ్లారు, అక్కడ జూన్ 17, 1984 లో, 9 ఏళ్ల అన్నీ టర్క్స్ మరియు ఆమె 7 ఏళ్ల మేనకోడల తికాకా తుర్క్లు దగ్గరకు వచ్చారు.
"
"After her death in 1886 her works were published by her sister, edited by Higginson and Dickinson's niece Mabel Loomis Todd.
","ఆమె పని చాలా ఆమె సోదరి లావినియా ద్వారా ఆమె మరణం తర్వాత కనుగొనబడింది, మరియు 1890 లో థామస్ హిగ్గిన్సన్ మరియు మాబెల్ టాడ్ ప్రచురించింది.
"
"After watching my nieces monitor NORAD for Santa's progress across the globe, I thought it might be worth reflecting on marketing's positive contributions to the Holiday season.
","ప్రపంచవ్యాప్తంగా శాంటా పురోగతి కోసం నా మేనకోడళ్ళు NORAD ని పర్యవేక్షించిన తరువాత, హాలిడే సీజన్కు మార్కెటింగ్ యొక్క సానుకూల సహకారాన్ని ప్రతిబింబించడం విలువైనదని నేను అనుకున్నాను.
"
"Another daughter and a niece were seriously wounded.
",". కుమారుడు, మరో మహిళ తీవ్రంగా గాయపడ్డారు.
"
"Based on a true story, this mean-spirited film finds a crazy 1950s mother overseeing the rape and torture of her niece by her pre-pubescent sons and any neighborhood kids who happen to drop by.
","ఒక నిజమైన కధ ఆధారంగా, ఈ సగటు ఉత్సాహభరితమైన చిత్రం తన పూర్వపు కుమారులు మరియు ఆమెను వదిలేసే ఏ పొరుగు పిల్లలతో తన మేనకోడి యొక్క అత్యాచారం మరియు హింసను పర్యవేక్షించే ఒక వెర్రి 1950 ల తల్లి కనుగొనబడింది.
"
"Because her nieces attended that school, Ruby returned as a volunteer, and then founded the Ruby Bridges Foundation to help involve parents in their children's education.
","ఆమె మేనళ్లు ఈ పాఠశాలకు హాజరయ్యారు కాబట్టి, రూబీ స్వచ్ఛందంగా తిరిగి వచ్చారు, తరువాత వారి పిల్లల విద్యలో తల్లిదండ్రులు పాల్గొనడానికి రూబీ బ్రిడ్జెస్ ఫౌండేషన్ను స్థాపించారు.
"
"Bryan sees caring for his nephew and nieces, along with his sons, as a project far more important than anything he can accomplish in music.
","బ్రయాన్ తన మేనల్లుడు మరియు మేనకోడళ్ళను, తన కుమారులతో పాటు, సంగీతంలో సాధించగలిగేదానికన్నా చాలా ముఖ్యమైన ప్రాజెక్టుగా చూస్తాడు.
"
"Consider the old woman in a nursing home or care center, who died with no children or nieces and nephews to bid her farewell in the final moments.
","చివరి క్షణాల్లో ఆమె వీడ్కోలు వేయడానికి పిల్లలు లేదా మేనళ్ళు మరియు మేనళ్ళులతో మరణించిన నర్సింగ్ హోమ్ లేదా కేర్ సెంటర్లో పాత మహిళను పరిగణించండి.
"
"Early InteractionsThe first known interaction between the two states came in 640 A.D., when the Tibetan King Songtsan Gampo married the Princess Wencheng, a niece of the Tang Emperor Taizong.
","ఈ రెండు రాష్ట్రాల్లోని మొట్టమొదటి పరస్పర సంబంధాలు 640 AD లో వచ్చాయి, టిబెటన్ కింగ్ సాంగ్త్సన్ కంబో టాంగ్ చక్రవర్తి టైజోంగ్ యొక్క మేనకోడలి ప్రిన్సెస్ వెన్చెంగ్ను వివాహం చేసుకున్నప్పుడు.
"
"Elise ends up reconnecting with her estranged brother and - and this is going to be a shock to you - her nieces end up kidnapped and taken by a demon into the netherworld known as The Further.
","ఎలిస్ తన విడిపోయిన సోదరుడితో తిరిగి కనెక్ట్ అవ్వడం ముగుస్తుంది - మరియు ఇది మీకు షాక్గా ఉంటుంది - ఆమె మేనకోడళ్ళు కిడ్నాప్ చేసి, దెయ్యం చేత అపహరించబడి, ది మోర్ అని పిలువబడే నెదర్ వరల్డ్లోకి తీసుకువెళతారు.
"
"Facts about the Midfielder's ancestry are unknown particularly those of his maternal and paternal grandparents while his aunts, nephews and nieces are yet to be known at the time of writing.
","మిడ్ఫీల్డర్ యొక్క వంశపారంపర్యానికి సంబంధించిన వాస్తవాలు ముఖ్యంగా అతని తల్లి మరియు తల్లితండ్రుల గురించి తెలియదు, అయితే అతని అత్తమామలు, మేనల్లుళ్ళు మరియు మేనకోడళ్ళు రాసే సమయంలో ఇంకా తెలియలేదు.
"
"He is my nieces' husband.
","అతడు నా భర్త 'నకులుడు'.
"
"He is the niece of Bollywood actor Aamir Khan and director-producer Mansoor Khan.
","ఈయన ప్రఖ్యాత బాలీవుడ్ నటుడు అమీర్ ఖాన్ కు మరియు దర్శకుడు మన్సూర్ ఖాన్ గారలకు మేనల్లుడు.
"
"He really did marry Ximena (or Jimena), the king's niece, but the exact nature of their relationship is obscured in the mists of time and epic.
","అతను నిజంగా Ximena (లేదా జిమెనా), రాజు యొక్క మేనకోడలను వివాహం చేసుకున్నాడు, కానీ వారి సంబంధం యొక్క ఖచ్చితమైన స్వభావం సమయం మరియు ఇతిహాసం యొక్క కదలికలు లో అస్పష్టంగా ఉంది.
"
"His niece, Alessandra Mussolini, is currently a member of the European Parliament, and leads an Italian neo-fascist party.
","తన మనుమరాలు, అలెస్సాండ్రా ముస్సోలినీ, యూరోపియన్ పార్లమెంట్ సభ్యుడు, ప్రస్తుతం ది పీపుల్ అఫ్ ఫ్రీడం సభ్యుడిగా డిప్యూటీస్ చాంబర్ లో చేసేది.
"
"How much Zendaya nephews and nieces have there is no word but a family photo of 2016 indicates that the flock is rather big.
","జెండయాకు ఎంతమంది మేనకోడళ్ళు మరియు మేనల్లుళ్ళు ఉన్నారనే దానిపై ఎటువంటి మాట లేదు, కానీ 2016 కుటుంబ ఫోటో చాలా పెద్ద మందను సూచిస్తుంది.
"
"However, nieces and nephews can marry one another.
","కానీ, అన్నదమ్ముల పిల్లలూ, అక్కచెల్లెళ్ళపిల్లలూ ఒకరినొకరు వివాహం చేసుకోవచ్చు.
"
"I lost my niece in a car accident in 2014.
","2014లో జరిగిన కారు ప్రమాదంలో నా కూతురును కోల్పోయాను.
"
"In 1902, he met his future wife Eleanor Roosevelt, Theodore's niece, at a White House reception (they had previously met as children, but this was their first serious encounter).
","1902లో ఆయన భవిష్యత్ భార్య, థియోడోర్ సోదరుని కుమార్తె ఎలియనోర్ రూజ్వెల్ట్ను ఒక వైట్హోస్ కార్యక్రమంలో కలుసుకున్నారు, (బాల్యంలో కూడా వీరు కలుసుకున్నప్పటికీ, వీరిద్దరికి ఇది మొదటి ముఖ్యమైన కలయిక).
"
"Japan's Princess Mako, the emperor's niece, finally marries college sweetheart
","ప్రియుడి కోసం రాచరికపు హోదా వదులుకున్న రాజకుమారి Japan's Princess Mako finally marries boyfriend
"
"John Wayne, who more often played genial cowboys and dashing soldiers, plays a darker, more complex role here as a vigilante who spends years in a single-minded, relentless search for the Indians who killed his brother's family and kidnapped his niece.
","జోన్ వేన్, అతను తరచుగా తన సోదరుడు యొక్క కుటుంబాన్ని హతమార్చిన మరియు అతని మేనకోడిని కిడ్నాప్ చేసిన భారతీయులకు ఏకాభిప్రాయంతో, కనికరంలేని అన్వేషణలో సంవత్సరాల గడిపిన ఒక అప్రమత్తంగా, చీకటిగా, మరింత క్లిష్టమైన పాత్రను పోషించిన, జాక్ వేన్.
"
"More so, not much is known about the right backs uncles and aunts while his nephews and nieces have not been identified in notable events of his early life till date.
","ఇంకా, కుడి మేనమామలు మరియు అత్తమామల గురించి పెద్దగా తెలియదు, అయితే అతని మేనల్లుళ్ళు మరియు మేనకోడళ్ళు అతని ప్రారంభ జీవితంలో గుర్తించదగిన సంఘటనలలో గుర్తించబడలేదు.
"
"Moving on to Cantwell's extended family, he has an uncle called Kevin Owen, from Fakenham while not much is known about his aunts, nieces, and nephews.
","టాడ్ కాంట్వెల్ బంధువుల గురించిః కాంట్వెల్ యొక్క విస్తరించిన కుటుంబానికి వెళుతున్నప్పుడు, అతనికి ఫకెన్హామ్ నుండి కెవిన్ ఓవెన్ అనే మామ ఉన్నారు, అయితే అతని అత్తమామలు, మేనకోడళ్ళు మరియు మేనల్లుళ్ళు గురించి పెద్దగా తెలియదు.
"
"My niece and her husband work there.
","అక్కడ ఆమె భర్త, అతని తమ్ముడు పని చేస్తుంటారు.
"
"My niece lives there with her husband and 18 month old daughter.
",". తన భర్త, 18 నెలల కూతురితో కలిసి జీవనం కొనసాగిస్తోంది.
"
"My nieces weren't overly impressed with the relics of my childhood and were back downstairs and lost in cell phone games in no time.
","నా మేనకోడళ్ళు నా చిన్ననాటి యొక్క శేషాలను తో అతిగా ఆకట్టుకున్నాయి కాదు మెట్ల తిరిగి మరియు ఏ సమయంలో సెల్ ఫోన్ గేమ్స్ లో కోల్పోయింది.
"
"My sister and niece, me and my son, my parents, my brother and everyone - we're all in one house again.
","అమ్మానాన్న, మా నానమ్మ, తాతయ్య, నేను, తమ్ముడు. . . మేమంతా ఒకే ఇంట్లో ఉంటాం.
"
"Of course, there are thousands of towns, large and small, that I could have listed, and no matter where you go, you may still encounter the niece of the proprietor who spent her summer in London and wants to practice her English.
","వాస్తవానికి, పెద్ద మరియు చిన్న పట్టణాలు వేల సంఖ్యలో ఉన్నాయి, నేను జాబితా చేయగలిగాను మరియు మీరు ఎక్కడికి వెళ్ళాలో ఉన్నా, ఇప్పటికీ లండన్లోని తన వేసవిని గడిపిన మరియు తన ఇంగ్లీష్ను అభ్యసించాలని కోరుకునే యజమాని యొక్క మేనకోడిని మీరు ఎదుర్కోవచ్చు.
"
"Out of the total 145 nomination papers received, as many as 73, including those of Jayalalithaa's niece Deepa Jayakumar and actor Vishal Krishna's, had been rejected.
","మొత్తం 145 నామినేషన్లలో విశాల్ కృష్ణ, దీపా జయకుమార్ సహా 73 మంది నామినేషన్లు తిరస్కరణకు గురయ్యాయి.
"
"Regarding Buendia's larger family tree, his paternal and maternal grandparents are one of football's unravelled mysteries while there are no available records of his uncles, aunts, nieces and nephews.
","ఎమి బ్యూండియా బంధువుల గురించిః బ్యూండియా యొక్క పెద్ద కుటుంబ వృక్షానికి సంబంధించి, అతని తల్లితండ్రులు మరియు తల్లితండ్రులు ఫుట్బాల్ యొక్క బయటపడని రహస్యాలలో ఒకటి, అయితే అతని మేనమామలు, అత్తమామలు, మేనకోడళ్ళు మరియు మేనల్లుళ్ల గురించి రికార్డులు అందుబాటులో లేవు.
"
"Regarding Federico Chiesa's Family ancestry, there are no records of his maternal and paternal grandparents, while his uncles, aunts, nephews and nieces are largely unknown at the time of writing this biography.
","ఫెడెరికో చిసా యొక్క కుటుంబ వంశానికి సంబంధించి, అతని తల్లి మరియు తల్లితండ్రుల గురించి ఎటువంటి రికార్డులు లేవు, అయితే ఈ జీవిత చరిత్ర రాసే సమయంలో అతని మేనమామలు, అత్తమామలు, మేనల్లుళ్ళు మరియు మేనకోడళ్ళు ఎక్కువగా తెలియదు.
"
"Regarding the defender's extended family life and ancestry, not much is known about his maternal and paternal grandparents while his uncles, aunts, nephews and nieces are yet to be identified at the time of writing this biography.
","డిఫెండర్ యొక్క విస్తరించిన కుటుంబ జీవితం మరియు వంశపారంపర్యంగా, అతని మాతృ మరియు పితృ తాతల గురించి పెద్దగా తెలియదు, అయితే ఈ జీవిత చరిత్ర రాసే సమయంలో అతని మామలు, అత్తమామలు, మేనల్లుళ్ళు మరియు మేనకోడళ్ళు ఇంకా గుర్తించబడలేదు.
"
"Ring bearers are often nephews or young brothers (although they can also be nieces or sisters) and are generally in the same age range as flower girls, which is to say that they are no younger than about 5 nor older than 10.
","రింగ్ బేరర్లు తరచుగా మేనల్లుళ్ళు లేదా యువ సోదరులై ఉంటారు (వారు మేనకోడళ్ళు లేదా చెల్లెళ్ళు అయినా కావచ్చు) మరియు సాధారణంగా సుమ బాలలతో సమ వయస్కులై ఉంటారు, దానర్ధం వారు 5సంవత్సరాల కంటే తక్కువ వయసుతో గానీ 10సంవత్సరాల కంటే ఎక్కువ వయసుతో గానీ ఉండరు.
"
"She eventually went to the wonderful word of god and prayed about it and prayed and finally she got her answer and I now 2 nieces and a great god fearing brother-in-law !!
","చివరకు ఆమె దేవుని అద్భుతమైన పదం వెళ్లి దాని గురించి ప్రార్ధించినచో మరియు ప్రార్ధించినచో మరియు చివరకు ఆమె ఇప్పుడు ఆమె సమాధానం మరియు నేను వచ్చింది 2 మేనకోడళ్ళు మరియు ఒక గొప్ప దేవుడు సోదరుడు లో చట్టం fearing!
"
"She eventually went to the wonderful word of god and prayed about it and prayed and finally she got her answer and I now 2 nieces and a great god fearing brother-in-law!!
","చివరకు ఆమె దేవుని అద్భుతమైన పదం వెళ్లి దాని గురించి ప్రార్ధించినచో మరియు ప్రార్ధించినచో మరియు చివరకు ఆమె ఇప్పుడు ఆమె సమాధానం మరియు నేను వచ్చింది 2 మేనకోడళ్ళు మరియు ఒక గొప్ప దేవుడు సోదరుడు లో చట్టం fearing!
"
"She has been one of is own siblings, or she could have been a child of Abel or Seth, which will have made her a niece.
","ఆమె తన సోదరీమణులలో ఒకరిగా ఉండేది, లేదా ఆమె అబెల్ లేదా సేథ్ కుమార్తె అయి ఉండవచ్చు, ఆమె తన మేనకోడలను చేసింది.
"
"She has been one of is own siblings, or she has been a child of Abel or Seth, which may have made her a niece.
","ఆమె తన సోదరీమణులలో ఒకరిగా ఉండేది, లేదా ఆమె అబెల్ లేదా సేథ్ కుమార్తె అయి ఉండవచ్చు, ఆమె తన మేనకోడలను చేసింది.
"
"She has been one of is own true siblings, or she may have been a child of Abel or Seth, which might have made her a niece.
","ఆమె తన సోదరీమణులలో ఒకరిగా ఉండేది, లేదా ఆమె అబెల్ లేదా సేథ్ కుమార్తె అయి ఉండవచ్చు, ఆమె తన మేనకోడలను చేసింది.
"
"She hired assistants to care for her niece, and moved to Boston to be near her doctors.
","ఆమె తన మేనకోడలను చూసుకోవడానికి సహాయకులను నియమించుకుంది, ఆమె వైద్యులు సమీపంలో ఉండటానికి బోస్టన్కు వెళ్లారు.
"
"She is the niece of actress Padmini Kolhapure.
","చెల్లెలు పద్మిని కొల్హాపురి నటి.
"
"She might have been one of is own siblings, or she has been a child of Abel or Seth, which may have made her a niece.
","ఆమె తన సోదరీమణులలో ఒకరిగా ఉండేది, లేదా ఆమె అబెల్ లేదా సేథ్ కుమార్తె అయి ఉండవచ్చు, ఆమె తన మేనకోడలను చేసింది.
"
"She might have been one of is own siblings, or she has been a daughter of Abel or Seth, which will have made her a niece.
","ఆమె తన సోదరీమణులలో ఒకరిగా ఉండేది, లేదా ఆమె అబెల్ లేదా సేథ్ కుమార్తె అయి ఉండవచ్చు, ఆమె తన మేనకోడలను చేసింది.
"
"She might have been one of is own siblings, or she might have been a child of Abel or Seth, which may have made her a niece.
","ఆమె తన సోదరీమణులలో ఒకరిగా ఉండేది, లేదా ఆమె అబెల్ లేదా సేథ్ కుమార్తె అయి ఉండవచ్చు, ఆమె తన మేనకోడలను చేసింది.
"
"She might have been one of is own siblings, or she might have been a child of Abel or Seth, which will have made her a niece.
","ఆమె తన సోదరీమణులలో ఒకరిగా ఉండేది, లేదా ఆమె అబెల్ లేదా సేథ్ కుమార్తె అయి ఉండవచ్చు, ఆమె తన మేనకోడలను చేసింది.
"
"She might have been one of is own siblings, or she might have been a daughter of Abel or Seth, which may have made her a niece.
","ఆమె తన సోదరీమణులలో ఒకరిగా ఉండేది, లేదా ఆమె అబెల్ లేదా సేథ్ కుమార్తె అయి ఉండవచ్చు, ఆమె తన మేనకోడలను చేసింది.
"
"She talks with her niece on the phone every day.
","బావతో ప్రతి రోజూ ఆమె ఫోన్ లో మాట్లాడేది.
"
"She's been one of his real true siblings, or she could have been a daughter of Abel or Seth, which might have made her a niece.
","ఆమె తన సోదరీమణులలో ఒకరిగా ఉండేది, లేదా ఆమె అబెల్ లేదా సేథ్ కుమార్తె అయి ఉండవచ్చు, ఆమె తన మేనకోడలను చేసింది.
"
"She's got been one of is own true siblings, or she may have been a child of Abel or Seth, that might have made her a niece.
","ఆమె తన సోదరీమణులలో ఒకరిగా ఉండేది, లేదా ఆమె అబెల్ లేదా సేథ్ కుమార్తె అయి ఉండవచ్చు, ఆమె తన మేనకోడలను చేసింది.
"
"Similarly, Fernandes uncles, aunts, nephews and nieces have not been identified in notable events of his childhood story till date.
","అదేవిధంగా, ఫెర్నాండెజ్ పినతండ్రులు, అత్తమామలు, మేనళ్ళు మరియు మేనళ్ళు లను గుర్తించలేదు, ఇప్పటి వరకు అతని బాల్య కథలో గుర్తించదగిన ఘటనలలో గుర్తించబడలేదు.
"
"Similarly, not much is known about Zouma's uncles, aunts, nephews and nieces while his cousins have not been identified in notable events of his early life to date.
","అదేవిధంగా, జౌమా యొక్క మేనమామలు, అత్తమామలు, మేనల్లుళ్ళు మరియు మేనకోడళ్ళు గురించి పెద్దగా తెలియదు, అయితే అతని దాయాదులు అతని ప్రారంభ జీవితంలో గుర్తించదగిన సంఘటనలలో గుర్తించబడలేదు.
"
"Similarly, there are no records of Tielemans' uncles, aunts, nieces and nephews while his cousins have not been identified in notable events of his early life till date.
","అదేవిధంగా, టైలెమాన్ల పినతండ్రులు, అత్తమామలు, మేనళ్ళు మరియు మేనళ్లల రికార్డులు ఏవీ లేవు, అతని బంధువు తేదీ వరకు అతని ప్రారంభ జీవితం యొక్క గుర్తించదగిన సంఘటనలలో గుర్తించబడలేదు.
"
"Similarly, there are no records of Tielemans' uncles, aunts, nieces and nephews while his cousins have not been identified in notable events of his early life to date.
","అదేవిధంగా, టైలెమాన్ల పినతండ్రులు, అత్తమామలు, మేనళ్ళు మరియు మేనళ్లల రికార్డులు ఏవీ లేవు, అతని బంధువు తేదీ వరకు అతని ప్రారంభ జీవితం యొక్క గుర్తించదగిన సంఘటనలలో గుర్తించబడలేదు.
"
"Similarly, there are no records of his aunts, uncles, nieces and nephews while his cousins have not been identified in notable events of his early life till date.
","అదేవిధంగా, టైలెమాన్ల పినతండ్రులు, అత్తమామలు, మేనళ్ళు మరియు మేనళ్లల రికార్డులు ఏవీ లేవు, అతని బంధువు తేదీ వరకు అతని ప్రారంభ జీవితం యొక్క గుర్తించదగిన సంఘటనలలో గుర్తించబడలేదు.
"
"Similarly, there is not much about the forward's ancestry and family roots, particularly the identities of his maternal and paternal grandparents while his aunts, uncles, nephews and nieces are yet to be identified at the time of writing this bio.
","అదేవిధంగా, ఫార్వర్డ్ యొక్క వంశపారంపర్యత మరియు కుటుంబ మూలాల గురించి పెద్దగా తెలియదు, ముఖ్యంగా అతని తల్లి మరియు తల్లితండ్రుల గుర్తింపులు, అయితే ఈ బయో రాసే సమయంలో అతని అత్తమామలు, మేనమామలు, మేనల్లుళ్ళు మరియు మేనకోడళ్ళు ఇంకా గుర్తించబడలేదు.
"
"Similarly, there is not much known about Jones's family roots or ancestry, particularly his maternal and paternal grandparents while Jones Uncles, aunts, cousins, nephews and nieces are yet to be identified at the time of writing this biography.
","అదేవిధంగా, జోన్స్ కుటుంబ మూలాలు లేదా పూర్వీకుల గురించి పెద్దగా తెలియదు, ముఖ్యంగా అతని తల్లి మరియు తల్లితండ్రులు, జోన్స్ మామలు, అత్తమామలు, దాయాదులు, మేనల్లుళ్ళు మరియు మేనకోడళ్ళు ఈ జీవిత చరిత్ర రాసే సమయంలో ఇంకా గుర్తించబడలేదు.
"
"The first known interaction between the two provinces came in 640 A.D. , when the Tibetan King Songtsan Gampo married the Princess Wencheng, a niece of the Tang Emperor Taizong.
","ఈ రెండు రాష్ట్రాల్లోని మొట్టమొదటి పరస్పర సంబంధాలు 640 AD లో వచ్చాయి, టిబెటన్ కింగ్ సాంగ్త్సన్ కంబో టాంగ్ చక్రవర్తి టైజోంగ్ యొక్క మేనకోడలి ప్రిన్సెస్ వెన్చెంగ్ను వివాహం చేసుకున్నప్పుడు.
"
"The first known interaction between the two states came in 640 A.D., when the Tibetan King Songtsan Gampo married the Princess Wencheng, a niece of the Tang Emperor Taizong.
","ఈ రెండు రాష్ట్రాల్లోని మొట్టమొదటి పరస్పర సంబంధాలు 640 AD లో వచ్చాయి, టిబెటన్ కింగ్ సాంగ్త్సన్ కంబో టాంగ్ చక్రవర్తి టైజోంగ్ యొక్క మేనకోడలి ప్రిన్సెస్ వెన్చెంగ్ను వివాహం చేసుకున్నప్పుడు.
"
"The incident occurred after Vikram Joshi had filed a complaint in the local police station a week ago against people who were harassing his niece.
","తన మేనకోడలిని కొందరు వ్యక్తులు వేధిస్తున్నారంటూ విక్రమ్ జోషి విజయ్నగర్ పోలీస్స్టేషన్లో ఫిర్యాదు చేసిన కొద్ది రోజుల తర్వాత సోమవారం ఈ ఘటన చోటు చేసుకుంది.
"
"The incident occurred on Monday, days after Joshi had filed a complaint with Vijay Nagar Police Station stating that some men were harassing his niece.
","తన మేనకోడలిని కొందరు వ్యక్తులు వేధిస్తున్నారంటూ విక్రమ్ జోషి విజయ్నగర్ పోలీస్స్టేషన్లో ఫిర్యాదు చేసిన కొద్ది రోజుల తర్వాత సోమవారం ఈ ఘటన చోటు చేసుకుంది.
"
