eng_text,tgt_lang,tgt_lang_text,eng_reln,gemma_3_12b
"Along with Tyagi, his cousin Sanjiv alias Julie Tyagi and lawyer Gautam Khaitan were also arrested.
",mal_Mlym,"ത്യാഗിയുടെ സഹോദരന്‍ ജൂലി ത്യാഗി, അഭിഭാഷകന്‍ ഗൗതം ഖൈതാന്‍ എന്നിവരും അറസ്റ്റിലായിരുന്നു.
",cousin,B
"Shaju is the cousin brother of Roy Thomas, Jolly's first husband.
",mal_Mlym,"ജോളിയുടെ ആദ്യ ഭർത്താവ് റോയിയുടെ പിതൃസഹോദര പുത്രനാണ് ഷാജു.
",cousin,B
"Police have filed a case against the girl's father and cousin and arrested them.
",mal_Mlym,"ഹൈസ്കൂള്‍ വിദ്യാര്‍ത്ഥിനിയായ പെണ്‍കുട്ടിയെ പീഡിപ്പിച്ച കേസുമായി ബന്ധപ്പെട്ട് കുട്ടിയുടെ പിതാവ്, അമ്മാവന്‍ എന്നിവരെ പൊലീസ് അറസ്റ്റ് ചെയ്തു
",cousin,B
"Police arrested four people, including a cousin sister of the abducted child, in connection with the kidnapping.
",mal_Mlym,"പ്രായപൂര്‍ത്തിയാകാത്ത പെണ്‍കുട്ടിയെ പീഡിപ്പിച്ച്‌ ഗര്‍ഭിണിയാക്കിയ സംഭവത്തില്‍ പ്രായപൂര്‍ത്തിയാകാത്ത സഹോദരനുള്‍പ്പടെ നാലുപേരെ പൊലീസ് അറസ്റ്റ് ചെയ്തു.
",cousin,B
"They also have cousins named Design and Research.
",mal_Mlym,"അവര്‍ക്ക് ഡിസൈന്‍, റിസര്‍ച്ച് എന്ന പേരിലുള്ള കസിന്‍സുമുണ്ട്.
",cousin,B
"Sunny's younger brother Bobby Deol and cousin Abhay Deol too are actors.
",mal_Mlym,"പ്രമുഖ നടന്മാരായ സണ്ണി ഡിയോൾ , ബോബി ഡിയോൾ എന്നിവർ സഹോദരന്മാരാണ്.
",cousin,B
"At the same time, the RSS mouthpiece Organiser carried an interview with Shah’s cousin, Syed Rizwan Ahmad.
",mal_Mlym,"അതേസമയം, ആര്‍. എസ്. എസ് മുഖപത്രം ഓര്‍ഗനൈസര്‍ ഷായുടെ കസിന്‍ സെയ്ദ് റിസ്‌വാന്‍ അഹമ്മദിന്റെ ഒരു അഭിമുഖം പ്രസിദ്ധീകരിച്ചു.
",cousin,B
"” Those convicted were Asha’s parents, Suraj and Maya, uncle Om Prakash, his wife Khushboo and Asha’s cousin Sanjeev.
",mal_Mlym,"ആഷയുടെ മാതാപിതാക്കളായ സൂരജ്‌, മായ, അമ്മാവന്‍ ഓം പ്രകാശ്‌, അമ്മായി ഖുശ്ബൂ, സഹോദരന്‍ സഞ്ജീവ്‌ എന്നിവര്‍ക്കാണു വധശിക്ഷ .
",cousin,B
"Chandigarh: The Punjab and Haryana High Court has ordered that marriage between first cousins is unlawful.
",mal_Mlym,"ചണ്ഡീഗഡ്: സഹോദരങ്ങളുടെ മക്കൾ തമ്മിലുള്ള വിവാഹം നിയമവിരുദ്ധമാണെന്ന് പഞ്ചാബ് ഹരിയാന ഹൈക്കോടതി.
",cousin,B
"He had gone home to attend a cousin’s wedding.
",mal_Mlym,"ഒരു വിവാഹ ആഘോഷത്തിൽ പങ്കെടുക്കുന്നതിനായാണ് ഇദ്ദേഹം നാട്ടിലേക്ക് എത്തിയത്.
",cousin,B
"He was in a relationship with his wife’s cousin.
",mal_Mlym,"ഇയാള്‍ക്ക് ഒരു സുഹൃത്തിന്റെ ഭാര്യയുമായി രഹസ്യബന്ധമുണ്ടായിരുന്നു.
",cousin,B
"The girl's cousin lodged a police complaint alleging that his sister has been murdered.
",mal_Mlym,"പീഡനത്തിനിരയായ പെൺകുട്ടിയുടെ സഹോദരിയാണ്​ പൊലീസിൽ പരാതി നൽകിയത്​.
",cousin,B
"The mother of the girls had informed the police that her cousin had sexually abused the girl.
",mal_Mlym,"കുട്ടിയെ അമ്മ മർദ്ദിക്കാറുണ്ടെന്ന് കുട്ടിയുടെ അച്ഛന്റെ അമ്മ പൊലീസിന് മൊഴി നൽകി.
",cousin,B
"While my cousin and I were discussing at length about how some parents and teachers still have not understood the gravity of the pandemic or the new world order, she did subtly warn me of the shock I might be in if I sit through Abhi’s class that day.
",mal_Mlym,"എന്നാല്‍, ഇപ്പോഴും കോവിഡ് മഹാമാരിയുടെ ഗൗരവവും അത് സൃഷ്ടിച്ചെടുത്ത പുതിയ ലോകക്രമവുമെന്തെന്ന് ചില രക്ഷിതാക്കളും അധ്യാപകരും മനസ്സിലാക്കിയിട്ടില്ലെന്നതിനെക്കുറിച്ചുള്ള പൊരിഞ്ഞ ചര്‍ച്ചകളില്‍ ഞാനും അഭിയുടെ അമ്മയും മുഴുകിയിരിക്കേ ഒറ്റദിവസം അഭിയുടെ ഓണ്‍ലൈന്‍ ക്ലാസ് കണ്ടിരുന്നാല്‍ എനിക്കുണ്ടാകാന്‍ പോകുന്ന ഞെട്ടലിനെക്കുറിച്ച് അവളൊരു സൂചന തന്നു.
",cousin,B
"His cousin then called the police.
",mal_Mlym,"തുടര്‍ന്ന്‌ ഭര്‍ത്താവ്‌ പോലീസിനെ വിളിച്ചുവരുത്തി.
",cousin,B
"Ather 450X is the sportier cousin of 450 electric scooter and comes with a plethora of new features.
",mal_Mlym,"450 സ്കൂട്ടറിന്റെ പിൻ‌ഗാമിയായ 450X ഇലക്ട്രിക് സ്കൂട്ടർ അടുത്തിടെയാണ് ഏഥർ വിപണിയിൽ എത്തിച്ചത്.
",cousin,B
"Young man arrested for cousin’s murder
",mal_Mlym,"യുവാവ് കുത്തേറ്റു മരിച്ച സംഭവം: സഹോദരന്‍ അറസ്റ്റില്‍
",cousin,B
"Young cousins killed in bike-tipper lorry collision in Kozhikode
",mal_Mlym,"കൊയിലാണ്ടിയില്‍ ബൈക്ക് ടാങ്കറിലിടിച്ച് സഹോദരങ്ങള്‍ മരിച്ചു
",cousin,B
"The messages claimed that Rupali had got married according to her wishes and that her younger sister, two cousins and her mother were with her, and were safe.
",mal_Mlym,"രൂപാലി സ്വന്തം ആഗ്രഹപ്രകാരം വിവാഹം കഴിച്ചുവെന്നും അനുജത്തിയും രണ്ട് കസിന്‍സും അമ്മയും അവര്‍ക്കൊപ്പമുണ്ടെന്നും സുരക്ഷിതരാണെന്നും സന്ദേശങ്ങളില്‍ അവകാശപ്പെട്ടിരുന്നു.
",cousin,B
"Brothers arrested for killing cousin
",mal_Mlym,"സ്വത്ത് തര്‍ക്കത്തെ തുടര്‍ന്ന് യുവതിയെ കൊലപ്പെടുത്തിയ സഹോദരന്‍മാര്‍ അറസ്റ്റില്‍
",cousin,B
"She alleged that her father, two uncles and a cousin assaulted and mentally harassed her mother, two siblings and herself.
",mal_Mlym,"അച്ഛനും രണ്ട് അമ്മാവന്മാരും ഒരു കസിനും അമ്മയെയും രണ്ട് സഹോദരങ്ങളെയും തന്നെയും മാനസികമായി ഉപദ്രവിച്ചിരുന്നുവെന്ന് അവള്‍ ആരോപിച്ചു.
",cousin,B
"His cousin and Ajit Pawar’s son Parth is contesting the Lok Sabha elections from Maval constituency in Pune district.
",mal_Mlym,"ലോക്‌സഭാ തെരഞ്ഞെടുപ്പില്‍ അജിത് പവാറിന്റെ മകന്‍ പാര്‍ത്ഥ് പവാറാണ് മാവല്‍ മണ്ഡലത്തില്‍ മത്സരിച്ചിരുന്നത്. എന്‍. സി. പിയുടെ പൊതുയോഗങ്ങളില്‍ കാവിക്കൊടിയും ഉപയോഗിക്കാനുള്ള അജിത് പവാറിന്റെ തീരുമാനത്തെ ശരദ് പവാര്‍ എതിര്‍ത്തിരുന്നു.
",cousin,X
"Jaipur: In a shocking case, a four-year-old girl was allegedly molested by her 16-year-old cousin in Jaipur in Rajasthan.
",mal_Mlym,"ജയ്പുര്‍: രാജസ്ഥാനിലെ ആല്‍വാറില്‍ 16 വയസ്സുകാരിയെ തട്ടിക്കൊണ്ടുപോയി ബലാത്സംഗം ചെയ്തു.
",cousin,X
"ALL my cousins were there!
",mal_Mlym,"എന്‍റെ എല്ലാ കാര്‍ട്ടൂണ്‍കൂട്ടുകാരും ഉണ്ടായിരുന്നവിടെ!
",cousin,X
"“This is my cousin.
",mal_Mlym,"” ആണെന്റെ ആന്റി.
",cousin,X
"“I am your cousin.
",mal_Mlym,"“ഞാന്‍ നിങ്ങളുടെ വിനീത ഭൃത്യയാണ്.
",cousin,X
"Chandigarh: The Punjab and Haryana High Court has ordered that marriage between first cousins is unlawful.
",mal_Mlym,"ചണ്ഡിഗഡ്-സഹോദരങ്ങളുടെ മക്കള്‍ തമ്മില്‍ വിവാഹിതരാകുന്നത് നിയമവിരുദ്ധമാണെന്ന് പഞ്ചാബ് -ഹരിയാന ഹൈക്കോടതി.
",cousin,B
"Police have filed a case against the girl's father and cousin and arrested them.
",mal_Mlym,"കുട്ടിയുടെയും അമ്മയുടെയുംമൊഴിയുടെ അടിസ്ഥാനത്തിലാണ് മുത്തശ്ശനും മുത്തശ്ശിക്കുമെതിരെ പോലീസ് കേസെടുത്തത്.
",cousin,X
"But at the end, my cousin won.
",mal_Mlym,"പക്ഷേ, അവസാനം വല്യേച്ചി തന്നെ ജയിച്ചു….
",cousin,X
"Varun Gandhi, cousin of Rahul Gandhi, is at present a Bharatiya Janata Party Lok Sabha member from Sultanpur in Uttar Pradesh.
",mal_Mlym,"ഉത്തര്‍പ്രദേശിലെ പിലിഭിത്തില്‍ നിന്നുള്ള ലോക്സഭ അംഗമാണ് വരുണ്‍ ഗാന്ധി.
",cousin,X
"Ajit Pawar threatens to cut off water supply if villagers don't vote for cousin Supriya Sule
",mal_Mlym,"സുപ്രിയ സുലേക്ക് വോട്ട് ചെയ്തില്ലെങ്കില്‍ ജലവിതരണം തടസപ്പെടുത്തുമെന്ന് അജിത് പവാര്‍ ഭീഷണിപ്പെടുത്തിയെന്നാണ് ആരോപണം.
",cousin,X
"Meera, Priyanka and Parineeti Chopra is paternal cousins.
",mal_Mlym,"പിങ്കി , പ്രീതി , പ്രിയങ്ക എന്നിവര്‍ സഹോദരങ്ങള്‍ ആണ്.
",cousin,B
"Teenager arrested for raping cousin
",mal_Mlym,"സഹോദരിയെ ബലാത്സംഗം ചെയ്ത യുവാവ് പിടിയില്‍
",cousin,X
"Because his baby is my son’s cousin.
",mal_Mlym,"കാരണം അവൻ എന്റെ മകനാണ്.
",cousin,X
"Youth arrested for killing minor cousin
",mal_Mlym,"പള്ളിക്കലിൽ ഭാര്യാസഹോദരിയെ മർദിച്ച യുവാവ് അറസ്റ്റിൽ
",cousin,M
"And my cousin too.
",mal_Mlym,"ഒപ്പം എന്റെ കാമറമാന്‍ ബിജീഷിനേയും.
",cousin,X
"The poor cousin
",mal_Mlym,"പാവം അനിത.
",cousin,X
"22-year-old man arrested for raping and murdering minor cousin in Ghaziabad
",mal_Mlym,"ഗാസിയബാദിൽ 22കാരിയെ യുവാവ് വെട്ടികൊലപ്പെടുത്തി
",cousin,X
