eng_Latn,hin_Deva
"Students who do not have a brother or a student with twin daughters or niece can apply for this scholarship program.
","वे छात्राएं, जिनके भाई ना हों या जो जुड़वां बेटियां या फ्रैटरनल बेटियां हों, इस छात्रवृत्ति योजना के लिए आवेदन कर सकती हैं।
"
"The first social group we all have is our family... so strengthen relationships with brothers, sisters, children, nephews, nieces, and cousins.
","""""""पहला सामाजिक समूह जो हम सभी के पास है, वह हमारा परिवार है... इसलिए भाइयों, बहनों, बच्चों, भतीजों, भतीजों और चचेरे भाइयों के साथ संबंधों को मजबूत करें।""
"
"Your niece is still in my prayers.
","मेरी इबादत में तेरा ज़िक्र अब भी है।
"
"niece of the artist.
","कलाकार की चाची।
"
"who is the niece of A?
","A का पुत्र कौन है ?
"
"• My mother asked my grandfather to sign a trust leaving millions of dollars for two nieces, alienating others.
","• मेरी माँ ने मेरे दादाजी से दो पोते-पोतियों के लिए लाखों डॉलर छोड़ कर एक ट्रस्ट पर हस्ताक्षर करवाए थे, बाकी सभी को त्याग दिया
"
"Among the dead were one of her children and three nieces.
","मरने वालों में एक व्यक्ति और उसके तीन पोते शामिल हैं।
"
"And I am not saying that JUST because she's my niece!
","मैं यह इसलिए नहीं कह रही हूं कि वह मेरी बहन है।
"
"I have wonderful relationships with my nieces and nephews.
","अपने भतीजे-भतीजियों और भांजों-भांजियों के साथ मेरे बहुत ही अच्छे रिश्ते रहे हैं।
"
"Bollywood actress Sara Ali Khan’s aunt Saba Ali Khan recently shared a childhood photo of her niece on Instagram.
","बॉलीवुड अभिनेत्री सारा अली खान ने हाल ही में अपनी दादी शर्मिला टैगोर को लेकर बातें शेयर की हैं।
"
"Aamir Khan along with his wife Kiran Rao, son Azad Rao Khan and daughter Ira Khan attended his niece Zayn. . . . .
","बीते रोज आमिर खान पत्नी किरण राव, बेटे आजाद, बेटी इरा और ऑनस्क्रीन बेटी फातिमा सना शेख के साथ स्पॉट हुए।
"
"Married sons would live with their parents, brothers, unmarried sisters, uncles, aunts, cousins, nephews, nieces, and grandparents.
","पितृ-स्थानीय में माता-पिता, दादी, चाचा, ताऊ, उनके परिवार, भाई, चचेरे भाई, विवाहित, अविवाहित पुत्र आदि साथ-साथ रहते हैं।
"
"Priyanka Chopra shared adorable photos with her niece, Krishna Sky, on social media recently.
","हाल ही में प्रियंका चोपड़ा ने सोशल मीडिया पर कुछ तस्वीरें शेयर की हैं.
"
"Besides, I do have a niece.
","इसके अलावा मेरी बेटी हैं।
"
"And I'm not just saying this because she's my niece.
","मैं यह इसलिए नहीं कह रही हूं कि वह मेरी बहन है।
"
"Priyanka Chopra shared adorable photos with her niece, Krishna Sky, on social media recently.
","हाल ही में प्रियंका चोपड़ा ने करवाचौथ का त्योहार मनाया और इसकी तस्वीरें अपने इंस्टाग्राम पर शेयर की।
"
"Actresses Karisma Kapoor and Kareena Kapoor are his nieces.
","करिश्मा कपूर और करीना कपूर इनकी भतीजियां हैं.
"
"“Sushil Modi’s sister Rekha Modi and niece Urvashi Modi received crores of rupees from Srijan scam,” Yadav has alleged.
","तेजस्वी ने आरोप लगाया कि सुशील मोदी की बहन रेखा मोदी की संलिप्तता हजारों करोड़ों रुपये के सृजन घोटाले में भी है.
"
"Recently, Kareena Kapoor Khan attended a Diwali party with sister Karisma Kapoor niece Samiera Kapoor and BFF Amrita Arora.
","कुछ समय बाद कैटरीना कैफ भी वहां आई और पार्टी में रणबीर कपूर की एक्स गर्लफ्रेंड दीपिका और वर्तमान गर्लफ्रेंड कैटरीना का आमना सामना हो गया।
"
"Meezaan is actor Jaaved Jaaferi's son and is going to make his Bollywood debut with Sanjay Leela Bhansali's niece Sharmin Segal.
","जावेद जाफरी के बेटे मीजान जाफरी बॉलीवुड के सबसे नामी डायरेक्टर में से एक संजय लीला भंसाली की फिल्म से डेब्यू कर रहे हैं.
"
"Bollywood actress Sara Ali Khan’s aunt Saba Ali Khan recently shared a childhood photo of her niece on Instagram.
","Sara Ali Khan Photo: बॉलीवुड एक्ट्रेस सारा अली खान ने अपनी बचपन की फोटो शेयर की है।
"
"A beautiful picture has been shared on Instagram in which Salman can be seen posing with his siblings Arbaaz Khan, Sohail Khan, Arpita, Alvira Agnihotri, Atul Agnihotri, Aayush and his niece Alizeh.
","सलमान खान की अपने परिवार के साथ छुट्टियां मनाते तस्वीर वायरल हो रही है जिसमें सलमान खान अपनी बहन अलवीरा, अर्पिता, भाई अरबाज खान, सोहेल और अतुल अग्निहोत्री के साथ नजर आ रहे हैं।
"
"Sayesha Saigal, who is the grand niece of Dilip Kumar and Saira Banu will play the female lead in the film.
","अजय की इस फिल्म में दिलीप कुमार व सायरा बानो की नातिन सायेशा सहगल लीड रोल में नजर आएंगी।
"
"Salman is extremely close to his nephew Ahil and niece Ayat.
","सलमान अपने भांजे आहिल से है बेहद करीब
"
"Congrats to your niece and your whole family.
","आपको और आपके पूरे परिवार को भाईदूज की शुभकामनायें
"
"Between us, we have two nieces and four nephews.
","हम लोग चार भाई और दो बहन हैं।
"
"His mother was Hajjaj bin Yusuf Thaqfi's niece and Mohammad bin Yusufs daughter.
","मोहम्मद बिन कासिम बगदाद के सूबेदार हज्जाज बिन यूसुफ का भतीजा और दामाद था।
"
"Abhishek’s niece Navya Naveli Nanda had also shared a picture from the same day on her Instagram.
","अमिताभ बच्चन की नातिन नव्या नवेली नंदा ने भी दिवाली के मौके पर इंस्टाग्राम पर फोटोज शेयर की है।
"
"Priyanka Chopra shared adorable photos with her niece, Krishna Sky, on social media recently.
","हाल ही में परिणीति चोपड़ा ने भी अपनी बहन प्रियंका की शादी की ऐसी ही कुछ अनदेखी तस्वीरों को सोशल मीडिया पर शेयर किया है।
"
"And I'm not saying that just because she's my niece.
","मैं यह इसलिए नहीं कह रही हूं कि वह मेरी बहन है।
"
"Actresses Karisma Kapoor and Kareena Kapoor are his nieces.
","करिश्मा कपूर और करीना कपूर टॉप एक्ट्रेसेस में से एक है.
"
"Recently, Kareena Kapoor Khan attended a Diwali party with sister Karisma Kapoor niece Samiera Kapoor and BFF Amrita Arora.
","कैटरीना कैफ हाल में भी सलमान खान की बहन अलवीरा खान के साथ डिनर पर स्पॉट हुई थीं।
"
"My niece is there.
","मेरा बतन वहीं है॥
"
"Aamir Khan along with his wife Kiran Rao, son Azad Rao Khan and daughter Ira Khan attended his niece Zayn. . . . .
","गेटवे ऑफ इंडिया के बाहर दिखे आमिर खान, उनकी बेटी ईरा खान, बेटे आज़ाद राव खान और पत्नी किरण राव।
"
"Antara is the niece of Anil Ambani's wife Tina Ambani.
","टीनाअंबानीउद्योगपति अनिल अंबानी की पत्नी हैं.
"
"Nawazuddin Siddiqui’s niece has alleged sexual harassment by the actor's younger brother.
","आरोप है कि अभिनेता के छोटे भाई मिनाजुद्दीन सिद्दीकी ने उसकी बेटी को शोषण किया।
"
"Saba Ali Khan shared a picture of her niece Inaaya Naumi Kemmu, the daughter of actors Soha Ali Khan and Kunal Kemmu, on Instagram.
","बॉलीवुड एक्टर कुणाल खेमू और एक्ट्रेस सोहा अली खान की बेटी इनाया नौमी खेमू बेहद प्यारी हैं और अक्सर उसकी तस्वीरें सोहा अपने इंस्टाग्राम अकाउंट पर शेयर करती रहती हैं।
"
"Pandit’s niece and Jawaharlal Nehru’s daughter, Indira Gandhi, was the first woman Prime Minister of the country and her grand-nephew, Rajiv Gandhi, the sixth prime minister of India.
","राजीव गांधी इन्दिरा गांधी के पुत्र,जवाहरलाल नेहरू के पौत्र और भारत के नौवें प्रधानमंत्री थे।
"
"""BJP district president Pradeep Chauhan said, """"Mulayam Singh Yadav himself had praised PM Narendra Modi in Parliament, and if the former's niece is contesting as our party candidate, it means that she also supports the development agenda of the BJP.""
","""वहीं भाजपा के जिलाध्यक्ष प्रदीप चौहान ने कहा, """"मुलायम सिंह यादव ने खुद संसद में प्रधानमंत्री नरेंद्र मोदी की प्रशंसा की थी।""
"
"He has been admitted to Max Hospital in Saket in New Delhi, his niece Manishi Tiwari was quoted by ANI.
","एनडी तिवारी दिल्ली के साकेत स्थित मैक्स अस्पताल में भर्ती थे।
"
"But it's only a niece.
","लेकिन मात्र जुमला है।
"
"Bollywood actress Sara Ali Khan’s aunt Saba Ali Khan recently shared a childhood photo of her niece on Instagram.
","वहीं इस बार सारा की बुआ सबा अली खान ने एक्ट्रेस की बचपन की एक और तस्वीर शेयर की है।
"
"Another niece got married.
","दूसरी बहन का विवाह हो चुका है।
"
"His niece, Alyssa Healy is the wicket-keeper of the Australian women’s cricket team and is married to Australian spearhead Mitchell Starc.
","ऑस्ट्रेलियाई महिला क्रिकेट टीम में एसिला हीली भी हैं, जो मिशेल स्टार्क की पत्नी भी हैं।
"
"Sridevi's brother-in-law Anil Kapoor, niece Sonam Kapoor and step-daughter Anshula Kapoor were at the airport to receive the actor's body amid heavy security.
","मुंबई एयरपोर्ट पर श्रीदेवी की बॉडी रिसीव करने के लिए अनिल कपूर, सोनम कपूर और अनिल अंबानी के अलावा कुछ रिश्तेदार मौजूद हैं.
"
"Saba Ali Khan took to Instagram to share a throwback picture of her niece Sara Ali Khan and actress Amrita Singh.
","बॉलीवुड अभिनेत्री सारा अली खान ने अभिनेता सुशांत सिंह राजपूत को याद कर उनकी एक तस्वीर सोशल मीडिया पर शेयर की है।
"
"Also seen in the photographs were Ranbir’s mother Neetu Kapoor, sister Riddhima Kapoor Sahni and Alia’s niece Samaira.
","इन तस्वीरों में रणबीर कपूर की मां नीतू कपूर, आलिया की बहन शाहीन भट्ट,आलिया और रिद्धिमा कपूर नज़र नज़र आ रहे हैं।
"
"Here, she lives with her brother and niece.
","यहां पर उनकी भाभी व बहने रहती हैं।
"
"Recently, Kareena Kapoor Khan attended a Diwali party with sister Karisma Kapoor niece Samiera Kapoor and BFF Amrita Arora.
","हाल ही में सारा को करीना कपूर की क्रिसमस पार्टी में उनके भाई अब्राहम के साथ देखा गया था।
"
"Bollywood actress Sara Ali Khan’s aunt Saba Ali Khan recently shared a childhood photo of her niece on Instagram.
","बॉलीवुड एक्ट्रेस सारा अली खान ने हाल ही में सोशल मीडिया पर पोस्ट कर अपनी 'फर्स्ट फ्रेंड' को बर्थडे विश किया।
"
"Sushant's sister Shweta Singh Kirti and niece Mallika Singh commented on Ankita's post.
","इसके अलावा सुशांत की बहन श्वेता सिंह कीर्ति की पोस्ट पर अंकिता लोखंडे ने भी कमेंट किया है.
"
"Bollywood actress Sara Ali Khan’s aunt Saba Ali Khan recently shared a childhood photo of her niece on Instagram.
","ऐसे में बॉलीवुड की यंग एक्ट्रेस सारा अली खान ने मां अमृता सिंह और भाई इब्राहिम अली खान के साथ अपनी बचपन के दौरान ली हुई तस्वीर को शेयर किया है.
"
"Ranbir Kapoor and his family, including his mother Neetu Kapoor, sister Riddhima Kapoor Sahni and niece Samara Sahni.
","इसमें रणबीर और उनके परिवार से पिता ऋषि कपूर और मां नीतू कपूर शामिल थे।
"
"Also there was one niece.
","एक बहन भी थी।
"
"After the death of his first wife the husband married his wife’s niece.
","पहली पत्नी की मृत्यु के बाद उन्होंने अपनी पत्नी की छोटी बहन से शादी कर ली।
"
"Among those killed were her mother, father, two brothers, sister-in-law, nephews and nieces, including a two-month-old.
","मृतकों में दूल्हे की चाची, एक चचेरी बहन, मामी, दो ममेरी बहन व रिश्ते की अन्य महिलाएं और बच्चे शामिल हैं।
"
"She is his niece.
","वह उसके कातिल हैं।
"
"” That’s what my niece says.
","""""यह मेरी मोरनी कहती है.
"
"Saba Ali Khan shared a picture from the first birthday of her niece Sara Ali Khan.
","सारा अली खान ने अब्बा सैफ अली खान की बेहद प्यारी तस्वीरों के साथ मनाया फादर्स डे
"
"The SDOP, however, said the woman's two nieces who saw the incident stated that the accused caught hold of her and teased her, but did not confirm that she was raped.
","हालांकि, एडीओपी ने कहा कि महिला की दो भतीजियों, जिन्होंने घटना को देखा, कहा कि आरोपियों ने उसे पकड़ा और छेड़खानी की, लेकिन इस बात की पुष्टि नहीं की कि पीड़िता के साथ रेप हुआ।
"
"She is the niece of US Vice President Kamala Harris.
","उनकी चाची, कमला हैरिस, संयुक्त राज्य अमेरिका की उपराष्ट्रपति हैं।
"
"She is the niece of renowned Bollywood actress and classical dancer, Hema Malini.
","प्रसिद्ध अभिनेत्री और नृत्यांगना हेमा मालिनी बालीवुड की उन गिनी, चुनी अभिनेत्रियों में शामिल हैं।
"
"Jasmin Bhasin shared a photo with Aly Goni’s niece on Instagram.
","अली गोनी ने अपने इंस्टाग्राम एकाउंट पर जैस्मिन भसीन के साथ एक तस्वीर साझा की है।
"
"She is the grand niece of veteran Bollywood actors Dilip Kumar and Saira Banu.
","बता दें कि सायशा बॉलीवुड के दिवंगत अभिनेता दिलीप कुमार और दिग्गज अभिनेत्री सायरा बानो की नातिन हैं।
"
"Talking about their niece, Shamas has told The Times of India, “She is the daughter of our brother who stays in Dehradun.
","‘टाइम्सऑफइंडियाडॉटकॉम’ के मुताबिक, शमास ने ईटी टाइम्स को बताया, , “वह हमारे भाई की बेटी है जो देहरादून में रहते हैं.
"
"He was being looked after by his niece.
","उनकी देखभाल उनका भतीजा किया करता था।
"
"“Even more ridiculous is that fact that my parents’ names have appeared, as have those of my siblings, children, nieces and nephews,” he says.
","वह कहते हैं, ‘सबसे हास्यास्पद बात ये है कि मेरे माता-पिता, मेरे अधिकतर भाई-बहनों, बच्चों, भतीते-भतीजियों के नाम लिस्ट में हैं.
"
"Actor Nawazuddin Siddiqui’s niece has filed a sexual harassment case against his brother.
","बॉलीवुड अभिनेता नवाजुद्दीन सिद्दीकी पर उनके छोटे भाई की पत्नी आफरीन ने दहेज़ उत्पीडन का आरोप लगाते हुए मारपीट करने के आरोप लगाये हैं.
"
"Salman Khan and Varun Dhawan shared on their Instagram profiles, photos with their super cute niece and nephew.
","वरुण धवन और अनुष्का शर्मा ने अपने आधिकारिक ट्विटर अकाउंट पर एक फोटो शेयर की हैं.
"
"Varun Dhawan shared photos from the family celebration for his niece Niyara's birthday.
","नियारा के बर्थडे सेलिब्रेशन की तस्वीरें वरुण ने सोशल मीडिया पर शेयर की हैं.
"
"Sayesha Saigal, grand niece of legendary actor Dilip Kumar and Saira Banu, will be seen making her debut in the film.
","अभिनेता दिलीप कुमार और सायरा बानो की नातिन सायशा सैगल जल्द ही बॉलीवुड में एंट्री करने वाली हैं।
"
"Sushant's sister Shweta Singh Kirti and niece Mallika Singh commented on Ankita's post.
","अंकिता के इस पोस्‍ट पर सुशांत की बहन ने भी कमेंट किया है।
"
"Nawazuddin Siddiqui’s niece alleges sexual assault by his brother
","नवाजुद्दीन सिद्दिकी के भाई शमास पर लगा यौन उत्पीड़न का आरोप
"
"Wishing her niece on her birthday, actress Soha Ali Khan posted on Instagram: “Happy birthday Sara bia!
","अभिनेत्री सारा अली खान ने इस अवसर पर शुभकामनाएँ प्रेषित कीं और लिखा: ""दशहरा की हार्दिक शुभकामनाएँ!
"
"Rajiv's niece, Kareena Kapoor Khan shared a throwback picture of the former with Raj Kapoor, Rishi and Randhir and wrote, ""Broken but strong "" Karisma Kapoor shared a picture of her Chimpu uncle on Instagram stories.
","करीना कपूर खान ने इंस्‍टाग्राम पर राजीव कपूर की एक पुरानी तस्‍वीर शेयर कर लिखा कि टूटे हैं लेकिन मजबूत हैं।
"
"He married his wife's niece.
","उसने अपने बेटे का महिला से निकाह कराया।
"
"” That’s what my niece says.
","“यही मेरा मव भी कहता है।
"
"This includes the Bachchan family- Amitabh, Abhishek, Aishwarya and Aaradhya, Kasautii Zindagii Kay actor Parth Samthaan and Anupam Kher's family including his mother, brother, sister-in-law and niece.
","इनमें अमिताभ बच्चन, अभिषेक बच्चन, ऐश्वर्या राय, आराध्या बच्चन, अनुपम खेर का परिवार, पार्थ समथान, मोहेना कुमारी, एसपी बालासुब्रमण्यम, हिमांश कोहली सहित कई कलाकार शामिल हैं।
"
"Bollywood actress Sara Ali Khan’s aunt Saba Ali Khan recently shared a childhood photo of her niece on Instagram.
","बॉलिवुड ऐक्ट्रेस सारा अली खान (Sara Ali Khan) ने अपने बचपन की यादों को ताजा करते हुए अपनी अनदेखी तस्वीर शेयर की है।
"
"All the best and happy birthday to your niece!
","जन्मदिन पर आपको ढेर सारी बधाइयाँ एवं शुभकामनायें!
"
"The family of Joshi had alleged that the local police took no action on complaints made earlier against the goons, who allegedly harassed his niece.
","जोशी के परिवार ने आरोप लगाया था कि स्थानीय पुलिस ने उन बदमाशों के खिलाफ शुरुआत में की गयी शिकायत पर कोई कार्रवाई नहीं की थी, जिन्होंने पत्रकार की रिश्तेदार के साथ कथित तौर पर छेड़छाड़ की थी.
"
"Also Read: Police ASI accused of raping, impregnating minor niece
","यह भी पढ़ें : विक्षिप्त बुजुर्ग महिला पर बच्चा चोरी का झूठा आरोप लगाने वाले का पुलिस ने किया बुरा हाल
"
"In the assembly constituency of Chhattisgarh, Chief Minister Raman Singh of the BJP is pitted against Congress candidate Karuna Shukla, niece of the late former prime minister.
","छत्तीसगढ़ में राजनांदगांव विधानसभा क्षेत्र से मुख्यमंत्री रमन सिंह शुरुआती रुझान में कांग्रेस उम्मीदवार करुणा शुक्ला से पिछड़ रहे थे.
"
"Alia was accompanied by her mother Soni Razdan and sister Shaheen Bhatt while Ranbir Kapoor was joined by his mother Neetu Singh, sister Riddhima and niece Samara Sahni.
","जहां दोनों के साथ दोनों की मां नीतू कपूर और सोनी राजदान और दोनों की बहनें रिद्धिमा कपूर साहनी और शाहीन भट्ट भी थीं.
"
"Sayesha Saigal, who is the grand niece of Dilip Kumar and Saira Banu will play the female lead in the film.
","अजय की इस फिल्म में दिलीप कुमार और सायरा बानो की नातिन सायेशा सहगल भी लीड रोल में नजर आएंगी।
"
"Today (December 27) it's Salman Khan's niece Ayat Sharma's first birthday.
","इसी महीने 27 दिसंबर को सलमान खान का जन्मदिन है।
"
"Brother-in-law Anil Kapoor, niece Sonam Kapoor and step-daughter Anshula Kapoor were at the airport to receive the actor's body amid heavy security.
","उनके शव को लेने के लिए एअरपोर्ट पर अनिल कपूर, अनिल की बेटी और एक्ट्रेस सोनम कपूर और श्रीदेवी की सौतेली बेटी अंशुला कपूर आए थे.
"
"Amitabh Bachchan's brother Ajitabh and niece Naina visit Aishwarya Rai Bachchan's father at Mumbai hospital
","अभिषेक बच्चन को लगी चोट, अस्पताल में देखने पहुंचे पिता अमिताभ और बहन श्वेता
"
"Priyanka Chopra shared adorable photos with her niece, Krishna Sky, on social media recently.
","कुछ ही देर पहले प्रियंका चोपड़ा ने सोशल मीडिया पर अपनी तस्वीरें शेयर की हैं।
"
"Jasmin Bhasin shared a photo with Aly Goni’s niece on Instagram.
","दरअसल, अली गोनी (Aly Goni) ने इंस्टाग्राम पर अपनी और जैस्मिन भसीन (Jasmin Bhasin) की एक वीडियो पोस्ट की है.
"
"Virat's family - mother Saroj Kohli, sister Bhavna and brother-in-law Sanjay Dhingra, brother Vikas and sister-in-law Chetna Kohli, and nieces and nephews will attend the event from his side.
","विराट के पिता जी स्वर्गीय प्रेम कोहली , माताजी सरोज कोहली , उनके बड़े भाई विकास कोहली , उनकी बड़ी बहन भावना कोहली तथा उनकी जीवन संगिनी अनुष्का शर्मा इन सभी लोगों से पूरा होता है विराट का परिवार।
"
"Kareena Kapoor Khan is Rajiv Kapoor's niece, daughter of Randhir Kapoor.
","बता दें कि राज कपूर की पोती और रणधीर कपूर की बेटी करीना कपूर पटौदी खानदान की बहू है।
"
"His wife is the daughter of actor-director Sanjay Khan and niece of another actor-producer, Feroz Khan.
","सुज़ैन खान मशहूर अभिनेता और निर्माता-निर्देशक संजय खान की बेटी हैं और फिरोज खान उनके चाचा हैं।
"
"Antara is the niece of Anil Ambani's wife Tina Ambani.
","वहीं, अंतरा मोतीवाला अनिल अंबानी की पत्नी टीना अंबानी की बहन की बेटी हैं.
"
"This is my niece.
","मेरा यह नाती है ।
"
"Bollywood actress Sara Ali Khan’s aunt Saba Ali Khan recently shared a childhood photo of her niece on Instagram.
","सैफ अली खान (Saif Ali Khan) की बेटी सारा अली खान (Sara Ali Khan) हाल ही में केदारनाथ (Kedarnath) पहुंची थीं, जहां से उन्होंने अपनी कई तस्वीरें शेयर की थीं।
"
"Alizeh Agnihotri: Superstar Salman Khan’s niece and daughter of filmmaker Atul Agnihotri and Alvira Khan Agnihotri, Alizeh Agnihotri is reportedly set to make his acting debut in Bollywood with “Dabangg 3”.
","अफवाहों की मानें तो सलमान खान फिल्म दबंग 3 में अतुल अग्निहोत्री और अलवीरा अग्निहोत्री की बेटी अलीजेह अग्निहोत्री भी दिखाई देने वाली हैं।
"
"Abhishek Yadav is the son of Mulayam's brother Abhay Ram Yadav while Sandhya is the party supremo's niece and sister of Badaun MP Dharmendra Yadav.
","धर्मेंद्र यादव बदायूं से सिटिंग सांसद हैं और मुलायम सिंह यादव के भतीजे व अखिलेश यादव के चचेरे भाई हैं।
"
"Saba Ali Khan had shared a picture of her niece Sara Ali Khan on Instagram.
","सबा अली खान ने पिछले हफ्ते भी सारा के बच्चन की एक अनसीन फोटो शेयर की थी।
"
"My niece is in a state of shock.
","मेरी भाभी सदमे में है।
"
"Recently, Kareena Kapoor Khan attended a Diwali party with sister Karisma Kapoor niece Samiera Kapoor and BFF Amrita Arora.
","बता दें कि हाल ही कैटरीना सलमान खान की बहन अर्पिता के घर क्रिसमस पार्टी में शामिल हुई.
"
"Congratulations also to your niece.
","आपके जीजाजी को भी मेरा सलाम.
"
"This is my niece.
","ये साली तो मेरी वाली है।
"
"Saba Ali Khan has shared an old picture of niece Sara Ali Khan.
","सारा अली खान ने एक पुरानी फोटो शेयर की है।
"
"Saba Ali Khan had shared a picture of her niece Sara Ali Khan on Instagram.
","सैफ की बेटी सारा अली खान ने इंस्टाग्राम पर केक की एक फोटो शेयर की है।
"
"Aamir Khan along with his wife Kiran Rao, son Azad Rao Khan and daughter Ira Khan attended his niece Zayn..... Read More
","आमिर के साथ उनकी पत्नी किरण राव, बेटा आजाद राव खान, बेटी इरा खान और भांजे इमरान खान थे।
"
"Priyanka Chopra has shared some adorable pictures on social media where she is being styled by her niece Krishna.
","प्रियंका चोपड़ा ने अपनी एक तस्वीर शेयर की जिसमें वो पेंटिंग करते नजर आ रही हैं।
"
"Bobbi Kristina Brown’s aunt has accused both Nick Gordon and Pat Houston (Whitney Houston’s sister-in-law) of being responsible for her niece’s current condition.
","निक गॉर्डन को बेटी व्हिटनी ह्यूस्टन और बॉबी ब्राउन की मौत में निहित और कानूनी रूप से जिम्मेदार माना जाता है।
"
"Bollywood actress Sara Ali Khan’s aunt Saba Ali Khan recently shared a childhood photo of her niece on Instagram.
","हाल ही में सैफ की बहन यानि बॉलीवूड अभिनेत्री सोहा अली खान ने सैफ की एक फोटो अपने इंस्टाग्राम अकांउट पर पोस्ट की है।
"
"Priyanka Chopra shared adorable photos with her niece, Krishna Sky, on social media recently.
","हाल ही में प्रियंका चोपड़ा ने अपनी कुछ खूबसूरत थ्रोबैक तस्वीरें शेयर की हैं.
"
"Seerat is the niece of former Congress MLA from Sardulgarh Ajit Inder Singh Mofer.
","वह सरदूलगढ़ के पूर्व कांग्रेसी विधायक अजीत इन्द्र सिंह मोफर के काफी करीबी है।
"
"BJP district president Pradeep Chauhan said, ""Mulayam Singh Yadav himself had praised PM Narendra Modi in Parliament, and if the former's niece is contesting as our party candidate, it means that she also supports the development agenda of the BJP.
","वहीं भाजपा के जिलाध्यक्ष प्रदीप चौहान ने कहा, ""मुलायम सिंह यादव ने खुद संसद में प्रधानमंत्री नरेंद्र मोदी की प्रशंसा की थी।
"
"A niece and two nephews reside here.
","दो छोटी बहनें और छोटा भाई भी यहीं रहते हैं।
"
"This is my niece.
","यह मेरी ही बहू है।
"
"Saba Ali Khan shared a picture of her niece Inaaya Naumi Kemmu, the daughter of actors Soha Ali Khan and Kunal Kemmu, on Instagram.
","सारा अली खान (Sara Ali Khan) ने हाल ही में अपने सोशल मीडिया पर अपनी बहन इनाया खेमू (Inaaya Khemu) के साथ तस्वीरें शेयर की हैं.
"
"Born in Mumbai to actor Shakti Kapoor and Shivangi Kapoor, she is the niece of actress Padmini Kolhapure.
","मालूम हो कि शक्ति कपूर ने अभिनेत्री पद्मिनी कोल्हापुरी की बहन शिवांगी से शादी की है.
"
