eng_Latn,hin_Deva
"my grandmother had 8 brothers and sisters
","मेरे परदादा के थे 8 भाई-बहन
"
"the old grandmother and the little children in the
","बूढ़ी मां और छोटे-छोटे बच्चों को ठेले पर
"
"He took her to her grandmother's house, where he raped her.
","वह उसके बहला फुसलाकर एक मकान में ले गया था, जहां उसने उसके साथ दुष्कर्म किया।
"
"A woman is first a daughter, a sister, a mother and a grandmother.
","एक महिला किसी की मां, बहन, बेटी और पत्नी होती है।
"
"Police have arrested the boy's parents and grandmother on suspicion of murder and child abuse in the boy's death.
","पुलिस हत्या के संदेह में लड़की के पिता और परिजनों से थाने में पूछताछ कर रही है।
"
"Where was your grandmother?
","बहू स्त्री कहाँ थी ?
"
""" Mark Twain said: ""India is the cradle of the human race, the birthplace of human speech, the mother of history, the grandmother of legend, and the great grandmother of tradition.
","मार्क ट्वेन ने कहा था- “भारतभूमि मानव जाति की उद्‌गम स्थली है, मनुष्य की वाणी की जन्मस्थली है, इतिहास की जननी है और गाथाओं की महाजननी है और परम्पराओं की अधिष्ठात्री है।
"
"The police said the girl was sleeping with her mother and grandmother in the same room.
","पुलिस ने बताया है कि मां-बेटे दोनों एक ही कमरे में सो रहे थे।
"
"His mother and grandmother were wounded.
","जिससे मां व पिता घायल हो गए।
"
"The child’s brother, sister-in-law, grandmother, and the auto rickshaw driver were also injured in the accident.
","हादसे में बाइक सवार ससुर, बहू और बच्ची घायल हो गए।
"
"The grandmother informed the girl’s mother.
","बालिका ने आपबीती मां को सुनाई।
"
"She was her mother, my grandmother.
","वह मातृभू म मेरी, वह पित्भूमि मेरो ॥
"
"Their father and grandmother work in the plantation.
","उनके पिताजी और बड़े भाई खेती-बाड़ी का काम सँभालंते हैं।
"
"Rhea's paternal grandmother, Nirmal Kapoor, arrived at Anil's residence to bless the couple.
","पोती रिया कपूर को आशीर्वाद देने पहुंचीं अनिल कपूर की मां निर्मल कपूर।
"
"All of this went on in my grandmother's house.
","ये सब मेरे मामा के घर मे हुआ है।
"
"The baby’s mother and grandmother are kept under quarantine in the hospital.
","बच्चा और मां को अस्पताल में एक सुरक्षित स्थान पर रखा गया है।
"
"After a while, the boy’s grandmother arrived.
","कुछ देर बाद किशोरी की मां पहुंची।
"
"After that, her father and grandmother brought her up.
","जिसके बाद पालन-पोषण उनकी माता और बड़े भाई ने किया.
"
"Police said they were questioning the mother and grandmother.
","मां व भाई से पुलिस ने की पूछताछ
"
"Afterward, I spoke with his grandmother.
","इसके बाद बहू से बातचीत की ।
"
"At present they are staying in their grandmother's house.
","फिलहाल वह अपने मामा के घर रहता है।
"
"His grandmother looked after him.
","उसकी बुआ ने उसका पालन-पोषण किया था।
"
"After the death of her father, she has lived with her grandmother.
","सपन की मां के देहांत के बाद वह अपने पिता के साथ रहता था।
"
"The victim returned home and informed her grandmother.
","पीड़िता ने घर आकर अपनी मां को आपबीती बताई.
"
"His grandmother, then prime minister Indira Gandhi, and his father, former prime minister Rajiv Gandhi, were both assassinated.
","गौरतलब है कि सोनिया गांधी के पति एवं पूर्व प्रधानमंत्री राजीव गांधी और उनकी सास एवं पूर्व प्रधानमंत्री इंदिरा गांधी दोनों की हत्या की गयी थी.
"
"Where is my grandmother?
","मेरे विता जी कहाँ हैं ?
"
"The child lives with his grandmother.
","बच्ची अपने बाबा के साथ रह रही है।
"
"The mother and grandmother have been arrested.
","सास और ससुर को गिरफ्तार किया जा चुका है।
"
"He had come to the grandmother’s home.
","वह अपने मामा के घर गई थी।
"
"His grandmother is undergoing treatment at the hospital.
","भाभी अस्पताल में उपचाराधीन है।
"
"The girl's grandmother and brother were present at the house during the time of the incident.
","घटना के समय किशोरी और उसकी सौतेली मां ही घर पर थे।
"
"Both her mother and grandmother are killed.
","इनके माता और पिता दोनों की मृत्यु हो गई।
"
"The grandmother informed the girl’s mother.
","इसकी सूचना बच्ची की मां को दी गई।
"
"My mother and my grandmother.
","मेरे मामू और मेरी मां।
"
"Among the dead were an 8-month-old baby and her father and grandmother.
","मृतकों में मां और बेटा के अलावा एक 8 वर्षीय बच्चा शामिल है।
"
"You are my mother, my father, my grandmother, my entire life.
","तुम्हीं मेरी माता, पिता भी तुम्हीं हो, तुम्हीं मेरे भ्राता, सखा भी तुम्हीं हो।
"
"But, above all she was a devoted and loving grandmother.
","लेकिन सबसे बढ़कर, वह एक दयालु और प्यार करने वाला इंसान थे.
"
"A mother of one daughter and a grandmother of three grandchildren.
","एक तीन दूल्हों की मां और उसकी तीन बहुएं।
"
"The grandmother informed the girl’s mother.
","इसकी सूचना लड़की की मामी ने उसे पिता को दी।
"
"The grandmother informed the girl’s mother.
","बच्ची ने मां को जानकारी दी।
"
"A beloved daughter, wife, mother, grandmother, sister, and friend.
","नारी यानी एक मां, बहन, पत्नी, बेटी और एक अच्छी दोस्त।
"
"But after his grandmother died, his father remarried.
","लेकिन पिता के देहांत के बाद शादी टल गई।
"
"The child lived with his grandmother in the village.
","गांव में चाचा के साथ रह रहा था।
"
"Her grandmother Sharmila Tagore is a famous veteran actress.
","उनकी मां का नाम शर्मिला टैगोर है जो कि अपने समय की चर्चित अभिनेत्री रही हैं।
"
"The picture features her mother and grandmother
","तस्वीर में मम्मी और बहन के साथ मुस्कुराते हुए आईं नजर
"
"Because my grandmother was there.
","क्योंकि मेरी मामी जी वहां पर आ गई थी।
"
"Among these people were my mother and two grandmothers.
","इनमें उनकी मां और दो बहनें भी थीं.
"
"Her family consisted of parents, a grandmother and a younger sister.
","परिवार में माता-पिता, एक बहन और दादाजी हैं.
"
"Her grandmother Sharmila Tagore is a famous veteran actress.
","उनकी पत्नी शर्मिला टैगोर अपने जमाने की मशहूर फिल्म अदाकारा रही हैं।
"
"A young teenager who’s mother has died and he goes to live live with his grandmother.
","एक जवान लड़की की माँ मर चुकी है, वो अपने पिता के साथ रहती है.
"
"Kunal Kemmu's and Soha Ali Khan's daughter Inaaya looks adorable as she takes Yoga lessons from her grandmother on International Yoga Day
","'विश्व योग दिवस' की तैयारी में कुणाल खेमू और सोहा अली खान की बेटी इनाया
"
"Her son lived with his grandmother.
","उसका बच्चा सास ससुर के पास रह रहा था।
"
"The child lived with his grandmother in the village.
","लड़की अपने मां के साथ गांव मे रहती थी.
"
"New Delhi: Congress chief Rahul Gandhi paid tributes to his grandmother and the late PM Indira Gandhi on her death anniversary.
","नयी दिल्ली : कांग्रेस उपाध्यक्ष राहुल गांधी ने पूर्व प्रधानमंत्री इंदिरा गांधी के जन्मदिन के अवसर पर यूथ कांग्रेस के कार्यक्रम को संबोधित किया.
"
"Taking to his official Instagram handle, Arjun Kapoor shared pictures featuring Birthday Boy Harshvardhan Kapoor, Shanaya Kapoor, sister Anshula Kapoor and their grandmother.
","""अर्जुन कपूर की बहन अनशुला कपूर ने रक्षाबंधन की फोटो शेयर की है जहां उनका पूरा परिवार एक साथ नजर आ रहा हैं, इस मौके पर जाह्नवी कपूर, खुशी कपूर, अर्जुन कपूर और हर्षवर्धन कपूर भी नजर आ रहे हैं सभी भाई बहन इस मौके पर एक साथ इकट्ठा होकर रक्षाबंधन का त्योहार मना रहे हैं.
"
"My grandmother was extremely religious and fiercely liberal.
","मेरी मां बहुत धर्मपरायण एवं संस्कारी थीं।
"
"After that we went to my grandmothers home.
","इसके बाद मैं अपने मामा के घर चली गई।
"
"The Congress had also referred to the assassination of former prime ministers Rajiv Gandhi and Indira Gandhi -- Rahul's father and grandmother respectively -- in the letter.
","कांग्रेस ने अपने पत्र में पूर्व प्रधानमंत्री राजीव गांधी और इंदिरा गांधी की हत्या का भी जिक्र किया है.
"
"Police have arrested the boy's parents and grandmother on suspicion of murder and child abuse in the boy's death.
","पुलिस ने किशोरी की बेरहमी से हत्या करने वाले पिता पुत्र को गिरफ्तार कर जेल भेज दिया है।
"
"His younger sister went to their maternal grandmother’s house.
","उनकी मां अपने भाई के घर गई हुई थी।
"
"New Delhi: Congress chief Rahul Gandhi paid tributes to his grandmother and the late PM Indira Gandhi on her death anniversary.
","नई दिल्ली: कांग्रेस प्रेसिडेंट राहुल गांधी, प्रियंका गांधी ने अपने पिता को श्रद्धांजलि दी.
"
"“There is brotherhood among the Dalits and the Muslims in this village (Unrod), there is no animosity,” said the victim’s grandmother.
","पीड़िता की नान ने कहा, “इस गांव (उनरोड़ गांव) में दलितों और मुस्लिमों में भाईचारा है, कोई शत्रुता नहीं है।
"
"The girl's grandmother and brother were present at the house during the time of the incident.
","घटना के वक्त उसकी बड़ी बहन और बहनोई भी घर में मौजूद थे।
"
"Both of my grandmothers also worked.
","मेरे मॉम-डैड दोनों ही जॉब करते थे।
"
"He said she lived near his grandmother’s house.
","उसने बताया कि वह अपनी बुआ के घर में रहता है।
"
"The child lived with his grandmother in the village.
","महिला अपनी सास के साथ गांव में रहती थी।
"
"“Both the mother and child are ok. I’ve become a grandmother.
","उन्होंने कहा, ‘मां और बच्चा दोनों पूरी तरह ठीक हैं।
"
"They named her Lilibet ‘Lili’ Diana Mountbatten-Windsor, a nod to Harry's grandmother, Queen Elizabeth II and mother, Princess Diana.
","इस नए मेहमान का नाम महारानी एजिलाबेथ द्वितीय और हैरी की मां डायना के नाम पर लिलिबेट 'लिली' डायना माउंटबेटन-विंडसर रखा गया है।
"
"According to the police, after the death of the victim’s father, she and her mother were staying at her grandmother’s house.
","उसने पुलिस को बताया कि उसकी मां की मौत के बाद वो और उसकी बड़ी बहन अपने पिता के साथ रहती थी।
"
"He calls his grandmother ‘mumma’.
","वह मौसी को ही मां कहती है।
"
"His parents died when he was small and his grandmother had raised him.
","बचपन में ही उनके माता-पिता का निधन हो दया था, जिसके बाद उनकी बड़ी बहन ने उन्हें पाला-पोसा।
"
"New Delhi: Congress chief Rahul Gandhi paid tributes to his grandmother and the late PM Indira Gandhi on her death anniversary.
","Indira Gandhi Birth Anniversary: सोनिया गांधी और कांग्रेस अध्यक्ष राहुल गांधी ने शक्तिस्थल जाकर उन्हें श्रद्धांजलि अर्पित की।
"
"She was a loving mother and grandmother.
","वह मृदृभाषी और स्नेहमयी माता थी.
"
"Subsequently, the grandmother of the girl lodged a complaint with the police.
","इसके बाद युवती ने मौसेरे भाई के खिलाफ पुलिस में प्रकरण दर्ज कराया है।
"
"His mother and grandmother were wounded.
","मां और ममेरी बहन को चोट आ गई।
"
"His grandmother Vijayraje Scindia was a BJP icon and his aunts Vasundhara Raje and Yashodhara Raje are also in the party.
","उनकी बड़ी बुआ वसुंधरा राजे पहले ही भाजपा में हैं और छोटी बुआ यशोधरा राजे भी भाजपा की सदस्य हैं।
"
"He was being taken care of by his parents and grandmother.
","पालन-पोषण उनकी माँ और इनके नाना एमाडुल्मुल्कने किया।
"
"The grandmother informed the girl’s mother.
","बेटी ने मां को आपबीती सुना दी।
"
"His grandmother Vijaya Raje was among founder members of BJP.
","जबकि उनकी मां राजमाता विजयाराजे सिंधिया तो बीजेपी की संस्थापक सदस्यों में शामिल थीं।
"
"The victim had been living at her grandmother’s home after the demise of her parents.
","पीड़िता अपनी मां की मौत के बाद नाना के घर रहती थी.
"
"Amanda is mother to three children and grandmother to two baby boys.
","वह दो बच्चों के पिता और तीन बच्चों के दादा हैं.
"
"My family, mom, dad, grandmother all live there.
","मेरे घर में मेरी मां, मेरी बहन, मेरी पत्नी और मेरी बेटी सब साथ में रहते हैं।
"
"Her grandmother Sharmila Tagore is a famous veteran actress.
","उनकी मां शर्मिला टैगोर अपने जमाने की दिग्गज अभिनेत्री थीं।
"
"His mother and grandmother were wounded.
","सास और साली घायल हो गई।
"
"Raima and Riya Sen, granddaughters of Suchitra Sen, had previously mentioned about making a film on their grandmother.
","सुचित्रा सेन की नातिनों रायमा और रिया सेन ने काफी पहले इस बारे में बात की थी कि
"
"“Where's her grandmother? ” we asked.
","उससे पूछा, “तुम्हारी बड़ी बहू-माँ कहाँ हैं ?
"
"At the time of incident, victim’s grandmother and sister were at home while mother and two brothers were in New Delhi.
","घटना के समय घर पर छात्रा की मां और दो छोटे भाई-बहन मौजूद थे।
"
"He lived with his mother and grandmother.
","अपनी मां और पिता के साथ ही रहा।
"
"After the death of their parents, they moved here with their grandmother.
","माता-पिता का देहांत होने के बाद ये मामा के पास रहने चला गया था।
"
"A mother, grandmother or aunty?
","अम्मू, नाना या मेरी माँ?
"
"He had nobody in the world, except his old grandmother.
","एक बूढ़ी माता को छोड़ संसार में उसके और कोई न था ।
"
"The police said the parents left the child with her grandmother and went to work.
","पुलिस ने बताया कि लड़की के मां-बाप काम पर चले जाते थे और लड़की को उसके दादा के पास छोड़ जाते थे।
"
"He had come to the grandmother’s home.
","वह अपने दादाजी के घर घूमने आया हुआ था।
"
"And then my grandmother passed.
","फिर मेरी सासु-माँ भी गुजर गईं।
"
"Being a grandmother is one of God’s greatest gifts.
","माँ बनना ईश्वर का अनमोल अनुदान है।
"
"Her grandfather, says she, was a Muslim and grandmother a Hindu.
","उनका कहना है कि उनके पिता दलित और मां मुस्लिम थीं।
"
"And I thank my mother and grandmother for it.
","मैं उनका और अपनी मां का आभारी हूं।
"
"The victim’s maternal grandmother filed a case with Jhenigathi Police Station in this connection.
","इस मामले को लेकर पीड़िता की मां ने खूंटी महिला थाने में मामला दर्ज कराया था।
"
"She had gone to visit her grandmother.
","वह अपने मामा के यहाँ घूमने गया था ।
"
"A grandmother, mother, and two kids live there.
","मां, बाप और उनके दो बच्चे हैं.
"
"Her grandfather, says she, was a Muslim and grandmother a Hindu.
","महिला के मुताबिक उसकी मां ईसाई थी, जबकि पिता मुस्लिम थे.
"
"My grandmother is very ill.
","मेरा पोता बहुत बीमार है।
"
"A victim’s grandmother has also been arrested in this case.
","इस मामले में मृतक के भतीजे को भी गिरफ्तार किया गया है।
"
"At that time, we were living in my grandmother’s house.
","फिलहाल हम अपने दादाजी के घर में रहते हैं।
"
"The girl lives with her parents, grandmother and two younger siblings.
","युवती अपने पिता और दो भाईयों के साथ घर पर रहती थी।
"
"Rahul Gandhi said that his grandmother and his family were Shiva devotees.
","राहुल ने कहा कि वह और उनके परिवार के लोग शिवभक्त हैं।
"
"Akhil’s family includes his grandmother, mother, brother, sister-in-law, their baby and his wife, all of whom live in the same house.
","इनके परिवार में पत्नी, एक बच्चा, माता-पिता और बड़े भाई समेत पूरा परिवार एक साथ रहता है.
"
"I’ve become a grandmother.
","में परवाबा बन चुका हूं ।
"
"After his parents' divorce, he moved to Los Angeles to live with his grandmother.
","माता पिता के तलाक के बाद वे अपने पिता के सा​थ लॉस एंजिल्स में रहने लगे।
"
"The child lived with his grandmother in the village.
","युवती अपनी मां के साथ गांव में रहती थी।
"
"As for his grandmother, the mother of his father `Abdullah, she was Fatimah daughter of `Amr ibn `A'idh ibn `Imran ibn Makhzum.
","हज़रत पैगम्बर के पिता का नाम अब्दुल्लाह था जो .हज़रत अबदुल मुत्तलिब के पुत्र थे। तथा पैगम्बर (स) की माता का नाम आमिना था, जो हज़रत वहाब की पुत्री थीं।
"
"As her grandmother did.
","जैसाकि उस की दीदी ने किया था.
"
"Neelima Azeem's mother and Shahid Kapoor and Ishaan Khattar's maternal grandmother has passed away.
","नीलिमा अजीम शाहिद कपूर और इशान खट्टर की मां हैं।
"
"My grandmother was also a teacher.
","मेरे ताता (दादाजी) भी एक शिक्षक थे.
"
"He was being taken care of by his parents and grandmother.
","उनका पालन पोषण माता और मामा की देखरेख में हुआ।
"
"Her parents are Saif Ali Khan and Amrita Singh, her grandmother is Sharmila Tagore and her aunt is Soha Ali Khan.
","सैफ की मां शर्मिला टैगोर और पिता मंसूर अली खान पटौदी थे।
"
"Police have detained the grandmother, grandfather and father of the child for questioning in connection with the matter.
","पुलिस ने इस मामले में त्वरित कार्रवाई करते हुए लड़की, लड़की के पिता और भाई को गिरफ्तार कर लिया है।
"
"At that time her grandmother also helped her very much.
","उस समय उसके भांजे ने उनकी काफी मदद की थी।
"
"After that, her father and grandmother brought her up.
","उसके बाद उसके पिता और दादा ने उसे पाला।
"
"As a kid, I spent a lot of time at my grandmother’s house.
","बचपन में काफी समय मैंने मामा जी के घर में गुज़ारा है।
"
"The boy's mother, grandmother and brother also sustained injuries in the incident.
","पीड़ित के चाचा, मां और चाची को भी गंभीर चोटें आई हैं।
"
"A few days later, the grandmother dies.
","कुछ दिन बाद माता जी का देहावसान हो गया।
"
"My family, mom, dad, grandmother all live there.
","मेरे परिवार के पास, मेरे माता-पिता, मेरे भाई-बहन, सब वहीं हैं।
"
"The child lived with his grandmother in the village.
","वृद्धा मझले बेटे के साथ ही गांव में रहती थी।
"
"She played the role of Ayushmann's grandmother in the film.
","इस फिल्म में उन्होंने आयुष्मान खुराना की मां किरदार निभाया था।
"
"“My grandmother passed away, my father was in the hospital.
","“पिता जेल में हैं, माता मर गई हें।
"
"Their parents had died and the sisters were being looked after by their grandmother.
","माँ-बाप मर चुके थे और उनका पालन-पोषण उनके चाचा-चाची की देख-रेख में हो रहा था।
"
"The film, that stars Tapsee Pannu and Bhumi Pednekar, is based on the life of Chandro Tomar and Prakashi Tomar, grandmothers from Baghpat.
","सांड की आंख फिल्म यूपी के बागपत की रहने वाली चंद्रू तोमर और प्रकाशी तोमर की जिंदगी पर बनी है जिसमें तापसी पन्नू और भूमि पेडनेकर उनकी भूमिका अदा कर रही है.
"
"Both my mother and grandmother had been teachers.
","मां और पिता दोनों शिक्षाविद्व थे.
"
"Rahul also paid floral tribute to his grandmother, Indira Gandhi on her martyrdom day.
","उधर इंदिरा गांधी की पुण्य तिथि पर कांग्रेस नेता राहुल गांधी ने भी उन्हें श्रद्धांजलि दी।
"
"Both my mother and grandmother are great cooks.
","मेरी मां और मौसी बहुत अच्छा खाना बनाती हैं।
"
"Bollywood actress Priyanka Chopra is bereaved by the sudden death of her paternal grandmother.
","प्रियंका चोपड़ा के पिता का निधन : ट्विटर पर बॉलिवुड एक्‍ट्रेस ने जताया अपना दुख
"
"Bollywood actress Priyanka Chopra is bereaved by the sudden death of her paternal grandmother.
","प्रियंका चोपड़ा के पिता का निधन
"
"Both are daughters, wives, mothers and grandmothers.
","वो माँ भी हैं, बहन भी, बेटी भी और बीबी भी.
"
"He said while party president Rahul Gandhi resembled his father Rajiv Gandhi, Priyanka resembled her grandmother Indira Gandhi.
","प्रियंका ने कहा कि जो सोच उनके पिता यानी कि राजीव गांधी की थी ठीक वैसी ही सोच राहुल गांधी की भी है।
"
"And then I was there with my mother and grandmother.
","तब मैंने वहीं जाकर मां और अपने सौतेले पिता से मुलाकात की।
"
"He had come to the grandmother’s home.
","वह अपने नाना के घर रहने आया था।
"
"At the time of this incident, my grandfather, grandmother and a cook were present in the house.
","घटना के समय सास, ससुर व ननद घर पर मौजूद थी।
"
"He had come to the grandmother’s home.
","वह अपने नाना के घर गयी थी।
"
"My family, mom, dad, grandmother all live there.
","मेरे परिवार के कई अन्य सदस्य, पिताजी, माँ और मैं, सब वहीं थे.
"
"The accused allegedly killed his parents, sister and grandmother, said the police.
","आरोपियों ने कहा है कि मृतका को उसकी मां और भाई ने ही मारा है.
"
"And she’s also a grandmother.
","वह एक माँ भी है।
"
"The victim’s grandmother and sisters were also injured in the attack.
","हमले में सौतेली मां और रिश्तेदार घायल हो गए थे।
"
"His younger sister went to their maternal grandmother’s house.
","उसकी माता बहन के घर गई थी।
"
"A victim’s grandmother has also been arrested in this case.
","वहीं इसी मामले में पीड़िता के मामा को भी गिरफ्तार किया गया है।
"
"Balasore: In a highly shocking incident, two youths of Khaira area in Odisha’s Balasore district have been accused of raping their 70-year-old grandmother.
","चाईबासा : पांड्राशाली ओपी क्षेत्र के होरलोर गांव में एक 70 वर्षीय बुजुर्ग द्वारा रिश्ते में पोती लगनेवाली आठ वर्षीया बच्ची के साथ दुष्कर्म किये जाने का मामला सामने आया है.
"
"Congress President Rahul Gandhi has dismissed comparisons between his grandmother and former Prime Minister, Indira Gandhi, and the current Prime Minister, Narendra Modi.
","कर्नाटक कांग्रेस के बड़े नेता और पूर्व केंद्रीय मंत्री एमवी राजशेखरन ने प्रधानमंत्री नरेंद्र मोदी की तारीफ करते हुए उनकी तुलना पूर्व प्रधानमंत्री इंदिरा गांधी से कर डाली है।
"
"His parents died when he was small and his grandmother had raised him.
","उस के मातापिता बचपन में मर गए थे और मामामामी ने उसे पाला था.
"
"A few days later my grandmother died.
","कुछ दिन बाद माता जी का देहावसान हो गया।
"
"Neetu Kapoor shared a family picture along with Ranbir’s grandmother Krishna Kapoor and other family members on Instagram.
","नीतू कपूर ने करीना और बाकी घरवालों के साथ एक तस्वीर इंस्टाग्राम स्टोरी पर शेयर की।
"
"The victim’s grandmother had informed about the incident to the villagers.
","इस घटना के बारे में पीड़ित ने गांव के लोगों को बताया।
"
"A friend of mine’s grandmother passed away at the age of 88.
","मेरे पिता का 88 बरस की उम्र में निधन हो गया।
"
"Also read: Bihar polls: First-time voter, grandmother cast votes in Patna
","यह भी पढ़ें: बिहार पंचायत चुनाव के पहले चरण के लिए चुनाव प्रचार थमा
"
"Photos of the grandmother have gone viral on social media.
","आये दिन मामा-भांजे की तस्वीरें सोशल मीडिया पर वायरल होती रहती हैं.
"
"She has been likened to her grandmother and former prime minister Indira Gandhi.
","उन पर उनकी सास व पूर्व प्रधानमंत्री इंदिरा गांधी का काफी प्रभाव है.
"
"Harry and Meghan’s second child is named after the Queen and her late grandmother, Princess Diana.
","प्रिंस हैरी और मेगन ने अपनी बेटी का नाम क्वीन एलिजाबेथ और दिवंगत प्रिंसेस डायना के नाम पर रखा है.
"
"His grandmother came out of the house.
","बड़ी बहू घर से. बाहर निकल गयी ।
"
"After some time, Anita’s grandmother passed away.
","कुछ पहले ही अनीता के ससुर की मृत्यु हो गयी थी।
"
