eng_Latn,hin_Deva
"According to the police, the 17-year-old girl stayed with her paternal aunt and uncle.
","पुलिस के मुताबिक पुष्पा नगर में 17 वर्षीय किशोरी अपने माता-पिता के साथ रहती है।
"
"After that I crawled to my aunt's house.
","इसके बाद मैं अपने मामा के घर चली गई।
"
"After the merger, it has been announced that steps would be taken to expel jailed party general secretary and Dinakaran's aunt V K Sasikala from the party.
","विलय के बाद घोषणा की गई थी कि जेल गई अन्नाद्रमुक की महासचिव और दिनाकरण की रिश्तेदार वी. के. शशिकला को पार्टी से निकालने के लिए कदम उठाए जाएंगे।
"
"All the aunts had said that.
","सभी नबियों ने वही बात कही।
"
"The boy’s aunt lives in Canada.
","महिला का बेटा कनाडा में रहता है।
"
"Bollywood actress Sara Ali Khan’s aunt Saba Ali Khan recently shared a childhood photo of her niece on Instagram.
","बॉलीवुड अभिनेत्री सारा अली खान ने हाल ही में अपनी दादी शर्मिला टैगोर को लेकर बातें शेयर की हैं।
"
"According to police, the boy was trained by his family to operate the weapon to kill his paternal aunt.
","पुलिस के अनुसार बच्चे को उसके परिवार ने उसकी रिश्तेदार की हत्या करने के लिए हथियार चलाने का प्रशिक्षण दिया था.
"
"Married sons would live with their parents, brothers, unmarried sisters, uncles, aunts, cousins, nephews, nieces, and grandparents.
","पितृ-स्थानीय में माता-पिता, दादी, चाचा, ताऊ, उनके परिवार, भाई, चचेरे भाई, विवाहित, अविवाहित पुत्र आदि साथ-साथ रहते हैं।
"
"Her aunt is seriously injured.
","उसकी सास गंभीर रूप से घायल है।
"
"She's not my aunt.
","वह मेरा भतीजा नहीं है।
"
"Besides his wife survivors include a daughter, son, tw~ brothers and aunt.
","इनमें उनकी धर्मपत्नी के अलावा दो बच्चे, माता जी, भाई-भाभी और उनके बच्चों सहित
"
"Police charged her three brothers, uncle and aunt for the crime.
","इस पर पुलिस ने लड़की के सगे भाई, चाचा और उनके तीन चचेरो भाइयों का चालान कर दिया।
"
"The video featured Sushmita, Renee’s sister Alisah, her grandmother and her aunt and Rajeev’s wife Charu Asopa.
","वीडियो में सुष्मिता, रेने की बहन अलीसा, उनकी नानी संग राजीव की पत्नी चारु असोपा को देखा जा सकता है.
"
"Bollywood actress Sara Ali Khan’s aunt Saba Ali Khan recently shared a childhood photo of her niece on Instagram.
","Sara Ali Khan Photo: बॉलीवुड एक्ट्रेस सारा अली खान ने अपनी बचपन की फोटो शेयर की है।
"
"These are my uncle and aunts.
","| ये मेरे मामा और भानजे हैं ।
"
"In the comments section of Sara's post, her aunt (Saif Ali Khan's sister) Saba Ali Khan wrote: ""Bless you both lots of love.
","इस पोस्ट पर सैफ अली खान की बहन ने कमेंट सेक्शन में लिखा- आप दोनों को ढेर सारा प्यार
"
"“The patient’s two maternal aunts were also diagnosed with Androgen Insensitivity Syndrome in the past,” the oncologist said.
","ऑन्कोलॉजिस्ट ने कहा कि मरीज की दो मौसियों को भी अतीत में एंड्रोजन असंवेदनशीलता सिंड्रोम का पता चला था.
"
"But “close family” does not include grandparents, grandchildren, aunts, uncles, nieces, nephews, cousins, brothers-in-law and sisters-in-law, fiances and any other “extended” family members, the guidelines say.
","इसके अनुसार, ग्रैंडपेरेंट्स, ग्रैंड चिल्ड्रेन, आंटी, अंकल, भतीजा-भतीजी, चचेरे भाई-बहन, साला-साली, मंगेतर और दूसरे पारिवारिक सदस्‍य को को करीबी रिश्तेदार में शामिल नहीं किया गया है।
"
"Meanwhile, Dhinakaran said many AIADMK functionaries and workers had turned up to welcome his aunt, with the party flags in their hands.
","इस बीच, दिनाकरण ने कहा कि अन्नाद्रमुक के अनेक पदाधिकारी और कार्यकर्ता शशिकला का स्वागत करने पहुंचे, उनके हाथों में पार्टी के झंडे भी थे.
"
"A close relative is a grandparent, brother, sister, aunt, uncle or step-parent.
","नजदीकी रिश्तेदार का मतलब पिता, माता, भाई, बहन, दादा, दादी, पोता और पोती से है।
"
"The woman’s two aunts were killed in the accident and her family had alleged foul play.
","दुर्घटना में युवती की दो रिश्तेदार मारी गईं और उसके परिवार ने इसमें षड्यंत्र होने के आरोप लगाए थे.
"
"Jang was married to Kim Jong Un's aunt, Kim Kyong Hui, the sister of the late North Korean leader Kim Jong Il.
","योंग सूक योंग हुयी की बहन है, जो कि उतर कोरिया के पूर्व शासक किम जोंग इल की कई पत्नियों में से एक है।
"
"She reached the house of her aunt to attend her daughter's wedding.
","पुत्री के जन्मोत्सव में शरीक होने के लिए वह अपनी ससुराल पहुंचा था।
"
"“This one is my aunt’s house.
","“यह तो मेरी दादी मां का घर है।
"
"Are there parents or siblings or aunts or uncles, cousins perhaps?
","क्या आपके घर में मां-बाप, भाई बहन, दादा-दादी हैं कि नहीं?
"
"If any of the women in your family, such as your grandmother, mother or paternal aunt have suffered from bladder cancer, then you are at a higher risk of developing bladder cancer, as this disease can also be caused by heredity.
","अगर आपके परिवार में आपनी दादी मां, मां या फिर कोई और महिला को अगर ब्लैडर कैंसर हो चुका है तो संभावित है कि आप भी इस बीमारी के शिकार हो जाए।
"
"My uncles, aunts, grandparents, parents were there.
","मां, पापा, भाई सब वहीं थे.
"
"I am your aunt.
","मैं आपका मामा हूं.
"
"After the merger, it was announced that steps would be taken to expel jailed AIADMK general secretary and Mr Dhinakaran's aunt VK Sasikala from the party.
","विलय के बाद घोषणा की गई थी कि जेल गई अन्नाद्रमुक की महासचिव और दिनाकरण की रिश्तेदार वी.के.शशिकला को पार्टी से निकालने के लिए कदम उठाए जाएंगे।
"
"The aunt had no answer.
","दीदी ने कोई जवाब नहीं दिया।
"
"His mother and aunt were injured in the incident.
","हादसे में मां-बेटी घायल हो गईं।
"
"Meanwhile, the aunt has also lodged a complaint of rape against the girl's father and brother.
","उधर, युवक के परिजनों ने युवती के पिता व चाचा पर ऑनर किलिंग का केस दर्ज कराया है।
"
"Bollywood actress Sara Ali Khan’s aunt Saba Ali Khan recently shared a childhood photo of her niece on Instagram.
","बॉलीवुड एक्टर सैफ अली खान की बहन सबा अली खान ने अपनी भतीजी सारा अली खान के बचपन की तस्वीर इंस्टाग्राम पर शेयर की है.
"
"When my father went to Koregaon he left me, my brother who was older than myself and two sons of my eldest sister who was dead, in charge of my aunt and some kind neighbours.
","मेरे पिता जब कोरेगाँव गए तो मुझे, मेरे बड़े भाई और मेरी बड़ी बहन के दो बेटों को (बहन की मौत हो चुकी थी) मेरी काकी और कुछ सहृदय पड़ोसियों के जिम्मे छोड़ गए।
"
"Vasundhara’s son Dushyant is also a BJP MP, and his aunt Maya Singh served as Rajya Sabha MP from the BJP and was a minister in Shivraj Singh Chouhan government.
","विजयाराजे सिंधिया की पुत्री वसुंधरा राजस्थान की मुख्यमंत्री और दूसरी पुत्री मध्यप्रदेश सरकार में मंत्री हैं जबकि वसुंधरा राजे के पुत्र दुष्यंतसिंह सांसद हैं।
"
"We were staying at my aunt’s house.
","मैं अपने चाचा के घर में रहती थी।
"
"And then his aunt died.
","फिर बहनोई की मौत हो गई।
"
"The source further added, “Ketan sir has a lot of first-hand anecdotes from his aunt and many personal items, notes and diaries which we are referencing from.
","सूत्र आगे कहते हैं, “केतन सर के पास अपनी आंटी के बहुत से प्रत्यक्ष किस्से हैं और कई व्यक्तिगत आइटम, नोट्स और डायरियाँ हैं जिनका हम उल्लेख कर रहे हैं.
"
"My aunt doesn’t talk much.
","मेरे डैड बात बहुत ज्यादा नहीं करते।
"
"His mother and aunt were injured in the incident.
","इस घटना में पिता और मां घायल हो गए.
"
"A few days back, Jackson had sought help to arrange an ICU bed for his ailing aunt in Bhavnagar.
","मालूम हो जैक्सन ने कुछ दिन पहले अपनी बीमारी आंटी के लिये भावनगर में आईसीयू में व्यवस्था करने के लिये मदद मांगी थी.
"
"According to police, the girl's aunt and her boyfriend were arrested in this connection.
","पुलिस ने इस मामले में बच्चे की मां व उसके प्रेमी और प्रेमी के दोस्त को गिरफ्तार किया हैं।
"
"Indian-origin man charged with killing wife, in-laws, aunt in US
","अमेरिका में भारतवंशी शख्स पर अपनी मां की हत्या, प्रताड़ना का आरोप
"
"In a first information report (FIR), Darvesh Yadav’s nephew Sunny named Manish Sharma, his wife Vandana and another lawyer Vineet Gulecha for the murder of his aunt.
","दरअसल दरवेश यादव के भतीजे सनी द्वारा कराई गई एफआईआर के मुताबिक हत्याकांड में मुख्य आरोपी मनीष शर्मा के साथ उसकी पत्नी वंदना और एक अन्य वकील गुलेच्छा विनीत शामिल थे।
"
"Bollywood actress Soha Ali Khan who is a close freind of actress Neha Dhupia is on cloud nine as she has become an aunt to a baby boy.
","बॉलीवुड एक्ट्रेस सोहा अली खान नेहा धूपिया की बेहद करीबी दोस्त हैं.
"
"After his mother`s death his father, grand father, sister, brother and aunt took care of him.
","मां की मौत होने के बाद वह अपनी सौतेली मां, भाई और पिता के साथ रहता था।
"
"Meanwhile, Dhinakaran said many AIADMK functionaries and workers had turned up to welcome his aunt, with the party flags in their hands.
","इस बीच, दिनाकरण ने कहा कि अन्नाद्रमुक के अनेक पदाधिकारी और कार्यकर्ता शशिकला का स्वागत करने पहुंचे, उनके हाथों में पार्टी के झंडे भी थे।
"
"Irani is the maternal aunt of actor Farhan Akhtar and his director sister Zoya (they are Honey Irani’s children) and director-choreographer Farah Khan.
","जोया निर्देशक-कोरिओग्राफर फराह खान और निर्देशक साजिद खान की मौसेरी बहन है।
"
"Bollywood actress Sara Ali Khan’s aunt Saba Ali Khan recently shared a childhood photo of her niece on Instagram.
","बॉलीवुड एक्ट्रेस सारा अली खान ने हाल ही में सोशल मीडिया पर पोस्ट कर अपनी 'फर्स्ट फ्रेंड' को बर्थडे विश किया।
"
"After a while my aunt came.
","कुछ ही देर मे अंकल आ गये.
"
"Coming from a family of actors including aunt Dimple Kapadia, cousin Twinkle Khanna and brother-in-law Akshay Kumar, Karan Kapadia stepped into Bollywood as a confused suicide bomber in his debut film.
","आंटी डिंपल कपाड़िया, बहन ट्विंकल खन्ना और बहनोई अक्षय कुमार सहित कई शानदार एक्टर्स के परिवार से ताल्लुक रखने वाले करण कपाड़िया ने अपनी पहली फिल्म में सुसाइड हमलावर के रूप में अपना डेब्यू किया.
"
"Bollywood actress Sara Ali Khan’s aunt Saba Ali Khan recently shared a childhood photo of her niece on Instagram.
","ऐसे में बॉलीवुड की यंग एक्ट्रेस सारा अली खान ने मां अमृता सिंह और भाई इब्राहिम अली खान के साथ अपनी बचपन के दौरान ली हुई तस्वीर को शेयर किया है.
"
"The victim and her lawyer were critically injured and two of her aunts were killed in the accident.
","दुर्घटना में पीड़िता और उसका वकील गंभीर रूप से घायल हो गए थे और पीड़िता की दो रिश्तेदारों की मौत हो गई।
"
"“This one is my aunt’s house.
","“कहीं वह तो मेरी बहन का घर है।
"
"Youth charged with killing aunt
","छोटी बहू ने जेठ-जेठानी पर मारने का लगाया आरोप
"
"Both my aunt and my cousin are deceased.
","ससुर और बहू दोनों की मौत हो गई है.
"
"Kavita is not only Sonam Kapoor Ahuja’s aunt but also cousins with Ranveer’s mom.
","कविता न केवल सोनम कपूर की मासी हैं बल्कि रणवीर की मां की कजिन भी हैं.
"
"After her parents passed away, she was sent to her aunt’s house.
","पिता के निधन के बाद मां अपने पिता के घर चली गईं थीं।
"
"A few days back, Jackson had sought help to arrange an ICU bed for his ailing aunt in Bhavnagar.
","जैक्सन ने कुछ दिन पहले अपनी बीमारी आंटी के लिये भावनगर में आईसीयू में व्यवस्था करने के लिए मदद मांगी थी।
"
"All my family, parents, aunts, sisters pampered me.
","मेरे माता पिता, भाई, बहन, पत्नी सभी ने मुझे पूरा सहयोग दिया.
"
"The aunt had no answer.
","मछवारे ने कोई जवाब नहीं दिया।
"
"Apart from her father's connection with the Indian Army, her uncle and aunt (parents of Priyanka Chopra) also served as doctors in the military.
","प्रियंका चोपड़ा के पिता डॉ अशोक चोपड़ा और मां मधु चोपड़ा भी भारतीय सेना में फिज़िशियन रहे हैं.
"
"“Usually my mother or my aunt used to accompany me on shoots but during the shoot of one of the songs, my father accompanied me.
","हेमा के अनुसार, ‘मेरी मां या आंटी अक्सर शूटिंग के दौरान मेरे साथ होते थे, हालांकि एक दिन एक गाने की शूटिंग के दौरान मेरे पिता फिल्म के सेट पर आ गए थे.
"
"Her parents, brother along with an aunt and uncle died in the accident.
","इस हादसे में मां, उसके भाई व भाभी की मौत हो गई।
"
"While sharing the incident, Hema Malini said, “Usually my mother or my aunt used to accompany me on shoots but during the shoot of one of the songs, my father accompanied me.
","हेमा मालिनी ने कहा, ‘अक्सर मेरी मां या मेरी आंटी मेरे साथ शूट पर जाती थीं लेकिन एक गाने की शूटिंग के दौरान सेट पर मेरे पिता मेरे साथ गए थे।
"
"After the merger, it has been announced that steps would be taken to expel jailed party general secretary and TTV Dinakaran's aunt VK Sasikala from the party.
","विलय के बाद घोषणा की गई थी कि जेल गई अन्नाद्रमुक की महासचिव और दिनाकरण की रिश्तेदार वी. के. शशिकला को पार्टी से निकालने के लिए कदम उठाए जाएंगे।
"
"I am your aunt.
","मैं तुम्हारी बद्दुआ हूं
"
"Cousins, great aunts and uncles, neighbors and friends.
","अंकल, बड़ा भाई, छोटी बहन, दोस्त और पड़ोसी भी.
"
"“I live with my aunt’s family.
","""मैं बड़ी बहन के घर में रहता हूँ।
"
"His mother and aunt were injured in the incident.
","हादसे में वो खुद और उनकी मां घायल हो गए।
"
"Dad’s in the Navy and my aunt is in the Air Force.
","उनके दादा आर्मी में थे और उनके पिता नौसेना में.
"
"Bollywood actress Sara Ali Khan’s aunt Saba Ali Khan recently shared a childhood photo of her niece on Instagram.
","बॉलिवुड ऐक्ट्रेस सारा अली खान (Sara Ali Khan) ने अपने बचपन की यादों को ताजा करते हुए अपनी अनदेखी तस्वीर शेयर की है।
"
"But he never refused my aunt.
","लेकिन उसने कभी भी मेरी बात नहीं मानी।
"
"Both my mother and my aunt cried.
","माँ और दीदी भी रो पडीं।
"
"""Actually, Sairaji doesn't remember this but her medicines used to be sent by my aunt from London.""""""
","दरअसल सायरा जी को यह शायद याद न हो लेकिन उनकी दवा मेरी आंटी लंदन से भेजा करती थीं।
"
"Her aunt and uncle were at the house.
","उत्कर्ष और उसकी दादी घर पर मौजूद थे।
"
"As a mother, daughter, sister, aunt and wife.
","एक मां, बहन, पत्नी व बेटी के रूप में।
"
"The aunt had no answer.
","सास के पास कोई जवाब नहीं थे.
"
"Ali (AS) had with him his mother Fatima binte Asad, His aunt, the wife of Hamza, and Fatima, the daughter of Muhammad (SAW) and many other ladies.
","'अली फिर मदीना के पास फातिमाह बिन असद (उनकी मां), फातिमा बिन मुहम्मद (मुहम्मद की बेटी) और दो अन्य महिलाओं के साथ गईं।
"
"Bollywood actress Sara Ali Khan’s aunt Saba Ali Khan recently shared a childhood photo of her niece on Instagram.
","सैफ अली खान (Saif Ali Khan) की बेटी सारा अली खान (Sara Ali Khan) हाल ही में केदारनाथ (Kedarnath) पहुंची थीं, जहां से उन्होंने अपनी कई तस्वीरें शेयर की थीं।
"
"“This one is my aunt’s house.
","यह तो मेरे सेठ का ही घर है।
"
"Sachin Tendulkar shared throwback pictures of his mother and aunt saying, ""Mothers are the ones who pray for you no matter how old you get.
","सचिन तेंदलुकर ने अपने ट्विटर पर मां के साथ फोटो शेयर करते हुए लिखा, 'मां वो होती हैं जो आपके लिए हमेशा प्रार्थना करतीं हैं, चाहे आप कितने भी बूढ़े हो जाओ।
"
"Having the been raised by a wonderful and progressive woman, my mom and even my aunts - I think progressiveness was in my DNA.
","मैं शानदार और प्रगतिशील महिलाओं के आसपास बड़ा हुआ हुं - मेरी मां और यहां तक ​​मेरी आंटियां, इसलिए मुझे लगता है प्रोगेसिवनेस मेरे डीएनए में हैं।
"
"He seated himself next to his aunt.
","वह अपनी बहिन के पास बैठी हुई थी।
"
"Avanish’s father, Makhan Singh, a resident of Bilari, in Moradabad, told police that his son used to work as a DJ at wedding functions, and had gone to visit his maternal aunt who lives in the Narauli village of the Sambhal district.
","मुरादाबाद (Moradabad) के बिलारी निवासी अवनीश के पिता माखन सिंह ने पुलिस को बताया कि उनका बेटा शादी के समारोहों में डीजे का काम करता था और संभल जिले के नरौली गांव में रहने वाले अपने मामा से मिलने गया था.
"
"Their uncle Abhishek Bachchan and aunt Aishwarya Rai Bachchan also are celebrated Bollywood actors.
","महानायक के बेटे अभिषेक बच्चन और बहू ऐश्वर्या राय बच्चन भी बॉलीवुड में एक्टर्स की लिस्ट में शामिल हैं.
"
"When the child’s parents returned home, the aunt told them about the incident.
","पीड़ति का पिता घर लौटा तो परिजनों ने घटना की जानकारी दी।
"
"MLA Kuldeep Sengar and his associates were accused of gang-raping a minor girl, involvement in the death of her father and subsequently an attempt on her life which killed her two aunts and injured her and her lawyer.
","एमएलए कुलदीप सेंगर और उसके सहयोगियों पर नाबालिग से गैंगरेप, उसके पिता की हत्या और बाद में उसकी हत्या के प्रयास के आरोप लगे हैं जिसमें उसकी दो रिश्तेदार महिलाओं की मृत्यु हो गई थी और उसी एक्सीडेंट में वह तथा उसका वकील गंभीर रूप से घायल हो गए थे।
"
"Also included are aunts, uncles and cousins.
","इनमें भाई-बहन, भतीजे-भतीजी भी शामिल हैं।
"
"Nikhil shared his aunt was the inspiration behind him becoming an actor.
","निखिल ने बताया कि उनके अभिनेता बनने के पीछे उनकी आंटी प्रेरणा थी।
"
"Accompanied by wife Sussanne, father Rakesh, mother Pinky, grandparents J. Om Prakash and wife, sister Sunaina, uncle Rajesh, cousins, aunts and his kids.
","ऋतिक के साथ पापा राकेश रोशन, मम्मी पिंकी रोशन, बहन सुनैना रोशन, एक्स पत्नी सुजैन खान और दोनों बेटे साथ थे।
"
"A relative includes children, parents, stepchildren, siblings, aunts, uncles, cousins, and in-laws of the participant.
","संबंधियों में पत्नी और उनके भाई-बहन, बच्चे, पोता-पोती, दादा-दादी, माता-पिता और उनके भाई-बहन और उनके पति-पत्नी आते हैं।
"
"Bobbi Kristina Brown’s aunt has accused both Nick Gordon and Pat Houston (Whitney Houston’s sister-in-law) of being responsible for her niece’s current condition.
","निक गॉर्डन को बेटी व्हिटनी ह्यूस्टन और बॉबी ब्राउन की मौत में निहित और कानूनी रूप से जिम्मेदार माना जाता है।
"
"“No, Monsieur Dessalles, I will ask my aunt to let me stay,” replied Nicholas Bolkonski also in a whisper.
","नहीं, मिस्टर डेसाल, मैं आंटी से यहीं रहने की अनुमति मांग लूंगा , किशोर निकोलाई बोल्कोन्स्की ने भी फ्सफूसाकर फ्रांसीसी में उत्तर दिया।
"
"Bollywood actress Sara Ali Khan’s aunt Saba Ali Khan recently shared a childhood photo of her niece on Instagram.
","हाल ही में सैफ की बहन यानि बॉलीवूड अभिनेत्री सोहा अली खान ने सैफ की एक फोटो अपने इंस्टाग्राम अकांउट पर पोस्ट की है।
"
"According to police, the girl's aunt and her boyfriend were arrested in this connection.
","पुलिस के मुताबिक आरोपी बेटी और उसके प्रेमी को पुलिस ने गिरफ्तार कर लिया है।
"
"The girl was living with her aunt after her mother’s death.
","माता के देहांत के बाद बच्ची अपने ननिहाल में रह रही थी.
"
"A truck rammed into the vehicle in which the girl was travelling with her two aunts and lawyer.
","एक ट्रक ने उस कार को टक्कर मार दी जिसमें पीड़िता अपनी रिश्तेदार और वकील के साथ यात्रा कर रही थी।
"
"The girl has been sent to her aunt’s house.
","बालिका को उसकी नानी के हवाले किया गया है।
"
"Her parents, brother along with an aunt and uncle died in the accident.
","दुर्घटना में उसके माता-पिता, छाेटे भाई और दादा की माैत हाे गई।
"
"The aunt had no answer.
","परिड तजीने कोई उत्तर नहीं दिया।
"
"My father, mother, uncle, aunt, my elder sister.
","मेरे माता-पिता, मेरा भाई, मेरे मामा, मेरी दादी और मेरा सब कुछ।
"
"The aunt had no answer.
","भाभी ने कोई उत्तर नहीं दिया।
"
"""I am at once full of fond remembrances of my parents, grandparents and numerous uncles, aunts and cousins who filled the house with the sounds of their chatter and hearty laughter.
","मैं अपने माता-पिता, दादा-दादी, चाचाओं, चाचियों और चचेरे भाइयों की यादों से भरा हुआ हूं, जिन्होंने घर को अपनी बातों और हंसी की आवाज से भर दिया था।
"
"All my aunts and uncles lived there.
","मेरी सभी भाई-बहन वहीं थे.
"
"Grandparents, parents, uncles, aunts, and children all lived together.
","माँ, पिता, बडे भाई, मँझले भाई सब वहाँ जमा हो गये थे ।
"
"The woman and her lawyer were injured and two of her aunts killed in the accident in Uttar Pradesh’s Rae Bareli.
","उत्तर प्रदेश के रायबरेली शहर में हुए इस हादसे में युवती के दो रिश्तेदारों की मौत हो गई, जबकि युवती और उनका केस लड़ रहे वकील गंभीर रूप से घायल हैं.
"
"Anil Kapoor's son Harshvardhan Kapoor also reached the Celebration Club to bid goodbye to his aunt Sridevi.
","- अनिल कपूर के बेटे हर्षवर्धन कपूर सेलिब्रेशन क्लब में श्रीदेवी के अंतिम दर्शन के लिए पहुंचे।
"
"The girl was living with her aunt after her mother’s death.
","मां की मौत के बाद लड़की अपने रिश्तेदार के साथ रहने लगी
"
"After seeing my mom, my aunt too started crying.
","मुझे रोता हुआ देख मम्मी भी रोने लगीं।
"
"Her parents are Saif Ali Khan and Amrita Singh, her grandmother is Sharmila Tagore and her aunt is Soha Ali Khan.
","सैफ की मां शर्मिला टैगोर और पिता मंसूर अली खान पटौदी थे।
"
"Police detained the parents as well as the uncle and the aunt.
","पुलिस ने नीलू के पिता एवं मां को भी हिरासत में लिया।
"
"One user wrote, “She is your aunt.
","एक यूजर ने लिखा, 'यह तो आपका बड़प्पन है'।
"
"She is the sister of late actor Nutan and aunt of filmmaker Ayan Mukerji.
","तनुता दिवंगत अभिनेत्री नूतन और फिल्ममेकर अयान मुखर्जी की बहन हैं.
"
"Actor Shraddha Kapoor's aunt Padmini Kolhapure and cousin Priyaank Sharma have commented on her wedding rumours.
","शादी की अफवाहों पर एक्ट्रेस पद्मिनी कोल्हापुरे और उनके बेटे प्रियांक शर्मा ने कुछ ऐसा कहा है, जिसकी चर्चा होने लगी है।
"
