eng_Latn,hin_Deva
"""The British English expression """"Bob's your uncle"""" is thought to have originated when Robert Arthur Talbot Gascoyne-Cecil, 3rd Marquess of Salisbury, promoted his nephew, Arthur Balfour, to the esteemed post of Chief Secretary for Ireland, which was widely seen as an act of nepotism.""
","""माना जाता है कि ब्रिटिश अंग्रेजी अभिव्यक्ति """"Bob's your uncle"""" की उत्पत्ति तब हुई जब रॉबर्ट आर्थर टैलबोट गस्कॉयने-सेसिल, सैलिसबरी के 3 रे मार्केस ने आयरलैंड के लिए मुख्य सचिव के सम्मानीय पद पर अपने भतीजे आर्थर बालफोर को पदोन्नत किया, जिसे व्यापक रूप से एक अफ्रीकी भाई-भतीजावाद का कार्य के रूप में देखा गया था।""
"
"- Always respect the elders; don't call them by their names, say uncle, Sir, Mr, etc.
","- अपने से बड़ों को नाम से सम्बोधित नहीं करना व उनको श्रीमान, भाईसाहब, जी, आप आदि आदर से सम्बोधित करना।
"
"9 month old girl was raped by her uncle in west bengal Howrah.
","पश्चिम बंगाल में 9 माह की बच्ची के साथ रेप, पुलिस ने दर्ज किया केस _ 9 month old girl was raped by uncle in west bengal Howrah.
"
"9 month old girl was raped by uncle in west bengal Howrah.
","पश्चिम बंगाल में 9 माह की बच्ची के साथ रेप, पुलिस ने दर्ज किया केस _ 9 month old girl was raped by uncle in west bengal Howrah.
"
"After a few years, my uncle...
","कुछ वर्ष पश्चात मेरे बाबा न...
"
"After all, he's the uncle!
","आखिर वो इक बाप है!
"
"And I AM his uncle.
","और मैं उसका Uncle
"
"And I'm her uncle.
","और मैं उसका Uncle
"
"And my uncle's gone.
","और चाची चली गई.
"
"And the name of his army commander was Abner, the son of Ner, Saul's uncle.
","और उसकी सेना के पहले राजा के नाम अब्नेर था, नेर के पुत्र, शाऊल की चचेरी बहन.
"
"Borrowed from English uncle.
","अंग्रेज़ी uncle से उधार लिया।
"
"Chadhha uncle has celebrated his 55th Wedding Anniversary.
","चड्ढा अंकल अपनी शादी की 55वी वर्षगांठ मना चुके हैं ।
"
"Claudius and gertrude had asked two of hamlet's good friends, rosencrantz and guildenstern, to spy on him, but even they are unable to discover the cause of hamlet's strange behavior before long, hamlet devises a plan to test his uncle.
","क्लॉडियस और गर्ट्रूड ने हेमलेट के दो अच्छे दोस्तों, रोसेंक्रांत्ज़ और गिल्डनस्टर्न से उसकी जासूसी करने के लिए कहा था, लेकिन यहां तक कि वे हैमलेट के अजीब व्यवहार के कारण की खोज करने में असमर्थ हैं।
"
"Do you live in your uncle's house?
","पिता जी के घर में रहते हो?
"
"Do you want to talk to your uncle?
","तुम कहो तो चाची से बात करुँ?
"
"For example: My uncle is very well educated.
","उदाहरण: मेरी बहू बहुत सुशील है।
"
"He was an uncle of mine, not my father.
","वह मेरे ससुर नहीं बल्कि एक पिता थे।
"
"He was living with his widowed father at the home of his uncle.
","अपने पुशतैनी घर में वह अपने पिता के संग रहते थे।
"
"Her uncle wasn't as ruthless as her father, though.
","उसमें उसके पिता जितनी बेसब्री नहीं थी।
"
"Hey, I said uncle, what are you doing?
","मैंने कहा कि चाची यह आप क्या कर रहे हो?
"
"His mother married her uncle.
","उसकी माँ ने उसका विवाह कर दिया.
"
"His uncle was a police officer in Mumbai.
","उनके पिता मुंबई में पुलिस कांस्टेबल थे।
"
"However, on many occasions, she gets trolls badly and this time there is no one else to troll her, but her boyfriend Arjun Kapoor's uncle and noted actor Sanjay Kapoor.
","हालांकि कई मौकों पर वह बुरी तरह से ट्रोल भी हो जाती हैं और इस बार उन्हें ट्रोल करने वाले कोई और नहीं बल्कि उनके बॉयफ्रेंड अर्जुन कपूर के अंकल और जाने माने एक्टर संजय कपूर हैं.
"
"I am proud of my uncle
","मुझे अपने uncle पर गर्व है
"
"I could never say uncle.
","कह नहीं सका कभी भ्राता मैं।
"
"I didn't see my uncle.
","मैंने चाची की ओर नजरें नहीं मिलाई.
"
"I looked at my uncle in amazement.
","मैं चाची की तरफ हैरानी से देखने लगा.
"
"I said they were my uncles.
","कहते थे कि मेरे हमसफ़र वो हैं ।
"
"I want my uncle's
","मैं चाहता हूँ कि मेरी चाची
"
"I was looking at my uncle.
","मैं चाची की तरफ देख रहा था.
"
"I'll at all times keep in mind the way you made me really feel, Chintu uncle.
","मुझे हमेशा याद रहेगा कि आपने मुझे कैसा महसूस कराया, चिंटू अंकल.
"
"I'm going, uncle.
","मैं- जाते हैं चाची।
"
"I'm sure that these uncles and friends only turn up when there is a financial emergency, otherwise, you have never heard of them.
","मुझे यकीन है कि ये अंकल और दोस्त केवल तभी उठते हैं जब कोई वित्तीय आपातकाल हो, अन्यथा आपने उनके बारे में कभी नहीं सुना होगा।
"
"I'm your uncle, yes.
","मैं तेरी होगइयाँ, हाँ. .
"
"In memory of my uncle
","चाची की याद में
"
"Khan's training with his father was cut short when his father died in 1964, leaving Khan's paternal uncles, Ustad Mubarak Ali Khan and Ustad Salamat Ali Khan, to complete his training.
","1964 में उनके पिता का निधन हो गया और नुसरत को उस्ताद मुबारक अली खान और उस्ताद सलामत अली खान के मार्गदर्शन में छोड़ दिया गया जिन्होंने अपना प्रशिक्षण पूरा किया।
"
"Me and my uncle - Indian Sex Stories.
","मैं और मेरी प्यारी बहेन - Indian Sex Stories
"
"Me: uncle, what do you want?
","मैंः चाची आप चाहती क्या हैं?
"
"Mohd Rashid agreed to work for them and continued to remain in frequent touch with his handlers, despite warning by his uncle in Karachi.
","मोहम्मद राशिद उनके लिए काम करने को राजी हो गया और कराची में अपने अंकल की चेतावनी के बावजूद उनके संपर्क में बना रहा।
"
"My 90 year old uncle died recently.
","मेरा असाधारण पिता हाल ही में 90 पर निधन हो गया।
"
"My dad's little brother, a.k.a my uncle, he died around 42/45 years old.
","मेरे पापा की कज़िन यानि मेरी बुआ 40-42 साल के आसपास हो चुकी है।
"
"My father, uncle and brother were all javelin throwers.
","मेरे दादा, बाबा, काका सब जुबान के पक्के थे.
"
"My teacher's uncle
","मेरा गुरु की दुआई
"
"My uncle also enjoyed.
","चाची को भी मजा आ गया था.
"
"My uncle and father were pimps.
","मेरे पिता और बुआ थीं.
"
"My uncle had sucked my father's
","बाप बेटे ने की मेरी चुत की चुदाई
"
"My uncle is going to sleep!
","मेरा यार सोने जा रहा हैं!
"
"My uncle live there.
","मेरी चाची वहीं रहती हैं।
"
"My uncle passed away at age 90 recently.
","मेरा असाधारण पिता हाल ही में 90 पर निधन हो गया।
"
"My uncles and father never talked about it.
","हमारे दादा अथवा पिता ने कभी इसकी चर्चा नहीं की।
"
"My uncles,
","मेरे सैयां,
"
"Nirav Modi and his uncle withdrew the last amount from the Punjab National Bank from March 2017 and May 2017.
","मेहुल चोकसी और उसके भांजे नीरव मोदी ने मार्च 2017 से मई 2017 के बीच पंजाब नेशनल बैंक से रकम निकाली थी।
"
"One day my uncle family had come to my house.
","एक दिन की बात है कि मेरा भाई सपरिवार मेरे घर आया।
"
"Police have taken the uncle of the deceased into custody.
","पुलिस ने मृतक के पिता को हिरासत में ले लिया है.
"
"Several videos and pictures have been doing the rounds on the internet, wherein the 'Dilwale Dulhania Le Jayenge' star can be seen greeting her uncles at a pandal.
","इंटरनेट पर कई वीडियो और तस्वीरें वायरल हो रही हैं, जिसमें 'दिलवाले दुल्हनिया ले जाएंगे' स्टार को एक पंडाल में अपने का अभिवादन करते देखा जा सकता है।
"
"She also said in the complaint that the sons of the accused uncle also threatened to kill her, along with other relatives.
","पीड़िता ने अपनी शिकायत में आरोपी के बेटों और अन्य संबंधियों पर उसे जान से मारने की धमकी देने का आरोप भी लगाया है।
"
"She was asked if she had inherited the doll from some uncle, who had stuffed drugs in it 30 years ago.
","उससे पूछा गया कि क्या उसे किसी अंकल ने दी थी, जिसने 30 साल पहले उसमें ड्रग्स भरी थी।
"
"Since then, she was living at her uncle's house in Agra.
","इसके बाद वह मजे से आगरा में अपने मायके के घर में रह रही थी।
"
"So he said, 'Why uncle?
","तो उसने कहा- क्यों भैया?
"
"Superstar Chiranjeevi & Nagendra Babu are his uncles.
","चिरंजीवी और नागेंद्र बाबू उनके भाई हैं।
"
"The family of the deceased have lodged a case against six people including the uncle.
","मृतका के पिता ने पति समेत छह लोगों पर केस दर्ज कराया है।
"
"The girl has been staying at her uncle's house since childhood.
","बचपन से लड़की के घर में रह रहा है।
"
"The uncle asked curiously.
","- चाची ने विस्मय से पूछा।
"
"The uncle was always tumbling.
","चाची लगातार सिसकार रही थी.
"
"There was no uncle.
","कोई चाची नहीं थीं।
"
"To live with her uncle
","चाची के साथ रहने के
"
"Uttar Pradesh: 7-year-old boy killed by uncle
","उत्तर प्रदेश: सात साल की एक बच्ची से बलात्कार
"
"Well, he wasn't my uncle..
","वह मेरा मायका नहीं रहा...।
"
"What happened to Queen Elizabeth's uncle?
","महारानी एलिजाबेथ के साथ क्या हुआ
"
"What happened with Queen Elizabeth's uncle?
","महारानी एलिजाबेथ के साथ क्या हुआ
"
"What is my father's uncle to me?
","मेरे पापा का भतीजा मेरा क्या लगेगा?
"
"Who is the uncle of Allu Arjun?
","अल्लू अर्जुन का भाई कौन है ?
"
"Who was queen elizabeth's uncle?
","महारानी एलिज़ाबेथ कौन थी?
"
"Why don't you believe me, uncle?
","क्यों न करूँ विश्वास, है अगन मुझको
"
"You remind me of my uncle!
","आप ने मुझे मेरी भांजी की याद दिला दी !
"
"You've been an amazing father, brother, uncle and friend!
","आप एक अविश्वसनीय पिता, भाई और दोस्त हैं!
"
"Your best friend's uncle is a girl?
","क्या आपके प्रेमी का सबसे अच्छा दोस्त एक लड़की है?
"
"Your uncle's getting married?
","चाची शादी रचा रही है उसकी?
"
"and the uncle's pissed off.
","और चाची झड़ गयी.
"
"boyfriend's mother's uncle
","दोस्त की माँ का बोहसडा
"
"her uncle, Mr J.W. Shaw.
","उनके दादा, जे.डब्ल्यू।
"
"in memory of my uncle
","चाची की याद में
"
"mother's brother, uncle
","माँ का भाई, मातुल
"
"my uncle is.
","मेरी चाची है ।
"
"no, uncle, please don't.
","वो- नहीं चाची जी, प्लीज़ मत बताओ।
"
"of your mother, father, uncle.
","ऊपर से तेरे मामी, पापा, भाई, आप्पा
"
"on his uncle's bed
","तिनकों के बिस्तर पर
"
"the child's maternal uncle.
","बालक की किलकारी मां।
"
"the father and uncles of Queen Victoria
","रानी विक्टोरिया के बच्चे और दादाजी
"
"to live with his uncle
","चाची के साथ रहने के
"
"uncle and aunts
","दादी और अश्वेतों
"
"uncle killed by his two nephews in the land dispute
","भूमि विवाद में दो सगे भाइयों की गोली मारकर हत्या
"
"uncle of Jacob (1)
","ऐ याक़ूब की सन्तान (1)
"
"uncles and the men on the street
","सड़क के किनारे पुरुष और सह
"
"Police has registered a criminal case against the wife of the deceased, her uncle and her father.
","मृतक के पिता की तहरीर पर पुलिस ने प्रेमिका, उसकी मां व भाई के खिलाफ केस दर्ज कर लिया है।
"
"Her mother and uncle were grievously wounded.
","मयंक की मां और दादी को मामूूली चोट लगी।
"
"According to the police, the 17-year-old girl stayed with her paternal aunt and uncle.
","पुलिस के मुताबिक पुष्पा नगर में 17 वर्षीय किशोरी अपने माता-पिता के साथ रहती है।
"
"Nirav Modi, along with his uncle Mehul Choksi, are accused in the Rs. 13,500 crore Punjab National Bank (PNB) fraud.
","गौरतलब है कि मेहुल चोकसी और उसके नीरव मोदी पर कुछ बैंक ऑफिसर्स के साथ मिलीभगत कर (पीएनबी) के साथ कथित तौर पर 13,500 करोड़ रूपये की धोखाधड़ी का का आरोप है.
"
"Nirav Modi and his uncle Mehul Choksi are the prime accused in the Punjab National Bank scam.
","चोकसी और उसका भांजा नीरव मोदी पंजाब नेशनल बैंक को चूना लगाने के मुख्य आरोपी हैं।
"
"Police have arrested three people, including child's maternal uncle, in connection with the incident.
","पुलिस ने इस मामले में युवती के पिता सहित तीन लोगों को गिरफ्तार कर लिया है.
"
"Chief Minister Akhilesh Yadav and uncle and state party chief Shivpal Yadav put up a united front, along with party chief Mulayam Singh Yadav.
","समाजवादी पार्टी और परिवार के बीच अंदरुनी कलह को देखते हुए पार्टी के मुखिया मुलायम सिंह यादव ने मुख्यमंत्री अखिलेश और प्रदेश अध्यक्ष शिवपाल यादव को तलब किया है.
"
"Yadav uncle and senior Cabinet Minister Shivpal Yadav was not present in the Cabinet meeting.
","बैठक में वरिष्ठ मंत्री शिवपाल सिंह यादव व बलराम यादव भी मौजूद थे।
"
"Both the men were the child's uncles.
","दोनों बच्चे ममेरे-फुफेरे भाई थे।
"
"Meanwhile, in another tweet, the PDP president alleged that the Army raided the house of her uncle and senior party leader Sartaj Madni who has been under custody since December last year.
","इस बीच एक अन्य ट्वीट में पीडीपी PDP अध्यक्ष ने आरोप लगाया कि सेना ने उनके रिश्तेदार और पार्टी के वरिष्ठ नेता सरताज मदनी के आवास पर छापेमारी की.
"
"Police has registered a criminal case against the wife of the deceased, her uncle and her father.
","क्षेत्रीय पुलिस ने मृतका के पति, सास, ससुर तथा देवर के खिलाफ दहेज हत्या का केस दर्ज किया है।
"
"Then he announced the death of her maternal uncle Hamzah bin ‘Abdul Muttalib.
","फिर उन के मामूं हज़रत हमज़ा है बिन अब्दुल मुत्तलिब की शहादत की ख़बर दी गई।
"
"Police have arrested the woman's father, mother and uncle.
","पुलिस ने हत्या में महिला के पिता, ममेरे और मौसेरे भाई को गिरफ्तार भी कर लिया है।
"
"Police have arrested three people, including child's maternal uncle, in connection with the incident.
","पुलिस ने इस मामले में मां बेटे समेत तीन लोगों को गिरफ्तार कर लिया है।
"
"He was born in his maternal uncle’s house.
","उसका जन्म एक मछिहारे के घर हुआ था।
"
"Police has registered a criminal case against the wife of the deceased, her uncle and her father.
","पीड़िता की तहरीर पर पुलिस ने पति, सास और ससुर के खिलाफ दहेज उत्पीड़न का मुकदमा दर्ज कर लिया है।
"
"Another theory doing the rounds is that he was disturbed by the murder of his 58-year-old uncle Ashok Kumar in Pathankot during an alleged robbery attempt.
","वहीं ऐसी भी खबर है कि वह पठानकोट में कथित तौर पर लूटपाट के प्रयास में अपने 58 वर्षीय अंकल अशोक कुमार की हत्या से काफी दुखी थे.
"
"His mother and one of his uncles had died of it.
","इनके माता-पिता और एक बाई की हादसे में मौत हो गई थी।
"
"He will be sharing the screen space with his father Sunny Deol, uncle Bobby Deol and grandfather Dharmendra in the movie.
","इस फिल्म में बॉबी देओल अपने पापा धर्मेंद्र और बड़े भाई सनी देओल के साथ लोगों को गुदगुदाने की कोशिश करेंगे।
"
"The woman's father, mother and uncle have been arrested in connection with the killing.
","ऑनर किलिंग के इस मामले में मृतका की मां, पिता और भाई गिरफ्तार किए गए हैं.
"
"""What's the big deal uncle?
","“आखिर बात क्या हैं भाई साहब ?
"
"Some time ago, the family feud in the SP between Chief Minister Akhilesh Yadav and his uncle, Shivpal Singh Yadav, appeared to give the BJP the edge.
","पिछले दिनों यादव परिवार में छिड़े 'गृहयुद्ध' के दौरान कुछ सपा नेता मुख्यमंत्री अखिलेश यादव के कोपभाजन का शिकार हुए तो कुछ शिवपाल यादव के।
"
"Abhay is the son of producer-director Ajit Singh Deol and his uncle is the famous actor Dharmendra.
","बॉलीवुड के जानेमाने अभिनेता अभय देओल धर्मेन्द्र के छोटे भाई अजीत सिंह देओल के बेटे हैं।
"
"""The entire family of the girl including her father, uncle and brother are history sheeters and have a long criminal history.
","मृतका की मां और बहन सहित पूरे परिवार का काफी पुराना अपराधिक इतिहास रहा है।
"
"And I had an uncle.
","मेरी एक बुआ थी।
"
"His father, grandfather and uncles were all footballers.
","उनके पिता और भाई सभी क्रिकेटर थे।
"
"Akhilesh Yadav sacks 4 ministers, including uncle Shivpal, from UP cabinet
","यूपी: अखिलेश का बड़ा कदम, शिवपाल सहित 4 मंत्री कैबिनेट से बर्खास्त
"
"The girl's uncle has been arrested.
","लड़की के भाई को गिरफ्तार कर लिया गया है।
"
"Nirav Modi, presently lodged in a jail in the United Kingdom, his uncle Mehul Choksi and others have been charged by the Enforcement Directorate (ED) in the Punjab National Bank (PNB) money laundering case.
","पंजाब नेशनल बैंक (पीएनबी) में धन शोधन (मनी लांड्रिंग) मामले में ईडी फिलहाल लंदन की जेल में बंद नीरव मोदी, उसके रिश्तेदार मेहुल चौकसी और अन्य के खिलाफ जांच कर रहा है।
"
"The CBI and the ED moved separate applications to the external affairs ministry seeking the revocation of passports of Modi and his maternal uncle Mehul Choksi, the promoter of Gitanjali jewellery chain, both accused in the fraud case the officials said.
","सीबीआई और ईडी विदेश मंत्रालय के पास अलग-अलग आवेदनों के जरिए मोदी और उसके रिश्तेदार एवं गीतांजलि ज्वेलरी श्रृंखला के प्रवर्तक मेहुल चौकसी का पासपोर्ट रद्द करने की अपील है।
"
"Actor Kunal Kemmu says he would love to play the uncle's role in ""Hum Hain Rahi Pyar Ke"" if a remake is made.
","नई दिल्ली: अभिनेता कुणाल खेमू ने कहा है कि यदि 'हम हैं राही प्यार के' फिल्म का रीमेक बनता है तो वह उसमें अंकल (आमिर खान) की भूमिका अदा करना चाहेंगे।
"
"Thereafter, she returned to the house of her other maternal uncle.
","इसके बाद वह एक अन्य रिश्तेदार के घर होकर फिर बहन के घर लौटे।
"
"Police have arrested the woman's father, mother and uncle.
","जिसके बाद पुलिस ने महिला के सास-ससुर और पति को गिरफ्तार कर लिया है।
"
"And his uncle Nawaz Sharif is a former Prime Minister of Pakistan and President of Pakistan Muslim League (N).
","पाकिस्तान के पूर्व प्रधानमंत्री नवाज शरीफ की बेटी और पाकिस्तान मुस्लिम लीग (नवाज) की नेता।
"
"Gokhale was last seen on Sony TV’s Tara From Satara in which he played Varun Mane, uncle to Roshni Walia’s Tara.
","आशीष गोखले आखिरी बार सोनी टीवी के 'तारा फ्रॉम सतारा' में नजर आए थे, इसमें उन्होंने रोशनी के वालिया के अंकल वरुण माने का किरदार निभाया था।
"
"He was referring to Chief Minister Akhilesh Yadav’s father and SP supremo Mulayam Singh , and his uncle Shivpal Yadav and State Minister Azam Khan.
","अमर सिंह ने सपा प्रमुख मुलायम सिंह यादव और मुख्यमंत्री अखिलेश यादव की जमकर प्रशंसा की।
"
"His uncle, Neeraj Shekhar, has already resigned from SP and is in the BJP.
","नीरज शेखर ने राज्यसभा से इस्तीफा दिया था और सपा छोड़कर भाजपा में शामिल हुए थे
"
"The petitioner, who identifies himself as a man, said the mother and the uncle of his partner forcibly took her home in Jajpur, and arranged her marriage with another person, prompting him to approach the court.
","अपनी पहचान एक पुरुष के तौर पर करने वाले याचिकाकर्ता ने कहा कि उसके साथी की मां एवं रिश्तेदार उसे जबरन जयपुर ले गए थे और उसकी शादी दूसरे व्यक्ति के साथ तय कर दी जिससे उसे अदालत का रुख करना पड़ा।
"
"Akhhilesh, his MP wife Dimple, father Mulayam Singh Yadav, uncle Shivpal Yadav and SP MP Sanjay Seth were present on the occasion.
","इस बीच मुलायम सिंह यादव की छोटी बहू अपर्णा यादव के गृह प्रवेश के मौके पर मुलायम और शिवपाल के अलावा अखिलेश यादव की पत्नी डिंपल यादव भीं नजर आईं।
"
"Also read: Nawazuddin Siddiqui’s niece accuses his brother of sexual harassment, reveals his response ‘he is your uncle, can’t do this’: report
","ये भी पढ़ें- नवाजुद्दीन सिद्दीकी के भाई पर भतीजी ने लगाया यौन उत्पीड़न का आरोप, …
"
"Following this, the girl's uncle reported the matter to police.
","इसके बाद बच्ची की माँ ने यह मामला पुलिस को बताया.
"
"Nirav Modi and his uncle Mehul Choksi are the key accused in the multi-crore Punjab National Bank (PNB) scam, while Mallya, who is currently in the UK, is wanted in India for charges of money laundering and defaulting on bank loans.
","पंजाब नेशनल बैंक (PNB) घोटाले के आरोपी और भगोड़े नीरव मोदी का सौतेला भाई नेहल मोदी अमेरिका में धोखाधड़ी के आरोपों में फंस गया है।
"
"He was my paternal uncle (father’s brother).
","वो मेरे पापा की सगी बहन यानी की मेरी बुआ हे.
"
"Actor Arjun Kapoor will soon be seen sharing screen space for the first time with his uncle Anil Kapoor.
","फिल्‍म में वे पहली बार अर्जु कपूर के साथ स्‍क्रीन शेयर करती दिखेंगी.
"
"Kushal's uncle is a senior BJP leader.
","कुलस्ते मप्र भाजपा के वरिष्ठ नेता हैं।
"
"His uncle Dharampal also got injured.
","दीपक के चचेरे भाई धर्मपाल भी घायल हो गए।
"
"The uncle informed the family about the incident.
","मासूम ने घटना की जानकारी परिजनों को दी।
"
"He will be sharing the screen space with his father Sunny Deol, uncle Bobby Deol and grandfather Dharmendra in the movie.
","इस फिल्म में वो अपने पिता धर्मेंद्र और बड़े भाई सनी देओल के साथ लोगों को गुदगुदाते नजर आएंगे.
"
"Police are questioning the girl's paternal uncle, two cousins and other villagers in this connection.
","पुलिस इस मामले में लड़की के माता-पिता से पूछताछ कर रही है, जिनके दो और बच्‍चे हैं।
"
"Chief Minister Akhilesh Yadav and uncle and state party chief Shivpal Yadav put up a united front, along with party chief Mulayam Singh Yadav.
","मुख्यमंत्री अखिलेश यादव, समाजवादी पार्टी प्रमुख मुलायम सिंह यादव, वरिष्ठ कैबिनेट मंत्री शिवपाल सिंह यादव तथा उनके परिवार के अन्य सदस्यों ने इटावा में मतदान किया.
"
"Police have arrested the woman's father, mother and uncle.
","महिला के पति, सास व ससुर को पुलिस ने हिरासत में लिया है।
"
"But “close family” does not include grandparents, grandchildren, aunts, uncles, nieces, nephews, cousins, brothers-in-law and sisters-in-law, fiances and any other “extended” family members, the guidelines say.
","इसके अनुसार, ग्रैंडपेरेंट्स, ग्रैंड चिल्ड्रेन, आंटी, अंकल, भतीजा-भतीजी, चचेरे भाई-बहन, साला-साली, मंगेतर और दूसरे पारिवारिक सदस्‍य को को करीबी रिश्तेदार में शामिल नहीं किया गया है।
"
"All three uncles were Christians.
","तीनों निहंग संन्यासी थे।
"
"Recalling the incident, the deceased's uncle Raju Nagar said, ""When we reached the spot, we saw Rahul was being beaten up.
","घटना को याद करते हुए राजपूत के रिश्तेदार राजू नागर ने कहा, ” जब हम मौके पर पहुंचे, हमने देखा राहुल को पीटा जा रहा था।
"
"Punjab National Bank (PNB), in its complaint, directly accused Modi, his wife Ami, brother Nishal, and uncle Choksi of conniving with the two bank official to commit the fraud.
","पंजाब नेशनल बैंक ने अपनी शिकायत में बताया था कि नीरव मोदी, उनके भाई नीशाल मोदी और उनकी पत्नी अमी ने अपनी कंपनी में गलत घाटा दिखाकर बैंक के साथ धोखा किया था।
"
"Police have arrested three people, including child's maternal uncle, in connection with the incident.
","पुलिस (Police) ने इस सिलसिले में आरोपी की मां समेत तीन लोगों को गिरफ्तार किया है.
"
"A close relative is a grandparent, brother, sister, aunt, uncle or step-parent.
","नजदीकी रिश्तेदार का मतलब पिता, माता, भाई, बहन, दादा, दादी, पोता और पोती से है।
"
"The PSPL is a new party formed by Shivpal Yadav, the disgruntled former Samajwadi Party leader and uncle of Akhilesh Yadav.
","समाजवादी पार्टी से अलग होकर नई पार्टी बनाने वाले शिवपाल यादव अपने भतीजे और निवर्तमान सांसद अक्षय यादव से ताल ठोकने को तैयार हैं।
"
"We will always miss you uncle.
","हम आपको हमेशा याद करेंगे वाजिद भाई।
"
"The existing Guinness Book record for the fastest bicycle ride from Srinagar to Kanyakumari is held by his uncle, Mahendra Mahajan.
","श्रीनगर से कन्याकुमारी तक सबसे तेज साइकिल चलाने का रिकॉर्ड पहले उनके अंकल महेंद्र महाजन के नाम था।
"
"Nirav Modi and his uncle Mehul Choksi are the main accused in the PNB fraud case.
","पीएनबी घोटाला मामले में करीब साढे ग्यारह हजार करोड़ के घोटाले का मुख्य आरोपी नीरव मोदी और उसके सहयोगी कारोबारी मेहुल चौकसी है.
"
"Diamontaire Nirav Modi and his uncle Mehul Choksi are accused of siphoning around Rs 13 thousand crores of Punjab National Bank through fraudulent means.
","नीरव मोदी और मेहुल चोकसी पर फर्जी लेटर ऑफ अं‍डरटेकिंग (एलओयू) के जरिए पंजाब नेशनल बैंक को 13 हजार करोड़ रुपये का चूना लगाने का आरोप है।
"
"Meanwhile, Shiv Sena's Sanjay Raut said that Ajit Pawar betrayed his uncle.
","इस बीच शिव सेना नेता संजय राउत ने कहा है कि अजित पवार ने शरद पवार को धोखा दिया है.
"
"Nirav Modi, along with his uncle Mehul Choksi, are accused in the Rs. 13,500 crore Punjab National Bank (PNB) fraud.
","बता दें कि मेहुल चोकसी पर अपने भतीजे नीरव मोदी के साथ पंजाब नेशनल बैंक (पीएनबी) में 13,500 करोड़ रुपये की धोखाधड़ी करने का आरोप है, जिसमें लेटर ऑफ अंडरटेकिंग का इस्तेमाल कर पैसों की हेराफेरी की गई है।
"
"""Although we had eaten the food by that time, uncle insisted on eating and dancing.
","उन्होंने कहा, ‘‘हालांकि हमने उस वक्त खाना खाया हुआ था और अंकल ने हमारे ऊपर खाना खाने और नाचने के लिए जोर डाला।
"
"The maternal uncle of Sushant Singh Rajput has also demanded a CBI probe into the matter.
","सुशांत सिंह राजपूत के पिता ने की सीबीआई जांच की मांग
"
