eng_Latn,mal_Mlym
"""""""She asked the officer permission to say goodbye to her aunt at the airport,"""" the video is captioned.""
","""""""എയർപോർട്ടിൽ ആൻറിയോട് വിട പറയാൻ അവൾ ഉദ്യോഗസ്ഥരോട് അനുവാദം ചോദിക്കുന്നു"""" എന്ന് വീഡിയോയ്ക്ക് അടിക്കുറിപ്പ് നൽകിയിട്ടുണ്ട്.""
"
"""""""So, how do you like my new home?"""" my aunt asked me.""
","""""""എങ്ങനെയുണ്ട് എന്റെ പുതിയ വീട് ആൻറി ചോദിച്ചു.""
"
"""""""This is her aunt.""
","""""""അതാണ് നിങ്ങളുടെ അമ്മായി.""
"
"""""""What about the aunt?""
","""""""അയ്യേ അമ്മായിയെ കുറിച്ചോ ?""
"
"""""""What do I call your aunt?""
","""""""എന്താ അമ്മായി വിളിപ്പിച്ചേ. . ?""
"
"""""""What else should I do, aunt?""
","""""""ഞാനിനി എന്തുചെയ്യും അമ്മായീ?""
"
"""""""What for?"""" my aunt asked.""
",""" """"എന്തിനു."""" ആന്റി ചോദിച്ചു.""
"
"""""""What is it about aunt?""""""
","""""""അയ്യേ അമ്മായിയെ കുറിച്ചോ ?""
"
"""""""What was the happiest time in your aunt's life?""""""
","""""""അച്ഛന്റെ ജീവിതത്തിലെ ഏറ്റവും വലിയ സന്തോഷമെന്താണെന്ന്?""
"
"""""""Where are aunt and uncle?""""""
","""""""അങ്കിളും ആന്റിയും എവിടെ ?""
"
"""""""Where are my aunt and uncle?""
","""""""അങ്കിളും ആന്റിയും എവിടെ ?""
"
"""""""Where are my aunt and uncle?""""""
","""""""അങ്കിളും ആന്റിയും എവിടെ ?""
"
"""""""Where are my uncle and aunt?""""""
","""""""അങ്കിളും ആന്റിയും എവിടെ ?""
"
"""""""Where are your aunt and uncle?""""""
","""""""അങ്കിളും ആന്റിയും എവിടെ ?""
"
"""""""Where are your uncle and aunt?""""""
","""""""അങ്കിളും ആന്റിയും എവിടെ ?""
"
"""""""Where did my aunt go?""""""
","""""""ആന്റി എവിടെയാ പോയത്?""
"
"""""""Where is aunt and uncle?""""""
","""""""അങ്കിളും ആന്റിയും എവിടെ ?""
"
"""""""Where's your aunt tonight?""""""
","""""""എങ്ങോട്ടാ അമ്മായി രാവിലെ തന്നെ?""
"
"""""""Why are you crying, aunt?""""""
",""""""" എന്താ ആന്റി പറ്റിയെ എന്തിനാ കരയണേ """"""
"
"""""""Why your aunt?""""""
","""""""എന്തിനാ അമ്മായി ?""
"
"""""""Why?"""" asked my aunt.""
",""" """"എന്തിനു."""" ആന്റി ചോദിച്ചു.""
"
"""""""Why?"""" aunt two asked.""
",""" """"എന്തിനു."""" ആന്റി ചോദിച്ചു.""
"
"""""""Yes, aunt,"""" answered Ben.""
",""" """"അതെ. അനിത,"""" ബിനു പറഞ്ഞു.""
"
"""""""You are her aunt?""""""
","""""""നീ ഇവളുടെ കാമുകൻ അലെ?""
"
"""""""You do not know my aunt.""""""
","""""""നിനക്ക് അമ്മുവിനെ അറിയില്ല മോളേ. . """"""
"
"""""""You don't know my aunt.""""""
","""""""നിനക്ക് അമ്മുവിനെ അറിയില്ല മോളേ. . """"""
"
"""""""You don't need to ask, aunt.""""""
","""""""ചോദിക്കുവൊന്നും വേണ്ട അങ്കിൾ.""
"
"""""""You never call me aunt anymore.""
",""" """"ആനീ. . നീ എന്നെ ഇനി അങ്കിൾ എന്ന് വിളിക്കണ്ട.""
"
"""""""Your aunt is a witch?""""""
","""""""നിന്റെ അമ്മായിയമ്മ. . . അശ്ലീലമാണോ?""
"
"""""""where's aunt and uncle?""""""
","""""""അങ്കിളും ആന്റിയും എവിടെ ?""
"
"""Could you take me to my aunt's house?""""""
",""""""" അങ്കിളിന്റെ വീട്ടിലേയ്ക്ക് എന്നെയും കൂടെ കൊണ്ടു പോകുമോ?""
"
"""Do you know who her aunt was?""""""
","""""""വീണ ആന്റി ആരാണെന്ന് നിനക്കു അറിയാമോ . . ?""
"
"""Her second son, Warren """"Rennie"""" Horsford Hunt (1855-1865) [3] died of diphtheria in 1865 at his aunt's home in West Roxbury.""
","""അവരുടെ രണ്ടാമത്തെ പുത്രൻ വാറൻ """"റെന്നി"""" ഹോഴ്സ്ഫോർഡ് ഹണ്ട് (1855-1865) വെസ്റ്റ് റോക്സ്ബറിയിലെ അമ്മായിയുടെ ഭവനത്തിൽവച്ച് 1865-ൽ ഡിഫ്തീരിയ ബാധിച്ചു മരണമടഞ്ഞിരുന്നു.""
"
"""Her second son, Warren """"Rennie"""" Horsford Hunt (1855-1865) died of diphtheria in 1865 at his aunt's home in West Roxbury.""
","""അവരുടെ രണ്ടാമത്തെ പുത്രൻ വാറൻ """"റെന്നി"""" ഹോഴ്സ്ഫോർഡ് ഹണ്ട് (1855-1865) വെസ്റ്റ് റോക്സ്ബറിയിലെ അമ്മായിയുടെ ഭവനത്തിൽവച്ച് 1865-ൽ ഡിഫ്തീരിയ ബാധിച്ചു മരണമടഞ്ഞിരുന്നു.""
"
"""I am your aunt!""""""
","""""""ഹലോ, ഞാൻ നിന്റെ അമ്മായിയാണ്!""
"
"""I insisted my mother call me """"Tommie"""" and spoke of two brothers, a sister, aunts and uncles, none of whom my parents knew.""
","' എന്റെ അമ്മ എന്നെ 'ടോമി' എന്ന് വിളിക്കാൻ നിർബന്ധിക്കുകയും രണ്ട് സഹോദരങ്ങൾ, ഒരു സഹോദരി, അമ്മായി, അമ്മാവൻ എന്നിവരെക്കുറിച്ച് സംസാരിക്കുകയും ചെയ്തു, അവരാരും എന്റെ മാതാപിതാക്കൾക്ക് അറിയില്ല.
"
"""I will tell my aunt.""""""
","""അല്ലെൽ അമ്മായിയോട് പറയും""""""
"
"""I'm your aunt!""""""
","""""""ഹലോ, ഞാൻ നിന്റെ അമ്മായിയാണ്!""
"
"""Ibn Abbas (RA) narrates: One night I stayed overnight in the house of my aunt Maymoonah, and said to myself, """"I will watch the prayer of Allah's Apostle.""""""
","ഇബ്നു അബ്ബാസ് (റ) നിവേദനം ചെയ്യുന്നു 'എന്റെ അമ്മായി മൈമൂനയുടെ വീട്ടിൽ ഞാൻ ഒരു രാത്രി താമസിച്ചു, വൈകുന്നേരം നബി (സ) വന്നപ്പോൾ അന്വേഷിച്ചു കുട്ടി നമസ്കരിച്ചുവോ?
"
"""It's his aunt.""""""
","""ഇത് അവളുടെ ആന്റി""""""
"
"""Lady Gaga once said of her aunt, """"I realized my father's sister, Joanne, who'd died at 19, had instilled her spirit in me.""
","""ലേഡി ഗാഗ ബ്രിട്ടനോട് പറഞ്ഞു ലോകം വാർത്ത, """"എന്റെ പിതാവിന്റെ സഹോദരി, ജോവാൻ, 19 വയസ്സിൽ മരിച്ചു, അവളുടെ ആത്മാവ് എന്നിൽ പകർന്നതായി ഞാൻ മനസ്സിലാക്കി.""
"
"""Let's see your aunt.""""""
",""" . അമ്മായി കാണട്ടെ """"""
"
"""MCQ->A man Said to a lady,""""Your mother's husband's sister is my aunt.""""""
","""MCQ->ഒരു സ്ത്രീയെ ചൂണ്ടി ഒരാൾ """" ഇവരുടെ അച്ഛൻറെ മകൾ എൻറെ അച്ഛൻറെ ഭാര്യയുടെ സഹോദരിയാണ്.""
"
"""My aunt looked at my uncle and said, """"that's your son.""""""
",""""""" അമ്മ മകനെ നോക്കി അറിയിച്ചുഃ- """"നിന്റെ അമ്മാവനാണ് ഇദ്ദേഹം.""
"
"""Raina's aunt Victoria Wind said: """"As far as we know, the current was very strong when they entered the water, but everything seemed calm from above.""""""
","""റെയ്നയുടെ അമ്മായി വിക്ടോറിയ വിൻഡ് പറഞ്ഞുഃ """"നമുക്കറിയാവുന്നിടത്തോളം, അവർ വെള്ളത്തിൽ പ്രവേശിക്കുമ്പോൾ കറന്റ് വളരെ ശക്തമായിരുന്നു, പക്ഷേ മുകളിൽ നിന്ന് എല്ലാം ശാന്തമായി തോന്നി.""
"
"""She also wrote a children's book called """"Kamala and Maya's Big Idea"""" about her aunt and mother.""
","കുട്ടികളുടെ പുസ്തകങ്ങൾ അടക്കം കമല ആൻഡ് മായാസ് ബിഗ് ഐഡിയ (Kamala and Maya's Big Idea) എന്ന പുസ്തകം വരെ ഇവർ പുറത്തിറക്കിയിട്ടുണ്ട്.
"
"""So she has been staying with an aunt most of the time,"""" says her mother.""
","""അതുകൊണ്ട് മിക്കസമയത്തും അവൾ ഒരു ആൻറിയോടൊപ്പം താമസിക്കുകയായിരുന്നു,"""" അവളുടെ അമ്മ പറഞ്ഞു.""
"
"""The aunt, """"What?""
","""അമ്മായി പറഞ്ഞു, """"എന്ത്?""
"
"""Then I'll take you to your aunt in Chicago.""""""
","""""""എന്നാൽ പിന്നെ നിന്റച്ഛനെ ഷിക്കാഗോയിൽ കൊണ്ടു പോകാം.""
"
"""This is his aunt.""""""
","""ഇത് അവളുടെ ആന്റി""""""
"
"""Where are my aunt and uncle?""""""
","""""""അങ്കിളും ആന്റിയും എവിടെ ?""
"
"""Where are your aunt and uncle?""""""
","""""""അങ്കിളും ആന്റിയും എവിടെ ?""
"
"""Where're your aunt and uncle.""""""
","""""""അങ്കിളും ആന്റിയും എവിടെ ?""
"
"""Your aunt says you need to go home.""""""
","""അത്യാവശ്യമായി വീട്ടിൽ കയറിയിട്ട് പോവാൻ അമ്മായി പറഞ്ഞു.""""""
"
"""here, without aunt and uncle.""""""
","""ഇവിടെ അമ്മായിയും വേണ്ട അമ്മാവനും വേണ്ട. . """"""
"
"""what is a playboy magazine with aunt without clothes """"Playboy"""" (Russian """"The Shed"""") a magazine for men, published from 1953 by Hugh Hefner and his colleagues, who grew up in the publishing house Playboy Enterprises, ...""
","""വസ്ത്രങ്ങളില്ലാത്ത അമ്മായികളുള്ള ഒരു പ്ലേബോയ് മാഗസിൻ എന്താണ് """"പ്ലേബോയ്"""" (റഷ്യൻ """"പോവേസ"""") പുരുഷന്മാർക്കായുള്ള ഒരു മാസികയാണ്, എക്സ്നെംക്സ് മുതൽ പ്രസിദ്ധീകരിച്ച ഹഗ് ഹെഫ്നറും കൂട്ടരും പ്രസിദ്ധീകരണശാലയിൽ വളർന്ന പ്ലേബോയ് എന്റർപ്രൈസസ്, പ്രവർത്തനം . . .""
"
"'Nothing,' said my aunt.
","'ഒന്നൂല്ല ' അമ്മായി പറഞ്ഞു.
"
"(Your mother, sister, aunt, wife, daughter and co-workers)
","(അമ്മ, അമ്മമ, അമ്മായിഅമ്മ, മകൾ, ഭാര്യ, അനിയത്തി. . .)
"
"- She lives with her aunt.
","അവൾ അമ്മായിയുടെ കൂടെയാണ് താമസിക്കുന്നത്.
"
"41 years later, in 1773, Narayanrao, the fifth and ruling Peshwa then, was murdered on orders of his uncle Raghunathrao and aunt Anandibai.
","1773 ൽ അക്കാലത്തെ അഞ്ചാമത്തേയും നിലവിലേയും പേഷ്വയായിരുന്ന നാരായണ റാവു അദ്ദേഹത്തിന്റെ അമ്മാവൻ രഘുനാഥറാവു, അമ്മായി ആനന്ദബായി എന്നിവർ നടത്തിയ ഉപജാപങ്ങളുടെ ഫലമായി കാവൽക്കാരാൽ കൊല്ലപ്പെട്ടിരുന്നു.
"
"A 4-year old was visiting his aunt's home.
","അമ്മാവൻറെ വീട്ടിലേക്ക് വിരുന്നെത്തിയതായി രുന്നു ആ നാലുവയസ്സുകാരി.
"
"A boy can marry the daughter of his maternal uncle or his paternal aunt.
","ഉപ്പയുടെ ജ്യേഷ്ടന്റെയോ അനിയന്റെയോ മകളെ വിവാഹം കഴിക്കാൻ പറ്റുമോ.
"
"A few minutes later, my aunt followed me.
","കുറച്ച് നിമിഷങ്ങൾക്ക് ശേഷം മമ്മി എന്നെ പിന്തുടർന്നു.
"
"A little later, my aunt and her family arrived.
","കുറച്ചു കഴിഞ്ഞതും, അമ്മാവനും, അമ്മായിയും വന്നു.
"
"About Domenico Berardi's relatives: Away from Berardi's immediate family, not much is known about his maternal and paternal grandparents while his uncles, aunts, cousins, nephews and nieces are yet to be identified.
","ഡൊമെനിക്കോ ബെരാർഡിയുടെ ബന്ധുക്കളെക്കുറിച്ച്ഃ ബെരാർഡിയുടെ അടുത്ത കുടുംബത്തിൽ നിന്ന് അകലെ, അമ്മാവൻമാർ, അമ്മായിമാർ, കസിൻസ്, മരുമക്കൾ, മരുമക്കൾ എന്നിവരെ ഇനിയും തിരിച്ചറിഞ്ഞിട്ടില്ലെങ്കിലും അദ്ദേഹത്തിന്റെ മാതൃ-പിതാമഹന്മാരെക്കുറിച്ച് കൂടുതൽ അറിവില്ല.
"
"About Donyell Malen's relatives: Away from Malen's immediate family life, he has a grandfather and grandmother identified as Joop and Marian respectively while there are no existing records of his uncles, aunts, cousins, nieces and nephews at the time of writing.
","ഡോണെൽ മാലന്റെ ബന്ധുക്കളെക്കുറിച്ച്ഃ മാലന്റെ ഉടനടി കുടുംബജീവിതത്തിൽ നിന്ന് അകലെ, അദ്ദേഹത്തിന് ഒരു മുത്തച്ഛനും മുത്തശ്ശിയും യഥാക്രമം ജൂപ്പ്, മരിയൻ എന്ന് തിരിച്ചറിഞ്ഞിട്ടുണ്ട്, അതേസമയം എഴുതിയ സമയത്ത് അമ്മാവന്മാർ, അമ്മായിമാർ, കസിൻസ്, മരുമക്കൾ, മരുമക്കൾ എന്നിവരുടെ രേഖകളൊന്നും നിലവിലില്ല.
"
"About Emi Buendia's Relatives: Regarding Buendia's larger family tree, his paternal and maternal grandparents are one of football's unravelled mysteries while there are no available records of his uncles, aunts, nieces and nephews.
","ഭൂമി ബ്യൂണ്ടിയയുടെ ബന്ധുക്കളെക്കുറിച്ച്ഃ ബ്യൂണ്ടിയയുടെ വലിയ കുടുംബവീക്ഷണത്തെ സംബന്ധിച്ചിടത്തോളം, അദ്ദേഹത്തിന്റെ പിതൃ, മാതൃ മുത്തശ്ശിമാർ ഫുട്ബോളിന്റെ അനാവരണം ചെയ്യപ്പെടുന്ന രഹസ്യങ്ങളിലൊന്നാണ്, അതേസമയം അദ്ദേഹത്തിന്റെ അമ്മാവന്മാർ, അമ്മായിമാർ, മരുമക്കൾ, മരുമക്കൾ എന്നിവരുടെ രേഖകളൊന്നും ലഭ്യമല്ല.
"
"About Mario Balotelli Relatives: There is no denying the fact that Balotelli has uncles, aunts, cousins, nephews and nieces regardless of the fact that he doesn't identify with them.
","ബന്ധുക്കൾ ബോൾട്ടെല്ലിയെ കുറിച്ച് ബന്ധുക്കൾഃ ബാലോട്ടെല്ലിക്ക് അമ്മാവൻ, അമ്മായിയപ്പൻ, ബന്ധുക്കൾ, മരുമക്കളും മരുമക്കളും ഉണ്ട് എന്ന വസ്തുത നിരസിച്ചുമില്ല എന്ന വസ്തുത നിരസിക്കുന്നില്ല.
"
"About Mohamed Salah's relatives: Moving on to Mohamed Salah's parents and siblings, there isn't much known about his ancestry and family roots, particularly as it relates to his grandparents, uncles, aunts and cousins.
","മുഹമ്മദ് സലായുടെ ബന്ധുക്കളെ കുറിച്ച്ഃ മുഹമ്മദ് സലായുടെ മാതാപിതാക്കളുടെയും സഹോദരങ്ങളുടെയും അടുത്തേക്ക് നീങ്ങുമ്പോൾ, അദ്ദേഹത്തിന്റെ വംശപരമ്പരയെയും കുടുംബ വേരുകളേയും കുറിച്ച് കൂടുതൽ അറിവില്ല, പ്രത്യേകിച്ചും അത് അവന്റെ മുത്തശ്ശിമാർ, അമ്മാവന്മാർ, അമ്മായിമാർ, കസിൻസ് എന്നിവരുമായി ബന്ധപ്പെട്ടിരിക്കുന്നു.
"
"After her aunt Padmavalli's marriage in 1958, Jayalalitha moved to Chennai and began to live with her mother.
","പത്മവല്ലിയുടെ വിവാഹത്തോടെയായിരുന്നു 1958ൽ ജയ അമ്മയോടൊപ്പം ചെന്നൈയിൽ താമസമാരംഭിച്ചത്.
"
"After her mother died in 1912 Bowen was brought up by her aunts.
","1912 ൽ മാതാവ് നിര്യാതയായതിനെത്തുടർന്ന് ബോവനെ അവളുടെ അമ്മായിമാർ ഏറ്റെടുത്തു.
"
"After her mother died in 1912, Bowen was brought up by her aunts.
","1912 ൽ മാതാവ് നിര്യാതയായതിനെത്തുടർന്ന് ബോവനെ അവളുടെ അമ്മായിമാർ ഏറ്റെടുത്തു.
"
"After her mother died she was raised by an aunt.
","അമ്മയുടെ മരണശേഷം ഒരു അമ്മായിയാണ് അവരെ വളർത്തിയത്.
"
"After his father's death in the early 1920s, Feroze moved with his mother to live with his unmarried aunt Shirin Commissariat in Allahabad, a surgeon at the city's Lady Dufferin Hospital.
","1920 കളുടെ തുടക്കത്തിൽ, പിതാവിന്റെ മരണശേഷം, ഫിറോസും മാതാവും അദ്ദേഹത്തിന്റെ മാതാവു വഴിയുള്ള അവിവാഹിതയായ അമ്മായിയും അലഹബാദ് നഗരത്തിലെ ലേഡി ഡഫറിൻ ഹോസ്പിറ്റലിലെ ശസ്ത്രക്രിയാ വിദഗ്ധയുമായ ഷിറിനോടൊത്തു താമസിക്കാൻ അലഹബാദിലേയ്ക്കു താമസം മാറ്റി.
"
"After his mother's death, he was raised by an aunt.
","അമ്മയുടെ മരണശേഷം ഒരു അമ്മായിയാണ് അവരെ വളർത്തിയത്.
"
"After my mother death, I was taken care of by my uncle and aunt.
","അച്ഛന്റെ മരണ ശേഷം എന്നേയും അമ്മയേയും ചേച്ചിമാരേയും നോക്കിയത് അമ്മാവൻമാരാണ്.
"
"After the death of his mother, his father and aunt raised him.
","പിതാവിന്റെ അകാല മരണശേഷം, അവനെയും സഹോദരിയെയും അവരുടെ അമ്മ വളർത്തി.
"
"Again, neither have his uncles, aunts, cousins, nieces and nephews been identified.
","വീണ്ടും, അദ്ദേഹത്തിന്റെ അമ്മാവൻമാർ, അമ്മായിമാർ, കസിൻസ്, മരുമക്കൾ, മരുമക്കൾ എന്നിവരെ തിരിച്ചറിഞ്ഞിട്ടില്ല.
"
"All the kids, aunts and uncles, grandparents, everybody!
","എല്ലാ കുട്ടികളും, അമ്മായികളും, അമ്മാവനും, മുത്തശ്ശിയും, എല്ലാവരും!
"
"Also Read: Two-year-old boy allegedly kidnapped, killed by aunt and uncle
","ALSO READ: മൂന്ന് വയസുകാരി കൊല്ലപ്പെട്ട നിലയിൽ; പീഡിപ്പിക്കപ്പെട്ടതായി സൂചന, അമ്മയും രണ്ടാനച്ഛനും പിടിയിൽ
"
"An aunt or uncle, brother or sister.
","അമ്മായി അമ്മാവനും, സഹോദരി അല്ലെങ്കിൽ സഹോദരൻ കുറിച്ച്.
"
"An example is my aunt.
","അമ്മായി തന്നെ ഉദാഹരണം.
"
"Anabia had been present at the protest site with her aunt when police had forcibly removed the protestors.
","പൊലീസ് ബലമായി പ്രതിഷേധക്കാരെ നീക്കം ചെയ്തപ്പോൾ തന്റെ ആന്റിക്കൊപ്പം പ്രതിഷേധ സ്ഥലത്തുണ്ടായിരുന്നു അനാബിയ.
"
"Are you an aunt, yet?
","ഇപ്പോഴും അമ്മായി ഉണ്ടോ ആവോ?
"
"Are you an uncle, aunt, or good friend?
","അടങ്ങനിയാ നീയാര് അച്ചു മാമയോ അതോ പിണങ്ങാറായ സഖാവോ?
"
"Are you the aunt or uncle?
","അമ്മായിഅച്ഛൻ ആണോ അതോ കാമുകൻ ആണോ?
"
"Aren't you writing a letter to your aunt?
","നീ നിന്റെ അമ്മായിക്കു ഒരു കത്ത് എഴുതുകയല്ലെ?
"
"As I compile this Biography, there has been no information about Sommer's grandfather as well as his uncles and aunts.
","ഞാൻ ഈ ജീവചരിത്രം സമാഹരിക്കുമ്പോൾ, സോമറിന്റെ മുത്തച്ഛനെയും അവന്റെ അമ്മാവന്മാരെയും അമ്മായിമാരെയും കുറിച്ച് ഒരു വിവരവുമില്ല.
"
"As at the time of writing, little is known about his brother (s), sister (s), uncle (s) and aunt (ies).
","എഴുത്തിന്റെ സമയത്ത്, തന്റെ സഹോദരന്റെ (സഹോദരികൾ, സഹോദരിമാർ, അമ്മാവൻ, അമ്മാവൻ), അമ്മാ (അമ്മ) എന്നിവയെ കുറിച്ചൊന്നും അറിയില്ല.
"
"As if she had read my mind aunt said.
","എന്റെ മനസ് വായിച്ചെടുത്ത പോലെ ആന്റി പറഞ്ഞു.
"
"As she was absent from the family's home during the day, Tun was raised by Tint's aunt.
","പകൽ സമയത്ത് അവൾ വീട്ടിലെ വീട്ടിൽ ഇല്ലാതിരുന്നതിനാൽ, ടിൻ ടിന്റിന്റെ അമ്മായി വളർത്തി.
"
"Ask your aunts and uncles.
","അമ്മായിമാരും അപ്പാപ്പന്മാരും ഒക്കെ ചോദിക്കാനൊണ്ടേ.
"
"Asking aunts and uncles questions.
","അമ്മായിമാരും അപ്പാപ്പന്മാരും ഒക്കെ ചോദിക്കാനൊണ്ടേ.
"
"At age 6 or 7, her father enrolled her in a school run by a monastery of Benedictine nuns in the Monticelli quarter of the city, near their home, where her aunt, Luisa de' Ricci, was the abbess.
","അവൾക്ക് 6നും 7നും ഇടക്ക് വയസ്സ് പ്രായമായപ്പോൾ, അവളുടെ പിതാവ് അവളെ ഫ്ലോറെൻസിന്റെ നഗരകവാടത്തിനടുത്തുള്ള മോണ്ടിസെല്ലി കന്യാസ്ത്രീമഠത്തിൽ ചേർത്തു, അവളുടെ അമ്മായിയായിരുന്ന ലൂയിസാ ഡെ റിസ്സി അവിടത്തെ ഒരു കന്യാസ്ത്രീയായിരുന്നു.
"
"At home, I was negotiating my family's grief over losing several loved ones in a short period of time, including my mother, my father-in-law, an uncle and a treasured aunt.
","വീട്ടിൽ, എന്റെ കുടുംബത്തിന്റെ സങ്കടത്തെക്കുറിച്ച് ഞാൻ ചർച്ച ചെയ്തുഎന്റെ അമ്മ, എന്റെ രണ്ടാനച്ഛൻ, പ്രിയപ്പെട്ട അമ്മാവൻ, അമ്മായി എന്നിവരുൾപ്പെടെ നിരവധി പ്രിയപ്പെട്ടവരെ ചുരുങ്ങിയ സമയത്തിനുള്ളിൽ കാണുന്നതിന്.
"
