eng_Latn,mal_Mlym
"""""""Is your uncle there?""""""
",""""""" അങ്കിൾ ഉണ്ടോ അവിടെ """"""
"
"""""""It is true, uncle.""
","""""""അത് ശരിയാണ് അങ്കിൾ,""
"
"""""""Just one minute, uncle.""""""
","""""""അങ്കിളേ, ഒരു മിനിറ്റ്.""""""
"
"""""""Mommy, whats my name, daddys uncle?""
",""""""" മമ്മാ. . നമ്മടെ മെർളിനാന്റീടെ അങ്കിളിന്റെ പേരെന്താ """" ?""
"
"""""""My uncle .""
","""""""എൻറെ മാമനാ.""
"
"""""""My uncle and grandfather were farmers.""
","""""""എൻറെ മുത്തശ്ശനും മുത്തശ്ശിയും കൃഷിക്കാരായിരുന്നു.""
"
"""""""My uncle called me this morning.""
","""""""എടീ രാവിലെ അങ്കിൾ വിളിച്ചിരുന്നു""""""
"
"""""""My uncle called this morning.""
","""""""എടീ രാവിലെ അങ്കിൾ വിളിച്ചിരുന്നു""""""
"
"""""""My uncle did call you, didn't he?""
","""""""അപ്പൂട്ടൻ നിന്നെ വിളിച്ചില്ലേഡാ ?""
"
"""""""My uncle encouraged me.""
",""""""" അങ്കിൾ എന്നെ പ്രോത്സാഹിപ്പിച്ചു.""
"
"""""""My uncle inspired me.""""""
",""""""" അങ്കിൾ എന്നെ പ്രോത്സാഹിപ്പിച്ചു.""
"
"""""""My uncle is coming to the house?""
","""""""അങ്കിൾ വീട്ടിലേക്ക് വരുന്നോ?""
"
"""""""My uncle is very good.""
","""""""അങ്കിൾ വളരെ നല്ലവനാണ്.""
"
"""""""My uncle took it.""
","""""""എൻറെ അമ്മാവനാണ് അങ്ങോട്ട് കൊണ്ടുപോയത്.""
"
"""""""My uncle took it.""""""
","""""""എൻറെ അമ്മാവനാണ് അങ്ങോട്ട് കൊണ്ടുപോയത്.""
"
"""""""My uncle.""
","""""""എൻറെ മാമനാ.""
"
"""""""My uncles, do not kill me.""
",""" """"ആ. . എന്റെ കൂട്ടാ, എന്നെ കൊല്ലാതെട.""
"
"""""""No uncle, they didn't tell me anything.""
","""""""അങ്കിൾ ഒന്നും എന്നെപ്പറ്റി അവരോടു പറഞ്ഞിട്ടില്ല ചേട്ടാ.""
"
"""""""No uncle,"""" she said.""
","""""""നോ അങ്കിൾ,"""" അവൾ പറഞ്ഞു.""
"
"""""""No, no,"""" the uncle said.""
","""""""ഇല്ല അങ്കിൾ,"""" പറഞ്ഞു.""
"
"""""""No, to see my uncle.""""""
",""" """"ഇല്ല. എന്റെ അമ്മായി അച്ഛനെ കാണാൻ """"""
"
"""""""No, uncle I don't have a family,""""""
","""""""അല്ല അങ്ങുന്നെ ,എനിക്ക് ജാതിയുമില്ല""""""
"
"""""""Of course, my uncle.""
","""""""തീർച്ചയായും അങ്കിൾ.""
"
"""""""Of course, uncle.""
","""""""തീർച്ചയായും അങ്കിൾ.""
"
"""""""Oh, you married her uncle?""
","""""""ഉം, അനക്ക് കല്യാണം കഴിച്ചിട്ട് അതൊക്കെ ചെയ്യാൻ ആണോ?""
"
"""""""On August 17, 2017, my uncle and I went to Lucknow and submitted an application to Chief Minister Adityanath at his residence,"""" the girl said.""
","""""""കഴിഞ്ഞവർഷം ഓഗസ്റ്റ് 17ന് ഞാനും അമ്മാവനും കൂടി ലഖ്നോവിൽ പോയി മുഖ്യമന്ത്രി യോഗി ആദിത്യനാഥിനെ കണ്ട് നിവേദനം നൽകി.""
"
"""""""On August 17, 2017, my uncle and I went to Lucknow and submitted an application to Chief Minister Yogi Adityanath at his residence.""
","""""""കഴിഞ്ഞവർഷം ഓഗസ്റ്റ് 17ന് ഞാനും അമ്മാവനും കൂടി ലഖ്നോവിൽ പോയി മുഖ്യമന്ത്രി യോഗി ആദിത്യനാഥിനെ കണ്ട് നിവേദനം നൽകി.""
"
"""""""Really uncle?""""""
","""""""ശരിക്കും അങ്കിൾ?""
"
"""""""Say 'thank you' to your uncle.""""""
",""" . അങ്കിളിനോട് താങ്ക്സ് പറ""""""
"
"""""""She has an uncle?""""""
","""""""""""ഒരു അമ്മാവനെ ഉള്ളോ?""
"
"""""""Show me your uncle's photo.""
","""അച്ഛാച്ഛൻറെ ഫോട്ടോ മാമന് കാണിച്ച് കൊടുക്ക്.""""""
"
"""""""Sorry uncle.""
","""""""സോറി അങ്കിൾ.""
"
"""""""Speak with your uncle.""""""
",""" . അമ്മാവനുമായി സംസാരിക്കാൻ """"""
"
"""""""THIS is your uncle's house?""""""
","'ഈ പൈസ നിങ്ങളുടെ അമ്മാവന്റെ വീട്ടിലേതാണോ?
"
"""""""Tell your uncle to buy them.""
","""""""നിന്റെ കെട്ടിയോനോട് പറയടി വാങ്ങി തരാൻ""""""
"
"""""""Thank you Aamir uncle for making my dream come true.""
","'എൻറെ സ്വപ്നം സാക്ഷാൽക്കരിച്ചതിന് ആമിർ അങ്കിളിന് ഞാൻ നന്ദി പറയുന്നു.
"
"""""""Thank you uncle,"""" She said.""
","""""""താങ്ക്സ് അങ്കിൾ,"""" അവൾ പറഞ്ഞു.""
"
"""""""Thank you uncles for coming here today.""
","""ഇന്ന് വരാതെ ഇരുന്നതിന് ഒരുപാടു നന്ദി അമ്മാവാ""""""
"
"""""""That is not true, my uncle.""
",""""""" അതൊന്നും ശരിയാവില്ല അങ്കിൾ.""
"
"""""""That's not right, uncle.""
",""""""" അതൊന്നും ശരിയാവില്ല അങ്കിൾ.""
"
"""""""That's right, uncle.""
","""""""അത് ശരിയാണ് അങ്കിൾ,""
"
"""""""There is the uncle.""""""
","""""""അവിടെ ഒരു അങ്കിൾ ഉണ്ട്,""""""
"
"""""""They didn't understand why their mother was living with their uncle and why I had taken them with me and moved in with my sister and my mother.""
","""""""അമ്മ എന്തിനാണ് അങ്കിളിന്റെകൂടെ താമസിക്കുന്നതെന്നും ഡാഡി തങ്ങളെയും കൂട്ടി വല്യമ്മയുടെയും ആന്റിയുടെയും കൂടെ മാറിത്താമസിച്ചതെന്നും അവർക്കു മനസ്സിലായില്ല.""
"
"""""""This cannot be, uncle.""
","""""""അത് നടക്കില്ല ഇച്ചായാ.""
"
"""""""This uncle is not a thing!""""""
","""""""ശേ, ഈ ആന്റിക്ക് ഒരു ഇതുവ്യമില്ല!""
"
"""""""This uncle, why are you so alarmed?""""""
","""""""അങ്കിൾ, അങ്കിളെന്താ ഇങ്ങനെ വിഷമിച്ചിരിക്കുന്നത്?""
"
"""""""Uncle, uncle, what are you looking at?""""""
",""""""" അങ്കിൾ . . എന്ത് നോക്കിയിരിക്കുവാ ?""
"
"""""""Wait for a minute, uncle.""""""
","""""""അങ്കിളേ, ഒരു മിനിറ്റ്.""""""
"
"""""""We have an uncle?""
","""""""""""ഒരു അമ്മാവനെ ഉള്ളോ?""
"
"""""""We have an uncle?""""""
","""""""""""ഒരു അമ്മാവനെ ഉള്ളോ?""
"
"""""""Well, uncle, what have you been thinking?""""""
",""""""" അമ്മായി വാ. . എന്താ ആലോചിച് നിക്കുന്നെ """"""
"
"""""""What did she say uncle?""""""
",""""""" ആന്റി അങ്കിൾ എന്താ പറഞ്ഞെ """"""
"
"""""""What did uncle say?""""""
",""""""" ആന്റി അങ്കിൾ എന്താ പറഞ്ഞെ """"""
"
"""""""What else, uncle?""
","""""""വേറെ എന്താകാനാ അങ്കിളേ?""
"
"""""""What is that, uncle?""""""
","""""""അതെന്നാ ചാച്ചാ?""
"
"""""""What is this uncle?""""""
","""""""എന്താണ് അങ്കിൾ ഇത്?""
"
"""""""What must I do, uncle?""""""
","""""""ഞാൻ പിന്നെ എന്ത് ചെയ്യാനാണ് അങ്കിൾ?""
"
"""""""What'd your uncle say?""""""
",""""""" ആന്റി അങ്കിൾ എന്താ പറഞ്ഞെ """"""
"
"""""""What's that, uncle?""
","""""""അതെന്നാ ചാച്ചാ?""
"
"""""""Where are aunt and uncle?""""""
","""""""അങ്കിളും ആന്റിയും എവിടെ ?""
"
"""""""Where are my aunt and uncle?""
","""""""അങ്കിളും ആന്റിയും എവിടെ ?""
"
"""""""Where are my aunt and uncle?""""""
","""""""അങ്കിളും ആന്റിയും എവിടെ ?""
"
"""""""Where are my uncle and aunt?""""""
","""""""അങ്കിളും ആന്റിയും എവിടെ ?""
"
"""""""Where are your aunt and uncle?""""""
","""""""അങ്കിളും ആന്റിയും എവിടെ ?""
"
"""""""Where are your uncle and aunt?""""""
","""""""അങ്കിളും ആന്റിയും എവിടെ ?""
"
"""""""Where have your uncle and the others gone?""""""
","""അമ്മായിയും പിള്ളേരും എവിടെ പോയി """"""
"
"""""""Where is aunt and uncle?""""""
","""""""അങ്കിളും ആന്റിയും എവിടെ ?""
"
"""""""Where is my uncle?""
",""""""" എട്ടെനെവിടെ അമ്മാവാ ?""
"
"""""""Where is my uncle?""""""
",""""""" എട്ടെനെവിടെ അമ്മാവാ ?""
"
"""""""Where is uncle?""
",""""""" എട്ടെനെവിടെ അമ്മാവാ ?""
"
"""""""Where is uncle?""""""
",""""""" എട്ടെനെവിടെ അമ്മാവാ ?""
"
"""""""Where to uncle,""""""
","""""""അങ്കിൾ എവിടെ,""
"
"""""""Where's my uncle?""
",""""""" എട്ടെനെവിടെ അമ്മാവാ ?""
"
"""""""Where's uncle and auntie?""""""
","""""""അങ്കിളും ആന്റിയും എവിടെ ?""
"
"""""""Who came uncle?""""""
","""""""ആരാ """"ആ ആന്റി ആണ് വന്നത് .""
"
"""""""Who is your uncle ?""""""
","""""""ആരെടാ നിന്റെ അങ്കിൾ?""
"
"""""""Who is your uncle?""
","""""""ആരെടാ നിന്റെ അങ്കിൾ?""
"
"""""""Who is your uncle?""""""
","""""""ആരെടാ നിന്റെ അങ്കിൾ?""
"
"""""""Who's your uncle ?""
","""""""ആരെടാ നിന്റെ അങ്കിൾ?""
"
"""""""Who's your uncle?""
","""""""ആരെടാ നിന്റെ അങ്കിൾ?""
"
"""""""Why did uncle go away?""""""
","""""""ആന്റി എന്തിനാ പോയത്?""
"
"""""""Why my uncle?""""""
","""""""എന്തിനാണ് അങ്കിൾ. . ?""
"
"""""""Why?"""" the uncle asked.""
",""" """"എന്തിനു."""" ആന്റി ചോദിച്ചു.""
"
"""""""You can't leave your uncle like this.""""""
",""""""" നിന്റെ ആ സജീഷ് മാമനെ ഇങ്ങനെ വിട്ടാൽ പറ്റില്ല. . .""
"
"""""""You don't know, my uncle?""
",""""""" എനിക്കറിയില്ല അങ്കിളേ?""
"
"""""""You don't like your uncle?""""""
","""""""അതെന്താ മമ്മുട്ടി അങ്കിളിനെ ഇഷ്ടല്ലാ? ."""" . .""
"
"""""""You had an uncle?""""""
","""""""""""ഒരു അമ്മാവനെ ഉള്ളോ?""
"
"""""""You have an uncle, then?""
","""""""""""ഒരു അമ്മാവനെ ഉള്ളോ?""
"
"""""""You have an uncle?""
","""""""""""ഒരു അമ്മാവനെ ഉള്ളോ?""
"
"""""""You have an uncle?""""""
","""""""""""ഒരു അമ്മാവനെ ഉള്ളോ?""
"
"""""""You have money, uncle.""
","""""""നിനക്കെപ്പാ മോനെ പൈസ ഇണ്ടായിനി.""
"
"""""""You know that uncle?""""""
","""""""ഈ അങ്കിളിനെ നീ അറിയുമോ""""""
"
"""""""You know what, uncle Sam?""
","""""""ആന്റി യെ അറിയാമോ ,സാം മോനെ?""
"
"""""""You know who my uncle is?""""""
","""""""വീണ ആന്റി ആരാണെന്ന് നിനക്കു അറിയാമോ . . ?""
"
"""""""You're uncle is there?""
",""""""" അങ്കിൾ ഉണ്ടോ അവിടെ """"""
"
"""""""Your dad and uncle have the same car?""""""
","""""""സാമാനമൊക്കെ തുറന്ന് കാട്ടുന്ന ഉടുപ്പേ നിൻറെ അപ്പനും അമ്മാവനും കിട്ടുള്ളൂ?""
"
"""""""Your grandfather is my uncle.""""""
","""""""നിന്റെ അങ്കിളാടി എന്റെ ആശാൻ """"""
"
"""""""Your uncle gave me something meant for you.""""""
","""""""അത് പിന്നെ നിന്റെ അങ്കിൾ നിനക്ക് തരാൻ പറഞ്ഞ് ഒരു സാധനം എന്റടുത്ത് ഏൽപ്പിച്ചിട്ടുണ്ടായിരുന്നു""""""
"
"""""""Your uncle is going.""""""
","""""""ദെ നിന്റെ അമ്മായിഅമ്മ പോകുന്നു """" .""
"
"""""""Your uncle said that?""""""
","""""""ആന്റി അങ്ങനെ പറഞ്ഞോ?""
"
"""""""do you want something to drink uncle?""""""
","""""""എന്തേലും വേണോ അങ്കിളേ കുടിക്കാൻ?""
"
"""""""what is this uncle?""""""
","""""""എന്താണ് അങ്കിൾ ഇത്?""
"
"""""""where is my uncle?""""""
",""""""" എട്ടെനെവിടെ അമ്മാവാ ?""
"
"""""""where's aunt and uncle?""""""
","""""""അങ്കിളും ആന്റിയും എവിടെ ?""
"
"""15 Saul's uncle said, """"Please tell me what Samuel told you.""""""
","15 ശമൂവേൽ നിങ്ങളോടു പറഞ്ഞതു എന്നെ അറിയിക്കേണം എന്നു ശൌലിന്റെ ഇളയപ്പൻ പറഞ്ഞു.
"
"""15 Saul's uncle said, """"Tell me what Samuel said to you.""""""
","15 ശമൂവേൽ നിങ്ങളോടു പറഞ്ഞതു എന്നെ അറിയിക്കേണം എന്നു ശൌലിന്റെ ഇളയപ്പൻ പറഞ്ഞു.
"
"""4 of them said: """"Yes uncle, he was here.""""""
","""4 പേർ പറഞ്ഞു:""""അതെ അങ്കിൾ . . ഇവിടെ വന്നിരുന്നു .""
"
"""A hundred years later, Van Gogh was remembered by 113-year-old Jeanne Calment - who, as a 13 year-old, was serving in her uncle """" s fabric shop where Van Gogh wanted to buy some canvas - as """"dirty, badly dressed and disagreeable,"""" and """"very ugly, ungracious, impolite, sick.""""""
","""""""[79]നൂറ് വർഷങ്ങൾക്ക് ശേഷം, വാൻ ഗോഗിനെ 113 വയസ്സുള്ള ജീൻ കാൽമെന്റ് തിരിച്ചറിഞ്ഞു - ഇവർ ആണ് തന്റെ 13-ാം വയസ്സിൽ അമ്മാവന്റെ ഫാബ്രിക്ക് കടയിൽ കാൻവാസ് വാങ്ങാൻ വന്ന വാൻ ഗോഗിന് കാൻവാസ് എടുത്ത് കൊടുത്തത്--അഴുക്ക് നിറഞ്ഞും, വൃത്തികേടായി വസ്ത്രം ധരിച്ച്, അഹിതമായി, വിരൂപമായി, മര്യാദയില്ലാതെ, അയുക്തമായ, രോഗഭാതിതനായാണ് അന്ന് വാൻ ഗോഗ് വന്നത്.""""""
"
"""A hundred years later, van Gogh was remembered by 113-year-old Jeanne Calment-who, as a 13 year old, was serving in her uncle's fabric shop where van Gogh wanted to buy some canvas-as """"dirty, badly dressed and disagreeable,"""" and """"very ugly, ungracious, impolite, sick.""""""
","""""""[79]നൂറ് വർഷങ്ങൾക്ക് ശേഷം, വാൻ ഗോഗിനെ 113 വയസ്സുള്ള ജീൻ കാൽമെന്റ് തിരിച്ചറിഞ്ഞു - ഇവർ ആണ് തന്റെ 13-ാം വയസ്സിൽ അമ്മാവന്റെ ഫാബ്രിക്ക് കടയിൽ കാൻവാസ് വാങ്ങാൻ വന്ന വാൻ ഗോഗിന് കാൻവാസ് എടുത്ത് കൊടുത്തത്--അഴുക്ക് നിറഞ്ഞും, വൃത്തികേടായി വസ്ത്രം ധരിച്ച്, അഹിതമായി, വിരൂപമായി, മര്യാദയില്ലാതെ, അയുക്തമായ, രോഗഭാതിതനായാണ് അന്ന് വാൻ ഗോഗ് വന്നത്.""""""
"
"""Abu Lahab """"Father of Flame"""" was the nickname of an uncle of the holy Prophet.""
","""അബു ലഹാബ്ഃ """"അഗ്നിജ്വാലയുടെ പിതാവ്,"""" പ്രവാചകന്റെ അമ്മാവന്റെ വിളിപ്പേരായിരുന്നു.""
"
"""An electric-powered Indian Motorcycle flat track replica for kids""""Whether it was a father, mother, uncle, or family friend, most motorcyclists have fond memories of the person who introduced them to riding, and that's the spirit behind the eFTR Jr.,"""" said Ross Clifford, vice president of Parts, Garments, and Accessories at Indian Motorcycle in a company press release.""
","""'അത് അച്ഛനോ അമ്മയോ അമ്മാവനോ കുടുംബസുഹൃത്തോ ആകട്ടെ, മിക്ക മോട്ടോർ സൈക്കിൾ യാത്രക്കാർക്കും അവരെ സവാരി ചെയ്യാൻ പരിചയപ്പെടുത്തിയ വ്യക്തിയെക്കുറിച്ച് ഓർമയുണ്ട്, അതാണ് eFTR Jr -ന് പിന്നിലെ അത്മബന്ധമെന്ന്,"""" ഇന്ത്യൻ മോട്ടോർസൈക്കിളിലെ ആക്സസറി പാർട്സ്, ഗാർമെന്റ്സ് വൈസ് പ്രസിഡന്റ് റോസ് ക്ലിഫോർഡ് പറഞ്ഞു.""
"
"""Do you remember this uncle?""""""
","""""""ഈ അങ്കിളിനൊട്ടും ഓർമയില്ലേ?""
"
"""Driven by curiosity, the child reportedly asked her mother, """"Why is this uncle wearing a cap in the evening?""
","""അപ്പോഴാണ് ആ കൊച്ചുപെൺകുട്ടി കൌതുകത്തോടെ അമ്മയോട് ഇങ്ങനെ ചോദിച്ചത്, """" ആ അങ്കിൾ എന്തിനാണ് വൈകുന്നേരം തൊപ്പി ധരിച്ചിരിക്കുന്നത്?""
"
"""He's her uncle.""""""
","""ഇത് അവളുടെ ആന്റി""""""
"
"""I am your father's uncle!""""""
","""നിന്റെ അമ്മാവന്റെ മകനാണ് ഞാൻ""""""
"
"""I am your uncle.""""""
","""നിന്റെ അമ്മാവന്റെ മകനാണ് ഞാൻ""""""
"
"""I had an uncle?""""""
","""""""""""ഒരു അമ്മാവനെ ഉള്ളോ?""
"
"""I have an uncle?""""""
","""""""""""ഒരു അമ്മാവനെ ഉള്ളോ?""
"
"""I have only one demand for President uncle, that he doesn't let my mother be hanged,"""" Taj told reporters on Thursday.""
","പ്രസിഡന്റ് അങ്കിളിനോട് ഒരേയൊരു ആവശ്യമേ എനിക്കുള്ളൂ, എന്റെ അമ്മയെ തൂക്കിലേറ്റരുത് - താജ് മാധ്യമങ്ങളോട് പറഞ്ഞു.
"
"""I said, """"Thank you, uncle.""""""
","""ഞാന് പറഞ്ഞു """"വളരെ നന്ദി ആന്റി എനിക്കീ""
"
"""I want to find out who killed my uncle.""""""
",""""""" അമ്മേ എന്റെ അമ്മാവനെ കൊന്നത് ആരാണെന്നെനിക്കു അറിഞ്ഞേ തീരു """"""
"
"""I want to talk with your uncle.""""""
",""" . അമ്മാവനുമായി സംസാരിക്കാൻ """"""
"
"""I'm a dad and an uncle.""""""
","""അമ്മാവനാണ് എനിക്ക് അച്ഛനും ഗുരുനാഥനും""""""
"
"""I'm your uncle. """"""
","""നിന്റെ അമ്മാവന്റെ മകനാണ് ഞാൻ""""""
"
"""I'm your uncle.""""""
","""നിന്റെ അമ്മാവന്റെ മകനാണ് ഞാൻ""""""
"
"""Isn't uncle coming here?""""""
","""""""അങ്കിൾ വരുന്നില്ലേ?""
"
"""It's my uncle. """"""
","""""""അതെന്റെ ഫ്രണ്ടാ അമ്മാവാ. . """"""
"
