eng_Latn,mal_Mlym
"""""""She's in her room with her cousin.""
",""" . """" """"അവൾ റൂമിൽ ഉണ്ട് അച്ഛാ മോളുടെ കൂടെ.""
"
"""""""There is much to tell you, cousin.""""""
","""""""നിക്ക് ഒരുപാട് വിശേഷങ്ങൾ പറയാനുണ്ട് മുത്തശ്ശാ. . """"""
"
"""""""They killed my cousin... first.""
","""""""ആദ്യം എന്റെ ചേച്ചിയെ കൊന്നു. . ഇപ്പൊ എന്നെയും.""
"
"""""""Would I do that, cousin?""""""
","""അത് ഞാൻ ചെയ്യുമോ ചേച്ചീ """"?""
"
"""""""Yes, he is my cousin.""
",""" """"അതേടാ. . . ഇവൻ എന്റെ പുന്നാരമോൻ തന്നെയാ.""
"
"""""""Yes, your cousin called.""
","""""""ഹ്മ്മ് അതേ നിന്റെ അച്ചൂട്ടൻ ദേ നിന്നെ വിളിക്കുന്നു.""
"
"""""""You love my cousin?""""""
","""""""മോന് ചേച്ചിയെ ഇഷ്ടാണോ""""""
"
"""""""Your cousin has three kids already.""""""
","""""""നിൻ്റെ അനിയൻ. . . ഈ അമ്മയ്ക്ക് ഇപ്പോൾ മൂന്നു മക്കളാ.""
"
"""""""Your cousin's not a boy.""""""
","""നിന്റെ അനുജൻ അങ്ങനത്തെ ഒരു പയ്യനല്ല""""""
"
"""""""do you love my cousin?""""""
","""""""മോന് ചേച്ചിയെ ഇഷ്ടാണോ""""""
"
"""At the age of 28, the """" Minerva of the Free ass fuck com in Sweeden relinquished the throne to her cousin and moved to Rome.""
","""28 വയസ്സുള്ളപ്പോൾ """"വടക്കേ മിനർവയിലെ"""" തന്റെ കസിനു വേണ്ടി സിംഹാസനം ഉപേക്ഷിക്കുകയും റോമിലേയ്ക്ക് താമസം മാറ്റുകയും ചെയ്തു.""
"
"""At the age of 28, the """" Minerva of the North"""" relinquished Goonies throne to her cousin and moved to Rome.""
","""28 വയസ്സുള്ളപ്പോൾ """"വടക്കേ മിനർവയിലെ"""" തന്റെ കസിനു വേണ്ടി സിംഹാസനം ഉപേക്ഷിക്കുകയും റോമിലേയ്ക്ക് താമസം മാറ്റുകയും ചെയ്തു.""
"
"""At the age of 28, the """" Minerva of the North"""" relinquished Singles fredericksburg Sweeden throne to her cousin and moved to Rome.""
","""28 വയസ്സുള്ളപ്പോൾ """"വടക്കേ മിനർവയിലെ"""" തന്റെ കസിനു വേണ്ടി സിംഹാസനം ഉപേക്ഷിക്കുകയും റോമിലേയ്ക്ക് താമസം മാറ്റുകയും ചെയ്തു.""
"
"""At the age of 28, the """" Minerva of the North"""" relinquished the throne to her cousin Norrkopihg moved to Rome.""
","""28 വയസ്സുള്ളപ്പോൾ """"വടക്കേ മിനർവയിലെ"""" തന്റെ കസിനു വേണ്ടി സിംഹാസനം ഉപേക്ഷിക്കുകയും റോമിലേയ്ക്ക് താമസം മാറ്റുകയും ചെയ്തു.""
"
"""At the age of 28, the """" Minerva of the North"""" relinquished the throne to her cousin Sweedne moved to Rome.""
","""28 വയസ്സുള്ളപ്പോൾ """"വടക്കേ മിനർവയിലെ"""" തന്റെ കസിനു വേണ്ടി സിംഹാസനം ഉപേക്ഷിക്കുകയും റോമിലേയ്ക്ക് താമസം മാറ്റുകയും ചെയ്തു.""
"
"""At the age of 28, the """" Minerva of the North"""" relinquished the throne to her cousin and moved to Rome.""
","""28 വയസ്സുള്ളപ്പോൾ """"വടക്കേ മിനർവയിലെ"""" തന്റെ കസിനു വേണ്ടി സിംഹാസനം ഉപേക്ഷിക്കുകയും റോമിലേയ്ക്ക് താമസം മാറ്റുകയും ചെയ്തു.""
"
"""At the age of 28, the """"Minerva of the North"""" relinquished the throne to her cousin and moved to Rome.""
","""28 വയസ്സുള്ളപ്പോൾ """"വടക്കേ മിനർവയിലെ"""" തന്റെ കസിനു വേണ്ടി സിംഹാസനം ഉപേക്ഷിക്കുകയും റോമിലേയ്ക്ക് താമസം മാറ്റുകയും ചെയ്തു.""
"
"""He is my cousin's son.""""""
","""അവൻ എന്റെ ഭർത്താവിന്റെ മകനാണ്.""""""
"
"""He was my father's cousin.""""""
","""അച്ഛന്റെ അസിസ്റ്റന്റ് ആയിരുന്നു .""""""
"
"""Luke 1:36, KJV: """"And, behold, thy cousin Elisabeth, she hath also conceived a son in her old age: and this is the sixth month with her, who was called barren.""""""
","""ലൂക്ക: 1: 36: """"നിന്റെ ചാർച്ചക്കാരത്തി എലീശബെത്തും വാർദ്ധക്യത്തിൽ ഒരു മകനെ ഗർഭം ധരിച്ചിരിക്കുന്നു; മച്ചി എന്നു പറഞ്ഞുവന്നവൾക്കു ഇതു ആറാം മാസം.""
"
"""Me: """"You don't have your cousin's phone number?""
","""മമ്മി;""""ആ നിന്റെ ആ കൂട്ടുകാരന്റെ ഫോൺ നമ്പർ ഉണ്ടോടാ കയ്യില് ?""
"
"""Most of my cousins studied with him, and he tells the unpublished story """"El Cuco"""" that some patients with distance died on the road or had already healed when they arrived, and did not return just because of the curiosity of meeting a doctor of true.""
","""എന്റെ മിക്ക കസിൻസും അദ്ദേഹത്തോടൊപ്പം പഠിച്ചു, പ്രസിദ്ധീകരിക്കാത്ത """"എൽ കുക്കോ"""" എന്ന കഥ അദ്ദേഹം പറയുന്നു, ദൂരെയുള്ള ചില രോഗികൾ റോഡിൽ മരിച്ചു അല്ലെങ്കിൽ അവർ എത്തുമ്പോൾ ഇതിനകം സുഖം പ്രാപിച്ചു, ഒരു ഡോക്ടറെ കണ്ടുമുട്ടാനുള്ള ജിജ്ഞാസ കാരണം മാത്രം തിരിച്ചെത്തിയില്ല ശരി തിരിച്ചുപോകുമ്പോൾ, തങ്ങൾ ഈടാക്കുന്നില്ലെന്നും ഈ വർഷം കുട്ടികളെ സ്കൂളിലേക്ക് അയയ്ക്കാത്തതിന്റെ ശാസനയുമൊക്കെ അവർ അത്ഭുതപ്പെട്ടു.""
"
"""Saba and Madiha, my younger cousins, turned to me and asked in a low voice, """"What will happen now?""""""
","കുഞ്ഞനുജത്തിമാരായ സബയും മദീഹയും എന്റെ നേർക്കുതിരിഞ്ഞ് പതിഞ്ഞ ശബ്ദത്തിൽ ചോദിച്ചു, 'ഇനിയെന്താണുണ്ടാവുക?
"
"""Siblings: """"He is a player known not only for his athletic achievements but for his ability to interact and stay close to his siblings,"""" said Michel, his cousin.""
","""സഹോദരങ്ങൾഃ """"തന്റെ കായിക നേട്ടങ്ങളിൽ മാത്രമല്ല, തന്റെ സഹോദരങ്ങളുമായി ആശയവിനിമയം നടത്തുന്നതിനും, താമസിക്കുന്നതിനും ഉള്ള കഴിവ്, അദ്ദേഹം അറിയപ്പെടുന്ന കളിക്കാരനാണ്"""" മൈക്കിൾ പറഞ്ഞു.""
"
"""The granddaughter of the cousin of my grandmother...""""""
","""എന്റ്റെ അമ്മേടെ അമ്മൂമ്മേടെ വല്യച്ചച്ഛന്റെ വാല്യക്കാരന്റ്ര്. . . . . """"""
"
"""There are certain team sports where defence is as important as attack, or """"offence"""" as our American cousins prefer to call it.""
","""ആക്രമണം പോലെ പ്രതിരോധം പ്രധാനമായ ചില ടീം സ്പോർട്സ് ഉണ്ട്, അല്ലെങ്കിൽ നമ്മുടെ അമേരിക്കൻ കസിൻസ് അതിനെ വിളിക്കാൻ ഇഷ്ടപ്പെടുന്നതുപോലെ """"കുറ്റം.""""""
"
"""There are certain team sports where defence is as important as attack, or """"offence"""" as our American cousins prefer to...""
","""ആക്രമണം പോലെ പ്രതിരോധം പ്രധാനമായ ചില ടീം സ്പോർട്സ് ഉണ്ട്, അല്ലെങ്കിൽ നമ്മുടെ അമേരിക്കൻ കസിൻസ് അതിനെ വിളിക്കാൻ ഇഷ്ടപ്പെടുന്നതുപോലെ """"കുറ്റം.""""""
"
"""There are particular team sports where defense is as vital as an attack, or """"offense"""" as our American cousins prefers to call it.""
","""ആക്രമണം പോലെ പ്രതിരോധം പ്രധാനമായ ചില ടീം സ്പോർട്സ് ഉണ്ട്, അല്ലെങ്കിൽ നമ്മുടെ അമേരിക്കൻ കസിൻസ് അതിനെ വിളിക്കാൻ ഇഷ്ടപ്പെടുന്നതുപോലെ """"കുറ്റം.""""""
"
"""This is my baby cousin.""""""
","""ഇത് എന്റെ കുഞ്ഞാണ് എന്റെ പൊന്നോമനയാണ് """"""
"
"'Ali is the son of Abu Talib and cousin of the Apostle of Allah.
","അലി പ്രവാചകന്റെ മരുമകനും ആയിശ പ്രവാചകന്റെ പത്നിയുമാണ്.
"
"'We need to focus on young people after a decade of great successes,' said John Elkann, cousin of Juventus chief Andrea Agnelli, during a recent appearance on Italian TV show 'Porta a Porta'.
","""""""ഒരു ദശകത്തെ മികച്ച വിജയങ്ങൾക്ക് ശേഷം ഞങ്ങൾ യുവാക്കളിൽ ശ്രദ്ധ കേന്ദ്രീകരിക്കേണ്ടതുണ്ട്,"""" എന്നു യുവന്റസ് മേധാവി ആൻഡ്രിയ അഗ്നെല്ലിയുടെ കസിൻ ജോൺ എൽകാൻ അടുത്തിടെ ഇറ്റാലിയൻ ടിവി ഷോയായ 'പോർട്ട എ പോർട്ട'യിൽ പറഞ്ഞിരുന്നു.""
"
"(My cousin is a human...)
","(സഹോദരൻ അവൻ മനുഷ്യനാണ്. . .)
"
"(This Ali was Muhammad's cousin and son-in-law, as he was married to Fatima, the Prophet's daughter.)
","(മുഹമ്മദിൻറെ പിതൃസഹോദരൻറെ പുത്രനും മകൾ ഫാത്തിമയുടെ ഭർത്താവുമാണ് അലി എന്നോർക്കണം.
"
"10 - My fellow prisoner Aristarchus sends you his greetings, as does Mark, the cousin of Barnabas.
","10: എന്റെ കൂട്ടുതടവുകാരനായ അരിസ് താർക്കൂസ് നിങ്ങളെ അഭിവാദനംചെയ്യുന്നു, അപ്രകാരം തന്നെ ബാർണബാസിന്റെ പിതൃവ്യപുത്രനായ മർക്കോസും.
"
"10 Aristarchus my fellow-prisoner greets you, and Mark, the cousin of Barnabas about whom you received instructions; if he comes to you, receive him,
","10 എൻറെ സഹബദ്ധനായ അരിസ്തർഹൊസും ബർന്നബാസിൻറെ മച്ചുനനായ മർക്കൊസും - അവനെക്കുറിച്ചു നിങ്ങൾക്കു കല്പന കിട്ടീട്ടുണ്ടല്ലോ; അവൻ നിങ്ങളുടെ അടുക്കൽ വന്നാൽ അവനെ കൈക്കൊൾവിൻ - 11 യുസ്തൊസ് എന്നു പറയുന്ന യേശുവും നിങ്ങളെ വന്ദനം ചെയ്യുന്നു; പരിച്ഛേദനക്കാരിൽ ഇവർ മാത്രം ദൈവരാജ്യത്തിന്നു കൂട്ടുവേലക്കാരായിട്ടു എനിക്കു ആശ്വാസമായിത്തീർന്നു.
"
"11 Zelophehad's daughters - Mahlah, Tirzah, Hoglah, Milcah, and Noah - married their cousins on their father's side of the family.
","+ 11 സെലോഫഹാദിന്റെ പെൺമ ക്ക ളായ മഹ്ല, തിർസ, ഹൊഗ്ല, മിൽക്ക, നോഹ+ എന്നിവർ അപ്പന്റെ സഹോ ദ ര ന്മാ രു ടെ ആൺമക്കളെ വിവാഹം കഴിച്ചു.
"
"1852 - In May, he married her cousin, Frank Wilson Oliphant, at Birkenhead, and settled at Harrington Square, in London.
","1852 മെയ് മാസത്തിൽ, അവർ കസിൻ ഫ്രാങ്ക് വിൽസൺ ഒലിഫാന്റിനെ ബിർകെൻഹെഡിൽ വച്ച് വിവാഹം കഴിക്കുകയും ലണ്ടനിലെ കാംഡെനിലുള്ള ഹാരിംഗ്ടൺ സ്ക്വയറിൽ താമസമാക്കുകയും ചെയ്തു.
"
"4:10 My fellow prisoner Aristarchus sends you his greetings, as does Mark, the cousin of Barnabas.
","10: എന്റെ കൂട്ടുതടവുകാരനായ അരിസ് താർക്കൂസ് നിങ്ങളെ അഭിവാദനംചെയ്യുന്നു, അപ്രകാരം തന്നെ ബാർണബാസിന്റെ പിതൃവ്യപുത്രനായ മർക്കോസും.
"
"8-month-old baby raped by 28-year-old cousin in...
","8 മാസം പ്രായമുള്ള കുഞ്ഞിനോട് 28 വയസ്സുകാരൻ ചെയ്ത ക്രൂരത - കുഞ്ഞ് ഗുരുതരാവസ്ഥയിൽ
"
"A 16-year-old cousin was murdered.
","16 വയസുകാരിയെ കൂട്ടബലാത്സംഗം ചെയ്തു കൊല്ലുകയാണുണ്ടായത്.
"
"A brother or cousin?
","മഹ്റമായി ഭർത്താവോ സഹോദരനോ ?
"
"A cousin died at 16 of cancer.
","മൂത്ത മകൻ 16-ാം വയസ്സിൽ ക്യാൻസർ ബാധിച്ച് മരിച്ചു.
"
"A cousin of mine did that for my dad's parents.
","എന്റെ അമ്മയുടെ പാവകൾക്കായി എന്റെ മുത്തച്ഛൻ ഇത് ചെയ്തു.
"
"A cousin suggested a solution.
","കുഞ്ഞുണ്ണി തന്നെ ഒരു പരിഹാരം നിർദ്ദേശിച്ചു.
"
"A few years back I met a beautiful young lady at a wedding of a cousin her name was Sonali.
","ഒരു നല്ല കാലം മുമ്പ് ഞാൻ ഒരു സുഹൃത്തിന്റെ ഒരു കല്യാണം ഒരു മനോഹരമായ യുവതി കണ്ടുമുട്ടി, അവളുടെ പേര് സോനം ആയിരുന്നു.
"
"Aamir and his family celebrated cousin Mansoor Khan's 60th birthday.
","സംവിധായകൻ മൻസൂർ ഖാന്റെ അറുപതാം പിറന്നാൾ ആഘോഷിക്കാനെത്തിയതായിരുന്നു ആമിറും കുടുംബവും.
"
"According to some texts Uddhava was also Krishna's cousin, being the son of Devabhaga, who was the brother of Vasudeva , Krishna's father.
","ചില ഗ്രന്ഥങ്ങൾ അനുസരിച്ച്, കൃഷ്ണന്റെ പിതാവായ വാസുദേവന്റെ സഹോദരനായിരുന്ന ദേവഭാഗയുടെ മകനായതുകൊണ്ട് കൃഷ്ണന്റെ മച്ചുനൻ കൂടിയായിരുന്നു ഉദ്ധവൻ.
"
"According to some texts Uddhava was also Krishna's cousin, being the son of Devabhaga, who was the brother of Vasudeva, Krishna's father.
","ചില ഗ്രന്ഥങ്ങൾ അനുസരിച്ച്, കൃഷ്ണന്റെ പിതാവായ വാസുദേവന്റെ സഹോദരനായിരുന്ന ദേവഭാഗയുടെ മകനായതുകൊണ്ട് കൃഷ്ണന്റെ മച്ചുനൻ കൂടിയായിരുന്നു ഉദ്ധവൻ.
"
"According to some texts Uddhava was also Krishna's cousin, being the son of Devabhaga, who was the brother of VasudevaKrishna's father.
","ചില ഗ്രന്ഥങ്ങൾ അനുസരിച്ച്, കൃഷ്ണന്റെ പിതാവായ വാസുദേവന്റെ സഹോദരനായിരുന്ന ദേവഭാഗയുടെ മകനായതുകൊണ്ട് കൃഷ്ണന്റെ മച്ചുനൻ കൂടിയായിരുന്നു ഉദ്ധവൻ.
"
"After a successful stint as a diamond trader, he moved to Ahmedabad in 1981 to help start a cousin's firm to trade in poly-vinyl chloride (PVC).
","വജ്ര വ്യാപാര രംഗത്ത് വിജയം കൈവരിച്ച അദ്ദേഹം, 1981ൽ തന്റെ ഒരു കസിനെ പിവിസി (പോളി വിനൈൽ ക്ലോറൈഡ്) വ്യാപാരം അരംഭിക്കുന്നതിൽ സഹായിക്കുന്നതിനായി ഗുജറാത്ത് തലസ്ഥാനമായ അഹമ്മദാബാദിലേക്ക് കൂടുമാറി.
"
"After a successful stint as a diamond trader, he moved to Ahmedabad in Gujarat in 1981 to help start a cousin's firm to trade.
","വജ്ര വ്യാപാര രംഗത്ത് വിജയം കൈവരിച്ച അദ്ദേഹം, 1981ൽ തന്റെ ഒരു കസിനെ പിവിസി (പോളി വിനൈൽ ക്ലോറൈഡ്) വ്യാപാരം അരംഭിക്കുന്നതിൽ സഹായിക്കുന്നതിനായി ഗുജറാത്ത് തലസ്ഥാനമായ അഹമ്മദാബാദിലേക്ക് കൂടുമാറി.
"
"After a successful stint as a diamond trader, he moved to Gujarat's capital Ahmedabad in 1981 to help start a cousin's firm to trade in poly-vinyl chloride (PVC).
","വജ്ര വ്യാപാര രംഗത്ത് വിജയം കൈവരിച്ച അദ്ദേഹം, 1981ൽ തന്റെ ഒരു കസിനെ പിവിസി (പോളി വിനൈൽ ക്ലോറൈഡ്) വ്യാപാരം അരംഭിക്കുന്നതിൽ സഹായിക്കുന്നതിനായി ഗുജറാത്ത് തലസ്ഥാനമായ അഹമ്മദാബാദിലേക്ക് കൂടുമാറി.
"
"After going seven seasons without a playoff win, and with a reputation for choking in big games, kirk cousins enters the game with a chance at two huge wins in a row.
","പ്ലേ ഓഫ് വിജയമില്ലാതെ ഏഴു സീസണുകൾക്ക് ശേഷം പ്രശസ്തിയും വലിയ ഗെയിമുകളിൽ ശ്വാസം മുട്ടിച്ചതിന്, കിർക്ക് കസിൻസ് തുടർച്ചയായി രണ്ട് വമ്പൻ വിജയങ്ങൾ നേടിക്കൊണ്ട് ഗെയിമിൽ പ്രവേശിക്കുന്നു.
"
"After that, the family had no further news of the cousins.
","അതിന് ശേഷം കമിതാക്കളെ കുറിച്ച് യാതൊരു വിവരവും കുടുംബങ്ങൾക്ക് ലഭിച്ചിരുന്നില്ല.
"
"After the short reign of Abu Bakr, there were two morecaliph, traditionally called righteous, until in 661 the ruler of the entire Islamic world was finally elected Ali ibn Abu Talib, cousin and brother-in-law of the Prophet Muhammad himself, father of the future Imam Hussein.
","അബൂബക്കർ ഒരു ചുരുങ്ങിയ കാലത്തെ ഭരണത്തിനു 661 ഇസ്ലാമിക ലോകത്ത് ഭരണാധികാരി സമയത്ത് പരമ്പരാഗതമായി നീതിമാന്മാരായി അറിയപ്പെടുന്ന ഖലീഫയുടെ, രണ്ടു കൂടി ശേഷം, ഒടുവിൽ അലി ഇബ്നു അബി ദിർഹമിന് നബിക്ക് ഇമാം ഹുസൈൻ ഭാവി പിതാവിന്റെ മരുമകൻ കസിൻ മകനും തെരഞ്ഞെടുക്കപ്പെട്ടു.
"
"After unsuccessfully attempting to regain the throne Mary fled south to England in May 1568 to seek the protection of her first cousin, once removed - Queen Elizabeth I of England.
","1568 മേയിൽ ജയിൽചാടി ഒരുവട്ടംകൂടെ ഭരണം തിരിച്ചു പിടിക്കാനുള്ള ശ്രമം അർദ്ധസഹോദരനായ Lord Moray പരാജയപ്പെടുത്തിയതിനാൽ ഇംഗ്ലണ്ടിലേക്കു പലായനം ചെയ്തു അർദ്ധസഹോദരിയായ ഒന്നാം എലിസബത്ത് രാജ്ഞിയെ അഭയം പ്രാപിച്ചു.
"
"Again, neither have his uncles, aunts, cousins, nieces and nephews been identified.
","വീണ്ടും, അദ്ദേഹത്തിന്റെ അമ്മാവൻമാർ, അമ്മായിമാർ, കസിൻസ്, മരുമക്കൾ, മരുമക്കൾ എന്നിവരെ തിരിച്ചറിഞ്ഞിട്ടില്ല.
"
"Al-Qaeda and its cousins still pose a threat to the U.S. and its allies.
","അൽ-ഖ്വയ്ദ അമേരിക്കയ്ക്കും രാജ്യത്തിന്റെ സഖ്യകക്ഷികൾക്കും ഭീഷണിയായി തുടരുന്നു.
"
"Aleena Arnesen and her cousin Elizabeth live on the Gulf Coast of Louisiana.
","എലിസബത്തും അലീനയുംഃ അലീന അർനസനും അവളുടെ കസിൻ എലിസബത്തും ലൂസിയാനയിലെ തീരപ്രദേശത്താണ് താമസിക്കുന്നത്.
"
"Ali was Muhammad's cousin and adopted son.
","മൊഹമ്മദിന്റെ അർത്ഥ സഹോദരനും മകളുടെ ഭർത്താവുമായിരുന്നു അലി.
"
"Ali was both the cousin and the son-in-law of Mohammed.
","മൊഹമ്മദിന്റെ അർത്ഥ സഹോദരനും മകളുടെ ഭർത്താവുമായിരുന്നു അലി.
"
"Ali was the cousin and nephew of Mohammed.
","മൊഹമ്മദിന്റെ അർത്ഥ സഹോദരനും മകളുടെ ഭർത്താവുമായിരുന്നു അലി.
"
"Ali was the cousin and son-in-law of Mohammed.
","മൊഹമ്മദിന്റെ അർത്ഥ സഹോദരനും മകളുടെ ഭർത്താവുമായിരുന്നു അലി.
"
"Ali was the cousin and son-in-law of Muhammad.
","മൊഹമ്മദിന്റെ അർത്ഥ സഹോദരനും മകളുടെ ഭർത്താവുമായിരുന്നു അലി.
"
"Ali, was Muhammad's cousin and son-in-law.
","മൊഹമ്മദിന്റെ അർത്ഥ സഹോദരനും മകളുടെ ഭർത്താവുമായിരുന്നു അലി.
"
"All family members; his mum, dad, brother, sister, cousin, uncle, nephew niece, etc) pictured below are willing to do anything to protect their loved ones.
","എല്ലാ കുടുംബാംഗങ്ങളും; ചുവടെ ചിത്രീകരിച്ചിരിക്കുന്ന അവന്റെ മം, അച്ഛൻ, സഹോദരൻ, സഹോദരി, കസിൻ, അമ്മാവൻ, മരുമകൻഃ അവരുടെ പ്രിയപ്പെട്ടവരെ സംരക്ഷിക്കാൻ എന്തും ചെയ്യാൻ തയ്യാറാണ്.
"
"All my brothers and cousins are all boys.
","എൻറെ മാമുമാരുടെയും ചാച്ചാമാരുടെയും മക്കൾ ഏതാണ്ടെല്ലാപേരും ആൺകുട്ടികളാണ്.
"
"All my cousins of age are already married.
","എന്റെ പ്രായത്തിലുള്ള എല്ലാവരും വിവാഹിതരാണ്.
"
"Allende's father was a first cousin of Salvador Allende, President of Chile from 1970 to 1973.
","1970 മുതൽ 1973 വരെ ചിലി പ്രസിഡന്റ് സാൽവഡോർ അലൻഡെയുടെ ആദ്യ കസിൻ ആയിരുന്നു അവരുടെ പിതാവ്.
"
"Allendes father was a first cousin of salvador allende, president of chile from 1970 to 1973.
","1970 മുതൽ 1973 വരെ ചിലി പ്രസിഡന്റ് സാൽവഡോർ അലൻഡെയുടെ ആദ്യ കസിൻ ആയിരുന്നു അവരുടെ പിതാവ്.
"
"Am I my cousin's mother?
","ഞാൻ മമ്മിയുടെ മരുമകനായോണ്ടാണോ?
"
"American football and Rugby are cousins.
","അമേരിക്കൻ ഫുട്ബോളും റഗ്ബിയും ഒന്നാണെന്ന്.
"
"And my cousin is studying there.
","പിന്നെന്താ എന്റെ ഒരു കസിൻ അവിടെ പഠിക്കുന്നുണ്ട്.
"
"And we met again at my cousin's wedding.
","പെങ്ങളുടെ കല്യാണത്തോട് അനുബന്ധിച്ചാണ് വീണ്ടും ഞങ്ങൾ തമ്മിൽ കണ്ടുമുട്ടിയത്.
"
"Anne Boleyn and Catherine Howard, first cousins and the second and fifth wives of Henry VIII were both condemned to be burned alive or beheaded for adultery as the king's pleasure should be known; they were beheaded.
","ഇംഗ്ലണ്ടിലെ ഹെൻട്രി എട്ടാമൻ രാജാവിന്റെ രണ്ടാമതും അഞ്ചാമതും ഭാര്യമാരായ ആനി ബോളിൻ, കാതറിൻ ഹൊവാർഡ് എന്നിവരെ വിവാഹേതര ലൈംഗികബന്ധക്കുറ്റത്തിന് രാജാവിന്റെ ഇഷ്ടത്തിനനുസരിച്ച് ശിരഛേദം ചെയ്തോ തീവച്ചോ കൊല്ലാൻ വിധിക്കപ്പെടുകയുണ്ടായി, ഇവരെ ശിരഛേദം ചെയ്താണ് കൊന്നത്.
"
"Anne Boleyn and Catherine Howard, first cousins and the second and fifth wives of Henry VIII were both condemned to be burnt alive or beheaded for adultery as the king s pleasure should be known.
","ഇംഗ്ലണ്ടിലെ ഹെൻട്രി എട്ടാമൻ രാജാവിന്റെ രണ്ടാമതും അഞ്ചാമതും ഭാര്യമാരായ ആനി ബോളിൻ, കാതറിൻ ഹൊവാർഡ് എന്നിവരെ വിവാഹേതര ലൈംഗികബന്ധക്കുറ്റത്തിന് രാജാവിന്റെ ഇഷ്ടത്തിനനുസരിച്ച് ശിരഛേദം ചെയ്തോ തീവച്ചോ കൊല്ലാൻ വിധിക്കപ്പെടുകയുണ്ടായി, ഇവരെ ശിരഛേദം ചെയ്താണ് കൊന്നത്.
"
"Anne Boleyn and Catherine Howard, first cousins and the second and fifth wives of Henry VIII were both condemned to be burnt alive or beheaded for adultery as the king's pleasure should be known.
","ഇംഗ്ലണ്ടിലെ ഹെൻട്രി എട്ടാമൻ രാജാവിന്റെ രണ്ടാമതും അഞ്ചാമതും ഭാര്യമാരായ ആനി ബോളിൻ, കാതറിൻ ഹൊവാർഡ് എന്നിവരെ വിവാഹേതര ലൈംഗികബന്ധക്കുറ്റത്തിന് രാജാവിന്റെ ഇഷ്ടത്തിനനുസരിച്ച് ശിരഛേദം ചെയ്തോ തീവച്ചോ കൊല്ലാൻ വിധിക്കപ്പെടുകയുണ്ടായി, ഇവരെ ശിരഛേദം ചെയ്താണ് കൊന്നത്.
"
