eng_Latn,mal_Mlym
"Later as an adult (Shah Rukh Khan), Rizwan moves to San Francisco and lives with his brother and sister-in-law.
","വളരുമ്പോൾ റിസ്വാൻ (ഷാരൂഖ് ഖാൻ) സഹോദരനോടൊപ്പം സാൻഫ്രാൻസിസ്കോയിലേക്ക് താമസം മാറുന്നു.
"
"Later as an adult (Shahrukh Khan), Rizwan moves to San Francisco and lives with his brother and sister-in-law.
","വളരുമ്പോൾ റിസ്വാൻ (ഷാരൂഖ് ഖാൻ) സഹോദരനോടൊപ്പം സാൻഫ്രാൻസിസ്കോയിലേക്ക് താമസം മാറുന്നു.
"
"Lauren Booth, sister-in-law of former Prime Minister Tony Blair, works for Press TV.
","ലോറൻ ബൂത്ത് - മുൻ ബ്രിട്ടിഷ് പ്രധാന മന്ത്രി ടോണി ബ്ലയറുടെ സഹോദരി, ഇറാൻ പ്രസ് ടി. വി കറസ്പോണ്ടന്റ്.
"
"Manjula was serving a life sentence for killing her sister-in-law in 1996.
","1996ൽ സഹോദരന്റെ ഭാര്യയെ കൊന്ന കേസിലാണ് മഞ്ജുള ജീവപര്യന്തം ശിക്ഷിക്കപ്പെട്ട് ജയിലിലെത്തുന്നത് .
"
"My sister-in-law and brother and mother all agreed.
","ഇച്ചാച്ചനും അമ്മച്ചിക്കും പെങ്ങന്മാർക്കും അനിയനും എല്ലാം സമ്മതമായി.
"
"My sister-in-law has a 22 month old daughter.
","22 മാസം പ്രായമുള്ള ഒരു മകളുണ്ട് സാന്നയ്ക്ക്.
"
"My sister-in-law said she liked them.
","അവിടുന്നു അവർ ഇഷ്ടത്തിലായതാണെന്ന് അമ്മായിമാരാണ് പറഞ്ഞു തന്നത്.
"
"My sister-in-law started a blog!
","എന്റെ പെങ്ങൾ ബ്ലോഗാൻ തുടങ്ങി!
"
"My sister-in-law will be here next month.
","മിയ്ക്കവാറും വരുന്ന മാസത്തിൽ എന്റെ പൊന്നുമോൾ ഇവിടെ എന്റടുത്തുണ്ടാവും.
"
"NSG Commando commits suicide after shooting wife, sister-in-law
","ഭാര്യയെയും, സഹോദരിയെയും വെടിവെച്ച ശേഷം എൻഎസ്ജി കമ്മാൻഡോ ആത്മഹത്യ ചെയ്തു
"
"NSG commando commits suicide after shooting wife, sister-in-law
","ഭാര്യയെയും, സഹോദരിയെയും വെടിവെച്ച ശേഷം എൻഎസ്ജി കമ്മാൻഡോ ആത്മഹത്യ ചെയ്തു
"
"NSG commando kills himself after shooting wife and sister-in-law
","ഭാര്യയെയും, സഹോദരിയെയും വെടിവെച്ച ശേഷം എൻഎസ്ജി കമ്മാൻഡോ ആത്മഹത്യ ചെയ്തു
"
"Police arrested the brother and sister-in-law on Saturday.
","ഇതിൽ കേസെടുത്ത പോലീസ് വെള്ളിയാഴ്ച യുവതിയുടെ സഹോദരനെയും അമ്മാവനെയും കസ്റ്റഡിയിലെടുത്തിരുന്നു.
"
"Police found that Shiva's victims included his own grandmother and sister-in-law.
","കൊല്ലപ്പെട്ടവരിൽ ശിവയുടെ മുത്തശ്ശിയും സഹോദര ഭാര്യയും ഉൾപ്പെടുന്നുവെന്നും പൊലീസ് അറിയിച്ചിട്ടുണ്ട്.
"
"Police said a case has been registered against the seven people, including Suman's sister who is also her sister-in-law.
","സുമന്റെ സഹോദരി അടക്കമുള്ളവർക്കെതിരെയാണ് കേസ് രജിസ്റ്റർ ചെയ്തിട്ടുള്ളതെന്ന് പൊലീസ് പറഞ്ഞു.
"
"Previous Post: My sister-in-law
","Previous Previous post: എൻറെ ഭാഗ്യമാ എൻറെ അമ്മായി
"
"Q. Who among the following is sister-in-law of D?
","Q1. താഴെ പറയുന്നവരിൽ ആരാണ് N ന്റെ സഹോദരി?
"
"Ratnaja was engaged to be married last November to the sister-in-law of a well-known film editor.
","കഴിഞ്ഞ നവംബറിൽ കന്നഡ സിനിമയിലെ ഒരു പ്രശസ്ത ഫിലിം എഡിറ്ററുടെ മകളുമായി രത്നജയുടെ വിവാഹം നിശ്ചയിച്ചിരുന്നു.
"
"Right: Parminder Kaur and her sister-in-law Manjeet Kaur: 'We haven't come to Singur to support any political party, we have come for our farmers'
","വലത്ഃ പർമീന്ദർ കൌറും അവരുടെ ബന്ധു മഞ്ജീത് കൌറുംഃ 'ഞങ്ങൾ സിംഗൂരിൽ വന്നത് ഒരു രാഷ്ട്രീയ പാർട്ടിയെയും പിന്തുണയ്ക്കാനല്ല, ഞങ്ങളുടെ കർഷകർക്കു വേണ്ടിയാണ്
"
"Salman Khan calls Katrina Kaif as his sister-in-law
","സൽമാൻ ഖാൻ കത്രീന കൈഫിനെ കത്രീന കപൂറെന്ന് വിളിച്ചത് തന്റെ പുതിയ കാമുകിയ പരിചയപ്പെടുത്തുന്നതിന്
"
"Several decades later his brother Marcos and his sister-in-law Laura come to convince him to sell the lands they share by...
","ഏതാനും ദശകങ്ങൾക്ക് ശേഷം, അയാളുടെ അനിയൻ മാർക്കോസും ഭാര്യ ലൌറയും അവർക്ക് കൂടി അവകാശപ്പെട്ട ഭൂമി വിൽക്കാനായി അയാളെ പ്രേരിപ്പിക്കാനായി എത്തിച്ചേരുന്നു.
"
"Several decades later, his brother Marcos and his sister-in-law Laura, come to convince him to sell the lands they share by inheritance.
","ഏതാനും ദശകങ്ങൾക്ക് ശേഷം, അയാളുടെ അനിയൻ മാർക്കോസും ഭാര്യ ലൌറയും അവർക്ക് കൂടി അവകാശപ്പെട്ട ഭൂമി വിൽക്കാനായി അയാളെ പ്രേരിപ്പിക്കാനായി എത്തിച്ചേരുന്നു.
"
"Several decades later, his brother Marcos and his sister-in-law Laura, come to convince him to sell the lands they share by inheritance.play
","ഏതാനും ദശകങ്ങൾക്ക് ശേഷം, അയാളുടെ അനിയൻ മാർക്കോസും ഭാര്യ ലൌറയും അവർക്ക് കൂടി അവകാശപ്പെട്ട ഭൂമി വിൽക്കാനായി അയാളെ പ്രേരിപ്പിക്കാനായി എത്തിച്ചേരുന്നു.
"
"Several decades later, his brother Marcos and his sister-in-law Laura, come to convince him to sell the lands they share by.
","ഏതാനും ദശകങ്ങൾക്ക് ശേഷം, അയാളുടെ അനിയൻ മാർക്കോസും ഭാര്യ ലൌറയും അവർക്ക് കൂടി അവകാശപ്പെട്ട ഭൂമി വിൽക്കാനായി അയാളെ പ്രേരിപ്പിക്കാനായി എത്തിച്ചേരുന്നു.
"
"Several decades later, his brother Marcos and theais sister-in-law Laura, come to convince him to sell the lands they share by inheritance.
","ഏതാനും ദശകങ്ങൾക്ക് ശേഷം, അയാളുടെ അനിയൻ മാർക്കോസും ഭാര്യ ലൌറയും അവർക്ക് കൂടി അവകാശപ്പെട്ട ഭൂമി വിൽക്കാനായി അയാളെ പ്രേരിപ്പിക്കാനായി എത്തിച്ചേരുന്നു.
"
"Several decades later, his brother marcos and his sister-in-law laura, come to convince him to sell the lands they share by inheritance. ّ
","ഏതാനും ദശകങ്ങൾക്ക് ശേഷം, അയാളുടെ അനിയൻ മാർക്കോസും ഭാര്യ ലൌറയും അവർക്ക് കൂടി അവകാശപ്പെട്ട ഭൂമി വിൽക്കാനായി അയാളെ പ്രേരിപ്പിക്കാനായി എത്തിച്ചേരുന്നു.
"
"She accused her mother-in-law Rabri Devi, also a former Chief Minister, of throwing her out of the house and blamed her sister-in-law Misa Bharti for the breakdown of her marriage.
","മുൻ മുഖ്യമന്ത്രി കൂടിയായ അമ്മായിയമ്മ റാബ്രി ദേവി തന്നെ വീട്ടിൽ നിന്ന് പുറത്താക്കി എന്നും തന്റെ വിവാഹബന്ധം തകർന്നതിന് കാരണം ഭർത്താവിന്റെ സഹോദരി മിസ ഭാരതി ആണെന്നും ഐശ്വര്യ റോയ് കുറ്റപ്പെടുത്തി.
"
"She accused her mother-in-law, Rabri Devi, also a former Chief Minister, of throwing her out of the house and blamed her sister-in-law Misa Bharti for the breaking down her marriage.
","മുൻ മുഖ്യമന്ത്രി കൂടിയായ അമ്മായിയമ്മ റാബ്രി ദേവി തന്നെ വീട്ടിൽ നിന്ന് പുറത്താക്കി എന്നും തന്റെ വിവാഹബന്ധം തകർന്നതിന് കാരണം ഭർത്താവിന്റെ സഹോദരി മിസ ഭാരതി ആണെന്നും ഐശ്വര്യ റോയ് കുറ്റപ്പെടുത്തി.
"
"She claimed over the last three months, she had not been given meals on the instructions of her sister-in-law Misa Bharti and had survived on food sent by her parents.
","കഴിഞ്ഞ മൂന്നുമാസമായി സഹോദരി മിസ ഭാരതിയുടെ നിർദ്ദേശപ്രകാരം തനിക്ക് ഭക്ഷണം നൽകിയിട്ടില്ലെന്നും മാതാപിതാക്കൾ അയച്ച ഭക്ഷണം കഴിച്ചാണ് താൻ അതിജീവിച്ചതെന്നും ഐശ്വര്യ അവകാശപ്പെട്ടു.
"
"She was a beloved wife, sister, sister-in-law, aunt, cousin and friend.
","സ്നേഹസമ്പന്നയായ ഭാര്യ,മകൾ, സഹോദരി,അന്തിരവൾ, കസിൻ, സുഹൃത്ത് എന്നിവയൊക്കെയായിരുന്നു അവൾ.
"
"Sheila Kaul, who died in 2015, was the sister-in-law of India's first prime minister Jawaharlal Nehru.
","ആദ്യ പ്രധാനമന്ത്രി ജവഹർലാൽ നെഹ്റുവിന്റെ സഹോദരഭാര്യയാണ് 2015ൽ അന്തരിച്ച ഷീല കൌൾ.
"
"Tania said the family fled to America searching for asylum after the crowd MS-thirteen killed her mom and sister-in-law and then threatened her.
","എംഎസ് -13 എന്ന ക്രിമിനൽ സംഘം അമ്മയെയും സഹോദരിയെയും കൊന്ന് ഭീഷണിപ്പെടുത്തിയതിനെ തുടർന്നാണ് കുടുംബം അഭയം തേടി അമേരിക്കയിലേക്ക് പലായനം ചെയ്തതെന്ന് ടാനിയ പറയുന്നു.
"
"Tania said the family fled to the United States to seek asylum after the gang MS-13 killed her mother and sister-in-law and then threatened her.
","എംഎസ് -13 എന്ന ക്രിമിനൽ സംഘം അമ്മയെയും സഹോദരിയെയും കൊന്ന് ഭീഷണിപ്പെടുത്തിയതിനെ തുടർന്നാണ് കുടുംബം അഭയം തേടി അമേരിക്കയിലേക്ക് പലായനം ചെയ്തതെന്ന് ടാനിയ പറയുന്നു.
"
"That is how Kundra handed it over to her sister-in-law Pradeep Bakshi's company in London called Kentin.
","അങ്ങനെയാണ് ഇതു ലണ്ടനിലുള്ള തന്റെ സഹോദരീഭർത്താവ് പ്രദീപ് ബക്ഷിയുടെ കെൻറിൻ എന്ന കമ്പനിക്കു കുന്ദ്ര കൈമാറുന്നത്.
"
"They draw on a tradition that the Prophet had told his young sister-in-law Asma that an adolescent girl's body should not be visible except her face and palm [6].
","കൌമാരക്കാരിയായ പെൺകുട്ടിയുടെ ശരീരം അവളുടെ മുഖവും ഈന്തപ്പനയുമല്ലാതെ ദൃശ്യമാകരുതെന്ന് പ്രവാചകൻ തന്റെ ഇളയ സഹോദരി അസ്മയോട് പറഞ്ഞ ഒരു പാരമ്പര്യമാണ് അവർ വരയ്ക്കുന്നത് [6].
"
"Two Arab siblings were charged at the Ajman Criminal Court for stealing from their sister-in-law brother's wife in her absence.
","സഹോദരന്റെ ഭാര്യയുടെ അഭാവത്തിൽ അവരുടെ സാധനങ്ങൾ മോഷ്ടിച്ചതിന് രണ്ട് അറബ് സഹോദരങ്ങൾ അജ്മാൻ ക്രിമിനൽ കോടതിയിൽ വിചാരണ നേരിടുന്നു.
"
"Two years ago, Hrithik's sister-in-law's blog was a subject of great debate.
","രണ്ട് വർഷം മുൻപ് ഹൃത്വികിന്റെ സഹോദരി എഴുതിയ ബ്ലോഗ് വലിയ ചർച്ചയാക്കപ്പെട്ടിരുന്നു.
"
"What about our sister-in-law?
","നമ്മടെ കുറുപ്പിന്റെ മോൾടെ കാര്യം?
"
"The case has been registered against six people, which includes the victim's husband, mother-in-law and sister-in-law.
","സംഭവത്തില്‍ യുവതിയുടെ ഭര്‍ത്താവ്, ഭര്‍തൃ മാതാവ്, ഭര്‍തൃ സഹോദരി എന്നിവരടക്കം ആറ് പേര്‍ക്കെതിരെ പോലീസ് കേസെടുത്തു.
"
"Shweta's father Amitabh Bachchan continues to be a superstar in Bollywood at the age 74 while her mother Jaya, brother Abhishek and sister-in-law Aishwarya Rai are prominent names in the industry.
","ശ്വേതയുടെ അച്ഛന്‍ അമിതാഭ് തന്റെ74ാം വയസിലും ബോളിവുഡിലെ സൂപ്പര്‍താരമായി തിളങ്ങി നില്‍ക്കുന്നു.
"
"The film is directed by Dhanush's sister-in-law Soundarya Rajinikanth and it is produced by Dhanush.
","രജനികാന്തിന്‍റെ മകളും ധനുഷിന്‍റെ ഭാര്യാ സഹോദരിയുമായ സൗന്ദര്യയാണ് ചിത്രം സംവിധാനം ചെയ്യുന്നത്.
"
"The woman’s brother and sister-in-law were present in the house when the incident took place.
","സംഭവം നടക്കുമ്പോള്‍ വീട്ടില്‍ മുത്തച്ഛനും സഹോദരിയും ഉണ്ടായിരുന്നു.
"
"The woman’s brother and sister-in-law were present in the house when the incident took place.
","സംഭവ സമയത്ത് സഹോദരനും സഹോദര ഭാര്യയും ഒപ്പമുണ്ടായിരുന്നു.
"
"As per Hindu religion, Rajapatni (wife of king), Rajamata and sister-in-law (elder brother’s wife) have equal powers.
","ഹൈന്ദവാചാരപ്രകാരം രാജപത്‌നിക്കും രാജമാതാവിനും ജ്യേഷ്ഠന്റെ ഭാര്യയ്ക്കും തുല്യപദവിയാണ്.
"
"Actress Priyanka Chopra Jonas, who recently started her new venture, the Indian restaurant Sona in New York City, got a lot of appreciation from sister-in-law Danielle Jonas.
","നടി പ്രിയങ്ക ചോപ്ര പുതുതായി ന്യൂയോര്‍ക്കില്‍ തുടങ്ങിയ ഇന്ത്യന്‍ റസ്‌റ്റോറന്റ് 'സോന' ഭക്ഷണപ്രേമികളുടെ പ്രശംസ പിടിച്ചു പറ്റിക്കഴിഞ്ഞു.
"
"Actor Priyanka Chopra , who is on a vacation with Nick Jonas in Italy, took some time off to congratulate her sister-in-law Sophie Turner and brother-in-law Joe Jonas on their wedding.
","ഇറ്റലിയില്‍ അവധിയാഘോഷത്തിലാണ് നടി പ്രിയങ്കാ ചോപ്രയും ഭര്‍ത്താവ് നിക് ജോനാസും.
"
"The serial actress, Lakshmi Pramod, is Harish’ sister-in-law.
","സംഭവത്തില്‍ അറസ്റ്റിലായി റിമാന്‍ഡിലുളള പ്രതി ഹാരിഷിന്റെ സഹോദരന്റെ ഭാര്യയാണ് സീരിയല്‍ നടി ലക്ഷ്മി പ്രമോദ്.
"
"At the time of the incident, Saif Ali Khan was accompanied by wife Kareena Kapoor , sister-in-law Karisma Kapoor, friends Malaika Arora Khan, Amrita Arora and other friends.
","ബോളിവുഡ് നടിമാരായ കരീന കപൂര്‍, മലൈക അറോറ, മലൈകയുടെ സഹോദരി അമൃത അറോറ തുടങ്ങി ചില സുഹൃത്തുക്കള്‍ക്കൊപ്പം റസ്റ്റോറന്റില്‍ എത്തിയ സെയ്ഫിന്റെയും സുഹൃത്തുക്കളുടേയും ഉച്ചത്തിലുള്ള ശബ്ദ കോലാഹലം തൊട്ടടുത്ത ടേബിളില്‍ ഇരുന്നിരുന്ന ഇഖ്‌ബാല്‍ ശര്‍മ്മയ്ക്കും കുടുംബത്തിനും അസഹനീയമായി.
"
"Ahmedabad: Tired of being harassed by husband, sister-in-law, woman immolates herself
","അഹമ്മദാബാദ്: ശാരീരികബന്ധത്തിന് നിർബന്ധിച്ച ഭർതൃസഹോദരനെ വിധവയായ സ്ത്രീ കഴുത്തറുത്ത് കൊലപ്പെടുത്തി.
"
"Milkha would stay at his sister-in-law and later at sister Ishar Kaur’s home after arriving in India.
","ഇന്ത്യയിൽ എത്തിയ ശേഷം സഹോദര ഭാര്യയുടെ ഒപ്പമോ സഹോദരി ഇഷാർ കൗറിന്റെ വീട്ടിലോ ആയിരുന്നു മിൽഖ താമസിച്ചിരുന്നത്.
"
"She and her daughter live with her mother and sister-in-law.
","അമ്മ ഡല്‍ഹിയ്ക്ക് വെളിയില്‍ ഇളയ മകനും മകള്‍ക്കും ഒപ്പമാണ് താമസിക്കുന്നത്.
"
"Priyanka and her husband Nick Jonas went on a double with date sister-in-law Sophie Turner and her husband Joe Jonas.
","പ്രിയങ്കയ്ക്കൊപ്പം നിക്കിന്റെ സഹോദരനര്റെ ഭാര്യ ഡാനിയൽ ജൊനാസും ജോ ജൊനാസിന്റെ ഭാ​ര്യ സോഫിയ ടർണറും ഉണ്ടായിരുന്നു.
"
"The accused included the woman’s husband, parents-in-law, sister-in-law, husband’s uncle, a cousin and a maulvi who solemnised the couple’s nikah.
","പ്രതികളില്‍ സ്ത്രീയുടെ ഭര്‍ത്താവ്, മാതാപിതാക്കള്‍, അമ്മായിയമ്മ, ഭര്‍ത്താവിന്റെ അമ്മാവന്‍, ഒരു കസിന്‍, ദമ്പതികളുടെ നിക്കാഹ് നിര്‍വഹിച്ച ഒരു മൗലവി എന്നിവരും ഉള്‍പ്പെടുന്നു.
"
"Accused remanded for sister-in-laws murder
","ഭാര്യാസഹോദരിയെ കൊലപ്പെടുത്തിയ കേസിൽ പ്രതിക്ക്​ ജീവപര്യന്തം
"
"His wife and sister-in-law also died.
","ഭാര്യാ മാതാവും ഭാര്യയുടെ സഹോദരിയും മരിച്ചു കഴിഞ്ഞു.
"
"P K Sreemathy MP is Jayarajan’s sister-in-law.
","പി ജയരാജന്റെ ഭാര്യാസഹോദരിയാണ് പി. കെ ശ്രീമതി.
"
"The case has been registered against six people, which includes the victim's husband, mother-in-law and sister-in-law.
","സംഭവത്തോടനുബന്ധിച്ച് യുവതിയുടെ ഭര്‍ത്താവ്, ഭര്‍തൃ മാതാവ്, ഭര്‍തൃ സഹോദരി എന്നിവരടക്കം ആറ് പേര്‍ക്കെതിരെ കേസെടുത്തു.
"
"P K Sreemathy MP is Jayarajan’s sister-in-law.
","ജയരാജന്റെ ഭാര്യാസഹോദരി കൂടിയാണ് പി. കെ ശ്രീമതി.
"
"His wife and younger son were sleeping in the next room and his mother-in-law and sister-in-law were in another room.
","മൂത്ത സഹോദരനും ഭാര്യയും കുട്ടിയും ഒരു മുറിയില്‍, യുവതി മറ്റൊരു മുറിയില്‍, ഇളയ സഹോദരന്‍ വീടിനു പുറത്താണ് കിടന്നിരുന്നത്.
"
"P K Sreemathy MP is Jayarajan’s sister-in-law.
","ജയരാജന്റെ ഭാര്യയുടെ സഹോദരി കൂടിയായ പി. കെ. ശ്രീമതിയുടെ
"
"The woman’s brother and sister-in-law were present in the house when the incident took place.
","സംഭവം നടക്കുമ്പോള്‍ മാതാവും സഹോദരനും സഹോദരിയും വീട്ടിലുണ്ടായിരുന്നു.
"
"The tweet by Malik and Verma also named Wankhede's sister-in-law.
","മാലിക്കിന്റെയും വര്‍മയുടെയും ട്വീറ്റില്‍ വാങ്കഡെയുടെ ഭാര്യാസഹോദരിയുടെ പേരും ഉണ്ടായിരുന്നു.
"
"Along with her came her sister-in-law.
","അദ്ദേഹത്തിനൊപ്പം പത്‌നി അനിയും ഒപ്പമുണ്ടായിരുന്നു.
"
"One of the sister-in-law rapper, Kylie Jenner, has signed a contract with the Puma brand.
","ഒരു സഹോദരി ഭർത്താവ് കെയിലി ജെനർ, പ്യൂമ ബ്രാൻഡുമായി കരാർ ഒപ്പിട്ടു.
"
"P K Sreemathy MP is Jayarajan’s sister-in-law.
","ഇപി ജയരാജന്റെ ഭാര്യാ സഹോദരിയാണ് പികെ ശ്രമീതി എംപി.
"
