eng_Latn,mal_Mlym
"""""""I know of your respect for my grandmother and father.""
","""""""നിങ്ങൾക്ക് എന്റെ മുത്തച്ഛനോടും അച്ഛനോടുമുള്ള ബഹുമാനം എനിക്കറിയാവുന്നതാണ്.""
"
"""""""I lost my father and my grandmother to violence.""
","'എനിക്കെന്റെ അച്ഛനെയും മുത്തശ്ശിയെയും നഷ്ടപ്പെട്ടത് അക്രമത്തിലാണ്.
"
"""""""I mean Louise had no concept really that the Queen and her grandmother were one and the same person.""""""
","""അവൾ പറഞ്ഞു, """"രാജ്ഞിയും മുത്തശ്ശിയും ഒരേ വ്യക്തിയാണെന്ന് ലൂയിസിന് അറിയില്ലായിരുന്നു.""
"
"""""""I never saw my grandmother smile.""""""
","""""""ഞാൻ എന്റെ 'അമ്മ ചിരിക്കുന്നത് കണ്ടിട്ടില്ല .""
"
"""""""I see you've been talking to your grandmother.""
","""""""നിങ്ങളും അപ്പൂപ്പനുമായി സംസാരിക്കുന്നത് ഞാൻ ശ്രദ്ധിച്ചു.""
"
"""""""I told him whatever hatred you have for me, you can belittle me, you can say whatever you say about my father, mother, grandfather, grandmother,"""" the Congress president added.""
","'ഞാൻ അദ്ദേഹത്തോട് പറഞ്ഞിട്ടുണ്ട്, എനിക്കെതിരെ എന്തെങ്കിലും വിദ്വേഷം ഉണ്ടെങ്കിൽ, എന്നെ എത്ര വേണമെങ്കിലും ഇകഴ്ത്തിക്കെട്ടാമെന്നും, എന്റെ പിതാവിനെക്കുറിച്ചോ, മാതാവിനെക്കുറിച്ചോ, മുത്തച്ഛനെക്കുറിച്ചോ, മുത്തശ്ശിയെക്കുറിച്ചോ നിങ്ങൾ പറയുന്നതെന്തും പറയാമെന്ന്.
"
"""""""I waited about ten minutes before she arrived and I told her to come a little closer so I could see her better, because I knew her grandmother had poor vision.""
","""""""അവൾ വരുന്നതിന് പത്ത് മിനിറ്റ് മുമ്പ് ഞാൻ കാത്തിരുന്നു, കുറച്ചുകൂടി അടുത്ത് വരാൻ ഞാൻ അവളോട് പറഞ്ഞു, അതിനാൽ എനിക്ക് അവളെ നന്നായി കാണാൻ കഴിയും, കാരണം അവളുടെ മുത്തശ്ശിക്ക് കാഴ്ചശക്തി കുറവാണെന്ന് എനിക്കറിയാം.""
"
"""""""I was sent by my grandmother to purchase bread.""
","""""""എന്റെ മുത്തശ്ശി റൊട്ടി വാങ്ങാനായി എന്നെ ഒരു ബേക്കറിലേക്ക് അയച്ചതായിരുന്നു.""
"
"""""""I went to my grandmother's house.""
","'ഞാൻ മുത്തശ്ശിയുടെ വീട്ടിൽ പോയതായിരുന്നു.
"
"""""""I went to my grandmother.""
",""""""" ഞാൻ മുത്തശ്ശിയുടെ അടുത്ത് പോയി .""
"
"""""""I will tell you, grandmother.""""""
","""""""ഞാൻ പറയാം അമ്മച്ചീ""""""
"
"""""""I'll take the grandmother.""""""
","""""""""""ഞാൻ വല്യമ്മച്ചിയെ എടുക്കാം.""
"
"""""""I'm angry at my grandmother.""
",""""""" എനിക്ക് ദേഷ്യം വന്നു മുത്തശ്ശാ """"""
"
"""""""I'm not going far, grandmother.""
","""""""ഒരുപാട് ദൂരത്തേക്കൊന്നും പോണില്ല അമ്മിച്ചീ.""
"
"""""""I've become a grandmother,"""" she says, """"but I have a mother's responsibilities too.""""""
","""""""ഞാനൊരു മുത്തശ്ശി ആയിരിക്കുന്നു, പക്ഷെ എനിക്കൊരമ്മയുടെ ഉത്തരവാദിത്തങ്ങളും നിറവേറ്റേണ്ടതുണ്ട്,"""" അവർ പറഞ്ഞു.""
"
"""""""I've near here with my grandmother.""
",""" """"മഹീ. . . ഞാനിവിടെ മുത്തശ്ശിയുടെ അടുത്താ .""
"
"""""""In my own family, my grandmother was from a lower caste.""
","""""""എന്റെ സ്വന്തം കുടുംബത്തിൽ, എന്റെ മുത്തശ്ശി ഒരു താഴ്ന്ന ജാതിയിൽപ്പെട്ടയാളായിരുന്നു.""
"
"""""""Is my grandmother asleep?""""""
","""""""മുത്തശ്ശി ഉറങ്ങിയോ?""
"
"""""""Is that a grandmother?""""""
","""""""അല്ലാ ഇതൊരു അമ്മുമ്മയാണല്ലോ. . ?""
"
"""""""Is...is there something wrong with my grandmother?""""""
","""""""എന്താ മുത്തശ്ശി എന്തേലും വയ്യായ്ക ഉണ്ടോ. . .""
"
"""""""It's not the same, grandmother.""
","""""""പഴയ പോലൊന്നുമല്ല, അമ്മുക്കുട്ടിയമ്മേ.""
"
"""""""Let me ask my grandmother.""""""
",""" . ഞാനുടനേ വലിയമ്മാമ്മയോട്് ചോദിക്കുംട്ടോ""""""
"
"""""""Mother, is this my grandmother?""""""
",""" """"അമ്മ. . മുത്തശ്ശീ ഇതെന്റെ അമ്മയാണോ""""""
"
"""""""My grandmother asked me to see you.""
",""""""" എന്നെക്കണ്ടയുടനെ വലിയമ്മ ചോദിച്ചു.""
"
"""""""My grandmother did not go to school.""
",""" """"ങാ. . . മുത്തിയമ്മൂമ്മ ഉകൂളിൽ പോണില്ലാ.""
"
"""""""My grandmother had sent me to a baker to buy bread.""
","""""""എന്റെ മുത്തശ്ശി റൊട്ടി വാങ്ങാനായി എന്നെ ഒരു ബേക്കറിലേക്ക് അയച്ചതായിരുന്നു.""
"
"""""""My grandmother is amazing.""
",""""""" മുത്തശ്ശി അത്ഭുതം കൂറി .""
"
"""""""My grandmother made me all I am today.""
","""""""ഞാൻ ഇന്ന് എന്തായിരിക്കുന്നുവോ അതിനെല്ലാം വഴികാട്ടിയായത് എന്റെ അമ്മയാണ്.""
"
"""""""My grandmother played.""
",""""""" അമ്മു കളിയാക്കി.""
"
"""""""My grandmother really started it.""
","""""""സത്യത്തിൽ എന്റെ അമ്മയാണ് ഇതിന് തുടക്കമിട്ടത്.""
"
"""""""My grandmother was English.""""""
","""""""എന്റെ ഇംഗ്ലീഷ് മുത്തശ്ശി""""""
"
"""""""My grandmother went off and wouldn't come back.""
","""""""മുത്തശ്ശിക്ക് പോയാപിന്നെ തിരിച്ച് വരാനൊക്കില്ല.""
"
"""""""My grandmother will be waiting.""""""
","""ന്റെ അമ്മു കാത്തിരിക്കിണ്ടാവും """"""
"
"""""""My grandmother's name""""""
",""""""" മുത്തശ്ശന്റെ പേരാ. . """"""
"
"""""""My grandmother's name.""""""
",""""""" മുത്തശ്ശന്റെ പേരാ. . """"""
"
"""""""My grandmother, Vidyawati Singh won election to this post in 2000.""
","'എന്റെ മുത്തശ്ശി വിദ്യാവതി സിംഗ് 2000ത്തിൽ ഇതേ സ്ഥാനത്ത് വിജയം നേടിയിരുന്നു.
"
"""""""My mother and grandmother were excellent cooks.""
","""""""അമ്മാമ്മയും വല്യമ്മയുമൊക്കെ നല്ല പാചകക്കാരായിരുന്നു.""
"
"""""""My mother and grandmother were good cooks.""
","""""""അമ്മാമ്മയും വല്യമ്മയുമൊക്കെ നല്ല പാചകക്കാരായിരുന്നു.""
"
"""""""My son-in-law was able to save him by climbing a tree,"""" says Promita, the baby's grandmother .""
","""""""എൻറെ മരുമകൻ ഒരു മരത്തിൽ കയറി അവനെ രക്ഷിച്ചു,"""" കുഞ്ഞിൻറെ മുത്തശ്ശിയായ പ്രോമിത പറയുന്നു.""
"
"""""""No, his grandmother.""
","""""""അല്ല, ഇയാടെ അമ്മുമ്മയെ""""""
"
"""""""No, its my grandmother.""""""
","""""""അല്ല, ഇയാടെ അമ്മുമ്മയെ""""""
"
"""""""No, my grandmother.""
","""""""ഇല്ല മുത്തശ്ശി.""
"
"""""""No, my grandmother.""""""
","""""""ഇല്ല മുത്തശ്ശി""""""
"
"""""""No, the grandmother.""""""
","""""""അല്ല, ഇയാടെ അമ്മുമ്മയെ""""""
"
"""""""No, your grandmother.""
","""""""അല്ല, ഇയാടെ അമ്മുമ്മയെ""""""
"
"""""""Not my grandmother.""
",""""""" അമ്മൂമ വേണ്ട .""
"
"""""""Oh yeah, my grandmother.""
",""" . """"അതെ മുത്തശ്ശി .""
"
"""""""Oh, grandmother, what is that?""""""
","""""""എന്റെ മുത്തപ്പാ, എന്താണിത്?""
"
"""""""One of my co-workers was looking for a blood donor for her O-negative grandmother's operation.""
","""""""എന്റെ സഹപ്രവർത്തകരിൽ ഒരാൾ അവളുടെ ഓ-നെഗറ്റീവ് മുത്തശ്ശിയുടെ ഓപ്പറേഷനായി രക്തദാതാവിനെ തിരയുകയായിരുന്നു.""
"
"""""""She always wanted to help and protect people, and that's exactly what she did,"""" his grandmother said.""
","""""""ആളുകളെ സഹായിക്കാനും പരിരക്ഷിക്കാനും അവൾ എപ്പോഴും ആഗ്രഹിക്കുന്നു, അതാണ് അവൾ ചെയ്തത്,"""" അവന്റെ മുത്തശ്ശി പറഞ്ഞു.""
"
"""""""She said her family, including a sick grandmother, was in dire need of money and that they hadn't even been able to pay rent.""
","രോഗിയായ മുത്തശ്ശി ഉൾപ്പെട്ട കുടുംബം കടുത്ത ദാരിദ്ര്യത്തിലാണ് കഴിയുന്നത് വാടക നൽകാൻ പോലും പണമില്ലെന്ന് അവൾ പറഞ്ഞു.
"
"""""""She's at her grandmother's for a few days.""""""
",""" """"അതു. . . കുറച്ചു ദിവസം ആയിട്ട് മുത്തശ്ശി ഉണ്ട്.""
"
"""""""She's my grandmother?""""""
",""" """"അമ്മ. . മുത്തശ്ശീ ഇതെന്റെ അമ്മയാണോ""""""
"
"""""""Should I ask grandmother?""""""
",""" . ഞാനുടനേ വലിയമ്മാമ്മയോട്് ചോദിക്കുംട്ടോ""""""
"
"""""""That's it,"""" her grandmother said.""
","""അത്ര തന്നെ,"""" മുത്തശ്ശി പറഞ്ഞു.""
"
"""""""The grandmother was enraged.""
",""""""" മുത്തശ്ശി ദേഷ്യപ്പെട്ടു.""
"
"""""""This is my grandmother right here.""
","""""""ഇതെന്റെ അമ്മവീടാണ്, ഇവിടുത്തെ""
"
"""""""This is my grandmother?""""""
",""" """"അമ്മ. . മുത്തശ്ശീ ഇതെന്റെ അമ്മയാണോ""""""
"
"""""""This is not your grandmother's cheder,"""" he added.""
","""""""ഇവ നിങ്ങളുടെ മുത്തച്ഛന്റെ പ്ലേബോയ് അല്ല,"""" അദ്ദേഹം കൂട്ടിച്ചേർത്തു.""
"
"""""""To come and see your grandmother.""""""
","""""""വരുന്നോ മുത്തശ്ശനെ കാണാൻ. . """"""
"
"""""""What about your mother or grandmother?""""""
","""""""അപ്പോൾ, നിങ്ങളുടെ അമ്മയെയോ മുത്തശ്ശിയെയോ?""
"
"""""""What are you telling your grandmother now?""""""
","""""""എന്താ മുത്തശ്ശി ഇന്ന് വിശേഷം. . """"""
"
"""""""What do you mean by grandmother?""""""
",""""""" മുത്തശ്ശി പറയുന്നതിൻറെ അർത്ഥം എന്താണമ്മേ?""
"
"""""""What do you mean grandmother?""
",""""""" മുത്തശ്ശി പറയുന്നതിൻറെ അർത്ഥം എന്താണമ്മേ?""
"
"""""""What do you think that your grandmother is going to say?""""""
",""""""" """"നീ എന്താ ഈ പറയുന്നത് , നിന്റെ അമ്മായി സമ്മതിക്കും എന്ന് തോന്നുന്നുണ്ടോ ?""
"
"""""""What does your grandmother think?""
","""""""മുത്തച്ഛൻ എന്താ ആലോചിയ്ക്കണ്?""
"
"""""""What's she talking about?"""" my grandmother shrieked, glaring at my father.""
","""""""എന്താ മോളെ ഇവള് പറയുന്നത്. . """" മുത്തശ്ശി കണ്ണുമിഴിച്ച് പ്രിയയെ നോക്കി.""
"
"""""""Where did my grandmother go?""""""
","""""""അമ്മുമ്മ എവിടെ പോയി """"""
"
"""""""Who is it, grandmother?""""""
","""""""ആരാ അതു അമ്മുവമ്മേ """"""
"
"""""""Who's grandmother is that?""""""
","""""""ഇതാരുടേതാ മുത്തശ്ശി """"""
"
"""""""Who's there?"""" called the grandmother, hearing the knock.""
","""""""എന്താടീ അവിടൊന്നൊര് . . . . """" ശബ്ദം കേട്ട് മുത്തശ്ശി വിളിച്ചു ചോദിച്ചു.""
"
"""""""Why did your grandmother say that?""""""
","""""""മുത്തശ്ശി എന്താ അങ്ങിനെ പറഞ്ഞത് .""
"
"""""""Why did your mother and grandmother fight over you?""""""
","""""""എന്താടാ നിന്റെ അമ്മയ്ക്കും മുത്തശ്ശിക്കും ഇത്ര കത്തിവയ്ക്കാനുള്ളത്?""
"
"""""""Yes, grandmother,"""" I said.""
","""""""ഉവ്വ് മുത്തശ്ശി,"""" ഞാൻ പറഞ്ഞു.""
"
"""""""You're my grandmother.""""""
","""""""നീ എന്റെ മുത്താണെടാ'""
"
"""""""You're not the baby's grandmother.""""""
",""" . നീ കുഞ്ഞാന്റിടെ മുത്തല്ലേടാ """"""
"
"""""""Your grandmother called me yesterday.""
",""""""" ഇന്നലെ ചേട്ടത്തിയമ്മ വിളിച്ചിരുന്നു.""
"
"""""""Your grandmother doesn't believe me.""
",""" . . . """"എന്നെ എന്റെ അന്നമ്മ അമ്മാമക്ക് വിശ്വാസമില്ലേ.""
"
"""""""Your grandmother know?""""""
","""""""മുത്തശ്ശി അറിയുമോ?""
"
"""""""Your grandmother knows?""""""
","""""""മുത്തശ്ശി അറിയുമോ?""
"
"""""""Your grandmother or Big Momma?""""""
","""""""അപ്പോൾ, നിങ്ങളുടെ അമ്മയെയോ മുത്തശ്ശിയെയോ?""
"
"""""""Your grandmother went into the forest?""""""
","""""""മുത്തപ്പൻ കാവിൽ പോയതാ?""
"
"""""""Your grandmother won't talk about them?""
","""""""ഇവരുടെ അമ്മമാരൊന്നും ഇത് കണ്ടിട്ട് ഒന്നും പറയുന്നില്ലേ?""
"
"""""""Your grandmother would say?""
","""""""മുത്തശ്ശിയും അങ്ങനാണോ പറയുക?""
"
"""""""Your grandmother.""""""
",""" . """"നിൻറെ ഉമ്മുമ്മാ.""
"
"""""""Your mother and grandmother?""""""
","""""""അപ്പോൾ, നിങ്ങളുടെ അമ്മയെയോ മുത്തശ്ശിയെയോ?""
"
"""""""Your mother or your grandmother.""
","""""""അപ്പോൾ, നിങ്ങളുടെ അമ്മയെയോ മുത്തശ്ശിയെയോ?""
"
"""7 thoughts on """"My grandmother's kitchen""""""
","""7 thoughts on """"അമ്മായമ്മയുടെ കുടിൽ വ്യവസായം""""""
"
"""A mother and a grandmother. """"""
",""" . അമ്മ പിന്നെ ഒരു മുത്തശ്ശി """"""
"
"""A young fish once asked his grandmother, """"What is the ocean?""""""
","""ഒരിക്കൽ സമുദ്രത്തിലെ ഒരു കുഞ്ഞുമീൻ അമ്മ മീനിനോടു ചോദിച്ചു """"എന്താണമ്മേ""
"
"""As a child, Casanova suffered nosebleeds, and his grandmother sought help from a witch: """"Leaving the gondola, we enter a hovel, where we find an old woman sitting on a pallet, with a black cat in her arms and five or six others around her.""""""
","""ബാലനായിരിക്കെ മൂക്കിൽ നിന്നുള്ള രക്തശ്രാവം മൂലം വിഷമിച്ച കാസനോവയെ മുത്തശ്ശി ഒരു മന്ത്രവാദിനിയുടെ അടുത്തു കൊണ്ടുപോയിഃ """"വള്ളത്തിൽ നിന്നിറങ്ങി ഒരു ചെറ്റപ്പുരയിൽ പ്രവേശിച്ച ഞങ്ങൾ കണ്ടത്, കയ്യിൽ ഒരു കറുത്ത പൂച്ചയും ചുറ്റും അഞ്ചോ ആറോ ആളുകളുമായി ഒരു പലകയിൽ ഇരിക്കുന്ന കിഴവിയെയാണ്.""
"
"""As my grandmother always said, if you can't say something nice, don't say anything.""""""
","""മുത്തശ്ശിമാർ എല്ലായ്പ്പോഴും പറയുന്നതുപോലെ, """"നിങ്ങൾക്ക് നല്ലത് എന്തെങ്കിലും പറയാൻ കഴിയുന്നില്ലെങ്കിൽ പിന്നെ ഒന്നും പറയാതിരിക്കുന്നതാണ് നല്ലത്.""
"
"""As my grandmother would say, """"time's up.""""""
","""അമ്മമ്മ പറയുമ്പോലെ """"കാലം പോയ പോക്കേ.""""""
"
"""Being a child, Gennady always remembered grandmother's words: """"Do self-regulation.""""""
","""ഒരു കുട്ടി എന്ന നിലയിൽ, ഗെന്നദ്യ് എപ്പോഴും മുത്തശ്ശി വാക്കുകൾ ഓർക്കുകഃ """"സ്വയം നിയന്ത്രണം വരുത്തുക.""
"
"""Call your grandmother.""""""
","""നീ മുത്തശ്ശിയെ വിളിച്ചോളൂ""""""
"
"""Dileep took to his social media pages and wrote, """"On the occasion of first birthday Mahalakshmi with father, mother, sister and grandmother.""""""
","'ഒന്നാം പിറന്നാൾ ദിനത്തിൽ മഹാലക്ഷ്മി അച്ഛനും,അമ്മയ്ക്കും, ചേച്ചിക്കും മുത്തശ്ശിക്കും ഒപ്പം', എന്ന കുറിപ്പോടെയാണ് ദിലീപ് ചിത്രം പങ്കുവച്ചിരിക്കുന്നത്.
"
"""Don't know who tonsured his head,"""" the bride's grandmother said.""
","ആരാണ് അവരുടെ തലമൊട്ടയടിച്ചതെന്ന് അറിയില്ല- വധുവിന്റെ മുത്തശ്ശി പറഞ്ഞു.
"
"""Don't know who tonsured his head,"""" the bride's grandmother told.""
","ആരാണ് അവരുടെ തലമൊട്ടയടിച്ചതെന്ന് അറിയില്ല- വധുവിന്റെ മുത്തശ്ശി പറഞ്ഞു.
"
"""Even if we sell our grandmother's jewellery, we won't be able to afford these repayments,"""" said Nasheed on Twitter.""
","""നമ്മുടെ മുത്തശ്ശിമാരുടെ ആഭരണങ്ങൾ വിൽക്കുകയാണെങ്കിലും, ഈ തിരിച്ചടവ് ഞങ്ങൾക്ക് താങ്ങാനാവില്ല"""" , രോഷാകുലനായ നഷീദ് ട്വീറ്റ് ചെയ്തു""
"
"""Even if we sell our grandmother's jewelry, we won't be able to afford these repayments,"""" said Nasheed on Twitter.""
","""നമ്മുടെ മുത്തശ്ശിമാരുടെ ആഭരണങ്ങൾ വിൽക്കുകയാണെങ്കിലും, ഈ തിരിച്ചടവ് ഞങ്ങൾക്ക് താങ്ങാനാവില്ല"""" , രോഷാകുലനായ നഷീദ് ട്വീറ്റ് ചെയ്തു""
"
"""Even today, they have not accepted us because of my grandmother,"""" Nawazuddin Siddiqui told NDTV.""
","""ഇന്നും എന്റെ മുത്തശ്ശി കാരണം പലരും ഞങ്ങളെ അകറ്റി നിർത്തുന്നുണ്ട്,"""" നവാസുദ്ദീൻ സിദ്ദിഖി എൻഡിടിവിയോട് പറഞ്ഞു.""
"
"""Everybody except for me is a grandmother now.""""""
","""ഒരാളൊഴിച്ച് ബാക്കി എല്ലാവരും എൻറെ പ്രായക്കാരാണല്ലോ ഇപ്പൊ """"""
"
"""Granddaughter: """"Why, grandmother, I have a peephole in my eye, my ears - a pair, but my tongue and nose - one at a time?""""""
","""ചെറുമകൾഃ """"എന്തുകൊണ്ട്, എന്റെ മുത്തശ്ശി, എന്റെ കണ്ണ് ചെവി ജോഡി - ഒരു ജോഡി, എന്നാൽ നാവും മൂക്ക് - ഓരോന്നായി?""
"
"""He is very sorry about this, my grandmother, in the meantime, comforts his grandson and says that as soon as he recovers, they will go to the city to the """"best"""" photographer Volkov himself, and he will take any pictures, at least for a portrait, even for a """"passport,"""" at least on the """"Eroplane,"""" even on a horse, though on anything.""
","""അവൻ അതു വളരെ ഖേദിക്കുന്നു, ഇതിനിടയിൽ പേരക്കിടാവ് ആശ്വാസം, മുത്തശ്ശിയെ, അത് അവൻ സുഖം പോലെ, അവർ """"സമൊലുഛ്ശെമു"""" ഫോട്ടോഗ്രാഫർ വോൾക്കോവ് നഗരം പോകും എന്നും, എങ്കിലും ഒരു ഛായാചിത്രം വേണ്ടി, കുറഞ്ഞത് വേണ്ടി """"പഛ്പൊര്ത്"""" ഏതെങ്കിലും ഷോട്ടുകൾ, ചെയ്യും പറയുന്നു കുതിരപ്പുറത്തു, എങ്കിലും ഒന്നും ന് എങ്കിലും, """"എരൊപ്ലനെ"""" എന്ന.""
"
"""I am going to be a grandmother. """"""
","""അമ്മയൊരു മുത്തശ്ശിയാവാൻ പോകുന്നു .""""""
"
"""I was not there when my grandmother passed away.""""""
","""""""അതിന് ഞാൻ പങ്കെടുത്തില്ലല്ലോ,എന്റെ വല്യമ്മ മരിച്ച സമയല്ലേ """"""
"
"""In her autobiography The Searching Spirit, Adamson wrote about her grandmother, saying, """"It is to her I owe anything that may be good in me.""""""
","""മുത്തശ്ശിക്കൊപ്പം താമസിക്കാൻ പോയ അവർ തന്റെ ആത്മകഥയായ സെർച്ചിംഗ് സ്പിരിറ്റിൽ ആഡംസൺ തന്റെ മുത്തശ്ശിയെക്കുറിച്ച് എഴുതി """"എന്നിൽ നല്ലതായിരിക്കാവുന്ന എന്തും ഞാൻ അവരോട് കടപ്പെട്ടിരിക്കുന്നു.""""""
"
"""It was also my grandmother's.""""""
","""അതും എന്റെ മുത്തച്ചന്റേതടക്കമുളളവരുടെ.""""""
"
"""My grandmother is waiting.""""""
","""ന്റെ അമ്മു കാത്തിരിക്കിണ്ടാവും """"""
"
"""My grandmother will be waiting.""""""
","""ന്റെ അമ്മു കാത്തിരിക്കിണ്ടാവും """"""
"
"""Rather, he used """"mother"""" to refer to Anneli, his grandmother and mother of Pertti.""
","""പകരം, പർതിയുടെ മുത്തശ്ശി, അമ്മയായ അന്നേലിയെ """"അമ്മ"""" എന്ന് വിളിക്കാൻ അവൻ ഉപയോഗിച്ചു.""
"
"""Rizwan told Aman, """"Yesterday I defeated the only brother of the daughter of my paternal grandmother.""""""
","""Q5. റിസ്വാൻ അമനോട് പറഞ്ഞു, """"ഇന്നലെ ഞാൻ എന്റെ പിതാമഹന്റെ മകളുടെ ഏക സഹോദരനെ തോൽപ്പിച്ചു.""
"
"""Saint Anna (also Ann or Anne, from Hebrew Hannahחַנָּה, meaning """"favor"""" or """"grace"""") of David's house and line, was the mother of the Virgin Mary and grandmother of Jesus Christ according to Christian Tradition.""
","""വിശുദ്ധ അന്ന (ആൻ, ഹന്ന, from Hebrew Hannah חַנָּה, meaning """"favor"""" or """"grace"""") ക്രിസ്തീയ ഇസ്ലാമിക വിശ്വാസങ്ങൾ പ്രകാരം കന്യാമറിയത്തിന്റെ അമ്മയും യേശുവിന്റെ മാതാമഹിയും ആണ്.""
"
"""Saint Anna (also Anne, Ann, from Hebrew Hannah, meaning """"favor"""" or """"grace"""") of David's house and line, was the mother of the Virgin Mary and grandmother of Jesus Christ according to Christian and Islamic tradition.""
","""വിശുദ്ധ അന്ന (ആൻ, ഹന്ന, from Hebrew Hannah חַנָּה, meaning """"favor"""" or """"grace"""") ക്രിസ്തീയ ഇസ്ലാമിക വിശ്വാസങ്ങൾ പ്രകാരം കന്യാമറിയത്തിന്റെ അമ്മയും യേശുവിന്റെ മാതാമഹിയും ആണ്.""
"
"""Saint Anne (also Ann or Anna, from Hebrew Hannah חַנָּה, meaning """"favor"""" or """"grace"""") of David's house and line, was the mother of the Virgin Mary and grandmother of Jesus Christ according to Christian and Islamic tradition.""
","""വിശുദ്ധ അന്ന (ആൻ, ഹന്ന, from Hebrew Hannah חַנָּה, meaning """"favor"""" or """"grace"""") ക്രിസ്തീയ ഇസ്ലാമിക വിശ്വാസങ്ങൾ പ്രകാരം കന്യാമറിയത്തിന്റെ അമ്മയും യേശുവിന്റെ മാതാമഹിയും ആണ്.""
"
"""Saint Anne (also Ann or Anna, from Hebrew Hannah, meaning """"favor"""" or """"grace"""") of David's house and line, was the mother of the Virgin Mary and grandmother of Jesus Christ according to Christian tradition.""
","""വിശുദ്ധ അന്ന (ആൻ, ഹന്ന, from Hebrew Hannah חַנָּה, meaning """"favor"""" or """"grace"""") ക്രിസ്തീയ ഇസ്ലാമിക വിശ്വാസങ്ങൾ പ്രകാരം കന്യാമറിയത്തിന്റെ അമ്മയും യേശുവിന്റെ മാതാമഹിയും ആണ്.""
"
"""Saint Anne (also known as Ann or Anna or Anne Elizabeth, from Hebrew Hannah חַנָּה, meaning """"favor"""" or """"grace"""") of David's house and line, was the mother of the Virgin Mary and grandmother of Jesus Christ, according to Christian and Islamic tradition.""
","""വിശുദ്ധ അന്ന (ആൻ, ഹന്ന, from Hebrew Hannah חַנָּה, meaning """"favor"""" or """"grace"""") ക്രിസ്തീയ ഇസ്ലാമിക വിശ്വാസങ്ങൾ പ്രകാരം കന്യാമറിയത്തിന്റെ അമ്മയും യേശുവിന്റെ മാതാമഹിയും ആണ്.""
"
