eng_Latn,mal_Mlym
"""""""My grandfather used to say that once or twice in your life you need a doctor, a lawyer, a policeman, and a preacher.""
","""""""എന്റെ മുത്തച്ഛൻ പറയാറുണ്ട് ജീവിതത്തിൽ ഒരിക്കൽ നിങ്ങൾക്ക് ഒരു ഡോക്ടറുടെയോ അഭിഭാഷകന്റെയോ പൊലീസിന്റെയോ""
"
"""""""My grandfather was a great artist.""
","""""""ഉവ്വ്, എന്റെ മുത്തച്ഛൻ വലിയ കലാകാരനായിരുന്നു.""
"
"""""""My grandfather was an immigrant who worked in a shoe factory.""
","""""""എന്റെ അപ്പുപ്പൻ ഒരു എല്ലു പൊടി കമ്പനിയിൽ ജോലി ചെയ്തിരുന്ന സാധാരക്കാരനാണ്.""
"
"""""""My grandfather was really one of my favorite people in my world,"""" Harris, California's junior U.S. senator, said in a recent interview.""
","""""""ലോകത്തിൽ തന്നെ എനിക്കേറ്റവും ഇഷ്ടമുള്ള വ്യക്തിയായിരുന്നു എന്റെ മുത്തച്ഛൻ"""" - അടുത്തിടെ പുറത്തുവന്ന അഭിമുഖത്തിൽ കമല ഹാരിസ് പറയുന്നു.""
"
"""""""My grandfather was really one of my favourite people in my world,"""" Harris, California's junior US senator, said in a recent interview.""
","""""""ലോകത്തിൽ തന്നെ എനിക്കേറ്റവും ഇഷ്ടമുള്ള വ്യക്തിയായിരുന്നു എന്റെ മുത്തച്ഛൻ"""" - അടുത്തിടെ പുറത്തുവന്ന അഭിമുഖത്തിൽ കമല ഹാരിസ് പറയുന്നു.""
"
"""""""My grandfather went and got him.""
",""" . """"മുത്തശ്ശി വിറച്ചുകൊണ്ട് അവന്റെ അടുത്തേക്ക് ചെന്നു .""
"
"""""""My grandfather will come?""""""
","""""""അപ്പൂപ്പനെപ്പ വരും?""
"
"""""""My grandfather worked in a rubber factory.""
",""""""" എന്റെ അപ്പുപ്പൻ ഒരു എല്ലു പൊടി കമ്പനിയിൽ ജോലി ചെയ്തിരുന്ന സാധാരക്കാരനാണ്.""
"
"""""""My grandfather worked.""
","""""""അമ്മച്ചീ അപ്പൻ പണി പറ്റിച്ചു.""
"
"""""""My grandfather's name is mentioned in the 1951 NRC and the 1966 Voters' list.""
","""""""ഞങ്ങളുടെ പിതാവിന്റെ പേര് 1951 ലെ ദേശീയ പൌരത്വ റജിസ്റ്ററിലും 1971 ലെ വോട്ടർ പട്ടികയിലും ഉണ്ട്.""
"
"""""""My great grandfather was Italian.""
","""""""എന്റെ മുതു മുത്തച്ഛൻ പോർട്ടുഗീസ്കാരൻ ആയിരുന്നു.""
"
"""""""My great grandfather, Raj, was from Punjab, India.""
","""""""എന്റെ ഗ്രാൻഡ് പേരന്റ്സ് ഇന്ത്യയിലെ പഞ്ചാബിൽ നിന്നായിരുന്നു.""
"
"""""""My greatest inspirations were my father and grandfather.""
","""""""എന്റെ ഏറ്റവും വലിയ വിമർശകർ അപ്പൂപ്പനും അമ്മൂമ്മയുമാണ്.""
"
"""""""My mother was born in France, her mother was entirely French as was her grandfather.""
","എന്റെ അമ്മ ഫ്രാൻസിലാണ് ജനിച്ചത്, മുത്തച്ഛനെപ്പോലെ അമ്മയും തികച്ചും ഫ്രഞ്ച് ആയിരുന്നു.
"
"""""""My mother was born in France, her mother was entirely French, and her grandfather too.""
","എന്റെ അമ്മ ഫ്രാൻസിലാണ് ജനിച്ചത്, മുത്തച്ഛനെപ്പോലെ അമ്മയും തികച്ചും ഫ്രഞ്ച് ആയിരുന്നു.
"
"""""""My mother was born in France, her mother was totally French as was her grandfather.""
","എന്റെ അമ്മ ഫ്രാൻസിലാണ് ജനിച്ചത്, മുത്തച്ഛനെപ്പോലെ അമ്മയും തികച്ചും ഫ്രഞ്ച് ആയിരുന്നു.
"
"""""""My uncle and grandfather were farmers.""
","""""""എൻറെ മുത്തശ്ശനും മുത്തശ്ശിയും കൃഷിക്കാരായിരുന്നു.""
"
"""""""Oh, my grandfather!""""""
","""ഓ, എന്റെ മുത്തച്ഛൻ!""
"
"""""""Oh, yes, of course, grandfather!""""""
",""""""" """"തീർച്ചയായും മുത്തച്ഛാ!""
"
"""""""Okay,"""" his grandfather agreed.""
",""""""" ഓ അതിനെന്താ """"മുത്തച്ഛൻ സമ്മതിച്ചു.""
"
"""""""Rahul Gandhi had repeatedly alleged that my grandfather had apologised to the British, which is not true.""
","""""""എന്റെ മുത്തച്ഛൻ ബ്രിട്ടീഷുകാരോട് മാപ്പ് പറഞ്ഞുവെന്ന് രാഹുൽ ഗാന്ധി ആവർത്തിച്ച് ആരോപിച്ചിരുന്നു.""
"
"""""""Right, my grandfather.""""""
",""""""" """"ശരി മുത്തച്ഛാ.""
"
"""""""See, that is my grandfather.""
","'ദേ കണ്ടോളു , ഇതാണ് എന്റെ അപ്പുക്കുട്ടി '.
"
"""""""She has a grandfather.""
","""""""അവളൂണ്ട്, അവള്ടൊരു മുത്തശ്ശീം.""
"
"""""""So, your great grandfather.""
","""""""ഉം കൊള്ളാമല്ലോടാ നിൻറെ മുത്തശ്ശൻ.""
"
"""""""That is grandfather's friend, isn't it?""
","""""""അത് ഉപ്പച്ചിയുടെ ഫ്രണ്ട് അല്ലേ?""
"
"""""""That is so, grandfather.""
",""""""" """"ശരിയാണ് മുത്തച്ഛാ.""
"
"""""""That's your grandfather.""
",""" . """"അത് നിന്റെ കുഞ്ഞു മുത്തശ്ശനാ.""
"
"""""""These are not your grandfather's Playboy,"""" he added.""
","""""""ഇവ നിങ്ങളുടെ മുത്തച്ഛന്റെ പ്ലേബോയ് അല്ല,"""" അദ്ദേഹം കൂട്ടിച്ചേർത്തു.""
"
"""""""This is not your grandfather's Minneapolis,"""" he added.""
","""""""ഇവ നിങ്ങളുടെ മുത്തച്ഛന്റെ പ്ലേബോയ് അല്ല,"""" അദ്ദേഹം കൂട്ടിച്ചേർത്തു.""
"
"""""""This is not your grandfather's mill,"""" he adds.""
","""""""ഇവ നിങ്ങളുടെ മുത്തച്ഛന്റെ പ്ലേബോയ് അല്ല,"""" അദ്ദേഹം കൂട്ടിച്ചേർത്തു.""
"
"""""""This is our grandfather?""""""
","""""""ഇതാണോ അച്ഛാ മുത്തശ്ശൻ""""""
"
"""""""This is the apple tree that my grandfather planted.""""""
","""""""എന്റെ അച്ഛൻ കുഴിച്ചിട്ട മരമാണിത്""""- മുത്തച്ഛൻ മുരണ്ടു.""
"
"""""""This is your grandfather's brother.""""""
",""" . അതായത് നിന്റെ മുത്തശ്ശന്റെ അനിയൻ.""""""
"
"""""""This is your grandfather's house?""
","""""""ഇവിടെയാണോ മുത്തച്ഛന്റെ ഉവ്വാവൂ?""
"
"""""""This isn't your grandfather's fire department,"""" he added.""
","""""""ഇവ നിങ്ങളുടെ മുത്തച്ഛന്റെ പ്ലേബോയ് അല്ല,"""" അദ്ദേഹം കൂട്ടിച്ചേർത്തു.""
"
"""""""This shop was set up by my grandfather.""
","""""""മുത്തച്ഛനായി തുടങ്ങിയതാണ് ഈ കട.""
"
"""""""This was actually my grandfather's.""
","""""""അത് യഥാർത്ഥത്തിൽ എൻറെ മുത്തച്ഛൻറെ സ്ഥലമായിരുന്നു.""
"
"""""""This was our grandfather's place.""
","""""""അത് യഥാർത്ഥത്തിൽ എൻറെ മുത്തച്ഛൻറെ സ്ഥലമായിരുന്നു.""
"
"""""""We have lost a remarkable and loving husband, father and grandfather and a great American,"""" his family wrote in a statement announcing his passing.""
","""""""ശ്രദ്ധേയവും സ്നേഹമുള്ളതുമായ ഭർത്താവ്, അച്ഛൻ, മുത്തച്ഛൻ, ഒരു മികച്ച അമേരിക്കക്കാരൻ, ഞങ്ങൾക്ക് നഷ്ടപ്പെട്ടു,"""" കുടുംബം സോഷ്യൽ മീഡിയയിൽ പോസ്റ്റ് ചെയ്ത പ്രസ്താവനയിൽ പറഞ്ഞു.""
"
"""""""We have lost a remarkable and loving husband, father and grandfather and a great American,"""" they said in a social media statement, """"he was completely vaccinated.""""""
","""""""ശ്രദ്ധേയവും സ്നേഹമുള്ളതുമായ ഭർത്താവ്, അച്ഛൻ, മുത്തച്ഛൻ, ഒരു മികച്ച അമേരിക്കക്കാരൻ, ഞങ്ങൾക്ക് നഷ്ടപ്പെട്ടു,"""" കുടുംബം സോഷ്യൽ മീഡിയയിൽ പോസ്റ്റ് ചെയ്ത പ്രസ്താവനയിൽ പറഞ്ഞു.""
"
"""""""We have lost a remarkable and loving husband, father, and grandfather, and a great American,"""" his family said in a statement.""
","""""""ശ്രദ്ധേയവും സ്നേഹമുള്ളതുമായ ഭർത്താവ്, അച്ഛൻ, മുത്തച്ഛൻ, ഒരു മികച്ച അമേരിക്കക്കാരൻ, ഞങ്ങൾക്ക് നഷ്ടപ്പെട്ടു,"""" കുടുംബം സോഷ്യൽ മീഡിയയിൽ പോസ്റ്റ് ചെയ്ത പ്രസ്താവനയിൽ പറഞ്ഞു.""
"
"""""""We have lost a remarkable and loving husband, father, grandfather and a great American,"""" Powell's family said in a post on Facebook.""
","""""""ശ്രദ്ധേയവും സ്നേഹമുള്ളതുമായ ഭർത്താവ്, അച്ഛൻ, മുത്തച്ഛൻ, ഒരു മികച്ച അമേരിക്കക്കാരൻ, ഞങ്ങൾക്ക് നഷ്ടപ്പെട്ടു,"""" കുടുംബം സോഷ്യൽ മീഡിയയിൽ പോസ്റ്റ് ചെയ്ത പ്രസ്താവനയിൽ പറഞ്ഞു.""
"
"""""""We have lost a remarkable and loving husband, father, grandfather and a great American,"""" Powell's family said in its statement.""
","""""""ശ്രദ്ധേയവും സ്നേഹമുള്ളതുമായ ഭർത്താവ്, അച്ഛൻ, മുത്തച്ഛൻ, ഒരു മികച്ച അമേരിക്കക്കാരൻ, ഞങ്ങൾക്ക് നഷ്ടപ്പെട്ടു,"""" കുടുംബം സോഷ്യൽ മീഡിയയിൽ പോസ്റ്റ് ചെയ്ത പ്രസ്താവനയിൽ പറഞ്ഞു.""
"
"""""""We have lost a remarkable and loving husband, father, grandfather and a great American,"""" Powell's family said in post on Facebook.""
","""""""ശ്രദ്ധേയവും സ്നേഹമുള്ളതുമായ ഭർത്താവ്, അച്ഛൻ, മുത്തച്ഛൻ, ഒരു മികച്ച അമേരിക്കക്കാരൻ, ഞങ്ങൾക്ക് നഷ്ടപ്പെട്ടു,"""" കുടുംബം സോഷ്യൽ മീഡിയയിൽ പോസ്റ്റ് ചെയ്ത പ്രസ്താവനയിൽ പറഞ്ഞു.""
"
"""""""We have lost a remarkable and loving husband, father, grandfather and a great American,"""" Powell's family said in their statement.""
","""""""ശ്രദ്ധേയവും സ്നേഹമുള്ളതുമായ ഭർത്താവ്, അച്ഛൻ, മുത്തച്ഛൻ, ഒരു മികച്ച അമേരിക്കക്കാരൻ, ഞങ്ങൾക്ക് നഷ്ടപ്പെട്ടു,"""" കുടുംബം സോഷ്യൽ മീഡിയയിൽ പോസ്റ്റ് ചെയ്ത പ്രസ്താവനയിൽ പറഞ്ഞു.""
"
"""""""We have lost a remarkable and loving husband, father, grandfather and a great American,"""" Powell's family wrote in a statement obtained by CNN.""
","""""""ശ്രദ്ധേയവും സ്നേഹമുള്ളതുമായ ഭർത്താവ്, അച്ഛൻ, മുത്തച്ഛൻ, ഒരു മികച്ച അമേരിക്കക്കാരൻ, ഞങ്ങൾക്ക് നഷ്ടപ്പെട്ടു,"""" കുടുംബം സോഷ്യൽ മീഡിയയിൽ പോസ്റ്റ് ചെയ്ത പ്രസ്താവനയിൽ പറഞ്ഞു.""
"
"""""""We have lost a remarkable and loving husband, father, grandfather and a great American,"""" a statement by Powell's family on Facebook read.""
","""""""ശ്രദ്ധേയവും സ്നേഹമുള്ളതുമായ ഭർത്താവ്, അച്ഛൻ, മുത്തച്ഛൻ, ഒരു മികച്ച അമേരിക്കക്കാരൻ, ഞങ്ങൾക്ക് നഷ്ടപ്പെട്ടു,"""" കുടുംബം സോഷ്യൽ മീഡിയയിൽ പോസ്റ്റ് ചെയ്ത പ്രസ്താവനയിൽ പറഞ്ഞു.""
"
"""""""We have lost a remarkable and loving husband, father, grandfather and a great American,"""" his family said in a Facebook post.""
","""""""ശ്രദ്ധേയവും സ്നേഹമുള്ളതുമായ ഭർത്താവ്, അച്ഛൻ, മുത്തച്ഛൻ, ഒരു മികച്ച അമേരിക്കക്കാരൻ, ഞങ്ങൾക്ക് നഷ്ടപ്പെട്ടു,"""" കുടുംബം സോഷ്യൽ മീഡിയയിൽ പോസ്റ്റ് ചെയ്ത പ്രസ്താവനയിൽ പറഞ്ഞു.""
"
"""""""We have lost a remarkable and loving husband, father, grandfather and a great American,"""" his family said in a statement posted to Facebook.""
","""""""ശ്രദ്ധേയവും സ്നേഹമുള്ളതുമായ ഭർത്താവ്, അച്ഛൻ, മുത്തച്ഛൻ, ഒരു മികച്ച അമേരിക്കക്കാരൻ, ഞങ്ങൾക്ക് നഷ്ടപ്പെട്ടു,"""" കുടുംബം സോഷ്യൽ മീഡിയയിൽ പോസ്റ്റ് ചെയ്ത പ്രസ്താവനയിൽ പറഞ്ഞു.""
"
"""""""We have lost a remarkable and loving husband, father, grandfather and a great American,"""" his family said in a statement.""
","""""""ശ്രദ്ധേയവും സ്നേഹമുള്ളതുമായ ഭർത്താവ്, അച്ഛൻ, മുത്തച്ഛൻ, ഒരു മികച്ച അമേരിക്കക്കാരൻ, ഞങ്ങൾക്ക് നഷ്ടപ്പെട്ടു,"""" കുടുംബം സോഷ്യൽ മീഡിയയിൽ പോസ്റ്റ് ചെയ്ത പ്രസ്താവനയിൽ പറഞ്ഞു.""
"
"""""""We have lost a remarkable and loving husband, father, grandfather and a great American,"""" his family said in announcing his death in a post on Facebook.""
","""""""ശ്രദ്ധേയവും സ്നേഹമുള്ളതുമായ ഭർത്താവ്, അച്ഛൻ, മുത്തച്ഛൻ, ഒരു മികച്ച അമേരിക്കക്കാരൻ, ഞങ്ങൾക്ക് നഷ്ടപ്പെട്ടു,"""" കുടുംബം സോഷ്യൽ മീഡിയയിൽ പോസ്റ്റ് ചെയ്ത പ്രസ്താവനയിൽ പറഞ്ഞു.""
"
"""""""We have lost a remarkable and loving husband, father, grandfather and a great American,"""" his family said in the statement on Monday, local time.""
","""""""ശ്രദ്ധേയവും സ്നേഹമുള്ളതുമായ ഭർത്താവ്, അച്ഛൻ, മുത്തച്ഛൻ, ഒരു മികച്ച അമേരിക്കക്കാരൻ, ഞങ്ങൾക്ക് നഷ്ടപ്പെട്ടു,"""" കുടുംബം സോഷ്യൽ മീഡിയയിൽ പോസ്റ്റ് ചെയ്ത പ്രസ്താവനയിൽ പറഞ്ഞു.""
"
