eng_Latn,kan_Knda
"""Bhagat Singh's 57-year-old nephew, Abhay Singh Sandhu claimed, """"The decision to name the airport after Bhagat Singh was taken by the Punjab Government in 2007 during his birth centenary celebrations.""
","ಭಗತ್ ಸಿಂಗ್ ಅವರ ಸಹೋದರ ಮೊಮ್ಮಗ 57 ವರ್ಷದ ಅಭಯ್ ಸಿಂಗ್ ಅವರು, '2007 ರಲ್ಲಿ ವಿಮಾನ ನಿಲ್ದಾಣಕ್ಕೆ ಭಗತ್ ಸಿಂಗ್ ಅವರ ಹೆಸರನ್ನಿಡಲು ಪಂಜಾಬ್ ಸರ್ಕಾರ ನಿರ್ಧಾರಕೈಗೊಂಡಿತ್ತು.
"
"""Catholics interpret the term """"brothers"""" (adelphos in Greek) and """"sisters"""" in these passages to include nephews, nieces, cousins, half-brothers and half-sisters.""
","""ಕ್ಯಾಥೊಲಿಕರು ಸಹೋದರರು, ಸೋದರ ಸಂಬಂಧಿಗಳು, ಸೋದರ ಸಂಬಂಧಿಗಳು, ಅರ್ಧ-ಸಹೋದರರು ಮತ್ತು ಅರ್ಧ-ಸಹೋದರಿಯರನ್ನು ಸೇರಿಸಿಕೊಳ್ಳಲು ಈ ಪದಗಳಲ್ಲಿ """"ಸಹೋದರರು"""" (ಗ್ರೀಕ್ನಲ್ಲಿ ಅಡೆಲ್ಫೋಸ್) ಮತ್ತು """"ಸಿಸ್ಟರ್ಸ್"""" ಎಂಬ ಪದವನ್ನು ಅರ್ಥೈಸುತ್ತಾರೆ.""
"
"""For example, """"My nephew is autistic, but that hasn't slowed him down: he's one of the best players in the high school chess team!""""""
","""ಉದಾಹರಣೆಗೆ, """"ನನ್ನ ಸೋದರಳಿಯು ಸ್ವಲೀನತೆ ಹೊಂದಿದ್ದಾನೆ, ಆದರೆ ಅದು ಅವನನ್ನು ನಿಧಾನಗೊಳಿಸಲಿಲ್ಲಃ ಹೈಸ್ಕೂಲ್ ಚೆಸ್ ತಂಡದಲ್ಲಿನ ಅತ್ಯುತ್ತಮ ಆಟಗಾರರಲ್ಲಿ ಒಬ್ಬರು!""
"
"""Furthermore, this woman ended up being right: two months later, Raven's sister gave birth to a boy - a """"beautiful nephew"""" for Raven.""
","""ಇದಲ್ಲದೆ, ಈ ಮಹಿಳೆ ಸರಿ ಎಂದು ಕೊನೆಗೊಂಡಿತುಃ ಎರಡು ತಿಂಗಳ ನಂತರ ರಾವೆನ್ ಸಹೋದರಿ ರಾವೆನ್ಗೆ """"ಸುಂದರ ಸೋದರಳಿಯ"""" ಎಂಬ ಹುಡುಗನಿಗೆ ಜನ್ಮ ನೀಡಿದರು.""
"
"""He had a heart attack in the afternoon and he had another attack at around 5.30,"""" his nephew Amit said.""
","""ಮಧ್ಯಾಹ್ನ ಹೃದಯಾಘಾತ ಮತ್ತು ಸಂಜೆ 5:30 ರ ಸುಮಾರಿಗೆ ಮತ್ತೊಂದು ಆಘಾತವಾಯಿತು """"ಎಂದು ಅಮಿತ್ ಹೇಳಿದ್ದಾರೆ.""
"
"""He has been castrated at the age of six by the leader of a rival tribe, so he had no sons, but his nephew Fath Ali Shah Qajar succeeded him as Shahanshah, or """"King of Kings.""""""
","""ಓರ್ವ ಪ್ರತಿಸ್ಪರ್ಧಿ ಬುಡಕಟ್ಟಿನ ಮುಖಂಡರಿಂದ ಆರು ವರ್ಷದವನಾಗಿದ್ದಾಗ ಅವನನ್ನು ಪುತ್ರರನ್ನಾಗಿ ಮಾಡಲಾಗುತ್ತಿತ್ತು, ಆದ್ದರಿಂದ ಅವರಿಗೆ ಪುತ್ರರಿಲ್ಲ , ಆದರೆ ಅವನ ಸೋದರಳಿಯ ಫಾಥ್ ಅಲಿ ಷಾ ಕ್ವಾಜರ್ ಅವನನ್ನು ಶಾಹನ್ಶಾಹ್ ಅಥವಾ """"ಕಿಂಗ್ಸ್ ರಾಜ"""" ಎಂದು ಉತ್ತರಿಸಿದರು.""
"
"""He is also the maternal nephew of John """"Chubby"""" Cox.""
","""ಅವರು ಜಾನ್ """"ಚುಬ್ಬಿ"""" ಕಾಕ್ಸ್ ರ ತಾಯಿ ಸಂಬಂಧಿತ ಸೋದರಳಿಯನೂ ಸಹ ಹೌದು.""
"
"""I have young actors and actresses that I mentor, I have nieces and nephews that I am very close to.""""""
","""ನಾನು ಯುವ ನಟರು ಮತ್ತು ನಟಿಯರನ್ನು ಹೊಂದಿದ್ದೇನೆ, ಅವರ ಮಾರ್ಗದರ್ಶಿ ನಾನು ಮತ್ತು ನಾನು ನಿಕಟ ವ್ಯಕ್ತಿಯಾಗಿರುವ ಸೋದರಳಿಯರು """"""
"
"""If you are a second-degree relative (aunt, uncle, niece, nephew, grandparent, grandchild or half-sibling), your risk is 1 in 39."""" (link).""
","ನೀವು ಎರಡನೇ ಪದವಿ ಸಂಬಂಧಿ (ಚಿಕ್ಕಮ್ಮ, ಚಿಕ್ಕಪ್ಪ, ಸೋದರ ಸೊಸೆ, ಸೋದರಳಿಯ, ಅಜ್ಜ, ಮೊಮ್ಮಗು ಅಥವಾ ಅರ್ಧ ಸಹೋದರ) ಇದ್ದರೆ, ನಿಮ್ಮ ಅಪಾಯವು 39 ರಲ್ಲಿ 1 ಆಗಿದೆ.
"
"""In addition to his acting work, LeBlanc is also a skilled artist - he's been drawing since he was a youngster and started sharing his art by drawing illustrations in the style of """"Wind in the Willows"""" for his young nephews; his colorful pencil work has since been shown in galleries in Los Angeles, Washington, DC, and New Orleans.""
","ತನ್ನ ಅಭಿನಯದ ಕೆಲಸದ ಜೊತೆಗೆ, ಲೆಬ್ಲಾಂಕ್ ಸಹ ಒಬ್ಬ ನುರಿತ ಕಲಾವಿದನಾಗಿದ್ದಾನೆ - ಅವರು ಯುವಕನಾಗಿದ್ದಾಗಲೇ ಅವರು ಸೆಳೆಯುತ್ತಿದ್ದಾರೆ ಮತ್ತು ಅವರ ಚಿಕ್ಕ ಸಹೋದರರಿಗೆ ವಿಲ್ಲೋಸ್- ಶೈಲಿಯ ಚಿತ್ರಗಳಲ್ಲಿ ಗಾಳಿಯನ್ನು ಬಿಡಿಸಿ ತಮ್ಮ ಕಲಾಕೃತಿಯನ್ನು ಹಂಚಿಕೊಳ್ಳಲು ಪ್ರಾರಂಭಿಸಿದರು; ಆತನ ವರ್ಣರಂಜಿತ ಪೆನ್ಸಿಲ್ ಕೆಲಸವನ್ನು ಲಾಸ್ ಏಂಜಲೀಸ್, ವಾಷಿಂಗ್ಟನ್, ಡಿ. ಸಿ ಮತ್ತು ನ್ಯೂ ಓರ್ಲಿಯನ್ಸ್ನಲ್ಲಿನ ಗ್ಯಾಲರಿಗಳಲ್ಲಿ ತೋರಿಸಲಾಗಿದೆ.
"
"""In the photo album on Instagram, in the """"personal"""" section, there are photos of Isabella only with her nephew.""
","""ಇನ್ಸ್ಟಾಗ್ರಾಮ್ನಲ್ಲಿನ ಫೋಟೋ ಆಲ್ಬಂನಲ್ಲಿ, """"ವೈಯಕ್ತಿಕ"""" ವಿಭಾಗದಲ್ಲಿ, ಇಸಾಬೆಲ್ಲಾ ಅವರ ಸೋದರಳಿಯೊಂದಿಗೆ ಮಾತ್ರ ಫೋಟೋಗಳಿವೆ.""
"
"""March 20, 1693 (then 1692): Abigail Faulkner Sr., whose execution was only delayed because she was pregnant, and whose sister, sister-in-law, two daughters, two nieces and a nephew had been among those accused of witchcraft, gave birth to a son she named Ammi Ruhamah, meaning """"my people have obtained mercy.""""""
","""ಮಾರ್ಚ್ 20, 1693 (ನಂತರ 1692): ಅಬಿಗೈಲ್ ಫೌಲ್ಕ್ನರ್ ಸೀನಿಯರ್ , ಅವರು ಗರ್ಭಿಣಿಯಾಗಿದ್ದರಿಂದ ಮಾತ್ರ ನಿಧನರಾದರು, ಮತ್ತು ಅವರ ಸಹೋದರಿ, ಸೋದರಿ, ಇಬ್ಬರು ಹೆಣ್ಣುಮಕ್ಕಳು, ಇಬ್ಬರು ಸೋದರ ಸಂಬಂಧಿ ಮತ್ತು ಸೋದರಳಿಯು ಮಾಟಗಾತಿಗಳ ಆರೋಪದಲ್ಲಿದ್ದರು, """"ನನ್ನ ಜನರಿಗೆ ಕರುಣೆ ಸಿಕ್ಕಿದೆ"""" ಎಂಬ ಅರ್ಥವನ್ನು ನೀಡುವ ಅಮ್ಮ ರುಮಾಮಾ ಎಂಬ ಹೆಸರಿನ ಮಗನಿಗೆ ಜನ್ಮ ನೀಡಿದರು.""
"
"""March 20, 1693 (then 1692): Abigail Faulkner Sr., whose execution was only delayed because she was pregnant, and whose sister, sister-in-law, two daughters, two nieces, and a nephew had been among those accused of witchcraft, gave birth to a son she named Ammi Ruhamah, meaning """"my people have obtained mercy.""""""
","""ಮಾರ್ಚ್ 20, 1693 (ನಂತರ 1692): ಅಬಿಗೈಲ್ ಫೌಲ್ಕ್ನರ್ ಸೀನಿಯರ್ , ಅವರು ಗರ್ಭಿಣಿಯಾಗಿದ್ದರಿಂದ ಮಾತ್ರ ನಿಧನರಾದರು, ಮತ್ತು ಅವರ ಸಹೋದರಿ, ಸೋದರಿ, ಇಬ್ಬರು ಹೆಣ್ಣುಮಕ್ಕಳು, ಇಬ್ಬರು ಸೋದರ ಸಂಬಂಧಿ ಮತ್ತು ಸೋದರಳಿಯು ಮಾಟಗಾತಿಗಳ ಆರೋಪದಲ್ಲಿದ್ದರು, """"ನನ್ನ ಜನರಿಗೆ ಕರುಣೆ ಸಿಕ್ಕಿದೆ"""" ಎಂಬ ಅರ್ಥವನ್ನು ನೀಡುವ ಅಮ್ಮ ರುಮಾಮಾ ಎಂಬ ಹೆಸರಿನ ಮಗನಿಗೆ ಜನ್ಮ ನೀಡಿದರು.""
"
"""Nationalist Congress Party President Sharad Pawar and his nephew Ajit Pawar had slammed the BJP Government at the Centre for hounding political opponents by misusing central agencies like the Income Tax Department, the Enforcement Directorate, the Central Bureau of Investigation, the Narcotics Control Bureau, etc, with a new pattern of """"targetting relatives"""" of the politicians.""
","ರಾಷ್ಟ್ರೀಯವಾದಿ ಕಾಂಗ್ರೆಸ್ ಪಕ್ಷದ ಅಧ್ಯಕ್ಷ ಶರದ್ ಪವಾರ್ ಮತ್ತು ಅವರ ಸೋದರಳಿಯ ಅಜಿತ್ ಪವಾರ್ ಆದಾಯ ತೆರಿಗೆ ಇಲಾಖೆ, ಜಾರಿ ನಿರ್ದೇಶನಾಲಯ, ಕೇಂದ್ರ ತನಿಖಾ ಸಂಸ್ಥೆ, ಮಾದಕ ದ್ರವ್ಯ ನಿಯಂತ್ರಣ ಬ್ಯೂರೋ, ಮುಂತಾದ ಕೇಂದ್ರ ಸಂಸ್ಥೆಗಳನ್ನು ದುರುಪಯೋಗಪಡಿಸಿಕೊಳ್ಳುವ ಮೂಲಕ ರಾಜಕೀಯ ವಿರೋಧಿಗಳನ್ನು ಬೇಟೆಯಾಡಲು ಕೇಂದ್ರದಲ್ಲಿರುವ ಬಿಜೆಪಿ ಸರ್ಕಾರವನ್ನು ಟೀಕಿಸಿದ್ದರು.
"
"""Please don't kill him in jail,"""" N Venugopal, Rao's nephew recently told the press.""
","""ದಯವಿಟ್ಟು ಅವರನ್ನು ಜೈಲಿನಲ್ಲಿ ಕೊಲ್ಲಬೇಡಿ"""" ಎಂದು ರಾವ್ ಅವರ ಸೋದರಳಿಯ ಎನ್ ವೇಣುಗೋಪಾಲ್ ರಾವ್ ಹೇಳಿದ್ದಾರೆ.""
"
"""Please don't kill him in jail,"""" said N Venugopal Rao, Rao's nephew.""
","""ದಯವಿಟ್ಟು ಅವರನ್ನು ಜೈಲಿನಲ್ಲಿ ಕೊಲ್ಲಬೇಡಿ"""" ಎಂದು ರಾವ್ ಅವರ ಸೋದರಳಿಯ ಎನ್ ವೇಣುಗೋಪಾಲ್ ರಾವ್ ಹೇಳಿದ್ದಾರೆ.""
"
"""She touched Raven's arm and said, """"You're going to have a beautiful nephew, young lady!""""""
",""""""" ಅವಳು ರೇವನ್ನ ತೋಳನ್ನು ಮುಟ್ಟಿದಳು ಮತ್ತು """"ನೀನು ಸುಂದರ ಸೋದರಳಿಯ, ಯುವತಿಯನನ್ನು ಹೊಂದಿದ್ದೀಯಾ"""" ಎಂದು ಹೇಳಿದಳು.""
"
"""Stories have long circulated that Richard III was responsible for the deaths of his nephews, the """"Princes in the Tower,"""" to remove rival claimants for the crown.""
","""ಕಿರೀಟಕ್ಕೆ ಪ್ರತಿಸ್ಪರ್ಧಿ ಹಕ್ಕುದಾರರನ್ನು ತೆಗೆದುಹಾಕಲು ತನ್ನ ಸಹೋದರರ """"ಗೋಪುರದಲ್ಲಿ ರಾಜಕುಮಾರರ"""" ಮರಣದ ಕಾರಣ ರಿಚರ್ಡ್ III ಜವಾಬ್ದಾರನಾಗಿರುತ್ತಾನೆ ಎಂದು ಕಥೆಗಳು ದೀರ್ಘಕಾಲ ಪ್ರಸಾರ ಮಾಡಿದೆ.""
"
"""The in-charge of the Tukoganj police station, Tahzeeb Qazi said: """"The arrested men included the 50-year-old catering contractor, his law student son and his nephews, aged 16 and 18.""""""
","ಪ್ರಕರಣದ ಕುರಿತು ಮಾಹಿತಿ ನೀಡಿದ ತುಕೋಗಂಜ್ ಪೊಲೀಸ್ ಠಾಣೆಯ ಇನ್ ಚಾರ್ಜ್ ತಹಝೀಬ್ ಖಜಿ, 50 ವರ್ಷದ ಕ್ಯಾಟರಿಂಗ್ ಕಾಂಟ್ರ್ಯಾಕ್ಟರ್, ಮಗ ಕಾನೂನು ವಿದ್ಯಾರ್ಥಿ ಹಾಗೂ 16 ಮತ್ತು 18 ವರ್ಷದ ವಿದ್ಯಾರ್ಥಿನಿಯ ಪಕ್ಕದ ಮನೆಯ ಯುವಕರನ್ನು ಬಂಧಿಸಲಾಗಿದೆ ಎಂದು ತಿಳಿಸಿದ್ದಾರೆ.
"
"""The subject of the poem is the exploits of Beowulf, son of Ecgtheow and nephew of Hygclac, king of the """"GCatas,"""" i.e. the people, called in Scandinavian records Gautar, from whom a part of southern Sweden has received its present name Gotland.""
","""ಈ ಕವಿತೆಯ ವಿಷಯವು ಎಗ್ಗ್ಥೋವ್ನ ಮಗನಾದ ಬಿಯೋವುಲ್ಫ್ ಮತ್ತು """"ಗೀಟಾಸ್"""" ನ ರಾಜನ ಸೋದರಳಿಯ, """"ಸ್ಕ್ಯಾಂಡಿನೇವಿಯನ್ ರೆಕಾರ್ಡ್ಸ್"""" ಎಂದು ಕರೆಯಲ್ಪಡುವ ಜನರ ಗೌರವಾರ್ಥವಾಗಿದೆ, ದಕ್ಷಿಣದ ಸ್ವೀಡನ್ನ ಒಂದು ಭಾಗವು ಗಾಟ್ಲ್ಯಾಂಡ್ ಎಂಬ ಹೆಸರನ್ನು ಪಡೆದುಕೊಂಡಿದೆ.""
"
"""The subject of the poem is the exploits of Beowulf, son of Ecgtheow and nephew of Hygelac, king of the """"Geatas,"""" i.e. the people, called in Scandinavian records Gautar, from whom a part of southern Sweden has received its present name Gotland.""
","""ಈ ಕವಿತೆಯ ವಿಷಯವು ಎಗ್ಗ್ಥೋವ್ನ ಮಗನಾದ ಬಿಯೋವುಲ್ಫ್ ಮತ್ತು """"ಗೀಟಾಸ್"""" ನ ರಾಜನ ಸೋದರಳಿಯ, """"ಸ್ಕ್ಯಾಂಡಿನೇವಿಯನ್ ರೆಕಾರ್ಡ್ಸ್"""" ಎಂದು ಕರೆಯಲ್ಪಡುವ ಜನರ ಗೌರವಾರ್ಥವಾಗಿದೆ, ದಕ್ಷಿಣದ ಸ್ವೀಡನ್ನ ಒಂದು ಭಾಗವು ಗಾಟ್ಲ್ಯಾಂಡ್ ಎಂಬ ಹೆಸರನ್ನು ಪಡೆದುಕೊಂಡಿದೆ.""
"
"""The subject of the poem is the exploits of Beowulf, son of Ecgtheow and nephew of Hygelac, king of the """"Geatas,"""" i.e. the people, called in Scandinavian records Gautar, from whom a part of southern Sweden has received its present name Götland.""
","""ಈ ಕವಿತೆಯ ವಿಷಯವು ಎಗ್ಗ್ಥೋವ್ನ ಮಗನಾದ ಬಿಯೋವುಲ್ಫ್ ಮತ್ತು """"ಗೀಟಾಸ್"""" ನ ರಾಜನ ಸೋದರಳಿಯ, """"ಸ್ಕ್ಯಾಂಡಿನೇವಿಯನ್ ರೆಕಾರ್ಡ್ಸ್"""" ಎಂದು ಕರೆಯಲ್ಪಡುವ ಜನರ ಗೌರವಾರ್ಥವಾಗಿದೆ, ದಕ್ಷಿಣದ ಸ್ವೀಡನ್ನ ಒಂದು ಭಾಗವು ಗಾಟ್ಲ್ಯಾಂಡ್ ಎಂಬ ಹೆಸರನ್ನು ಪಡೆದುಕೊಂಡಿದೆ.""
"
"""There were nearly - but not quite - two family """"two-fers"""" in this tournament's history: Sam Snead won in 1955; his nephew J.C. Snead finished second in 1971 and 1976.""
","""ಈ ಟೂರ್ನಮೆಂಟ್ ಇತಿಹಾಸದಲ್ಲಿ ಎರಡು ಕುಟುಂಬ """"ಎರಡು-ಬಾರಿ"""" - ಸುಮಾರು ಆದರೆ ಸಾಕಷ್ಟು ಅಲ್ಲ - ಸ್ಯಾಮ್ ಸ್ನೀಡ್ 1955 ರಲ್ಲಿ ಜಯಗಳಿಸಿದರು; ಅವನ ಸೋದರಳಿಯ JC ಸ್ನೀಡ್ 1971 ಮತ್ತು 1976 ರಲ್ಲಿ ಎರಡನೆಯ ಸ್ಥಾನ ಗಳಿಸಿದರು.""
"
"""Tybalt: Lady Capulet's nephew and Juliet's cousin is the main antagonist of """"Romeo and Juliet,"""" owing to his deep hatred of the Montagues.""
","ಟೈಬಾಲ್ಟ್: ಲೇಡಿ ಕ್ಯಾಪ್ಲೆಟ್ ಅವರ ಸೋದರಳಿಯ ಮತ್ತು ಜೂಲಿಯೆಟ್ ಅವರ ಸೋದರಸಂಬಂಧಿ ರೋಮಿಯೋ ಮತ್ತು ಜೂಲಿಯೆಟ್ನ ಮುಖ್ಯ ಪ್ರತಿಸ್ಪರ್ಧಿಯಾಗಿದ್ದು, ಮೊಂಟಾಗ್ಸ್ ಅವರ ಆಳವಾದ ದ್ವೇಷದಿಂದಾಗಿ.
"
"""Yi feared that his death could demoralize the Korean and Chinese troops, so he told his son and nephew """"We are about to win the war.""
","""ತನ್ನ ಮರಣವು ಕೊರಿಯಾದ ಮತ್ತು ಚೀನಿಯರ ಸೈನಿಕರನ್ನು ಕೆಡಿಸುವ ಸಾಧ್ಯತೆ ಎಂದು ಯಿ ಭಯಪಟ್ಟರು, ಆದ್ದರಿಂದ ಅವನು ತನ್ನ ಮಗ ಮತ್ತು ಸೋದರಳಿಯನಿಗೆ """"ನಾವು ಯುದ್ಧವನ್ನು ಗೆಲ್ಲುವುದಾಗಿತ್ತು, ನನ್ನ ಮರಣವನ್ನು ಘೋಷಿಸಬೇಡಿ!""
"
"(Foulis was the nephew of James Foulis, who won the 1896 U.S. Open, the second one ever played.)
","(ಫೌಲಿಸ್ 1896 ಯುಎಸ್ ಓಪನ್ ಗೆದ್ದ ಜೇಮ್ಸ್ ಫೌಲಿಸ್ ಅವರ ಸೋದರಳಿಯರಾಗಿದ್ದರು, ಎರಡನೆಯದು ಎಂದೆಂದಿಗೂ ಆಡಿದರು.
"
"12 Abram's nephew Lot was living in Sodom at that time.
","12 ಅಬ್ರಾಮನ ಸಹೋದರನಾದ ಲೋಟನು ಸೊದೋಮಿನಲ್ಲಿ ವಾಸವಾಗಿದ್ದನು.
"
"12 taking with them Abram's nephew Lot, who had been living in Sodom, as well as his possessions.
","೧೨ ಸೊದೋಮಿನಲ್ಲಿ ವಾಸವಾಗಿದ್ದ ಅಬ್ರಾಮನ ತಮ್ಮನ ಮಗನಾದ ಲೋಟನನ್ನೂ ಅವನ ಆಸ್ತಿ ಸಹಿತ ಹಿಡಿದುಕೊಂಡು ಹೋದರು.
"
