eng_Latn,kan_Knda
"""Mark Twain, American author: """"India is, the cradle of the human race, the birthplace of human speech, the mother of history, the grandmother of legend, and the great grand mother of tradition. our most valuable and most instructive materials in the history of man are treasured up in India only."""" • 4.""
","""ಮಾರ್ಕ್ ಟ್ವೈನ್, ಅಮೇರಿಕನ್ ಲೇಖಕಃ """"ಭಾರತ ಮಾನವ ಜನಾಂಗದ ತೊಟ್ಟಿಲು, ಮಾನವ ಭಾಷೆಯ ಜನ್ಮಸ್ಥಳ, ಇತಿಹಾಸದ ತಾಯಿ, ದಂತಕಥೆಯ ಅಜ್ಜ, ಮತ್ತು ಸಂಪ್ರದಾಯದ ಮುತ್ತಜ್ಜಿಯವರು ಇತಿಹಾಸದಲ್ಲಿ ನಮ್ಮ ಅತ್ಯಂತ ಬೆಲೆಬಾಳುವ ಮತ್ತು ಹೆಚ್ಚು ಬೋಧಪ್ರದ ವಸ್ತುಗಳು ಮನುಷ್ಯನ ಮಾತ್ರ ಭಾರತದಲ್ಲಿ ಅಮೂಲ್ಯವಾಗಿದೆ.""
"
"""Mark Twain, American author: """"India is, the cradle of the human race, the birthplace of human speech, the mother of history, the grandmother of legend, and the great grand mother of tradition. our most valuable and most instructive materials in the history of man are treasured up in India only.""""""
","""ಮಾರ್ಕ್ ಟ್ವೈನ್, ಅಮೇರಿಕನ್ ಲೇಖಕಃ """"ಭಾರತ ಮಾನವ ಜನಾಂಗದ ತೊಟ್ಟಿಲು, ಮಾನವ ಭಾಷೆಯ ಜನ್ಮಸ್ಥಳ, ಇತಿಹಾಸದ ತಾಯಿ, ದಂತಕಥೆಯ ಅಜ್ಜ, ಮತ್ತು ಸಂಪ್ರದಾಯದ ಮುತ್ತಜ್ಜಿಯವರು ಇತಿಹಾಸದಲ್ಲಿ ನಮ್ಮ ಅತ್ಯಂತ ಬೆಲೆಬಾಳುವ ಮತ್ತು ಹೆಚ್ಚು ಬೋಧಪ್ರದ ವಸ್ತುಗಳು ಮನುಷ್ಯನ ಮಾತ್ರ ಭಾರತದಲ್ಲಿ ಅಮೂಲ್ಯವಾಗಿದೆ.""
"
"""Mark Twain: """"India is, the cradle of the human race, the birthplace of human speech, the mother of history, the grandmother of legend, and the great grand mother of tradition. our most valuable and most instructive materials in the history of man are treasured up in India only.""""""
","""ಮಾರ್ಕ್ ಟ್ವೈನ್, ಅಮೇರಿಕನ್ ಲೇಖಕಃ """"ಭಾರತ ಮಾನವ ಜನಾಂಗದ ತೊಟ್ಟಿಲು, ಮಾನವ ಭಾಷೆಯ ಜನ್ಮಸ್ಥಳ, ಇತಿಹಾಸದ ತಾಯಿ, ದಂತಕಥೆಯ ಅಜ್ಜ, ಮತ್ತು ಸಂಪ್ರದಾಯದ ಮುತ್ತಜ್ಜಿಯವರು ಇತಿಹಾಸದಲ್ಲಿ ನಮ್ಮ ಅತ್ಯಂತ ಬೆಲೆಬಾಳುವ ಮತ್ತು ಹೆಚ್ಚು ಬೋಧಪ್ರದ ವಸ್ತುಗಳು ಮನುಷ್ಯನ ಮಾತ್ರ ಭಾರತದಲ್ಲಿ ಅಮೂಲ್ಯವಾಗಿದೆ.""
"
"""My grandmother gave to him.""""""
","""- ಅವರ ಅಜ್ಜ ನೀಡಿದೆ .""""""
"
"""My grandmother moves faster than you!""""""
","""""""ನನ್ನ ತಾಯಿ ನಿಮ್ಮ ತಾಯಿಗಿಂತ ವೇಗವಾಗಿ ಓಡುತ್ತಿದ್ದಾಳೆ!""
"
"""My grandmother runs faster than you!""""""
","""""""ನನ್ನ ತಾಯಿ ನಿಮ್ಮ ತಾಯಿಗಿಂತ ವೇಗವಾಗಿ ಓಡುತ್ತಿದ್ದಾಳೆ!""
"
"""Sukmawati's lawyer, Witaryono Rejsoprojo, told the press on Friday, 22 October 2021, """"Yes, (her grandmother's religion is the reason).""
","""ಸುಕ್ಮಾವತಿಯವರ ವಕೀಲರಾದ ವಿಟಾರಿಯೊನೊ ರೆಜ್ಸೊಪ್ರೊಜೊ ಶುಕ್ರವಾರ, 22 ಅಕ್ಟೋಬರ್ 2021 ರಂದು ಪತ್ರಿಕಾಗೋಷ್ಠಿಯಲ್ಲಿ ಈ ಬಗ್ಗೆ ಮಾತನಾಡುತ್ತಾ, """"ಹೌದು, ಬಂಗ್ ಕರ್ನೊನ ತಾಯಿ ಇದಾ ನ್ಯೋಮನ್ ಪ್ರಭಾವದಿಂದಾಗಿ ಅವರು ಮತಾಂತರಗೊಳ್ಳುತ್ತಿದ್ದಾರೆ.""
"
"""Synopsis Mark Twain, American novelist and writer, stated that """"India is the credit of the human race, birthplace of human speech, mother of history, grandmother of legend, and great grandmother of tradition; and our most valuable and most instructive materials in the history of man are treasured up in India only.""""""
","""ಮಾರ್ಕ್ ಟ್ವೈನ್, ಅಮೇರಿಕನ್ ಲೇಖಕಃ """"ಭಾರತ ಮಾನವ ಜನಾಂಗದ ತೊಟ್ಟಿಲು, ಮಾನವ ಭಾಷೆಯ ಜನ್ಮಸ್ಥಳ, ಇತಿಹಾಸದ ತಾಯಿ, ದಂತಕಥೆಯ ಅಜ್ಜ, ಮತ್ತು ಸಂಪ್ರದಾಯದ ಮುತ್ತಜ್ಜಿಯವರು ಇತಿಹಾಸದಲ್ಲಿ ನಮ್ಮ ಅತ್ಯಂತ ಬೆಲೆಬಾಳುವ ಮತ್ತು ಹೆಚ್ಚು ಬೋಧಪ್ರದ ವಸ್ತುಗಳು ಮನುಷ್ಯನ ಮಾತ್ರ ಭಾರತದಲ್ಲಿ ಅಮೂಲ್ಯವಾಗಿದೆ.""
"
"""To sum up we quote Mark Twain, American author: """"India is, the cradle of the human race, the birthplace of human speech, the mother of history, the grandmother of legend, and the great grand mother of tradition. our most valuable and most instructive materials in the history of man are treasured up in India only.""""""
","""ಮಾರ್ಕ್ ಟ್ವೈನ್, ಅಮೇರಿಕನ್ ಲೇಖಕಃ """"ಭಾರತ ಮಾನವ ಜನಾಂಗದ ತೊಟ್ಟಿಲು, ಮಾನವ ಭಾಷೆಯ ಜನ್ಮಸ್ಥಳ, ಇತಿಹಾಸದ ತಾಯಿ, ದಂತಕಥೆಯ ಅಜ್ಜ, ಮತ್ತು ಸಂಪ್ರದಾಯದ ಮುತ್ತಜ್ಜಿಯವರು ಇತಿಹಾಸದಲ್ಲಿ ನಮ್ಮ ಅತ್ಯಂತ ಬೆಲೆಬಾಳುವ ಮತ್ತು ಹೆಚ್ಚು ಬೋಧಪ್ರದ ವಸ್ತುಗಳು ಮನುಷ್ಯನ ಮಾತ್ರ ಭಾರತದಲ್ಲಿ ಅಮೂಲ್ಯವಾಗಿದೆ.""
"
"(This is an old song I learned from my grandmother when I was a little boy.
","(ನಮ್ಮ ದೊಡ್ಡಮ್ಮ ಸಣ್ಣಕಿ ಇದ್ದಾಗ ಕಲಿತಿದ್ದ ಹಾಡಂತೆ ಇದು.
"
"90-year-old grandmother in primary school
","90 ವರ್ಷದ ಇಟ್ಟಮೇರಿ ಹಿರಿಯ ಪ್ರಾಥಮಿಕ ಶಾಲೆಗೆ ಬೀಗ
"
"A day later, his grandmother died.
","ಕಡೆಗೊಂದು ದಿನ ಅಜ್ಜ ತೀರಿ ಹೋದರು.
"
"A few days later the grandmother gets sick.
","ಕೆಲವು ದಿನಗಳ ನಂತರ ಅಜ್ಜ ಕಾಯಿಲೆ ಬಿದ್ದ.
"
"A grandmother's stories
","ಅಜ್ಜನ ಕಥೆಗಳು
"
"A retired grandmother.
","ಒಬ್ಬ ನಿವೃತ್ತ ಅಜ್ಜ.
"
"After dinner, we would all gather around my grandmother.
","ರಾತ್ರಿ ಊಟವಾದ ಮೇಲೆ ನಾವೆಲ್ಲ ಅಜ್ಜನ ಸುತ್ತ ನೆರೆಯುತ್ತಿದ್ದೆವು.
"
"Again, I am so very sorry about your grandmother.
","ಮತ್ತೊಮ್ಮೆ, ನಿನ್ನ ತಾಯಿಯ ವಿಚಾರವಾಗಿ ನಾನು ವಿಷಾದ ವ್ಯಕ್ತಪಡಿಸುತ್ತಿದ್ದೇನೆ.
"
"And if you see in the dream of both grandmothers at once - both on the maternal and paternal lines, it means that you have a serious, strong spiritual protection.
","ಏಕಕಾಲದಲ್ಲಿ ಎರಡೂ Grandmothers ಕನಸನ್ನು ನೋಡಿ ವೇಳೆ - ಮತ್ತು ತಾಯಿಯ ಮತ್ತು ತಂದೆಯ ಲೈನ್, ನೀವು ಗಂಭೀರ ಬಲವಾದ ಆಧ್ಯಾತ್ಮಿಕ ರಕ್ಷಣೆ ಎಂದು ಅರ್ಥ.
"
"As a mother and grandmother, I know the concerns of parents.
","ಒಬ್ಬ ತಾಯಿಯಾಗಿ ನನಗೂ ಅಪ್ಪ-ಅಮ್ಮಂದಿರ ಆತಂಕಗಳ ಅರಿವಿದೆ.
"
"At the time of his birth, Portugal was ruled by Pedro's grandmother Queen Maria I, whose sanity was quickly deteriorating.
","ಅವನ ಹುಟ್ಟಿದ ಸಮಯದಲ್ಲಿ ಪೋರ್ಚುಗಲ್ನ ಪೆಡ್ರೊನ ಅಜ್ಜ ರಾಣಿ ಮಾರಿಯಾ I ಆಳ್ವಿಕೆ ನಡೆಸಿದನು, ಅವರ ವಿವೇಕವು ಶೀಘ್ರವಾಗಿ ಕ್ಷೀಣಿಸುತ್ತಿದೆ.
"
"Best grandmother in the world.
","ವಿಶ್ವದ ಅತ್ಯುತ್ತಮ ಅಜ್ಜ.
"
"Both my grandmothers lived through two world wars.
","ನನ್ನ ಅಜ್ಜ ಎರಡೂ ವಿಶ್ವ ಯುದ್ಧಗಳ ಮೂಲಕ ವಾಸಿಸುತ್ತಿದ್ದರು.
"
"But my grandmother wasn't listening to me.
","ಆದರೆ ಮೊಮ್ಮಗಳು ಅಜ್ಜನ ಮಾತು ಕೇಳಲಿಲ್ಲ.
"
"By virtue of the Constitution of India or the Citizenship Act, 1955 (57 of 1955) who or either of whose father or mother or grandfather or grandmother was a citizen of India.
","ಭಾರತದ ಸಂವಿಧಾನ ಅಥವಾ ಪೌರತ್ವ ಕಾಯ್ದೆ, 1955 (1955 ರ 57) ಪ್ರಕಾರವಾಗಿ ಅವರು ಅಥವಾ ಅವರ ಪೋಷಕರು ಅಥವಾ ಅವರ ಯಾವುದೇ ಹಿರಿಯ ಪೋಷಕರು ಭಾರತದ ನಾಗರಿಕರಾಗಿರಬೇಕು; ಅಥವಾ
"
"During Douglass' early childhood, he lived with his maternal grandmother, Betty Bailey but was sent to live in the home of a plantation owner.
","ಡೌಗ್ಲಾಸ್ನ ಬಾಲ್ಯದಲ್ಲಿ, ಅವರು ತಮ್ಮ ತಾಯಿಯ ಅಜ್ಜ, ಬೆಟ್ಟಿ ಬೈಲೆಯ್ ಜೊತೆ ವಾಸಿಸುತ್ತಿದ್ದರು ಆದರೆ ತೋಟ ಮಾಲೀಕನ ಮನೆಯಲ್ಲಿ ವಾಸಿಸಲು ಕಳುಹಿಸಲಾಯಿತು.
"
"Emily's paternal grandmother, Anna Ward Orr, comes from a household of Quakers from Lancaster and Chester counties in Pennsylvania.
","ಎಮಿಲಿ ತಂದೆಯ ಅಜ್ಜ, ಅನ್ನಾ ವಾರ್ಡ್ ಓರ್, ಪೆನ್ಸಿಲ್ವೇನಿಯಾದ ಲಂಕಸ್ಟೆರ್ ಮತ್ತು ಚೆಸ್ಟರ್ ಕೌಂಟಿಗಳಿಂದ ಕ್ವೇಕರ್ ಕುಟುಂಬದವರಾಗಿದ್ದಾರೆ.
"
"Emily's paternal grandmother, Anna Ward Orr, descends from a family of Quakers from Lancaster and Chester counties in Pennsylvania.
","ಎಮಿಲಿ ತಂದೆಯ ಅಜ್ಜ, ಅನ್ನಾ ವಾರ್ಡ್ ಓರ್, ಪೆನ್ಸಿಲ್ವೇನಿಯಾದ ಲಂಕಸ್ಟೆರ್ ಮತ್ತು ಚೆಸ್ಟರ್ ಕೌಂಟಿಗಳಿಂದ ಕ್ವೇಕರ್ ಕುಟುಂಬದವರಾಗಿದ್ದಾರೆ.
"
"Every person has a grandmother.
","ಎಲ್ಲರಿಗೂ ಮೊಮ್ಮಕ್ಕಳು ಇರುತ್ತಾರೆ.
"
"Everybody has a grandmother.
","ಎಲ್ಲರಿಗೂ ಮೊಮ್ಮಕ್ಕಳು ಇರುತ್ತಾರೆ.
"
"Everything I am today is because of my grandmother.
","ನಾನು ಇಂದು ಏನಿದ್ದೇನೊ ಅದೆಲ್ಲಕ್ಕೂ ನನ್ನ ಅಮ್ಮನೇ ಕಾರಣ.
"
"For example, if you want to find out what was your grandmother's maiden name, you should send a request to the authority where she registered the marriage with her great-grandfather, indicating the year of the event and the data known to you.
","ಉದಾಹರಣೆಗೆ, ನೀವು ನಿಮ್ಮ ಮುತ್ತಜ್ಜಿ ಮೊದಲ ಹೆಸರು ಏನು ತಿಳಿಯಲು ಬಯಸಿದರೆ, ಇದು ಮುತ್ತಾತ ಮದುವೆ ನೋಂದಣಿ ಅಲ್ಲಿ ಅಧಿಕಾರ, ತನಿಖಾ ಕಳುಹಿಸಲು ಮಾಡಬೇಕು, ಸಂಗತಿ ಮತ್ತು ನೀವು ಕರೆಯಲ್ಪಡುತ್ತದೆ ದತ್ತಾಂಶದ ವರ್ಷದ ಸೂಚಿಸುತ್ತದೆ.
"
"Ford's great grandmother, Loy Lee Ford, was the first Chinese woman to own property in Nevada.
","ಅವರ ಮುತ್ತಜ್ಜ, ಲಾಯ್ ಲೀ ಫೋರ್ಡ್ ನೆವಾಡಾದಲ್ಲಿ ಆಸ್ತಿ ಹೊಂದಿದ ಮೊದಲ ಚೀನೀ ಮಹಿಳೆ.
"
"Four children were left in the care of their grandmother.
","ನಾಲ್ಕು ಮಕ್ಕಳು ತನ್ನ ಮಲತಂದೆ ಆರೈಕೆಯಲ್ಲಿ ಉಳಿಯಿತು.
"
"Great grandmother, mother of the earth.
","ಜಗತ್ತಿನ ಮಹಾ ತಾಯಿ, ಮೂಲ ತಾಯಿ.
"
"He asked his grandmother.
","' ಅವನು ಅಜ್ಜನನ್ನು ಕೇಳಿದ.
"
"He had a grandmother.
","ಅವಳಿಗೊಬ್ಬ ಅಜ್ಜ ಇದ್ದ.
"
"He pulled out of the ICC Champions Trophy in September 2002, after lying about the death of his grandmother.
","2002 ಸೆಪ್ಟೆಂಬರ್ನಲ್ಲಿ ಐಸಿಸಿ ಚಾಂಪಿಯನ್ಸ್ ಟ್ರೋಫಿಯ ವೇಳೆ ಸುಳ್ಳು ಕಾರಣ ನೀಡಿ ತಂಡದಿಂದ ಹೊರನಡೆದಿದ್ದರು.
"
"Her daughter was my grandmother.
","ಅವಳ ಮಗಳು ಅಂದರೆ ನನಗೆ ಮೊಮ್ಮಗಳು.
"
"Her grandmother had been watching her.
","ಮೊಮ್ಮಗ ಅವಳತ್ತಲೇ ನೋಡುತ್ತಿದ್ದ.
"
"Her grandmother has been murdered.
","ಆಕೆಯ ಅಜ್ಜನನ್ನು ಗುಂಡಿಟ್ಟು ಕೊಲ್ಲಲಾಯಿತು.
"
"Her grandmother immigrated from Ireland.
","ಅವರ ಅಜ್ಜ ಐರ್ಲೆಂಡ್ನಿಂದ ವಲಸೆ.
"
"Her grandmother is also a teacher.
","ಅಜ್ಜ ಕೂಡ ಶಿಕ್ಷಕ.
"
"Her grandmother was 101 years old.
","ಈ ಅಜ್ಜನಿಗೆ 101 ವರ್ಷ ವಯಸ್ಸು.
"
"Her grandmother was a Buddhist.
","ಅವಳ ತಂದೆ ಬುದ್ಧಾನುಯಾಯಿಯಾಗಿದ್ದ.
"
"Her grandmother was a doctor.
","ಅವಳ ಅಜ್ಜ ಒಂದು ವೈದ್ಯನಾಗಿದ್ದ.
"
"Her grandmother was also interested in music.
","ತಾಯಿಗೂ ಕೂಡಾ ಸಂಗೀತದಲ್ಲಿ ಆಸಕ್ತಿಯಿತ್ತು.
"
"Her grandmother was murdered.
","ಆಕೆಯ ಅಜ್ಜನನ್ನು ಗುಂಡಿಟ್ಟು ಕೊಲ್ಲಲಾಯಿತು.
"
"Her grandmother worked in the fields.
","ಅಮ್ಮ ಅಕ್ಕಮ್ಮ ಹೊಲಗಳಲ್ಲಿ ಕೂಲಿ ಕೆಲಸ ಮಾಡುತ್ತಿದ್ದಳು.
"
"Her grandmother's eyes glistened with joy.
","ಖುಷಿಯಲ್ಲಿ ಪುಳಕಗೊಂಡಿದ್ದ ಅಮ್ಮನ ಕಣ್ಣುಗಳು ದೊಡ್ಡದಾದುವು.
"
"Her grandmother, Lady Fermoy, served the Royal Family for nearly 40 years.
","ಲೇಡಿ Fermoy ಸುಮಾರು 40 ವರ್ಷಗಳಿಂದ ರಾಯಲ್ ಕುಟುಂಬ ಸೇವೆ.
"
"His Italian great-grandparents Gionni De Niro and Angelina Mercurio had settled in Ferrazano in the province of Campobasso, Molise, and his grandmother, Helen Oreille, was the granddaughter of Edward Orielli, an immigrant from Ireland.
","ಅವನ ಇಟಾಲಿಯನ್ ಮುತ್ತಾತಂದಿರು, ಗಿಯೋವನ್ನಿ ನಿರೋ ಮತ್ತು ಅಂಜಲಿನಾ ಮೆರ್ಕುರಿಯೊ, ಮೊಲಿಸೆಯ ಕಾಂಪೊಬಸ್ಸೊ ಪ್ರಾಂತ್ಯದ ಫೆರಜ್ಜನೊವಿನಿಂದ ವಲಸೆ ಬಂದವರು,[೨] ಮತ್ತು ಮುತ್ತಜ್ಜಿ, ಹೆಲೆನ್ ಒ'ರೈಲಿ, ಎಡ್ವರ್ಡ್ ಒ'ರೈಲಿಯ ಮೊಮ್ಮಗಳು, ಐರ್ಲೆಂಡ್ನಿಂದ ವಲಸೆ ಬಂದವರು.
"
