eng_Latn,kan_Knda
"Aunty was a school teacher and uncle was doing job in a private company.
","ಅತುಲ್ಯ ಅವರ ತಾಯಿ ಶಿಕ್ಷಕಿಯಾಗಿ ಕೆಲಸ ನಿರ್ವಹಿಸುತ್ತಿದ್ದಾರೆ, ಅವರ ತಂದೆ ಖಾಸಗಿ ಕಂಪನಿಯೊಂದರಲ್ಲಿ ಕೆಲಸ ಮಾಡುತ್ತಿದ್ದಾರೆ.
"
"Balance lovers spent the Christmas holidays at the family estate of his uncle Charles, who left them with a huge house.
","ಒಂದು ದೊಡ್ಡ ಮನೆ ಅವುಗಳನ್ನು ತೊರೆದ ಅಂಕಲ್ ಚಾರ್ಲ್ಸ್, ಕುಟುಂಬ ಎಸ್ಟೇಟ್ ನಡೆದ ಕ್ರಿಸ್ಮಸ್ ರಜಾದಿನಗಳಲ್ಲಿ ಪ್ರೇಮಿಗಳು ಸಮತೋಲನ.
"
"Born on 23 June 1936 in Moynaguri on the outskirts of Jalpaiguri in West Bengal, Banerjee's family relocated to his uncle's place in Jamshedpur before partition.
","ಜೂ. 23, 1936ರಂದು ಪಶ್ಚಿಮ ಬಂಗಾಳದ ಜಲ್ಪೈಗುರಿಯ ಮೊಯ್ನಾಗುರಿಯಲ್ಲಿ ಜನಿಸಿದ್ದ ಬ್ಯಾನರ್ಜಿ, ವಿಭಜನೆಗೂ ಮುನ್ನ ಕುಟುಂಬದೊಂದಿಗೆ ಜಮ್ಶೆಡ್ಪುರಕ್ಕೆ ಸ್ಥಳಾಂತರಗೊಂಡು ನೆಲೆಸಿದ್ದರು.
"
"Born on 23rd June 1936 in Moynaguri on the outskirts of Jalpaiguri in West Bengal, Banerjee's family relocated to his uncle's place in Jamshedpur before partition.
","ಜೂ. 23, 1936ರಂದು ಪಶ್ಚಿಮ ಬಂಗಾಳದ ಜಲ್ಪೈಗುರಿಯ ಮೊಯ್ನಾಗುರಿಯಲ್ಲಿ ಜನಿಸಿದ್ದ ಬ್ಯಾನರ್ಜಿ, ವಿಭಜನೆಗೂ ಮುನ್ನ ಕುಟುಂಬದೊಂದಿಗೆ ಜಮ್ಶೆಡ್ಪುರಕ್ಕೆ ಸ್ಥಳಾಂತರಗೊಂಡು ನೆಲೆಸಿದ್ದರು.
"
"Born on June 23, 1936 in Moynaguri on the outskirts of Jalpaiguri in West Bengal, Banerjee's family relocated to his uncle's house in Jamshedpur before partition.
","ಜೂ. 23, 1936ರಂದು ಪಶ್ಚಿಮ ಬಂಗಾಳದ ಜಲ್ಪೈಗುರಿಯ ಮೊಯ್ನಾಗುರಿಯಲ್ಲಿ ಜನಿಸಿದ್ದ ಬ್ಯಾನರ್ಜಿ, ವಿಭಜನೆಗೂ ಮುನ್ನ ಕುಟುಂಬದೊಂದಿಗೆ ಜಮ್ಶೆಡ್ಪುರಕ್ಕೆ ಸ್ಥಳಾಂತರಗೊಂಡು ನೆಲೆಸಿದ್ದರು.
"
"Born on June 23, 1936 in Moynaguri on the outskirts of Jalpaiguri in West Bengal, Banerjee's family relocated to his uncle's place in Jamshedpur before partition.
","ಜೂ. 23, 1936ರಂದು ಪಶ್ಚಿಮ ಬಂಗಾಳದ ಜಲ್ಪೈಗುರಿಯ ಮೊಯ್ನಾಗುರಿಯಲ್ಲಿ ಜನಿಸಿದ್ದ ಬ್ಯಾನರ್ಜಿ, ವಿಭಜನೆಗೂ ಮುನ್ನ ಕುಟುಂಬದೊಂದಿಗೆ ಜಮ್ಶೆಡ್ಪುರಕ್ಕೆ ಸ್ಥಳಾಂತರಗೊಂಡು ನೆಲೆಸಿದ್ದರು.
"
"Born on June 23, 1936, in Moynaguri on the outskirts of Jalpaiguri in West Bengal, Banerjee's household relocated to his uncle's place in Jamshedpur earlier than partition.
","ಜೂ. 23, 1936ರಂದು ಪಶ್ಚಿಮ ಬಂಗಾಳದ ಜಲ್ಪೈಗುರಿಯ ಮೊಯ್ನಾಗುರಿಯಲ್ಲಿ ಜನಿಸಿದ್ದ ಬ್ಯಾನರ್ಜಿ, ವಿಭಜನೆಗೂ ಮುನ್ನ ಕುಟುಂಬದೊಂದಿಗೆ ಜಮ್ಶೆಡ್ಪುರಕ್ಕೆ ಸ್ಥಳಾಂತರಗೊಂಡು ನೆಲೆಸಿದ್ದರು.
"
"Both his uncle and my dad died in their 60s of a heart attack.
","ಅವರ 60 ರ ದಶಕದಲ್ಲಿ ಅವನು ಮತ್ತು ಅವರ ತಂದೆ ಹೃದಯಾಘಾತದಿಂದ ಮೃತಪಟ್ಟರು.
"
"But Shai, you're my uncle.
","ಆದರೆ, ಸೊತಿಹೆ ನಾ, ನಿನಗೆ ನನ್ನ ತನುಮನವನು.
"
"But before he made his way to Mumbai, Shivam went to Delhi to his maternal uncle's place, keen to learn the craft of mehendi design.
","ಆದರೆ ಮುಂಬೈಗೆ ಬರುವ ಮುನ್ನ ಶಿವಮ್ ದೆಹಲಿಯಲ್ಲಿರುವ ತನ್ನ ತಾಯಿಯ ಕಡೆಯ ಸಂಬಂಧಿಯೊಬ್ಬರ ಮನೆಗೆ ಮೆಹಂದಿಯ ವಿನ್ಯಾಸಗಳನ್ನು ಚಿತ್ರಿಸುವ ಕಲೆಯನ್ನು ಕಲಿತುಕೊಳ್ಳಲು ಹೋಗಿದ್ದ.
"
"But three months later, she came back to live with her uncle.
","ಆದರೆ ಮೂರು ತಿಂಗಳ ಹಿಂದೆ ಮತ್ತೆ ವಾಪಸ್ ಬಂದು ಪತಿಯೊಂದಿಗೆ ವಾಸಿಸುತ್ತಿದ್ದಳು.
"
"Caesar was part of the era of roman history known as the republican period, but by his day, a few memorable leaders, not restricted to one class or another, had taken control, defying custom and law, making a mockery of the republican political institutions one of these leaders was his uncle by.
","ಸೀಸರ್ ರಿಪಬ್ಲಿಕನ್ ಅವಧಿಯೆಂದು ಕರೆಯಲ್ಪಡುವ ರೋಮನ್ ಇತಿಹಾಸದ ಯುಗದ ಭಾಗವಾಗಿತ್ತು, ಆದರೆ ಅವರ ದಿನದಿಂದ, ಕೆಲವು ಸ್ಮರಣೀಯ ನಾಯಕರು, ಒಂದು ವರ್ಗ ಅಥವಾ ಇನ್ನೊಂದಕ್ಕೆ ಸೀಮಿತವಾಗಿಲ್ಲ, ನಿಯಂತ್ರಣವನ್ನು ತೆಗೆದುಕೊಂಡರು, ಕಸ್ಟಮ್ ಮತ್ತು ಕಾನೂನನ್ನು ನಿರಾಕರಿಸಿದರು, ರಿಪಬ್ಲಿಕನ್ ರಾಜಕೀಯ ಸಂಸ್ಥೆಗಳ ಅಪಹಾಸ್ಯ ಮಾಡಿದರು .
"
"Consider planning a nice walk with your mom, volunteering with your dad, hanging out with your friend at their work one afternoon, or even babysitting for your aunt or uncle so they can get some time to themselves.
","ನಿಮ್ಮ ತಾಯಿಯೊಂದಿಗೆ ಉತ್ತಮ ನಡವಳಿಕೆಯನ್ನು ಯೋಜಿಸಿ, ನಿಮ್ಮ ತಂದೆಯೊಂದಿಗೆ ಸ್ವಯಂ ಸೇವಕರಾಗಿ , ನಿಮ್ಮ ಕೆಲಸದ ಒಂದು ಮಧ್ಯಾಹ್ನದಲ್ಲಿ ನಿಮ್ಮ ಸ್ನೇಹಿತನೊಂದಿಗೆ ಹ್ಯಾಂಗ್ಔಟ್ ಮಾಡುವುದು, ಅಥವಾ ನಿಮ್ಮ ಹೆತ್ತವರಿಗೆ ಶಿಶುಪಾಲನಾ ಕೇಂದ್ರ ಮಾಡುವುದನ್ನು ಯೋಚಿಸಿ.
"
"Danish Kaneria, only the second Hindu to play for Pakistan after his maternal uncle Anil Dalpat, took 261 wickets in 61 Tests at an average of 34.79.
","ಅನಿಲ್ ದಳಪತ್ ಅವರ ಬಳಿಕ ಪಾಕಿಸ್ತಾನ ತಂಡವನ್ನು ಪ್ರತಿನಿಧಿಸಿದ ಎರಡನೇ ಹಿಂದೂ ಆಟಗಾರ ಎಂಬ ಕೀರ್ತಿ ಪಡೆದಿರುವ ದಾನಿಶ್ ಕನೇರಿಯಾ, ಪಾಕ್ ಪರ 61 ಟೆಸ್ಟ್ ಪಂದ್ಯಗಳನ್ನು ಆಡಿದ್ದು 34.79ರ ಸರಾಸರಿಯಲ್ಲಿ 261 ವಿಕೆಟ್ಗಳನ್ನು ಉರುಳಿಸಿದ್ದಾರೆ.
"
"Dholakia, who hails from Dudhala village in Amreli district, established and grew his diamond business using a loan from his uncle.
","ಸೌರಾಷ್ಟ್ರದ ಪ್ರದೇಶದ ಅಮ್ರೆಲಿ ಜಿಲ್ಲೆಯ ದೂಧಲಾ ಹಳ್ಳಿಯಿಂದ ಬಂದ ವಜ್ರದ ವ್ಯಾಪಾರಿ, ತನ್ನ ಸಂಬಂಧಿಯೊಬ್ಬರಿಂದ ಎರವಲು ಬಳಸಿಕೊಂಡು ತನ್ನ ವ್ಯವಹಾರವನ್ನು ಸ್ಥಾಪಿಸಿ ಉನ್ನತ ಮಟ್ಟಕ್ಕೆ ಬೆಳೆಸಿದ್ದಾರೆ.
"
"Electing to remain in Jamaica, he was soon joined by his uncle, Edward Morgan, who was appointed lieutenant-governor of the island after the restoration of King Charles II in 1660.
","ಜಮೈಕಾದಲ್ಲಿ ಉಳಿಯಲು ಆಯ್ಕೆಯಾದರು, ಶೀಘ್ರದಲ್ಲೇ 1660 ರಲ್ಲಿ ಕಿಂಗ್ ಚಾರ್ಲ್ಸ್ II ಪುನಃಸ್ಥಾಪನೆ ಮಾಡಿದ ನಂತರ ಅವರ ಪುಟ್ಟ ಎಡ್ವರ್ಡ್ ಮೊರ್ಗಾನ್ ಅವರು ದ್ವೀಪದ ಲೆಫ್ಟಿನೆಂಟ್-ಗವರ್ನರ್ ಆಗಿ ನೇಮಕಗೊಂಡರು.
"
"Elizabeth's love of music is due to her father, who was writing songs, and her uncle, who taught her how to play the guitar.
","ಸಂಗೀತಕ್ಕೆ ಎಲಿಜಬೆತ್ ಲವ್ - ಹಾಡು ಬರೆದ ತನ್ನ ತಂದೆ, ಮತ್ತು ಗಿಟಾರ್ ಆಡಲು ತನ್ನ ಕಲಿಸಿದ ಮಾಡಿದ ಅವನ ಅಂಕಲ್ ಶ್ರೇಷ್ಠತೆಯನ್ನು.
"
"Even private hospitals such as Apollo, Fortis, Manipal and many others were not willing to treat his uncle allegedly due to a shortage of beds and ICUs.
","ಸರ್ಕಾರಿ ಆಸ್ಪತ್ರೆಗಳು ಮಾತ್ರವಲ್ಲ ದೊಡ್ಡ ಖಾಸಗಿ ಆಸ್ಪತ್ರೆಗಳಾದ ಅಪೊಲೋ, ಫೋರ್ಟಿಸ್, ಮಣಿಪಾಲ್ ಮತ್ತು ಇನ್ನೂ ಹಲವು ಆಸ್ಪತ್ರೆಗಳು ಹಾಸಿಗೆಗಳು ಮತ್ತು ಐಸಿಯುಗಳ ಕೊರತೆಯಿಂದಾಗಿ ರೋಗಿಗೆ ಚಿಕಿತ್ಸೆ ನೀಡಲು ನಿರಾಕರಿಸಿದ್ದಾರೆ ಎಂದು ರೋಗಿಯ ಸಂಬಂಧಿ ಹೇಳಿದ್ದಾರೆ.
"
"Giuliano showed no true interest in spiritual matters, but he enjoyed considerable income from three Italian bishoprics, six French bishoprics, and many abbeys and benefices bestowed on him by his uncle.
","ಗಿಲಿಯೊಯಾನೊ ಆಧ್ಯಾತ್ಮಿಕ ವಿಷಯಗಳಲ್ಲಿ ನಿಜವಾದ ಆಸಕ್ತಿಯನ್ನು ತೋರಿಸಲಿಲ್ಲ, ಆದರೆ ಅವರು ಮೂರು ಇಟಲಿಯ ಬಿಷಪ್, ಆರು ಫ್ರೆಂಚ್ ಬಿಷಪ್ರಿಕ್ಸ್, ಮತ್ತು ಅವರ ಅಣ್ಣನಿಂದ ಅವನಿಗೆ ಕೊಟ್ಟ ಅನೇಕ ಅಹಂಕಾರಗಳು ಮತ್ತು ಪ್ರಯೋಜನಗಳಿಂದ ಗಣನೀಯ ಆದಾಯವನ್ನು ಪಡೆದರು.
"
