eng_Latn,guj_Gujr
"Dean Bernardini, the Loefflers' brother-in-law, took over on bass, and the band released 2007's Vena Sera.
","લોઅફલર્સના ભાઇ-ઇન-લૉ ડીન બર્નાર્ડિનીએ બાસ પર કામ કર્યું અને બેન્ડે 2007 ની વેના સેરાને રિલીઝ કર્યું.
"
"Don't just blindly hire a contractor for a job because your neighbor suggested this person or it's the brother-in-law of that woman who works in human resources.
","ફક્ત અકારણ નોકરી માટે ઠેકેદાર ભાડે નહી કરો કારણ કે તમારા પાડોશીએ આ વ્યક્તિને સૂચવ્યું છે અથવા તે તે સ્ત્રીનું ભાભું છે જે માનવ સંસાધનોમાં કામ કરે છે.
"
"Elizabeth Bowes-Lyon, who did not know when she married that her brother-in-law would be pressured to abdicate and that she would become queen, was widowed when George VI died in 1952.
","એલિઝાબેથ બોવ્સ-લિયોન , જેને જ્યારે ખબર પડી નહોતી કે તેણે તેના ભાભીને ત્યાગ કરવા માટે દબાણ કર્યું અને તે રાણી બનશે ત્યારે જ્યોર્જ VI ની 1952 માં મૃત્યુ પામી ત્યારે તે વિધુર હતી.
"
"Following the death of his owner, Douglass was given to Lucretia Auld who sent him to live with her brother-in-law, Hugh Auld in Baltimore.
","તેના માલિકની મૃત્યુ બાદ, ડૌગ્લાસને લુક્રેટીયા ઔલડને આપવામાં આવ્યો હતો, જેણે તેને તેમના ભાભી, બાલ્ટીમોરમાં હ્યુ ઔલડ સાથે રહેવા માટે મોકલ્યો હતો.
"
"For example, if you are taking up the game just so you can play twice a year with your brother-in-law, there's no need to spend much time, effort or money on picking out clubs.
","દાખલા તરીકે, જો તમે આ ગેમનો ઉપયોગ કરી રહ્યા હોવ તો તમે વર્ષમાં બે વાર તમારા ભાભી સાથે રમી શકો છો, ક્લબોને બહાર કાઢવા માટે ખૂબ જ સમય, મહેનત અથવા પૈસા ખર્ચવાની જરૂર નથી.
"
"For example, if you get the game just so you can play twice a year with your brother-in-law, there is not need much time, effort and money collecting clubs.
","દાખલા તરીકે, જો તમે આ ગેમનો ઉપયોગ કરી રહ્યા હોવ તો તમે વર્ષમાં બે વાર તમારા ભાભી સાથે રમી શકો છો, ક્લબોને બહાર કાઢવા માટે ખૂબ જ સમય, મહેનત અથવા પૈસા ખર્ચવાની જરૂર નથી.
"
"For example, your brother-in-law might be able to do your business taxes using a tax preparation software, but paid tax preparers must register with the IRS and receive a PTIN (paid taxpayer ID).
","ઉદાહરણ તરીકે, તમારા ભાભીને ટેક્સ પ્રેફરન્સ સૉફ્ટવેરનો ઉપયોગ કરીને તમારો વ્યવસાય કર કરી શકે છે, પરંતુ પે કર કરનારાઓએ આઇઆરએસ સાથે નોંધણી કરાવવી જોઈએ અને પીટીઆઈએન (પેઇડ કરદાતા આઈડી) મેળવવો જોઈએ.
"
"For instance, Joel Matip's grandfather and his brother-in-law Martin are also doctors.
","દાખલા તરીકે, જોએલ મટિપના દાદા અને તેના ભાભી માર્ટિન પણ ડોક્ટર છે.
"
"Gertrude's incestuous relationship with her brother-in-law plagues Hamlet more than his father's death.
","તેમના ભાઇ સાળીઃ સાથે ગર્ટ્રુડના વ્યભિચારી સંબંધ હેમ્લેટને તેના પિતાના મૃત્યુ કરતાં વધુ તકલીફો આપે છે.
"
"Goel's brother-in-law, Vikas Mittal, was booked and arrested in connection with a case involving the rape, drugging, and threatening of a woman at the Dwarka South police station in August 2020.
","આરોપી ગોયલના સાઢુ વિકાસ મિત્તલ પર ઓગસ્ટ 2020 માં દ્વારકા સાઉથ પોલીસ સ્ટેશનમાં બળાત્કાર, ડ્રગ અને ધમકી આપવા બદલ ગુનો નોંધાયો હતો અને ધરપકડ કરવામાં આવી હતી.
"
"Greg Valentine: son of Johnny Valentine, brother-in-law of Brian Knobs
","ગ્રેગ વેલેન્ટાઇનઃ જ્હોની વેલેન્ટાઇનના પુત્ર, બ્રાયન નોબ્સના ભાઇ-ઇન-કાયદો
"
"Happy birthday to the man who is less of a brother-in-law more like a brother by blood.
","માણસ છે, જે એક ભાઇ ઈન કાયદો વધુ એક ભાઇ દ્વારા રક્ત જેવા ઓછી છે ખુશ જન્મદિવસ.
"
"He further added that his sister and her husband later moved to India but he realised that Kavita was still talking to his brother-in-law.
","તેણે કહ્યું કે તેની બહેન અને તેના પતિ પછીથી ભારત ગયા હતા પરંતુ પાછળથી સમજાયું કે કવિતા હજી પણ તેના ભાભી સાથે વાત કરી રહી છે.
"
"He had to act fast as he knew his sister and brother-in-law would return soon.
","તેની બહેન અને ભાભી જલ્દી પાછા ફરશે તેવું જાણતા હોવાથી તેણે ઝડપી અભિનય કરવો પડ્યો.
"
"He said that his sister and her husband later moved to India but later realised that Kavita was still speaking to his brother-in-law.
","તેણે કહ્યું કે તેની બહેન અને તેના પતિ પછીથી ભારત ગયા હતા પરંતુ પાછળથી સમજાયું કે કવિતા હજી પણ તેના ભાભી સાથે વાત કરી રહી છે.
"
"He started doing yoga as a teenager in an effort to improve his health after contracting tuberculosis, studying with his brother-in-law, Krishnamacharya, in Mysore, India.
","તેમણે કિશોર વયે તંદુરસ્તી બાદ તંદુરસ્તીમાં સુધારો કરવા માટે યોગની શરૂઆત કરી હતી, મૈસુરમાં તેમના ભાભું, કૃષ્ણમાચાર્ય સાથે અભ્યાસ કરતા.
"
"He was Antonio Lopez de Santa Anna's brother-in-law and therefore well connected, but he was also a skilled, fairly humane officer.
","તે એન્ટોનિયો લોપેઝ દ સાન્ટા અન્નાના ભાભી હતા અને તેથી સારી રીતે જોડાયેલા હતા, પણ તે એક કુશળ, વાજબી માનવીય અધિકારી હતા.
"
"Help will come from brothers and brother-in-law.
","ભાઇ-બહેન પાસેથી મદદ મળશે.
"
"Henry VI was her brother-in-law through her marriage to Edmund Tudor.
","હેનરી છઠ્ઠો એડમન્ડ ટ્યુડર સાથેના તેમના લગ્ન દ્વારા તેમના સાસુ હતા.
"
"Her father was Godwin, an English earl, and mother was Ulf, a sister of Cnut's brother-in-law
","તેણીના પિતા ગોડવિન હતા, ઇંગ્લીશ અર્લ, અને માતા ઉનફ હતા, જે સનટના ભાભીની બહેન હતી
"
"Her husband and brother-in-law were at home sleeping when the incident happened.
","ઘરમાં પિતા અને તેમના પત્ની ઊંઘી રહ્યા હતા ,તે દરમિયાન આ ઘટના બની હતી.
"
"Her husband and brother-in-law, both of whom are head constables in Delhi Police, were suspended on December 28, 2018, for a criminal case involving a colony dispute dating back to 2012 that had been mutually resolved.
","મહિલાના પતિ અને પતિના ભાઈને 28 ડિસેમ્બર 2018એ વર્ષ 2012માં થયેલ એક કોલોનીના ઝઘડા માટે દાખલ કરવામાં આવેલ કેસ ચાલતો હોવાથી સસ્પેન્ડ કરવામાં આવ્યા હતા.
"
"Here I am at my brother-in-law's wedding with my son.
","અહીંતો મારા સાળાના દીકરાના લગ્ન માં આવ્યો છું.
"
"His brother-in-law Thomas told him that he wanted to and that all Jack would have to do is leave the back door of the restaurant unlocked the following night and he would give him 30 percent of the stolen money.
","તેમના ભાભીને થોમસએ તેમને કહ્યું હતું કે તેઓ ઇચ્છતા હતા અને તે તમામ જેકને આવવાનું હતું તે છોડી દેવામાં આવે છે, રેસ્ટોરન્ટના પાછળનો દરવાજો નીચેની રાત્રે અનલૉક કરે છે અને તે તેમને 30 ટકા ચોરાયેલી મની આપે છે.
"
"His brother-in-law ran the London Marathon and raised over £10,000 in his name.
","તેમના ભાઇ લંડન મેરેથોન દોડ્યા અને તેમના નામમાં 10,000 ડૉલર ઊભા કર્યા.
"
"His collaborations with the great Latin musicians, including his brother-in-law Machito, as well as the top bebop musicians such as Dizzy Gillespie, lit the fuse for an explosion of Latin jazz in the 1940s and '50s.
","મહાન લેટિન સંગીતકારો સાથે તેમનો સહયોગ, જેમાં તેમના ભાભી મકિટો સહિત, તેમજ ડીઝી ગીલેસ્પી જેવા ટોચના બિબોપ સંગીતકારોએ 1940 અને 50 ના દાયકામાં લેટિન જાઝના વિસ્ફોટ માટે ફ્યુઝ પ્રગટ કર્યું.
"
"His collaborations with the great Latin musicians, including his brother-in-law Machito, as well as the top bebop musicians such as Dizzy Gillespie, lit the fuse for an explosion of Latin jazz in the s and '50s.
","મહાન લેટિન સંગીતકારો સાથે તેમનો સહયોગ, જેમાં તેમના ભાભી મકિટો સહિત, તેમજ ડીઝી ગીલેસ્પી જેવા ટોચના બિબોપ સંગીતકારોએ 1940 અને 50 ના દાયકામાં લેટિન જાઝના વિસ્ફોટ માટે ફ્યુઝ પ્રગટ કર્યું.
"
"His part consisted of 30 soldiers from the Royal Africa Corps garrisoned at Goree (they were offered extra pay and the promise of a discharge on return), plus officers including his brother-in-law Alexander Anderson, who agreed to join the trip, and four boat builders from Portsmouth who would construct a forty-foot boat when they reached the river.
","તેમના ભાગમાં રોયલ આફ્રિકા કોર્પ્સના 30 સૈનિકોનો સમાવેશ થાય છે, જે ગોરીમાં ઘેરાયેલા છે (તેઓ ઝીણું વળતર ચૂકવવાના વચન અને વળતરની વચન આપે છે), વત્તા તેના સાથી સાથી એલેક્ઝાન્ડર એન્ડરસનનો સમાવેશ થાય છે, જેઓ ટ્રિપમાં જોડાવા માટે સંમત થયા હતા) અને પોર્ટસમાઉથના ચાર બોટ બિલ્ડર્સ, જે નદી પર ચઢતા હતા જ્યારે તેઓ એક હોડી ચલાવતા હતા.
"
"His part consisted of 30 soldiers from the Royal Africa Corps garrisoned at Goree (they were offered extra pay and the promise of a discharge on return), plus officers, including his brother-in-law Alexander Anderson, who agreed to join the trip) and four boat builders from Portsmouth who would construct a 40-foot boat when they reached the river.
","તેમના ભાગમાં રોયલ આફ્રિકા કોર્પ્સના 30 સૈનિકોનો સમાવેશ થાય છે, જે ગોરીમાં ઘેરાયેલા છે (તેઓ ઝીણું વળતર ચૂકવવાના વચન અને વળતરની વચન આપે છે), વત્તા તેના સાથી સાથી એલેક્ઝાન્ડર એન્ડરસનનો સમાવેશ થાય છે, જેઓ ટ્રિપમાં જોડાવા માટે સંમત થયા હતા) અને પોર્ટસમાઉથના ચાર બોટ બિલ્ડર્સ, જે નદી પર ચઢતા હતા જ્યારે તેઓ એક હોડી ચલાવતા હતા.
"
"His widow married Jasper Tudor, Margaret Beaufort's brother-in-law.
","તેના વિધવાએ જાજર ટેડર સાથે લગ્ન કર્યાં, માર્ગારેટ બ્યુફોર્ટનો ભાઇ-બહેન.
"
"Hutchinson still saw John Cotton as a supporter, as well as her brother-in-law John Wheelwright, but had few others among the clergy.
","હચિસન હજી પણ જોહ્ન કોટનને ટેકેદાર તરીકે જોતા હતા, તેમ જ તેમના ભાભીને જોન વ્હીલરાઇટ પણ પાદરીઓ વચ્ચેના કેટલાક અન્ય હતા.
"
"I couldn't understand how my sister or brother-in-law could have come into my room and then returned to their own bed and crawled under the covers in the few seconds it took me to reach the hallway but I figured it had to be one of them since Toby always barks and growls at everybody and everything he doesn't immediately recognize.
","હું સમજી શકતો નથી કે મારી બહેન કે ભાભીને મારા રૂમમાં ક્યાંક આવી શક્યા હોત અને પછી પોતાના પલંગમાં પાછો ફર્યો અને થોડા સેકંડમાં આવરણ હેઠળ આવવાથી મને પરસાળ થવાની તક મળી, પણ મેં જોયું કે તે તેમાંથી એક બનો, કારણ કે ટોબી હંમેશાં બધાને ઉછાળે છે અને તે બધું તરત જ ઓળખી શકતું નથી.
"
"I couldn't understand how my sister or brother-in-law could have come into my room and then returned to their own bed and crawled under the covers in the few seconds it took me to reach the hallway, but I figured it had to be one of them, since Toby always barks and growls at everybody and everything he doesn't immediately recognize.
","હું સમજી શકતો નથી કે મારી બહેન કે ભાભીને મારા રૂમમાં ક્યાંક આવી શક્યા હોત અને પછી પોતાના પલંગમાં પાછો ફર્યો અને થોડા સેકંડમાં આવરણ હેઠળ આવવાથી મને પરસાળ થવાની તક મળી, પણ મેં જોયું કે તે તેમાંથી એક બનો, કારણ કે ટોબી હંમેશાં બધાને ઉછાળે છે અને તે બધું તરત જ ઓળખી શકતું નથી.
"
"I secretly hoped that you become my brother-in-law.
","હું ગુપ્ત આશા હતી કે તમે મારા ભાઇ ઈન કાયદો બની ગયો .
"
"I served an early Christmas dinner for family and friends, and everybody departed by 5 p.m., except my sister and brother-in-law who live with me.
","મેં પરિવાર અને મિત્રો માટે પ્રારંભિક નાતાલની રાત્રિભોજનની સેવા આપી હતી, અને દરેકને મારી સાથે રહેતી મારી બહેન અને ભાભીને સિવાય 5 વાગ્યે વિદાય થાય છે.
"
"I think we should be fighting to eradicate the term brother-in-law from all the world's languages so that it stays just 'brother'.
","મને લાગે છે કે અમે આમ કે તે માત્ર 'ભાઈ ' તરીકે રહે છે શબ્દ ભાઇ ઈન કાયદો વિશ્વના તમામ ભાષાઓ માંથી દૂર ઝુંબેશ જોઈએ.
"
"I think we should campaign to have the word brother-in-law removed from all the languages of the world so that it remains as just 'brother.'
","મને લાગે છે કે અમે આમ કે તે માત્ર 'ભાઈ ' તરીકે રહે છે શબ્દ ભાઇ ઈન કાયદો વિશ્વના તમામ ભાષાઓ માંથી દૂર ઝુંબેશ જોઈએ.
"
"I waited several seconds for my sister or brother-in-law to ask me whatever they came to say, but there was no other sound.
","મેં મારી બહેન અથવા ભાભી માટે કેટલાંક સેકન્ડની રાહ જોવી, તેઓ જે કહેતા હતા તે મને પૂછો, પરંતુ અન્ય કોઈ અવાજ ન હતો.
"
"I was secretly hoping you would become my brother-in-law.
","હું ગુપ્ત આશા હતી કે તમે મારા ભાઇ ઈન કાયદો બની ગયો .
"
"If she is in a marriage, then her husband is your brother-in-law, for all men married to sisters have this name.
","જો તે લગ્ન કરે છે, તો પછી તેનો પતિ તમારા સાસુ છે, કારણ કે બહેનો સાથે જોડાયેલા તમામ પુરુષો પાસે આ નામ છે.
"
"If someone - like your boastful brother-in-law who fancies himself the Mr. Jones with whom everyone is trying to keep up - tells you he is building a genuine Olympic-size pool in his huge backyard, he is either:
","જો કોઈ વ્યક્તિ જેમ કે તમારા ઉત્સાહી ભાઇ સાહેબ જે પોતે જ શ્રી જોન્સને ચાહતા હોય છે, જેની સાથે દરેકને અપર કરવાનો પ્રયાસ કરવામાં આવે છે - તમને કહે છે કે તેઓ તેમના વિશાળ બેકયાર્ડમાં એક વાસ્તવિક ઓલિમ્પિક-કદનું પૂલ બનાવી રહ્યા છે, તે ક્યાં છેઃ
"
"In 1570, Nobunaga attacked his brother-in-law's castle, Odani.
","1570 માં, નોબુનાગાએ પોતાના ભાભીના કિલ્લો ઓડાની પર હુમલો કર્યો.
"
"In 1616, Pocahontas set sail for England with her husband and several Indians: a brother-in-law and some young women, on what was a trip to promote the Virginia Company and its success in the New World and to recruit new settlers.
","1616 માં, પોકાહોન્ટાસ તેના પતિ અને કેટલાક ભારતીયો સાથે ઈંગ્લેન્ડ માટે સઢવાળી હતીઃ વર્જિનિયા કંપનીને પ્રમોટ કરવા અને ન્યૂ વર્લ્ડમાં તેની સફળતા અને નવા વસાહતીઓની ભરતી માટે જે સફર હતી તે અંગેનો એક ભાઇ સાહેબ અને કેટલીક યુવાન સ્ત્રીઓ.
"
"In 1616, pocahontas set sail for england with her husband and several indians: a brother-in-law and some young women, on what was a trip to promote the virginia company and its success in the new world and to recruit new settlers.
","1616 માં, પોકાહોન્ટાસ તેના પતિ અને કેટલાક ભારતીયો સાથે ઈંગ્લેન્ડ માટે સઢવાળી હતીઃ વર્જિનિયા કંપનીને પ્રમોટ કરવા અને ન્યૂ વર્લ્ડમાં તેની સફળતા અને નવા વસાહતીઓની ભરતી માટે જે સફર હતી તે અંગેનો એક ભાઇ સાહેબ અને કેટલીક યુવાન સ્ત્રીઓ.
"
