eng_Latn,guj_Gujr
"""Expressing how Salman was the right choice, director Ali shared, """"I feel that there couldn't be a better choice to play Bharat than Salman because the film is about a father-son relationship and anyone who is aware of Salman and Salim uncle's bond will know how close they are to each other and how much respect is there between them.""""""
","""ડિરેક્ટર અલી અબ્બાસે સલમાનને સાચી પસંદ બતાવતા કહ્યું હતું કે, """"ભારત માટે સલમાન સિવાય બીજો કોઈ સારો વિકલ્પ ન હોઈ શકે કેમ કે ફિલ્મ પિતા-પુત્રના સંબંધ પર આધારિત છે, લોકો એ જાણે જ છે કે સલમાન અને સલીમજી એકબીજા સાથે કેટલા અટેચ્ડ છે.""
"
"""However, Ravi uncle passed away in the morning on September 18, which has left the entire family devastated.""""""
","જોકે, રવિ અંકલ 18 સપ્ટેમ્બરના રોજ સવારે મૃત્યુ પામ્યા હતા, ત્યારબાદ આખો પરિવાર આઘાતમાં છે.
"
"""Lieutenant Colonel Abdullah Momen said, """"On April 16, the suspect Amin (20), with his friend abducted the girl (17) from her uncle's house, and raped her after the mother rejected his marriage proposal to her teen daughter.""""""
","""લેફ્ટનન્ટ કર્નલ અબ્દુલ્લા મોમેને કહ્યુંઃ """"16 મી એપ્રિલના રોજ મુખ્ય આરોપીએ તેના મિત્ર સાથે યુવતીનું અપહરણ કરી તેની સાથે બળાત્કાર ગુજાર્યો હતો, ત્યારબાદ માતાએ તેની કિશોર પુત્રીને લગતા લગ્ન પ્રસ્તાવને નકારી કા .""
"
"""My dad, my uncle ... well, all my uncles.""""""
","""""""ગુડ-બાય, મારા પિતા - સારા, મારા બધા પિતા.""
"
"""Van Gogh failed the exam, and left his uncle Jan """" s house in July 1878.""
","વેન ગો નિષ્ફળ ગયા અને જુલાઇ 1878માં તેમના પિતા જેનનું ઘર છોડી ગયા.
"
"""Washington DC, Dec 4, 2020 - President Donald Trump's niece says her uncle is """"criminal, cruel and traitorous"""" and belongs in prison after he leaves the White House.""
","વોશિંગટનઃ રાષ્ટ્રપતિ ડોનાલ્ડ ટ્રમ્પની ભત્રીજી મેરી ટ્રમ્પે કહ્યું કે, તેમના અંકલને 'અપરાધી, ક્રુર અને વિશ્વાસઘાતી' છે અને વાઇટ હાઉસ છોડ્યા બાદ તેમને જેલ મોકલવા જોઈએ.
"
"""What we know: """"Fraud was not just the family business - it was a way of life,"""" reads the first line of Mary Trump's lawsuit against her uncle Donald.""
","""શું ખબર છેઃ """" ફ્રૉડ એ માત્ર પારિવારિક ધંધો નહોતો- એ જીવવાની એક રીત હતી,"""" આ વાક્ય ડોનાલ્ડ ટ્રમ્પનાં ભત્રીજી મૅરી ટ્રમ્પ દ્વારા દાખલ કેસનું પ્રથમ વાક્ય છે.""
"
"""What we know: """"Fraud was not just the family business -- it was a way of life,"""" reads the first line of Mary Trump's lawsuit against her uncle Donald.""
","""શું ખબર છેઃ """" ફ્રૉડ એ માત્ર પારિવારિક ધંધો નહોતો- એ જીવવાની એક રીત હતી,"""" આ વાક્ય ડોનાલ્ડ ટ્રમ્પનાં ભત્રીજી મૅરી ટ્રમ્પ દ્વારા દાખલ કેસનું પ્રથમ વાક્ય છે.""
"
"""• (march 20) uncle tom's cabin by harriet beecher stowe published, in book form, in boston, selling more than 300,000 copies the first year the book's success in highlighting the evils of slavery prompted abraham lincoln later to say of stowe, """"so this is the little lady who made this great war.""""""
","""• (20 મી માર્ચે) હેરીયેટ બીચર સ્ટોવના અંકલ ટોમ્સની કેબિન , બોસ્ટોનમાં પુસ્તક સ્વરૂપમાં, પ્રથમ વર્ષમાં 300,000 થી વધુ નકલોનું વેચાણ કર્યું હતું - ગુલામીના દુષ્ટતાને હાઈલાઈટ કરવામાં પુસ્તકની સફળતા બાદ, અબ્રાહમ લિંકનને સ્ટોવના કહેવા માટે પૂછવામાં આવ્યું, """" તેથી આ નાની સ્ત્રી જેણે આ મહાન યુદ્ધ કર્યું છે.""
"
"9 month old girl was raped by her uncle in west bengal Howrah.
","પશ્ચિમ બંગાળમાં 9 મહિનાની બાળકી સાથે રેપ, પોલિસે નોંધ્યો કેસ _ 9 month old girl was raped by her uncle in west bengal Howrah.
"
"A lot of families lost a father, a brother, a son or a uncle.
","ઘણાં કુટુંબોએ પિતા, પુત્ર, ભાઇ કે પતિ ગુમાવ્યો છે.
"
"AHMEDABAD: Chandkheda police on Monday lodged an FIR for rape and molestation against a 17-year-old boy based on a complaint filed by the uncle of a 16-year-old girl.
","અમદાવાદઃ 16 વર્ષની છોકરી સાથે રેપ અને છેડતી કરવાના મામલે ચાંદખેડા પોલીસે સોમવારે 17 વર્ષના છોકરા સામે ફરિયાદ નોંધી હતી.
"
"According to the book, Trump said that Kim told me everything, and Kim also told how he murdered his uncle.
","પુસ્તક અનુસાર, ટ્રમ્પે કહ્યુ કે, કિમે મને બધુ જણાવ્યું અને કિમે તે પણ જણાવ્યું કે, તેણે પોતાના સંબંધીઓની કઈ રીતે હત્યા કરી હતી.
"
"Alleging political vendetta, senior advocate A M Singhvi, appearing for Puri, said that two BJP lawmakers joined the ruling Congress party in Madhya Pradesh a few days ago and now the ED wants to arrest him since his uncle is the Chief Minister of the state.
","પુરીના વકીલ એ. એમ. સિંધવીએ રાજનીતિક દુશ્મનીનો આરોપ લગાવતા કહ્યું હતું કે ભાજપના બે ધારાસભ્ય કેટલાક દિવસ પહેલા મધ્યપ્રદેશમાં સતારૂઢ કોંગ્રેસમાં દાખલ થયા હતા અને હવે ઈડી પુરીની ધરપકડ કરવા માંગે છે.
"
"Alleging political vendetta, senior advocate AM Singhvi, appearing for Puri, said that two BJP lawmakers joined the ruling Congress party in Madhya Pradesh a few days ago and now the ED wants to arrest him since his uncle is the Chief Minister of the state.
","પુરીના વકીલ એ. એમ. સિંધવીએ રાજનીતિક દુશ્મનીનો આરોપ લગાવતા કહ્યું હતું કે ભાજપના બે ધારાસભ્ય કેટલાક દિવસ પહેલા મધ્યપ્રદેશમાં સતારૂઢ કોંગ્રેસમાં દાખલ થયા હતા અને હવે ઈડી પુરીની ધરપકડ કરવા માંગે છે.
"
"Among those arrested were the murder victim's parents and uncle.
","મૃતક હતભાગીઓમાં વરરાજાના માતા-પિતા અને દાદીનો પણ સમાવેશ થયો હતો.
"
"Augustus Caesar came to power after his uncle Julius Caesar was assassinated.
","ઓગસ્ટસ સમ્રાટ બન્યા પછી તેમના મરણ બાદના દત્તક પિતા, જુલિયસ સીઝર, હત્યા કરવામાં આવી હતી.
"
"Both Nirav Modi and his uncle Mehul Choksi had left India in the first week of January 2018, a few weeks before the scam was revealed.
","ચોકસી અને નીરવ મોદી બંને જાન્યુઆરી મહિનાના પહેલાં સપ્તાહમાં ભારત છોડી જતા રહ્યા હતા.
"
"Both his uncle and my dad died in their 60s of a heart attack.
","તેમના 60 ના દાયકામાં તે અને તેમના પિતા હાર્ટ એટેકનું મૃત્યુ પામ્યા હતા.
"
"Both my father and my uncle were born in India.
","તારો બાપ અને તેનો બાપ પણ પણ ઈન્ડિયામાં જન્મેલો છે.
"
"By then Abedin's uncle, Januz, had already been jailed for 15 years for taking part in a protest demanding Albanian rights in the part of Yugoslavia that is now Kosovo.
","બીજી તરફ, અંકલ જાનુઝ અગાઉ યુગોસ્લાવિયાના ભાગમાં અલ્બેનિયન અધિકારોની માગણી કરવા વિરોધમાં ભાગ લેવા માટે 15 વર્ષ માટે જેલમાં હતા, જે હવે કોસોવો છે.
"
"C. U. Roman (Chandrasekhar's uncle) won the 1930's Nobel Prize in physics.
","સીવી રમન (ચંદ્રશેખર વેંકટરમન) ને ઈસ 1930માં ભૌતિક ક્ષેત્રમાં નોબેલ પુરસ્કાર મળ્યો હતો.
"
"Caesar was part of the era of roman history known as the republican period, but by his day, a few memorable leaders, not restricted to one class or another, had taken control, defying custom and law, making a mockery of the republican political institutions one of these leaders was his uncle by.
","સીઝર રોમન ઇતિહાસના યુગનો ભાગ હતો, જેને રિપબ્લિકન પીરિયડ તરીકે ઓળખવામાં આવે છે, પરંતુ તેમના દિવસ દ્વારા, કેટલાક યાદગાર નેતાઓ, એક વર્ગ કે બીજા માટે મર્યાદિત નથી, રિપબ્લિકન રાજકીય સંસ્થાઓના ઠેકડા બનાવવા, નિયંત્રણ અને કાયદાનો ભંગ કરતા હતા .
"
"Chief Minister Vijay Rupani is my uncle and police officers are my father's friends, my father is an advocate and a bank director.
","મુખ્યમંત્રી વિજય રૂપાણી મારા માસા છે અને પોલીસ અધિકારીઓ મારા પિતાનાં મિત્રો છે, મારા પિતા એડવોકેટ છે અને બેંકનાં ડિરેક્ટર છે.
"
"Choksi is one of the alleged masterminds of the $2 billion scam in state-run Punjab National Bank and is an uncle of fugitive diamantaire Nirav Modi.
","ચોક્સી પંજાબ નેશનલ બેંકમાં બે અબજ ડોલરના ગોટાળાના કથિત માસ્ટરમાઈન્ડમાંનો એક છે અને તે ભાગેડુ નીરવ મોદીના સંબંધીઓમાંનો એક છે.
"
"Choksi is one of the alleged masterminds of the $2 billion scam in state-run Punjab National Bank and is the uncle of fugitive diamantaire Nirav Modi.
","ચોક્સી પંજાબ નેશનલ બેંકમાં બે અબજ ડોલરના ગોટાળાના કથિત માસ્ટરમાઈન્ડમાંનો એક છે અને તે ભાગેડુ નીરવ મોદીના સંબંધીઓમાંનો એક છે.
"
"During the scenes in which Lil Bit discusses her present-day life as an adult woman, she indicates that she has become dependent on alcohol and on at least one occasion she has seduced a teenage boy, perhaps to have the same sort of control and influence her uncle once possessed over her.
","દ્રશ્યો દરમિયાન કે જેમાં લિલ બિટ તેના હાલના જીવનને પુખ્ત વયની સ્ત્રી તરીકે વર્ણવે છે, તે સૂચવે છે કે તેણી દારૂ પર નિર્ભર બની ગઈ છે અને ઓછામાં ઓછા એક પ્રસંગે તેણે એક કિશોરવયના છોકરાને દુરુપયોગ કર્યો છે, કદાચ તે જ પ્રકારનો નિયંત્રણ અને પ્રભાવ હોવો જોઇએ.
"
"During this lavish celebration, Ranveer Singh's uncle Anil Kapoor and his family were not invited at the wedding.
","આ કપલના લગ્નમાં રણવિર સિંહના અંકલ અનિલ કપુર અને તેમના કુટુંબને આમંત્રણ નહોતું.
"
"During treatment, the uncle died on Thursday evening.
","જ્યાં સારવાર દરમિયાન ગત રોજ ગુરૃવારે સાંજે તેમનું કરૃણ મોત નિપજ્યું હતુ.
"
"Eight-year-old girl raped by 19-year-old uncle
","18 વર્ષની છોકરીએ 19 વર્ષના છોકરા પર ગુજાર્યો બળાત્કાર
"
"Example: a girl, a boy, an uncle, an elephant.
","ઉદાહરણ તરીકેઃ એક પુત્ર, એક બાળક, એક છોકરો, થોડું છોકરો.
"
"Following the information about it, police arrested the girl's brother, uncles and cousins.
","ઘટનાની જાણ થતાં પોલીસે યુવતીની માતા, બહેન અને ભાઈની ધરપકડ કરી હતી.
"
"Grandparents, aunts and uncles and friends may gift directly into 529 accounts or use services such as The Gift of College to purchase gift cards that can be deposited into a child's 529 plan.
","પ્લસ, મિત્રો અને પરિવારના સભ્યો સીધા 529 યોજનામાં ફાળો આપી શકે છે કોલેજબૅક જેવી સેવાઓ રજા અથવા જન્મદિવસ માટે સીધી 529 કોલેજ સેવિંગ્સ પ્લાનમાં ભેટ મોકલવા સરળ બનાવે છે.
"
"Harriet beecher stowe is remembered as the author of uncle tom's cabin, a book which helped build anti-slavery sentiment in america and abroad.
","હેરિયેટ બીચર સ્ટોવને અંકલ ટોમ્સ કેબિનના લેખક તરીકે યાદ કરવામાં આવે છે, જે પુસ્તક અમેરિકા અને વિદેશમાં વિરોધી ગુલામીની લાગણીનું નિર્માણ કરે છે.
"
"Harriet beecher stowe's uncle tom's cabin expresses her moral outrage at the institution of slavery and its destructive effects on both whites and blacks she portrays the evils of slavery.
","હેરિયેટ બીચર સ્ટોવના અંકલ ટોમ્સ કેબિન ગુલામીની સંસ્થામાં તેના નૈતિક અત્યાચાર અને ગોરા અને કાળા બન્ને પર વિનાશક અસરો વ્યક્ત કરે છે.
"
"Hazrat Fatima Zahra (s.a.) entered the house and exclaimed while weeping: 'Alas, my uncle!'
","""હઝરત ફાતેમા (સ. અ.) ઘરમાં પ્રવેશ્યા અને રડતા રડતા બોલ્યા """"અય મારા ચાચા""""""
"
"He dropped out of school at the age of 13 and started working at his uncle's diamond business in Surat.
","તેમણે 13 વર્ષની વયમાં શાળાની શિક્ષા છોડી દીધી અને સૂરતમાં પોતાની ચાચાના ડાયમંડ બિઝનેસમાં મદદ કરવા લાગ્યા.
"
"He failed, and left his uncle Jan's house in July 1878.
","વેન ગો નિષ્ફળ ગયા અને જુલાઇ 1878માં તેમના પિતા જેનનું ઘર છોડી ગયા.
"
"He had great regards and affection for his maternal uncle.
","તેમને તેમની માતા પ્રત્યે અપાર સ્નેહ અને આદર હતો.
"
"He has 10 siblings, 20+ aunts and uncles and over 50 cousins.
","તેમના 10 બાળકો, 20 કરતા પણ વધારે પૌત્ર-પૌત્રીઓ અને 30 કરતા પણ વધારે પ્રપૌત્ર-પ્રપૌત્રીઓ છે.
"
"He is also Antigone's uncle.
","તેમણે એમ પણ ભાઈ એન્ટોન છે.
"
"He married his maternal uncle's daughter Sunanda Katti in 1944.
","તેમણે સુનીલ દત્તની દિકરી નમ્રતા સાથે 1984માં લગ્ન કર્યા હતાં.
"
"He plots to get revenge, but in his obsession with revenge, he drives his sweetheart to madness and suicide, kills her innocent father, and in the final scene poisons and is poisoned by her brother in a duel, causes his mother's death, and kills the guilty king, his uncle.
","તે વેર મેળવવા માટે પ્લોટ્સ છે, પરંતુ વેરથી તેના વળગાડમાં તે ગાંડપણ અને આત્મહત્યા માટે પોતાની પ્રેમિકાને દોરે છે, તેના નિર્દોષ પિતાને મારી નાખે છે, અને અંતિમ દ્રશ્ય ઝેરમાં અને તેના ભાઇ દ્વારા દ્વંદ્વયુદ્ધમાં ઝેર કરવામાં આવે છે, તેની માતાનું મૃત્યુ થાય છે, અને તેની હત્યા કરે છે.
"
"He wanted to join the army as an engineer but his mother wanted him to join Tata Steel Technical Institute, Jamshedpur on his uncle's recommendation.
","તેઓ ભારતીય લશ્કરમાં એન્જિનિયર તરીકે જોડાવા માગતા હતા, પરંતુ તેમના માતાએ તેમને જમશેદપુરની તાતા સ્ટીલ ટેક્નિકલ ઈન્સ્ટિટયૂટમાં જોડાવા સલાહ આપી.
"
"He was living with his parents & paternal uncle.
","તે પોતાના ભાઈ અને ભત્રીજા સાથે રહેતા હતા.
"
"He was the second great grand uncle of John Adams, President of the United States
","તેઓ યુનાઇટેડ સ્ટેટ્સના બીજા પ્રમુખ જૉન એડમ્સના બીજા પિતરાઇ ભાઇ હતા.
"
"Her landlord was also her uncle.
","તેની વાઈફ પણ તેની નાતની હતી .
"
"Her uncle was the Prime Minister of Nepal.
","તેનાં દાદા નેપાળનાં પ્રધાનમંત્રી હતા.
"
"Here my uncle and father were born.
","અહીંયા જ મારો તથા મારા ટ્વીન ભાઈનો જન્મ થયો હતો.
"
"His dad was a farmer; his uncle, a rancher.
","તેમના દાદા એક ખેડૂત હતો, અને તેના પિતા - એક જિલ્લો ડૉક્ટર.
"
"His father Tahir Hussain was a film producer while his uncle Nasir Hussain was a producer-director.
","તેના પિતા તાહિર હુસૈન એક ફિલ્મ નિર્માતા હતા જ્યારે અંકલ નાસિર હુસૈન એક ફિલ્મ નિર્માતા અને નિર્દેશક હતા.
"
"His father and uncle were also doctors.
","મારા દાદા અને તેમના ભાઈઓ પણ ડોક્ટર્સ હતાં.
"
"His father, uncle and grandfather also were in the fire department.
","તેના પિતા, દાદા અને પરદાદા પણ આર્મીમાં હતા.
"
"His maternal uncle took him to his village.
","વડીલમિત્ર એને પોતાને ગામ લઈ ગયા.
"
"His uncle Nasir Hussain was the director.
","તેમના દાદા નાસિર હુસૈન એક પ્રખ્યાત દિગ્દર્શક હતા.
"
"His uncle hadn't come home yet.
","તમારા ભઈ હજુ ઘરે નથી આવ્યા.
"
"His uncle taught him how to play guitar, and he penned his first songs at the age of 15.
","તેમના પિતાએ તેને ગિટાર વગાડવાનું શીખવ્યું હતું અને તેમણે 14 વર્ષની વયે તેમનું પ્રથમ ગીત લખ્યું હતું.
"
"His uncle was a police officer in Mumbai.
","તેના પિતા મુંબઈ પોલીસ દળના માજી કર્મચારી છે.
"
"His uncles and nephews had a good relationship.
","એમના ભાઈ-ભાભી અને સંપતને સારો સંબંધ હતો.
"
"However, Ravi uncle passed away in the morning on September 18, which has left the entire family devastated.
","જોકે, રવિ અંકલ 18 સપ્ટેમ્બરના રોજ સવારે મૃત્યુ પામ્યા હતા, ત્યારબાદ આખો પરિવાર આઘાતમાં છે.
"
"I am the youngest of 10 children and an uncle to 31 nepthews and nieces.
","હું 12 બાળકોમાં સૌથી વૃદ્ધ છું અને 10 નાસીઓ અને ભત્રીજાઓના ડોટિંગ કાકી છું.
"
"I have to go to my uncle's house.
","મારા અન્કલના ઘરે મારે જવું છે.
"
"I loved working with my father and uncle.
","મને તેમની અને તેમના પિતાની સાથે કામ કરવામાં મજા આવી ગઈ.
"
"If your health insurance is tax deductible taking a tax write off for health insurance premiums can have a big impact on how much you owe uncle sam.
","જો તમારું સ્વાસ્થ્ય વીમો કર કપાતપાત્ર છે, તો સ્વાસ્થ્ય વીમા પ્રિમીયમ માટે ટેક્સ રિટ-ઑફ લેવાથી અંકલ સેમ પર તમે કેટલું ગુમાવશો તેના પર મોટી અસર પડી શકે છે.
"
"If your health insurance is tax deductible, taking a tax write-off for health insurance premiums can have a big impact on how much you owe uncle sam.
","જો તમારું સ્વાસ્થ્ય વીમો કર કપાતપાત્ર છે, તો સ્વાસ્થ્ય વીમા પ્રિમીયમ માટે ટેક્સ રિટ-ઑફ લેવાથી અંકલ સેમ પર તમે કેટલું ગુમાવશો તેના પર મોટી અસર પડી શકે છે.
"
"Imran Khan is very close to his maternal uncle Aamir Khan.
","આયરા ખાન પોતાના પિતા આમિર ખાનની ઘણી નજીક છે.
"
"In 2002, Andre DiMera (posing as Tony) claimed that his uncle had died from injuries sustained from a car crash in Monte Carlo.
","2002 માં, આન્દ્રે દીમેરા, તેના પિતરાઈ ટોની તરીકે અભિનય કર્યો, સાલેમ પાછો ફર્યો અને દાવો કર્યો કે સ્ટિફાનો મૉંટર કાર્લોમાં એક કાર અકસ્માતથી ઇજાઓથી મૃત્યુ પામ્યો હતો.
"
"In the film, he will share the screen for the first time with uncle Anil Kapoor.
","આ ફિલ્મમાં તે પહેલીવાર પોતાના પિતા અનિલ કપૂર સાથે સ્ક્રીન શેર કરતી જોવા મળશે.
"
"Kaif's brothers and uncles had played domestic cricket too.
","કૈફના પિતા અને ભાઈ પણ ક્રિકેટ રમતા હતા.
"
"Karan's only one uncle was just a confectioner who used to run a Sweet shop and restaurant at Connaught Place in Delhi.
","કરણના એક જ અંકલ એવા હતા, જે દિલ્હીના કનોટ પ્લેસમાં મીઠાઈની દુકાન ચલાવતા હતા.
"
"Mehul Choksi is one of the alleged masterminds of the $2 billion scam in state-run Punjab National Bank and is an uncle of fugitive diamantaire Nirav Modi.
","ચોક્સી પંજાબ નેશનલ બેંકમાં બે અબજ ડોલરના ગોટાળાના કથિત માસ્ટરમાઈન્ડમાંનો એક છે અને તે ભાગેડુ નીરવ મોદીના સંબંધીઓમાંનો એક છે.
"
"My uncle also loved me very much.
","મારા દાદી પણ મને ખુબ પ્રેમ કરતા હતા.
"
"My uncle has come to take me.
","મારા સર મને લેવા આવતા.
"
"My uncle lived here until his death.
","મારા દાદા તેમના મૃત્યુ સુધી અહીં જ રહેતા હતા.
"
"My uncles live there.
","મારા કઝીન્સ ત્યાં રહે છે.
"
"NEW DELHI: Proving that a girl had been raped by her uncle, two years after the crime, would have been very difficult, but a Delhi trial court relied on the child's crayon sketches to convict the accused and award him five years in jail.
","રેપ થયાના બે વર્ષ પછી આરોપ સાબિત કરવા અઘરી વાત છે, પણ દિલ્હીની ટ્રાયલ કોર્ટે એક નાનકડી છોકરીના ક્રેયોનથી બનાવેલ સ્કેચ પરથી આરોપીને ગુનેગાર જાહેર કર્યો હતો અને તેને પાંચ વર્ષની જેલની સજા પણ સંભળાવી હતી.
"
"On January 14, 2017, the Income Tax Department searched Modi's firms and surveyed companies owned by his maternal uncle Choksi.
","આવકવેરા વિભાગે ૧૪ જાન્યુઆરી,૨૦૧૭ના રોજ મોદીની કંપનીઓની તપાસ કરી હતી અને ચોક્સીની કંપનીઓનો સરવે કર્યો હતો.
"
"Police later arrested the child's uncle.
","જે બાદ પોલીસે પિતા-પુત્રની ધરપકડ કરી હતી.
"
"President Donald Trump's niece Mary Trump has said her uncle is 'criminal, cruel and treacherous' and should be sent to prison after leaving the White House.
","વોશિંગટનઃ રાષ્ટ્રપતિ ડોનાલ્ડ ટ્રમ્પની ભત્રીજી મેરી ટ્રમ્પે કહ્યું કે, તેમના અંકલને 'અપરાધી, ક્રુર અને વિશ્વાસઘાતી' છે અને વાઇટ હાઉસ છોડ્યા બાદ તેમને જેલ મોકલવા જોઈએ.
"
"President Donald Trump's niece says her uncle is 'criminal, cruel and traitorous' and belongs in prison after he leaves the White House.
","વોશિંગટનઃ રાષ્ટ્રપતિ ડોનાલ્ડ ટ્રમ્પની ભત્રીજી મેરી ટ્રમ્પે કહ્યું કે, તેમના અંકલને 'અપરાધી, ક્રુર અને વિશ્વાસઘાતી' છે અને વાઇટ હાઉસ છોડ્યા બાદ તેમને જેલ મોકલવા જોઈએ.
"
"Proving that a girl had been raped by her uncle, two years after the crime, would have been very difficult, but a Delhi trial court relied on the child's crayon sketches to convict the accused and award him five years in jail.
","રેપ થયાના બે વર્ષ પછી આરોપ સાબિત કરવા અઘરી વાત છે, પણ દિલ્હીની ટ્રાયલ કોર્ટે એક નાનકડી છોકરીના ક્રેયોનથી બનાવેલ સ્કેચ પરથી આરોપીને ગુનેગાર જાહેર કર્યો હતો અને તેને પાંચ વર્ષની જેલની સજા પણ સંભળાવી હતી.
"
"Raj Kapoor and his uncle Trilok Kapoor were born in this mansion.
","રાજ કપુર અને ત્રિલોક કપુર આ હવેલીમાં જન્મ્યા હતા.
"
"She was six years old when her uncle, King Edward VIII, abdicated, and her father became king.
","જ્યારે તેણી છ વર્ષની હતી, એડવર્ડ આઠમો શાહી શક્તિ પદભ્રષ્ટ, અને તેના પિતા સિંહાસન લીધો હતો.
"
"Sir, My uncle has four daughters and a son.
","સાહેબ, મારે ચાર પુત્રી અને એક પુત્ર છે.
"
"Some people mention him as his brother, uncle.
","અમુક લોકો તેને પોતાનો ભાઈ, આન્ટી જણાવી રહી છે.
"
"Soon after the emergence of the PNB fraud and perpetrator Modi and his uncle Choksi fleeing the country, the Finance Ministry asked public sector banks (PSBs) to collect passport details of all those borrowers who have borrowed loans of more than Rs 50 crore.
","પીએનબી કૌભાંડ બહાર આવ્યું અને નિરવ મોદી તથા મેહુલ ચોક્સી દેશ છોડીને ભાગી ગયા પછીથી નાણા મંત્રાલયે જાહેર ક્ષેત્રની બેન્કોને 50 કરોડ રૂપિયાથી વધુની લોન લેનારા તમામ લોકોના પાસપોર્ટની વિગતો મેળવવા આદેશ કર્યો હતો.
"
"Soon after the emergence of the PNB fraud and perpetrator Modi and his uncle Choksi fleeing the country, the Finance Ministry asked public sector banks (PSBs) to collect passport details of all those borrowers who have borrowed loans of more than ₹50 crore.
","પીએનબી ફ્રોડ સામે આવ્યા પછી અને તેમાં સામેલ નીરવ મોદી અને મેહુલ ચોકસી દેશમાંથી નાસી ગયા બાદ નાણાં મંત્રાલયે સરકારી બેન્કોને એ તમામ ઉધાર લેનારાઓની પાસપોર્ટ વિગતો જમા કરવા કહ્યું છે, જેમણે 50 કરોડ રૂપિયાથી વધુનું ઉધાર લીધું છે.
"
