eng_Latn,guj_Gujr
"He lost his grandmother & both parents last year & lives with his wife, a homemaker & they're expecting their 1st child.
","તેઓએ પોતાના માતા-પિતાને ગત વર્ષ ગુમાવી દીધા હતા અને પોતાની પત્ની સાથે રહે છે અને હજી પણ તેઓ પોતાના પ્રથમ સંતાનની રાહ જોઈ રહ્યા છે.
"
"He lost his grandmother and both parents last year, and lives with his wife, a homemaker, and they are expecting their first child.
","તેઓએ પોતાના માતા-પિતાને ગત વર્ષ ગુમાવી દીધા હતા અને પોતાની પત્ની સાથે રહે છે અને હજી પણ તેઓ પોતાના પ્રથમ સંતાનની રાહ જોઈ રહ્યા છે.
"
"Her grandmother and mother had both been in care.
","તેમના માતા બંનેની સાર સંભાળ રાખતા હતા.
"
"Her grandmother died the same year.
","એ જ વર્ષે તેના દાદા મૃત્યુ પામે છે.
"
"Her grandmother opens the door.
","તેની મમ્મી દરવાજો ખોલે છે.
"
"Her grandmother was hospitalized in serious condition.
","તેની માતાએ તેને ગંભીર હાલતમાં હોસ્પિટલમાં ભરતી કરી હતી.
"
"Her maternal grandmother was a famous dancer and model Protima Bedi.
","તેની મમ્મી જાણીતી મૉડલ અને ઑડિસી પ્રતિપાદક પ્રોતિમા બેદી છે.
"
"Her mother and grandmother also had mental illness.
","તેની મા અને માસીને પણ આવી બિમારી હતી.
"
"Her mother and grandmother had also had the disease.
","તેની મા અને માસીને પણ આવી બિમારી હતી.
"
"Her mother and grandmother were inside the house.
","છોકરીની મમ્મી અને માસા ઘરની અંદર ગયા હતા.
"
"Her mother and my grandmother knew each other.
","તેમનાં પત્ની અને મારી માતાજી એકમેકને ઓળખતાં હતાં.
"
"Her mother died of breast cancer, as did her grandmother.
","તેણે તેના માતા તરીકે અંડાશયના કેન્સર મૃત્યુ પામ્યા હતા, તેમજ.
"
"His father is in jail and he lives with his grandmother.
","તેના પિતા જેલમાં છે અને તે માતા સાથે એકલી રહે છે.
"
"His grandmother on his father's or mother's side ?
","શું તેણી તમારી માતાની માતા અથવા પિતાની બાજુ પર છે?
"
"His grandmother was a Bengali singer.
","તેમના દાદા બંગાળાના વિખ્યાત ગાયક હતા.
"
"His grandmother was present at the birth.
","તેણીના પિતા જન્મ સમયે હાજર હતા.
"
"His grandmother's support has helped him move forward.
","તેના વડીલે તેને આગળ વધવામાં મદદ કરી હતી.
"
"His mother and grandmother had also suffered from the disease.
","તેની મા અને માસીને પણ આવી બિમારી હતી.
"
"However, in 1967 elections, Nehru's daughter and Rahul's grandmother Indira Gandhi was able to get 283 seats out of total 520 seats.
","જો કે તેમ છતાં 1967ની ચૂંટણીમાં જવાહરલાલ નેહરૂના દિકરી ઇન્દિરા ગાંધીને 520 બેઠકમાંથી 282 પર જીત પ્રાપ્ત થઇ.
"
"I am hoping that in the next year or so I become a grandmother.
","મને આશા છે કે આગામી વર્ષ સુધી હું દાદા બની જઇશ.
"
"I am thankful for my grandmother as well.
","હું મારી માતાનો પણ ઘણો આભારી છે.
"
"I didn't see my grandmother.
","મે મારા દાદાને જોયા નથી.
"
"I hope to be a grandmother in the next year.
","મને આશા છે કે આવતા વર્ષ સુધીમાં હું દાદા બનું.
"
"I was also raised to give back and I'm honoring my grandmother by giving a portion of my sales to their charities for to cancer research and helping families in need of aid for treatments.
","મેં પાછા આપવા માટે પણ ઉઠાડવામાં આવ્યું હતું અને મેં મારા દાતાને ભેગા કરી રહી છે કે કેન્સરના સંશોધન માટે તેમના કાયદાઓમાં મારા વેચાણનો ભાગ આપી અને પરિવારોને સારવાર માટે મદદ કરવાની જરૂર છે.
"
"If the riddle of the book is very pleasant, the child will want to learn it by heart and tell the grandmother, grandfather, teacher and friends in the kindergarten or school with an expression.
","જો પુસ્તક રહસ્ય ખૂબ આહલાદક છે, બાળક અને હૃદય દ્વારા તે જાણવા માંગે છે, બાલમંદિરમાં અથવા શાળામાં ગ્રેની, દાદા, શિક્ષણવિદ અને મિત્ર કહી એક નજર સાથે.
"
"Isn't my grandmother home?
",". . મમ્મી નથી ઘરે?
"
"Julie's grandmother died of breast cancer.
","જૂલિયનની માતાનુ મૃત્યુ બ્રેસ્ટ કેન્સર ના કારણે થયુ હતુ.
"
"Little grew up with his parents and maternal grandmother who also took care of him because she loved him very much.
","તેના માતાપિતા અને માતૃત્વ સાથે નાના થયા હતા, જેમણે તેમની સંભાળ લીધી હતી કારણ કે તેણી તેમને ખૂબ જ પ્રેમ કરતા હતા.
"
"Little grew up with his parents andmaternal grandmother who also took care of him because she loved him very much.
","તેના માતાપિતા અને માતૃત્વ સાથે નાના થયા હતા, જેમણે તેમની સંભાળ લીધી હતી કારણ કે તેણી તેમને ખૂબ જ પ્રેમ કરતા હતા.
"
"Maternal grandmother had ovarian cancer at age 50 and died from the disease.
","અવાનની માતાને બ્રેસ્ટ કેન્સર હતું અને તે 51 વર્ષની વયે અવસાન પામ્યો હતો.
"
"Me and my grandmother were always very close.
","હું અને મારી મમ્મી હંમેશા ખૂબ નજીક હતા.
"
"Modi will continue to speak of such matters from 20 and 40 and 60 years ago, making the Congress president responsible for the mistakes (real or alleged) of his father, grandmother, and great-grandfather, while preempting discussion of the prime minister's own mistakes now.
","મોદી સતત આ ૨૦, ૪૦ અને ૬૦ વર્ષ જૂની ઘટનાઓની ચર્ચા કર્યા જ કરશે અને આ ભૂલો (સત્ય અથવા કથિત) માટે કોંગ્રેસ અધ્યક્ષ રાહુલ ગાંધીને જવાબદાર ગણાવ્યા કરશે અને સાથે તેમનાંના દાદા અને પરદાદાનો પણ ઉલ્લેખ કરશે.
"
"Mother and grandmother of the bride holding hands.
","યુવતીની લાશના હાથ મસળી રહેલા માતા અને મોટી બહેન.
"
"My grandmother and grandfather live in India.
","મારા દાદા અને તેમના ભાઈ ભારતમાં રહ્યા.
"
"My grandmother and my sister were happy to see me.
","મારી મમ્મી અને મોટાઈ મને જોઈ ખુશ થયા.
"
"My grandmother and two great-aunts
","મારા દાદા અને બે બળદો
"
"My grandmother didn't say.
","મારી માએ ના કહી દીધી.
"
"My grandmother died after a long illness.
","લાંબી બિમારી બાદ મારા સસરાનું મૃત્યુ થયું.
"
"My grandmother gave birth to my mother under very difficult circumstances.
","ઘણી મુશ્કેલ પરિસ્થિતિઓમાં મારી માતાએ મારો ઉછેર કર્યો છે.
"
"My grandmother is 81 years old.
","આપણા દાદા 81 વર્ષના છે.
"
"My grandmother is nearly 100 years old.
","મારી માતા લગભગ 100 વર્ષની છે.
"
"My grandmother lived in the village.
","મામા ગામમાં જ રહેતા.
"
"My grandmother lives in Canada.
","મારી માતા કેનેડામાં રહે છે.
"
"My grandmother told me that herself.
","આ વાત મારી મમ્મીએ પોતે મને કહી છે.
"
"My grandmother was a very loving and caring person.
","મારી મા ખૂબ પ્રેમાળ અને કાળજી લેનારી મહિલા હતી.
"
"My grandmother was good.
","મામા તો સારા હતા.
"
"My grandmother was married at 14 and had three children by age 17.
","મારી માતાએ 17 વર્ષની ઉંમરે લગ્ન કરી લીધા હતા, અને 23 વર્ષની ઉંમરે 3 બાળકોની માતા હતી.
"
"My grandmother was very kind and loving.
","મારી માતા ખૂબ જ પ્રકારની અને પ્રેમાળ હતી.
"
"My grandmother worked inside the home.
","મમ્મી અંદર કામ કરતી હતી.
"
"My grandmother's parents:
","માતૃ દાદાના પિતાઃ
"
"My grandmothers lived through both World Wars.
","મારા દાદા બંને વિશ્વ યુદ્ધો દ્વારા રહેતા હતા.
"
"My mother and I in my grandmother house.
","મારા ઘરમાં હું અને મારા મમ્મીજ છીએ.
"
"My mother and grandmother are both very strong women.
","મને અને મારી માતા બંને મજબૂત લોકો છે.
"
"My mother and grandmother firmly believe in this.
","મારી મમ્મી અને બહેનને તેના પર વિશ્વાસ છે.
"
"My mother and grandmother hovered around me.
","મારી માતા તથા નર્સ મારી આસપાસ ફરતા રહેતા હતા.
"
"My mother and grandmother were happy.
","મામા અને મામી ખુબજ ખુશ હતાં.
"
"My mother did this for my grandmother.
","આ મારા દાદાએ મારી માતાની ડોલ્સ માટે કર્યું હતું.
"
"My mother, father, grandmother, grandfather.
","હું, પિતા, માતા, દાદા ફ્રોસ્ટ.
"
"My parents sat in the front, while my grandmother sat with me in the back.
","મમ્મી-પપ્પા પાછળની સીટ પર બેઠા, જ્યારે દાદા મારી સાથે આગળ ગોઠવાયા.
"
"One day his grandmother became very ill.
","એક દિવસ મામા ખૂબ અકળાયા હતા.
"
"One day me and my brother and grandmother was alone at home.
","'એક દિવસ હું અને મારો મોટો ભાઈ ઘરે એકલા હતા.
"
"One for my daughter and the other for my grandmother.
","એક તરફ મારી દીકરી અને બીજા મારા બા.
"
"Polly Eppes died in 1804, while Jefferson was president; like her mother and maternal grandmother, she died shortly after giving birth.
","પોલી એપપ્સનું મૃત્યુ 1804 માં થયું હતું, જ્યારે જેફરસન પ્રમુખ હતા; તેણીની માતા અને માતૃત્વની જેમ, તેણી જન્મ આપ્યાના થોડા સમય બાદ મૃત્યુ પામી.
"
"She acquired her first music knowledge from her parents and grandmother.
","તેમણે સંગીતનું પ્રારંભિક જ્ઞાન તેમના પિતા અને બહેન પાસેથી મેળવ્યું હતું.
"
"She was a neighbor of my grandmother.
","તે મામાનો પાડોશી હતો.
"
"She was the first wife of Kim Il Sung, the mother of Kim Jong Il and Kim Jong Un's grandmother.
","તેઓ ઉત્તર કોરિયાના પ્રથમ શાસક કિમની પત્ની અને જોંગ ઈલના માતા હતાં.
"
"That's how my grandmother taught me!
","આ તો મને મારી વહુએ શીખવાડ્યું છે!
"
"The boy was taken to his grandmother's home.
","છોકરો તેમના દાદા હાઉસ ઓફ માં લાવવામાં આવી હતી.
"
"The child was taken to his grandmother's home.
","છોકરો તેમના દાદા હાઉસ ઓફ માં લાવવામાં આવી હતી.
"
"The grandmother must be around 80 years old.
","મમ્મીની ઉંમર હશે આશરે ૮૦ વર્ષની.
"
"There is a very special bond between a grandchild and grandmother.
","દાદા અને પૌત્રી વચ્ચે ખાસ બોન્ડિંગ જોવા મળે છે.
"
"They've become grandmothers.
","તેઓ દાદા બન્યાં છે.
"
"This chicken soup is my grandmother's recipe.
","આ કેળા કપકેક મારા દાદાની રેસીપી છે .
"
"We don't know who the grandmother is.
","માદા દાદા કોણ હતાં તે નથી ખબર.
"
"What is the relationship between your great grandmother's brother and you?
","તારા અને તારા મોટો ભાઈના સંબંધો કેવા છે?
"
"When her parents separated, the child continued to live with her mother and grandmother.
","જ્યારે માતા-પિતા છૂટાછેડા, છોકરો તેની માતા અને સાવકા પિતા સાથે રહેતો હતો.
"
"grandmother came over to the house.
","દાદા ઘરે પહોંચ્યા.
"
"my grandmother's parents:
","માતૃ દાદાના પિતાઃ
"
"specifically, his grandmother.
","ખાસ તો તેના દાદાજી.
"
"When the girl went home and informed her grandmother about the matter, she lodged the complaint with the police station.
","જે અંગની જાણ ઘરે જઈને યુવતીએ તેની માતાને કરતા ઉમરા પોલીસ મથકે તેમની ફરિયાદ નોંધાવી હતી.
"
"British actress Eileen Essel was invited to the black comedy ""Duplex"" for the role of a cunning grandmother - Mrs. Connelly.
","શ્રીમતી કોનેલી - બ્રિટિશ અભિનેત્રી ઐલિન એસ્સેલ બ્લેક કોમેડી ""ડુપ્લેક્સ"" એક ઘડાયેલું ગ્રાન્ડમા ભૂમિકા પર લેવા માટે આમંત્રિત કરવામાં આવી હતી.
"
"And, a new grandmother!
","અને, નવો જન્મ ધારણ કરે છે!
"
"The boy's mother, grandmother and brother also sustained injuries in the incident.
","આ દુર્ઘટનામાં માતા, પુત્ર અને ભાણેજના ઘટનાસ્થળે જ મોત નીપજ્યાં હતાં.
"
"The Gwalior royal’s grandmother, Vijaya Raje Scindia, was a leader of the Jana Sangh, the BJP’s precursor.
","ગ્વાલિયરના રાજમાતા વિજયારાજે સિંધિયા જનસંઘના નેતા હતા.
"
"“I saw my grandmother in action.
","’મેં મારી મમ્મીને કામ કરતાં જોઇ હતી.
"
"Priyanka has always been compared to her grandmother, Indira Gandhi.
","પ્રિયંકાની તુલના હંમેશાં ઈન્દિરા ગાંધી સાથે કરવામાં આવે છે.
"
"A household usually comprised grandfather and grandmother, their sons and their wives, unmarried daughters, and their sons’ children.
","સ્ત્રી કર્મચારીના પરિવારમાં પતિ, બાળકો, વાલીઓ, સાસુ સસરા અને પુત્રની વિધવા તથા બાળકોનો સમાવેશ થાય છે.
"
"""My grandmother asked, 'Why are you crying?
","સાસુએ પૂછ્યું : 'અલ્યા એય રડે છે કાં ?
"
"But grandmother didn't know her.
","પરંતુ તેની માતાને ખબર જ નથી.
"
"Where was your grandmother?
","તારી ભાભી કયાં ગઇ?
"
"The girl was staying with her grandmother.
","છોકરી બહેન-બનેવી સાથે રહેતી હતી.
"
"Her grandmother (Saif’s mom) Sharmila Tagore is a veteran actress.
","સૈફના માતા શર્મિલા ટાગોર પોતાના સમયના બહેતરીન અભિનેત્રી હતાં.
"
"Alice was the mother of Prince Philip, who is married to Queen Elizabeth, William's grandmother.
","પ્રિન્સ ફિલિપનાં માતા રાજકુમારી ઍલિસ લૉર્ડ લુઇસ માઉન્ટબેટનના પુત્રી અને મહારાણી વિક્ટોરિયાનાં પપૌત્રી હતાં.
"
"My maternal grandmother was British.
","બબીતાની માતા બ્રિટિશ ક્રિશ્ચિયન હતી.
"
"And about your grandmother?
","તમારા વૃદ્ધ માતા વિષે શું?
"
"A daughter, her mother and grandmother.
","એક પુત્રી, એક વહુ અને માતા.
"
"The senior BJP leader also scoffed at Priyanka Gandhi's resemblance with her grandmother and former prime minister Indira Gandhi.
","કોંગ્રેસના વરિષ્ઠ નેતા શત્રુઘ્ન સિન્હાએ પ્રિયંકા ગાંધીની સરખામણી દેશના પૂર્વ વડાપ્રધાન ઈન્દિરા ગાંધી સાથે કરી છે.
"
"Currently at home, it consists of my mother, father, younger sister, and grandmother.
","અમારા ઘરમાં અત્યારે તો મારા બા-દાદ, મમ્મી-પપ્પા, મારો ભાઇ અમે બધાં સાથે રહીએ છીએ.
"
"The victim lived with her uncle and grandmother.
","પીડિતા તેના માતાપિતા અને ભાઈ સાથે રહેતી હતી.
"
"A victim’s grandmother has also been arrested in this case.
","આ કેસમાં મૃતકના સસરાની પણ ધરપકડ કરવામાં આવી છે.
"
"But his father tells him to go back to his grandmother.
","પણ પિતાના કહેવાથી તે પાછી પોતાના સાસરીએ જતી રહેતી હતી.
"
"When the girl went home and informed her grandmother about the matter, she lodged the complaint with the police station.
","જે અંગે સગીરાએ ઘરે આવી માતાને જાણ કરતા વાડજ પોલીસ મથકે મામલો પહોંચ્યો હતો.
"
"""What are you, grandmother!
","“ તારે શું કામ છે બહેન !
"
"And what did my grandmother do?
","અને તેની માતાએ શું કર્યું?
"
"According to reports, Dharmendra and Jaya Bachchan will be seen as Alia’s grandparents and Shabana will be seen as Ranveer’s grandmother in the film.
","ફિલ્મ સાથે સંકળાયેલ સુત્રના જણાવ્યા મુજબ, ફિલ્મમાં ધર્મેન્દ્ર અને શબાના આઝમી આલિયાના ગ્રાન્ડપેરેન્ટ્સના રોલમાં જોવા મળશે.
"
"Betty is the mother of two sons and one daughter, and the grandmother of five.
","પુત્રવધૂ બે સંતાનની માતા છે, જ્યારે કાકા સસરાને પાંચ સંતાનો છે.
"
"""My grandmother asked, 'Why are you crying?
","વિદ્યાસાગરે તેને પૂછયું, “માજી, તમે કેમ રડો છો ?
"
"What do our grandmothers say?
","અમારા કાકાજી કૈવા માણુસ ?
"
"Where was your grandmother?
","કયાં ગઈ તારી મિષ્ટ માયા?
"
"Or an old grandmother?
","અથવા તે જૂની ઉપદ્રવને છે?
"
"” The baby has been named Lilibet after her great grandmother, Queen Elizabeth.
","બાળકનું પહેલું નામ 'લિલિબેટ' મહારાણી એલિઝાબેથને પ્રેમથી બોલાવવામાં આવનાર નામ છે.
"
"“Both my mother and grandmother were married at 14,”she says.
","મંજુએ કહ્યું, મારી માતાની 14 વર્ષની ઉંમરે પિતા સાથે લગ્ન થયા.
"
"Both my grandmothers and my mother are great cooks.
","મારી માતા અને કાકી ખૂબ સારી રીતે રાંધે છે.
"
"Subsequently, the grandmother of the girl lodged a complaint with the police.
","ત્યાર બાદ આ મામલે સગીરાના માતાએ ચકલાસી પોલીસ સ્ટેશનમાં ફરિયાદ કરી હતી.
"
"A woman is a daughter, sister, niece, wife, mother, aunt, stepmother, and grandmother.
","સ્ત્રી એક માતા, એક બહેન, એક દીકરી, એક પત્નીની છે.
"
"My mother, father and my grandmother were with me.
","મા, બાપ અને બહેન જતે આવ્યાં હતાં.
"
"Her family consisted of parents, a grandmother and a younger sister.
","તેના સાસરિયાઓમાં તેની સાસુ, સસરા, જેઠ સહિતના લોકો હતા.
"
"After the death of her father, she has lived with her grandmother.
","તેના માતા-પિતાના મૃત્યુ બાદ તે તેના માસીયાઇ ભાઇ સાથે રહેતો હતો.
"
"He also spoke disparagingly about Priyanka Gandhi's resemblance with her grandmother and former prime minister Indira Gandhi.
","આમાં તેમણે ફરી એક વખત કોંગ્રેસના મહાસચિવ પ્રિયંકા ગાંધીની તુલના પૂર્વ વડાપ્રધાન ઈન્દિરા ગાંધી સાથે કરી.
"
"Becoming a grandmother isn’t always as easy.
","સાસુ બનવું એ કાંઈ સહેલી વાત નથી.
"
"The Congress had also referred to the assassination of former prime ministers Rajiv Gandhi and Indira Gandhi -- Rahul's father and grandmother respectively -- in the letter.
","કોંગ્રેસે તેના પત્રમા ઇંદિરા ગાંધી અને રાજીવ ગાંધીની હત્યાનો પણ ઉલ્લેખ કર્યો.
"
"He lives with his grandmother and elder brother.
","તે મોટાભાઇ સાથે રહે છે અને નિવૃત જીવન જીવે છે.
"
"After the death of his parents, he lived with his grandmother.
","તેના માતા-પિતાના મૃત્યુ બાદ તે તેના માસીયાઇ ભાઇ સાથે રહેતો હતો.
"
"Also I’m a proud grandmother of two beautiful children.
","હું બે તરુણ દીકરીઓનો પિતા પણ છું.
"
"And she learnt it from my grandmother.
","એ હું મારી સાસુ પાસેથી શીખી છું.
"
"A few days later my grandmother died.
","થોડા સમય પછી મારા દાદાજીનું અવસાન થયું.
"
"Rishi Kapoor and Neetu Kapoor’s daughter Ridhima also posted a tribute to her grandmother.
","નીતુ અને ઋષિ કપૂરની પુત્રી રિદ્ધિમાએ પણ સિમર માટે એક પોસ્ટ લખી હતી.
"
"A Mother and grandmother.
","મધર અને સાવકી મા.
"
"He’d only known his maternal grandmother as an old woman.
","તેનેકાઈ પણુ વરતુને જાણુતો હોય, તો કેવળ પોતાની વૃદ્ધા માતાને જણુતો હતો.
"
"thankful for my grandmother, my mother, my dad, my sisters, my grandpa, Clark School and my friends.
","મારી મમ્મી, બહેન, ભાઈ, મારા ફ્રેન્ડ્સ અને મારા દીકરા અને મારી સૅન્ટા ક્લૉઝ લિઝેલનો હું આભાર માનું છું.
"
"The child was living with her uncle and grandmother since childhood.
","ત્યારથી આ સગીર તેના બા અને ફોઈ સાથે જ રહેતો હતો.
"
"Both grandmothers were at one time teachers.
","માતા પીતા બંને શિક્ષકો હતા.
"
"Where is my grandmother?
","મારા માતાજી સમાન શેઠાણી કયાં છે ?
"
"He had regularly been visiting his grandmother’s house.
","અવાર નવાર તે તેના પિતાના ઘરે આવતો જતો રહેતો હતો.
"
"Her grandfather, says she, was a Muslim and grandmother a Hindu.
","તેના પિતા મુસ્લિમ અને માતા હિંદુ હોવાથી તે આ મુજબ માને છે.
"
"Currently I live with cousin, grandmother and parents of course.
","હાલમાં સાયપર માતા-પિતા-ભાઇ-બહેનો સાથે રહુ છું.
"
"Like your mother and your grandmother.
","અને તને પણ, તારી માતા અને તારી કાકીની જેમ,
"
"Both her mother and her maternal grandmother had had the disease.
","તેની મા અને માસીને પણ આવી બિમારી હતી.
"
"Shahid Kapoor and Ishaan Khatter's maternal grandmother and Neelima Azeem's mother Khadija Azeem passed away recently.
","અભિનેતા શાહિદ કપૂર અને ઇશાન ખટ્ટરની માતા નીલિમા અઝીમે હાલમાં જ તેના નિષ્ફળ લગ્ન વિશે વાત કરી હતી.
"
"But grandmother's recipes are usually very cheap.
","પરંતુ ગ્રાન્ડમા વાનગીઓ સામાન્ય રીતે તદ્દન સસ્તુ કિંમત છે.
"
"” The baby has been named Lilibet after her great grandmother, Queen Elizabeth.
","બાળકનું પહેલું નામ ‘લિલિબેટ’ મહારાણી એલિઝાબેથને પ્રેમથી બોલાવવામાં આવનાર નામ છે.
"
"The child’s grandmother has been arrested in connection with the crime.
","બાળકી પર દુષ્કર્મ કરવાના કેસમાં બાળકીના પિતરાઇ ભાઇની ધરપકડ કરાઇ છે.
"
"Are you a grandmother?
","તું મા તો છે જ ને?
"
"The child lives with his grandmother.
","બાળક પોતાની માના પરિવાર સાથે રહે છે.
"
"Where was your grandmother?
","પરન્ગું ભાભી કયાં હતી ?
"
"A similar case happened to my grandmother.
","મારી માસી સાથે પણ કંઈક એવું જ બન્યું છે.
"
"“T’ve known your grandmother ever since I was a little girl.
","“તારી મમ્મીને હું બહુ નાનપણથી ઓળખું છું.
"
"""I asked my grandmother: 'Who does this belong to?
","મૅ આનુમ્માને પૂછયું : “આ બકરી કોની છે?
"
"The child was left with her grandmother.
","બાળકીને તેની માસી પાસે છોડી આવી હતી.
"
"After that, we went to my grandmother's sister's house.
","પછી આપણા ભાઈ-બહેન સંગાથે જવાનું મામાના ઘરે.
"
"Basically in the family mother, father, grandfather, grandmother, uncle, aunty, brother, sister, daughter and son are the members of the family.
","પરિવારના સદસ્યોમાં માતા, પિતા, ભાઈ, બહેન, પુત્ર, પુત્રી અને પત્ની સામેલ છે.
"
"""My grandmother doesn't know yet.
","‘પપ્પા તમને હજી ખબર નથી.
"
"Maya lives with her grandmother.
","માયા એ બખહ્મની સાથે રહે છે.
"
"After that, I went to live with my grandmother.
","ત્યારબાદ હું મારી સાવકી મા સાથે રહવે લાગી.
"
"Women self-help groups, elderly ladies, grandmothers, aunts etc. take care of its maintenance from time to time.
","મહિલા સ્વ-સહાય જૂથો, વૃદ્ધ માતા, કાકી, વગેરે સમયાંતરે આ છોડનું નીંદણ કરે છે.
"
"His younger sister went to their maternal grandmother’s house.
","તેની પુત્રી ભાભીના ઘરે ગઈ હતી.
"
"“But I knew my grandmother.
","” પણ હું મારા પપ્પાને સારી રીતે ઓળખું છું.
"
"Sonam Kapoor's maternal grandmother and Ranveer Singh's paternal grandfathers are siblings.
","સોનમ કપૂરના માતા સુનિતા કપૂર અને રણવીરસિંહના દાદા ભાઈ-બહેન હતા.
"
"He had come to the grandmother’s home.
","તે સખુના ઘરમાં આવ્યા.
"
"A grandmother, mother, and two kids live there.
","ઘરમાં માતા, પત્ની અને બે બાળકીઓ છે.
"
"MUMBAI: Bollywood actor Raveena Tandon is all set to become a grandmother soon.
","મુંબઈ: બોલિવૂડ એક્ટ્રેસ રવિના ટંડન ટૂંક સમયમાં વેબસિરીઝમાં કામ કરતી જોવા મળી શકે છે.
"
"After his mother's death, he lived with his grandmother.
","તેના માતા-પિતાના મૃત્યુ બાદ તે તેના માસીયાઇ ભાઇ સાથે રહેતો હતો.
"
"A dutiful and dedicated wife, mother, grandmother, great-grandmother, sister, aunt and friend; she was loving kindness personified.
","ત્ો ઉમદૃા માતા છે, સ્ન્ોહાળ બહેન છે, સમર્પિત પત્ની છે, મામી, માસી, ફોઇ, દૃાદૃી તથા જીવન ઉધ્ધારક છે.
"
