eng_Latn,ben_Beng
"""She continued: """"My thoughts and feelings of dread were not just about that moment, but about a future where my children, cousins, and cousins will face the same discrimination and hatred.""
","""গুরলাইন আরও বলেছিলেনঃ """"আমার চিন্তাভাবনা এবং ভয়ের অনুভূতি কেবল সেই মুহুর্তের জন্য নয়, এমন ভবিষ্যতের কথা যেখানে আমার বাচ্চা, ভাগ্নি এবং ভাগ্নেদের একই বৈষম্য ও ঘৃণার মুখোমুখি হতে হবে।""
"
"""She was nicknamed """" Toti"""" by her five siblings and many cousins.""
","""nicknamed """"Toti"""" দ্বারা তার পাঁচ kin এবং অসংখ্য কাজিন.""
"
"""She was nicknamed """"Toti"""" by her five siblings and many cousins.""
","""nicknamed """"Toti"""" দ্বারা তার পাঁচ kin এবং অসংখ্য কাজিন.""
"
"""The bride's cousin said, """"The groom's family had kept us in the dark about his education.""
","""আত্মীয় বলেছিলেনঃ """"বরের পরিবার আমাদের তার লেখাপড়া সম্পর্কে অন্ধকারে রেখেছিল।""
"
"'Everything started to go wrong when my second cousins opened their mouths.
","""""""আমার দ্বিতীয় কাজিনরা যখন মুখ খুলল তখন সমস্ত কিছু ভুল হতে শুরু করে।""
"
"(a) His cousin. (b) His aunt. (c) His grandmother. (d) His uncle.
","A) দাদুর পুত্রবধূ B) দাদুর কন্যা C) দাদুর নাতনি D) দাদুর স্ত্রী ২০. কোন প্রবচনটি
"
"(i'm the cousin)
","(আমি চাকমা)
"
"(n) Scottish painter; cousin of Lytton Strachey and member of the Bloomsbury Group (1885-1978)
","স্কটিশ চিত্রশিল্পী, লটটন স্ট্রাচির চাচাতো বোন এবং ব্লুমসবারী গ্রুপের সদস্য (1885-1978)
"
"1568: Queen Elizabeth I of England orders the arrest of her cousin Mary, Queen of Scots.
","১৫৬৮ - ইংল্যান্ডের রানি ১ম এলিজাবেথ স্কটল্যান্ডের রাণী মেরিকে গ্রেপ্তারের নির্দেশ দেন।
"
"1:58 And her neighbors and her cousins heard that the Lord had shown great mercy upon her; and they rejoiced with her.
","লূক 1:58 _ তাঁর উপর প্রভুর প্রচুর করুণার কথা শুনে প্রতিবেশীরা ও আত্মীয়েরা তাঁর সংগে আনন্দ করতে লাগল।
"
"1:58 And her neighbours and her cousins heard that the Lord had shown great mercy upon her; and they rejoiced with her.
","লূক 1:58 _ তাঁর উপর প্রভুর প্রচুর করুণার কথা শুনে প্রতিবেশীরা ও আত্মীয়েরা তাঁর সংগে আনন্দ করতে লাগল।
"
"A 12-year-old cousin of theirs also died.
","তাদের সঙ্গে থাকা ১২ বছর বয়সের নাতিও মারা যায়।
"
"A close cousin's house?
","দূরে কোনো আত্মীয়ের বাড়ি?
"
"A few hours after the first post, Amina's cousin updated it [6] with news:
","প্রথম পোস্ট প্রকাশ হবার কয়েক ঘণ্টা পরে আমিনার চাচাতো বোনএই তাজা সংবাদ প্রকাশ করেঃ
"
"A few hours after the first post, Amina's cousin updated it with news:
","প্রথম পোস্ট প্রকাশ হবার কয়েক ঘণ্টা পরে আমিনার চাচাতো বোনএই তাজা সংবাদ প্রকাশ করেঃ
"
"A long lost cousin
","Long হারিয়ে গেছে cousin
"
"A lot of my cousins are getting married this year.
","আমার কলিগদের অনেকেই বিয়ে করলেন এই বছরেই।
"
"Abu Sufyan: He is my cousin.
","আবু সুফিয়ান: তিনি আমাদের মধ্যে সম্ভ্রান্ত বংশগত।
"
"After five minutes, my cousin came out of the bathroom.
","মিনিট পাঁচেক পর মা' বাথরুম থেকে এসে বললো
"
"After standing in line for an hour, Bianca and her cousins take their seats on the ride.
","একটি ঘন্টা জন্য লাইন মধ্যে দাঁড়িয়ে পরে, Bianca এবং তার চাচাতোীরা যাত্রায় উপর তাদের আসন নিতে।
"
"An eight-month-old baby girl has been raped allegedly by her cousin in the Indian capital, Delhi...
","ভারতের রাজধানী দিল্লিতে আট মাসের একটি কন্যাশিশুকে ধর্ষণ করা হয়েছে . . .
"
"And yet, despite the fact that nearly every person on the planet has personal experience with mosquitoes, many people can't tell the difference between mosquitoes and their harmless cousins.
","এবং এখনও, গ্রহের প্রায় প্রত্যেক ব্যক্তি মশা সঙ্গে ব্যক্তিগত অভিজ্ঞতা আছে সত্ত্বেও, অনেক মানুষ মশা এবং তাদের নির্দোষ খৃস্টানদের মধ্যে পার্থক্য বলতে পারবেন না।
"
"And yet, despite the fact that nearly every person on the planet has up close and personal experience with mosquitoes, many people can't tell the difference between mosquitoes and their other, harmless cousins.
","এবং এখনও, গ্রহের প্রায় প্রত্যেক ব্যক্তি মশা সঙ্গে ব্যক্তিগত অভিজ্ঞতা আছে সত্ত্বেও, অনেক মানুষ মশা এবং তাদের নির্দোষ খৃস্টানদের মধ্যে পার্থক্য বলতে পারবেন না।
"
"Annakali or Kali: Gurucharan's ten-year-old daughter and Lalita's cousin and playmate.
","আন্নাকালী/কালী - গুরুচরণের ১০ বছর বয়সী কন্যা এবং ললিতার মামাতো বোন ও খেলার সাথী।
"
"Answer: He is my cousin.
","উত্তরঃ ঘ) সে আমার ভাতিজা
"
"Apparently I'm his cousin.
","স্পষ্ট বলা আছে, আমি ওর ভাতিজী।
"
"Are you allowed to marry your mother's cousin?
","আপন মামার শালাকে বিয়ে করা কি জায়েজ আছে?
"
"As our story opens, Fone Bone is separated from his cousins, Phoney and Smiley, and lost, far from home.
","আমাদের গল্প খোলে Fone হাড় তার cousins, অপ্রকৃত এবং স্মাইলি থেকে পৃথক করা হয়, এবং দূরে বাসা থেকে, হারিয়ে গেছে.
"
"As we have seen on numerous occasions, the blades of Japanese boning knives have a cutting power far superior to their Western cousins.
","যেমনটি আমরা বহু উপলক্ষে দেখেছি, জাপানি বোনিং ছুরিগুলির ফলকগুলি তাদের পশ্চিমা কাজিনের তুলনায় অনেক বেশি উচ্চতর কাটিয়া শক্তি ধারণ করে।
"
"At the age of 12, she got married to Syed Nehal Hossain, her cousin.
","মাত্র ১২ বছর বয়সে সৈয়দ নেহাল হোসেনের সঙ্গে তার বিয়ে হয়।
"
"At the age of 16, Sarvepalli was married to Sivakamu, a distant cousin.
","বয়স যখন ১৬, দূর সম্পর্কের আত্মীয় শিবাকামুকে বিয়ে করেন তিনি।
"
"At the time of the agreement, Musk owned 22 percent of both Tesla and the solar panel company founded by his cousins.
","চুক্তির সময় মি. মাস্ক টেসলা এবং সৌর প্যানেল কোম্পানি উভয়েরই শতকরা ২২ ভাগের মালিক ছিলেন।
"
"Ayako is the third and youngest daughter of the late Prince Takamodo (Emperor Akihito's cousin).
","জাপানের সম্রাট আকিহিতোর চাচাতো বোন এবং প্রয়াত প্রিন্স তাকামোদোর তৃতীয় এবং সর্বকনিষ্ঠ কন্যা আয়াকো।
"
"Babita, along with her sister and cousin, have contributed to a change in mindset and attitude towards girls and women in their village in Haryana.
","ববিতা, তার বোন ও খুড়তুত বোনদের সাথে, হরিয়ানা গ্রামে মেয়েদের এবং মহিলাদের প্রতি মানসিকতা এবং মনোভাব পরিবর্তন ঘটাতে পেরেছে।
"
"Babita, along with the edge of her sister and cousin, has added to an exchange mentality and attitude towards women and women of their town in Haryana.
","ববিতা, তার বোন ও খুড়তুত বোনদের সাথে, হরিয়ানা গ্রামে মেয়েদের এবং মহিলাদের প্রতি মানসিকতা এবং মনোভাব পরিবর্তন ঘটাতে পেরেছে।
"
"Babita, forward with her sister and cousin, have devoted to a change in mentally and attitude towards women and girls in their Village in Haryana.
","ববিতা, তার বোন ও খুড়তুত বোনদের সাথে, হরিয়ানা গ্রামে মেয়েদের এবং মহিলাদের প্রতি মানসিকতা এবং মনোভাব পরিবর্তন ঘটাতে পেরেছে।
"
"Bollywood star Saif Ali Khan is his cousin.
","বলিউড তারকা সাইফ আলী খান তার বাবা।
"
"But trust me, I didn't kill your cousin.
","কিন্তু, আপনি বিশ্বাস করুন, বড়মাকে খুন আমি করিনি।
"
"CHAPTER 10 A NEW LIFE IN MECCA It wasn't long before the young Muhammad had settled down very happily to his new lifestyle in the City of Mecca and found that he had lots of cousins, an affectionate grandfather named Abd Al Muttalib, as well as many uncles and aunts.
","এটা তরুণ মুহাম্মদ মক্কা শহরের মধ্যে তার নতুন জীবনধারা খুব সুখে নিচে বসতি স্থাপন করে এবং তিনি চাচাতো প্রচুর, একটি আব্দ আল মুত্তালিব নামক অনুরক্ত পিতামহ, সেইসাথে অনেক চাচা-চাচী মিলে ছিল পেয়েছে ছিল না দীর্ঘ আগে.
"
"Can you marry your mother's cousin sister's daughter?
","মামাতো বোনের মেয়েকে বিয়ে করা যাবে?
"
"Celia, Duke Frederick's daughter and Rosalind's cousin.
","সেলিয়া - ডিউক ফ্রেডরিকের কন্যা ও রোজালিন্ডের চাচাতো বোন
"
"Chinese and Korean are cousins.
","চীনা আর কোরিয়ানরা তাদেরই বংশধর।
"
"Claudia Pulchra, second cousin and close friend to Agrippina the Elder (b.
","ক্লোদিয়া পুলছড়া, জ্যেষ্ঠ আগ্রিপপিনার ঘনিষ্ঠ বন্ধু এবং দ্বিতীয় কাজিন (জ.
"
"Darwin chose to marry his cousin, Emma Wedgwood.
","ডারউইন তার চাচাত বোন, এমা ওয়েডগউডকে বিয়ে করেন
"
"Darwin married his cousin, Emma Wedgwood.
","ডারউইন তার চাচাত বোন, এমা ওয়েডগউডকে বিয়ে করেন
"
"Darwin went on to marry his cousin, Emma Wedgwood.
","ডারউইন তার চাচাত বোন, এমা ওয়েডগউডকে বিয়ে করেন
"
"Don't you remember your cousin?
","তোর বুড়োপীরের কথা মনে নেই?
"
"Duncan Grant - Scottish painter; cousin of Lytton Strachey and member of the Bloomsbury Group (1885-1978)
","স্কটিশ চিত্রশিল্পী, লটটন স্ট্রাচির চাচাতো বোন এবং ব্লুমসবারী গ্রুপের সদস্য (1885-1978)
"
"E. He's my cousin
","উঃ সে আমার ভাতিজা
"
"Eight-month-old baby girl raped by her cousin
","আত্মীয়ের হাতেই ধর্ষণের শিকার আটমাসের শিশুকন্যা
"
"Elsa Einstein (18 January 1876 - 20 December 1936) was the second wife and cousin of Albert Einstein.
","এলসা আইনস্টাইন (১৮ জানুয়ারী ১৮৭৬ - ২০ ডিসেম্বর ১৯৩৬) ছিলেন আলবার্ট আইনস্টাইন এর দ্বিতীয় স্ত্রী এবং মাসতুতো বোন।
"
"Elsa Einstein (18 January 1876 - 20 December 1936) was the second wife and first cousin of Albert Einstein.
","এলসা আইনস্টাইন (১৮ জানুয়ারী ১৮৭৬ - ২০ ডিসেম্বর ১৯৩৬) ছিলেন আলবার্ট আইনস্টাইন এর দ্বিতীয় স্ত্রী এবং মাসতুতো বোন।
"
"Elsa Einstein 18 January 1876 - 20 December 1936 was the second wife and cousin of Albert Einstein.
","এলসা আইনস্টাইন (১৮ জানুয়ারী ১৮৭৬ - ২০ ডিসেম্বর ১৯৩৬) ছিলেন আলবার্ট আইনস্টাইন এর দ্বিতীয় স্ত্রী এবং মাসতুতো বোন।
"
"Even though Floyd is Wade's cousin.
","বিঃদ্রঃ Floyd হচ্ছে Wade এর কাজিন।
"
"Everybody's your cousin.
","সবাই আপনার চামচা।
"
"Former Costa Rican President Laura Chinchilla said on Twitter that her cousin was one of the victims killed in the crash.
","কোস্টরিকার প্রাক্তন প্রেসিডেন্ট লরা চিনচিল্লা এক টুইটে জানিয়েছেন, দুর্ঘটনায় তার এক আত্মীয় নিহত হয়েছেন।
"
"Former Costa Rican President Laura Chincilla wrote on Twitter that her cousin was one of the pilots that had died.
","কোস্টরিকার সাবেক প্রেসিডেন্ট লরা চিনচিল্লা এক টুইটে জানান, নিহত দুই পাইলটের মধ্যে একজন তার কাজিন।
"
"Former Costa Rican president Laura Chinchilla said one of the pilots who died was her cousin.
","কোস্টরিকার সাবেক প্রেসিডেন্ট লরা চিনচিল্লা এক টুইটে জানান, নিহত দুই পাইলটের মধ্যে একজন তার কাজিন।
"
"Former President Laura Chinchilla said on Twitter that her cousin, one of the crew members, had died in the accident.
","কোস্টরিকার প্রাক্তন প্রেসিডেন্ট লরা চিনচিল্লা এক টুইটে জানিয়েছেন, দুর্ঘটনায় তার এক আত্মীয় নিহত হয়েছেন।
"
"He also said that his cousins said that Akhash committed suicide by fighting with his wife at night.
","তিনি আরও বলেন, স্বজনরা জানিয়েছেন রাতে স্ত্রীর সঙ্গে ঝগড়া করে আকাশ আত্মহত্যা করেছে।
"
"He is George Bush's cousin.
","তিনি জর্জ পুশের পিতা।
"
"He is also Sonam Kapoor's cousin.
","তিনি সোনম কাপুরের বাবাও।
"
"He is the cousin of Manchester City owner Sheikh Mansour.
","ম্যানচেস্টার সিটির মালিক শেখ মনসুর।
"
"He is the first cousin of R&B singers Brandy and Ray J, and WWE professional wrestler Sasha Banks.
","স্নুপের প্রথম কাজিনরা হলেন আরএন্ডবি গায়ক ব্র্যান্ডি এবং রে জে পাশাপাশি পেশাদার রেসলার সাশা ব্যাংকস।
"
"He married his distant cousin Sivakamu at the age of 16.
","বয়স যখন ১৬, দূর সম্পর্কের আত্মীয় শিবাকামুকে বিয়ে করেন তিনি।
"
"He was a cousin of the Prophet.
","তিনি নবীর একজন আত্মীয় ছিলেন।
"
"He's a distant cousin of ours.
","তিনি আমাদের দূর সম্পর্কের চাচা হয়।
"
"Her cousin was injured.
","আহত হয়েছেন তাঁর ভাতিজা।
"
"Her cousin, Ritu Phogat is also an international level wrestler and has won Gold medal at the 2016 Commonwealth Wrestling Championship.
","তার কনিষ্ঠ বোন, রিতু ফোগাটও আন্তর্জাতিক পর্যায়ে কুস্তিগীর এবং ২০১৬ সালের কমনওয়েলথ কুস্তি চ্যাম্পিয়নশিপে স্বর্ণপদক জিতেছেন।
"
"Her cousin, Ritu Phogat, too is an international level wrestler and has won a gold medal at the 2016 Commonwealth Wrestling Championship.
","তার কনিষ্ঠ বোন, রিতু ফোগাটও আন্তর্জাতিক পর্যায়ে কুস্তিগীর এবং ২০১৬ সালের কমনওয়েলথ কুস্তি চ্যাম্পিয়নশিপে স্বর্ণপদক জিতেছেন।
"
"His cousin, the doctor.
","ওর cousine,ডাক্তার।
"
"His second cousin, King George V, sent a British warship to take his family to France.
","তাঁর কাজিন রাজা পঞ্চম জর্জ তাদের উদ্ধার করে আনতে একটি ব্রিটিশ যুদ্ধজাহাজ পাঠান, যে জাহাজে করে সেখান থেকে তাদের নিয়ে যাওয়া হয় ফ্রান্সে।
"
"Hrithik Roshan's cousin Pashmina is all set to make her debut in Bollywood.
","হৃতিক রোশনের বোন পশমিনা রোশনে বলিউডে পা রাখার জন্য মুখিয়ে আছেন।
"
"Hrithik Roshan's gorgeous cousin Pashmina is all set to put her steps in Bollywood.
","হৃতিক রোশনের বোন পশমিনা রোশনে বলিউডে পা রাখার জন্য মুখিয়ে আছেন।
"
"I can't go to my cousin's house
","আমি পারছিনা যেতে শ্বশুর বাড়িতে
"
"I fuck my wife's cousin without a condom.
","আমি কন্ডম ছাড়াই আমার স্ত্রীর পাচায় চুদি।
"
"I have a cousin in Mumbai.
","আমার এক বায়ার কাম বন্ধু আছে মুম্বাইয়ের।
"
"I have a cousin who falls in second category.
","আমার একটি ছোট ভাগনি আছে, যে দ্বিতীয় শ্রেণীতে পড়ে।
"
"I have a cousin who lives there with his family.
","আমার এক সহযোদ্ধা সেও পরিবার নিয়ে এখানেই আছে ।
"
"I have a lot of cousins still there.
","ঐখানে এখনো আমার অনেক আত্নীয়-স্বজন আছে।
"
"I have my cousin here.
","আমার খুড়িমা থাকেন তো এখানে।
"
"I have my cousin's wedding tomorrow.
","আগামী কাল আমার চাচাত বোনের বিয়ে।
"
"I have two cousins that live close to there.
","ওর কাছাকাছি থাকে এমন দুইটা ভাতিজি আছে আমার।
"
"I hope that you are in good health and the cousins as well.
","আশাকরি আপনিও সুস্থ আছেন এবং ভাল আছেন, নাতনিদের নিয়ে।
"
"I know my cousin still loves me.
","আমি জানি আমার পরী এখনো আমায় ভালোবাসে।
"
"I know where your cousin is hiding.
","আমি জানি, বড়দা কোথায় লুকিয়ে থাকে।
"
"I lost my cousin today.
","আমি আমার একজন অভিবাবক আজ হারালাম।
"
"I love my cousin sister and I want to marry her.
","আমি আমার মামাতো বোনকে অনেক ভালোবাসি এবং তাকে বিয়ে করতে চাই।
"
"I met my cousin at the station.
","স্টেশন এ দেখা হল আমার মামাতো বনের সাথে।
"
"I said I was your cousin.
","আমি বললাম, আমি সম্পর্কে তোমার চাচা হই।
"
"I still have a lot of cousins there.
","ঐখানে এখনো আমার অনেক আত্নীয়-স্বজন আছে।
"
"I want to marry my cousin.
","আমি আমার কাজিন (চাচাতো বোন) কে বিয়ে করতে চাচ্ছি।
"
"I wouldn't marry ANY cousin.
","আমি কোন সূতপুত্রকে বিয়ে করবনা।
"
"I'm also his cousin.
","আমিও উনার ভাতিজা।
"
"I'm fairly sure this woman is a cousin of mine.
","আমি নিশ্চিত এই মেয়ের আমার সেই খুড়তুতো বোনের মতো।
"
"I'm in love my cousin how can I tell her?
","মামাতো বোনকে ভালোবাসি, ওকে কী করে বোঝাবো?
"
"I'm not really her cousin.
","সত্যিই ত আমি তার আত্মীয় নই।
"
"I'm with your cousin
","৩. তোর ভাবীর সাথে আছি
"
"INTERNATIONAL NEWS - An eight-month-old baby girl has been raped, allegedly by her cousin, in the Indian capital Delhi.
","আন্তর্জাতিক ডেস্ক: ভারতের রাজধানী নয়াদিল্লিতে আত্মীয়ের হাতে আট মাসের এক শিশু ধর্ষণের শিকার হয়েছে।
"
"If I do say so myself, he's a rather handsome cousin.
","আমি নিজেই যদি বলি তবে সে বেশ সুদর্শন ছোট বাগদার।
"
"If it's the same cousin
","যদি একই শালী
"
"If she's my cousin, she's the one.
","যদি সে আমার মায়া, আমি যে তারই কায়া
"
"If that is true, it would help to explain many of the differences we see between us and our evolutionary cousins.
","যদি তা সত্যি হয়, আমরা ও আমাদের পরিবারবর্গের সহোদরদের মধ্যে বিবর্তনীয় ধারার অনেককিছুও অনেক ব্যাখ্যা করতে সাহায্য করবে।
"
"If the claim was true, it would make 91-year-old Queen Elizabeth II, the world's longest-reigning living monarch, a cousin of both Morocco's King Mohammed VI and Jordan's King Abdullah II.
","এই দাবি যদি সত্যি হয়, তাহলে বিশ্বের প্রবীণতম শাসক ৯১ বছরের রানি দ্বিতীয় এলিজাবেথ 'তুতো বোন' হন মরোক্কোর রাজা ষষ্ঠ মহম্মদ এবং জর্ডনের রাজা দ্বিতীয় আব্দুল্লার।
"
"If these claims are indeed true, Queen Elizabeth II is a cousin of both Mohammed VI of Morocco and Abdullah II of Jordan.
","এই দাবি যদি সত্যি হয়, তাহলে বিশ্বের প্রবীণতম শাসক ৯১ বছরের রানি দ্বিতীয় এলিজাবেথ 'তুতো বোন' হন মরোক্কোর রাজা ষষ্ঠ মহম্মদ এবং জর্ডনের রাজা দ্বিতীয় আব্দুল্লার।
"
"If true, the latest claims make the world's longest-reigning living monarch, 91-year-old queen Elizabeth II, who is head of the Commonwealth, a cousin of both king Mohammed VI of Morocco and king Abdullah II of Jordan.
","এই দাবি যদি সত্যি হয়, তাহলে বিশ্বের প্রবীণতম শাসক ৯১ বছরের রানি দ্বিতীয় এলিজাবেথ 'তুতো বোন' হন মরোক্কোর রাজা ষষ্ঠ মহম্মদ এবং জর্ডনের রাজা দ্বিতীয় আব্দুল্লার।
"
"In 1949, Ray married, his first cousin and long-time sweetheart.
","1949 সালে, রাই জি দূরবর্তী আত্মীয় এবং তার দীর্ঘদিনের প্রণয়ী বিজয় রায়কে বিয়ে করেছিলেন ।
"
"In a tweet former President of Costa Rica Laura Chinchilla said that his cousin (one of two pilots) was killed in the accident.
","এক টুইটে কোস্টরিকার সাবেক প্রেসিডেন্ট লরা চিনচিল্লা জানিয়েছেন, দুর্ঘটনায় তার এক কাজিন (দুই পাইলটের মধ্যে একজন) নিহত হয়েছেন।
"
"In reality they are our distant cousins.
","আসলে উনারা আমাদের দূর-আত্মীয়।
"
"In the morning, Janhvi's cousin Sonam Kapoor wished her with a heartwarming post on Instagram.
","এর আগে সকালেই জানভির চাচাত বোন সোনম কাপুর ইনস্টাগ্রামে এক হৃদয়ছোঁয়া পোস্টের মাধ্যমে শুভেচ্ছা জানান।
"
"In this wave, Priyanka Chopra's cousin Meera Chopra has lost 2 members of her family in the last 10 days.
","গত ১০ দিনে পরিবারের দু'জন সদস্যকে হারিয়েছেন অভিনেত্রী মীরা চোপড়া।
"
"Interestingly, this is not the first time that a cricketer will marry his cousin sister as there are numerous players who have done the same.
","মজার বিষয় হচ্ছে, এই প্রথম এমন কোনও ক্রিকেটার তার চাচাতো বোনকে বিয়ে করবেন না কারণ এমন অনেক খেলোয়াড় রয়েছেন যারা একই কাজ করেছেন।
"
"Is it legal to marry your father's cousin?
","মেয়ের অভিভাবক এর অমতের বিবাহ কি বৈধ?
"
"Is it legal to marry your mother's cousin?
","মেয়ের অভিভাবক এর অমতের বিবাহ কি বৈধ?
"
"Isn't my cousin beautiful?
","আমার প্রাক্তন অনেক সুন্দর না?
"
"It also has a radar to look for sub-surface water-ice - a capability its American cousins don't share.
","উপ-পৃষ্ঠের জল-বরফ সন্ধানের জন্য এটিতে একটি রাডারও রয়েছে - এটির ক্ষমতা আমেরিকান কাজিনরা ভাগ করে না।
"
"It is a thorny Mexican, six meters high, cousin of the acacias, which grows only in the southeast of Mexico, in the state of Chiapas.
","এটি মেক্সিকো থেকে একটি কাঁটাগাছ, ছয় মিটার উঁচু, বাবিলের চাচাতো বোন, যা কেবল দক্ষিণ-পূর্ব মেক্সিকোয়, চিয়াপাস রাজ্যে জন্মে।
"
"It just so happened that the burbot was in the shadow of its more famous cousin relative.
","ঠিক এমনটিই ঘটেছিল যে বার্বোটটি তার আরও বিখ্যাত খালাতো আত্মীয়ের ছায়ায় ছিল।
"
"It wasn't long before the young Muhammad had settled down very happily to his new lifestyle in the City of Mecca and found he had lots of cousins, an affectionate grandfather named Abd Al Muttalib, as well as many uncles and aunts.
","এটা তরুণ মুহাম্মদ মক্কা শহরের মধ্যে তার নতুন জীবনধারা খুব সুখে নিচে বসতি স্থাপন করে এবং তিনি চাচাতো প্রচুর, একটি আব্দ আল মুত্তালিব নামক অনুরক্ত পিতামহ, সেইসাথে অনেক চাচা-চাচী মিলে ছিল পেয়েছে ছিল না দীর্ঘ আগে.
"
"It wasn't long before the young Muhammad had settled down very happily to his new lifestyle in the City of Mecca and found that he had lots of cousins, an affectionate grandfather named Abd Al Muttalib, as well as many uncles and aunts.
","এটা তরুণ মুহাম্মদ মক্কা শহরের মধ্যে তার নতুন জীবনধারা খুব সুখে নিচে বসতি স্থাপন করে এবং তিনি চাচাতো প্রচুর, একটি আব্দ আল মুত্তালিব নামক অনুরক্ত পিতামহ, সেইসাথে অনেক চাচা-চাচী মিলে ছিল পেয়েছে ছিল না দীর্ঘ আগে.
"
"It's not as rich or big as its noble cousins, in fact it's quite the opposite.
","এটি এর মহৎ কাজিনের মতো সমৃদ্ধ বা বড় নয়, বাস্তবে এটি সম্পূর্ণ বিপরীত।
"
