eng_Latn,ben_Beng
"""She continued: """"This South actor who suddenly divorced his wife was married for 4 years and in a relationship with her for more than a decade recently came in contact with a Bollywood superstar who is also known as Bollywood divorce expert, has ruined many women and children lives is now his guiding light and agony aunt.""
","লিখেছেন, 'দক্ষিণের এই অভিনেতা যে নিজের ৪ বছরের বিবাহিত জীবন ভাঙতে চলেছে এবং সম্প্রতি বলিউডের এক সুপারস্টার ডিভোর্স এক্সাপার্টের সংস্পর্শে এসেছে, যে অনেক মহিলা ও বাচ্চাদের জীবন নষ্ট করেছে... অন্ধ না হলে আমরা সহজেই বুঝে নিতে পারব কার কথা বলা হচ্ছে।
"
"""She further added, """"This south actor who suddenly divorced his wife was married for 4 years and in a relationship with her for more than a decade recently came in contact with a Bollywood superstar who is also known as Bollywood divorce expert... Has ruined many women and children's lives, is now his guiding light and agony aunt... so it all went smoothly... This is not a blind item we all know who am talking about.""""""
","লিখেছেন, 'দক্ষিণের এই অভিনেতা যে নিজের ৪ বছরের বিবাহিত জীবন ভাঙতে চলেছে এবং সম্প্রতি বলিউডের এক সুপারস্টার ডিভোর্স এক্সাপার্টের সংস্পর্শে এসেছে, যে অনেক মহিলা ও বাচ্চাদের জীবন নষ্ট করেছে... অন্ধ না হলে আমরা সহজেই বুঝে নিতে পারব কার কথা বলা হচ্ছে।
"
"""Tulip Siddiq, the Labour MP for Hampstead and Kilburn, said that the detention of Shahidul Alam by the government led by her aunt Sheikh Hasina Wazed was """"deeply distressing and should end immediately.""""""
","হ্যাম্পসটেড এবং কিলবার্ন থেকে নির্বাচিত লেবার পার্টির এই এমপি বলেন, শেখ হাসিনা ওয়াজেদের নেতৃত্বাধীন সরকারের সময় শহিদুল আলমের গ্রেফতার থাকা 'খুবই উদ্বেগজনক' এবং 'অবিলম্বে এ পরিস্থিতির ইতি ঘটা উচিত'।
"
"""We lived in New York in this bohemian lifestyle where an extended group of artists and photographers were like my aunts and uncles""""""
","আমরা নিউ ইয়র্কে এই বোহেমিয়ান জীবনযাত্রায় থাকতাম যেখানে শিল্পী এবং ফটোগ্রাফারদের একটি বর্ধিত গোষ্ঠী আমার খালা এবং চাচাদের মতো ছিল।
"
"""We lived in New York in this bohemian lifestyle where an extended group of artists and photographers were like my aunts and uncles.""""""
","আমরা নিউ ইয়র্কে এই বোহেমিয়ান জীবনযাত্রায় থাকতাম যেখানে শিল্পী এবং ফটোগ্রাফারদের একটি বর্ধিত গোষ্ঠী আমার খালা এবং চাচাদের মতো ছিল।
"
"'I'm your aunt.
","""""""আমি তোমার একটা আন্টি।""
"
"(a) His cousin. (b) His aunt. (c) His grandmother. (d) His uncle.
","A) দাদুর পুত্রবধূ B) দাদুর কন্যা C) দাদুর নাতনি D) দাদুর স্ত্রী ২০. কোন প্রবচনটি
"
"(c) His uncle and aunt.
","ঙ) চাচা ও মামা।
"
"- Let's go to aunt's room.
","- আন্টি চলুন বেডরুমে যাই।
"
"- Why didn't you tell us about your aunt?
","- চাচীকে আমাদের কথা বললেনা কেন?
"
"15:07 Tube8 On a boat with two aunts
","উপর একটি নৌকা সঙ্গে two aunts Tube8 15:07
"
"19:35 At night with my aunt
","আমার চাচীর সাথে রাতে 19:35
"
"A card is sweet and all, but this bracelet is the best way to let your sister keep your feelings with your aunt at all times.
","একটি কার্ড মিষ্টি এবং সমস্ত, তবে এই ব্রেসলেটটি আপনার মাকে সর্বদা আপনার অনুভূতিগুলি তার কাছে রাখার সর্বোত্তম উপায়।
"
"A choora is a set of traditional red bangles that is given to the bride by her maternal aunt and uncle.
","A ছোড়া traditionalতিহ্যবাহী লাল চুড়ির একটি সেট যা কনেকে তার মামি এবং চাচা দিয়ে থাকেন।
"
"A few seconds later my aunt opened the door.
",".....কয়েক সেকেন্ড পরেই আন্টি দরজা খুলে দিল।
"
"A third said that no matter how famous or rich a person is, they cannot escape their aunt's daughter.
","তৃতীয় জন বলেছিলেন যে ব্যক্তি যতই বিখ্যাত বা ধনী হোক না কেন তারা তাদের খালার মেয়েকে বাঁচতে পারে না।
"
"According to CNN Philippines, the woman had claimed to be the child's aunt but didn't provide any evidence they were related.
","সিএনএন ফিলিপিন্সের খবরে বলা হয়, এই নারী নিজেকে শিশুটির আন্টি বলে দাবি করেন কিন্তু কোনও প্রমাণ দেখাতে পারেননি।
"
"According to her aunt Katelyn Suter, the girl learned braille when she was only 4 years old and now she's reading years above her age level.
","তার খালা ক্যাটলিন সুটারের মতে, মেয়েটি যখন মাত্র ৪ বছর বয়সে ব্রেইল শিখত এবং এখন সে তার বয়সের স্তরের বছরগুলি পড়ছে।
"
"According to the complaint lodged by the girl's aunt on November 4, the minor was first raped in the music room by Jayanti Thakor two months ago.
","৪ নভেম্বর দায়ের করা অভিযোগে বলা হয়েছে, ২ মাস আগে মিউজিক রুমে প্রথম মেয়েটিকে ধর্ষণ করে জয়ন্তী ঠাকোর।
"
"After a while, aunt came to my room.
","কিছু ক্ষণ পর আম্মু আসেন আন্টির রুমে,
"
"After graduating from high school, Lana opted to spend a year living on Long Island with her aunt and uncle while working as a waitress.
","কেন্ট স্কুল থেকে স্নাতক শেষ করার পরে, তিনি তার চাচী এবং মামার সাথে লং আইল্যান্ডে এক বছর বসবাস করেন এবং ওয়েট্রেস হিসাবে কাজ করেছিলেন।
"
"After graduating from high school, she spent a year living on Long Island with her aunt and uncle, working as a waitress.
","কেন্ট স্কুল থেকে স্নাতক শেষ করার পরে, তিনি তার চাচী এবং মামার সাথে লং আইল্যান্ডে এক বছর বসবাস করেন এবং ওয়েট্রেস হিসাবে কাজ করেছিলেন।
"
"After graduating from the Kent School, she spent a year living on Long Island with her aunt and uncle and working as a waitress.
","কেন্ট স্কুল থেকে স্নাতক শেষ করার পরে, তিনি তার চাচী এবং মামার সাথে লং আইল্যান্ডে এক বছর বসবাস করেন এবং ওয়েট্রেস হিসাবে কাজ করেছিলেন।
"
"After she has done her graduation from the Kent School, she lived on Long Island with her aunt and uncle and worked as a waitress.
","কেন্ট স্কুল থেকে স্নাতক শেষ করার পরে, তিনি তার চাচী এবং মামার সাথে লং আইল্যান্ডে এক বছর বসবাস করেন এবং ওয়েট্রেস হিসাবে কাজ করেছিলেন।
"
"Alexandra is their aunt, Atticus's sister.
","আন্টি আলেক্সজান্দ্রাঃ (Aunt Alexandra) এটিকাসের বোন।
"
"Am sorry to hear about your aunt.
","তোমার আন্টির কথা শুনে খারাপ লাগছে।
"
"And that means you are my aunt.
","তার মানে হল আপনি আমারও মামা।
"
"Angelina Jolie's aunt has died of breast cancer.
","অ্যাঞ্জেলিনা জোলি স্তন ক্যান্সারে আক্রান্ত হন।
"
"Apparently, a letter to the editor of the Journal of the American Medical Association in 1982 documented how a medical school student had recently recognized her own great aunt among the cadavers being dissected in one of her classes.
","স্পষ্টতই, সম্পাদককে একটি চিঠি আমেরিকান মেডিকেল অ্যাসোসিয়েশন জার্নাল 1982 নথিভুক্ত কিভাবে মেডিকেল স্কুল ছাত্র সম্প্রতি ক্যাডভারদের মধ্যে তার এক ক্লাসে বিচ্ছিন্ন হওয়া ক্যাডারদের মধ্যে তার নিজের বড় খালাটিকে স্বীকৃতি দিয়েছে।
"
"Are you the aunt or uncle?
","ময়না কী চাচী নাকি চাচাতো বোন?
"
"At her aunt's house.
","তোর আন্টির বাসায়।
"
"At the age of 7, he moved to Washington, D.C. to live with his aunt.
","তিনি নয় বছর বয়সে ওয়াশিংটনে ডিসি চলে যান, যেখানে তিনি তার বাবার সাথে চকচকে পড়েন।
"
"Aylan's last words 'Daddy, please don't die,' says aunt
","আয়লানের শেষ কথাঃ 'বাবা, প্লিজ তুমি মরে যেও না'
"
"B) He is my aunt.
","(খ) সে আমার চাচী
"
"CHAPTER 10 A NEW LIFE IN MECCA It wasn't long before the young Muhammad had settled down very happily to his new lifestyle in the City of Mecca and found that he had lots of cousins, an affectionate grandfather named Abd Al Muttalib, as well as many uncles and aunts.
","এটা তরুণ মুহাম্মদ মক্কা শহরের মধ্যে তার নতুন জীবনধারা খুব সুখে নিচে বসতি স্থাপন করে এবং তিনি চাচাতো প্রচুর, একটি আব্দ আল মুত্তালিব নামক অনুরক্ত পিতামহ, সেইসাথে অনেক চাচা-চাচী মিলে ছিল পেয়েছে ছিল না দীর্ঘ আগে.
"
"Come from an aunt who has been 17 years watching the novelty of each year, maybe you should take a look.
","প্রতি বছর নবীনতা দেখার জন্য 17 বছর হয়েছে এমন একটি চাচির কাছ থেকে আসুন, হয়তো আপনাকে দেখতে হবে।
"
"Derrin, who lost her mother aged 11 and was raised by an aunt, moved to Dubai in 2018 after securing a job with the Emirates airline.
","ডেরিন, যার মা ১১ বছর বয়সে মারা গিয়েছিলেন, তিনি এয়ারলাইন্সে চাকরী নেওয়ার পরে ২০১৮ সালে দুবাই চলে এসেছেন।
"
"Didn't you have a mother, sister or aunt?
","তোমার কি মা, বোন নেই?
"
"Do you know your great aunts?
","তুমি তো তোমার বড় ফুফুকে চেনো?
"
"Does he know the name of her aunt?
","সকলেরই মামা তিনি নাম তার কি জানি?
"
"Don't say like that, aunt!
","অমন কথা কইয়ো না চাচী!
"
"Don't you recognize me, aunt?
","আমাকে চিনতে পারছেন না বউদি?
"
"Family history of breast cancer i.e. women whose mother, grandmothers, aunts or sisters have developed breast cancer, are at an increased risk.
","যাদের পরিবারের সদস্যদের মধ্যে মা, খালা, বোন বা নানীর স্তন ক্যান্সারের আক্রান্ত হবার ইতিহাস আছে তাদের ঝুঁকি বেশি।
"
"Fingering and looks like my aunt wash 05:40
","অঙ্গুলিসঁচালন এবং আমার চাচীর ধোয়ার মত দেখায় 05:40
"
"For the first problem, explain that students are given the time and distance that the aunt is flying, so they only need to determine the rate (or speed).
","ছাত্র সংগ্রামরত হয়, প্রথম দুই সমস্যার মাধ্যমে তাদের হেঁটে প্রথম সমস্যাটির জন্য, ব্যাখ্যা করুন যে ছাত্রদের সময় এবং দূরত্ব দেওয়া হয় যা মাসিরচাঁদ উড়ছে, তাই তাদের শুধুমাত্র হার (বা গতি) নির্ধারণ করতে হবে।
"
"Fucking my aunt on the table.
","টেবিলের উপর আমার চাচীর যৌনসঙ্গম.
"
"Go to your aunts house.
","যাও এতিমের ঘরে।
"
"Harris' aunt Sarala Gopalan, a veteran doctor at a voluntary health service in Chennai, said today that she couldn't speak to Harris, who has her roots in a village in the southern Indian state of Tamil Nadu, on Saturday as she spent the entire day waiting for the announcement of her victory.
","চেন্নাইয়ের স্বেচ্ছাসেবী স্বাস্থ্যসেবার প্রবীণ চিকিৎসক হ্যারিসের খালা সরলা গোপালান আজ বলেছেন যে শনিবার দক্ষিণ ভারতের রাজ্য তামিলনাড়ুর একটি গ্রামে তার শিকড়ের গোড়া হারিসের সাথে কথা বলতে পারেননি তিনি যখন ব্যয় করছেন সে সময়।
"
"Have you ever wanted to go to the aunt in Saratov?
","আপনি কি কখনও সারাতভের চাচী যেতে চেয়েছিলেন?
"
"Having fun with my old aunt.
","আমার পুরোনো চাচীর সাথে মজা হচ্ছে.
"
"He also has many cousins, aunts and uncles.
","এছাড়া তার আছে অনেক মামাতো, ফুপাতো আর চাচাতো ভাই।
"
"He has numerous aunts, uncle, and cousins as well.
","এছাড়া তার আছে অনেক মামাতো, ফুপাতো আর চাচাতো ভাই।
"
"He has two older brothers and many uncles and aunts.
","তার পিত্রালয়ে বাবা ও বড় চাচা ও দুই ফুফু আছেন।
"
"He lives with his aunt and fucks all day 19:58
","তিনি তার চাচীর সাথে বসবাস করেন এবং সমস্ত 19:58
"
"He said the boy went to Umrah with a 11-member team of family members including his parents, two brothers, uncles, aunts and cousins.
","তিনি বলেন, শিশুটি বাবা-মা, দুই ভাই, চাচা, ফুফু ও চাচাতো ভাই-সহ পরিবারের ১১ সদস্যের সঙ্গে সৌদি আরবে উমরাহ পালনের জন্য গিয়েছিল।
"
"He said the boy went to Umrah with an 11-member team of family members including his parents, two brothers, uncles, aunts and cousins.
","তিনি বলেন, শিশুটি বাবা-মা, দুই ভাই, চাচা, ফুফু ও চাচাতো ভাই-সহ পরিবারের ১১ সদস্যের সঙ্গে সৌদি আরবে উমরাহ পালনের জন্য গিয়েছিল।
"
"He went home to his aunt.
","ওর আন্টির বাসায় গেছে।
"
"He went to his aunt's house.
","ওর আন্টির বাসায় গেছে।
"
"Her aunt Sajeda Begum said, Fatema gave birth to a baby girl at the health complex in the morning.
","ফাতেমার খালা সাজেদা বেগম বলেন, ফাতেমা সকালে স্বাস্থ্য কমপ্লেক্সে একটি সন্তানের জন্ম দিয়েছে।
"
"Her aunt was there.
","চাচী সেখানেই ছিলেন।
"
"Her famous aunt is Gabriela Sabatini.
","এই গুণী খেলোয়াড়টির নাম গ্যাব্রিয়েলা সাবাতিনি (Gabriela Sabatini) ।
"
"Her mother and aunt were teachers.
","তার মা এবং চাচা ছিল তার প্রশিক্ষক।
"
"Her mother is my aunt.
","তার ছোট চাচী হচ্ছে আমার মা।
"
"Heredity - risk is greater for women whose mothers, sisters or aunts have a history of breast cancer.
","যাদের পরিবারের সদস্যদের মধ্যে মা, খালা, বোন বা নানীর স্তন ক্যান্সারের আক্রান্ত হবার ইতিহাস আছে তাদের ঝুঁকি বেশি।
"
"His aunt hadn't eaten for two days.
","তোর দাদী দু'দিন না খেয়ে ছিল।
"
"His aunt is my mother.
","তার ছোট চাচী হচ্ছে আমার মা।
"
"His aunt went to the kitchen.
","চাচি রান্না ঘরে চলে গেলো।
"
"His mother and aunt lived in the village.
","দাদু আর চাচ্চুরা গ্রামের বাড়িতে থাকেন।
"
"His mother, sister and aunt were wounded.
","আহত হন তাদের বাবা, মা ও চাচা।
"
"How can I look at someone else's mother, sister, daughter or aunt?
","কিভাবে অন্যের কন্যা, মাতা, ভগ্নী কিংবা স্ত্রীদের জন্য কামনা করতে পারি?
"
"How's your aunt Mary?
","মেরি চাচী কেমন আছেন এখন?
"
"I AM your aunt!
","আমিতো তোর আন্টি হই!
"
"I am also an aunt.
","আমিও তো একটা আন্টিই।
"
"I am am sorry to hear about your aunt.
","তোমার আন্টির কথা শুনে খারাপ লাগছে।
"
"I am at my aunt's house.
","আমি করছি আন্টির বাসায়।
"
"I am her aunt and her mother and I... read more
","আমি মা, আর আমার দুবছরের বড় সুমা আপা, ... Read More
"
"I am so sorry to hear of your aunt.
","তোমার আন্টির কথা শুনে খারাপ লাগছে।
"
"I am sorry to hear about your aunt.
","তোমার আন্টির কথা শুনে খারাপ লাগছে।
"
"I am sorry to hear of your aunt.
","তোমার আন্টির কথা শুনে খারাপ লাগছে।
"
"I am your aunt!
","আমিতো তোর আন্টি হই!
"
"I arrive at my aunt's house.
","আন্টির বাসায় আসছি।
"
"I asked the aunt - who else is in your house?
","তখন আমি বললাম- আঁচল তোমার বাড়িতে আর কে আছে?
"
"I asked the aunt.
","আন্টির কাছে জিজ্ঞাসা করালাম।
"
"I came here to be with my aunt.
","I came here for meeting my aunt. আমি এখানে আমার আন্টির সাথে দেখা করতে এসেছিলাম।
"
"I came to my aunt's house.
","আন্টির বাসায় চলে আসলাম।
"
"I did it with my aunt.
","করেছিলাম তোমার আন্টির সাথে।
"
"I did with my aunt.
","করেছিলাম তোমার আন্টির সাথে।
"
"I do know my aunt.
","আমি তো চিনি আন্টিকে।
"
"I do love her aunt very much, and will marry her.
","আমি আমার মামাতো বোনকে অনেক ভালোবাসি এবং তাকে বিয়ে করতে চাই।
"
"I don't have any uncles or aunts.
","আমার কোনো জ্যাঠা বা মামা নেই।
"
"I don't have aunts or uncles.
","আমার কোনো জ্যাঠা বা মামা নেই।
"
"I don't have uncles or aunts.
","আমার সতিন নাই বা হতি ।
"
"I don't know where my aunt
","আমার আমিনা কোথায় জানিনা
"
"I go to the hospital every day to see my aunt.
","আমি প্রতিদিনই আম্মাকে দেখতে হাসপাতালে যাই।
"
"I got a message from one of my aunt's who is also very creative and an amazing photographer.
","আমি আমার খালার একজনের কাছ থেকে একটি বার্তা পেয়েছি যিনি খুব সৃজনশীল এবং একটি আশ্চর্যজনক ফটোগ্রাফারও।
"
"I got my aunt's phone number and called her.
","আমি ওর আম্মার নাম্বারে ফোন দিলাম, আন্টি ফোন ধরলো।
"
"I have heard quite a lot about you from my mom, aunt, and grandparents.
","তোমার কথা মা, দাদা আর সত্যবাবুর কাছে অনেকবার শুনেছি।
"
"I have no aunts or uncles.
","আমার কোনো জ্যাঠা বা মামা নেই।
"
"I have no uncles or aunts.
","আমার কোনো জ্যাঠা বা মামা নেই।
"
"I heard my aunt's voice.
","মা চাচীর মুখে শুনেছি।
"
"I know my aunt.
","আমি তো চিনি আন্টিকে।
"
"I learned from my aunt.
","জি আন্টি শিখেছি আম্মুর থেকে।
"
"I live with my aunt, grandma, and little sister.
","আমি এখন আমার ছোট বোন, চাচি এবং দাদির সাথে আছি।
"
"I lived with my aunt and uncle after my mother died.
","তোমার চাচী মারা যাওয়ার পর নাতিপুতি আর বৌমার সাথে গ্রামে থাকতাম।
"
"I looked at the aunt.
","আমি অনাদির দিকে তাকালাম।
"
"I looked at uncle and aunt.
","চাচা-চাচী আর ডনের দিকে চাইলাম।
"
"I looked to my uncle and aunt.
","চাচা-চাচী আর ডনের দিকে চাইলাম।
"
"I love your aunt.
","তোমার আন্টিরে আমি অনেক ভালবাসি।
"
"I made with my aunt.
","করেছিলাম তোমার আন্টির সাথে।
"
"I searched for aunt and uncle.
","চাচা-চাচী আর ডনের দিকে চাইলাম।
"
"I see you brought your mother and aunt with you.
","দেখো তোমার বৌমা আর নাতিকে নিয়ে এসেছি.
"
"I so sorry to hear about your aunt.
","তোমার আন্টির কথা শুনে খারাপ লাগছে।
"
"I still have 3 aunts.
","আমি এখনও তিনটি স্তনবৃন্ত আছে।
"
"I talked to my aunt a few days ago.
","চাচীর সাথে দুইদিন আগে কথা বলেছি।
"
"I talked to the aunt.
","আন্টির সাথে কথা বললাম।
"
"I wanna talk to your aunt.
","আমি একটু তোর আন্টির সাথে কথা বলে আসি।
"
"I was eating dinner with my aunt and uncle.
","আমি চাচ্চু আম্মুসহ ডিনার করতে ছিলাম।
"
"I was going to sit next to my aunt politely.
","আমি ভদ্রতাবসত আন্টির পাশে বসতে যাচ্ছিলাম।
"
"I was talking to your aunt and uncle.
","আমি তোর আব্বা আর চাচি গল্প করছিলাম।
"
"I went to aunt's home.
","আন্টির বাসায় গেলাম।
"
"I went to aunt's house.
","আন্টির বাসায় গেলাম।
"
"I went to dinner with my aunt and uncle.
","আমি চাচ্চু আম্মুসহ ডিনার করতে ছিলাম।
"
"I would be your aunt!
","আমিতো তোর আন্টি হই!
"
"I would talk to your aunt.
","আমি একটু তোর আন্টির সাথে কথা বলে আসি।
"
"I'll call the aunt.
","আন্টিকে ডাকব।
"
"I'll talk to your aunt.
","আমি একটু তোর আন্টির সাথে কথা বলে আসি।
"
"I'm also an aunt.
","আমিও তো একটা আন্টিই।
"
"I'm at my aunt's house.
","আমি করছি আন্টির বাসায়।
"
"I'm going to my aunt's wedding.
","আমার মামাত বোনের বিয়েতে যাচ্ছি।
"
"I'm here to see my aunt.
","I come here for meeting my aunt. আমি এখানে আমার আন্টির সাথে দেখা করতে আসি।
"
"I'm here visiting my aunt.
","I come here for meeting my aunt. আমি এখানে আমার আন্টির সাথে দেখা করতে আসি।
"
"I'm sorry to hear of your aunt.
","তোমার আন্টির কথা শুনে খারাপ লাগছে।
"
"I'm your aunt!
","আমিতো তোর আন্টি হই!
"
"I'ms sorry to hear about your aunt.
","তোমার আন্টির কথা শুনে খারাপ লাগছে।
"
"I've come to bring Harry to his aunt and uncle.
","আমি হ্যারিকে তার আঙ্কল ও আন্টের কাছে দিয়ে যাবার জন্য এখানে এসেছি।
"
"If the students are struggling, walk them through the first two problems.For the first problem, explain that students are given the time and distance that the aunt is flying, so they only need to determine the rate (or speed).
","ছাত্র সংগ্রামরত হয়, প্রথম দুই সমস্যার মাধ্যমে তাদের হেঁটে প্রথম সমস্যাটির জন্য, ব্যাখ্যা করুন যে ছাত্রদের সময় এবং দূরত্ব দেওয়া হয় যা মাসিরচাঁদ উড়ছে, তাই তাদের শুধুমাত্র হার (বা গতি) নির্ধারণ করতে হবে।
"
"If you're not a parent, if you're an aunt or uncle or neighbor, books are an amazing gift.
","আপনি যদি বাবা-মা না হন, আপনি যদি খালা বা চাচা বা প্রতিবেশী হন তবে বইগুলি একটি আশ্চর্যজনক উপহার।
"
"In addition she has numerous aunts, uncles and cousins.
","এছাড়া তার আছে অনেক মামাতো, ফুপাতো আর চাচাতো ভাই।
"
"In my aunt's house.
","তোর আন্টির বাসায়।
"
"In the complaint, the girl said that she studied at a private school while living near her aunt and uncle.
","অভিযোগে মেয়েটি বলেছে যে সে তার চাচী ও মামার কাছে থাকাকালীন একটি প্রাইভেট স্কুলে পড়াশোনা করেছিল।
"
