eng_Latn,ben_Beng
"""""""How do you feel about your father and grandfather?""
","""""""দেখসো তুমি, তোমার বাবা আর দাদী কেমন করে?""
"
"""""""How's your grandfather's health?""""""
","""""""আচ্ছা, আপনার দাদার শরীরের অবস্থা কেমন ছিল?""
"
"""""""I couldn't be the most wonderful granddaughter if I didn't have the most wonderful grandfather on the planet!""
","""""""আমি গ্রহের সবচেয়ে বিস্ময়কর নাতনী যদি আমি বিশ্বের সর্বাধিক ভয়ঙ্কর পিতামহ ছিল না হতে পারে না!""
"
"""""""I couldn't be the most wonderful granddaughter on the planet if I didn't have the most wonderful grandfather on the planet!""
","""""""আমি গ্রহের সবচেয়ে বিস্ময়কর নাতনী যদি আমি বিশ্বের সর্বাধিক ভয়ঙ্কর পিতামহ ছিল না হতে পারে না!""
"
"""""""I have a grandfather.""
","""""""আমার দাদার একটা আছে।""
"
"""""""I know his grandfather.""
","""""""আমার দাদাকে চেনা আছে।""
"
"""""""I know my grandfather.""
","""""""আমার দাদাকে চেনা আছে।""
"
"""""""I know your grandfather.""
","""""""আমার দাদাকে চেনা আছে।""
"
"""""""I know, grandfather.""
","""""""আমি জানি, দাদা।""
"
"""""""I wish my grandfather was alive today.""
","""""""আমি ভাবি যদি আমার দাদী আজ বেঁচে থাকতেন!""
"
"""""""I'll talk to my grandfather.""
","""- """"আমি কথা বলে আসছি দাদার সঙ্গে।""
"
"""""""I'm the grandfather.""
","""""""আছি দাদা।""
"
"""""""Is my grandfather at home?""""""
","""দাদা কি আছেন বাড়িতে""""?""
"
"""""""Is there something wrong, grandfather?""""""
",""""""" দাদা কিছু হয়েছে?""
"
"""""""It is a letter from your grandfather.""""""
","""""""তোমার দাদার চিঠি।""
"
"""""""It's about your grandfather.""
","""""""আপনার দাদার ব্যাপারে।""
"
"""""""It's normal that Kylian, who is 20 years old, thinks of me as a paternal figure or even a grandfather, but I think he's nice,"""" Buffon said CNN.""
","""বাফন বলেন, """"কেবলমাত্র স্বাভাবিক যে কিলিয়ান ২0 বছর বয়সে এবং আমার সম্পর্কে বাবা বা এমনকি দাদা হিসাবে মনে করেন, কিন্তু আমি মনে করি এটি চমৎকার।""
"
"""""""Most recipes date back to over 70 years as they are my grandfather's recipes.""""""
","""""""বেশিরভাগ রেসিপিগুলি আমার দাদার মতো হওয়ায় 70 বছরেরও বেশি পুরানো রেসিপি.""
"
"""""""My father worked here for 32 years before me, and my grandfather worked here for 37 years.""
","""""""আমার নানা এখানে কাজ করেছেন ৩৫ বছর , এরপর আমার আব্বা - ৪৫ বছর।""
"
"""""""My grandfather and father always told me that even if there's only one second left, there's still hope.""
","""""""আমার দাদা এবং বাবা আমাকে অবিরত অবহিত করেছিলেন যে এছাড়াও যদি কেবল মাত্র ২ য় বাম বাকি থাকে তবে এখনও সত্যই আশা আছে।""
"
"""""""My grandfather and his family were not there just for business.""
","""""""আমার দাদা ও তার পরিবার সেখানে কেবল ব্যবসায়ের জন্য ছিলেন না।""
"
"""""""My grandfather named me?""""""
","""""""দাদা আমায় ডেকেচেন?""
"
"""""""My grandfather said to give you this.""
","বলে, আমার শ্বশুরআব্বা এটা আপনাকে দিতে বললেন।
"
"""""""My grandfather sold the land?""""""
","""""""আমার চাচা অমুকের জমি লুটে ফেলেছে?""
"
"""""""My grandfather stopped the car and he took me out of the car.""
","""""""আমার শ্বশুরবাড়ী আমাকে গাড়ি থেকে নামিয়ে দেয় এবং আমি পড়ে গেলাম।""
"
"""""""My grandfather told me stories.""
","""""""দাদা আমায় গল্প শোনাতেন।""
"
"""""""My grandfather was a freedom fighter.""
","""""""আমার বাবা একজন মুক্তিযোদ্ধা ছিলেন।""
"
"""""""My grandfather was a mountain man.""
","""""""বাবা একজন মাউন্টেনিয়ার ছিল।""
"
"""""""My grandfather was a mountaineer.""
","""""""বাবা একজন মাউন্টেনিয়ার ছিল।""
"
"""""""My great grandfather died,"""" he told me.""
","""""""আমার দাদী মারা গেছেন,"""" বললাম তাকে।""
"
"""""""My mother was born in France, her mother was entirely French as was her grandfather.""
","আমার মা ফ্রান্সে জন্মগ্রহণ করেছিলেন, তার মা তার পিতামহের মতো ফরাসি ছিলেন।
"
"""""""My mother was born in France, her mother was totally French as was her grandfather.""
","আমার মা ফ্রান্সে জন্মগ্রহণ করেছিলেন, তার মা তার পিতামহের মতো ফরাসি ছিলেন।
"
"""""""New generations are continuing the success of their fathers and grandfathers.""""""
","""""""নতুন প্রজন্ম তাদের পিতামহ ও দাদাদের সাফল্য অব্যাহত রেখেছে।""
"
"""""""No the grandfather.""""""
","""""""দাদাই না।""
"
"""""""No, my grandfather.""
","""""""না না, দাদা।""
"
"""""""Of course he wasn't your real grandfather.""
","'আসলে ওই লোকটা আপনার খোরশেদ মামু ছিল না।
"
"""""""Sit down here and I'll tell you all about it,"""" his grandfather said.""
","""""""এদিকে বসো, আমি তোমাকে এই লণ্ঠন সম্পর্কে সব খুলে বলছি,"""" তাঁর দাদা বললেন।""
"
"""""""Take care of your grandfather.""""""
","""""""দাদার যত্ন নিয়ো।""
"
"""""""Thank you, my grandfather.""""""
","""""""থ্যাঙ্ক ইউ, দাদা""""।""
"
"""""""The diamond is from the 1890s, and the setting is from 1915, which is the year my grandfather was born.""""""
","হীরাটি 1890-এর দশকের, এবং সেটিংটি 1915 সালের, যা আমার দাদার জন্মের বছর।
"
"""""""The grandfather put down his book.""
","'দাদা বই নামিয়ে রাখলেন'।
"
"""""""The grandfather, what happened.""""""
","""- """"দাদার যে কি হয়েছে।""
"
"""""""These are not your grandfather's Playboy,"""" he added.""
","""""""এই আপনার দাদা না প্লেবয়,"""" তিনি যোগ।""
"
"""""""This is my grandfather's creation from back in Kenya in the 1950s and we have customers who especially come to us from miles away to have it.""""""
","""""""এটি আমার পিতামহ ১৯৫০ এর দশকে কেনিয়ার পিছনে থেকেই সৃষ্টি এবং আমাদের গ্রাহকরা বিশেষত কয়েক মাইল দূরে আমাদের কাছে এসেছিলেন এটি পেতে।""
"
"""""""This is not your grandfather's mill,"""" he adds.""
","""""""এই আপনার দাদা না প্লেবয়,"""" তিনি যোগ।""
"
"""""""We have lost a exceptional and loving husband, father, grandfather and a great American,"""" his family said in the statement on Monday, local time.""
","""""""আমরা একজন অসাধারণ ও প্রেমময় স্বামী, বাবা ও দাদা এবং একজন মহান আমেরিকানকে হারিয়েছি,"""" পাওয়েলের পরিবার এভাবেই ১৮ অক্টোবর বলছিল।""
"
"""""""We have lost a remarkable and loving husband, father and grandfather and a great American,"""" Powell's family said October 18.""
","""""""আমরা একজন অসাধারণ ও প্রেমময় স্বামী, বাবা ও দাদা এবং একজন মহান আমেরিকানকে হারিয়েছি,"""" পাওয়েলের পরিবার এভাবেই ১৮ অক্টোবর বলছিল।""
"
"""""""We have lost a remarkable and loving husband, father and grandfather and a great American,"""" said Powell's family Monday.""
","""""""আমরা একজন অসাধারণ ও প্রেমময় স্বামী, বাবা ও দাদা এবং একজন মহান আমেরিকানকে হারিয়েছি,"""" পাওয়েলের পরিবার এভাবেই ১৮ অক্টোবর বলছিল।""
"
"""""""We have lost a remarkable and loving husband, father, grandfather and a great American,"""" Powell's family said Monday.""
","""""""আমরা একজন অসাধারণ ও প্রেমময় স্বামী, বাবা ও দাদা এবং একজন মহান আমেরিকানকে হারিয়েছি,"""" পাওয়েলের পরিবার এভাবেই ১৮ অক্টোবর বলছিল।""
"
"""""""We have lost a remarkable and loving husband, father, grandfather and a great American,"""" he said, Given that he was fully vaccinated.""
","""""""আমরা একজন অসাধারণ এবং প্রেমময় স্বামী, বাবা, দাদা এবং একজন মহান আমেরিকানকে হারিয়েছি,"""" তারা বলেছিল যে, তাকে কোভিড -১ against এর বিরুদ্ধে সম্পূর্ণ টিকা দেওয়া হয়েছিল, কিন্তু শেষ পর্যন্ত এটি তার জীবন নিয়েছিল।""
"
"""""""We have lost a remarkable and loving husband, father, grandfather and a great American,"""" his family wrote on Facebook.""
","'আমরা একজন অসাধারণ এবং প্রেমময় স্বামী, বাবা, দাদা এবং একজন মহান আমেরিকানকে হারিয়েছি,' ফেসবুকে লিখেছে তার পরিবার।
"
"""""""We have lost a remarkable and loving husband, father, grandfather and a great American,"""" the family said in a statement posted to social media on Monday (Oct 18).""
","""""""আমরা একজন অসাধারণ ও প্রেমময় স্বামী, বাবা ও দাদা এবং একজন মহান আমেরিকানকে হারিয়েছি,"""" পাওয়েলের পরিবার এভাবেই ১৮ অক্টোবর বলছিল।""
"
"""""""We have lost a remarkable and loving husband, father, grandfather and a great American,"""" the family said on Facebook.""
","'আমরা একজন অসাধারণ এবং প্রেমময় স্বামী, বাবা, দাদা এবং একজন মহান আমেরিকানকে হারিয়েছি,' ফেসবুকে লিখেছে তার পরিবার।
"
"""""""We have lost a remarkable and loving husband, father, grandfather and a great American,"""" the family said.""
","পরিবারের ঘোষণায় বলা হয়েছে, 'আমরা একজন অসাধারণ ও ভালোবাসাময় স্বামী, বাবা ও দাদা এবং একজন মহান আমেরিকানকে হারিয়েছি।
"
"""""""We have lost a remarkable and loving husband, father, grandfather and a great American,"""" they said, adding that he had been fully vaccinated against COVID-19, but that it eventually took his life.""
","""""""আমরা একজন অসাধারণ এবং প্রেমময় স্বামী, বাবা, দাদা এবং একজন মহান আমেরিকানকে হারিয়েছি,"""" তারা বলেছিল যে, তাকে কোভিড -১ against এর বিরুদ্ধে সম্পূর্ণ টিকা দেওয়া হয়েছিল, কিন্তু শেষ পর্যন্ত এটি তার জীবন নিয়েছিল।""
"
"""""""We have lost a remarkable and loving husband, father, grandfather and a great American,"""" they said, adding that he was fully vaccinated against Covid-19, which eventually took his life""
","""""""আমরা একজন অসাধারণ এবং প্রেমময় স্বামী, বাবা, দাদা এবং একজন মহান আমেরিকানকে হারিয়েছি,"""" তারা বলেছিল যে, তাকে কোভিড -১ against এর বিরুদ্ধে সম্পূর্ণ টিকা দেওয়া হয়েছিল, কিন্তু শেষ পর্যন্ত এটি তার জীবন নিয়েছিল।""
"
"""""""We have lost a remarkable and loving husband, father, grandfather and a great American,"""" they said, adding that he was fully vaccinated against Covid-19, which eventually took his life.""
","""""""আমরা একজন অসাধারণ এবং প্রেমময় স্বামী, বাবা, দাদা এবং একজন মহান আমেরিকানকে হারিয়েছি,"""" তারা বলেছিল যে, তাকে কোভিড -১ against এর বিরুদ্ধে সম্পূর্ণ টিকা দেওয়া হয়েছিল, কিন্তু শেষ পর্যন্ত এটি তার জীবন নিয়েছিল।""
"
"""""""We have lost a remarkable and loving husband, father, grandfather and a great American.""""""
","আমরা একজন অসাধারণ মানুষ, প্রেমময় স্বামী, বাবা, দাদা এবং মহান আমেরিকানকে হারিয়েছি'।
"
"""""""We have lost a remarkable and loving husband, father, grandfather, and a great American,"""" the family said.""
","পরিবারের ঘোষণায় বলা হয়েছে, 'আমরা একজন অসাধারণ ও ভালোবাসাময় স্বামী, বাবা ও দাদা এবং একজন মহান আমেরিকানকে হারিয়েছি।
"
"""""""We have lost a remarkable and loving husband, father, grandfather, and a great American,"""" they said, adding that he had been fully vaccinated against Covid-19, but that it eventually took his life.""
","""""""আমরা একজন অসাধারণ এবং প্রেমময় স্বামী, বাবা, দাদা এবং একজন মহান আমেরিকানকে হারিয়েছি,"""" তারা বলেছিল যে, তাকে কোভিড -১ against এর বিরুদ্ধে সম্পূর্ণ টিকা দেওয়া হয়েছিল, কিন্তু শেষ পর্যন্ত এটি তার জীবন নিয়েছিল।""
"
"""""""We have lost a remarkable man, a loving husband, father, grandfather and a great American.""""""
","আমরা একজন অসাধারণ মানুষ, প্রেমময় স্বামী, বাবা, দাদা এবং মহান আমেরিকানকে হারিয়েছি'।
"
"""""""We lost a special and loving husband, father, and grandfather, and a great American,"""" his family writes on his Facebook page.""
","'আমরা একজন অসাধারণ এবং প্রেমময় স্বামী, বাবা, দাদা এবং একজন মহান আমেরিকানকে হারিয়েছি,' ফেসবুকে লিখেছে তার পরিবার।
"
"""""""We lost the grandfather of the nation,"""" he added.""
","""""""আমরা জাতির পিতামহকে হারিয়েছি,"""" তিনি যোগ করেছিলেন।""
"
"""""""We're not your grandfather's conservative party.""
","আমরা আর তোমার বাবার কনজারভেটিভ পার্টি নই।
"
"""""""We've lost a wonderful and loving husband, father, grandfather and great American.""""""
","""""""তার মত্যুতে আমরা একজন অসাধারণ মানুষ, প্রেমময় স্বামী, বাবা, দাদা এবং মহান আমেরিকানকে হারিয়েছি।""
"
"""""""We've misplaced a exceptional and loving husband, father, grandfather and an excellent American,"""" they mentioned, including that he had been absolutely vaccinated towards Covid-19, however that it will definitely took his life.""
","""""""আমরা একজন অসাধারণ এবং প্রেমময় স্বামী, বাবা, দাদা এবং একজন মহান আমেরিকানকে হারিয়েছি,"""" তারা বলেছিল যে, তাকে কোভিড -১ against এর বিরুদ্ধে সম্পূর্ণ টিকা দেওয়া হয়েছিল, কিন্তু শেষ পর্যন্ত এটি তার জীবন নিয়েছিল।""
"
"""""""What did grandfather do?""""""
","""""""আবার দাদা কি করল?""
"
"""""""What will you do, grandfather?""""""
","""""""কী করবে, দাদা?""
"
"""""""Where did you find your grandfather?""""""
","""-"""" তা দাদাই এর সাথে কোথায় দেখা হল তোর?""
"
"""""""Where is your grandfather now?""""""
","""""""তাহা হইলে দাদা এখন কোথায়?""
"
"""""""Who gave it to your grandfather?""""""
","""""""এটা আবার তোর বাপকে কে দিল বলতো?""
"
"""""""Who is he, grandfather?""""""
","""""""লোকটা কে, দাদা?""
"
"""""""Why did you come, grandfather?""""""
","""""""তুই কেন এসেছিলি দাদা?""
"
"""""""Why didn't grandfather come?""""""
","""""""বুড়োদিদা কেন হয়নি?""
"
"""""""Why didn't you tell your grandfather?""""""
","""- """"তুমি দাদা কে এসব বলোনি কেন?""
"
"""""""Yes, a very long time,"""" replied grandfather.""
","""""""হ্যাঁ, দাদা, অনেকদিন পর,"""" সে নীচুগলায় সম্মতি জানাল।""
"
"""""""Yes, right,"""" said grandfather.""
","'হ্যাঁ, ঠিক,' দাদা বললেন।
"
"""""""You don't know my grandfather.""
","- তুমি আমার দাদাকে জান না চাঁপাডাঙার দিদি।
"
"""""""You have two grandfathers.""
","""""""ওখানেও তো তোর দুটো দাদা আছে""""।""
"
"""""""You haven't seen your grandfather before?""""""
",""""""" আপনি এর আগে কখনও আপনার দাদাকে দেখতে আসেন নি ?""
"
"""""""You know my grandfather?""""""
","""""""আমার দাদাকে আপনি কি চিনতে পারছেন?""
"
"""""""You mean my grandfather?""""""
","'দাদা মানে, আমার বাবা?
"
"""""""You mean, you're my grandfather?""""""
","-তুমি বলতে চাচ্ছ তুমি আমার নাতি?
"
"""""""You never knew your grandfather, my father.""
","""""""আপনি আমার শ্বশুরমশাইকে চেনেন না মিঃ।""
"
"""""""You've seen my grandfather before?""""""
",""""""" আপনি এর আগে কখনও আপনার দাদাকে দেখতে আসেন নি ?""
"
"""""""Your grandfather asked me to give you this.""""""
","""দাদা আমকে বলেন, """"তোর বৌদি এটা তোকে দিতে বলেছিলেন।""
"
"""""""Your grandfather home?""""""
","""""""দাদা বাড়ি?""
"
"""""""Your grandfather is sleeping.""
","""- """"বাবা আপনার নাতিকে ঘুম পাড়াচ্ছি।""
"
"""""""Your grandfather is still sleeping.""""""
","""-""""আপনার নাতি এখনো ঘুমোচ্ছে বাবা।""
"
"""""""Your grandfather tells me nothing.""""""
","""আমাকে তোমার বুড়ো মামা কিছুই বলে নাই""""""""""""।""
"
"""""""Your grandfather was a Hunter?""""""
","""""""তোমার দাদাও ক্রিকেটার ছিল নাকি?""
"
"""""""Your grandfather's still asleep.""
","""-""""আপনার নাতি এখনো ঘুমোচ্ছে বাবা।""
"
"""""""your grandfather""""""
","""তোমার দাদা""""""
"
"""""""your grandfather?""""""
","""""""তোমার দাদা?""
"
"""A visitor to my blog also asked me through a comment, """"How do I get a new post idea for my grandfather's blog?""""""
","""আমাকেও, আমার ব্লগের একজন ভিসিটর কমেন্টের মাধ্যমে জিগেশ করেছিলেন, """"দাদা ব্লগের জন্য নতু পোস্ট আইডিয়া"""" কিভাবে পাবো ?""
"
"""Although Jemima is too young to quite understand the passing of her grandfather, her mum said the fundraiser would also serve as a """"special memory"""" that the two-year-old can look back on when she is older.""
","""""""যদিও জেমিমা তার দাদার পাশ কাটাতে যথেষ্ট কম বয়সী, তবুও তার আম্মু বলেছিলেন যে এই তহবিল সংগ্রহকারী একটি"""" বিশেষ স্মৃতি """"হিসাবেও কাজ করবে যা দু'বছর বয়সী যখন বড় হবে তখন ফিরে যেতে পারে"""" """"""
"
"""Former Arkansas Governor Mike Huckabee said President Barack Obama """"probably grew up hearing that the British were a bunch of imperialists who persecuted their grandfather.""""""
","আরকানসাসের সাবেক গভর্নর মাইক হাকাবি বলেছিলেন, প্রেসিডেন্ট বারাক ওবামা সম্ভবত এই শুনে শুনে বড় হয়েছেন যে, এই সাম্রাজ্যবাদী ব্রিটিশরা আসলে তার পূর্বপুরুষদের নির্যাতনকারী।
"
"""Harris called her grandfather one of her """"favorite people in the world,"""" in an interview with Los Angeles Times last year, while she was still campaigning for the democratic presidential nomination.""
","""হ্যারিস গত বছর লস অ্যাঞ্জেলেস টাইমসকে দেওয়া একটি সাক্ষাত্কারে তাঁর দাদাকে তার """"বিশ্বের অন্যতম প্রিয় মানুষ"""" বলে অভিহিত করেছিলেন, যখন তিনি এখনও গণতান্ত্রিক রাষ্ট্রপতি মনোনয়নের জন্য প্রচারণা চালাচ্ছিলেন।""
"
"""He said, """"Amma, I am your grandfather.""
","বলল, 'মামনি, আমি তোমার আন্টি।
"
"""His family announced his death via Facebook post, """"We have lost a remarkable and loving husband, father, grandfather and a great American,"""" the family said.""
","পরিবারের পক্ষ থেকে সামাজিক যোগাযোগ মাধ্যম ফেসবুকের এক স্ট্যাটাসে লেখা হয়েছে- 'আমরা স্বনামধন্য ও প্রিয় একজন স্বামী, বাবা, দাদা এবং একজন মহান আমেরিকানকে হারিয়েছি।
"
"""His grandfather.""""""
","""তোমার দাদা""""""
"
"""I asked, """"Where is your grandfather?""""""
","""আমি ওকে জিজ্ঞেস করি, """"আপনার দাদা কোথায়?""
"
"""I don't have a grandfather!""""""
","""আমার যেহেতু বাবা বা বড়ভাই কেউ নেই """"""""!""
"
"""I said, """"My grandfather?"""" .""
","""বললাম, """"দাদা দেখি ?""
"
"""I said, """"No grandfather.""""""
","""আমি জবাবে বললাম,"""" না দাদা।""
"
"""I said, """"Who's your grandfather?""""""
","আমি বললাম, 'গেছো দাদা কে ?
"
"""I used to live with my grandfather.""""""
","""""""দাদার সঙ্গে আমি সবসময় থাকতাম।""
"
"""I want my grandfather to live!""""""
","""""""দাদা আমি বাঁচতে চাই!""
"
"""I will take you back to your grandfather.""""""
","""আমি তোমার দিদিভাইকে নিয়ে আসি""""।""
"
"""I'm going with grandfather.""""""
","""আমি চললাম দাদার সাথে""""।""
"
"""I... I do not know the answer, grandfather.""""""
","""""""এর উত্তর আমিও ঠিক জানিনা দাদাভাই।""
"
"""In a Facebook post, his family said, """"We have lost a remarkable and loving husband, father, grandfather, and a great American.""""""
","পরিবারের পক্ষ থেকে সামাজিক যোগাযোগ মাধ্যম ফেসবুকের এক স্ট্যাটাসে লেখা হয়েছে- 'আমরা স্বনামধন্য ও প্রিয় একজন স্বামী, বাবা, দাদা এবং একজন মহান আমেরিকানকে হারিয়েছি।
"
"""In a tribute to his grandfather, Prince William wrote: """"I will miss my Grandpa, but I know he would want us to get on with the job.""""""
","""প্রিন্স উইলিয়াম এক বিবৃতিতে বলেছিলেন, """"আমি আমার দাদাকে মিস করব, তবে আমি জানি তিনি আমাদের চাইবেন যে আমরা এই কাজটি চালিয়ে যাই।""
"
"""In an announcement on social media, his family said: """"We have lost a remarkable and loving husband, father and grandfather and a great American.""""""
","পরিবারের পক্ষ থেকে সামাজিক যোগাযোগ মাধ্যম ফেসবুকের এক স্ট্যাটাসে লেখা হয়েছে- 'আমরা স্বনামধন্য ও প্রিয় একজন স্বামী, বাবা, দাদা এবং একজন মহান আমেরিকানকে হারিয়েছি।
"
"""Mike Huckabee, the former Arkansas governor, said it was because President Barack Obama """"probably grew up hearing that the British were a bunch of imperialists who persecuted his grandfather.""""""
","আরকানসাসের সাবেক গভর্নর মাইক হাকাবি বলেছিলেন, প্রেসিডেন্ট বারাক ওবামা সম্ভবত এই শুনে শুনে বড় হয়েছেন যে, এই সাম্রাজ্যবাদী ব্রিটিশরা আসলে তার পূর্বপুরুষদের নির্যাতনকারী।
"
"""Ms Soames acknowledged her grandfather had often held views which """"particularly now are regarded as unacceptable but weren't necessarily then.""""""
","""মিসেস সোয়েমস স্বীকার করেছেন যে তাঁর দাদা প্রায়শই এমন মতামত রেখেছিলেন যা """"বিশেষত এখন অগ্রহণযোগ্য হিসাবে বিবেচিত হয় তবে ততকালীন সময়ে এতা প্রয়োজন ছিল।""
"
"""Ms Soames said it was """"extraordinarily sad that my grandfather, who was such a unifying figure in this country, appears to have become a sort of icon through being controversial.""""""
","""মিসেস সোয়েস বলেন যে """"এটি অত্যন্ত অস্থির যে আমার দাদা, যিনি এদেশে একজন জাতীয় একতাবদ্ধ ব্যক্তিত্ব ছিলেন, বিতর্কিত হয়ে এক ধরণের আইকনে পরিণত হয়েছে বলে মনে হয়।""
"
"""My grandfather died,"""" he said.""
","""""""আমার দাদী মারা গেছেন,"""" বললাম তাকে।""
"
"""My grandfather loves you!""""""
","""দাদা তো তোমায় ভালোবাসে""""।""
"
"""My grandfather.""""""
","""আমার দাদা - """"।""
"
"""My mother was born in France; her mother was French, just like her grandfather.""""""
","আমার মা ফ্রান্সে জন্মগ্রহণ করেছিলেন, তার মা তার পিতামহের মতো ফরাসি ছিলেন।
"
"""Or as your grandfather might say, """"The bee's knees.""""""
","বা আপনার দাদা যেমন বলতে পারে, 'মৌমাছির হাঁটু।
"
"""Prince Charles said he was """"enormously proud and happy to be a grandfather for the first time.""""""
","প্রিন্সউইলিয়ামের বাবা, প্রিন্স চার্লস বলেছেন, প্রথমবারের মতো দাদা হতে পেরে তিনি খুবই গর্বিত এবং আনন্দিত।
"
"""She asked: """"- This is your grandfather,"""" I looked at him.""
","""তিনি জিজ্ঞেস করেনঃ """"- এই তোমার দাদা,"""" আমি তার দিকে তাকিয়ে।""
"
"""She loved your grandfather...""""""
","""তোমার বাবা ওর দাদাইকে খুব ভালোবাসত. . . """"""
"
"""Soames acknowledged her grandfather had often held views which """"particularly now are regarded as unacceptable but weren't necessarily then.""""""
","""মিসেস সোয়েমস স্বীকার করেছেন যে তাঁর দাদা প্রায়শই এমন মতামত রেখেছিলেন যা """"বিশেষত এখন অগ্রহণযোগ্য হিসাবে বিবেচিত হয় তবে ততকালীন সময়ে এতা প্রয়োজন ছিল।""
"
"""The actor, who made his debut with the film """"Yeh Saali Aashiqui"""" in 2019, recalled his best memories with his grandfather.""
","""2019 সালে """"ইয়ে সালি আশিকী"""" চলচ্চিত্র দিয়ে আত্মপ্রকাশকারী এই অভিনেতা তাঁর দাদার সাথে তাঁর সেরা স্মৃতি স্মরণ করেছিলেন।""
"
"""The diamond is from the 1890s and the setting is from 1915, which is the year my grandfather was born.""""""
","হীরাটি 1890-এর দশকের, এবং সেটিংটি 1915 সালের, যা আমার দাদার জন্মের বছর।
"
"""The diamond is from the 1890s, and the setting is from 1915, which is the year my grandfather was born.""""""
","হীরাটি 1890-এর দশকের, এবং সেটিংটি 1915 সালের, যা আমার দাদার জন্মের বছর।
"
"""We have lost a notable and loving husband, father, grandfather, and great American. """"""
","আমরা একজন অসাধারণ মানুষ, প্রেমময় স্বামী, বাবা, দাদা এবং মহান আমেরিকানকে হারিয়েছি'।
"
"""We have lost a remarkable and loving husband, father, grandfather and a great American,"""" his family said on Facebook.""
","'আমরা একজন অসাধারণ এবং প্রেমময় স্বামী, বাবা, দাদা এবং একজন মহান আমেরিকানকে হারিয়েছি,' ফেসবুকে লিখেছে তার পরিবার।
"
"""We have lost a remarkable and loving husband, father, grandfather and a great American.""""""
","আমরা একজন অসাধারণ মানুষ, প্রেমময় স্বামী, বাবা, দাদা এবং মহান আমেরিকানকে হারিয়েছি'।
"
"""We have lost a remarkable and loving husband, father, grandfather, and a great America.""""""
","আমরা একজন অসাধারণ মানুষ, প্রেমময় স্বামী, বাবা, দাদা এবং মহান আমেরিকানকে হারিয়েছি'।
"
"""We have lost a remarkable and loving husband, father, grandfather, and a great American,"""" said his family on his Facebook page.""
","'আমরা একজন অসাধারণ এবং প্রেমময় স্বামী, বাবা, দাদা এবং একজন মহান আমেরিকানকে হারিয়েছি,' ফেসবুকে লিখেছে তার পরিবার।
"
"""You're going to hurt your grandfather!""""""
","""""""আমি তোমার দিদিভাইকে কষ্ট দিচ্ছি !""
"
"""Your grandfather is not that kind of person.""""""
","""তোমার চাচি সেই রকম মানুষই না""""।""
"
"""Your grandfather's.""""""
","""তোমার দাদা""""""
"
"""his grandfather.""""""
","""তোমার দাদা""""""
"
"""my grandfather, my parents, and ..."""" He hesitated, glancing down at the floor.""
","আমার দাদা, বাবা-মা এবং... সে একটু ইতস্তত করে মাটির দিকে চেয়ে রইলো।
"
"""my grandfather.""""""
","""আমার দাদা - """"।""
"
"'My grandfather was blown up in front of my eyes'
","'আমার চক্ষের সামনে বাবারে গুলি কইরা মারছে'
"
"(His grandfather died, and UG left the University of Madras without completing his degree.
","[তাঁর মাতামহের মৃত্যু হলো, আর ইউ.জী. ডিগ্রি শেষ না করেই মাদ্রাজ বিশ্ববিদ্যালয় ত্যাগ করলেন।
"
"(I've never seen my grandfather cry.)
","(আমার কান্না আপনি দেখতে পেলেন না কিন্তু দাদাভাই)
"
"(This is the true story of the author's grandfather.)
","(লেখকের দাদীর মুখে শোনা এই গল্প।
"
"(c) The grandfather.
","(ক) দাদা ।
"
