eng_Latn,ory_Orya
"In the 1830s, the 10th Earl of Home and his nephews the 5th Duke of Buccleuch and Lord John Scott,[12][13] had imported progenitors of the breed from Newfoundland to Europe for use as gundogs.
","ସନ ୧୮୩୦ରେ ଆଲେକଜାଣ୍ଡର ହୋମ, ଦଶମ ଇଅର୍ଲ ଅଫ ହୋମ (10th Earl of Home), ଓ ତାଙ୍କ ପୁରୁରା ୱାଲଟର ମଣ୍ଟେଗୁ ଡଗଲାସ ସ୍କଟ, ୫ମ ଡ୍ୟୁକ ଅଫ କୁକ୍ଲେଉଚ (5th Duke of Buccleuch) ଓ ଲର୍ଡ଼ ଜନ ସ୍କଟ (Lord John Scott),[୧୧][୧୨] ଏହି କୁକୁରର ପୂର୍ବପୁରୁଷକୁ ନିଉଫାଉଣ୍ଡଲାଣ୍ଡରୁ ୟୁରୋପକୁ ଶିକାରୀ କୁକୁର ଭାବରେ ଆମଦାନୀ କରିଥିଲେ ।
"
"In the s, the 10th Earl of Home and his nephews the 5th Duke of Buccleuch and Lord John Scott , [13] [14] had imported progenitors of the breed from Newfoundland to Europe for use as gundogs.
","ସନ ୧୮୩୦ରେ ଆଲେକଜାଣ୍ଡର ହୋମ, ଦଶମ ଇଅର୍ଲ ଅଫ ହୋମ (10th Earl of Home), ଓ ତାଙ୍କ ପୁରୁରା ୱାଲଟର ମଣ୍ଟେଗୁ ଡଗଲାସ ସ୍କଟ, ୫ମ ଡ୍ୟୁକ ଅଫ କୁକ୍ଲେଉଚ (5th Duke of Buccleuch) ଓ ଲର୍ଡ଼ ଜନ ସ୍କଟ (Lord John Scott),[୧୧][୧୨] ଏହି କୁକୁରର ପୂର୍ବପୁରୁଷକୁ ନିଉଫାଉଣ୍ଡଲାଣ୍ଡରୁ ୟୁରୋପକୁ ଶିକାରୀ କୁକୁର ଭାବରେ ଆମଦାନୀ କରିଥିଲେ ।
"
"Industrialist and former president of Sarhad Chamber of Commerce and Industry Fuad Ishaque, who is also Dilip Kumar's nephew, told PTI that he has proper and legal power of attorney of the property in Peshawar in his name.
","କୁମାରଙ୍କ ସମ୍ପର୍କୀୟ ତଥା ସରହଦ ଚାମ୍ବର ଅଫ୍ କମର୍ସ ଆଣ୍ଡ ଇଣ୍ଡଷ୍ଟ୍ରିର ପୂର୍ବତନ ସଭାପତି ଫୁଆଦ ଇସାକ୍ ପିଟିଆଇକୁ କହିଛନ୍ତି ଯେ ପେଶୱାରରେ ଉକ୍ତ ସମ୍ପତ୍ତି ପାଇଁ ତାଙ୍କ ପାଖରେ ଆଇନ ଅନୁଯାୟୀ କ୍ଷମତା ଅଛି।
"
"Kamal Nath said that he has no connection with the business of his nephew.
","କମଳନାଥ କହିଲେ ତାଙ୍କ ବ୍ୟବସାୟ ସହ ନାହିଁ କୌଣସି ସମ୍ବନ୍ଧ
"
"My nephew's a good kid.
","ନାତି ତାଙ୍କର ଭଲ ପିଲାଟି ।
"
"She shares a lot of pictures with her nephew.
","ସେ ନିଜ ନାତୁଣୀ ଆରାଧ୍ୟ ସହ ବହୁତ ସାରା ଫୋଟ ସେୟାର କରୁଛନ୍ତି ।
"
"Sridevi, a renowned actress in India died on Saturday night in Dubai, where she had been attending her nephew's wedding.
","ସଂପର୍କୀୟଙ୍କ ବିବାହ ଉତ୍ସବରେ ଯୋଗଦେବାକୁ ଯାଇ ଦୁବାଇରେ ଶନିବାର ରାତିରେ ପ୍ରାଣ ହରାଇଥିଲେ ପ୍ରଖ୍ୟାତ ଅଭିନେତ୍ରୀ ଶ୍ରୀଦେବୀ ।
"
"The names of the family members of former president Fakhruddin Ali Ahmed's nephew do not figure in the draft NRC.
","ସ୍ୱର୍ଗତ ରାଷ୍ଟ୍ରପତି ଫକିରୁଦ୍ଦିନ ଅଲ୍ଲୀ ଅହମ୍ମଦଙ୍କ ପରିବାର ସଦସ୍ୟମାନଙ୍କ ନାମ ଏନ୍୍ଆର୍୍ସି ତାଲିକାରେ ନାହିଁ।
"
"Cops murder: Wife, nephew held
","ସ୍ତ୍ରୀଙ୍କୁ ହତ୍ୟା ଉଦ୍ୟମ: ସ୍ବାମୀ, ସମ୍ପର୍କୀୟ ଗିରଫ
"
"The police have arrested the nephew of the victim's father in this connection.
","ଏହି ଘଟଣାରେ ପୋଲିସ ଅଭିଯୁକ୍ତ ବାପା ଉନ୍ନିକୃଷ୍ଣନକୁ ଗିରଫ କରିଛି।
"
"The woman was accused of killing her nephew.
","ଏହି ମହିଳାଙ୍କୁ ଶାଶୂଘର ଲୋକ ମାରି ଟାଙ୍ଗି ଦେଇଥିବା ଅଭିଯୋଗ ହୋଇଥିଲା।
"
"Mehul Choksi and nephew Nirav Modi are key accused in the Punjab National Bank (PNB) fraud case.
","ଏହା ବ୍ୟତୀତ ନିରବ ମୋଦୀ ଓ ମେହୁଲ ଚୋକସି ପଞ୍ଜାବ ନ୍ୟାସନାଲ ବ୍ୟାଙ୍କ(ପିଏନବି) ଅର୍ଥ ହେରଫେର ଓ ଜାଲିଆତିର ମୁଖ୍ୟ ଅଭିଯୁକ୍ତ।
"
"Ahaan Pandey is the nephew of Bollywood actor Chunky Pandey.
","ବଲିଉଡ ଅଭିନେତା ଚୁଙ୍କି ପାଣ୍ଡେଙ୍କ ଝିଅ ହେଉଛନ୍ତି ଅନନ୍ୟା ପାଣ୍ଡେ।
"
"Among other family members were his nephews Randhir Kapoor and Rishi Kapoor who came with wife Neetu and his brother Shashi Kapoor.
","ରଣବୀର-ଆଲିଆଙ୍କ ବ୍ୟତୀତ ନୀତୁ କପୁର, ରିଦ୍ଧିମା କପୁର ସାହନି ଏବଂ ତାଙ୍କ ସ୍ୱାମୀ ଓ ଝିଆଅ ମଧ୍ୟ ଏକାଠି ନଜର ଆସିଥିଲେ।
"
"Mehul Choksi and his nephew Nirav Modi are accused in the Rs 13,500 crore Punjab National Bank fraud case.
","ମେହୁଲ ଚୋକସି ଓ ନୀରବ ମୋଦି ମିଳିମିଶି ପଞ୍ଜାବ ନ୍ୟାସନାଲ ବ୍ୟାଙ୍କର ୧୩ ହଜାର ୫୦୦ କୋଟି ଟଙ୍କାର ଘୋଟାଲାରେ ସାମିଲ୍ ଥିଲେ ।
"
"Banerjee, the nephew of West Bengal Chief Minister Mamata Banerjee is on a visit to Tripura.
","ପଶ୍ଚିମବଙ୍ଗ ମୁଖ୍ୟମନ୍ତ୍ରୀ ମମତା ବାନାର୍ଜି ଦାର୍ଜିଲିଂ ଗସ୍ତରେ ଅଛନ୍ତି ।
"
"But his nephew didn’t know that.
","ହେଲେ ଏକଥା ତାଙ୍କୁ ଜଣାନଥିଲା ।
"
"According to the police, Sushil Kumar's role was similar to that of former MLA Ramvir Shaukeen, who was working behind the scenes for his gangster nephew Neeraj Bawana.
","ପୋଲିସର ସୂଚନାନୁସାରେ, ସୁଶିଲଙ୍କ ଭୂମିକା ପୂର୍ବତନ ବିଧାୟକ ରାମଭୀର ସୌକିନଙ୍କ ଭଳି ଥିଲା, ଯିଏ ତାଙ୍କ ଗ୍ୟାଙ୍ଗଷ୍ଟର ଜ୍ୱାଇଁ ନୀରଜ ବାୱାନାଙ୍କ ପାଇଁ ପରଦା ପଛରେ ରହି କାମ କରୁଥିଲେ ।
"
"Apart from Kumar there were his wife, daughter and a nephew present in the house at the time.
","ତାଙ୍କ ମୁତ୍ୟୃ ସମୟରେ ପତ୍ନୀଙ୍କ ସମେତ ଝିଅ ଜ୍ୱାଇଁ ଓ ନାତି ନାତୁଣୀ ଉପସ୍ଥିତ ଥିଲେ।
"
"The NIA says that the attack was masterminded by Mohammad Umair, the nephew of Jaish-e-Mohammad chief, Maulana Masood Azhar.
","ଏନଆଇଏ ଦାବି କରିଛି ଯେ ଉକ୍ତ ଆକ୍ରମଣ ପଛରେ ମୌଲାନା ମସୁଦ ଆଝାରଙ୍କ ନେତୃତ୍ୱରେ ଜୈଶ ଏ ମହମ୍ମଦର ହାତ ରହିଛି।
"
"A mother, a father, brothers and sisters, nieces and nephews.
","ଘରେ ବାପା, ମାଆ, ଭାଇ ଭଉଣୀ ଓ ବୋହୂ ଅଛନ୍ତି।
"
"Aamir Khan 's nephew, Imran Khan also cannot cast his vote in India as he holds an American passport.
","ଅମୀର୍ ଖାନଙ୍କ ସମ୍ପର୍କିୟ ଇମରାନ୍ ମଧ୍ୟ ଭାରତରେ ଭୋଟ୍ ଦେଇପାରିବେ ନାହିଁ ।
"
"Chief Minister Mamata Banerjee visited the residence of her nephew Abhishek in south Kolkata's Harish Mukherjee Road minutes before the CBI team landed there.
","ସିବିଆଇ ଟିମ ଅଭିଷେକଙ୍କ କୋଲକାତାର ହରିଶ ମୁଖାର୍ଜୀ ରୋଡ ସ୍ଥିତ ଘରେ ପହଞ୍ଚିବା ପୂର୍ବରୁ ମୁଖ୍ୟମନ୍ତ୍ରୀ ମମତା ବାନାର୍ଜୀ ସେଠାକୁ ଯାଇଥିଲେ।
"
"Mamata Banerjee visited the residence of her nephew Abhishek in south Kolkata's Harish Mukherjee Road minutes before the CBI team landed there.
","ସିବିଆଇ ଟିମ କୋଲକାତା ସ୍ଥିତ ହରିଶ ମୁଖାର୍ଜି ରୋଡ ସ୍ଥିତ ଘରେ ପହଂଚିବା ପୂର୍ବରୁ ମମତା ବାନାର୍ଜି ସେଠାରେ ପହଂଚିଯାଇଥିଲେ ।
"
