eng_Latn,ory_Orya
"He subsequently went back to his aunt's house.
","ଏହା ପରେ ସେ ତାଙ୍କ ଜେଜେମା'ଙ୍କ ଘରକୁ ଚାଲି ଯାଇଥିଲେ।
"
"I asked my aunt why this was happening to me.
","ମୁଁ ମୋ ମା'ଙ୍କୁ ପଚାରିଲି , ମୋ ସହିତ ଏମିତି ଘଟଣା କାହିଁକି ଘଟିଲା?
"
"I called her aunt.
","ମୁଁ ମାମୁଁଙ୍କୁ ଫୋନ୍ କରିଥିଲି।
"
"I have a very good relationship with my aunt too.
","ମୋର ମୋ ସ୍ତ୍ରୀ ସହ ବହୁତ ଭଲ ସମ୍ପର୍କ ବି ଅଛି ।
"
"I have been a daughter, a sister, an aunt and now a wife.
","ଆଗରୁ ମୁଁ ଜଣେ ଝିଅ, ଜଣେ ଭଉଣୀ, ଜଣେ ଗର୍ଲଫ୍ରେଣ୍ଡ ଥିଲି ଆଉ ଏବେ ଜଣେ ପତ୍ନୀ ହେବାକୁ ଯାଉଛି।
"
"I haven't had any news about my aunt.
","ମୋ ନାତୁଣୀ ସ ̊ପର୍କରେ କିଛି ଖବର ପାଇନଥିଲି।
"
"I went back to aunt's house.
","ମୁଁ ଫେରି ଆସି ଆଣ୍ଟିଙ୍କ ଘରକୁ ଚାଲିଗଲି ।
"
"In the accident, the victim and her lawyer were critically injured while both her aunts were killed.
","ଏହି ଦୁର୍ଘଟଣାରେ ବଳାତ୍କାର ପୀଡ଼ିତା ଏବଂ ତାଙ୍କର ଓକିଲ ଗମ୍ଭୀର ରୂପରେ ଆହତ ହୋଇ ଚିକିତ୍ସିତ ହେଉଥିବା ବେଳେ ତାଙ୍କର ଦୁଇ ମହିଳା ସମ୍ପର୍କୀୟଙ୍କର ନିଧନ ହୋଇଯାଇଛି।
"
"In the accident, two aunts of the teen victim died and her lawyer, Mahendra Singh, was injured.
","ଯାହା ଫଳରେ ଘଟଣାସ୍ଥଳରେ ପୀଡ଼ିତାଙ୍କ ଦୁଇ ସଂପର୍କୀୟ ମୃତ୍ୟୁବରଣ କରିଥିବା ବେଳେ ପୀଡ଼ିତା ଏବଂ ତାଙ୍କ ଓକିଲ ମହେନ୍ଦ୍ର ସିଂହ ଚୌହାନ ଗୁରୁତର ଆହତ ହୋଇଥିବା ଜଣା ପଡ଼ିଛି ।
"
"J k rowling's novels feature a teenage boy named harry potter who grows up in a normal world with his aunt, uncle and cousin dudley.
","ଜେ. କେ ରୋଲିଙ୍ଗଙ୍କ ଉପନ୍ୟାସରେ, ହେରୀ ପୋଟର ନାମକ ଜଣେ କିଶୋର ବାଳକ ଅଛନ୍ତି ଯିଏ ନିଜ ଦାଦା, ଖୁଡୀ ଏବଂ ଦାଦା-ପୁଅ-ଭାଇ ଡୁଡଲେ ସହିତ ଏକ ଛୋଟ ଦୁନିଆରେ ବଢିଥିଲେ ।
"
"J k rowlings novels feature a teenage boy named harry potter who grows up in a normal world with his aunt, uncle and cousin dudley.
","ଜେ. କେ ରୋଲିଙ୍ଗଙ୍କ ଉପନ୍ୟାସରେ, ହେରୀ ପୋଟର ନାମକ ଜଣେ କିଶୋର ବାଳକ ଅଛନ୍ତି ଯିଏ ନିଜ ଦାଦା, ଖୁଡୀ ଏବଂ ଦାଦା-ପୁଅ-ଭାଇ ଡୁଡଲେ ସହିତ ଏକ ଛୋଟ ଦୁନିଆରେ ବଢିଥିଲେ ।
"
"My aunt and grandmother love me.
","ଜେଜେମାଆ ଓ ଜେଜେ ମୋତେ ଖୁବ୍ ଭଲ ପାଆନ୍ତି ।
"
"My aunt is at home.
","ମାମା ମାମୁ ଘରେ ଅଛି।
"
"My aunt is suffering a lot of troubles in her house.
","ଘରେ ତାଙ୍କର ବୁଢ଼ୀ ମା ବହୁତ୍ ଅସୁବିଧା ସମ୍ମୁଖୀନ କରୁଛନ୍ତି ।
"
"My aunt was very happy to hear that.
","ମୋର ଏହି କଥା ଶୁଣି ମାମୁଁ ବହୁତ ଖୁସି ହୋଇଗଲେ ।
"
"My aunt wasn't here now.
","ନାତୁଣୀ ଆସୁନି ଏବେ।
"
"My mother and aunt laughed.
","ମୋ ଜେଜେମା ଓ ଜେଜେ ହସି ହସି ଗଡ଼ିଗଲେ।
"
"No, she's my aunt.
","ନା, ମୋର ନାତୁଣୀ ଅଟେ!
"
"No, this is my aunt's house.
","-- ନାଁ, ଏଇଟା ମୋ ମାମୁଁଙ୍କ ଘର।
"
"Rowling's novels feature a teenage boy named Harry Potter who grows up in a normal world with his aunt, uncle and cousin Dudley.
","ଜେ. କେ ରୋଲିଙ୍ଗଙ୍କ ଉପନ୍ୟାସରେ, ହେରୀ ପୋଟର ନାମକ ଜଣେ କିଶୋର ବାଳକ ଅଛନ୍ତି ଯିଏ ନିଜ ଦାଦା, ଖୁଡୀ ଏବଂ ଦାଦା-ପୁଅ-ଭାଇ ଡୁଡଲେ ସହିତ ଏକ ଛୋଟ ଦୁନିଆରେ ବଢିଥିଲେ ।
"
"She closed the door and pinned her eyes onto the back of her aunt's head.
","ସେ ଝରକା ବନ୍ଦ କରିଦେଇ ମାମାଙ୍କ ଛାତିରେ ମୁହଁ ଲୁଚେଇଦେଲା।
"
"That evening, my aunt came to our house.
","ସେଦିନ ରାତିରେ ମୋ ସାନ ସମୁଦି ବୁଲି ଆସିଥିଲେ ଆମ ଘରକୁ ।
"
"The aunt died in 2018.
","ଝିଅର 2018 ରେ ମୃତ୍ୟୁବରଣ ହାଇସାରିଛି।
"
"The aunt looked at me.
","ନାନୀ କଣେଇ କଣେଇ ମୋ ଆଡକୁ ଦେଖୁଥିଲେ।
"
"The aunt then informed the girl's parents about the incident.
","ଏହା ପରେ ନାବାଳିକାର ବାପା ମାଁ ଙ୍କୁ ଝିଅର ସାଙ୍ଗ ମାନେ ମଧ୍ୟ ଘଟଣା ସର୍ମ୍ପକରେ କହିଥିଲେ।
"
"The authorities also detained the man's wife and aunt.
","ପୋଲିସ ମଧ୍ୟ ସ୍ବାମୀ ଓ ଦିଅରକୁ ଅଟକ ରଖିଛି ।
"
"The rape survivor and her lawyer were critically injured, while two of her aunts died.
","ଏହି ଦୁର୍ଘଟଣାରେ ବଳାତ୍କାର ପୀଡ଼ିତା ଏବଂ ତାଙ୍କର ଓକିଲ ଗମ୍ଭୀର ରୂପରେ ଆହତ ହୋଇ ଚିକିତ୍ସିତ ହେଉଥିବା ବେଳେ ତାଙ୍କର ଦୁଇ ମହିଳା ସମ୍ପର୍କୀୟଙ୍କର ନିଧନ ହୋଇଯାଇଛି।
"
"The victim and her lawyer have been critically injured while two of her aunts passed away.
","ଏହି ଦୁର୍ଘଟଣାରେ ବଳାତ୍କାର ପୀଡ଼ିତା ଏବଂ ତାଙ୍କର ଓକିଲ ଗମ୍ଭୀର ରୂପରେ ଆହତ ହୋଇ ଚିକିତ୍ସିତ ହେଉଥିବା ବେଳେ ତାଙ୍କର ଦୁଇ ମହିଳା ସମ୍ପର୍କୀୟଙ୍କର ନିଧନ ହୋଇଯାଇଛି।
"
"Vijaya Lakshmi Pandit (18 August 1900 - 1 December 1990) was an Indian diplomat and politician, the sister of Jawaharlal Nehru, the aunt of Indira Gandhi and the grand-aunt of Rajiv Gandhi, each of whom served as Prime Minister of India.
","ବିଜୟ ଲକ୍ଷ୍ମୀ ପଣ୍ଡିତ (୧୮ ଅଗଷ୍ଟ ୧୯୦୦ - ୧ ଡିସେମ୍ବର ୧୯୯୦) ଜଣେ ଭାରତୀୟ କୂଟନୀତିଜ୍ଞ ଓ ରାଜନୀତିଜ୍ଞ, ଜବାହରଲାଲ ନେହେରୁଙ୍କ ଭଉଣୀ,[୨] ଇନ୍ଦିରା ଗାନ୍ଧୀଙ୍କ ପିଇସୀ ଓ ରାଜୀବ ଗାନ୍ଧୀଙ୍କ ଜେଜି ପଇସୀ ।
"
"[15] The actress Sukumari was her paternal aunt.
","[୧୩] ଅଭିନେତ୍ରୀ ସୁକୁମାରୀ (Sukumari) ତାଙ୍କର ପିଇସୀ ଥିଲେ ।
"
"aunt in the U.S.
","ନାତୁଣୀ ଆମେରିକାରେ ।
"
"the children's aunt.
","ପିଲାମାନଙ୍କର ମାମୁଁଘର।
"
"The victim was accompanied by her aunt and lawyer Mahendra Singh, both of whom died in the accident.
","ଘଟଣାସ୍ଥଳରେ ପୀଡିତାଙ୍କ ମାଆ ଓ ଖୁଡୀଙ୍କର ମୃତ୍ୟୁ ହୋଇଥିବା ବେଳେ ପୀଡିତା ଓ ତାଙ୍କ ଆଇନଜୀବୀ ମହେନ୍ଦ୍ର ସିଂ ଗୁରୁତର ହୋଇଥିଲେ ।
"
"A childhood photo of Sara Ali Khan was shared on Instagram by her aunt Saba Ali Khan as a ‘Throwback Thursday’ post.
","ନିକଟରେ ‘ମାତୃ ଦିବସ’ ଅବସରରେ ସାରା ଅଲି ଖାନ ତାଙ୍କ ଇନଷ୍ଟାଗ୍ରାମ ଆକାଉଣ୍ଟରେ ଏକ ଫଟୋ ସେୟାର କରିଛନ୍ତି।
"
"After the passing of her parents, she lived with her aunt and uncle.
","ପିତାମାତାଙ୍କ ମୃତ୍ୟୁ ହେବା ପରଠାରୁ ସେ ଭାଇ ଓ ଭାଉଜଙ୍କ ସହ ରହୁଥିଲେ ।
"
"“We were informed that my mother and my aunt have died.
","‘‘ଆମକୁ କୁହାଗଲା ଯେ ମୋ’ ମା’ଙ୍କର ମୃତ୍ୟୁ ହୋଇଯାଇଛି ।
"
"My aunt died and my mother suffered severe injuries.
","ଦୁର୍ଘଟଣାରେ ମାମୁ ମୃତ , ଭଣଜା ଗୁରୁତର ।
"
"Her aunts succumbed to injuries in a district hospital while the others were transferred to a trauma centre in Lucknow and given security, police said.
","ପୀଡିତାଙ୍କ ମାଈଁ ଜିଲା ହସ୍ପିଟାଲ୍‌ରେ ମୃତ୍ୟୁବରଣ କରିଥିବାବେଳେ ଅନ୍ୟମାନଙ୍କୁ ଲକ୍ଷ୍ନୌସ୍ଥିତ ଟ୍ରମା ସେଣ୍ଟରକୁ ସ୍ଥାନାନ୍ତର କରାଯିବା ସହିତ ନିରାପତ୍ତା ଯୋଗାଇ ଦିଆଯାଇଥିବା ପୋଲିସ କହିଛି।
"
"Mohit is Reena Marwah's son who is Sonam and Arjun's paternal aunt.
","ମୋହିତ ମାର‌ୱା ଏବଂ ରଣବୀର ସିଂହ ସୋନମଙ୍କର ସମ୍ପର୍କୀୟ ଭାଇ ।
"
"The complainant and her lawyer are in serious condition and are underoing treatment at a hospital in Lucknow, while two of her aunts died.
","ଏଥିରେ ଦୁଇ ସମ୍ପର୍କୀୟଙ୍କ ମୃତ୍ୟୁ ଘଟିଥିବାବେଳେ ପୀଡ଼ିତା ଓ ଓକିଲ ଗୁରୁତର ହୋଇ ଲକ୍ଷ୍ନୌସ୍ଥିତ ଏକ ହସ୍ପିଟାଲର ଆଇସିୟୁରେ ଚିକିତ୍ସିତ ହେଉଛନ୍ତି।
"
"Grandparents, parents, uncles, aunts, and children all lived together.
","ପରିବାରର ବାପା, ମା, ପିଲା ଛୁଆ, ଭାଇ, ଭଉଣୀ ସମସ୍ତେ ଏକାଠି ଖାଆନ୍ତି ।
"
"But how can I tell my aunt?
","କିନ୍ତୁ ବୋହୁ ଟାକୁ କଣ କହିବି ?
"
"Be it father, grandparent, aunt or uncle.
","ସେ ବାପା, ମାଆ, ଭାଇଭଉଣୀ, ପିଲାଛୁଆ କି, ପତିପତ୍ନୀ ହୁଅନ୍ତୁ।
"
"At home, there is my grandmother, grandfather, my aunt and her two kids, and my sister.
","ଘରେ ଥାଆନ୍ତି ଜେଜେବାପା, ଜେଜେମା, ବୋଉ, ମୁଁ ଆଉ ମୋ ସାନ ଭଉଣୀ।
"
"Boys have sisters, mothers, aunts, and grandmothers.
","ଘରେ ବାପା, ମାଆ, ଭାଇ ଭଉଣୀ ଓ ବୋହୂ ଅଛନ୍ତି।
"
"And that I am proud to be her aunt.
","ଏବଂ ମତେ ତା’ ମା’ ହେବା ଉପରେ ଗର୍ବ ଅଟେ।
"
"“This one is my aunt’s house.
","‘‘ଏଇଟା ମୋ’ ଶାଶୁ ଘର ।
"
"Vishal with his parents and aunt
","ନିଜ ପିତାମାତା ଓ ଭାଇଙ୍କ ସହ ମେଘାଳୀ ମାଳବିକା
"
"KIm with wife Ri Sol Ju and aunt Kim Kyong-hui
","କିମ୍ ଜଙ୍ଗ ଉନ୍ ଏବଂ ତାଙ୍କ ପତ୍ନୀ ରି ସୋଲ ଜୁ
"
